"","frank_P10","frank_P14","frank_P16","frank_P17","frank_P22","frank_P23","frank_P24","frank_P25","frank_P28","frank_P30","frank_P32","frank_P33","frank_P34","frank_P35","frank_P39","frank_P42","frank_P44","frank_P45","frank_P46","frank_P48","frank_P49","frank_P52","frank_P53","frank_P54","frank_P55","frank_P56","frank_P57","frank_P58","frank_P59","frank_P61","frank_P63","frank_P64","frank_P65","frank_P66","frank_P67","frank_P68","frank_P69","frank_P7","frank_P8","SAMEA104335941","SAMEA104335942","SAMEA104335943","SAMEA104335944","SAMEA104335945","SAMEA104335946","SAMEA104335947","SAMEA104335948","SAMEA104335949","SAMEA104335950","SAMEA104335951","SAMEA104335952","SAMEA104335953","SAMEA104335954","SAMEA104335955","SAMEA104335956","SAMEA104335957","SAMEA104335958","SAMEA104335959","SAMEA104335960","SAMEA104335961","SAMEA104335962","SAMEA104335963","SAMEA104335964","SAMEA104335965","BCN-01_1","BCN-02_1","BCN-03_1","BCN-04_1","BCN-05_1","BCN-06_1","BCN-07_1","BCN-08_1","BCN-09_1","BCN-10_1","BCN-11_1","BCN-12_1","PRIMM0001","PRIMM0002","PRIMM0003","PRIMM0004","PRIMM0005","PRIMM0007","PRIMM0008","PRIMM0013","PRIMM0017","PRIMM0029","PRIMM0030","PRIMM0032","PRIMM0035","PRIMM0044","PRIMM0050","PRIMM0059","PRIMM0060","PRIMM0062","PRIMM0064","PRIMM0068","PRIMM0069","PRIMM0077","PRIMM0078","PRIMM0079","PRIMM0080","PRIMM0087","PRIMM0088","PRIMM0091","PRIMM0094","PRIMM0109","PRIMM0111","PRIMM0113","PRIMM0116","PRIMM0117","PRIMM0123","PRIMM0129","PRIMM0137","PRIMM0140","PRIMM0143","PRIMM0154","PRIMM0155","PRIMM0159","PRIMM0162","PRIMM0166","PRIMM0168","PRIMM0171","PRIMM0178","PRIMM0181","PRIMM0193","PRIMM0197","PRIMM0199","PRIMM0201","PRIMM0204","PRIMM0210","PRIMM0215","PRIMM0218","PRIMM0219","PRIMM0220","PRIMM0232","PRIMM0234","PRIMM0240","PRIMM0241","PRIMM0242","PRIMM0256","PRIMM0261","PRIMM0264","PRIMM0266","PRIMM0271","PRIMM0276","PRIMM0278","PRIMM0281","PRIMM0287","PRIMM0300","PRIMM0301","PRIMM0308","PRIMM0310","PRIMM0325","PRIMM0328","PRIMM0331","PRIMM0352","PRIMM0353","PRIMM0354","PRIMM0357","PRIMM0361","PRIMM0365","PRIMM0378","PRIMM0380","PRIMM0381","PRIMM0383","PRIMM0386","PRIMM0387","PRIMM0391","PRIMM0394","PRIMM0398","PRIMM0399","PRIMM0403","PRIMM0404","PRIMM0411","PRIMM0417","PRIMM0421","PRIMM0422","PRIMM0423","PRIMM0424","PRIMM0426","PRIMM0427","PRIMM0434","PRIMM0435","PRIMM0445","PRIMM0447","PRIMM0455","PRIMM0460","PRIMM0461","PRIMM0467","PRIMM0473","PRIMM0474","PRIMM0475","PRIMM0477","PRIMM0483","PRIMM0498","PRIMM0511","PRIMM0513","PRIMM0516","PRIMM0521","PRIMM0525","PRIMM0526","PRIMM0532","PRIMM0536","PRIMM0541","PRIMM0543","PRIMM0544","PRIMM0546","PRIMM0549","PRIMM0551","PRIMM0557","PRIMM0559","PRIMM0561","PRIMM0563","PRIMM0565","PRIMM0567","PRIMM0569","PRIMM0571","PRIMM0573","PRIMM0575","PRIMM0576","PRIMM0578","PRIMM0589","PRIMM0590","PRIMM0594","PRIMM0597","PRIMM0601","PRIMM0602","PRIMM0610","PRIMM0611","SAM_01","SAM_02","SAM_03","SAM_04","SAM_05","SAM_06","SAM_07","SAM_08","SAM_10","SAM_11","SAM_12","SAM_13","SAM_14","SAM_15","SAM_16","SAM_17","SAM_18","SAM_19","SAM_20","SAM_21","SAM_22","SAM_23","SAM_24","SAM_25","SAM_26","SAM_27","SAM_28","SAM_29","SAM_30","SAM_31","SAM_32","SAM_33","SAM_34","SAM_35","SAM_36","SAM_37","SAM_38","SAM_39","SAM_40","op146_M1","op147_M1","op151_M1","op152_M1","op153_M1","op155_M1","op157_M1","op158_M1","op159_M1","op160_M1","op161_M1","op162_M1","op163_M1","op164_M1","op167_M1","op168_M1","op174_M1","op175_M1","op176_M1","op177_M1"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii",17697602,15637237,2013960,7077146,14735374,10441603,131006,10606,11651,4561,53627,24948,13155222,26662,22822,3448,8659,4420,1929635,38705,2170872,267253,24410,8647844,18498,13741,25402,13565,23730,14562573,6763361,4309,2808,97362,12318,6365749,3486,380,95,0,0,319611,19275,11824,502298,0,0,0,0,244907,0,0,255795,223087,107587,0,0,0,799374,2367070,118140,297807,0,1515472,233068,31665,0,348503,1420319,0,2189,580308,27269,502535,15183,0,1144,618588,0,4708,0,160151,0,1714,1345,460328,263551,2128,1218,8755128,55749,6010,6538,2788,131,0,1636017,0,1399,1277216,2444,0,234533,1298970,2192404,1358,9089,626,2522,1647668,0,487183,14759142,1154,145,1554,1938100,2345651,7158302,0,0,10313660,1777,7436116,0,7624390,0,5921605,10878108,0,0,54505,352178,0,203962,245356,0,0,0,10082,1317281,3185232,3429045,1333853,175,0,0,0,4015144,908396,5377343,80301,0,32949,2549,157463,454,5712099,0,22095,2982866,0,5536,323009,19092,137271,497763,1980446,106252,3510,93,0,155192,1537,325931,0,743566,1272,272,9149,0,50326,0,0,1489,0,3354663,229913,120528,630353,201076,0,280131,0,243524,4471334,63745,0,4677593,257042,557489,312249,83210,128194,617282,0,0,986023,0,6048798,1141669,813749,23140,2722358,4135463,0,230764,9357403,17205398,6383589,2360142,0,2008788,0,996158,302733,0,0,1064116,0,868712,0,495702,0,0,0,0,336266,0,0,0,0,7880908,0,0,0,1629368,0,0,443219,0,1781240,0,1783667,0,0,11585,0,555553,0,1254317,1108909,6819869,21308,0,0,0,0,0,0,0,0,536455,916306,1776102,1592698,2490669,508395,0,0,8998646,1007146,0,0,0,315362,3039819,859750
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii",9472016,2358923,25402,686967,157527,356373,129485,5136,134880,917716,1458521,612172,1441810,5171,6659,1611,385,100,694,75595,77740,101448,7734101,912589,13280,1291106,719017,88751,15497,10899,19537,0,0,0,1764,231147,0,2437849,19594,0,48961,0,2119,74318,73240,0,0,140422,0,909798,773570,608426,5216,26152,137210,0,248072,0,4302260,0,201955,455529,0,0,42275,185046,13120,138152,444405,166416,12043,26006,18101,431022,103724,0,292,0,36993,429521,1327773,1305752,469531,3495865,947,40192,103449,752469,496314,113730,43985,17468,10812808,6608,0,631,1488941,188472,552615,15216,26888,53286,2248,115158,11442,1101,142393,36487,7128781,127251,0,6114,9416,14312,0,99013,24308,2729,16363,0,0,30997,0,122409,466079,23795,313,127925,4456,0,3040,5233,99070,8118,17805,229757,8022,3970,91,338986,13994,0,35362,2025,4587,17722,78649,4293,193116,5706,175756,3159,0,21023,0,808284,8370,6089,0,291258,33601,21407,7874,1533,1134491,75039,1016879,135484,11639,88937,0,54720,100340,0,0,11267,98498,4134,0,311,1135,75280,2156,0,0,879,23136,0,0,13201,0,0,8679,0,51237,27807,430,15027,131569,0,255,12183,10734,316,2615691,1890,72357,12275,0,62912,230180,527,10275,21572,27310,122149,237421,1199024,68357,12935,8598,5287,23397,0,1140,54550,693172,1390137,5579,3214461,28896,149956,11268632,359434,1208641,0,16012240,1682929,482592,0,1328617,550970,5177621,15943748,0,227189,404963,361857,2164846,479808,0,2794508,62048,428304,0,522942,2463682,46396,24526,89484,628524,463058,3789107,300025,0,8484,1535210,71743,99546,791,7643,0,170,15789,27005,2505,13471,9741,4011304,7004,14089,862,0,420932,0,3825,5009,4940
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",8495597,3112707,955723,6756,391999,5870052,9274,13075973,5644851,25588,9230,2660061,9446,3163967,207012,1759406,1882,102258,3266,995786,24017,558592,6873475,4736276,3417998,7442,4801001,338924,3531474,15947,4696244,5996112,5280,6920,6755857,3536186,8624,2768757,3545450,3060058,5058583,300,472407,677544,3630003,0,604591,1644737,0,2603085,2051029,1392428,4089169,3428852,1863184,6543425,0,2598846,2765936,0,1127183,2441589,0,2931334,3055,3098682,3051524,2456460,962035,21050,14658,4643470,1646153,1697820,1968188,0,20356,71163,683248,9260648,2242985,3857858,2217123,1154220,139894,77065,79048,2033262,1321585,2887719,123970,1415128,1953677,6486,221,0,4833423,1658087,287584,625741,720246,3394282,744539,1269340,274072,7021,6829252,1170176,1554550,470964,0,488454,101606,12657,16477,1497592,251787,47852,44874,0,0,3447292,21733,268875,1623929,291227,38476,538778,136561,750181,1555069,574462,0,51275,368814,314166,436965,306398,2588,3457297,692571,449,934353,200658,16375,128428,2745924,14201,637201,395097,121049,4686,0,38532,1102,743707,312756,19169,0,1243405,3311843,36465,12169,8727,1566429,422104,321718,107294,2957,464,0,1141404,259250,128205,223,171371,603,6182,0,25457,153442,303897,18704,6968,0,6187,0,10656,0,543412,1123,4967,0,0,303687,1252872,4221,241349,1670521,4968,10952,204998,108153,235002,0,54321,1069858,434090,21092,257816,2158200,4697,221134,374447,0,635014,500823,2707351,563538,307244,158522,44767,1716,2267,36153,4560851,3723660,5395588,781642,9186595,2295380,5938347,4737681,0,512407,0,188888,13609469,11455463,0,0,0,0,1196609,4677728,3449767,1769201,0,9733063,6649267,0,8473053,0,0,0,5103462,2721250,2686225,2513789,0,0,2384783,11356426,2007,0,0,5341878,992117,0,0,530000,8957,0,7266,259144,45289,1027190,239312,0,232927,1656826,14209,0,0,487040,6974,684453,270574
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii",7077437,3794,773112,5646,1016624,605737,1046821,173846,5193,905497,1288055,1455006,398924,700165,999039,3316083,213899,707485,281757,12949,5127,841532,130587,213310,351226,668023,1071954,1173468,5051,365382,674437,0,0,295357,0,823837,0,5876,1255999,125669,73189,160709,3143,18426,125438,40635,23784,68214,0,20653,0,276772,82968,0,98134,0,0,0,72976,0,42149,110752,0,325129,41759,28572,13060,18612,18710,3165,2423,80494,4105,0,20091,0,69594,36460,64989,64197,87541,162183,53273,18326,297850,631945,144329,144396,0,0,8821,126827,157752,3234649,0,32788,161010,16668,0,41494,742132,0,18427,757874,40269,2139588,960417,159545,1055217,273677,0,112882,313459,69436,1874632,29677,54593,0,152755,31982,0,4173,162958,421463,18040,53862,12849,953396,298212,236133,7077,45474,75692,1274,19703,52850,0,312820,14697,245477,275503,0,278429,90634,223776,152426,0,49307,676127,97157,1545126,12765,60695,68871,0,16548,24565,299653,0,34616,680188,61209,609489,896971,158318,14683,213978,100742,8595,27122,315898,34206,28065,301106,0,26043,149690,150762,0,4586,8662,8680,39689,2358969,37955,4333,598278,307488,98422,81336,99931,57032,3219,10708,81733,697936,17048,316944,303704,52958,1078186,2901758,325797,1709731,30923,202913,2362770,195524,401168,0,682091,288256,173265,387600,673324,566123,42056,208468,280004,38309,23853,143669,2120922,2084630,200723,109395,0,407386,248108,71627,391060,0,263715,119021,0,0,0,142403,3258195,0,0,72766,0,198963,1136083,0,134569,80372,2000688,722601,967283,163490,0,317364,0,594150,264480,0,0,6096761,122333,122976,1741581,422010,8674,52138,1181882,48540,127052,625970,306460,397954,440323,106449,335317,176037,566807,273650,0,1610309,4163840,384018,436884,528914,62838,10716,933994,21812
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",6253715,16916217,1343227,9396,189814,16271,683219,13786109,11925180,7788818,931286,8187795,381882,3079566,1255313,2845565,5858079,48070,10765816,4927232,3295600,184359,2796108,21635,9281130,1755945,1810870,306491,2425991,5973692,3332865,10058143,18498129,9758307,11370342,6276608,3360479,5589934,6612738,1070552,6951855,333211,185880,238285,8107422,0,7285802,13528642,0,6648323,6255182,3270235,2232588,7419876,7194053,12527335,0,14164815,1594275,24267,1627090,4679004,0,3094,5798641,7450887,905573,1296417,2809515,467658,458380,4508473,1400986,3989025,762223,1962639,942370,269991,351888,2026541,367864,1709015,599865,757086,31648,518496,79923,2396069,2004096,16553836,583722,738262,1446879,73950,1058,47099,1211775,59333,141400,922296,405195,310381,1452618,719423,1235882,1744,595366,493982,1951270,123825,0,223347,146138,69196,54223,239208,13942,67246,13767,58127,110550,1877587,129315,138360,1483776,23559,7147,154643,505391,597323,1242075,420995,176604,11466,241096,118667,2941279,148389,2805,901322,168721,418,1515930,203250,31648,83040,2405652,1692,83215,283908,47470,2213,238,46813,2238,85352,4613,110468,0,63103,1706624,6153,33519,20257,849908,196611,190038,474863,8696,64463,11376,243001,55771,67998,1328,65707,185018,2719,0,11747,5817,20318,9004,1524,0,2299,354969,3133,10560,220742,537,3825,29841,4000,2026,118188,514,60515,246845,493,408,623350,74081,1727121,1567056,62097,1138089,63099,505413,1893810,2063626,7525,168791,1315166,725755,764721,270233,13776253,1046289,1300252,333172,16249,50775,439408,36355,147743,380307,3060495,1918009,6726186,3322706,23484390,2354109,1485,9465,6006791,14934091,31667695,13450813,0,11859030,6134811,56807040,2090211,4776398,18320316,1306473,1502878,2137,15482266,29714023,3067319,19318007,9120020,3210,3947728,6863001,1125638,13935041,17371634,7427648,7365409,3758506,37843426,9230,20666403,8215644,6161153,623101,31473,2640101,5587,67133,0,92404,97277,434742,493367,0,396513,83477,85568,9341,264259,1239915,375540,125490,118037
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",5434013,23284,13283972,5839319,5353255,1932526,12124406,9388278,20120,3201165,69932,5267255,3720422,1690668,1006130,3572796,5594,3772811,6668,198592,931399,3717901,69476,3066201,5932384,12210759,12369475,5987744,70566,2398707,14210629,853380,8021,10841,3205877,8963333,9972880,32500,15578940,0,1000947,875482,1599447,156719,2123636,0,524376,532134,0,227634,394764,1527508,2242840,1746151,330149,91367,822092,1050911,1291436,1271319,3377790,2591596,810117,696855,1196026,730276,984592,281326,4161,1712615,1274716,1667979,155140,660834,971189,13894,82586,297533,1730274,815464,1043418,1194192,228578,517282,380442,341318,56137,430944,219170,169274,217217,1361878,960970,25304,21636,29240,1747306,440523,14374,831492,131796,380404,836187,794247,617504,3181,1300818,518739,903835,450684,3010,105495,1123614,22560,6498,479501,32190,202821,319226,19059,0,3835441,152013,284465,826160,68993,13607,384890,41078,205504,153990,887876,18619,224286,205513,647978,7528,31915,87782,5360256,12320998,7469,1734558,40560,45694,181947,844151,274330,1141374,4959639,2130570,174707,1283094,129756,3900,1375378,429236,61839,0,206842,1139819,42682,190344,1962144,4999161,219885,179910,237249,1430312,284528,752215,499408,103433,106670,3586,381943,31161,744646,0,396675,68328,428772,1205431,155818,3070,671,800473,575312,4288555,387668,477649,50662,2023204,17386,550619,2204557,268124,1489155,1945139,14869,58003,3354945,1068542,4625817,1109477,184542,534614,990452,1173991,1277810,1066725,1065329,825433,506816,862588,1090068,689031,9324,2382154,350677,350773,607777,514618,805411,17301,3661641,1783113,506408,1245648,1280236,2494022,556710,302389,2164539,0,571238,802187,2938722,163914,0,3179,1030125,7229975,747417,4577528,967085,3868190,0,2767154,1074570,483717,4950631,27884,2184843,0,6827985,3236091,2544685,1562079,694282,770866,1781955,243261,1628781,941571,2455161,457943,1771403,1208911,769698,848296,991152,1228602,4855,1379741,740942,1321146,739888,0,1903525,883172,758972,1734359,1148351,1731444,212174,3186141,2145620
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena",4748137,1369,1316581,6930,2122629,16725,12761339,1027801,464,0,648087,1238877,545329,1591874,2042878,1432642,605992,4274027,2503,1637,11221,830679,1122007,337779,764,1570386,1411781,1143595,6408,1148,669565,1920368,644,1320929,2222,2578662,2112793,3440,2120734,0,68889,481165,12946,22079,66500,0,0,6263,0,0,0,253385,205770,0,0,0,0,0,130925,0,167357,60733,0,0,20245,289574,19095,167441,9048,93011,21943,202503,491,180846,1318,26561,315106,644525,89817,2136017,0,263286,129868,0,6056862,357986,347831,435137,134,71367,148065,559501,1598,2688137,0,339135,462483,209685,0,94781,961573,0,39183,490710,231557,4730654,2727321,708840,1432086,2409020,0,744268,409650,271929,0,216258,34416,1165655,201076,148956,0,6464,538053,781680,213344,132874,158199,425581,616814,314817,151676,172025,0,43465,219641,274554,0,175470,22431,417237,723510,0,53751,166187,0,135285,0,54075,173356,195230,177459,89443,0,219057,0,310901,205484,881064,0,26589,909737,624765,2101781,312355,5944,10952,224995,335640,278775,184200,854343,143914,95803,668738,532,93362,0,342385,0,9896,16418,17467,29295,1585683,3686,0,483010,416420,88474,336484,498365,110669,108658,711070,146613,1249417,55800,1625370,489188,7822,442824,1621728,196968,957872,733732,629208,810920,771227,747033,756897,1500855,258100,160424,581260,582615,780623,34386,1874834,851920,121848,0,753815,1948733,0,87347,97244,0,239549,142888,167584,0,3715954,145936,1078226,16038,0,0,139224,0,0,1711,0,1969502,0,823413,0,491545,0,4954801,37824,460300,138217,0,752150,0,1403260,602983,0,0,0,0,241538,0,301080,87773,411204,0,640938,0,1717543,142621,797909,853196,0,450762,1140094,686601,1057579,0,50914,0,780595,1103947,382941,0,75833,968507,492119
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis",2756071,821,1859419,0,0,0,84563,3378958,0,95,426475,1923191,513,604,236158,913155,0,11318,0,533284,0,366688,0,0,849,0,0,242,656,0,1495078,0,0,0,2899877,0,0,117,2780242,0,1077911,0,80951,264208,0,0,208663,0,0,0,1693963,1874549,0,911517,0,0,0,0,0,0,308839,0,0,0,8329,247105,1468359,984114,0,782994,0,8288,314511,0,123962,3148788,0,0,241466,1240438,1538919,690405,390846,537623,21109,5554,89111,437698,0,0,209443,9144,616220,0,0,5535,1016458,92404,2871,1766150,714263,235513,6881,559337,260424,1314,1197365,167927,841408,225369,0,85249,1983,2318,1104,120550,44325,11478,37357,0,0,1818355,3731,111786,542682,249007,3156,44706,23373,0,39789,673740,0,6975,36838,376072,110650,34353,0,36034,56541,0,244268,88407,4344,24726,28287,0,74464,79894,8084,0,0,0,0,211932,15985,11306,0,27998,1684907,2537,0,12631,694151,136322,68568,69263,0,2618,0,13717,48322,103258,0,25072,47449,2401,0,594,18250,2040,61354,0,0,10570,0,0,9438,0,0,0,9845,0,0,525223,1206,113760,329343,3535,0,11694,6374,24474,0,47833,146375,14787,0,6385,683846,11347,11144,133480,222226,35052,380577,1942874,707795,152115,47952,0,0,0,18574,0,174761,1165108,106073,0,1848240,0,0,0,0,0,0,0,0,0,0,0,0,673633,0,0,0,0,0,0,0,2263797,0,0,0,1754427,826921,2135285,233656,0,1591259,0,4050417,0,0,2062080,1241203,1676857,0,0,103033,0,3277,0,17749,7691,12056,13807,0,77558,56815,3468,2618,277630,0,16433,0,3194
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum",2731248,680,812327,173,1456903,4663,358551,2720,2202,48350,909918,9891,7018,3065813,3307011,3593313,102296,714991,3823,182541,5775064,1109961,12340321,364402,11397217,599504,3851916,797898,16824641,20283,662441,490563,5501,1765794,7449870,3252267,3988,22699190,322900,0,64627,143608,5242,4406,85180,105456,3716,43876,0,33721,0,0,8938,175,0,0,0,0,58895,50596,8856,24667,0,28213,431,4148,9947,22189,7755,9347,934,26707,316,0,8828,7136,512441,122725,39655,381417,0,375377,115781,60587,702841,373376,37465,331745,313397,66914,540,129507,573492,417025,100358,355013,457056,459245,0,49140,159261,0,52436,978685,106953,175774,2206590,69463,845794,242202,0,877052,3531310,254213,1012468,195033,55417,651687,213674,362128,0,5910273,1173095,350187,185850,224040,81054,366739,767099,35138,21558,24318,0,134048,78206,51755,0,250065,38277,215458,130106,1746,162202,118846,65128,23897,811,167689,239543,149171,211136,9175,0,126166,192,15746,90599,3017755,0,1479,341106,94064,1016025,148348,5728,42380,22991,90830,12867,148111,314499,50348,24106,289376,52611,164767,483939,1155491,0,2731,152786,6019,14744,1284980,92203,35993,993063,467520,323779,92052,216201,42233,233231,694900,180877,87875,31803,719236,164512,7489,227164,1064690,230280,331072,42751,89027,137585,389402,246731,498050,151104,99017,150940,124161,432861,77132,8463,628203,135135,138996,221660,36890,456038,0,173582,360807,546300,320411,204786,101407,40907,417966,424416,53676,0,0,33350,70802,150627,0,68588,151642,0,0,172667,11303,776165,0,192740,542965,22734,543598,0,109813,0,298925,130749,57801,0,786104,0,176806,114310,752323,21145,120654,90466,58806,863491,614333,46780,242695,0,0,545436,240852,676410,89788,0,540751,1330556,322550,151978,171216,1518573,39880,336249,160249
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",2705154,18432,104611,13904528,16418,735220,5659,429212,3855465,105713,9212,6072,648349,2785360,1181793,2037,102558,250810,365634,10512,2074,685367,12733,210168,2080363,338271,399709,113372,7521,302474,567062,667169,131757,2427355,283553,2422771,4195108,13146,1964149,114946,11880,0,0,0,18867,0,1679,1723,602611,0,168308,434735,11863,327485,293527,0,394351,345016,0,27926,5246,47559,5945,0,59746,8306,0,7204,0,1752,18989,11289,0,1933,1307,0,25782,549575,11268,164555,150272,159579,25598,53165,92669,349552,24706,12194,5118,1779,81664,156582,3229,42346,0,105698,15429,19475,67932,48252,336714,2025734,319273,91963,365432,62381,195805,200058,22738,15065,0,172619,480193,17667,68693,13666,427,175681,186052,17988,0,281235,191545,336202,23125,5160,96578,207227,858013,13582,0,3960,548184,5049,30120,11331,109,155472,631,724098,43725,7479,21302,3988,92244,16434,860,188988,200830,43044,25525,0,830849,11135,61238,1282,4724,1853071,0,22443,67882,39021,1125989,204940,1957,10208,41556,8670,7163,6568,77083,10801,22090,20470,1051,13634,9562,12161,0,1023,9550,255,349,500896,92187,4065,243846,60213,4742,4572,36122,6789,25096,3398,6140,111176,0,238790,62204,10831,87614,178564,32803,199974,367426,4993,385981,22956,41466,1906,38499,23894,10478,39069,8123,71323,6099,0,3729,2048,137572,257595,86313,1136240,1625,39307,257733,28460,58048,0,60288,32440,21394,485816,0,39601,11671,44939,282733,0,352270,80158,3343300,44060,5278,69559,1089583,3961681,455521,198175,131971,47330,0,158883,0,39474,10995,0,48747,77468,0,137431,178116,6334,0,0,1297,17373,0,17760,140401,134764,797110,8650,13362,114553,20258,43139,5802188,10953,440226,116766,82583,140101,19464,33378,142891,77243
