	CSM79HG5	CSM79HGP	CSM67UDR	CSM67UDR_TR	CSM67UDY	CSM79HM9_P	CSM7KOMP	CSM79HPQ_P	CSM79HPO	CSM79HPU	CSM7KOJW	CSM7KOJY	CSM7KOK1	CSM7KOKB	CSM7KOKL_P	CSM7KOKN	CSM7KOOL	CSM7KOON	CSM7KOP2	CSM7KORG	CSM9X1Z4	CSM9X23N	ESM5MEBI	ESM5MECL	ESM9IEP1	HSM67VEM	HSM67VEM_TR	HSM7CYX2	HSM7CYX4	HSM7CYXS	HSM67VG8	CSM7CZ2F_P	HSM7CZ2H	HSM67VGI_P	HSM67VGK	HSM67VGK_TR	HSM67VGY	HSM7CYZD	HSM7CYZF	HSM7J4QB	HSM7CYY7	HSM7J4PI	HSM7J4PK	HSM7J4PU	HSM7J4PW	HSM7J4HI	HSM7J4HK	HSM7J4I7	HSMA33OV	HSMA33OX	HSMA33OZ	HSMA33RX_TR	HSMA33RX	MSM5LLDC	MSM5LLDE	MSM6J2PM	MSM6J2OL	MSM6J2ON	MSM6J2RC	MSM6J2Q7	MSM6J2Q9	MSM79HBP	MSM79H5Y	MSM79H5S	MSM79HAH	MSM79HB6	MSM79H6L	MSM79H6N	MSM79H9Y	MSM9VZHF	MSM9VZLR	MSM9VZLV	MSM7J16N	MSM7J16P	MSM9VZOW	MSM9VZOS	MSMA26AX	MSMA26AZ_TR	MSMA26AZ	MSM9VZOO	MSM9VZOQ	MSMAPC7R	MSMAPC7T	MSMB4LZC	MSMA26BX	MSMB4LZ8	MSMAPC55	MSMAPC57	MSMAPC59	MSMA26BJ	MSMA26BL	MSMB4LXY	MSMB4LZK	PSM7J13E	PSM7J13U_P	PSM7J13Y_P	PSM7J13Y	PSM7J18I	PSM7J18K	PSM7J12B	PSM7J156	PSM7J16Y	PSM7J171	PSM7J15O	PSM7J15Q	PSM7J15S
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	39.54442	33.28222	30.99342	31.58203	27.94729	4.87973	3.54189	1.16136	4.4761	20.30994	0.0	0.23385	0.00396	23.72812	32.98714	42.41802	22.22779	13.16451	39.12442	36.19149	13.51387	27.93451	54.75909	45.35503	1.92598	0.0	0.0	0.79346	0.0	24.993	7.48779	17.57567	30.8351	9.85735	1.81667	2.19918	0.0	0.0	1.2106	0.0	4.58219	11.33697	12.08327	0.0	0.01193	18.53266	21.39272	16.91138	29.2544	25.41854	45.70381	10.62299	14.4931	5.11453	5.01294	16.04052	72.77925	69.37893	11.3737	10.18425	8.22188	20.6598	34.66908	25.42697	24.47718	14.8547	2.67905	5.59311	3.3154	2.4525	7.32392	2.02465	13.57714	22.43818	0.0	0.01356	21.80942	23.55436	25.19351	0.0	0.0	54.05384	36.59967	52.18205	25.62484	25.92965	3.88512	29.44648	17.80617	4.43424	8.35721	0.16743	16.10439	23.3007	0.0	0.00883	0.00661	18.88515	54.01442	42.27969	11.26689	17.42417	3.99674	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	34.33438	35.69675	10.25957	8.09958	24.40986	2.34016	2.83166	4.27839	6.78036	0.0	24.34813	52.78542	50.19167	15.48791	1.85726	4.88467	10.19979	12.63028	0.0	4.30947	44.45186	32.14551	0.0	0.0	1.24152	16.82174	12.72899	9.64278	32.62663	4.58466	30.17677	6.30934	2.63935	1.16186	0.57593	0.52925	24.05106	0.0	0.56243	0.0	43.96998	5.45478	0.0	21.54322	15.75507	1.26269	1.20624	9.88943	7.10171	5.96209	2.72014	45.77979	36.57052	0.0	0.0	4.21049	12.9849	12.73327	5.97594	19.60399	19.51732	0.0	13.5671	15.34895	22.9456	24.10121	6.9163	2.82581	2.93725	1.76636	10.80694	2.09035	2.79844	3.69968	0.0	0.0	14.70415	8.47125	7.55042	0.0	0.0	6.29778	7.52032	3.88426	25.77921	10.43243	9.28754	0.0	0.01549	6.12518	7.2373	16.80727	7.49728	9.37688	10.25587	12.87779	12.59128	4.42574	8.2397	0.0	5.98421	14.18627	3.06342	0.0	0.0	0.06728
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	15.9854	7.88694	0.0	0.0	0.0	1.06875	1.29938	0.0	0.0	0.0	1.22026	1.22924	1.46648	6.30054	2.88721	1.336	0.61045	3.98534	0.0	3.40453	0.60578	7.37838	0.0	0.0	0.07405	0.0	0.0	0.29546	0.0	0.0	0.2444	0.51418	0.40413	3.39889	0.81941	0.80627	1.54916	10.93735	8.2979	3.29308	0.0	0.24629	0.0	4.06265	4.8334	0.0	0.0	0.1167	0.0	0.0	0.00101	6.02835	6.86011	0.0	0.0	3.18877	0.0	0.0	0.3155	1.08104	0.33652	1.14199	1.13339	1.09615	1.24583	0.48328	2.2954	0.91856	0.34286	0.19387	2.66316	0.11542	0.10805	0.21661	0.0	0.0	0.0	0.0	0.0	20.87509	15.06182	1.6556	2.87287	1.88754	0.27945	1.34594	1.9474	0.0	0.00892	1.85254	4.27818	0.0	2.54154	0.07962	0.0	2.97473	3.18108	0.0	0.0	24.8759	0.0	0.29528	0.05962	0.0	0.0	0.0051
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.11549	1.3939	12.55704	7.80481	1.74223	4.15621	7.62177	3.35446	0.0	0.0	0.0	0.0	1.23624	7.50491	2.20803	2.78556	8.44216	6.75791	0.40462	2.41441	3.01686	3.31186	5.20462	10.70019	4.88828	38.63395	41.69585	38.03393	10.66857	6.95485	2.01558	3.59856	4.99843	4.44019	7.21138	5.04185	17.6402	14.99546	15.03055	11.854	0.0	40.48869	24.67241	2.92292	10.50873	13.55631	8.84339	1.72053	12.14704	14.80897	3.43999	3.92315	4.82512	18.89497	24.41848	3.52677	1.14871	0.80971	3.72003	3.6481	0.0	9.04656	7.77891	6.10241	6.59777	0.58616	4.2158	6.41767	9.85608	8.56438	4.67561	8.40816	21.07528	5.54636	18.13834	12.12342	14.07524	15.33675	14.16915	6.89641	8.81529	2.22805	3.83552	1.42074	5.22003	8.48431	4.11167	0.77091	1.56872	12.61281	15.83246	7.01351	0.37282	16.39912	0.75695	7.08905	8.03688	23.71692	25.32833	1.88629	29.80799	3.38616	1.29032	31.92222	15.09282	17.05754
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis	0.02911	1.54963	0.0	0.0	0.0	14.4051	3.18274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13571	0.39926	1.31586	3.13131	0.92897	4.43959	0.0	1.43279	1.66799	2.87193	1.37189	7.93336	12.76695	2.79731	3.19224	0.0	0.62647	0.06139	0.066	1.60896	4.72545	5.96271	0.0	0.0	0.02251	0.0	0.0	1.88527	0.0	2.15776	10.04884	0.0	0.0	0.08756	0.24727	15.29262	2.02493	0.17217	0.28104	0.11912	1.89286	0.0	0.0	0.0	0.08146	3.18515	5.9454	1.38054	0.0	1.33794	0.89891	0.15113	0.02873	0.00878	0.80698	0.55263	0.11611	30.81678	0.0	0.0	0.0	0.0	9.47657	13.48686	13.2243	0.07091	1.33835	0.00113	0.0	0.12241	8.1294	3.90913	1.57414	0.0	0.0	15.01517	0.42861	1.88815	0.29678	2.87446	0.3428	2.45826	2.47959	0.0	0.0	5.06475	13.81692	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	2.7725	2.17981	2.39222	1.21379	5.30713	1.2996	0.0	0.11366	7.92732	0.0	5.83781	3.06563	4.60441	7.40754	11.15623	5.00362	4.85728	2.91448	5.63312	0.0	2.5043	3.8956	0.0	0.0	1.02855	0.0	0.0	0.0499	0.0	14.53826	1.85578	4.89028	3.99021	3.35284	0.57249	0.64236	4.23939	8.49745	4.64249	3.81475	0.0	0.0	0.0	0.0	0.0	2.59101	2.13311	1.36273	1.38386	1.31253	0.61363	1.6844	2.27719	1.119	0.74522	0.0	0.0	0.0	3.77863	5.79182	11.93029	0.69824	1.803	4.84099	1.60318	9.55831	1.9369	10.10595	4.9288	0.89614	1.89545	0.88182	5.33763	20.46647	0.0	0.0	1.5385	3.26617	3.48934	0.0	0.0	0.0	0.0	0.0	0.9232	2.36831	1.74187	0.0	0.0	0.18519	3.69553	0.0	4.73785	2.05176	0.0	7.47213	7.80283	0.0	0.0	4.37096	1.90546	8.93176	1.96995	0.0	0.0	0.01011
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_clostridioforme	0.37384	0.36676	0.0	0.0	0.00141	0.0	0.0	0.0	0.0	0.0	0.0	0.01354	0.04597	0.03252	0.04311	0.0	0.0	0.0	0.15631	0.0	0.00253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68277	2.5238	0.99516	0.0	0.0	0.0	0.02817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11677	0.13001	0.1249	0.0	0.0	0.0	0.0	0.01349	0.0	0.0	0.0	0.02038	0.0	0.21404	0.07269	0.05083	0.0	0.0	0.0	0.0	0.0	0.0	0.11867	0.02201	0.16644
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	4.24346	2.388	0.0	0.0	0.0	0.51496	2.5555	0.17833	64.20193	13.27438	0.0	0.0	0.0	0.0671	0.06081	0.0	1.86611	0.52069	0.0	0.05135	0.0	0.04595	0.0	0.0	0.0	6.11588	5.47441	2.94296	11.28785	0.00308	1.95107	0.3554	0.01805	0.0	0.00172	0.0	1.54087	31.47921	12.67743	22.48646	13.78098	0.0	0.0	29.16578	8.2809	0.0	0.0	0.0	0.0	0.0	0.19663	0.0	0.0	3.89711	3.65403	0.0	2.17859	4.15994	0.43604	0.0	0.0	0.0	0.53376	1.37002	1.29126	5.46221	3.51409	4.66026	2.15995	0.02784	0.0	0.0	0.0	0.03403	58.47357	43.55525	0.0	0.0	0.0	0.0	0.0	0.42002	0.36747	0.59477	0.0	0.0	0.19194	2.75141	5.25992	0.0	0.0	13.85373	0.0	0.0	0.0	0.0	0.0	4.43228	2.08246	0.21192	0.40358	0.70426	0.2885	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	0.02759	0.29207	0.15748	0.19817	0.13253	0.24287	0.25608	0.04194	0.0	0.0	4.31101	1.51322	1.11356	0.0	0.19625	0.07508	0.09207	1.40704	0.0	0.09326	0.3859	0.195	0.37173	0.26948	0.0	0.85464	0.55767	2.31258	0.22397	0.05009	0.08258	0.03377	0.83672	0.0	0.10357	0.1548	0.33269	0.0	0.0	0.0	0.00313	0.0	0.0	0.05283	0.66361	0.18179	0.69973	0.05606	0.0	0.0	0.0	0.0	0.0	0.45414	0.8059	0.6214	0.92606	0.18137	0.0	0.62969	1.81365	2.71814	0.28443	0.53811	0.16529	0.27546	0.09925	0.09189	0.18604	1.116	1.388	0.76665	2.38981	1.21469	0.0	0.0	0.12811	0.1031	0.18147	0.12007	0.07777	0.0	0.0	0.0	0.51139	1.22907	0.74648	0.0	0.0	0.18534	0.23682	0.49184	0.09108	0.0	0.0	0.0	0.0	2.09708	0.02003	0.64457	0.2264	1.32879	0.01758	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii	0.1399	1.05116	0.29371	0.3871	1.39831	0.13838	0.01786	0.12695	0.0	0.0	0.85657	0.37345	0.38061	0.57647	0.07443	0.07833	0.0	0.0	0.15133	0.49024	0.10629	0.52261	0.1943	0.01665	0.1627	0.54441	0.68502	0.29651	0.67111	0.06075	0.58675	0.58271	1.0494	0.06117	0.03783	0.05878	0.72884	0.45249	0.26203	0.32868	2.58215	0.0	0.0	0.20853	0.63333	0.22436	0.14218	0.0827	0.31808	0.23856	0.04494	2.08507	1.30538	1.50718	1.62917	0.05616	0.01009	0.13711	0.03263	2.15546	0.99902	0.504	0.04539	0.15774	0.08748	0.41683	0.00903	0.0	0.00276	0.0	0.0	0.0	0.03229	0.67548	1.26389	3.57492	0.72095	1.09902	0.82955	0.09907	0.12781	0.41607	2.88265	1.07344	1.47834	0.44319	0.91105	3.84699	2.02428	0.01389	0.02955	1.38977	0.09923	0.16984	1.75934	1.00748	1.41956	0.01636	0.09545	2.33588	0.0303	0.0	0.0	0.9505	7.11529	5.31579
