,CSM79HLE,CSM7KOMV_P,CSM7KONW_P,CSM7KOPK,CSM7KOPM,CSM7KOPW,CSM7KOR2,CSM7KOR4_P,CSMA8M9R,CSMAAEUA,CSMACTZP,CSMAF72L,HSM7CYXA,HSM7CYXC,HSM7CZ2L_P,HSM7J4QH,HSM7J4QJ,HSM7J4M8,HSM7J4IQ,HSM7J4IR,HSM7J4KI,HSM7J4KK,HSM7J4O1,HSM7J4NY,HSM7J4O3,HSM7J4O5,HSMA33ME,HSMA33MG,MSM6J2OP,MSM6J2QD,MSM79H63,MSM79H65,MSM79HA3,MSMA26ER,MSMA26AL,MSMA26AN,MSMA26EH,MSMA26EJ,MSMB4LZ4,MSM9VZHN,MSM9VZHP,MSMAPC5D,MSMAPC6O,MSMB4LZZ,PSM7J14L,PSM7J14N,PSM7J16F,PSM7J16B,PSMA265F,PSMA265L
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,38.24109,3.6939,7.34021,0.00123,0.01288,24.34329,46.8283,31.76815,19.60022,22.73584,37.45846,31.14739,0.0,0.0,10.47737,0.0,0,11.45784,0.31822,0.0515,21.80389,17.17511,17.40331,26.99958,18.25845,13.99447,32.22531,26.99524,66.85951,14.01304,26.43109,10.18346,1.93888,1.95722,24.9394,31.092,0.0,0.0,11.97913,0.0,0.0,28.63999,4.18741,8.53873,0.0,5.72358,39.35378,0.82408,0.00497,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,21.74523,4.52785,29.96203,42.09044,47.11976,22.99948,5.88122,7.58104,12.58232,16.39799,0.0,0.00105,25.67226,18.28545,15.2619,0.0,0,13.71483,11.1752,9.91712,1.97411,1.96186,9.35317,12.7228,13.51725,18.25702,4.16185,2.16531,18.16317,29.04125,21.74656,23.19701,2.02111,2.05518,2.10309,2.53446,0.0,0.0,4.98803,0.01206,0.0,0.0,7.37806,9.09493,0.0,0.58412,0.0,0.0,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,0.03132,1.87545,0.0562,3.01211,2.44908,7.53745,1.48627,1.78657,3.29767,2.69918,0.0,0.0,0.0,0.0,0.4846,1.36164,0,0.022,3.39398,3.8652,0.0,0.0,0.5085,0.18715,0.16136,0.21946,0.0,0.0,0.0,2.02138,4.46728,1.44651,0.03338,0.45999,0.40398,0.29336,0.0,0.0,0.0,3.88988,3.3437,0.00689,3.43163,2.78439,0.0,0.0,19.70418,0.0554,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,0.52476,10.42587,4.57411,1.65042,2.95191,5.10031,1.02969,2.95529,6.38671,4.51117,2.32967,0.37046,29.53099,24.42854,27.54423,13.1332,0,19.49974,5.95036,6.77967,18.41021,3.92372,2.02732,0.85376,0.80403,1.96495,0.3351,13.13384,4.24092,2.95946,4.31578,0.85277,1.19852,1.78358,1.99249,1.5383,0.0,16.69882,24.61662,15.16983,34.16013,1.84903,18.57342,7.71074,0.0,23.7852,2.47591,0.15158,69.27134,31.83897
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,0.0,4.89374,0.17001,0.0,0.0,0.0,0.06409,0.00908,2.30334,0.95337,4.48488,1.36435,4.37194,3.18546,0.88316,0.0,0,2.10959,0.0,0.0,0.0,0.0,0.00735,0.00103,0.07787,0.0,7.48131,2.02851,0.0,0.41768,0.93558,8.55635,0.08379,4.24303,0.0,0.0,0.0,26.94723,7.063,4.69962,0.68467,0.0,0.0,0.0,0.0,0.0,15.01854,0.0,0.0,10.14116
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,4.01758,0.0,1.17761,5.4641,4.84548,6.15643,6.9461,4.47489,4.10976,3.39377,6.32727,4.21481,0.0,0.0,6.55965,0.90348,0,0.0,0.05432,0.0,4.88133,12.87148,6.71612,1.72119,4.80589,1.53002,0.77398,0.0,0.0,7.35661,4.23581,5.30631,1.79379,1.01474,4.5685,18.71057,0.0,0.0,1.08455,0.0,0.0,0.0,0.7777,1.34969,0.0,0.0,5.07735,0.3445,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_clostridioforme,0.0,0.0,0.0,0.0,0.00945,0.30728,0.0,0.0,0.0,0.0,0.04104,0.02707,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.01782,0.0,0.0,0.06371,0.0,0.0,0.0,0.06756,0.02008,0.49263,0.0,0.0,0.0136,0.0,0.0,0.0,0.0,0.0,0.0,0.01611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21658
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,0.0,3.89721,1.4511,0.0,0.0,0.4283,0.0,0.0,1.76359,0.68007,1.89019,1.50545,9.82272,26.46286,0.06043,3.7618,0,0.0,30.64103,24.00818,7.5258,16.21061,0.0,0.20775,0.04164,0.0,0.0,5.64095,2.42358,0.0,0.0,0.0,0.71019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00718,0.0,0.0,0.0,0.36942,0.06007,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans,0.11409,0.27754,0.10135,0.92452,4.22127,0.12637,0.11469,0.19946,0.13292,0.11911,0.0,0.0,0.99792,0.28957,0.11627,4.83495,0,0.0,0.36297,0.16622,0.58001,2.47603,0.02897,0.08031,0.01149,0.0,0.0,0.0,0.30273,0.54639,0.46689,1.73718,0.01982,0.7368,1.25469,1.34844,0.0,0.0,0.38468,0.06265,0.09808,0.0,0.20679,0.32737,0.0,0.74347,0.37186,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii,1.19021,0.06732,1.22827,1.08621,0.20209,1.39793,0.63071,0.67862,0.01076,0.0,8.77715,1.82957,1.01561,0.40947,0.32569,0.0659,0,0.08876,0.06772,0.63532,0.04162,0.12577,1.07856,0.09483,0.28085,1.05696,0.03144,0.0,0.19136,0.592,0.17032,2.5709,0.0,0.0,2.78524,0.15849,0.0,0.0,0.34159,0.02438,0.04396,4.50493,0.01265,0.09122,0.0,0.00136,2.34157,0.0,4.79886,5.90151
