"","BCN-01_1","BCN-02_1","BCN-03_1","BCN-04_1","BCN-05_1","BCN-06_1","BCN-07_1","BCN-08_1","BCN-09_1","BCN-10_1","BCN-11_1","BCN-12_1","PRIMM0001","PRIMM0002","PRIMM0003","PRIMM0004","PRIMM0005","PRIMM0007","PRIMM0008","PRIMM0013","PRIMM0017","PRIMM0029","PRIMM0030","PRIMM0032","PRIMM0035","PRIMM0044","PRIMM0050","PRIMM0059","PRIMM0060","PRIMM0062","PRIMM0064","PRIMM0068","PRIMM0069","PRIMM0077","PRIMM0078","PRIMM0079","PRIMM0080","PRIMM0087","PRIMM0088","PRIMM0091","PRIMM0094","PRIMM0109","PRIMM0111","PRIMM0113","PRIMM0116","PRIMM0117","PRIMM0123","PRIMM0129","PRIMM0137","PRIMM0140","PRIMM0143","PRIMM0154","PRIMM0155","PRIMM0159","PRIMM0162","PRIMM0166","PRIMM0168","PRIMM0171","PRIMM0178","PRIMM0181","PRIMM0193","PRIMM0197","PRIMM0199","PRIMM0201","PRIMM0204","PRIMM0210","PRIMM0215","PRIMM0218","PRIMM0219","PRIMM0220","PRIMM0232","PRIMM0234","PRIMM0240","PRIMM0241","PRIMM0242","PRIMM0256","PRIMM0261","PRIMM0264","PRIMM0266","PRIMM0271","PRIMM0276","PRIMM0278","PRIMM0281","PRIMM0287","PRIMM0300","PRIMM0301","PRIMM0308","PRIMM0310","PRIMM0325","PRIMM0328","PRIMM0331","PRIMM0352","PRIMM0353","PRIMM0354","PRIMM0357","PRIMM0361","PRIMM0365","PRIMM0378","PRIMM0380","PRIMM0381","PRIMM0383","PRIMM0386","PRIMM0387","PRIMM0391","PRIMM0394","PRIMM0398","PRIMM0399","PRIMM0403","PRIMM0404","PRIMM0411","PRIMM0417","PRIMM0421","PRIMM0422","PRIMM0423","PRIMM0424","PRIMM0426","PRIMM0427","PRIMM0434","PRIMM0435","PRIMM0445","PRIMM0447","PRIMM0455","PRIMM0460","PRIMM0461","PRIMM0467","PRIMM0473","PRIMM0474","PRIMM0475","PRIMM0477","PRIMM0483","PRIMM0498","PRIMM0511","PRIMM0513","PRIMM0516","PRIMM0521","PRIMM0525","PRIMM0526","PRIMM0532","PRIMM0536","PRIMM0541","PRIMM0543","PRIMM0544","PRIMM0546","PRIMM0549","PRIMM0551","PRIMM0557","PRIMM0559","PRIMM0561","PRIMM0563","PRIMM0565","PRIMM0567","PRIMM0569","PRIMM0571","PRIMM0573","PRIMM0575","PRIMM0576","PRIMM0578","PRIMM0589","PRIMM0590","PRIMM0594","PRIMM0597","PRIMM0601","PRIMM0602","PRIMM0610","PRIMM0611"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",5798641,7450887,905573,1296417,2809515,467658,458380,4508473,1400986,3989025,762223,1962639,942370,269991,351888,2026541,367864,1709015,599865,757086,31648,518496,79923,2396069,2004096,16553836,583722,738262,1446879,73950,1058,47099,1211775,59333,141400,922296,405195,310381,1452618,719423,1235882,1744,595366,493982,1951270,123825,0,223347,146138,69196,54223,239208,13942,67246,13767,58127,110550,1877587,129315,138360,1483776,23559,7147,154643,505391,597323,1242075,420995,176604,11466,241096,118667,2941279,148389,2805,901322,168721,418,1515930,203250,31648,83040,2405652,1692,83215,283908,47470,2213,238,46813,2238,85352,4613,110468,0,63103,1706624,6153,33519,20257,849908,196611,190038,474863,8696,64463,11376,243001,55771,67998,1328,65707,185018,2719,0,11747,5817,20318,9004,1524,0,2299,354969,3133,10560,220742,537,3825,29841,4000,2026,118188,514,60515,246845,493,408,623350,74081,1727121,1567056,62097,1138089,63099,505413,1893810,2063626,7525,168791,1315166,725755,764721,270233,13776253,1046289,1300252,333172,16249,50775,439408,36355,147743,380307,3060495,1918009
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans",3371395,1089854,445,243881,0,330150,548564,0,0,206353,58428,18654,77980,5034,80327,108814,37287,2108794,1779,38338,160116,14107,0,45284,225550,1317,13541,522038,0,0,15252,0,0,62646,0,0,526595,0,0,114681,327543,29436,12238,202295,716252,10294,0,18785,223748,0,0,233724,0,9951,17325,0,0,940522,0,264525,21777,7039,0,0,0,5182,20193,0,0,0,18253,155771,0,43144,0,458217,2235143,0,74016,32919,0,9797,0,4460,455653,6410,0,0,0,0,50943,212469,5553,0,0,0,79604,0,0,0,857858,0,29632,187186,0,3765,0,12739,0,15425,1412,11090,0,0,0,0,7278,36073,23636,0,0,0,122,0,0,17630,20255,0,0,0,12184,2008063,0,6548,77321,0,39,23471,19781,0,0,57750,0,590216,0,180656,350217,0,90814,0,10831,1858274,13134,0,75550,164278,844529,9158,1809,272904,1895,25004,0,43410,902868
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",1853893,3692127,0,1799234,685209,7300434,692260,3221856,413022,1258296,0,0,668286,0,0,2381096,408,2517,1630741,206480,5253,38632,14578,1317364,467316,588209,211187,201110,4103,109727,162,8284,861,52885,92771,367131,93531,183845,4317,77542,212238,552,3213486,305,210350,9713,0,9664,4653,48664,4604,130,3404,12724,21113,6230,70030,191490,58341,0,670782,102891,0,7932,135010,837921,83358,142090,68037,2625,53820,25416,231971,70829,473,624996,108258,0,1149,789,2306,25844,0,977,58284,211901,3871,600,0,9253,883,64854,65,1208628,11432,8117,863237,544,0,13311,257174,53239,42736,3126,392,30000,13013,620674,56851,88339,0,3405,267,1616,0,0,1318,7655,41882,0,0,941,0,0,23718,147439,1118,0,18641,0,17635,427625,0,62500,1214288,19627,0,448428,111025,0,2613234,205158,3966284,161266,4245523,496720,1344077,201810,684717,0,358710,1002442,1364722,0,524016,0,273924,15573,181060,545015,4862,556550,328017,2328352,1853536
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei",1454557,140434,2661323,336687,0,0,26934,784998,1256963,136041,4296521,0,69105,31334,174433,2643,2788812,514547,202981,183124,780,450397,0,49269,1365,2469865,11029,2444,1719266,1993,0,0,1409214,22670,34596,20596,1632,0,256523,666000,359213,2167,113989,38311,712574,2416,0,0,47748,354,37640,29242,0,439,6193,6493,37657,47013,0,112694,519262,0,0,132586,2329,0,0,281054,0,0,93270,13078,16638,0,444,583645,60255,0,810896,202534,3476,0,394026,782,71219,3407,10420,607,0,1377,227,0,84,758,0,39304,201795,0,0,11738,433593,0,0,39825,1171,20336,0,48260,1621,0,0,0,29037,1131,0,0,6466,0,27050,12516,0,39554,117491,0,0,566,0,4067,4209,285,0,55316,612,6527,0,5487,730,49187,8054,8062751,0,9232,158528,10212,0,799524,123927,5135,0,3444013,358582,23469,533125,7170193,1121806,174611,2361,0,0,0,7919,0,2311738,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",1196026,730276,984592,281326,4161,1712615,1274716,1667979,155140,660834,971189,13894,82586,297533,1730274,815464,1043418,1194192,228578,517282,380442,341318,56137,430944,219170,169274,217217,1361878,960970,25304,21636,29240,1747306,440523,14374,831492,131796,380404,836187,794247,617504,3181,1300818,518739,903835,450684,3010,105495,1123614,22560,6498,479501,32190,202821,319226,19059,0,3835441,152013,284465,826160,68993,13607,384890,41078,205504,153990,887876,18619,224286,205513,647978,7528,31915,87782,5360256,12320998,7469,1734558,40560,45694,181947,844151,274330,1141374,4959639,2130570,174707,1283094,129756,3900,1375378,429236,61839,0,206842,1139819,42682,190344,1962144,4999161,219885,179910,237249,1430312,284528,752215,499408,103433,106670,3586,381943,31161,744646,0,396675,68328,428772,1205431,155818,3070,671,800473,575312,4288555,387668,477649,50662,2023204,17386,550619,2204557,268124,1489155,1945139,14869,58003,3354945,1068542,4625817,1109477,184542,534614,990452,1173991,1277810,1066725,1065329,825433,506816,862588,1090068,689031,9324,2382154,350677,350773,607777,514618,805411,17301,3661641,1783113,506408,1245648
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius",1011513,7870373,0,2025093,0,0,0,7205217,0,4265843,0,0,0,0,13440,0,0,0,0,0,0,0,376,0,0,0,14109,64181,0,0,0,0,110156,0,0,0,12239,0,0,0,0,1373,0,3006,0,0,0,0,0,0,0,6326,13540,0,1522,0,0,0,0,0,0,0,0,0,0,0,0,3745,0,0,0,64500,12821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52081,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5334,0,0,10828,0,0,868,0,0,0,0,71782,0,53591,18791,0,0,22088,0,0,0,0,0,0,0,0,0,0,91601,0,0,0,0,0,0,0,0,371831,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae",992065,236089,185960,0,63397,0,0,30333,81052,0,1707041,0,0,0,0,0,423372,0,366020,0,0,0,0,211998,0,0,691,0,0,0,0,0,0,0,64101,0,0,0,0,0,0,0,1005997,0,0,0,0,2109,18993,0,0,0,0,0,0,0,0,42916,0,0,0,0,0,0,0,0,325022,0,0,0,0,0,841,0,0,199899,535,0,85709,0,0,0,0,0,0,0,0,0,0,2417,0,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0,2099,0,0,0,0,0,0,0,0,0,0,3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9989,0,0,0,0,0,0,0,0,0,0,0,20166,0,0,17723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",979471,2027031,308674,0,0,13628937,0,5868051,584911,0,2198870,0,8369,0,46631,302776,0,0,321649,252272,326,826,6491,582296,0,560,1851,448161,709,859,0,0,0,5996,0,0,135,47116,0,206744,0,0,374410,7298,340845,867,0,0,2615,1570,0,5959,682,0,3895,0,10843,0,0,0,0,0,0,613,0,0,0,0,0,0,2467,11838,145677,0,0,318309,485,0,0,0,0,0,0,0,0,25353,0,0,0,8496,0,12091,0,55968,0,0,216974,547,0,5235,392832,166,0,0,0,0,4787,640436,0,19098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264146,0,0,0,0,4858,451846,0,0,210358,0,0,20907,6462,0,0,43790,0,0,505660,1121620,1188718,37372,0,0,0,191872,388176,0,742890,0,0,0,4509,0,0,185733,234727,2645008,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens",978374,15714,13155,21081,33524,5373,455519,152822,2974,0,0,990311,72443,37,0,390359,0,156724,4696,5633,1075,1346,0,15937,6994,3392,1158,14707,0,17773,5349,0,9625,6892,0,3246,6109,0,1105,10309,10110,1981,55162,0,13522,13679,0,115,15958,1291,0,29074,839,3990,16694,0,0,0,0,11026,49655,2234,0,2155,0,25912,9723,5748,0,0,490,9260,0,8109,0,2861,821023,9834,520114,1622,0,0,2675,0,37395,590683,574,2023,45115,0,0,6810,0,0,0,0,20933,0,0,1205,194402,2609,2267,10433,29177,40,0,0,0,298,0,907,1186,796,0,0,2949,1872,0,0,0,0,0,0,80135,1860,0,0,6450,0,0,35005,0,0,0,2788,0,169681,24934,39666,46006,108992,0,136633,49810,0,584734,5385,34513,37271,39084,206390,39279,0,170074,32625,5168,2282,0,28752,0,23753,52713,0,105201
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_279",879205,1964255,0,0,0,4941032,1841306,3786388,0,0,0,0,0,0,0,0,0,0,0,0,0,78862,0,0,0,0,0,0,0,0,0,0,0,120003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2342,273599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23444,146649,0,0,522,0,0,0,0,0,0,0,0,0,45958,0,0,0,0,0,870,0,0,0,0,0,20295,517271,0,15071,0,0,0,287821,41262,0,7866894,0,0,0,0,0,0,122437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
