"","F-006C1A","F063-C1U","F-001C1A","F-004C1A","A05","F-058-C1A","N10","F-050-C1A","F-003C1A","F-008C1A","F-037-C2U","F-035-C1A","F-046-C2U","N06","F-045-C1A","F-033C1A","F-041-C1A","N16","F-044-C1A","F-028C1A","F-062-C2U","F-059-C1A","A09","F-007C2U","F-054-C2U","F-034C1A","F-039-C1A","F-042-C2U","F-060-C1A","A15","F-027C1A","F-027C2U","F-036-C1A","F-020C1A","F-030C1A","F-019C2U","F-055-C1U","F-011C1A","F-007C1A","F-023C1A","F-016C2U","F-037-C1A","F-002C2U","A04","F-014C2U","F066-C2U","F-024C1A","F-061-C1A","F-032C1A","F-015C1A","N01","F-025C1A","F-030C2U","F-031C1U","F-025C2U","F-040-C1A","F-057-C2U","F-014C1A","F-022C1A","N09","N02","F-047-C1A","F-046-C1A","F-023C2U","F-029C2U","F-044-C2U","F-004C2U","F-009C2U","F-049-C1U","F064-C1A","F-010C1A","A12","F-018C1A","A07","F-022C2U","F-017C1A","F-050-C2U","F-052-C1U","F-039-C2U","F-056-C1A","N04","F-018C2U","F-041-C2U","N07","F-042-C1A","N13","F-017C2U","F-021C2U","N11","F-020C2U","F-048-C1A","F-029C1A","N15","F-002C1A","F-051-C1A","F-028C2U","F066-C1A","F-013C1U","A18","F065-C1A","A02","F-015C2U","F-026C1A","F-061-C2U","N20","F-053-C1U","A17","F-019C1A","F-024C2U","F-062-C1A","F-058-C2U","F-001C2U","N08","F-038-C1A","F-043-C1A","F-051-C2U","F-016C1A","A11","N14","F-012C1A","F-008C2U","A01","A14","A10","F-054-C1A","N17","F-003C2U","F-021C1A","A19","F-057-C1A","F-005C1A","N19","A06","F-009C1A"
"sp1",4,0,64,0,66,2,77,2,12,13,105,2,3,11,8,17,22,18,1,6,20,0,0,0,11,33,2,12,1,21,0,11,0,11,9,53,6,1,0,6,7,0,1,21,3,14,27,43,302,0,9,9,7,5,37,4,5,23,2,65,131,8,5,13,2,9,1,2,3,1,2,2,2,115,4,0,0,0,1,6,164,8,145,120,0,315,0,14,1050,1,68,10,3,13,3,15,5,0,749,7,293,12,160,1,42,2,0,3,19,0,0,112,8,13,9,4,0,251,99,1,0,853,162,2968,13,6,2,1,0,8,38,587,29,11
"sp2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp4",5,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,1,10,18,0,0,2,0,0,0,1,0,24,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,32,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,36,2,0,1,1,1,0,0,0,0,0,2,3,1,0,0,3,0,1,0,0,0,1,0,0,116,0,0
"sp5",499,1962,348,5459,23,1369,1,1184,5364,425,2319,3406,5740,8,5341,2787,1960,77,4546,5226,673,4695,4,56,2794,966,1880,1865,1622,51,5468,4128,4238,2958,3258,1797,4388,8044,1591,5693,1530,1253,579,22,5269,4377,1137,1649,5746,287,24,2287,3786,6100,2776,950,1574,2593,3234,3,12,808,1170,426,4309,1257,3240,598,723,4447,2429,5,4545,70,2565,7172,16,4915,1246,2178,1,6899,1442,2,495,388,6209,1558,2,593,1627,4527,19,526,2097,3716,866,1304,28,1881,7,2559,2272,1833,9,2001,1,1377,3541,382,908,4883,14,4169,2469,2831,123,2,11,1333,1121,7,19,2,2642,33,2490,4148,10,3811,3987,3,29,2738
"sp6",42,201,0,0,0,0,0,0,0,123,35,3,9,7,0,0,46,0,0,0,0,0,0,0,19,250,0,58,0,0,33,0,28,1,1,6,0,0,0,42,0,1,91,3,0,0,0,0,0,0,0,0,0,0,0,0,49,51,106,0,0,0,0,80,0,0,0,0,0,151,0,0,0,0,71,0,0,0,0,0,4,0,27,2,53,0,0,0,0,0,59,0,0,33,15,0,54,231,2,31,0,0,57,0,12,0,0,205,0,10,0,0,0,0,0,4,0,0,0,24,68,0,11,0,62,1,0,1,16,1,56,0,13,0
"sp7",0,0,0,1,0,0,0,0,0,33,25,16,1,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,19,0,0,5,0,0,0,1,8,0,0,0,0,23,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5,0,0,1,0,4,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"sp8",21,15,0,0,1,24,0,0,0,13,0,9,71,0,15,4,2,1,25,14,1,18,0,3,0,89,10,11,5,0,3,2,0,0,9,0,1,0,12,1,6,0,15,2,3,0,2,22,6,0,1,0,16,31,6,0,37,0,10,0,0,0,22,0,12,0,0,2,36,13,4,0,6,0,23,65,0,24,16,35,0,4,2,1,6,0,1,7,0,9,10,18,0,2,22,86,0,6,0,15,0,3,11,5,6,5,0,6,0,2,22,0,0,0,0,0,0,0,0,5,31,0,0,0,0,1,14,0,1,13,29,0,0,7
"sp9",72,45,9,63,74,65,0,470,17,121,42,31,44,2,156,55,62,75,25,0,5,164,14,2,55,0,23,327,182,0,33,113,19,3,127,172,183,114,51,35,51,15,29,8,19,303,56,70,54,4,14,102,41,133,8,756,163,250,64,0,2,54,109,5,49,28,243,27,109,102,8,4,141,11,92,183,45,84,60,11,9,49,34,6,65,1,0,145,0,47,69,108,10,44,32,10,78,47,16,231,4,61,82,23,0,89,1,98,143,30,75,324,9,0,87,1,25,4,11,20,85,3,9,1,143,4,82,1,3,215,9,1,6,73
"sp10",0,0,0,0,0,61,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,15,0,28,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,7,0,0,25,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,0,0,10,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"sp11",0,3,0,0,0,2,78,0,0,0,0,0,0,1,0,0,0,0,0,0,5595,1,0,0,0,3,1531,0,0,0,0,0,0,0,1,1,1983,0,0,0,6,33,424,3,1,0,1,3,0,0,1,1,0,0,0,206,0,0,0,6,0,0,160,1,2,0,0,1,83,0,0,0,0,0,3,0,0,0,1228,0,0,0,2,7,7,0,0,0,0,0,0,0,21,0,1221,19,0,0,0,512,0,0,0,0,0,0,0,0,0,69,0,1,0,1,0,0,0,0,0,4,1292,0,0,0,0,0,0,0,0,3,1,0,0,1
