"","DA01227","DA10098","DA10184","DA10151","DA00568","FMT81","DA10136","DA10067","DA10104","DA00720","DA00165","DA00498","FMT02","FMT99","GSVY1IH01.MID7.pool1-7","DA10158","DA10168","FMT85","GSVY1IH01.MID6.pool1-6","DA10175","FMT17A","DA10096","DA00170","DA00595","GSVY1IH01.MID9.pool1-9","FMT88","DA01242","DA10051","FMT93","DA00721","FMT44","DA00381","DA01384","DA00619","DA00383","FMT32","DA10009","DA00470","DA10189","FMT10A","FMT103","DA10143","GG349S007.MID13.1327","DA10017","DA10166","DA10065","DA00818","DA00318","DA01468","FMT21","DA10172","DA00804","DA00108","DA00729","DA01205","DA01161","FMT16A","DA10119","DA10167","GSVY1IH02.MID4.pool2-4","DA10073","DA10084","FMT59","GSVY1IH02.MID12.pool2-12","DA10055","DA01335","DA10022","DA10156","FMT100","GSVY1IH01.MID5.pool1-5","FMT72","DA10160","DA10093","DA10181","DA10053","FMT18","FMT19A","DA01106","DA10038","FMT108","GG349S008.MID13.1328","DA00581","DA01408","FMT16","DA10162","DA10083","FMT21A","DA00555","DA00675","DA10164","GSVY1IH03.MID4.pool3-4","DA01547","DA10061","DA10123","DA10188","DA01231","DA01324","DA10050","DA00904","DA10142","DA00280","GSVY1IH02.MID9.pool2-9","DA10154","DA01128","DA10033","DA10150","DA10011","DA01073","DA00228","DA10079","DA00815","FMT58","DA10145","DA00603","GSVY1IH04.MID3.pool4-3","DA10091","FMT11A","GG349S005.MID13.1325","FMT26","FMT102","DA10015","FMT04","DA00575","FMT29","DA10152","DA10058","DA10178","DA00397","DA01235","FMT28","DA01119","FMT11","FMT22","DA10110","DA00896","DA10149","DA01071","DA10003","DA01109","DA00927","DA00884","DA01291","DA10141","DA10002","GSVY1IH02.MID2.pool2-2","DA10081","DA01068","DA01588","DA00491","FMT97","GSVY1IH03.MID6.pool3-6","GSVY1IH01.MID11.pool1-11","DA10169","DA01467","GSVY1IH04.MID6.pool4-6","DA10054","FMT62","GSVY1IH01.MID4.pool1-1","FMT20","DA10146","DA00282","DA10042","FMT10","DA10056","DA01030","DA10016","DA10108","FMT67","DA00778","DA10112","DA00886","DA10029","DA00988","DA00691","DA00299","DA10012","DA00154","FMT33","DA10121","FMT77","GSVY1IH04.MID2.pool4-2","FMT109","DA01134","DA00953","DA00369","DA01259","DA10183","FMT92A","GSVY1IH01.MID10.pool1-10","DA10027","DA10177","GSVY1IH02.MID8.pool2-8","DA10039","DA00621","DA10127","FMT23A","FMT14","DA10035","DA10028","DA10113","DA00236","DA01267","DA10048","DA00955","FMT15A","FMT106","DA00563","FMT105","DA10006","DA00638","FMT12A","DA01380","DA10026","DA00380","DA01005","DA01040","DA01213","DA01582","GSVY1IH03.MID7.pool3-7","DA10008","DA01255","DA00578","DA10018","DA00687","FMT05","DA10090","FMT69","DA00984","DA00673","DA01311","FMT66","DA00556","FMT13A","DA10115","DA10171","DA10131","FMT71","FMT82","FMT78","DA10025","DA01571","FMT15B","DA10062","GSVY1IH02.MID7.pool2-7","DA00550","FMT35","FMT25A","DA01190","DA01441","FMT53","FMT03","DA10049","DA01129","DA10155","DA01563","DA10165","GSVY1IH04.MID4.pool4-4","DA00605","FMT47","GSVY1IH04.MID7.pool4-7","DA10069","DA10070","FMT15","DA10100","GSVY1IH04.MID7.pool4-1","DA10148","DA00283","DA00897","GSVY1IH03.MID8.pool3-8","DA10138","DA01381","DA10107","FMT23","GSVY1IH01.MID4.pool1-4","DA00632","DA00908","DA10117","DA10147","FMT19","GSVY1IH01.MID12.pool1-12","DA10047","FMT41","DA00600","DA10059","DA00153","GG349S004.MID13.1323","DA00850","DA00346","DA01167","DA01245","DA00530","DA01320","DA10135","DA01339","DA01193","DA10170","DA10030","DA01143","FMT95","DA10095","GSVY1IH01.MID2.pool1-2","DA01018","DA00812","DA00740","DA01157","FMT3A","DA10161","FMT110","DA10174","DA10019","DA00989","DA00926","FMT64","FMT37","GSVY1IH02.MID10.pool2-1","DA10076","DA01203","DA01076","FMT39","DA10066","GSVY1IH02.MID6.pool2-6","DA10139","DA10068","DA10041","FMT4A","FMT75","GSVY1IH04.MID11.pool4-11","DA10106","FMT50","DA00703","DA00065","DA00874","DA00659","DA10032","FMT30","FMT56","FMT84","DA01072","DA01223","DA10130","DA01211","DA00943","DA10133","GSVY1IH03.MID12.pool3-1","GG349S001.MID13.1320","DA10045","GSVY1IH04.MID8.pool4-8","DA10088","DA10187","DA00889","DA10037","DA00962","DA00997","FMT17","DA10024","DA01146","DA10180","DA00430","DA00735","DA10040","GSVY1IH04.MID9.pool4-9","DA00755","DA01041","FMT51","FMT27","DA00678","DA10082","DA10103","DA01555","DA00580","DA01110","DA10129","DA00658","DA01501","FMT12","FMT25","DA10125","DA01138","FMT2A","DA10057","DA01044","DA00918","FMT01","DA01313","DA10176","FMT98","GG349S002.MID13.1321","DA10120","DA00949","DA00458","FMT101","DA01482","FMT55","DA01270","DA00375","DA10124","FMT43","FMT20A","DA10114","DA00382","DA00331","DA01370","DA10122","DA10109","DA10173","FMT80","DA01024","DA00502","DA10005","DA10134","GSVY1IH03.MID9.pool3-9","DA10116","FMT24","DA01556","DA10186","FMT31","DA10094","DA10137","GSVY1IH03.MID12.pool3-12","DA10097","DA00810","DA10077","DA10157","DA00461","DA10101","FMT13","GSVY1IH03.MID3.pool3-3","DA00912","DA10159","DA01495","GSVY1IH03.MID11.pool3-11","GG349S006.MID13.1326","DA01210","FMT14A","DA00821","DA10023","FMT1A","FMT6A","FMT49","FMT06","GG349S003.MID13.1322","DA10092","FMT34","DA01026","FMT74","FMT96","DA10007","DA00565","DA10075","DA10071","DA10126","DA00885","FMT92B","DA00210","DA10085","GSVY1IH01.MID3.pool1-3","DA01089","DA10034","DA10182","FMT5A","DA10036"
"sp1",0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,7,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,44,0,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp2",2,0,0,0,0,27,0,0,0,2,0,1,2,67,0,0,0,1,0,0,2,0,0,0,0,3,0,0,1,1,38,0,3,0,0,1,0,0,0,4,4,0,1,0,0,0,4,4,0,11,0,1,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,23,0,3,0,0,0,0,31,21,0,0,10,2,0,2,2,0,0,1,0,0,0,191,2,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,5,0,0,0,0,0,0,0,0,32,0,3,2,0,3,0,5,0,0,0,0,0,1,0,54,9,0,2,0,7,0,0,0,0,0,0,0,2,0,0,12,0,4,0,0,0,1,0,2,3,0,11,0,0,0,2,0,0,0,0,3,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,7,0,1,0,0,0,0,0,5,16,1,3,0,0,6,0,0,9,0,0,0,0,0,1,9,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,35,4,10,0,1,13,0,0,0,6,0,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,1,0,20,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,15,0,14,1,0,1,0,0,0,5,0,0,5,1,0,8,3,0,6,6,0,0,0,0,0,0,7,227,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,21,3,0,0,0,1,0,4,0,0,0,12,0,0,0,2,0,4,0,11,0,0,3,0,0,2,0,0,2,1,0,0,0,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,5,0,0,0,0,4,0,0,0,0,25,1,0,0,0,1,0,0,13,1,0,6,0,22,0,0,0,1,0,11,4,0,0,0,0,0,10,0,0,0,3,0,0,0,1,0
"sp3",0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,26,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,123,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,1,0,0,0,8,0,0,0,0,0
"sp4",0,0,0,0,25,0,0,0,0,0,1,1,1815,4,0,1,1,77,0,0,442,0,0,9,0,223,0,1,0,0,2980,0,5,0,0,2,44,0,0,0,24,0,0,0,0,0,0,1,0,3002,0,0,0,0,0,8,7,0,0,1,0,0,50,0,2,0,1,1,414,0,71,0,12,1,1,569,1013,0,0,1132,0,2,0,372,0,0,1,0,0,2,615,16,1,0,0,1,2,41,55,0,0,1,1,30,7,0,14,0,0,27,0,0,0,0,0,2,3289,0,3132,0,0,441,0,1431,0,1,0,11,0,533,0,3520,622,0,0,2,0,0,0,1,0,3,0,190,2,0,0,0,0,0,0,1,0,750,0,21,183,2,2,0,0,1,0,0,0,25,0,9,2,0,2,30,0,1,0,0,0,27,0,1932,0,5,15,0,0,790,0,1091,0,1,0,1,64,2,0,17,396,0,3,0,0,1,167,155,75,21,0,0,5,0,88,7,0,0,0,0,0,2,0,89,2,40,8,7,1348,0,0,3,0,0,249,15,1330,0,0,0,99,0,0,2,1,3,0,0,0,617,101,1,2,421,725,5,179,0,0,1,0,0,11,0,20,0,0,0,0,0,0,0,0,2,0,0,44,3,0,0,3,0,1259,0,30,643,3,0,81,0,0,7,1,0,1,0,0,0,27,1,7,0,2,0,0,17,5,0,0,1160,1,0,0,0,5,7,300,99,0,0,0,1,192,0,0,0,0,3,896,1832,0,1,0,0,0,0,182,1,1817,10,2101,0,2,0,12,0,0,3,0,45,0,0,0,0,69,0,9,769,0,57,1,0,0,1,0,0,105,754,1227,27,0,0,0,0,181,0,0,1,362,66,0,0,2054,0,18,0,1144,0,0,3,0,0,19,0,0,42,19,1,0,0,14,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,81,0,2,1382,101,0,0,51,0,0,0,0,5,795,0,0,0,1,1,0,0,751,1,50,1300,1009,716,460,0,0,0,44,188,0,0,1,0,124,0,0,378,1,36,0,0,57,0,829,0
"sp5",0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,1,0,7,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,376,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,7,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,17,0,0,18,1,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,804,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"sp6",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,61,0,0,0,0,140,0,0,1,0,1556,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,140,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2796,1,73,0,0,15,0,153,0,0,0,0,0,18,0,4269,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,1031,0,1,0,0,0,0,0,235,0,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,575,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,74,0,33,0,0,0,159,0,0,0,0,0,0,0,0,24,274,0,2,1141,62,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,192,756,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,317,6,363,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,760,106,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,237,0,0,1,0,0,0,0,0,0,4178,0,0,0,0,0,0,0,1862,0,0,0,0,443,0,0,0,0,0,75,0,0,0,0,0,0,6,159,0,0,0,0,0,0,0,0
"sp7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,36,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,137,0,0,0,0,0,0,0,1,0,0,13,0,0,2,1,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,29,0,23,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,23,0,0,1,0,0,0,0,0,0,6,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,35,0,116,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,16,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,204,0,0,1,0,2,45,0,0,1,0,115,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,87,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,41,0,0,67,0,0,0,0,0,4,5,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,16,0,0,23,56,3,28,0,0,37,8,40,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0
"sp8",0,0,0,0,0,10,0,0,0,0,0,0,356,1,0,0,0,177,0,0,1747,0,0,0,0,0,0,0,0,0,2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2228,4737,0,0,3,3,0,0,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2376,0,3261,0,0,267,0,1,0,0,0,0,0,0,0,3500,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,857,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,664,0,0,0,0,0,0,0,128,0,0,1,0,0,150,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,55,0,0,0,0,1,0,0,0,6,4,0,0,2,478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,1060,0,0,0,0,0,0,296,27,0,0,0,0,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0,1,3,4030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0,1228,0,0,0,0,0,0,0,0,0,669,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,177,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1251,0,0,0,0,0,0,0,1027,0,0,0,0,56,0,0,0,0,0,5,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0
"sp9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp10",1,1452,4212,4226,7,5293,1911,3894,4344,212,901,1,148,2568,821,6,2059,37,520,887,3054,2130,1425,1784,298,4910,2433,1894,0,1705,435,356,64,1892,138,319,1007,471,2015,0,1,4464,2895,2725,1897,327,2834,4506,50,813,1877,6,765,264,90,824,2736,3590,3966,921,2925,2,0,150,2021,1,1378,1614,536,217,2431,2801,704,3111,2870,13,1617,1,4576,15535,985,1239,326,4989,2548,3646,0,709,1944,5939,2,675,3301,2799,1033,4826,2350,4001,4,2942,1116,104,3309,239,3316,3032,643,710,2,1085,1153,0,716,3,0,1706,78,7243,160,41,4864,15,279,13383,3712,1505,2875,2,140,6504,3311,235,545,3037,13,1508,2032,3302,12,131,889,1191,4206,2925,6,2230,0,1567,583,3664,443,712,4979,67,2071,1753,316,1152,6,1585,761,3318,0,4428,2613,3822,881,417,1609,2097,913,75,0,1383,1170,3135,33,5557,1996,200,0,61,570,1194,1287,4402,1958,2977,78,8,2228,1642,982,496,6215,0,2832,1458,1348,2724,920,11,2966,21,284,3023,1414,3801,2027,1722,499,2710,4709,56,339,47,0,0,317,938,256,2,1951,2303,4,788,3918,184,3490,1532,386,655,116,3817,3791,4251,2380,1,1,3980,2669,2429,4613,1634,1552,43,165,1,51,397,68,2403,16,3936,4,4902,1,0,168,1538,1481,4026,1795,1833,288,3011,536,0,571,842,156,3361,1,3,1340,39,14,2141,1209,425,1903,8258,3188,853,379,8773,0,2093,8,783,448,105,3299,2,1158,3163,4447,1645,31,2219,14,1371,695,15,2102,62,2717,5283,2741,5501,138,63,44,3805,334,1898,891,993,7720,4914,1511,3088,11031,794,31,0,107,2743,0,4,2053,8,1213,872,5932,29,2718,1422,2489,3997,1055,0,3965,112,15457,443,419,3610,3350,61,67,1630,2600,6532,4011,2,4359,1906,0,2348,191,1672,29,1763,705,834,1878,4412,98,1291,0,3585,1717,3,2571,230,1520,3,68,2841,0,0,10448,78,1821,3576,831,1030,95,1160,1,591,1272,0,3,3142,2137,1,3279,1063,574,25,4474,2276,631,2781,2304,680,5594,3632,1227,3635,167,166,5348,6839,1460,3693,23,2165,263,1494,2927,124,1367,296,50,0,2831,7,72,34,15,29,76,1007,8704,2682,912,5638,3196,2678,3687,1741,2245,0,413,1840,3249,4233,3303,292,2043,652,694,0,1,124,4237,0,2298
