"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
0,0,9.9930048965724e-05,0.00109923053862296,0,0,9.9930048965724e-05,0,0,0,0,0,0,0,0.000599580293794344,0.000199860097931448,0,0,0,0,0,0.00219846107724593,0,0,0,0.335465174377935,0,0,0.00339762166483462,9.9930048965724e-05,0,0.030778455081443,0,0.00099930048965724,0,0,9.9930048965724e-05,0.000699510342760068,0,9.9930048965724e-05,0,0,0,0,0,0.00729489357449785,0,0,0,0,0.000199860097931448,0.000199860097931448,0,0,0,0,0,0,0,0.00919356450484661,0.000199860097931448,0.0106925152393325,0.000299790146897172,9.9930048965724e-05,0,0,0.00619566303587489,0,0,0.00319776156690317,0,0,9.9930048965724e-05,0.00839412411312082,0,0,0,0,0,0.000799440391725792,0,9.9930048965724e-05,0,0,0.00379734186069751,0,0.0125911861696812,0,0,0,0,0.00099930048965724,0.000399720195862896,0,0,0,0,0,0,0,0,0.00119916058758869,0,0,0,0,0,0.0113920255820925,0,0,0,0,0,0.0045967822524233,0,0,0,0,0.000899370440691516,0.00569601279104627,0,0,0,9.9930048965724e-05,0.000699510342760068,0,0,0.00149895073448586,0,0,0,0,0,0.00049965024482862,0,0,0.00119916058758869,0,0,0,0.00119916058758869,0,0,0,0,0,0.00099930048965724,0,9.9930048965724e-05,9.9930048965724e-05,0.00419706205656041,0.000299790146897172,0,0.000399720195862896,9.9930048965724e-05,0,0,0,9.9930048965724e-05,0,0.002897971420006,0,0,0.017387828520036,0,0,0,0,0,0,0.000699510342760068,0,0,0,0,0,0.000199860097931448,0.0024982512241431,0.000799440391725792,0,0,0,0,0,0.000399720195862896,0,0,0,0,0,0,0.00259818127310882,0.000199860097931448,0,0,0,0,0.000199860097931448,0,0,0,0,0,0,0,0.0303787348855801,9.9930048965724e-05,0,0,0.000199860097931448,0,0,0,0,0,0,0.0171879684221045,0.000399720195862896,0.00049965024482862,0,9.9930048965724e-05,0.00189867093034876,0,0,0,0,0,0,0,0.00049965024482862,0.00809433396622364,0.000399720195862896,0,0.271509943039872,0,0,9.9930048965724e-05,0,0,0.000799440391725792,0,0,0,0,0.000199860097931448,0,0,0,0,0,0,0,0,0,0.000199860097931448,0.00689517337863496,0.00219846107724593,0,0,0,0.00149895073448586,0,0,0.000399720195862896,9.9930048965724e-05,9.9930048965724e-05,0,0,0,0.000399720195862896,0,0,0.0268811831717798,0,0.00189867093034876,0,0,0,0.000399720195862896,0.108124312980913,0,0,0.00299790146897172,0,0,0,0,0,0,0.000799440391725792,0,0,0,0,0,0,0.00199860097931448,0,0,0.00889377435794944,0
0,0,0,0,0,0,9.99500249875062e-05,0.00169915042478761,0,9.99500249875062e-05,0,0,0,0,0.000499750124937531,0,0,0,0,9.99500249875062e-05,0.00169915042478761,0,0,0.000299850074962519,0,0.235882058970515,0,0,0.000199900049975012,0.000399800099950025,0.0241879060469765,0,0,0.00449775112443778,0,0,0.000399800099950025,9.99500249875062e-05,0,0,9.99500249875062e-05,9.99500249875062e-05,0,0.00109945027486257,0,0.000299850074962519,0,0,0,0,9.99500249875062e-05,0,0,0,0,0,9.99500249875062e-05,0,0,0.000499750124937531,0.000299850074962519,0.0133933033483258,0,0,0,0,0,0,0,0.00609695152423788,0,0,0,0.0385807096451774,0,9.99500249875062e-05,0,0,0,0.000699650174912544,0,0,0.000599700149925037,9.99500249875062e-05,0,0,0,0,0,0.000899550224887556,9.99500249875062e-05,0,0.000199900049975012,0,0,0,0,0,0.00379810094952524,0,0,0,0,0,0,0,9.99500249875062e-05,0.145727136431784,0,0,0.000199900049975012,0,0,0.00579710144927536,0,0,0,0,0.0063968015992004,9.99500249875062e-05,0.000399800099950025,0,0,0.00129935032483758,0.00329835082458771,0.000199900049975012,0,0,0,0,0,0.0095952023988006,0,0,0,0,0.000399800099950025,0,0,0,0,0,0,0,0,0,0,0.000199900049975012,0,0,0.00139930034982509,0.00139930034982509,0,0,0,0.00079960019990005,0,0,0,0.015592203898051,0,0,0,0.0418790604697651,0,0,0,9.99500249875062e-05,0,0,0,0,9.99500249875062e-05,0,0,0,0,0,0.00189905047476262,0.000699650174912544,0,0,0,0,0.000699650174912544,0,0,0,0,0,0,0.00149925037481259,9.99500249875062e-05,0,0.0110944527736132,9.99500249875062e-05,0,0,0,0,0,0,0,9.99500249875062e-05,0.0283858070964518,0,0,0,0,9.99500249875062e-05,0.00119940029985007,0,0,0.000199900049975012,0.000599700149925037,0,0.00459770114942529,0.00139930034982509,0,0.00259870064967516,0.000399800099950025,0.00179910044977511,0,0,0,0,0.000199900049975012,0,0.00269865067466267,0,0.00729635182408796,0,0,0.0584707646176912,0,0,0,0,9.99500249875062e-05,0,0,0,0,0,0,0,0,0,0,0,0.00849575212393803,0,9.99500249875062e-05,0,0.00119940029985007,0,0,0,0,0.000899550224887556,0,0,0.000699650174912544,0,0,0,0,0,0,0.000499750124937531,0,0,0.00189905047476262,0,0,0,0,0,0,0.271164417791104,9.99500249875062e-05,0,0.00239880059970015,0,0,0,0,0,0,9.99500249875062e-05,0,0,0,0,0,0,0,0.0138930534732634,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0002000400080016,0,0.0012002400480096,0,0.00410082016403281,0,0.0002000400080016,0,0.0001000200040008,0,0,0.000900180036007201,0,0.0001000200040008,0,0.202840568113623,0,0,0.000400080016003201,0.0031006201240248,0,0,0,0,0,0,0.0002000400080016,0.0161032206441288,0,0,0,0,0,0,0,0,0,0.0003000600120024,0,0.0001000200040008,0.000400080016003201,0,0.0001000200040008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304060812162432,0,0,0,0,0,0,0,0,0.0567113422684537,0.0001000200040008,0,0,0.0022004400880176,0,0,0,0,0,0.0003000600120024,0.0016003200640128,0.0172034406881376,0,0.00820164032806561,0,0.00370074014802961,0.000700140028005601,0,0,0,0,0,0,0,0,0.000500100020004001,0,0,0.0021004200840168,0,0,0,0,0,0,0,0,0.172934586917383,0,0.0001000200040008,0,0,0.0531106221244249,0,0,0,0,0.0002000400080016,0.00640128025605121,0,0,0,0,0,0,0,0,0.0001000200040008,0,0,0.001000200040008,0,0,0,0.00810162032406481,0,0,0,0,0,0.000500100020004001,0,0.0001000200040008,0,0.0026005201040208,0,0,0.000600120024004801,0,0,0,0.0029005801160232,0,0,0,0,0,0,0,0,0,0,0.0001000200040008,0.0001000200040008,0.0003000600120024,0,0,0,0,0,0,0,0,0,0,0,0,0.000400080016003201,0.00330066013202641,0,0,0,0,0,0,0,0.0002000400080016,0,0,0,0,0,0,0,0,0,0,0.00560112022404481,0,0.0011002200440088,0.0002000400080016,0,0.000700140028005601,0.000900180036007201,0,0,0,0,0.000500100020004001,0,0,0,0.016003200640128,0,0,0,0,0,0,0.000900180036007201,0,0,0.0425085017003401,0,0,0,0,0.0686137227445489,0,0,0,0,0,0.0001000200040008,0,0,0,0,0,0.0002000400080016,0.0001000200040008,0,0,0,0,0,0.00350070014002801,0,0.0011002200440088,0.00600120024004801,0.000900180036007201,0,0,0,0.0001000200040008,0,0,0.0003000600120024,0.0001000200040008,0,0,0,0,0.00650130026005201,0,0,0.018003600720144,0.0002000400080016,0.000400080016003201,0,0,0,0,0.195939187837568,0.0001000200040008,0,0.0134026805361072,0,0,0.0001000200040008,0,0.00540108021604321,0,0,0,0,0,0,0,0,0.000600120024004801,0,0,0.0028005601120224,0
0,0,0,0,0,1e-04,2e-04,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0.0022,3e-04,0.167,0,0,6e-04,0.0031,0.0126,0,0,0.0042,0,0,0,2e-04,0,2e-04,0,1e-04,0,0,0,0.0168,0,0,0,0,0,0,0,0,3e-04,1e-04,0,0,0,0.0021,0,0,0,0,0,0,0.0133,0,0,0,3e-04,0,0,0.0012,0,0,0,0,0,0.0024,0,0,6e-04,0,3e-04,1e-04,0,0,0,0.0023,0,1e-04,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,1e-04,0,0.605,0,0,0,0,0,8e-04,0,0,0.0039,0,0.0049,0,0,0,0,0,0.0022,0,0.0013,0,4e-04,0,9e-04,0.005,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,2e-04,0,0,0,1e-04,0,0,0,0,1e-04,0,0,0,0.0878,0,0,4e-04,0,0,0,0,0,0,0,0,0,0,1e-04,0.011,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,2e-04,0,0,0,0,8e-04,1e-04,0.0045,0,6e-04,0,0,0,1e-04,1e-04,0,0.0051,0,0.0017,4e-04,0,0,0,0.0012,0,0,0,1e-04,2e-04,0,0,0,1e-04,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0,0,0,0,0,0,8e-04,1e-04,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0011,0,0,0,0,0,0,3e-04,0,0,0.0053,0,0,0,0,0,0.0026,0,0,0,0,0,0.0073,0,0.0013,0,0,0.0024,0
0.0002000200020002,0,0,0,0,0,0.0012001200120012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007000700070007,0,0.102910291029103,0,0,0.0245024502450245,0.0013001300130013,0.0013001300130013,0,0,0.0046004600460046,0,0,0.0012001200120012,0.0417041704170417,0.0002000200020002,0,0,0,0,0,0,0.0414041404140414,0,0,0,0,0,0,0,0,0,0,0.0001000100010001,0,0,0,0,0,0,0,0,0,0.0095009500950095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129012901290129,0,0.0042004200420042,0.0254025402540254,0,0,0.0004000400040004,0,0,0,0,0,0.0205020502050205,0,0,0,0,0,0.0086008600860086,0,0,0,0,0,0,0,0.0002000200020002,0,0,0.004000400040004,0,0,0,0,0.0003000300030003,0.0221022102210221,0,0,0,0,0,0,0,0,0.0002000200020002,0,0,0.0042004200420042,0,0,0,0.0012001200120012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196019601960196,0,0,0,0,0.0003000300030003,0,0,0.019001900190019,0,0,0,0,0,0.0003000300030003,0,0,0,0.0785078507850785,0.0092009200920092,0,0,0,0,0,0,0,0,0,0,0,0.0001000100010001,0.0093009300930093,0,0,0,0,0.0057005700570057,0,0,0,0,0,0,0,0,0,0,0,0.0006000600060006,0.004000400040004,0,0,0,0,0.0029002900290029,0,0.0057005700570057,0,0.0235023502350235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451045104510451,0,0,0,0,0,0,0,0.0027002700270027,0,0,0,0,0,0,0,0,0.114411441144114,0,0,0,0,0,0,0,0,0.0416041604160416,0,0,0,0,0,0,0,0,0,0.0028002800280028,0,0,0.0417041704170417,0,0.0002000200020002,0,0,0,0,0.168016801680168,0,0,0.0453045304530453,0,0,0,0,0,0,0,0,0,0,0,0.0031003100310031,0,0.0004000400040004,0,0,0.0209020902090209,0
0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0.00819836032793441,0,0,0,0,0,0,0,0,0.0018996200759848,0,0.266146770645871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00739852029594081,0,0,0,0,0,0,0,0,0.00669866026794641,0,0,0,0,0,0.000499900019996001,0.0371925614877025,0,0,0,0.00459908018396321,0,0,0,0,0,0,0,0.0002999400119976,0.0453909218156369,0,0,0,0,0,0.000999800039992002,0,0,0,0,0,0.0122975404919016,0.000599880023995201,0,0,0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0.147770445910818,0,0,0,0,0,0,0,0,0,0,0.0933813237352529,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0002999400119976,0,0,0,0.00329934013197361,0,0,0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0,0.129074185162967,0,0,0,0,0,0,0.000599880023995201,0,0,0,0,0,0,0,0.0364927014597081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635872825434913,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013997200559888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113977204559088,0,0,0,0,0,0.00499900019996001,0.0001999600079984,0,0,0,0,0,0.00759848030393921,0,0.0030993801239752,0,0.0280943811237752,0,0,0,0,0,0,0,0.0002999400119976,0,0,0,0,0,0,0,0,0,9.99800039992002e-05,0,0.0001999600079984,0.000499900019996001,0,0.0597880423915217,0,0,0,0,0,0.0023995200959808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9.99800039992002e-05,0,0,0,0.000599880023995201,0,0,0,0,0,0.0001999600079984,0,0.0025994801039792,0,9.99800039992002e-05,0,0,0,0,0.0022995400919816,0,0,0,0.0102979404119176,0,0,0.0002999400119976,0,0,0,0,0.0242951409718056,0,0,0,0.0405918816236753,0,9.99800039992002e-05,0,0,0,0,0,0.231953609278144,0,0.000599880023995201,0,0,0.00849830033993201,0,0,0,0,0,0,0,0,0.0023995200959808,9.99800039992002e-05,0,0,0,0,9.99800039992002e-05,0.0011997600479904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0.000999800039992002,0,0,0,0.00359928014397121,0.0369926014797041,0.0026994601079784,0.0001999600079984,0,0,0,0,0,0,0,0,0.000499900019996001,0,0,0,0,0,0.0326934613077385,0,0,0,0,0,0,0,0.0011997600479904,0,0,0.00429914017196561,9.99800039992002e-05,0,0,0,9.99800039992002e-05,0.0599880023995201,0,0,0,0,0,0.00619876024795041,0,0,0,0,0,9.99800039992002e-05,0,0,0,0.0002999400119976,0,0,0,0,0,0.0001999600079984,0,0,0,0.0020995800839832,0,9.99800039992002e-05,9.99800039992002e-05,9.99800039992002e-05,0,0,0.0001999600079984,0,0.0167966406718656,0,0,0,0,0,0,0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904,0,0.0001999600079984,0,0,0,9.99800039992002e-05,0.0156968606278744,9.99800039992002e-05,0,0,0,0,0,0,0.105078984203159,0,0,0,0,0,0.000599880023995201,0,0,0.0002999400119976,0,0.00519896020795841,0,0,0,0.0017996400719856,0,0,0,0.0112977404519096,0,0,0,0,0,0,0.0023995200959808,0,9.99800039992002e-05,0,0,0,0,0,0.00879824035192961,0,0,0,0,0,0.00919816036792642,0,0,0.0123975204959008,0,0.0002999400119976,0,9.99800039992002e-05,0,0,0,0,0,0,0,0.0017996400719856,0.000999800039992002,0.0002999400119976,0,0,0,9.99800039992002e-05,0,0,9.99800039992002e-05,0,0,0,0,0,0.000499900019996001,0,0,0.0126974605078984,0,9.99800039992002e-05,0,9.99800039992002e-05,0,0,0.226454709058188,0,0,0.0784843031393721,0,0,0.00499900019996001,0,0.0001999600079984,0,0,0,0,0,0,0,0,0.000399920015996801,0,0,0.0017996400719856,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339932013597281,0.00399920015996801,0,0,0.000599880023995201,0,0,0,0,0,0,0,0.278344331133773,0,0,0,0.00249950009998,0,0.0444911017796441,0,0.00469906018796241,0,0,0.0001999600079984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00349930013997201,0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0,0,0,0,0,0.00379924015196961,0.0001999600079984,0,0,0,0,0.000399920015996801,0.0002999400119976,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0,0,0,0,0.0001999600079984,0,0,0,0,0,0.0010997800439912,0,9.99800039992002e-05,0,0,0.0023995200959808,0,0.0001999600079984,0,0,0,0.01999600079984,0.00899820035992801,0,0,0,0,0,0,0,0,0,0,0.0165966806638672,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0,0.000399920015996801,9.99800039992002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181963607278544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120975804839032,9.99800039992002e-05,9.99800039992002e-05,0,0,0,0,0,0,0,0,0,9.99800039992002e-05,0.00339932013597281,0,0,0,0,0.0011997600479904,0,0,0,0.00529894021195761,0,0,0,0,0.0272945410917816,0,0,0.10627874425115,0,0,0,0,0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0,0,0,0,0.0001999600079984,0,0,0,0.0001999600079984,0,0,0,0,0,0,0,0,0.396320735852829,0,0,0.00739852029594081,0,0,0,0,0,0,0.000499900019996001,0,0,0.0181963607278544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999800039992002,0
0,0,0,0,0,0,9.99100809271655e-05,0.00639424517933859,0,0.000299730242781497,0,0,0,0.0086921770406634,0.00149865121390748,0,0,0,0,0,0.00919172744529923,0,9.99100809271655e-05,0,0,0.00589469477470277,9.99100809271655e-05,0,0.000399640323708662,0,0,0,0,0.0028973923468878,0,0.00119892097112599,0.00719352582675592,0.0148866020581477,0,0,0,0,0,0.00629433509841143,9.99100809271655e-05,0.00089919072834449,0,0.00119892097112599,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299730242781497,9.99100809271655e-05,0,9.99100809271655e-05,0,0,0,9.99100809271655e-05,0,0,0,0,0.00139874113298032,0,0,9.99100809271655e-05,0,0,0.0406634029373564,0.000499550404635828,0,0.0264761714456989,0.000299730242781497,0.00569487461284844,0,0.00219802178039764,9.99100809271655e-05,0,0.00889199720251773,0,0,0.0060945149365571,0,0,9.99100809271655e-05,0,0,0.0031971225896693,0,0.000599460485562993,9.99100809271655e-05,0,0,9.99100809271655e-05,0,0.00989109801178939,0.20831251873314,0,0.0317714057348386,0,0,9.99100809271655e-05,0.0814267159556399,0,0,0,9.99100809271655e-05,0.00979118793086222,0,0,0,0,0,0.0148866020581477,0,0,0,0,0,0.00439604356079528,0.00279748226596064,0,9.99100809271655e-05,0,9.99100809271655e-05,0.00999100809271656,0,0,0,0,0,0,0,0,0,0.0031971225896693,0.000599460485562993,0,0,0.000599460485562993,0,0,0,9.99100809271655e-05,0,0.000999100809271655,0.000999100809271655,0.00229793186132481,0.00449595364172245,0.00089919072834449,0,9.99100809271655e-05,0,0,0,0,0,0,0,0,0,0,0,0.000399640323708662,0,0,0,0.0258767109601359,9.99100809271655e-05,0,0,0,0,0.000299730242781497,0,0,0,0,0,0,0.01868318513338,9.99100809271655e-05,0.000999100809271655,0,0,0,0,0,0,0.000299730242781497,0,0,0,0.0224797682086122,0.00089919072834449,0,0,0,0,0,0,0,0,0.00839244679788191,0,0.00499550404635828,0.0102907383354981,0.026576081526626,0,0,0,0,0,0,0,0,0,0.00949145768808073,0,0.041063043261065,0,0,0.0316714956539115,0,0,0,0,0,0,0,0,0.00889199720251773,0,0,0,0,9.99100809271655e-05,9.99100809271655e-05,0,0.0657408332500749,0.000399640323708662,0,0,0.00679388550304726,0,0,0,0.00229793186132481,0.0178839044859626,0,0.000299730242781497,0,0.000999100809271655,0,0,0,0,0.00209811169947048,0.0231791387751024,0,0,0.00299730242781497,0,0,0,0,0,0.000699370566490159,0.0614446997702068,0.000199820161854331,0,0.0279748226596064,0,0,0,9.99100809271655e-05,0,0,0.0054950544509941,0,0,0,0,0.00859226695973624,0,0,0.00299730242781497,0,0.00299730242781497,0
0,0,0,0,0,9.98601957259836e-05,0.000299580587177951,0.000199720391451967,0,0,0,0,9.98601957259836e-05,0.00169762332734172,0.00209706411024566,0,9.98601957259836e-05,9.98601957259836e-05,0,0,0.00539245056920312,0.000299580587177951,0,0,0,0.179948072698222,9.98601957259836e-05,0,0.000199720391451967,0.000898741761533853,0.0290593169562612,0,0,0.00339524665468344,0,0,0.0358498102656281,9.98601957259836e-05,0.00219692430597164,0,0,0,0,0,0,0.000699021370081885,0,0,0,0,0.000199720391451967,0,0,0,0.00169762332734172,0,0,0,0,0.000199720391451967,0,0,0,9.98601957259836e-05,0,0,0.00139804274016377,0,0,0,0.00149790293588975,0,0,0,0,0.0273616936289195,0,0,0,0.000699021370081885,0,0,0.00159776313161574,0,0,0.000199720391451967,0,0,0,0.00509286998202517,0,0,0,0,0,0,0,0,0.00159776313161574,0,0,0,0.000798881565807869,0,9.98601957259836e-05,0,0,0.129418813660875,0,0.000499300978629918,0,0,0,0.00249650489314959,0,9.98601957259836e-05,0,0,0.000798881565807869,0,0,0,9.98601957259836e-05,9.98601957259836e-05,0.0164769322947873,0,0.00409426802476533,0,9.98601957259836e-05,0,0.00599161174355902,0.00259636508887557,0,0,0,0,0.0199720391451967,0,0,0,9.98601957259836e-05,0,0,0,0,0,9.98601957259836e-05,0,9.98601957259836e-05,0.00269622528460156,0.0011983223487118,0,0,9.98601957259836e-05,9.98601957259836e-05,0,0,0,0,0.00229678450169762,0,0,0,0.0166766526862393,0,0,9.98601957259836e-05,0,0,0,0.000199720391451967,0,9.98601957259836e-05,0,0,0,0,0.000399440782903934,0.00169762332734172,9.98601957259836e-05,0,0,0,0,0.000299580587177951,0,0,0,0,0,0,0.00229678450169762,9.98601957259836e-05,0.000199720391451967,0,0,0,9.98601957259836e-05,0,0,0,0,0,0.0147793089674456,0,9.98601957259836e-05,9.98601957259836e-05,9.98601957259836e-05,0.000299580587177951,0.000499300978629918,0,0,0,0.000798881565807869,0.000299580587177951,0,0.00379468743758738,0,0.00858797683243459,0.000199720391451967,9.98601957259836e-05,0.0011983223487118,0,0,0,0,0,0,0.00239664469742361,0,0.00938685839824246,0,0,0.132414619532654,0,0,9.98601957259836e-05,0,0,9.98601957259836e-05,0,0,0,0,0.000599161174355902,0.0011983223487118,0,9.98601957259836e-05,0,0,0,9.98601957259836e-05,0.000199720391451967,0,0.000798881565807869,9.98601957259836e-05,9.98601957259836e-05,0,0.000199720391451967,0,9.98601957259836e-05,0,0.000299580587177951,9.98601957259836e-05,0.000299580587177951,0,0,0,9.98601957259836e-05,0.00389454763331336,0,0.00159776313161574,0.061214299980028,0,0,0,0,9.98601957259836e-05,0,0.198322348711803,0,0.00149790293588975,0.0201717595366487,0,0,0,0,0.00259636508887557,0.000199720391451967,0.00239664469742361,0,0,0,0,0.00449370880766926,0,0.00199720391451967,0,0,0.0048931495905732,0
