"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
0,0,0,0,0,0,0,0,0,0,0.0014,0,0,0,0,0,0,0.0024,0,0,0,0.0018,3e-04,0.001,0,0.0534,0,0,0.0043,0.0117,0.032,0,0,0.0063,0,3e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0.0017,0,0,0,7e-04,0,0,0,0.0017,0,0,0,0.0158,0,0,0,0,0,0,0.024,0,0,0,0,0.0014,0,0,0,1e-04,0.0042,0,0,0.0096,0,4e-04,0,3e-04,0,1e-04,0,0,0,0.0011,0,2e-04,0,0,0,0,0,0,0,0,0.0224,0,0,0.0064,1e-04,0,0,0.181,0,0.0018,0,0.0096,0,7e-04,0.0014,0.0116,0.0577,0,0,0,0.0209,0,0,2e-04,0,0.0165,0,0,2e-04,0,0,0,0.0014,0.0131,0,0.002,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0.0064,0,0,0,0,0,0.0087,0,0,0.0601,0,0,0,0,0,0,0,0,0,0.0019,0,1e-04,0,0,0.0278,0,1e-04,0.0489,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,1e-04,0,0,0.0359,0,0.0019,0,0.066,0.0029,0,0,0.0128,0.0071,0,0,0,0,0,0.0076,0.003,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283,0,0,0,0,0,0.0022,0.0024,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,2e-04,0,0.0023,0,3e-04,0.1299,0,0,0.0076,0,0,0,0,0,0,2e-04,0,0,0.002,0,0,0,0,0,0,0.001,0,0,0,5e-04,0,0,0,0,0,0.0017,0
0.0009000900090009,0.0008000800080008,0,0,0,0,0.0002000200020002,0.0022002200220022,0,0.0001000100010001,0.0024002400240024,0,0,0,0.0027002700270027,0,0,0,0,0,0,0,0,0.0007000700070007,0,0.123412341234123,0,0,0.001000100010001,0.0007000700070007,0.0198019801980198,0,0,0.0024002400240024,0,0,0.0094009400940094,0.0032003200320032,0,0,0,0.0035003500350035,0,0.0048004800480048,0,0,0,0,0,0,0,0,0,0.0002000200020002,0.0016001600160016,0,0,0,0,0.0011001100110011,0,0.0168016801680168,0,0,0,0,0.0025002500250025,0,0,0,0.0004000400040004,0,0,0.005000500050005,0,0.0221022102210221,0.0025002500250025,0,0,0.0001000100010001,0,0,0,0,0.0078007800780078,0,0,0,0,0.0035003500350035,0,0.0195019501950195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075007500750075,0,0,0,0,0,0.0011001100110011,0.0004000400040004,0.0007000700070007,0,0.0021002100210021,0.0068006800680068,0,0.0099009900990099,0,0,0.0002000200020002,0,0,0,0,0,0,0.004000400040004,0.0381038103810381,0.0113011301130113,0,0,0.0004000400040004,0.0001000100010001,0.0005000500050005,0,0,0.0004000400040004,0,0,0,0.0003000300030003,0,0.0001000100010001,0,0,0.0005000500050005,0.0001000100010001,0,0,0,0.0001000100010001,0,0,0,0,0.0119011901190119,0,0,0,0.0002000200020002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013001300130013,0.0009000900090009,0,0.001000100010001,0,0,0,0,0,0,0,0,0,0,0,0.0002000200020002,0.0003000300030003,0,0,0,0,0,0,0,0,0,0.0001000100010001,0,0.0006000600060006,0.0001000100010001,0,0,0.002000200020002,0,0,0.0008000800080008,0,0.0004000400040004,0,0.0053005300530053,0.0002000200020002,0,0.0005000500050005,0,0.0001000100010001,0,0.0006000600060006,0,0,0,0,0.0041004100410041,0.0011001100110011,0.0176017601760176,0,0,0.0863086308630863,0,0,0,0,0,0.0023002300230023,0,0,0.0214021402140214,0,0,0.0001000100010001,0,0,0,0,0,0.0001000100010001,0,0,0.0001000100010001,0.0001000100010001,0.0003000300030003,0,0.0001000100010001,0,0,0,0,0.0001000100010001,0,0,0,0,0.0006000600060006,0.132313231323132,0,0,0.0187018701870187,0,0,0,0.0041004100410041,0,0,0.334833483348335,0,0,0,0,0,0,0,0,0.0024002400240024,0,0,0,0,0,0.0008000800080008,0,0.0001000100010001,0,0,0,0
0,0,0,0,0,0,0,0.00469859042287314,0,0,0,0,0,0,0.00969709087273818,0,0,9.99700089973008e-05,0.000199940017994602,0,0.0104968509447166,0.00129961011696491,0,0,0,0.0873737878636409,0,0,0.00679796061181645,0.000199940017994602,0.00489853044086774,0,0.000199940017994602,0.000699790062981106,0,0,0.000399880035989203,0.00399880035989203,0,0,0,0,0.0247925622313306,0.00429871038688393,0.000499850044986504,0.0139958012596221,0,9.99700089973008e-05,0,0,0.000299910026991902,0,0.000199940017994602,0,0,9.99700089973008e-05,0,0,0,0.0263920823752874,0,0.0117964610616815,0,9.99700089973008e-05,0,0,0.0104968509447166,0,0,0,0.0106967909627112,0,0,0,0,0,0,0,0,0.0105968209537139,0,9.99700089973008e-05,0.000199940017994602,0,0,9.99700089973008e-05,9.99700089973008e-05,0,0,0.00239928021593522,0,0.00619814055783265,0.000399880035989203,0,0,9.99700089973008e-05,0,0,0.00179946016195141,0,0,0.000999700089973008,0,0,0.000799760071978406,0,0,9.99700089973008e-05,0,0.00119964010796761,0,0.0105968209537139,0.000399880035989203,0.00239928021593522,0,0,0,0,0.000399880035989203,0,0,0,0,0.000199940017994602,0.000399880035989203,0,0,0,0,0,9.99700089973008e-05,0.00289913026092172,0.000399880035989203,0.00929721083674898,0,0.00349895031490553,0.000499850044986504,0.00189943017094872,0,0.000599820053983805,0,0.00499850044986504,0.000399880035989203,0.000999700089973008,0.000199940017994602,0,9.99700089973008e-05,0,0,0.0262921123662901,0.00109967009897031,0.0300909727081875,0,9.99700089973008e-05,0,0,0,0.000299910026991902,0,0,0.00889733080075977,0.000199940017994602,0,0,0,0,0,0,0,0,0,0,9.99700089973008e-05,0,0,0.000999700089973008,0.00359892032390283,0.000499850044986504,0.0273917824652604,0,0,0,0,0.011296611016695,0,0,0.00259922023392982,0,0,0,0.00129961011696491,0.000399880035989203,0,0,0,0,0.0236928921323603,0,0,0,0.0116964910526842,0.00199940017994602,0,9.99700089973008e-05,0,9.99700089973008e-05,0,0,0.0103968809357193,0,0.0119964010796761,0.00129961011696491,0,0,0,0,0.00339898030590823,0.000699790062981106,0.000199940017994602,0,0.000199940017994602,0.00589823053084075,0,0.00149955013495951,0,0,0,0,0.0364890532840148,0,0.000799760071978406,0,0,0.0143956812956113,0,0,0,0,0,0,0.000899730080975707,0,0.00749775067479756,0,0.00189943017094872,0.000799760071978406,0,0,0,0,0.0999700089973008,0,0.000699790062981106,0,0.000499850044986504,0,0,0,0,0.00119964010796761,0.000199940017994602,0,0,0.000299910026991902,0.00549835049485154,0,0,0,0,0.000799760071978406,0,0.000299910026991902,0.00359892032390283,0,0.00239928021593522,0,0,0,0.000499850044986504,0.323802859142257,0,0,0.00239928021593522,9.99700089973008e-05,0,0,0,0,0.00129961011696491,0.000299910026991902,0,0,0,0,0.00119964010796761,0,0.000199940017994602,0,0,0.00339898030590823,0
0,0.000399680255795364,9.99200639488409e-05,9.99200639488409e-05,0.00189848121502798,0,0.00129896083133493,0.000199840127897682,0,0,0.0016986410871303,0,0,9.99200639488409e-05,0.0021982414068745,0,0,0.000299760191846523,9.99200639488409e-05,0,0.0038968824940048,0.000199840127897682,0,0,0,0.108013589128697,0,0,0.00119904076738609,0,0.0512589928057554,0,0,0.00309752198241407,0,0,0.0162869704236611,0.00719424460431655,0,0,0,0.000699440447641887,0,0.0016986410871303,0,0.000499600319744205,0,0.000199840127897682,0,0,9.99200639488409e-05,0.0102917665867306,0,0.000599520383693046,0.00299760191846523,9.99200639488409e-05,0,0,0.00199840127897682,0.000399680255795364,0,9.99200639488409e-05,0.00509592326139089,0,0,9.99200639488409e-05,0.00769384492406075,0,0,0.0132893685051958,0.000499600319744205,0.00309752198241407,0,0.000499600319744205,0.00339728217426059,0,0,0,9.99200639488409e-05,0.00449640287769784,0,9.99200639488409e-05,0.0350719424460432,0.000599520383693046,0.000199840127897682,0,0,0,0,0.00319744204636291,0,0.000799360511590727,0,0,0,0,0,0,0.00339728217426059,0.00809352517985612,0.0277777777777778,0,0,0,9.99200639488409e-05,0,0,0.150979216626699,0.0187849720223821,0.000199840127897682,0.00119904076738609,0.00999200639488409,0,9.99200639488409e-05,0.00189848121502798,0,0,0,0.00209832134292566,0,0.00379696243005596,0.0121902478017586,0,9.99200639488409e-05,0.0266786570743405,0.000199840127897682,0.000299760191846523,0.00679456434852118,9.99200639488409e-05,0,0.000199840127897682,0.000599520383693046,0.00719424460431655,0.00499600319744205,0,0.00419664268585132,0,0,0,0.00119904076738609,0,0.00689448441247002,0,0.00159872102318145,9.99200639488409e-05,0,0,0,0,0.0130895283772982,0,0.0147881694644285,0.00369704236610711,0,0,0,0,0.000299760191846523,0,0.000699440447641887,0.010691446842526,0,0,9.99200639488409e-05,0.0281774580335731,0,0.000699440447641887,0,0.00649480415667466,0,0.000399680255795364,0,9.99200639488409e-05,0.000499600319744205,0,0,0.00279776179056755,9.99200639488409e-05,0.00999200639488409,0,0,0,0.000399680255795364,0.000599520383693046,0.00589528377298161,0,0.00779376498800959,0,0,0,0.0217825739408473,0.000499600319744205,0,0.000299760191846523,0.000499600319744205,0,0.0174860111910472,0,0,0.00949240607513989,0.00839328537170264,0.00259792166266986,0,0,0,0.00779376498800959,0,0,0.00489608313349321,0.011290967226219,0.00339728217426059,0.00189848121502798,0.000199840127897682,0,9.99200639488409e-05,0,9.99200639488409e-05,0,0,9.99200639488409e-05,0.00159872102318145,0,0,0.0148880895283773,0,0,0,0,0.00399680255795364,9.99200639488409e-05,0.00119904076738609,0.0260791366906475,0,0.000199840127897682,0,0,0.000199840127897682,0,0,0.000199840127897682,0,0,0,0,0,0,0,0,0,0,0,9.99200639488409e-05,0.00159872102318145,0,0,0,0.0016986410871303,0,0.00259792166266986,0.000399680255795364,9.99200639488409e-05,0,0,0.000599520383693046,0,0,0,0,0,0.0424660271782574,0.00119904076738609,0.00109912070343725,0.00469624300559552,0,9.99200639488409e-05,0,0,0.000199840127897682,0.00109912070343725,0.0862310151878497,0,0,0.000299760191846523,0,0,0,0,0,0.000399680255795364,0.00259792166266986,0,0,0,0.00259792166266986,0,0.000299760191846523,0.000299760191846523,0,0,0.00349720223820943,0
0.000399880035989203,0.00469859042287314,0,0,0,0,9.99700089973008e-05,0.00859742077376787,0,0,0.00289913026092172,0,0,0,0,0,0,0,0,0,0,0.000599820053983805,0,0.00309907027891633,0,9.99700089973008e-05,0,0,0.000299910026991902,0.0180945716285114,0,0,0,0.00299910026991902,0,0,0,0,0,0,0.000199940017994602,0.000799760071978406,0,0,0,0,0,0.000599820053983805,0,0,0,0.00269919024292712,0,0,0.00679796061181645,0,0,0,0,0.0431870438868339,0,0,0,0,0.000199940017994602,0,0,0,0.000599820053983805,0.0208937318804359,0,0.00409877036888933,0,0.00759772068379486,0,0,0,0,0,0.0187943616914926,0,0.000199940017994602,0.0476856942917125,0,0,0,0,0,0,0,0,0.00199940017994602,0,0,0,0,0,0,0,0,0,0.000699790062981106,0.00549835049485154,0,0,9.99700089973008e-05,0,0.0212936119164251,0.0175947215835249,0.000399880035989203,0.000299910026991902,0.00159952014395681,0.00179946016195141,0,0,0.00839748075577327,0,0,0,0,0.00559832050384884,0,0,0,0,0.0218934319704089,0,0.0149955013495951,0,0,0.00129961011696491,0,0.0446865940217935,0,9.99700089973008e-05,9.99700089973008e-05,0,0.00449865040487854,0,0,0,0,0,0,0.00129961011696491,0,0.000799760071978406,0,0,0.00949715085474358,0,0.00949715085474358,0,9.99700089973008e-05,0,0,0,0.0105968209537139,0,0.000299910026991902,0,0,0,0,0,0,0,0.000299910026991902,0,0,0.00219934019794062,0.00309907027891633,9.99700089973008e-05,0.000299910026991902,0,0.0179946016195141,0.00999700089973008,0,0,0,0,0,0,0.00369889033290013,0.00119964010796761,0,0.0202939118264521,0,0,0,0.0379886034189743,0.0218934319704089,0,0,0,0,0,0,0,0,0.012296311106668,0.00129961011696491,9.99700089973008e-05,9.99700089973008e-05,0,0.0100969709087274,0.000499850044986504,0.00749775067479756,0.0239928021593522,0,0,0,0,0,0,0.00169949015295411,0,0,0,0.000299910026991902,0.00239928021593522,0.00599820053983805,0,0,0,0,0.00139958012596221,0,0,0,0,0.0435869239228232,0,0.00669799060281915,0,0,0,0,0,0.000299910026991902,0.000499850044986504,0,0,0.00389883035089473,0,0.00199940017994602,0,0,0,0,0,0,0,0,0,0,0,0,0.0157952614215735,0.000499850044986504,0,0,0,0.000499850044986504,0.000199940017994602,0,0,0,0.0291912426272118,0.00549835049485154,0,0.0114965510346896,0.00139958012596221,0,0,0,0,0,0,0.296211136659002,0,0,0.000399880035989203,0,0,9.99700089973008e-05,0,9.99700089973008e-05,0,0.00469859042287314,0,0,0,0,0.000799760071978406,0.00819754073777867,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013001300130013,0,0,0,0,0,0,0.0009000900090009,0,0,0,0.284728472847285,0,0,0,0,0,0.0013001300130013,0,0.0001000100010001,0,0,0.0011001100110011,0.0037003700370037,0,0,0,0,0,0,0,0.0213021302130213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011001100110011,0,0.0023002300230023,0,0,0,0,0.0308030803080308,0,0.0003000300030003,0.0041004100410041,0,0,0,0,0,0,0,0,0.001000100010001,0.0029002900290029,0,0,0,0,0.0006000600060006,0,0,0.0001000100010001,0,0,0,0.001000100010001,0.0004000400040004,0,0,0,0,0.0005000500050005,0,0.0004000400040004,0,0,0,0,0,0,0,0.162616261626163,0,0.003000300030003,0,0,0,0,0,0,0,0,0.0115011501150115,0.0001000100010001,0,0,0,0,0.002000200020002,0,0,0,0,0.0011001100110011,0,0,0,0.0001000100010001,0,0.0015001500150015,0,0,0,0,0.0034003400340034,0,0,0,0,0,0.001000100010001,0,0,0,0,0,0,0,0,0,0,0,0.0002000200020002,0.002000200020002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089008900890089,0.0046004600460046,0,0,0,0,0,0,0,0,0,0,0,0,0.0058005800580058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011001100110011,0,0,0.0009000900090009,0,0,0,0,0,0.0003000300030003,0,0,0,0.0163016301630163,0,0.0008000800080008,0,0,0,0,0,0,0,0.001000100010001,0,0.0035003500350035,0,0,0.272627262726273,0,0,0,0,0,0,0,0,0,0,0.004000400040004,0,0,0.0013001300130013,0,0,0.0008000800080008,0,0.001000100010001,0,0.0021002100210021,0.0006000600060006,0,0,0.0002000200020002,0.006000600060006,0,0,0,0,0,0,0,0,0.0037003700370037,0.0243024302430243,0,0,0,0,0,0,0,0,0.0002000200020002,0.0632063206320632,0,0,0.0082008200820082,0,0,0,0,0,0.0023002300230023,0,0,0,0,0,0,0,0.0087008700870087,0,0,0.0091009100910091,0
0,0,0,9.97406742469579e-05,0,0,9.97406742469579e-05,9.97406742469579e-05,0,9.97406742469579e-05,0,0,9.97406742469579e-05,0,0.000698184719728705,0,0.000299222022740874,9.97406742469579e-05,0,0,9.97406742469579e-05,9.97406742469579e-05,0,0.000398962696987832,0,0.000398962696987832,9.97406742469579e-05,0,0.000398962696987832,0.0037901456213844,0.00418910831837223,0,0,9.97406742469579e-05,9.97406742469579e-05,0,0.000299222022740874,0.000299222022740874,9.97406742469579e-05,0,9.97406742469579e-05,0,0,0,0,0.000797925393975663,0,9.97406742469579e-05,0,0,0,0,9.97406742469579e-05,0,0,0,0,0.000299222022740874,0,0.000299222022740874,9.97406742469579e-05,0,0,9.97406742469579e-05,0,0,0.00239377618192699,0.000997406742469579,0,0,9.97406742469579e-05,0,0,0,0,0,9.97406742469579e-05,0,0,9.97406742469579e-05,0,0,0.00109714741671654,9.97406742469579e-05,0,0,0.0018950728106922,0,0,0.00149611011370437,0,9.97406742469579e-05,0.00219429483343307,0,0,9.97406742469579e-05,0,0,0,0,0,0,0,0,9.97406742469579e-05,9.97406742469579e-05,0,0.142030720127668,0,0.00049870337123479,0,0,0,9.97406742469579e-05,0,9.97406742469579e-05,0,9.97406742469579e-05,0.00199481348493916,0,0,0,0,0,0.00478755236385398,0,0,0,0,0,0,0.009475364053461,0,9.97406742469579e-05,0,9.97406742469579e-05,0.0177538400159585,0,0,0,0.0396967883502892,0,0,0,0,0,9.97406742469579e-05,0,0,0.000698184719728705,0.000299222022740874,0,0,9.97406742469579e-05,0,9.97406742469579e-05,0,0,0,9.97406742469579e-05,0,0.000199481348493916,0,0,0,0,0,0,0,0,9.97406742469579e-05,0,0.00807899461400359,9.97406742469579e-05,0,0.000199481348493916,0,9.97406742469579e-05,0.000299222022740874,0,0,0,0.000398962696987832,0,9.97406742469579e-05,0,0,0,0,0.00109714741671654,0,0.000797925393975663,9.97406742469579e-05,9.97406742469579e-05,0,0,0,0,0,0.0187512467584281,0,0,0,9.97406742469579e-05,0.0192499501296629,0.00418910831837223,9.97406742469579e-05,0,9.97406742469579e-05,0.00209455415918612,0.00279273887891482,0,0,0,9.97406742469579e-05,0,0.00349092359864353,0.000199481348493916,0,0,0.00598444045481747,0.00259325753042091,0.000897666068222621,0,0,0,0,0,9.97406742469579e-05,0,0.000797925393975663,0,0,0.0177538400159585,0,0,9.97406742469579e-05,0,9.97406742469579e-05,0,0,0,0,0,9.97406742469579e-05,9.97406742469579e-05,0,9.97406742469579e-05,9.97406742469579e-05,0,0,9.97406742469579e-05,0,0,9.97406742469579e-05,0.000598444045481747,0.000199481348493916,0,9.97406742469579e-05,0.000199481348493916,9.97406742469579e-05,0,0,0.000199481348493916,0,0,0,0,0,0.544484340714143,0.0123678436066228,0,0.104627967285059,0,0,0,0,0,9.97406742469579e-05,9.97406742469579e-05,9.97406742469579e-05,0,9.97406742469579e-05,0,0,0,0,0.000299222022740874,9.97406742469579e-05,0.000997406742469579,0,0,0,0,0.000398962696987832,0,0.000199481348493916,0,0,9.97406742469579e-05,0
0,0,0,0,0,0,0.000199840127897682,0,0,0,9.99200639488409e-05,9.99200639488409e-05,0,0,0.000299760191846523,0,0,0,0,0,0.000199840127897682,0.00239808153477218,0,0,0,0.0869304556354916,0,0,0,0,0,0,0,0,0,0,0,0.000899280575539568,0,0,0,0,0,0.000299760191846523,0,0,0,0.000299760191846523,0,0,0,0,0,9.99200639488409e-05,0,9.99200639488409e-05,0,0,0,0.0245803357314149,0,0,0.000199840127897682,0.00249800159872102,0,0,0.0196842525979217,0,0,0.0178856914468425,0.00189848121502798,9.99200639488409e-05,9.99200639488409e-05,0.000699440447641887,0,9.99200639488409e-05,0,0,0,0.000999200639488409,0,0,0,0,0.00559552358113509,0,0.000199840127897682,9.99200639488409e-05,0,0,0,0.00559552358113509,0,0,0,0,0,0,0,0,0.0167865707434053,0.00269784172661871,0.000799360511590727,0,0,0,0,0,0,0.000599520383693046,0,0.00699440447641886,9.99200639488409e-05,9.99200639488409e-05,0.000199840127897682,0,0.0510591526778577,0,0.000599520383693046,0,0,0.013189448441247,0,9.99200639488409e-05,0,0,0,0,0,0.00449640287769784,0,0,0,0.0248800959232614,0,0,0,0,9.99200639488409e-05,0,0,0.00989208633093525,0,0,0.00149880095923261,0,0.00109912070343725,0,0,0.0186850519584333,0,0.00259792166266986,0,0.000499600319744205,0.0021982414068745,0,0,0.000599520383693046,0,0.00409672262190248,0.0412669864108713,0,0.000899280575539568,0.000899280575539568,0,0,0.000199840127897682,0,0,0,0,9.99200639488409e-05,0,0,0,0,0,0.000599520383693046,0,0,9.99200639488409e-05,0,9.99200639488409e-05,0.00159872102318145,0,0.00809352517985612,0.00629496402877698,0,0,9.99200639488409e-05,0,0,0,0,0,0,0.0317745803357314,0,0,0,0.23880895283773,0.00819344524380496,0,9.99200639488409e-05,0,0.00139888089528377,9.99200639488409e-05,0,0,0,0.00129896083133493,0,0.000999200639488409,0,0,0,0,0.000699440447641887,0,0.000699440447641887,9.99200639488409e-05,0.00139888089528377,0,0,0,0,0,0,0,0,0,0.0215827338129496,0,0.00239808153477218,0,0.000899280575539568,0,0.00319744204636291,0,9.99200639488409e-05,0.000299760191846523,0,0.0505595523581135,0,0,0,0,0,0,0,0,0,0,0.000199840127897682,0.0021982414068745,0.000999200639488409,0.00199840127897682,0,0.000499600319744205,9.99200639488409e-05,0,0,0,0.000499600319744205,0,0.000199840127897682,0,0,0.00309752198241407,0.0186850519584333,0,0.000699440447641887,0.0231814548361311,0,0,0,0,0.000299760191846523,0,0.174060751398881,0,0,0,0,0,0.00119904076738609,9.99200639488409e-05,0,0.00509592326139089,0,0,0,9.99200639488409e-05,0,0,0,0,0,0,0.00369704236610711,0.0021982414068745
0,0,0,0,0,0,0,0.00499900019996001,0,0,0.0001999600079984,0,0,0,0,0,0,0,0.0001999600079984,0,0,0.0016996600679864,0,0,0,0.0436912617476505,0,0,0.0162967406518696,0.001999600079984,0.0132973405318936,0,0.000599880023995201,0,0,0,0.0015996800639872,0.00329934013197361,0,0,0,0.0010997800439912,0,0.0240951809638072,0,0.000599880023995201,0,0.000399920015996801,0,0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0.0001999600079984,0.000799840031993601,0,0,0,0,0,9.99800039992002e-05,0,0.0026994601079784,0,0.000999800039992002,0.000599880023995201,0,0.00549890021995601,0.0820835832833433,0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0.015996800639872,0.0030993801239752,0,0,0,0,0,0,0,0.00649870025994801,0,0,0,0,0.0001999600079984,0,9.99800039992002e-05,0.0375924815036993,0.0619876024795041,0,0,0,0,0,0.0181963607278544,0.0001999600079984,0,0,0,0,0,0,0,0,0.00449910017996401,0,0,0,0,0.0016996600679864,0.00489902019596081,0.00719856028794241,0.0025994801039792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001999600079984,0.0002999400119976,9.99800039992002e-05,0,0,0.0010997800439912,0,0.0001999600079984,0.000599880023995201,0,0,0,0,0.0141971605678864,0.0013997200559888,0,0.000799840031993601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000499900019996001,0,0.00479904019196161,0.0001999600079984,0,9.99800039992002e-05,0,0,0.000999800039992002,0,0,0.00249950009998,0,0,9.99800039992002e-05,0.00349930013997201,0,0,0.0027994401119776,0,0,0,0,0,0,0,0,0.000699860027994401,0,0,0,0,0,0.0557888422315537,0,0.0001999600079984,0,0,0.000499900019996001,0,0,0.000499900019996001,0,0,0,0.00389922015596881,0,0,0,0,0,0,0.0026994601079784,0,0.010497900419916,0.000499900019996001,0,0.0781843631273745,0,0,0,0,0,0,0,0,0.0348930213957209,0,0,0,0,0,0,0.000499900019996001,0,9.99800039992002e-05,0.0023995200959808,0,0.0012997400519896,0,0,0,0.0001999600079984,0,0,0,9.99800039992002e-05,0.0001999600079984,0.001499700059988,0,0,0,0,0.00389922015596881,0,0,0,0,0,0,0,0,0.0011997600479904,0.35252949410118,0.0001999600079984,0,0.0212957408518296,0,0,0,0,0,0.000399920015996801,0.001499700059988,0.0126974605078984,0,9.99800039992002e-05,0.0011997600479904,0,0,0,0,0,0.00389922015596881,0
0.000299880047980808,0,0,0,0,0,0.00589764094362255,0,0,0,0,0,0.000199920031987205,0,0.00149940023990404,0,0,0,0,0,0,0,0,0,0,0.379948020791683,0,0,0.0245901639344262,0.000599760095961615,0,0,0,0,0,0,0,0.0486805277888844,0,0,0,0,0,0,0,0,0,0.000299880047980808,0,0,0.00039984006397441,0.000299880047980808,0,0.000499800079968013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179928028788485,0,0,0,0,0.00149940023990404,0,0,0,0,0,0.00039984006397441,0,0,0,0.022890843662535,0,0,0,0,0.000599760095961615,0.00119952019192323,0,0,0.00869652139144342,0.00119952019192323,0,0,0,0,0.00189924030387845,0,0,0,0,0,0.000499800079968013,0,9.99600159936026e-05,0,0.00119952019192323,0.00129948020791683,0,0,0,0.00349860055977609,0,0.00039984006397441,0,0.0181927229108357,0,0.00119952019192323,9.99600159936026e-05,0,0,0,0,0,0,0,0,0.000999600159936026,0,0,0,9.99600159936026e-05,0,0,0,0.00129948020791683,0,0,0,0,9.99600159936026e-05,0,0,0,0.00239904038384646,0,0.00229908036785286,0,0,0.00229908036785286,0,0,0.00129948020791683,0,0,0.0405837664934026,0,0,0,0,0,0,0,0,0,0,9.99600159936026e-05,9.99600159936026e-05,0,0.000999600159936026,0.00649740103958417,0,0,0,0,0,0,0,0,0,0.00809676129548181,0.0162934826069572,0,0,0,0,0,0.000899640143942423,0,0,0,0.00169932027189124,0,0,0,0.191023590563774,0.00269892043182727,0,0,0,0.00829668132746901,0,0.00159936025589764,0.00609756097560976,0.00129948020791683,0.0158936425429828,0,0,0,0,0,0,0,0.00459816073570572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129948020791683,0,0,0,0,0,0,0,0,0,0,0,0,9.99600159936026e-05,0,0.000599760095961615,0,0,0,0.00239904038384646,0,0,0,0,0,0,0,0,9.99600159936026e-05,0.00179928028788485,0,0.00199920031987205,0.00139944022391044,9.99600159936026e-05,0,0,0,0,0,0.126449420231907,0,0.00079968012794882,0.00929628148740504,0,0,9.99600159936026e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609756097560976,0
