"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
0,0,0,0,0,0,0.000100030009002701,0,0,0,0,0,0.000400120036010803,0.00550165049514854,0.00140042012603781,0,0.000200060018005402,0,0,0,0,0.000800240072021606,0,0,0,0.0960288086425928,0,0,0.000400120036010803,0,0,0,0,0.0225067520256077,0,0,0.00600180054016205,0.00320096028808643,0,0,0,0,0,0,0,0.0106031809542863,0,0,0,0,0.00150045013504051,0,0,0,0,0,0,0,0,0,0,0.000100030009002701,0,0,0,0,0.00520156046814044,0,0,0.0564169250775233,0.00100030009002701,0,0,0,0,0,0,0,0,0.00490147044113234,0,0,0.0376112833850155,0,0,0,0.00250075022506752,0,0,0.00770231069320796,0,0,0,0,0,0,0,0,0.0129038711613484,0,0,0,0,0,0,0,0,0.18665599679904,0,0,0,0,0,0,0,0,0,0,0.00550165049514854,0,0,0,0.00630189056717015,0,0,0,0.000300090027008102,0,0,0,0,0.0180054016204861,0,0,0,0,0,0,0,0,0.00530159047714314,0,0,0,0,0,0.00250075022506752,0,0,0.00230069020706212,0.00360108032409723,0,0,0,0,0,0,0,0,0.00940282084625388,0,0,0,0.0503150945283585,0,0.000100030009002701,0,0,0,0,0,0,0.000100030009002701,0,0,0,0,0.00740222066619986,0,0,0,0,0,0,0.00180054016204861,0,0,0,0,0,0,0.00350105031509453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00330099029708913,0,0,0.000200060018005402,0,0,0,0,0,0.00210063018905672,0,0,0,0.00190057017105132,0,0.00560168050415125,0,0,0,0,0,0,0,0,0.000100030009002701,0.000300090027008102,0,0,0.014704411323397,0,0,0,0,0,0.00100030009002701,0,0,0,0,0,0,0,0,0,0,0,0.000200060018005402,0,0,0,0.000600180054016205,0.000700210063018906,0,0,0,0.000300090027008102,0,0,0,0,0,0,0,0,0.0989296789036711,0,0,0.123236971091327,0,0,0,0,0,0.000800240072021606,0.108732619785936,0,0,0.0504151245373612,0,0,0,0,0,0.00180054016204861,0,0,0,0,0,0.00350105031509453,0,0,0,0,0.00150045013504051,0
0,0.000199760287654814,0,0,0,0.00399520575309628,0,0,0,0.00809029165001998,9.98801438274071e-05,0,0,0.000299640431482221,9.98801438274071e-05,0,0,0.00499400719137036,0,0,0,0,0,9.98801438274071e-05,0,0.0318617658809429,0.00439472632840591,0,0.000499400719137036,9.98801438274071e-05,9.98801438274071e-05,0,0,9.98801438274071e-05,0,0,9.98801438274071e-05,9.98801438274071e-05,0.000199760287654814,0,0.00769077107471035,0.0791050739113064,0,0.000599280862964443,0,0.0270675189772273,9.98801438274071e-05,0,0,0,0,0,0,0,0,0,0,0,0.00719137035557331,0.00129844186975629,0,0,0,0.00789053136236516,0,0,0.00499400719137036,0,0,0,0,0.00309628445864962,0.0013983220135837,9.98801438274071e-05,0,0.00719137035557331,0,0,0,9.98801438274071e-05,0.00239712345185777,0,0,0,9.98801438274071e-05,0,0,0,0,0.000199760287654814,0,0,0,0.000799041150619257,0,0,0,0,0.00619256891729924,0,0,0,0,0.0197762684778266,0,0.000499400719137036,0,0.00848981222532961,0,0,0,0,0,9.98801438274071e-05,0,0,0,0,0.000499400719137036,0,0,0,0,0,9.98801438274071e-05,0.000399520575309628,0.000199760287654814,0,0,0,0,0.00169796244506592,0,0.00479424690371554,0,0,9.98801438274071e-05,0,0,0.00709149021174591,0.143827407111466,0,0,0,0,0,0,9.98801438274071e-05,0,0,9.98801438274071e-05,0,0,0,0,0,0,0,0.000299640431482221,0.00389532560926888,0,0,0,0,0,0,0,0,0,0,0,0,0.413004394726328,0,0,0,0,0,0.00948861366360368,0.000199760287654814,0,0,0,0,0.000799041150619257,0,0,0,0,0,0,0.00269676388333999,9.98801438274071e-05,0,0.000199760287654814,0,0,0,0,0,0,0,0,9.98801438274071e-05,0,0.000399520575309628,0.000299640431482221,0,9.98801438274071e-05,0.00219736316420296,0,0,0,0,9.98801438274071e-05,0,0,0,9.98801438274071e-05,0.000299640431482221,0,0,0,0,0,0,0,0,9.98801438274071e-05,0.000299640431482221,0.00479424690371554,9.98801438274071e-05,0,0.076308429884139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000299640431482221,0,0,0.000199760287654814,9.98801438274071e-05,9.98801438274071e-05,0,0,0.000998801438274071,0,0,0,0.000199760287654814,0.000199760287654814,0,0,0,0,0.00868957251298442,0,9.98801438274071e-05,0.0204754294846185,0,9.98801438274071e-05,0,0,0,0,0.0491410307630843,0,0,0.000299640431482221,0,0,0,0,0,0,0.000299640431482221,0,0,0,0,0,0,0.000499400719137036,0,0,0.00179784258889333,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769615192403798,0,0,0,0,0,0,0,9.99500249875062e-05,0,0,9.99500249875062e-05,9.99500249875062e-05,0,0,0,0,0,0,0,0,0,0.0105947026486757,0,0.146126936531734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279860069965018,0,0,0.000299850074962519,0,0,0,0.00369815092453773,0,0,0,0.000499750124937531,0,0,0,0,0,0,0,0.000199900049975012,0,0,0,0,0.00139930034982509,0,0,0,0,9.99500249875062e-05,0,0,0,0,0,0,9.99500249875062e-05,0.00999500249875063,0,0,0,0,0.0047976011994003,0,0,0.00239880059970015,0,0,0,0,0,0,0.000299850074962519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369815092453773,0,0,0.000599700149925037,0,0,0,0,0,0,0,0.00519740129935032,0,0,9.99500249875062e-05,0.00109945027486257,0.00309845077461269,0,0.0952523738130935,0,9.99500249875062e-05,0,0,9.99500249875062e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99500249875062e-05,0,0,0.000999500249875062,0,0,0,0.00079960019990005,0,0.000299850074962519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000299850074962519,0,0,0,0,0,0,0,0.0736631684157921,0.0527736131934033,0,0,9.99500249875062e-05,0,9.99500249875062e-05,0,0,0,0,0,0,0,0,0.0207896051974013,0,0,0,0,0,0,0.00129935032483758,0,0,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111944027986007,0,0,0.0950524737631184,0,0,0,0,0,0.000399800099950025,0.418990504747626,0,0,0.00649675162418791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015992003998001,0
0.000399640323708662,0,0,0,0.00299730242781497,0.00419622339894095,0,0,0,0,0,0,0,0.047057648116695,0.000199820161854331,0,0.000699370566490159,0.0208812069137776,0.00279748226596064,0,0,0.000599460485562993,0,0.000199820161854331,0,0.00179838145668898,0.00389649315615946,0,0.000499550404635828,0,0,0,0,0.00669397542212009,0,0,0,0.00149865121390748,0,0,0.00959136776900789,0.0941152962333899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028973923468878,0,0.00749325606953742,0.00139874113298032,0,0,0.00139874113298032,0.0086921770406634,0,0,9.99100809271655e-05,0.00309721250874213,9.99100809271655e-05,0,0,0.00269757218503347,0.00159856129483465,0,0,0.0365670896193426,0,0,0,0,0,0,9.99100809271655e-05,0,0,0,0,0,0.000399640323708662,0,0,0,0,0,0,0,0,0,0.0246777899890099,0,0,0,0,0,0,0,0,9.99100809271655e-05,0,0,0,0,0,9.99100809271655e-05,0,0,0,0,9.99100809271655e-05,0,0,0,0.00879208712159057,9.99100809271655e-05,0.0468578279548406,0.0221800379658308,0.00399640323708662,0,0,0,0,0.000299730242781497,0,0.016285343191128,0,0,9.99100809271655e-05,0,0,0,0.210110900189829,0,0.000299730242781497,0,0.00479568388450395,9.99100809271655e-05,9.99100809271655e-05,0,0,0,0.00169847137576181,0,0,0.000199820161854331,0,0.000299730242781497,0.0025976621041063,0,0,0.0028973923468878,0,0,0,0,0,0,0,0.000299730242781497,0,0,0,0,0,0,0.00379658307523229,0,0,0,0.00659406534119293,0,0,0,0,0,9.99100809271655e-05,0.000499550404635828,0,0,0,0,0,0.00369667299430513,0.00219802178039764,9.99100809271655e-05,0,0,0,0.000599460485562993,0,0,0.0204815665900689,0,0,0,0,0.0178839044859626,0,0,9.99100809271655e-05,0.00249775202317914,0,0,0,0,0.000299730242781497,0,0,0,0.00519532420821261,0,0.000999100809271655,0,0,0,0,0,0,0,0,0,0.0143870516535118,0,0,0.070636427215506,0,0,0,0.000199820161854331,0,0.00279748226596064,0,0,0,0,0,0.000799280647417324,0,0.00719352582675592,0,0,0,9.99100809271655e-05,0,0,0,0.00379658307523229,0.027175542012189,0,0.000499550404635828,0,0.00269757218503347,0,0,0.000199820161854331,0,0,0,0,0,0.00459586372264962,0,0.00419622339894095,0.0304725746827855,0,0,0,0,0,0.00269757218503347,0.123289039864122,0,9.99100809271655e-05,0.0086921770406634,0,0,0,0,9.99100809271655e-05,0,0.00129883105205315,0,0,0,0,0.00839244679788191,0,0.00309721250874213,0,0,0.00589469477470277,0
0,0,0,0,0,0,0,0,0.0005999400059994,0.0033996600339966,0,0,0,0.0150984901509849,9.99900009999e-05,0,0,0,0,0,0,0,0,0,0,0.001999800019998,0.0110988901109889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999900009999,0.0714928507149285,0,0,0,0,0,0,0.0038996100389961,0,0,0,0,0,0,0,0.0018998100189981,0,0,0,0,0,0,0,0,0,0.0001999800019998,9.99900009999e-05,0.000999900009999,0,0,0,0,9.99900009999e-05,0,0.0046995300469953,0,0,0.006999300069993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015998400159984,0,0,0,0.0003999600039996,0,0,0,0,0.0003999600039996,0,0,0,0,0,0.0032996700329967,0,0,0,0,0.0228977102289771,0.0003999600039996,0,0,0,0,0.0054994500549945,0,0,0,0.0005999400059994,0,9.99900009999e-05,0.0043995600439956,0.0030996900309969,0,0,0,0,0,0,0,0,0,9.99900009999e-05,0,0,0,0.0705929407059294,0,0,0,0,0,0,0,0,0,0.0016998300169983,0,0,0.0001999800019998,0,0,0,0,0,0,0,0,0,0,0,0.0001999800019998,0,0.0005999400059994,0.0014998500149985,0,0,0,0.0005999400059994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197980201979802,0,0,0,0,0,0,0,0,0,0.0003999600039996,0,0,0,0,0,0,9.99900009999e-05,0,0,0,0,0,0,0,0,0,0.0463953604639536,0,0,0,0,0,0,0,0,0,0.0044995500449955,0,0.010998900109989,0,0,0.0110988901109889,0.0012998700129987,0,0,0,0,9.99900009999e-05,0,0,0,0,0.0001999800019998,0,0,0.0002999700029997,0,0,9.99900009999e-05,0,0,0,0,0,0,0,0,0.0002999700029997,0,0,0,0,0,0,0,0,0,0.35996400359964,0,0,0.0140985901409859,0,0,0,0.0005999400059994,0,0,0.244075592440756,0,0,0.0275972402759724,0,0,0,0,0.0002999700029997,0,0,0,0,0,0,0,0,9.99900009999e-05,0,0,0.0067993200679932,0
0,9.97904400758407e-05,0.000399161760303363,0,0.000898113960682567,0.00239497056182018,0,9.97904400758407e-05,9.97904400758407e-05,0.00209559924159266,0,0,0,0.0021953896816685,0,0,0,0.00329308452250274,0,0,9.97904400758407e-05,0.000498952200379204,0,0,0.00349266540265443,0.0183614409739547,0.00229518012174434,0,0,0,9.97904400758407e-05,0.000199580880151681,0.000199580880151681,0,0,0,0.0108771579682666,0,0,0,0.00349266540265443,0.0374214150284403,0,0.00149685660113761,0.0138708711705419,0.000399161760303363,0,0.00329308452250274,0,0,9.97904400758407e-05,0,0,0.00279413232212354,0,0,0,0,0,9.97904400758407e-05,0,0,0,0.0048897315637162,0,0,9.97904400758407e-05,0.00159664704121345,0.00578784552439876,0,0,0,0.00119748528091009,0,9.97904400758407e-05,0,0,0,0,9.97904400758407e-05,0.00419119848318531,0.000997904400758407,9.97904400758407e-05,0,9.97904400758407e-05,0.00129727572098593,0,0,0,0,0,0,0,0.000299371320227522,0,0,0,0,0.00498952200379204,0,0.00399161760303363,0.00289392276219938,0.000199580880151681,0.000898113960682567,0,0,0,0.0900109769484083,9.97904400758407e-05,0,0,0,0,0,0,0,0,0,9.97904400758407e-05,0,0,0,0,0,0.000798323520606726,9.97904400758407e-05,0.0731463925755913,9.97904400758407e-05,0,9.97904400758407e-05,0,0,0,0.00309350364235106,0,9.97904400758407e-05,0,0,0,0.00848218740644646,0.23440774373815,0,0,0,0,0,0,0,0,0,9.97904400758407e-05,9.97904400758407e-05,9.97904400758407e-05,0,9.97904400758407e-05,0,0,0,0,0.00169643748128929,0,0,0,0.000399161760303363,0,0,0,0,0.00149685660113761,0.000598742640455044,0,0,0.000698533080530885,0,0,0,0,0.000399161760303363,0.000798323520606726,9.97904400758407e-05,0,0,0,0.000299371320227522,0,0,0,0,0,0,0,0.000698533080530885,0,0,9.97904400758407e-05,0,0,9.97904400758407e-05,9.97904400758407e-05,0,0,0,0,0,0,0.000598742640455044,9.97904400758407e-05,0,0.000199580880151681,0,0,0,0,0,0.000199580880151681,0,0.00399161760303363,9.97904400758407e-05,0.0529887236802714,0,0.00409140804310947,9.97904400758407e-05,0,0.000199580880151681,0,0,0,0,0.000698533080530885,9.97904400758407e-05,0.00359245584273027,9.97904400758407e-05,9.97904400758407e-05,0.0336293783055583,0,9.97904400758407e-05,9.97904400758407e-05,0,0,0.000299371320227522,0,0,0.00379203672288195,0,0.00528889332401956,0,9.97904400758407e-05,0,0,0,0.000598742640455044,0,0,0,0,0.00419119848318531,0.000299371320227522,0,0,0,9.97904400758407e-05,0,0,0,9.97904400758407e-05,0,0,0.0727472308152879,0.000299371320227522,0.156770781359146,9.97904400758407e-05,0.00239497056182018,0.0564813890829259,0,0,0,9.97904400758407e-05,0,0.000299371320227522,0.000199580880151681,9.97904400758407e-05,0,0.00498952200379204,0,0,0.00109769484083425,0,0,9.97904400758407e-05,9.97904400758407e-05,0,0,0,0,0.0169643748128929,9.97904400758407e-05,0.00708512124538469,0,0,0.00149685660113761,0
0,0,0,0,0,0.0163934426229508,0,0,0,0.00729708116753299,0,0,0,0,0,0.00039984006397441,0,0,0,0,0,0,0,0,0,0.00729708116753299,0,9.99600159936026e-05,9.99600159936026e-05,0.00039984006397441,0,0.000199920031987205,0,0,0,0,0,0,0,0,0.0138944422231108,0.17952818872451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00969612155137945,0,0,0.00209916033586565,0,0,0,0.142942822870852,0,0,0.000199920031987205,9.99600159936026e-05,0.00039984006397441,0,0,0,0,0,0.00899640143942423,0.0741703318672531,0,0,0.022890843662535,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99600159936026e-05,0.0395841663334666,0,0,0.00199920031987205,0,0,0,0,0.0185925629748101,0,0,0,0,0,0.000199920031987205,0.00319872051179528,0,0,0,0,0,0,0,0,0,0,0.0424830067972811,0,0,0.00139944022391044,0,0,0.0113954418232707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135945621751299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599760095961615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000699720111955218,0.00369852059176329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180927628948421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000699720111955218,0,0.0134946021591363,0,0,0,0,0,0,0,0.033186725309876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240903638544582,0,0,0,0,0.00459816073570572,0,0,0,0,0,0,0,0,0.000299880047980808,0,0.00339864054378249,0.00719712115153938,0,0,0,0,0,0,0,0,0,0,0,0,0.0263894442223111,0,0,0.0386845261895242,0,0,0,0.00709716113554578,0,0,0.0597760895641743,0,0,0,0,0,0,0,0.00829668132746901,0,0,0,0,0,0,0,0,0.00299880047980808,0,0,0.00469812075169932,0
0,0.00849405416208654,0,0,0,0.00559608274208054,0,0,9.9930048965724e-05,0.00489657239932048,0,0,0,0,9.9930048965724e-05,0,0,0.00739482362346358,0,0,0,0,0,0,0.00359748176276606,0.00099930048965724,0.0131907664634756,0,0,9.9930048965724e-05,0.000299790146897172,0,0.00169881083241731,0,0,0,0,0,9.9930048965724e-05,0,0.0108923753372639,0.103427600679524,0,0,0,0.0165883881283102,0,0.00729489357449785,0,0,0,0,0,0,0,0,0,0,0,0.00639552313380634,0,0,0,0.00489657239932048,0,0,9.9930048965724e-05,0,0.000299790146897172,0,0,0,0.00199860097931448,0,0,9.9930048965724e-05,0,0,0.00859398421105226,0,0.00979314479864095,0,0,0,0,0,0,0.00049965024482862,0,0,0,0,0.0127910462676127,0.0129909063655441,0,0,0,0,0,0,0,0,0.000299790146897172,0.00469671230138903,0,0,0,0.000599580293794344,0,0,0,0,0,0.000799440391725792,0,0,0,0,9.9930048965724e-05,0,0,0,0,0,0.048166283601479,0,0.00579594284001199,0,0,0,0,0,0,0,0,0,9.9930048965724e-05,0,0,0,0.119016688318177,0,0,0,0,0,0,0,0,0,0.00409713200759468,0,0,0,0,0,0,0,0,0.0129909063655441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000299790146897172,0.00109923053862296,9.9930048965724e-05,0.000299790146897172,0,0,0,0,0,0,0,0,0,0,0,0.00799440391725792,0,0,0.000299790146897172,0,0,0,0,0,0,0,0,0,0,0.000699510342760068,9.9930048965724e-05,0,0,0,0.000899370440691516,0,0,0,0,0,0,0,0.000199860097931448,0,0,0,0,0,0,0,0,0,0.0153892275407215,0,0,0,0,0.0524632757070051,0,0,0,0,0,0.000199860097931448,0,0,0,0,0,0,9.9930048965724e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199860097931448,0.00129909063655441,0,0.0956330568601979,0,0,0,0,0,9.9930048965724e-05,0.342859998001399,0.000399720195862896,0,0.0337763565504147,0,0,0,0,0,0,0.00349755171380034,0,0,0,0,0,0,0.00049965024482862,0,0,0.00169881083241731,0
0,0.000599221012683511,0,0,0,0.00229701388195346,0,0,0,0.00439428742634575,0,0,0,0.1296314790772,9.98701687805852e-05,9.98701687805852e-05,9.98701687805852e-05,0.00778987316488565,0,0,0,0.000998701687805852,0,0,0,0.00489363827024868,0,0,9.98701687805852e-05,0,9.98701687805852e-05,9.98701687805852e-05,0,0.00459402776390692,0,0.00579246978927394,0.000898831519025267,0.000798961350244682,0,0,0,0.0861879556576451,0.00219714371317288,0,0,0.0174772795366024,0.0026964945570758,0,0,0,0,0,0,0.00129831219414761,0,0,0,0,0,0.0439428742634575,0,0,0,0.00469389793268751,0,0,0,9.98701687805852e-05,0,0,0,0,0,0,0,0.000898831519025267,0,0,0,0.00169779286926995,0.0102866273844003,0,9.98701687805852e-05,0,0,0,0,0,0,0.000599221012683511,0,0,0.000599221012683511,0,0.0132827324478178,0,0,0,0.00469389793268751,0,0,0.0472385898332168,0,0,0,0,0,9.98701687805852e-05,0.0080894836712274,0,0,0.00159792270048936,0.00309597523219814,0.00019974033756117,0,0,0,0,0,0,0,0.0415459902127235,0.00179766303805053,0,0.00019974033756117,0.00689104164586038,0.00379506641366224,0,0,0,0.00529311894537102,0,0.00129831219414761,0,0,0,0.000499350843902926,0,0,0,0.0603215819434735,0,0.000798961350244682,0,0,9.98701687805852e-05,9.98701687805852e-05,0,0,0,0.00139818236292819,0,0.00019974033756117,0,0,0,0,0,0,0.00429441725756517,0.00159792270048936,0,0,0,0,0,0,0.00589233995805453,0,0,0.000599221012683511,0,0,0,0,0,0,0,0.00699091181464097,0,0,0,0,0,0,9.98701687805852e-05,0.000599221012683511,0,0,0,0,0.0115849395785479,0,0,0,0,0,0,0,0,0,0.000898831519025267,0,9.98701687805852e-05,9.98701687805852e-05,0,0,0,9.98701687805852e-05,0.00229701388195346,0,0,0,0.00109857185658644,0.000399480675122341,0,0.00818935384000799,0,0.00319584540097873,0,0,0.000798961350244682,0,0,0,0,0,0,0.00908818535903326,0.000499350843902926,0.032757415360032,0,0,0.00769000299610506,0,0,0,0.00119844202536702,0,0,0,0,0,0,0.00019974033756117,9.98701687805852e-05,0,0.00299610506341756,0,0,0,0,0.00139818236292819,0,9.98701687805852e-05,0.00019974033756117,0.00019974033756117,0,0,0,0,0,0,0.00109857185658644,0,0,0,0.00579246978927394,0,0.029861180465395,0,0.00149805253170878,0.0582243083990812,0,0,0,0,0,0.000798961350244682,0.229901128532907,0,0,0.0127833816039149,0,0,0,0,0,0.00569259962049336,0.00519324877659043,0,0,0,0,0.000998701687805852,0,0.00299610506341756,0,0,0.00129831219414761,0
0.000199880071956826,0,0,0,0,0,0.000299820107935239,0.000899460323805717,0,0.000299820107935239,0.000199880071956826,0,0,0,0,0,0,0,0,0.000699580251848891,0.00209874075554667,0.00449730161902858,0,0.000399760143913652,0,0,9.9940035978413e-05,0,0.00189886068358985,0.00249850089946032,0.0341794923046172,0,0.00149910053967619,0.00299820107935239,0,0.00109934039576254,9.9940035978413e-05,0.0420747551469119,9.9940035978413e-05,0,9.9940035978413e-05,0,0,0.00389766140315811,0,0.0667599440335798,0,0.000199880071956826,0,0,0,0,9.9940035978413e-05,0,0.00219868079152508,0,0,0,0,0.0346791924845093,0,0.00239856086348191,0,0,0,0,0.129622226664002,0,9.9940035978413e-05,0,0.00259844093543874,0,0.0022986208275035,0,0,0,9.9940035978413e-05,0,0,0.0374775134919049,0,0.00169898061163302,0.0162902258644813,0,0.0022986208275035,0,0,0,0,0.000499700179892065,0,0.000699580251848891,0,0.000499700179892065,0,0,0,0,0.00339796122326604,0,9.9940035978413e-05,0,0,0,9.9940035978413e-05,0.000299820107935239,0,0.0581651009394363,0,0.00409754147511493,0,0,0,0.00579652208674795,0.000699580251848891,0,0,0,0.017189686188287,0,0,0,0,0,0.00129922046771937,0,0,0,0.000499700179892065,0.00629622226664002,0.00549670197881271,0.00429742154707176,0,0,0,9.9940035978413e-05,0,9.9940035978413e-05,0,0,0,0,0,0,0,0,0.00649610233859684,0.000699580251848891,9.9940035978413e-05,0,0.00759544273435938,0.00449730161902858,0,0,0,0,0,0,0,0.00419748151109334,0,0,9.9940035978413e-05,0.0329802118728763,0,0,0,0,0,0,0.00119928043174096,0,0,0,0,9.9940035978413e-05,0.000199880071956826,0,0.063162102738357,0.000199880071956826,0.000499700179892065,0,0,0,0.00369778133120128,0,0,0,0.000199880071956826,0.000299820107935239,0,0.00499700179892065,0,0,0.0126923845692584,0,0,9.9940035978413e-05,0,0,0,0,0,0.0623625824505297,0.0205876474115531,0.0104937037777334,0.000999400359784129,0,0,0,0,0,0.000299820107935239,0,0.000799520287827304,0.000499700179892065,0.0155906456126324,0.0190885468718769,0.0122926244253448,0.000499700179892065,0.0368778732760344,0.0053967619428343,0.00869478313012193,0,0,0,0.00809514291425145,0,0.004597241655007,0.000199880071956826,0.0113931641015391,9.9940035978413e-05,0,0.0113931641015391,0,0,0.00369778133120128,0,0,0.00379772136717969,0,0,0,0,0.000199880071956826,0,0,0,0.000199880071956826,0.000899460323805717,0,0.000299820107935239,0.00149910053967619,0,0.000499700179892065,0.000799520287827304,0,0,0.00509694183489906,0,0.00219868079152508,0,9.9940035978413e-05,0.000699580251848891,0,0,0,0.00379772136717969,0.0121926843893664,0,0.000799520287827304,0.00719568259044573,0.00359784129522287,0,0,0,0,0,9.9940035978413e-05,0,0,0,0.0249850089946032,0,0,0,0,0,0.0106935838496902,0.00479712172696382,0.00369778133120128,0,9.9940035978413e-05,0,0.000399760143913652,9.9940035978413e-05,0.000299820107935239,0.010893463921647,0,0.0134919048570857,0
