"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
0,0,0,0,0,0,0,9.99100809271655e-05,0,0,0,0,0,0,0.0028973923468878,0.00199820161854331,0,0,9.99100809271655e-05,0,9.99100809271655e-05,0.00419622339894095,0,0,0,0.328304525926666,0,0,0.00199820161854331,0,0,0,0,0.0113897492256969,0,0,0,0.000999100809271655,0,0,0,9.99100809271655e-05,0,0.00359676291337796,0,0,0,0,0,0,0,0,0,0,9.99100809271655e-05,0,0,0,0,0.00129883105205315,0,0,0,9.99100809271655e-05,0,0,0.0089919072834449,0,0,0,0.000499550404635828,9.99100809271655e-05,0,9.99100809271655e-05,0,9.99100809271655e-05,0,0,0,9.99100809271655e-05,0.000199820161854331,0,0,0,0,0,0.0388650214806674,0,0,0.00229793186132481,0,0.00119892097112599,0.00959136776900789,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99100809271655e-05,0.112998301528624,0,0,0,0,0,0.00139874113298032,0.00419622339894095,0,0,0,0.00159856129483465,0,0.00719352582675592,0,0,0,0.0111899290638425,0.000699370566490159,0,0,0,0,0,0,0,0,0.000399640323708662,0,0.00909181736437207,0,0,0,0.00449595364172245,0.00239784194225197,0,0,0.00569487461284844,0,0.000199820161854331,0.000299730242781497,0,0.00249775202317914,9.99100809271655e-05,0,0,0.00149865121390748,0,0,0.0031971225896693,0,0.000199820161854331,0,0,0.00269757218503347,0,0,0,0,0,0.000199820161854331,0,0,0.000699370566490159,0,0,0,0.00439604356079528,0,0,9.99100809271655e-05,0.00469577380357678,0,0,0.0720351683484864,0,0,9.99100809271655e-05,0,0,0,0,0,9.99100809271655e-05,0.00189829153761615,0.0208812069137776,0,0,0.00149865121390748,0,0.00219802178039764,0,0,0.00179838145668898,0,9.99100809271655e-05,9.99100809271655e-05,0,0.00109901089019882,0,0,0,9.99100809271655e-05,0,0,0,0,0,0.00669397542212009,0.00369667299430513,9.99100809271655e-05,0.00299730242781497,0,0.00229793186132481,0,0,0.0424617843940454,0,0,0,0,0,0,9.99100809271655e-05,0,0,0.0328704166250375,0,0,0.000399640323708662,0.0137875911679488,0.000399640323708662,0,0,0,0,0,0,0,0,0,0.000199820161854331,0.0183834548905985,0,9.99100809271655e-05,0,9.99100809271655e-05,0,0,0.000399640323708662,0,9.99100809271655e-05,0.00219802178039764,0,0,0,0.000399640323708662,0,0,0,0,0,0.101708462383855,0,0,0.0346687980817264,0,0,0,0,9.99100809271655e-05,0.000799280647417324,0,0,0,0.00819262663602758,0,0,0,0,0,0.000299730242781497,0.00209811169947048,0,0,0,0,0.00729343590768308,0.000299730242781497,0.00399640323708662,0,0,0.00789289639324608,0.00149865121390748
0,0,0,0,0,0,0,0.00209937018894332,0,0,0,0,0,0.00579826052184345,0.00739778066580026,0,0.000599820053983805,0,0,0,0,0.00569829051284615,0,0,0,0.268619414175747,0,0,0.00109967009897031,0,0.000299910026991902,0,0,0,0,0,0.00179946016195141,0.00299910026991902,0,0,0,0,0,0,0,0.00659802059382185,0,0,0,0,0.000299910026991902,0,0,0,0.000999700089973008,0,0,0,0,0.00249925022493252,0,0,0,9.99700089973008e-05,0,0.00449865040487854,0.00339898030590823,0,0,0.00359892032390283,0.00299910026991902,0,0,0,0,0,0,0,0,0.00119964010796761,0,0,0,0,0.00429871038688393,0.000299910026991902,0.00539838048585424,0,0,0.00689793062081376,0.00139958012596221,0,0,0,0,0.000899730080975707,0.00459862041387584,0,0,0,0,0,0,0,0.00149955013495951,0,0,0.0771768469459162,0,0.00129961011696491,0,0,0,0.0120963710886734,0,0,0,0,0.0326901929421174,0.000299910026991902,0,0,0,0,0,0,0,0,0,0,0,0.00919724082775168,0,0,0,0,0.00899730080975707,0,0,0,0,0,0,0,0,0,0.000299910026991902,0,0,0,0.000699790062981106,0.000299910026991902,0,0,0,0,0,0,0,0,0,0,0,0.0233929821053684,0,0,0,0,0,0.0163950814755573,0.00119964010796761,0,0.00139958012596221,0,0,0,0,0.0126961911426572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00589823053084075,0,0,0.00119964010796761,0,0,0.000399880035989203,9.99700089973008e-05,0,0,0,0,0,0,0.000699790062981106,0.00139958012596221,0,0.000399880035989203,0,0.00579826052184345,0,0,0.00119964010796761,0.00249925022493252,0,0.00329901029691093,0.00139958012596221,0,0,0.00479856043187044,0.00449865040487854,0,0,0,0,0,0,0.00899730080975707,0,0,0,0,0.0396880935719284,0,0,0,0,0,0,0,0,0,0,0,9.99700089973008e-05,0,0,0,0,0.00279916025192442,0,0,0,0.00319904028791363,0.00589823053084075,0,0,0.00399880035989203,0,0,0,0,0,0,0,0.00219934019794062,0,0.00109967009897031,9.99700089973008e-05,0.00489853044086774,0,0.0194941517544737,0,0,0,0,0,0,0.276217134859542,0,0,0.0174947515745276,0,0,0,0,0,0,0.00399880035989203,0,0,0,0,0,0,0.000199940017994602,0,0,0.0299910026991902,0
0,0,0,0,0,0,0,0.00479616306954436,9.99200639488409e-05,9.99200639488409e-05,0.00109912070343725,0,0.000499600319744205,0.0243804956035172,0.000399680255795364,0,0.00469624300559552,9.99200639488409e-05,0.000299760191846523,0,0.00189848121502798,0.00409672262190248,0,0,0,9.99200639488409e-05,0,0,0.000199840127897682,0.000299760191846523,0.0108912869704237,0,0,0.00759392486011191,0,0,0.000899280575539568,0.0357713828936851,9.99200639488409e-05,0,0,0,0,0.00469624300559552,0,0.000499600319744205,0,0.000499600319744205,0,0,0.000199840127897682,0,0,9.99200639488409e-05,0.0139888089528377,0.000999200639488409,0,0,0,0.047761790567546,0.000499600319744205,0.00189848121502798,0,0.000999200639488409,0,0,0.0121902478017586,0,0,0.00139888089528377,0.0530575539568345,9.99200639488409e-05,0,0,0,0,0,0,0,0.0584532374100719,0,0,0.00689448441247002,0,0.0755395683453237,0.000299760191846523,0.0474620303756994,0,0,0.0021982414068745,9.99200639488409e-05,0.00419664268585132,0,0,0,0,0,0.000199840127897682,0.00429656274980016,0,0,0,0,0,0.000199840127897682,0,0,0.0254796163069544,0,0,0,0,0,0.0884292565947242,0,0,0,0,0.00119904076738609,0,0,0,0,9.99200639488409e-05,0.000999200639488409,0,0,0,0,0,0.000799360511590727,0.000999200639488409,0,0,0,0,9.99200639488409e-05,0,0,0,0.000199840127897682,0,0,0,0,0,0.00739408473221423,0,0,0,0.000799360511590727,0.00109912070343725,0,0.00599520383693046,0.000499600319744205,0,0,0,0.00429656274980016,0.00709432454036771,0,0,0,0.0210831334932054,0,0,9.99200639488409e-05,0,0,9.99200639488409e-05,0.000199840127897682,0,0,0,0,0,0.000399680255795364,0.00699440447641886,0.0302757793764988,0.000199840127897682,0,0,0,0.000199840127897682,0.00139888089528377,0,0,0.000899280575539568,0,0,0,0.026378896882494,0,0.000399680255795364,0,0,0,9.99200639488409e-05,0,0,0,0,0,0,0,0.00299760191846523,0,0,9.99200639488409e-05,0,0,0,0,0,0.0118904876099121,0,0,0.0223820943245404,0,0,0.00859312549960032,0.00189848121502798,0,0,0,0,0,0,0.0134892086330935,0.00229816147082334,0.0275779376498801,0,9.99200639488409e-05,0.00839328537170264,0,0.000599520383693046,0.000599520383693046,0,0,0,0,0,0.0065947242206235,0,0.000399680255795364,0.000899280575539568,0,0,0,0.00249800159872102,0,0.000599520383693046,0.00179856115107914,0,0.00959232613908873,0.00159872102318145,0.000299760191846523,0,0.00859312549960032,0.00699440447641886,0.00239808153477218,0,0,0.000699440447641887,9.99200639488409e-05,0,0,0,0.00299760191846523,0.00129896083133493,0.000899280575539568,0,9.99200639488409e-05,0,0,0,0,0,9.99200639488409e-05,0.118205435651479,0,0,0.0323741007194245,0,0,0,0,0,0.013189448441247,0.0101918465227818,0,0,0,0,0.0016986410871303,0,0.00299760191846523,0,0,0.000699440447641887,0
0,0,0.000500100020004001,0,0,0,0,0,0,0,0,0,0,0,0.000500100020004001,0,0.00400080016003201,0.0003000600120024,0,0,0,0.00610122024404881,0,0,0.0001000200040008,0.001000200040008,0,0,0.00530106021204241,0.0146029205841168,0.0666133226645329,0,0,0,0,0,0.00770154030806161,0,0,0,0,0,0,0,0,0.00520104020804161,0,0,0,0.0001000200040008,0,0,0,0,0,0,0,0.0003000600120024,0,0.00420084016803361,0,0,0.0002000400080016,0,0,0,0.00820164032806561,0.000600120024004801,0,0.00410082016403281,0,0,0,0,0,0,0,0,0,0.013502700540108,0,0.000500100020004001,0.0129025805161032,0,0,0.000400080016003201,0,0,0,0.00320064012802561,0,0.00510102020404081,0.0002000400080016,0,0,0.0003000600120024,0,0.0001000200040008,0.0028005601120224,0,0,0.0125025005001,0,0,0,0.000900180036007201,0,0.098619723944789,0,0.0327065413082617,0,0,0,0,0,0,0,0.0022004400880176,0.00250050010002,0,0,0,0.0001000200040008,0,0.0122024404880976,0.000800160032006401,0.188537707541508,0,0,0,0.0016003200640128,0.0102020404080816,0,0.0003000600120024,0.000500100020004001,0,0.0018003600720144,0,0,0,0.00320064012802561,0,0,0,0,0,0.00700140028005601,0,0,0.0001000200040008,0,0,0.000500100020004001,0,0.0002000400080016,0,0.001500300060012,0,0,0,0,0.0002000400080016,0,0,0,0,0,0,0,0,0.001500300060012,0.0001000200040008,0.0001000200040008,0.0003000600120024,0.0016003200640128,0,0,0,0.00560112022404481,0,0,0,0,0,0.0029005801160232,0,0.0001000200040008,0.0001000200040008,0,0.0018003600720144,0,0,0.0003000600120024,0,0.0369073814762953,0,0,0,0,0.0013002600520104,0,0,0,0.194538907781556,0,0.00710142028405681,0.0003000600120024,0,0,0.00700140028005601,0,0,0,0,0,0,0,0,0.0274054810962192,0,0,0.002000400080016,0,0,0,0,0,0.000800160032006401,0,0,0.0124024804960992,0,0.0002000400080016,0.02250450090018,0.00450090018003601,0,0,0,0,0.0209041808361672,0,0,0,0,0.000500100020004001,0.00770154030806161,0.0023004600920184,0.0016003200640128,0,0,0,0,0,0,0.0119023804760952,0.00330066013202641,0.00700140028005601,0,0,0,0.0002000400080016,0,0,0.000400080016003201,0,0,0,0,0,0.00770154030806161,0,0,0.00970194038807762,0,0,0,0,0.0001000200040008,0.0014002800560112,0.000500100020004001,0,0,0.0119023804760952,0,0.001000200040008,0.0016003200640128,0,0,0.019503900780156,0.00380076015203041,0,0,0,0,0.000700140028005601,0,0.000400080016003201,0,0,0.00770154030806161,0
0,0,0.000199920031987205,0,0,9.99600159936026e-05,0,0.00079968012794882,0,9.99600159936026e-05,0,0,0,0.00209916033586565,0.000599760095961615,0,0,9.99600159936026e-05,9.99600159936026e-05,0.000999600159936026,0.00309876049580168,0.00279888044782087,0,0,0,0.164834066373451,0,0,0.000999600159936026,0.000899640143942423,0.0147940823670532,0,0.00269892043182727,0.0114954018392643,0,0,0.000199920031987205,0.00129948020791683,0,0,0,0,0,0,0,0,0,9.99600159936026e-05,0,0,0,0,0,0,0.000499800079968013,9.99600159936026e-05,0,0,0,0.0279888044782087,0,0.00119952019192323,0,0.000199920031987205,0,0,0.00189924030387845,0,0,0,0.00209916033586565,9.99600159936026e-05,0.000199920031987205,0.00079968012794882,0,0,9.99600159936026e-05,0,0,0.0137944822071172,9.99600159936026e-05,0.000199920031987205,0,0,0.00179928028788485,0.000299880047980808,0.00749700119952019,0,0,0.000999600159936026,0.102259096361455,0.00039984006397441,0,0,0,0,0,0,0.00619752099160336,0,0,0,0,9.99600159936026e-05,9.99600159936026e-05,0.000299880047980808,0,0.0278888444622151,0,0,0,0,0,0.00209916033586565,9.99600159936026e-05,0,0,0,0.00299880047980808,0.000299880047980808,0,0,0,0,0.0344862055177929,0.0206917233106757,0,0,0.00109956017592963,0.000499800079968013,0.00239904038384646,0.0164934026389444,0,0,0,0.00109956017592963,0.0178928428628549,0,0,0,0.137844862055178,0,0,0,0.00599760095961615,0,0.00269892043182727,9.99600159936026e-05,9.99600159936026e-05,0,0.00139944022391044,0.00429828068772491,0,9.99600159936026e-05,0.000199920031987205,0,0,0,0.00449820071971212,0.00279888044782087,0,0,0,0.0435825669732107,0,0,0,0,0,0,0.000299880047980808,0,0,0,0,0,0,0.00079968012794882,0.00279888044782087,0.000199920031987205,0,0,0,0,0.00609756097560976,0,0,0,0,0,0,0.00499800079968013,0.00039984006397441,0.00139944022391044,0,0,0,9.99600159936026e-05,9.99600159936026e-05,0,0.00979608156737305,0,0,0.0152938824470212,0,0.00139944022391044,9.99600159936026e-05,0,0,0,0,0,0.0191923230707717,0.00079968012794882,0.00189924030387845,0,0.0215913634546182,0.00039984006397441,0.00119952019192323,0.00079968012794882,0,0.00199920031987205,0,0,0,0,0,0,0.00859656137544982,0.00039984006397441,0.00149940023990404,9.99600159936026e-05,0,0.0118952419032387,0,0,0.000199920031987205,0,0,0.00269892043182727,9.99600159936026e-05,0,0,0,0,0,0,0,0,0.00339864054378249,0,9.99600159936026e-05,0.00189924030387845,0,0.000599760095961615,0.00659736105557777,0.000999600159936026,0,0.000999600159936026,0.000199920031987205,9.99600159936026e-05,0,0.00039984006397441,0.0038984406237505,0,0,0,0,0,9.99600159936026e-05,0,0.000199920031987205,0.0152938824470212,0,0,0,0.00609756097560976,9.99600159936026e-05,0.00289884046381447,0.0876649340263894,9.99600159936026e-05,0,0.0079968012794882,0,0,0,0,0,0.0174930027988804,0,0,0,0.000499800079968013,0,0.00459816073570572,0,0.0076969212315074,0,0,0.00369852059176329,0
0,0,0,0,0,0,0,0,0,0,0,0,9.99500249875062e-05,0,0.0171914042978511,0,9.99500249875062e-05,0,0,0,0,0.000599700149925037,0,9.99500249875062e-05,0,0.446376811594203,0,0,0.00119940029985007,9.99500249875062e-05,9.99500249875062e-05,0,0,0.00229885057471264,0,0,0.00239880059970015,9.99500249875062e-05,0,0,0,0,0,0,0,0.0112943528235882,0,9.99500249875062e-05,0,0,0,0,0,0,0,0,0,0,0,0.000699650174912544,0,0,0,0.000199900049975012,0,0,0.00539730134932534,9.99500249875062e-05,0,0,0,0,0,0,0,0,0,0,0,0.000999500249875062,0,0.000499750124937531,0.000699650174912544,0,0,0.000199900049975012,0.000199900049975012,0,0,0.00119940029985007,0,0.00129935032483758,0,0,0,0,0,0,0.00249875062468766,0,0,0,0,0,9.99500249875062e-05,0,0,0.179710144927536,0,0,0,0,0,0.000999500249875062,9.99500249875062e-05,0,0,9.99500249875062e-05,0.00299850074962519,0,0,0,0,0.00189905047476262,0.0296851574212894,0,0,0,0,0,0,0.0144927536231884,0,0,0,0.000399800099950025,0.000899550224887556,0,0,0.000399800099950025,0.0031984007996002,0,0,0,0,0,0.000199900049975012,0,0,0,0.00079960019990005,0,0,0.000299850074962519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99500249875062e-05,0,0.000999500249875062,0,0,0,0,0,0.0047976011994003,9.99500249875062e-05,0,9.99500249875062e-05,0,0,9.99500249875062e-05,0,0,0,0,0,0.00179910044977511,0.00149925037481259,0.000199900049975012,0,0,0,0,0,0,0,0,0,0,0,0,0.000599700149925037,0,0,0.000499750124937531,0,0,0,0,0,0,9.99500249875062e-05,0,0,0.00149925037481259,0,0,9.99500249875062e-05,0,0,0,0,0,0,0.0015992003998001,0,9.99500249875062e-05,0,0,0.0274862568715642,0,0,0,0,0,0.000699650174912544,0,0,0,0,0.000699650174912544,0.00489755122438781,0,0,0,0,0,0,9.99500249875062e-05,0,0.000199900049975012,0.000199900049975012,0.00079960019990005,0,0,0.00109945027486257,0,0,0,9.99500249875062e-05,0,0,0,0,0,0.00529735132433783,0,0,0.0841579210394803,0,0,0,0.000199900049975012,0,0.000499750124937531,0.109945027486257,0,0,0.00539730134932534,0,0,0.00129935032483758,0,0,0.00229885057471264,0,0,0,0,0,0.000699650174912544,0.000499750124937531,0.000199900049975012,0,0,0.00669665167416292,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243024302430243,0,0,0.0006000600060006,0,0,0,0.0034003400340034,0,0.001000100010001,0,0.0375037503750375,0,0,0.0539053905390539,0,0.052005200520052,0,0,0.0035003500350035,0,0,0.0016001600160016,0.0002000200020002,0,0,0,0,0,0,0,0.0095009500950095,0,0,0,0,0,0,0,0,0,0,0.0001000100010001,0,0,0.0021002100210021,0,0,0,0,0,0,0,0.0007000700070007,0,0,0,0,0,0,0,0.0223022302230223,0,0,0,0.0044004400440044,0,0,0,0,0,0,0.0004000400040004,0,0.0001000100010001,0.0045004500450045,0,0,0.0216021602160216,0,0,0.0008000800080008,0,0,0,0,0,0.002000200020002,0,0,0,0,0,0,0,0,0,0,0,0.02000200020002,0,0,0,0.0011001100110011,0.0043004300430043,0,0,0.0085008500850085,0.0028002800280028,0,0.0077007700770077,0,0,0,0,0,0.0092009200920092,0.0087008700870087,0,0.0009000900090009,0,0,0.0047004700470047,0,0,0,0,0,0,0,0,0.003000300030003,0.0002000200020002,0,0,0.0002000200020002,0.0002000200020002,0,0,0,0,0,0,0,0,0,0,0,0,0.093009300930093,0,0,0,0.0004000400040004,0,0,0,0.0015001500150015,0,0,0,0,0,0,0.0012001200120012,0,0,0,0,0,0,0.001000100010001,0,0,0,0,0,0.0119011901190119,0.001000100010001,0,0,0,0,0,0,0,0,0,0,0,0.045004500450045,0.0003000300030003,0,0,0.0001000100010001,0.0031003100310031,0,0,0.0009000900090009,0,0.0008000800080008,0,0,0,0.0013001300130013,0,0,0,0,0,0,0,0,0,0.0018001800180018,0,0,0,0,0.0864086408640864,0,0,0,0.0033003300330033,0,0,0,0,0,0,0,0,0,0.0009000900090009,0,0,0.0001000100010001,0,0,0,0,0,0,0,0,0,0.0001000100010001,0,0,0.0013001300130013,0,0,0,0,0,0.0488048804880488,0,0,0.0351035103510351,0,0.0215021502150215,0,0,0,0,0.244124412441244,0,0,0.063006300630063,0,0,0,0,0.0002000200020002,0,0.0118011801180118,0,0,0,0,0,0,0,0,0,0.002000200020002,0
0.000599340725202278,0,0,0,0,0,0.000199780241734093,0.00349615423034662,0,0,0,0,0,0,9.98901208670463e-05,0,0.000299670362601139,0,0,0.00249725302167616,0.00419538507641594,0.00329637398861253,0,9.98901208670463e-05,0,0.151932873838777,0,0,0.000399560483468185,9.98901208670463e-05,0.00659274797722505,0,0.000199780241734093,0.00309659374687843,0,0,0.000699230846069324,0.0166816501847967,0,0,0,0,0,0.00918989111976825,0.000699230846069324,0.0273698931175707,0,0,0,0,0,0,0,0,0,0,9.98901208670463e-05,0,0,0.02806912396364,0,0,0,0,0,0,0,0,0,0.00729197882329438,0,0,0,0.00149835181300569,0,0,0,0,0,0,0,0,0.00459494555988413,0,0.00549395664768754,0,0.0152831884926581,0,9.98901208670463e-05,0.00699230846069324,0,0.000199780241734093,0.000199780241734093,0.00489461592248527,0,9.98901208670463e-05,0,9.98901208670463e-05,0.00609329737288982,9.98901208670463e-05,0,0,0,0,0,0,0.0079912096693637,0.00109879132953751,0,0,0.00679252821895915,0,0,0.0809109979023075,0.0027969233842773,0,0,0,0.000199780241734093,0,0.0102886824493058,0,0.00829088003196484,9.98901208670463e-05,0.0025971431425432,0,0,0,0,0,0.00869044051543302,0.0183797822395365,0,0,0,0,9.98901208670463e-05,0.00119868145040456,0.00189791229647388,0,0.0012985715712716,0.00189791229647388,0,0,0,0,0,0,0.00249725302167616,0.000899011087803416,0.000599340725202278,0.000499450604335231,0.000299670362601139,0,0,0,0,0,0,0.00619318749375687,0,0,0,0.00759164918589551,0,0,0.000599340725202278,0,0,0,0,0,0,0,0.0203775846568774,0,0,0.000699230846069324,0,0,0,0.092897812406353,0,9.98901208670463e-05,0,0,0,0.000199780241734093,0,0,0,0.0197782439316752,0,9.98901208670463e-05,0,0.00319648386774548,0,0.00869044051543302,0,0,0,0,0,0,0,0.00119868145040456,0,0,0,9.98901208670463e-05,0,0,0,9.98901208670463e-05,0,0,0.00219758265907502,0,0.00489461592248527,0,0.000299670362601139,0.00159824193387274,0,0,0,0.00109879132953751,0,0,0.0220757167116172,0,0.00659274797722505,0.000199780241734093,0.000399560483468185,0.0123863749875137,0,0,0,0,0,0,0,0,9.98901208670463e-05,0,0,0,0,0,0,0.0249725302167616,0.000499450604335231,0,0.000399560483468185,9.98901208670463e-05,0,0,0,0,0,0.00509439616421936,0,0,0,0.00189791229647388,0,0,0,0,0,9.98901208670463e-05,0,0.0038957147138148,0.0130856058335831,0,0,0,0,0,9.98901208670463e-05,0.227050244730796,9.98901208670463e-05,0,0.0192787933273399,0,0,0,0,0,0,0,0,0,0,0,0.00489461592248527,0,0.00859055039456598,0,0,0.00189791229647388,0.00219758265907502
0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0.0264,0,0.0019,0,0,0,0,0,0,0.0014,0,0,0,0,9e-04,0,0,0,0,0.0054,0,0,3e-04,0.0206,0,0,0,0,0,0,0,0.0186,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0.0124,0,0,0,0,0.001,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,0,0,0,0.0042,0,0.0112,5e-04,0,0,0,0,0,0.0015,0,0,0.0137,0,0,0,0,0,0,0,0.0051,0,0,0,0,0,3e-04,0,0.0013,0.0015,0,0,0,0,2e-04,0.0066,0,0,0,0,0,0,0,0,1e-04,0,0,0.0027,1e-04,1e-04,0,0.006,0,0,5e-04,0,0,0,0,0,2e-04,0,0,0,0,3e-04,0,0,0.0031,0,0.0033,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0.0011,0.0023,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404,0,0,3e-04,3e-04,0,0,0,0,0,1e-04,0,0,0.079,0,0.002,1e-04,0,0,0,0,0,0,0,0,0,0,0,0.0409,0,0,0,0,0,0.0036,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,9e-04,0,0,0,0,1e-04,0,0,5e-04,0,0,0,0.0064,0,0.5617,0,0,0.0371,0,0,0,0,0,0,0.0242,0,0,0.0048,0,0,0,0,8e-04,0,0,0,0,0,0,0,0,0.0118,0,0,0.0095,0
0,0,0,0,0,0,0,9.97804829375374e-05,0,9.97804829375374e-05,9.97804829375374e-05,9.97804829375374e-05,0,9.97804829375374e-05,0.0879066054679705,0,0,9.97804829375374e-05,0,0,9.97804829375374e-05,9.97804829375374e-05,0,0.000199560965875075,9.97804829375374e-05,0.0165635601676312,0.000199560965875075,0,0.00359209738575135,0,9.97804829375374e-05,0,0,0.00189582917581321,0,0.00109758531231291,9.97804829375374e-05,0.000299341448812612,0,0,0.000199560965875075,0,9.97804829375374e-05,9.97804829375374e-05,0,0.00039912193175015,0,0.000299341448812612,0,0,0,0,0,0,0,0,0,0,0,9.97804829375374e-05,0,0.00039912193175015,0,0,9.97804829375374e-05,0,0.00409099980043903,0,0,0,0.000199560965875075,0,0,0.000598682897625224,0,0,0,0,9.97804829375374e-05,0.00269407303931351,0,9.97804829375374e-05,0,9.97804829375374e-05,9.97804829375374e-05,0,0.000199560965875075,0,0,0.000898024346437837,0.000199560965875075,0.000698463380562762,0,0,0,0,0,0,0.000299341448812612,0,0,0,0,0.00149670724406306,9.97804829375374e-05,0,9.97804829375374e-05,0.0167631211335063,0,0.00249451207343844,0,0,0,9.97804829375374e-05,0.00289363400518859,0,0,0,0.000498902414687687,0.000498902414687687,0.00139692676112552,9.97804829375374e-05,0,0,0.000299341448812612,0,0,0,0,9.97804829375374e-05,9.97804829375374e-05,0.000199560965875075,0.0112751945719417,0,0.00449012173218918,9.97804829375374e-05,0.00868090201556576,0,0,0,0.000798243863500299,0.00199560965875075,0,0,0.00039912193175015,0,9.97804829375374e-05,9.97804829375374e-05,0,0,9.97804829375374e-05,0,0,0,0,0,0,0,0.000199560965875075,9.97804829375374e-05,0,0.00039912193175015,0.00109758531231291,9.97804829375374e-05,0,0,0,0,0,0,9.97804829375374e-05,9.97804829375374e-05,0,0.0175613649970066,0.000299341448812612,0,0,0,9.97804829375374e-05,0.00119736579525045,0,0.0575733386549591,0,0,0,0,0,0,9.97804829375374e-05,9.97804829375374e-05,0,9.97804829375374e-05,0.0166633406505688,0,0,0.00528836559568948,0,0,0,0,9.97804829375374e-05,0,0,0.0937936539612852,0.018559169826382,0.000898024346437837,0,0,0,0,0,0,0.00039912193175015,0,0.000199560965875075,0.00588704849331471,0.00109758531231291,9.97804829375374e-05,9.97804829375374e-05,0,0,9.97804829375374e-05,0,0.0525843145080822,0,0,0,0,0.000498902414687687,9.97804829375374e-05,9.97804829375374e-05,0,0,0.0903013370584714,0,0,0,0.0149670724406306,0,0,0.000199560965875075,0.00039912193175015,0,0,0,0,0,0.0015964877270006,0.000199560965875075,0.0154659748553183,0.00109758531231291,9.97804829375374e-05,9.97804829375374e-05,0,0.000199560965875075,0.000299341448812612,0.00119736579525045,0,9.97804829375374e-05,9.97804829375374e-05,9.97804829375374e-05,0,0,9.97804829375374e-05,0,0,0,0.0039912193175015,0.000199560965875075,0.359509080023947,0,9.97804829375374e-05,0.0063859509080024,0,0,0,0,9.97804829375374e-05,0.000199560965875075,0.041408900419078,9.97804829375374e-05,0,0.00039912193175015,0,0,0,0,0,9.97804829375374e-05,0.000598682897625224,0,0,9.97804829375374e-05,0,0.00129714627818799,0.000898024346437837,0,0.00119736579525045,0,0.00129714627818799,0
