"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
0,0,0,0,0,0,0.000199880071956826,0.00259844093543874,0,0,0,0,9.9940035978413e-05,0,9.9940035978413e-05,0,0,0.000599640215870478,0,0,0.0112932240655607,0,0,9.9940035978413e-05,0.000199880071956826,0,0,0,0.000299820107935239,0.000399760143913652,0,0,0,0.004597241655007,0,0,0.00329802118728763,0,0,9.9940035978413e-05,0.000399760143913652,0,0,0,0,0.0443733759744154,0,0,0,9.9940035978413e-05,0.000499700179892065,0.000299820107935239,0,0,0,0,0,0.000199880071956826,0,0.0270837497501499,0,0.00519688187087747,0,0,0,0,0.00239856086348191,0.000699580251848891,0,0,0,0,0,0,0,0,0,0,0,0.0693583849690186,0,0,0.0363781730961423,0,0,9.9940035978413e-05,9.9940035978413e-05,9.9940035978413e-05,0,0.0199880071956826,0,0,0.000199880071956826,0,0,0.000299820107935239,9.9940035978413e-05,0,0.00679592244653208,0.000199880071956826,0,9.9940035978413e-05,0,0,0.000299820107935239,0,0,0.061962822306616,0,0.00409754147511493,0,0,9.9940035978413e-05,0.0262842294623226,0,9.9940035978413e-05,0,0,0.00499700179892065,0,0,0,0,9.9940035978413e-05,0.00919448331001399,0.00959424345392764,0,0,0.000199880071956826,0,0,0.0383769738157106,0,9.9940035978413e-05,0,0,9.9940035978413e-05,0,0,0,0.000699580251848891,0,0,0,0,0,0,0,0,0,0.00279832100739556,0,0,0,9.9940035978413e-05,0,0,0,0.000399760143913652,0.0112932240655607,0,0,0,0,0,0,0,0.000599640215870478,0,0,0,0,0.000199880071956826,0,0,0,0,0,0.00639616230261843,0,0,0,0,0,0,0,0,0,0,0,0,0.0347791325204877,9.9940035978413e-05,0.00179892064761143,0,0,0,0,0,0,0,0,0,0,0,0.000599640215870478,0,9.9940035978413e-05,0.000199880071956826,9.9940035978413e-05,0,0,0,0,0,0,0,0,0.0112932240655607,0,0,0.00479712172696382,0,0,0,0,0,0,0.0369778133120128,0,0,0,0,0.00489706176294223,0,0,0,0,0.000299820107935239,0.000199880071956826,0,0,0,0,9.9940035978413e-05,0,0,0,0.000299820107935239,0,0.0167899260443734,0,0,9.9940035978413e-05,0.0022986208275035,9.9940035978413e-05,9.9940035978413e-05,0,0.00299820107935239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105936438137118,0,9.9940035978413e-05,0,0,0,9.9940035978413e-05,0.408454927043774,0,0,0.0371776933839696,0.000199880071956826,0,9.9940035978413e-05,0,9.9940035978413e-05,0.00279832100739556,0,0,0,0,0,0,0,0.000499700179892065,0,0,0.00409754147511493,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00160064025610244,0,0,0,0,0,0,0,0,0.00120048019207683,0,0.33343337334934,0,0,0.00200080032012805,0.00150060024009604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100040016006403,0.000100040016006403,0,0,0,0,0,0,0,0,0,0.000100040016006403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335134053621449,0,0.000700280112044818,0,0,0.00430172068827531,0.00100040016006403,0,0,0.00140056022408964,0,0.000200080032012805,0,0,0,0.00600240096038415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000800320128051221,0,0,0,0.000100040016006403,0,0,0,0,0,0,0,0,0,0.000200080032012805,0,0,0.00150060024009604,0,0,0,0,0,0,0,0,0.00430172068827531,0,0,0,0.000100040016006403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100040016006403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00300120048019208,0,0,0,0,0,0.00350140056022409,0.000100040016006403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00260104041616647,0,0.000300120048019208,0.000800320128051221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00460184073629452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000500200080032013,0,0,0.19437775110044,0,0.00160064025610244,0,0,0,0,0.290016006402561,0,0.103941576630652,0,0,0,0,0,0.000100040016006403,0,0,0,0,0,0,0,0,0.000300120048019208,0,0,0,0
0,0,0.00589764094362255,0,0,0,9.99600159936026e-05,0,0,0,0,0,0,0.00159936025589764,0.00439824070371851,0,0,0,0.0120951619352259,0,0,0,0,0,0,9.99600159936026e-05,0,0,0,0,0.00879648140743703,0,0,0,0,0,0.000299880047980808,0.00189924030387845,0,0,0.000499800079968013,0.0179928028788485,0.00259896041583367,0.0037984806077569,0,0.0455817672930828,9.99600159936026e-05,0,0,0,0,0.0257896841263495,0,0,0.0198920431827269,9.99600159936026e-05,0,0.00439824070371851,0.0492802878848461,0,0.00699720111955218,0.00699720111955218,0,0,9.99600159936026e-05,0,0.0078968412634946,0,0,0.00429828068772491,0.0179928028788485,0,0,0,0,0,0,0.000199920031987205,0,0,0,0.00489804078368653,0,0,0.00449820071971212,0,0.00159936025589764,0,0,0.00079968012794882,0,0.0500799680127949,9.99600159936026e-05,0,0,0,0,0,0,0,0,0,0,0,0.0189924030387845,0.00169932027189124,9.99600159936026e-05,0.000499800079968013,0,0,0.0187924830067973,0,0,9.99600159936026e-05,0,0,0,0,0.000699720111955218,0,0,0,0.000199920031987205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00329868052778888,0,0,0,0,0,0,0,0.0693722510995602,0.0542782886845262,0,0,0,0,0.00129948020791683,0.00439824070371851,0.00309876049580168,0,0,0,0,0,0,0.015593762495002,9.99600159936026e-05,0.00039984006397441,0,0,0,0,0,0,9.99600159936026e-05,0,0,0,0,0,0,0,0,0.0186925229908037,0.039984006397441,0,0,0,0,0,0,0,9.99600159936026e-05,0,0,0.000299880047980808,0,0.00899640143942423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00989604158336665,0,0,0.000199920031987205,0,0,0,0,0,0.000899640143942423,0,0.00999600159936026,0.0369852059176329,9.99600159936026e-05,0.000899640143942423,0.00979608156737305,0,0,0,0,9.99600159936026e-05,0,0,0.00639744102359056,0,0.0154938024790084,0,0,0.0290883646541383,0,0,0,0,0,0,0,0,0,0,0,0.00499800079968013,0,0,0,0,0,0.000199920031987205,0.00159936025589764,0,0.0107956817273091,0,0.00149940023990404,0,0,0.0294882047181128,0,0,0,0,9.99600159936026e-05,0,0,0,0,0.00139944022391044,0,0.00179928028788485,0.00459816073570572,0,9.99600159936026e-05,0,0,0.000899640143942423,0.00039984006397441,0.188224710115954,0,0,0.0328868452618952,0,0,0,0,0,0.00119952019192323,0,0,0,0,0,0.00169932027189124,0,0.00659736105557777,0,0,0.0188924430227909,0
0,0,0,0,0,0,0,0.000999700089973008,9.99700089973008e-05,0,0,0,0,0,0.00149955013495951,0.000199940017994602,0.00389883035089473,0,0,0.00209937018894332,0,0.00539838048585424,0,9.99700089973008e-05,0.00109967009897031,0.133459962011397,0,0,0.000999700089973008,0.00329901029691093,0.00569829051284615,0,0.000199940017994602,0.00469859042287314,0,0,0.000499850044986504,0.00639808057582725,0,0,0,0,0,0,0,0.0150954713585924,0.00559832050384884,0,0,0,0.000199940017994602,0.000799760071978406,0,0,0,0,0,0,0,0.00569829051284615,0,0,0,0,0,0,0.0262921123662901,0.000399880035989203,0,0,0.00439868039588124,0,0,0,0,0,0,0,0,0.00629811056682995,0,0,0,0,0,0.00289913026092172,0,9.99700089973008e-05,0,0.00429871038688393,0.0402879136259122,0.000499850044986504,0,0,0,0,0,0,0.00399880035989203,0,0,0.00239928021593522,0,0,0,0,0.00879736079176247,0,0,0,0.000299910026991902,0.000199940017994602,0,0.0211936419074278,0,0,0,9.99700089973008e-05,0.00859742077376787,0,0,0,0,0,0.0243926821953414,0,0,0,0,0.00259922023392982,0.00539838048585424,0.0248925322403279,0.00589823053084075,0,0,0,0.00169949015295411,0,0,0,0.00499850044986504,0,0,0,0,0,0.000899730080975707,0,0,0,0.00129961011696491,0,0,0.000699790062981106,0,0,0,0,0.000299910026991902,0.00269919024292712,0,0,0,0,0,0,0,9.99700089973008e-05,0,0,0,0,0,0,0,0,0,0.0176946915925222,0.00109967009897031,9.99700089973008e-05,0,0,0,0,0.000899730080975707,9.99700089973008e-05,0,0,0,0,0,0.00799760071978406,9.99700089973008e-05,0,0,0,0.000399880035989203,0,0,0,0,0,0,0,0,0.00249925022493252,9.99700089973008e-05,0,9.99700089973008e-05,0.000399880035989203,0,0,0,0,0,0,0.0263920823752874,0,0,0,0.00379886034189743,0,0,0.0118964310706788,0,0,0,0,0.0125962211336599,0.000299910026991902,0.0107967609717085,0,0,0.0516844946516045,0,0,0,0,0,0,0,0,0.00429871038688393,0,0.000599820053983805,0,0,9.99700089973008e-05,0,0,0,0.000299910026991902,0,0,0.000699790062981106,0.00579826052184345,0.00259922023392982,0,0,0.00109967009897031,0.000299910026991902,0,0,0,0,0,0,0.00429871038688393,0.000299910026991902,9.99700089973008e-05,0.00949715085474358,0.0100969709087274,0.170548835349395,0,9.99700089973008e-05,0,0,0,9.99700089973008e-05,0.187743676896931,0,0,0.0259922023392982,0,0,9.99700089973008e-05,0,0.00319904028791363,0.000699790062981106,0.00169949015295411,0,0,0,0,0.00609817054883535,0,0.00359892032390283,0.00119964010796761,0,0.00489853044086774,0
0.00359892032390283,0,0,0.000899730080975707,0,0,0,0,0,0,0.000599820053983805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362691192642207,0,0,0,0,0.0236928921323603,0,0,0.00439868039588124,0,0,0.000299910026991902,0.00899730080975707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159952014395681,0,0.00159952014395681,0,0,0,0,0,0,0,0.000799760071978406,0,0,0.00459862041387584,0,0,0.0125962211336599,0,0,0,0,0,0.00579826052184345,0,9.99700089973008e-05,0,0,0,0,0,0,9.99700089973008e-05,0.00219934019794062,0.0222933120063981,0.0176946915925222,9.99700089973008e-05,0,0,0,0,0,0.00429871038688393,0,0,0,0,0,0.000199940017994602,0,0.0115965210436869,0.00119964010796761,0.00459862041387584,0.000499850044986504,0,0,0,0,0,0,0,9.99700089973008e-05,0,0.000499850044986504,0,0,0.000299910026991902,0.00169949015295411,0.00789763071078676,0,0,0,0,0.0117964610616815,0,0,0,0,0,0.00139958012596221,0.00439868039588124,0,0,0,0.0129961011696491,0,0,0,0.000399880035989203,0,0.00229931020693792,0,0,0,0,0,0,0.00179946016195141,0,0,0,0,9.99700089973008e-05,0,0,0,0,0.0258922323303009,0,0,0,0,0,0,0,9.99700089973008e-05,0,0.000299910026991902,0,0,0,0,0.0134959512146356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000299910026991902,0,0,0,0,0,0,0,0,0,0,0.0234929521143657,0,0,0,0,0,0,0,0,0,0,0.0199940017994602,0,0,0,0,0,0,0.000199940017994602,0.000899730080975707,0,0,0,0,0.000499850044986504,0.0296910926721983,0,0,0.0465860241927422,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99700089973008e-05,0,0,0,0,0,0,0.00429871038688393,0,0,0,0,0,0,0,0,0,0,0,0.00259922023392982,0,0.000199940017994602,0.000399880035989203,0,0,0.0436868939318205,0,0.00409877036888933,0.000199940017994602,0,0.000299910026991902,0.00149955013495951,0.193142057382785,0,0,0.0251924422673198,0,0,0,0,0,0.000699790062981106,0,0.00819754073777867,0,0,0,0.00969709087273818,0.000999700089973008,0.000499850044986504,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000199880071956826,0,0,0,0,0,0,0,0,0.0022986208275035,0,0.0132920247851289,0,0,0,0.106236258245053,0,0,0.00199880071956826,0,0.0127923246052369,0,0.000299820107935239,0,0,0,0,0.0663601838896662,0,0,0,0,0,0,0,0.0186887867279632,0,0,0,0,0,0,0,0,0,0.000799520287827304,0,0,0,0.0306815910453728,0,0,0,0.000199880071956826,0,0,0.00449730161902858,0,0,0,0,0,0,0,0,0,0,0,0,0.00399760143913652,0,0,0.0319808115130921,0,0,0,0.000199880071956826,0,0,0.00479712172696382,0,0.00369778133120128,0,0,0,0,0,0,0.00269838097141715,0,0,0,0,0,0,0,0,0.0316809914051569,0,0.00319808115130921,0,0,0,0,0.000299820107935239,9.9940035978413e-05,0,0,0,0,0,0,0,0,0.0176893863681791,0,0,0,0.000899460323805717,0,0,0.0377773335998401,0,9.9940035978413e-05,0,0,0,0,0,9.9940035978413e-05,9.9940035978413e-05,0,0,0,0,0,0.00139916050369778,0,0,0,0.00439736158305017,0.00249850089946032,0,0.000599640215870478,0,0,0,0,0,0.0174895062962223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149910053967619,0.00159904057565461,0,0,0,0,0.00369778133120128,0,0,0,0,0,0,0.0507695382770338,9.9940035978413e-05,0,0,0,0,0,0,0.0352788327003798,0,0,0,0,0,0.00149910053967619,0.00159904057565461,0,0,0,0,0,0,0,0,0,0,0,0.0224865080951429,0,0,0,0,0,0,0,0,0,0.000899460323805717,0,0.0215870477713372,0,0,0.0582650409754148,0,0,0.000199880071956826,0.000199880071956826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9940035978413e-05,0,0,0,0,0.000499700179892065,0.00529682190685589,0,0,0,0.000399760143913652,0,0,0,0,0,0,0,0.00839496302218669,0,0,9.9940035978413e-05,0,0,0,0,0.345992404557266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9940035978413e-05,0,0,0.0153907655406756,0
0,0,0.00389143883456396,0,0,0,9.97804829375374e-05,0.000598682897625224,0,0,0,0,0,0.00279385352225105,0.00189582917581321,0,9.97804829375374e-05,0,0.00359209738575135,0.0277389742566354,0,9.97804829375374e-05,0,0,0,0.00329275593693873,0,0.00468968269806426,9.97804829375374e-05,0,0,0,0,0.00937936539612852,9.97804829375374e-05,9.97804829375374e-05,0,9.97804829375374e-05,0,0.00728397525444023,0,0,0.00179604869287567,0,0,0.00229495110756336,9.97804829375374e-05,0,0,0,0,0.0115745360207543,0,0,0.00279385352225105,0,0,0,0.0403113151067651,0.00498902414687687,0.00209539014168829,0.00119736579525045,9.97804829375374e-05,0.00179604869287567,9.97804829375374e-05,0,0,0,0,9.97804829375374e-05,9.97804829375374e-05,0.00608660945918978,0,0,0,0,0,0,0,0,0,0.000299341448812612,0.000997804829375374,0,9.97804829375374e-05,0,0,0,0,0,0,0,0.0596687287966474,0,0.0039912193175015,0,0,0.0055877070445021,0,0,0,0,9.97804829375374e-05,9.97804829375374e-05,0.0023947315905009,0.00259429255637597,0.00109758531231291,0.000898024346437837,0,0,0.00129714627818799,0.000598682897625224,0,0,9.97804829375374e-05,0,0.000997804829375374,0,9.97804829375374e-05,0,0,0,0,0.00139692676112552,0,0,9.97804829375374e-05,0.000199560965875075,0.000498902414687687,0,9.97804829375374e-05,9.97804829375374e-05,0,0,0,0,0.0145679505088805,0,0.00279385352225105,0.00039912193175015,9.97804829375374e-05,9.97804829375374e-05,0,0,0.000598682897625224,0.0406106565555777,0,0,0.00119736579525045,0,0,0,0,9.97804829375374e-05,0,0,0,0,0.000798243863500299,9.97804829375374e-05,0,0,0,0.0258431450808222,0.00439034124925165,0,0,0,0,0,0.00039912193175015,0,0,0,0,0,0,0,0.00229495110756336,0,0,0,0,0,9.97804829375374e-05,0,0,0,0,0,0,9.97804829375374e-05,0,0,9.97804829375374e-05,0,0,0,0,0.000199560965875075,9.97804829375374e-05,0,0,0,0,0.000299341448812612,0,0,0,0,0,0,0,0,0,0,0.00109758531231291,0.000598682897625224,0,9.97804829375374e-05,9.97804829375374e-05,0,0,0,0,0.000299341448812612,0.00109758531231291,0,0.000199560965875075,9.97804829375374e-05,0.00468968269806426,0,0,0.0113749750548793,0,0,0,0,0,9.97804829375374e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97804829375374e-05,0.00139692676112552,0,0,9.97804829375374e-05,0.000299341448812612,0,9.97804829375374e-05,0,0.000199560965875075,0,0.597285970864099,0,0.0023947315905009,9.97804829375374e-05,0,9.97804829375374e-05,0,0,0,9.97804829375374e-05,0.051985631610457,0,0,0.000498902414687687,0,0.000997804829375374,0,0,0.00219517062462582,0.00179604869287567,0,0.000299341448812612,9.97804829375374e-05,0,0,9.97804829375374e-05,0,0.000199560965875075,0,0,9.97804829375374e-05,0
0,0.0001999800019998,0.0042995700429957,0,0,0,0,0,0,0,0,0,0,0,0.0016998300169983,0,0,0,0,0,0,0,0,0,0,9.99900009999e-05,0,0,0,0,0.0005999400059994,0,0.0051994800519948,0,0,0,0,0,0,0,0,0,0.0046995300469953,0,0,0.180681931806819,0,0.0041995800419958,0,9.99900009999e-05,0,0.0056994300569943,0.0085991400859914,0,0.0106989301069893,0,0,0,0.0897910208979102,0,0.0076992300769923,0,0,0.0094990500949905,0,0,0,0,0,0,0.0004999500049995,0,0,0,0,0,0,0.0001999800019998,0,0.0074992500749925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093990600939906,0,9.99900009999e-05,0,0,0,0,0,0,0,0.0091990800919908,0,0,0.285271472852715,0,0,0.0124987501249875,0.0606939306069393,0,9.99900009999e-05,0,0,0,0,0.0010998900109989,0,0,0,0,0,0,0,0,0,0.0016998300169983,0,0.0050994900509949,0,0,0,0,0,0,0,0.0042995700429957,0.0003999600039996,0,9.99900009999e-05,0,0,0,0.0303969603039696,0,0,0,0,0.0015998400159984,0.0015998400159984,9.99900009999e-05,0,0,0,0,0,0,0.0018998100189981,0,0,0,0,0,0,0,0,0.0003999600039996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028997100289971,0,0,0,0,0.0002999700029997,0,0,0.011998800119988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99900009999e-05,0,0,0,0,0,0,0,0,0.0024997500249975,0,0,0,0,0.0020997900209979,0,0,0,0,0,0,0.0111988801119888,0,0,0,0,0.0012998700129987,0.001999800019998,0,0,0,0,0,0,0,0.0164983501649835,0,0,9.99900009999e-05,0,0,0,0,0,0,0,0,0,0,0.0016998300169983,0,0,0.0248975102489751,0.0002999700029997,0,0,0,0.001999800019998,0,0,0,0,0.0073992600739926,0,0,0.0195980401959804,0,0,0,0,0,0,0.0995900409959004,0,0,0.0241975802419758,0,0,9.99900009999e-05,0,0,0,0,0,0,0,0,0,0,0.0002999700029997,0,0,0.000999900009999,0
0,0,0,0,0,0,0,0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0.000499900019996001,0,0.0031993601279744,0,0.00449910017996401,0,0,0.021495700859828,0,0,0,0,0.0265946810637872,0.0010997800439912,0,0.00449910017996401,0.0931813637272546,0,0,0,0,0,0,0,0.001499700059988,0,0,0,0,0,0,0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776,9.99800039992002e-05,0.0135972805438912,0,0,0.0267946410717856,0,0.0152969406118776,0,0,0,0,0,0,0,0,0.0002999400119976,0,0,0,0,0,0,0.0126974605078984,0,0,0,0,0,0,0,0,0,0,0.0196960607878424,0,0,0,0,0,0.0197960407918416,0.00919816036792642,0,0,0,0,0,0,0.0001999600079984,0,0,0,0.0416916616676665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010997800439912,0,0,0,0.0002999400119976,0,0,0,0.000999800039992002,0.0150969806038792,0,0,0,0,0,0,0,0,0,0,0,0,0.0153969206158768,0,0,0,0,0,0.000999800039992002,0,0,0,0,0,0,0,0,0,0,0,0,0.00789842031593681,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872,0,0,0,0,0,0.0027994401119776,0,0,0.0002999400119976,0,0.000699860027994401,0,0,0,0.0992801439712058,0,0,0,0,0,0,0,0,0,0.00679864027194561,0.000999800039992002,0.0292941411717656,0,0,0.0947810437912417,0,0,0,0,0.0002999400119976,0.0002999400119976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001999600079984,0,0,0,0,0,0,0,0.0002999400119976,0,0,0,0,0,0.0145970805838832,0,0.00869826034793041,0.0302939412117576,0,0,0,0,0,0,0.279244151169766,0,0,0.0521895620875825,0,0,0,0,0,0,0.0010997800439912,0,0,0,0,0,0,9.99800039992002e-05,0,0,0.0152969406118776,0
0,0,0,0,0,0,9.99700089973008e-05,0,0,0,0,0,0.000199940017994602,0,0.00819754073777867,0,0,0.000199940017994602,9.99700089973008e-05,0,0.00229931020693792,0.00429871038688393,0,0,0,0.105368389483155,0,0,0.00829751074677597,0,0,0,0,0.00939718084574628,0,0,0,0.000299910026991902,0,0,0,0,0,0.00379886034189743,0,0,0,0,0,0,0,0,0,0,0,0,9.99700089973008e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289913026092172,0,0,0,0,0,0.00289913026092172,0.0135959212236329,0,0,0.0121963410976707,0,0.000599820053983805,0.000399880035989203,0,0,0,0,0,0,0,0,0.00189943017094872,0,0,0,0,0,0.0618814355693292,0,0,0,0.00209937018894332,0,0.00629811056682995,0,0.000299910026991902,0,0.000199940017994602,0.00709787063880836,0,9.99700089973008e-05,0,0,0,0.060481855443367,0,0,0,0,0,0.00249925022493252,0.1444566630011,0,0,0,0,0.00499850044986504,0,0,0,0.00379886034189743,0,0,0,0,0,0,0,0,0,0.000399880035989203,0,0,0,9.99700089973008e-05,0,0.00149955013495951,9.99700089973008e-05,0,0.000699790062981106,0,0,0,0,0,0,0,0.000399880035989203,0,0,0,0,0.00359892032390283,0,0,0,0,0.000999700089973008,0,0,0,0,0,0,0,9.99700089973008e-05,0,0,0,0,0,0.00529841047685694,0.000199940017994602,0,0,0,0,0,0,0,0,0,0,0,0,0.00249925022493252,0,0,0.000799760071978406,0.00149955013495951,0,0,0,0,9.99700089973008e-05,0,0,0,0.023592922123363,0,0.00329901029691093,0,0,0,9.99700089973008e-05,0,0,0,0,0,0.00599820053983805,0,0,0.0307907627711686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199940017994602,0.00289913026092172,0,0.00109967009897031,0.00119964010796761,0,0,9.99700089973008e-05,0.000799760071978406,0.000399880035989203,0,0,0,0,0,0,0,0,0,0,0,0.0510846745976207,9.99700089973008e-05,0,0,0.000999700089973008,0,0.000499850044986504,0.383784864540638,0,0,0,0,0,0,0,0,0,0.00119964010796761,0,0,0,0,0,0,0.000899730080975707,0,0,0.00129961011696491,0
