"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129948020791683,0,0.00889644142343063,0.00579768092762895,0,0,0,0.00249900039984006,0,0,0,0,0,0,0.190823670531787,0,0,0,0,0.00599760095961615,9.99600159936026e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00329868052778888,0.218612554978009,0,0,0,0,0.00209916033586565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99600159936026e-05,0,0,0.0105957616953219,0,9.99600159936026e-05,0,0,0.00169932027189124,0,0,0.0216913234706118,0,0,0.0038984406237505,0,0,0,0,0,0,0,0,0,0,0.00489804078368653,0,0.0163934426229508,0,9.99600159936026e-05,0,0,0,0,0,0.0572770891643343,0.0744702119152339,0,0,0,0,0,0,0.00529788084766094,0.00449820071971212,0,0.00759696121551379,0,0.00129948020791683,0,0,0,0,0.00989604158336665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000899640143942423,0,0,0,0,0.000199920031987205,0,0,0,0,0,0,0,0,0,0,0,0.00229908036785286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00849660135945622,0,0,0,0,0.0132946821271491,0.000299880047980808,0,0,9.99600159936026e-05,0,0,0,0,0,0,0,0,0.0942622950819672,0.0039984006397441,0,0,0.00319872051179528,0,0.00549780087964814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00759696121551379,0,0,0,0,0.00259896041583367,0,0,0,0,0,0.0076969212315074,0,0,0,0,0.00119952019192323,0,0,0,0,0,0.00819672131147541,0,0,0,0,0.00249900039984006,0.0078968412634946,0,0,0,0,0,0,0,0,0,0,0,0,0.0275889644142343,0,0,0.0778688524590164,0,0,0,0,0,0,0.00949620151939224,0,0,0.0241903238704518,0,0,0.00429828068772491,0,0,0,0,0,0,0,0,0.00149940023990404,0,0,0,0,0.0138944422231108,0
0,0,0,0,0,0,0.00179874088138303,0.00239832117517738,0,0,9.9930048965724e-05,0,0.000299790146897172,0,0.00139902068552014,0,0,9.9930048965724e-05,0,0,0.000599580293794344,0.00349755171380034,0,9.9930048965724e-05,0,0.0802438293194764,0,0,0.000399720195862896,0,0,0,0,0.00379734186069751,0,0,0,0,0,0,0,0,0,0.0131907664634756,0,0.0128909763165784,0,0.000199860097931448,0,0,0,0,0,0,0.00479664235035475,0,0,0,0,0.00469671230138903,0,0.00559608274208054,0,0,0,0,0.0379734186069751,0,0,0,0.00389727190966324,0,0,0,0,0,0,0,0,0.00169881083241731,0,9.9930048965724e-05,0.0117917457779554,0,0,0.00049965024482862,0.0150894373938243,0,0,0.00389727190966324,0,0.000299790146897172,0.0045967822524233,0,0,9.9930048965724e-05,0,0,0.0124912561207155,0,0,0,0,0.00259818127310882,0.000199860097931448,0,0,0.138303187768562,0,0.00189867093034876,0,0,0,0.00569601279104627,0.00149895073448586,9.9930048965724e-05,0,9.9930048965724e-05,0.000799440391725792,0,0,0,0,0.00679524332966923,0.0174877585690017,0.00559608274208054,0,0,0.000699510342760068,0,0,0.0283801339062656,0,9.9930048965724e-05,0,0,0.00099930048965724,0,0,0,0.0501648845807934,0,0,0,0,0,0.0020985310282802,0,0,0.00469671230138903,0.000399720195862896,9.9930048965724e-05,0,0,0,0,0,0,0,0.00899370440691516,0,0,0,0,0,0,0,0,0,0,0,0,0.00049965024482862,0,0,0,0,0,0.00429699210552613,0,0.00699510342760068,0,0,0,0.000199860097931448,0,0,0,0,0,0,0.00729489357449785,0.000199860097931448,0,0,0,0,0,0,0,0,0,0.000199860097931448,0.00389727190966324,0.0266813230738483,0.000799440391725792,0.000299790146897172,0,0,9.9930048965724e-05,0,0,0,9.9930048965724e-05,0.00049965024482862,9.9930048965724e-05,0.0070950334765664,0.000599580293794344,9.9930048965724e-05,0.000399720195862896,9.9930048965724e-05,0.00319776156690317,0,0,0,0.00339762166483462,0.00389727190966324,0,0.0108923753372639,0,0.00669531328070351,0,0,0.143999200559608,0,0,9.9930048965724e-05,0,0,0.00239832117517738,0,0,0,0.002897971420006,0,0,0,0,0,0,0,0,9.9930048965724e-05,0,0.00129909063655441,0.000799440391725792,0,0,0,0.0197861496952134,9.9930048965724e-05,0,0,0.000799440391725792,0,0,0,0,9.9930048965724e-05,0.00479664235035475,0,0,0.15728989707205,0,0,0,0,0,0.00129909063655441,0.0276806235635055,0,0,0.0184870590586589,0,0,0,0,9.9930048965724e-05,0,0.0024982512241431,0,0,0,0,0.018087338862796,0,0,0.000599580293794344,0,0.00199860097931448,0
0.0249850089946032,0,0,0.00299820107935239,0,0,0.013791724965021,0,0,0,0.000799520287827304,0,0.00249850089946032,0.000999400359784129,9.9940035978413e-05,0,0,0.00199880071956826,0,0,0,0,9.9940035978413e-05,0.000899460323805717,0.000899460323805717,0.00789526284229462,0,0,0.000499700179892065,0,0.000599640215870478,0.00199880071956826,9.9940035978413e-05,0.000199880071956826,0,0,0.00709574255446732,0,0.017189686188287,0.0923445932440536,0.00409754147511493,0,0,0,0,0,0,0.00119928043174096,0,0,0.000699580251848891,0,0.0207875274835099,0.0105936438137118,0,0,0,0,0,0,0,0,0,0.316210273835699,0,0,0,0,0,0,0.0381770937437537,0,0,0,0,0,0.00219868079152508,0.00919448331001399,0,0.000399760143913652,9.9940035978413e-05,0,0,0,0.000299820107935239,0,0,9.9940035978413e-05,0,0,0,0,9.9940035978413e-05,0.000599640215870478,0,0.000399760143913652,0,0,0,0,0,0,0,0,0.0202878273036178,0,0,9.9940035978413e-05,0,0,0,0,0.000599640215870478,0,0.00899460323805717,0.00369778133120128,0,9.9940035978413e-05,0,0.00129922046771937,0.000499700179892065,0,0.0030981411153308,0.00209874075554667,0,0,0,0,0,0,0,0.00179892064761143,0,0.0099940035978413,0,0,9.9940035978413e-05,0.00159904057565461,0.000699580251848891,0,0.000599640215870478,0,0,0.000199880071956826,0,0,0.00789526284229462,0,0,0,0.000599640215870478,0,0,0.00269838097141715,0,0,0,0,0,0.00209874075554667,0,0,0,0.0182890265840496,0,0,0.000499700179892065,0,0.000599640215870478,0,0,0,0,0,0,0,0.000199880071956826,0.0109934039576254,0.0126923845692584,0,0,0,0,0,0,0,0,0,0,0,0,0.00359784129522287,0,9.9940035978413e-05,0,0,0,0,0,0,0,0,0,0,0,0.000899460323805717,0,0,0,0,0.0030981411153308,0,0,0,0,0.000399760143913652,0.00839496302218669,0,0.004597241655007,0,0.000999400359784129,0,0,0,0,0,0,0,0.00869478313012193,0,0,0,0,0.0232860283829702,0,0,0,0,0,0.00109934039576254,0,0.000599640215870478,0,0,0,0,0,0.000299820107935239,0,0.0103937637417549,9.9940035978413e-05,0,0,0,0.00349790125924445,0.0022986208275035,9.9940035978413e-05,0,0,0.00329802118728763,9.9940035978413e-05,0,0,0,0.000499700179892065,0,0,0,0,0.01259244453328,0,0,0.00289826104337398,0.0302818309014591,9.9940035978413e-05,0,0,0,0,0.169698181091345,9.9940035978413e-05,0,0.00599640215870478,9.9940035978413e-05,0,0,0,0.00139916050369778,0,0,0,0,0,0,0.000599640215870478,0,0.00119928043174096,0,0,0.00319808115130921,0
0,0,0.0005000500050005,0.0003000300030003,0,0,0,0,0,0,0,0,0,0,0.007000700070007,0,0,0,0,0,0,0,0,0,0,0.255125512551255,0,0,0,0.0008000800080008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007000700070007,0,0.0369036903690369,0,0,0,0.0005000500050005,0,0,0.0367036703670367,0,0,0.0942094209420942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009000900090009,0,0,0,0,0,0,0.0011001100110011,0,0,0,0,0,0,0,0,0.0011001100110011,0,0,0,0,0,0.201120112011201,0,0,0,0,0,0,0,0.0003000300030003,0,0.0014001400140014,0.0257025702570257,0,0,0,0,0.0001000100010001,0,0,0.0583058305830583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116311631163116,0,0,0,0,0,0.0012001200120012,0,0,0.0004000400040004,0,0,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004000400040004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072007200720072,0,0,0,0,0,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012001200120012,0,0,0,0,0.0006000600060006,0,0.0004000400040004,0,0,0,0,0,0,0,0,0,0.0114011401140114,0,0,0,0,0,0,0,0,0,0,0,0,0.0123012301230123,0,0,0,0,0,0.0007000700070007,0,0,0,0,0.0017001700170017,0.0156015601560156,0,0,0,0,0,0,0,0,0,0.0028002800280028,0.005000500050005,0,0,0,0,0,0,0,0,0,0,0,0,0.0014001400140014,0,0,0.0097009700970097,0.0001000100010001,0,0,0,0,0,0.0044004400440044,0,0,0.0695069506950695,0,0,0.0019001900190019,0,0,0,0,0,0,0,0,0,0,0.002000200020002,0,0,0,0
0,0,0,0,0,0,0.000399680255795364,0,0.107314148681055,0,0,0,0,0,0.000399680255795364,0,0.0021982414068745,9.99200639488409e-05,0,0,0.00149880095923261,0.00259792166266986,9.99200639488409e-05,0,0,0.202737809752198,0,9.99200639488409e-05,0.000199840127897682,0,0,0,0,0.0168864908073541,0.000199840127897682,0,0,0,0,0,0,0,0,0,0,0.0189848121502798,0,0,9.99200639488409e-05,0,0,0.00419664268585132,0,0,0,0,0,9.99200639488409e-05,0,0.0216826538768985,0,0.00149880095923261,0,0,0.0136890487609912,9.99200639488409e-05,0.0128896882494005,0.000399680255795364,0,0.0038968824940048,0,0,0,0.000199840127897682,0.000199840127897682,0,0,0,0,0.00499600319744205,0,0,0.0354716227018385,0,0,0.000899280575539568,0,0,0,0,0.0541566746602718,0.00229816147082334,0,0,0,0.000599520383693046,0,0,0,0,0,0.000399680255795364,0,0,0,0,9.99200639488409e-05,0.0551558752997602,0,0,0,0,0,0,0,0,0,0,0.00629496402877698,9.99200639488409e-05,0,0,0.00559552358113509,0.000199840127897682,0.00189848121502798,0.00109912070343725,0.106514788169464,0.00149880095923261,9.99200639488409e-05,0,0,0.00119904076738609,9.99200639488409e-05,0,0,0,0.000399680255795364,0,0.00479616306954436,0,0.00119904076738609,0,0.000399680255795364,9.99200639488409e-05,0,0.000799360511590727,0,0,0,0.00769384492406075,0,0,0,0,9.99200639488409e-05,0.000299760191846523,0,0,0,0.00279776179056755,0,0,0,0.0231814548361311,0,0,0.000399680255795364,9.99200639488409e-05,0,0,0.000199840127897682,0.000499600319744205,0.00179856115107914,9.99200639488409e-05,0,0,0,0,0.054656274980016,9.99200639488409e-05,0.000299760191846523,0.000699440447641887,0,0,0,0.00329736211031175,0,0,0,0,0,0.00689448441247002,9.99200639488409e-05,0,0,9.99200639488409e-05,0,0,0,0.0217825739408473,0,0.00209832134292566,0,0.000799360511590727,0,0.0108912869704237,0,0,0,0,0.00289768185451639,0,0.00449640287769784,0,0.000499600319744205,0,0.00739408473221423,0,0.000599520383693046,0,0,0,0,0.000699440447641887,0,0,0,0,0,0,0.00279776179056755,0,0,0.0198840927258193,0.000799360511590727,0,0,9.99200639488409e-05,9.99200639488409e-05,0,0,0,0,0.000799360511590727,9.99200639488409e-05,0,0,9.99200639488409e-05,0,0,0.00619504396482814,0,0.000299760191846523,9.99200639488409e-05,0,0.00149880095923261,0.00229816147082334,0,0,0.00329736211031175,0.000499600319744205,0.000899280575539568,0,0.000199840127897682,0,0,0,0,0,0.0145883293365308,0,0,0.00979216626698641,0,0,0,9.99200639488409e-05,0,0,0.0801358912869704,0,0,0,0,0,0,0,9.99200639488409e-05,0,0.000199840127897682,0,0,0,0,0,0,0.000199840127897682,0,9.99200639488409e-05,0,0.000299760191846523
0,0,0,0,0,0,9.99600159936026e-05,0,0,0,0,0,0,0,0.00149940023990404,0,0,0,0,0,0,0,0,9.99600159936026e-05,0,0.139044382247101,0,0,0,0.000699720111955218,0.00819672131147541,0.014594162335066,0,0.00699720111955218,0,0,0,0,0,0,0,0,0,0,0.000499800079968013,0.00949620151939224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699720111955218,9.99600159936026e-05,0,0,0,0,0,0,0,0.00249900039984006,0,0,9.99600159936026e-05,0,0,0,0,0,0.336465413834466,0,0,0,0,0,0.060875649740104,0.00899640143942423,0,0,0,0.0112954818072771,0.000499800079968013,0,0,0,0.000199920031987205,0.0650739704118353,0,0,0,0,0,0,0.00619752099160336,0,0,0,0,0.021891243502599,0,0,0,0.000499800079968013,0,9.99600159936026e-05,0,0,0,0,0,0,0,0.0126949220311875,0,0,0,0,0.00169932027189124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100959616153539,9.99600159936026e-05,0,0,0,0,0,0,0,0,0,0,0,9.99600159936026e-05,0,0,0,0.000599760095961615,9.99600159936026e-05,0.00229908036785286,0,0,0,0,0,0,0,0.0113954418232707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00979608156737305,0,0,0,0,9.99600159936026e-05,0,0,0,0,0,0.00039984006397441,0,0,0,0,0,0.0076969212315074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000499800079968013,0,0,0.0104958016793283,0,0,0,0,0,0.000199920031987205,0.211615353858457,0,0,0.00539784086365454,0,0,0,0,0,0,0.00119952019192323,0,0,0,0,0.00079968012794882,0,0.000499800079968013,0,0,0.00919632147141144,0
0,0,0,0,0,0,0,0.00129909063655441,0,0,0,0,0.00779454381932647,0,0,0,0,0,0,0.000899370440691516,0.00609573298690916,0,0,0,0.000299790146897172,0.138503047866493,0,0.00349755171380034,0,0.00239832117517738,0,0.0256820225841911,0,0,0,0,0,9.9930048965724e-05,0.000599580293794344,0.0990306785250325,0,9.9930048965724e-05,0,0.00579594284001199,0,0.00099930048965724,0,0,0,0,0.000899370440691516,0,0,0.011591885680024,0.00109923053862296,0,0,0,0,0,0.00419706205656041,0,0,0.140801438992705,0,0,0.0542620165883881,0,0,0,0.00629559308484061,0,0,0,0,0,0.00159888078345158,0.00859398421105226,0,0,0,0,0,0,0.000199860097931448,0,0,0,0,9.9930048965724e-05,0,0,9.9930048965724e-05,0,0,0.00309783151793744,9.9930048965724e-05,0,0.00429699210552613,0,0,0,0,0,0,0.00589587288897772,0,0,0,0,0,0,0.000199860097931448,0.00169881083241731,0.00649545318277206,0,9.9930048965724e-05,0,0.00869391426001799,0,0,0.00239832117517738,0.0024982512241431,0.00379734186069751,0,9.9930048965724e-05,0,0,0,0,0.000799440391725792,0.00809433396622364,0,0,0,0,9.9930048965724e-05,0,0,0,0.00259818127310882,0,0,0.000199860097931448,0,0,0,0.000699510342760068,0,0.0579594284001199,0,0.00129909063655441,0,0.0024982512241431,0,0.00529629259518337,0,0,0,0.0100929349455381,0,0,0,0,0,0,0.000899370440691516,0,0.000199860097931448,0,0,0,0,0,0,0,0,9.9930048965724e-05,0,9.9930048965724e-05,0,0,0,0,0,0,0,0,0,0,0,0.00309783151793744,0,0,0,0,0,9.9930048965724e-05,0,0,0,0,0,0,0,0.000299790146897172,0,0,0,0,0.00129909063655441,0,0,0.00049965024482862,0,0.00439692215449186,0,0,9.9930048965724e-05,0,0,0,0,0,0,0,0.0280803437593684,0,0.00449685220345758,0.000899370440691516,0,0,0,0.026781253122814,0,0.000299790146897172,0,0,0,0,0,0,0,0,0.000199860097931448,0,0,0,0,0,0,0,0,0,0.00049965024482862,0.00519636254621765,0.000199860097931448,0,0.000299790146897172,0.0159888078345158,0,0,0,0.000299790146897172,0,0,0,0,0,0.000299790146897172,0,0,0.026081742780054,0,0,0,9.9930048965724e-05,0,0,0.163985210352753,0,9.9930048965724e-05,0.0476666333566503,0,0,0,0,0,0,0.00349755171380034,0,0,0,0,0.00259818127310882,0,0.00269811132207455,0,9.9930048965724e-05,0.00669531328070351,0
0,0,0.000399880035989203,0,0,0,0,0.00349895031490553,0,0,0,0.000199940017994602,0,0.0167949615115465,0,0,0,0,0,0,0.00199940017994602,0.00129961011696491,0,0,0,0.158852344296711,0,0,0.00519844046785964,0,0,0,0,0.00289913026092172,0,0,0.000599820053983805,0.00279916025192442,0,0,0,0,0,0.0363890832750175,0,0,0,0,0,0,0,0,0,0,0.000299910026991902,0,0,0,0,0.000999700089973008,0,0.00389883035089473,0,0,0,0,0.00579826052184345,0,0.00129961011696491,0.010296910926722,0.00139958012596221,0,0.000199940017994602,0.0145956213136059,0,0,0,0,9.99700089973008e-05,0.00139958012596221,0,9.99700089973008e-05,0,0.000599820053983805,0.0147955613316005,0,0,0,0,0.00379886034189743,0,0.000499850044986504,0.000299910026991902,0,0,9.99700089973008e-05,0,0,0.00839748075577327,0,0,0,0,0,0.000699790062981106,0.000199940017994602,0.000199940017994602,0.0547835649305208,0,0,0,0,0,0,0.00939718084574628,0,0,0,9.99700089973008e-05,0,0,0,0,0.000499850044986504,0.00589823053084075,0.0178946316105168,0,0.00289913026092172,0,0,0.00329901029691093,0.00769769069279216,0,0,0,0,0,0,0,0,0.00209937018894332,0,0,0,0,0,0.000299910026991902,0.00119964010796761,0,0,0,0.00199940017994602,0,0.00349895031490553,0,0,0,0,0,0.0228931320603819,0,0,0,0.0379886034189743,0,0,0,0,0,0,9.99700089973008e-05,0,0,0,0,0,0,0.0105968209537139,0.000799760071978406,9.99700089973008e-05,0.000699790062981106,0,0,0,9.99700089973008e-05,0,0,0,0,0,0,0.00449865040487854,0,0.00159952014395681,0,0,0,0,0,0,0,0.000799760071978406,0,9.99700089973008e-05,0,0.000199940017994602,0,0,0,0,0.000999700089973008,0,0.00249925022493252,0,0.000699790062981106,0.00169949015295411,0.00399880035989203,0.012296311106668,0,0.000399880035989203,9.99700089973008e-05,0.000999700089973008,0,0.00189943017094872,0,0,0,0,0.00149955013495951,0.00259922023392982,0.011296611016695,0,0,0.0573827851644507,0,0.00139958012596221,0,9.99700089973008e-05,0,0,9.99700089973008e-05,0,0,0,0,0,0,0,0,0.0117964610616815,0,0.000599820053983805,9.99700089973008e-05,0,0.00109967009897031,0,0,0,0.000299910026991902,0.0159952014395681,0.000199940017994602,0,0,0.000299910026991902,0,0,0,0,0.000999700089973008,0.000599820053983805,0,0,0.0826751974407678,0,0,0,0.00569829051284615,0,0.000299910026991902,0.26072178346496,0,0,9.99700089973008e-05,0,0,0,0,0,0.00289913026092172,0,0,0,0,0,0.00759772068379486,0.000199940017994602,0.0133959812056383,0,0,0.00149955013495951,0
0,0,0,0,0,0,0,9e-04,0,0,0,0,0,0,5e-04,0,0,0,0,0,0,0.0146,0,1e-04,2e-04,0.0167,0,0,0,0,0.1592,0,0,0.0175,0,0,7e-04,0.002,0.0023,0,0,0,0,0.0018,0,0.0032,0,0,0,0,0,0,0,0,0.0102,0,0,0,0,0.0287,0,0,0,0,0,0,0.0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-04,0,0,3e-04,0,0,0,0.0053,0,0,2e-04,0,0,0.0014,0,0,0.0042,0,0,0,0,0,0,0,0,0.0381,0,0,0,0,0,0,0,0,0,0,0.0115,0,0,0,0,0.0016,0.0087,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,3e-04,0,0,0,0,0.0039,0.0039,0,0,0,0,0,0,0,0,0,0,6e-04,0,0,0,6e-04,0,0,0.0149,0.0338,0,0,0,0,0,0,0,0,0,0,0,0,0.0215,1e-04,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0,0,0,0,0.0029,0.005,0,0,0,0,0,0,0.0119,0.0018,0,0,0,0.1074,0,0,0,0,0,0,0,0,0.0209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0,0,2e-04,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,9e-04,0.3041,1e-04,0,0.0187,0,0,0,0,0,0.0012,0.0024,0,0,0,0,0.0202,0.0021,0,0,0,0.0156,0
0,0,0,0,0.00429270240590995,0.0146750524109015,0.0156733552959968,0,0,0.00109813317360487,0.0100828591394629,0.000199660577019068,0,0,0.00079864230807627,0,0,0.000598981731057203,0,9.98302885095338e-05,0.00189677548168114,0.00119796346211441,0,0.000898472596585804,0.00249575721273834,9.98302885095338e-05,0.0384346610761705,0.0168713187581112,0,0.00688828990715783,9.98302885095338e-05,0,9.98302885095338e-05,0.000499151442547669,0,0,0,0.000299490865528601,0,0.101926724568234,0,0.000998302885095338,0,0.00309473894379555,0,9.98302885095338e-05,0.00079864230807627,0.00489168413696716,0,0.000199660577019068,0.00249575721273834,0,0.0120794649096536,0.0113806528900869,0,0.0200658879904163,0,0,0,0,0.0129779375062394,0,0,0.0884496356194469,0,0,0,0.00139762403913347,0,0,0.0238594389537786,0,0,0,0,0,0.00529100529100529,0.00788659279225317,0,9.98302885095338e-05,0.00109813317360487,0.000199660577019068,9.98302885095338e-05,0.00119796346211441,9.98302885095338e-05,0,9.98302885095338e-05,0,0,0.000499151442547669,0,9.98302885095338e-05,0,0,0,0,0,0,0.00848557452331037,0,0,0,0,0.00249575721273834,0.0114804831785964,0,0.000499151442547669,9.98302885095338e-05,0,0,0,9.98302885095338e-05,0,9.98302885095338e-05,0.00149745432764301,0,0,0,0,0,0,0.00479185384845762,0,0,9.98302885095338e-05,0.000698812019566737,0,0,0.000199660577019068,0,0.00459219327143855,0.000199660577019068,0.0664869721473495,0.0115803134671059,0,0,9.98302885095338e-05,0,9.98302885095338e-05,0,0,0,0,0,0.0817610062893082,0,0.0120794649096536,0.000898472596585804,0,0.00449236298292902,0.000499151442547669,0.00259558750124788,0,0,0,0,0,0,0.00079864230807627,0.0122791254866727,0,0,0,0,0,0,0,0,0,0.000399321154038135,0.00349406009783368,0,0,0,0,0,0.000598981731057203,0.0124787860636917,9.98302885095338e-05,0.000299490865528601,0.00079864230807627,0,0.000399321154038135,0,0.000399321154038135,0,0,0.000499151442547669,0,0,0,0.00369372067485275,0.000299490865528601,0,0.0143755615453729,0,0,0,9.98302885095338e-05,0,0,0,0,0.0791654187880603,0,0.00459219327143855,9.98302885095338e-05,0,0,0.000399321154038135,0,0.00319456923230508,0.00139762403913347,0.00079864230807627,0.000299490865528601,0,0.0079864230807627,0.0164719976040731,0.016272337027054,0,0,0.000199660577019068,0,0,0,0,0,0,0.00169711490466207,0,0.00179694519317161,0,0,0.0149745432764301,0,0,0.000898472596585804,0,0,0,0.000698812019566737,0,0,0,0,9.98302885095338e-05,0,0,0,0,0,9.98302885095338e-05,0.00229609663571928,9.98302885095338e-05,0.00309473894379555,0.00668862933013876,0,0,0.000399321154038135,0,0.00169711490466207,0.00129779375062394,0,0.000998302885095338,0,0,0,0,0.000698812019566737,0.000598981731057203,0.00409304182889089,0.00189677548168114,0.0858540481181991,0,0,0,0,0,0.000598981731057203,0.01926724568234,9.98302885095338e-05,0,0.0163721673155635,0,0,0,0,0.000199660577019068,0,0.00868523510032944,0,0,9.98302885095338e-05,0,0,0,0.000299490865528601,0.00339422980932415,0,0.00449236298292902,0
