"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301"
0,0,0,0,0,0,0.00549835049485154,0,0,0,0,0,0,0,0.00729781065680296,0,0,0,0,0,0,0.00329901029691093,0,0.000499850044986504,0,0.488653403978806,0,0,0.000999700089973008,0,0,0,0,0,0,0,0,0.0121963410976707,0,0,0,0,0,0,0,0.026592022393282,0,0,0.00129961011696491,0,0,0,0,0,0,0,0,0.000899730080975707,0,0,0,0,0,0,0,0,0.00699790062981106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369889033290013,0.00109967009897031,0,0,0,0,0,0,0.00509847045886234,0,0,0,0,0,0,0,0,0,0,0,0.000999700089973008,0,0,0,0,0.0115965210436869,0,0,0,0,0,0.000999700089973008,0,0,0.00359892032390283,0.000299910026991902,0,0,0,0.000199940017994602,0,0,0,0,0,0,0,0.0120963710886734,0,0,0,0,0.000799760071978406,0,0,0,0.0165950214935519,0,0,0,0,0,0.00199940017994602,0,0,0,0.0105968209537139,0,0,0,0,0,0,0,0,0.00799760071978406,0,0,0,0,0,0,0,0.00189943017094872,0,0,0,0,0,0,0,0,0,0,0.00259922023392982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000399880035989203,0.000499850044986504,0,0,0,0,0,0,0,0,0,0,0,0.00179946016195141,0,0,0,0,0,0,0,0,0.000699790062981106,0,0.00679796061181645,0,0.0346895931220634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251924422673198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000699790062981106,0,0,0.0393881835449365,0.000199940017994602,0,0,0,0,0.00439868039588124,0,0,0,0.000599820053983805,0,0,0,0,0,0,0,0,0.164150754773568,0,0,0.0201939418174548,0,9.99700089973008e-05,0,0.000399880035989203,0,0,0.0375887233829851,0,0,0,0,0,0,0,0.000899730080975707,0.0160951714485654,0,0,0,0,0,0,0,0,0,0,0.00879736079176247,0
0,0,0,0,0,0,9.99200639488409e-05,0,0,0,0,0,0,0,0.00639488409272582,0,0,0,0,0,0,0.00329736211031175,0,0,0,0.00959232613908873,0,0,0.004396482813749,0.00909272581934452,0.0333733013589129,0,0,0.0208832933653078,0,0,0.00129896083133493,0.0195843325339728,9.99200639488409e-05,0,0,0,0,0,0,9.99200639488409e-05,0,9.99200639488409e-05,9.99200639488409e-05,9.99200639488409e-05,0.000299760191846523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120903277378098,0,0,0,0,0,0,0,0,0,0,0,0,9.99200639488409e-05,0,0,0,0,0,0.00249800159872102,0,0,0,0.00629496402877698,9.99200639488409e-05,0,0.0118904876099121,0,0,0.00299760191846523,0,0,0.00649480415667466,0,0,9.99200639488409e-05,0,0,0.000499600319744205,0,0,0.293465227817746,0,0,0,0,0,0.00629496402877698,0,0.000699440447641887,0,0,0.0115907274180655,0,0,0,0,0.00109912070343725,0.0378697042366107,0,0.117406075139888,0,0,0,0.00269784172661871,0.000399680255795364,0,0,0,0,0.0182853717026379,0,0,0,0.0575539568345324,0,0,0,0,0,0,0,0,0,0.000899280575539568,0.000399680255795364,0,0,0,0,0,0,0,0.00239808153477218,0,0,0,0,0,0,0,0,0,0,0.000699440447641887,0,9.99200639488409e-05,0,0,0,0,0.0337729816147082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00579536370903277,9.99200639488409e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00139888089528377,9.99200639488409e-05,0,0.000199840127897682,9.99200639488409e-05,0,0,0,0,0.00159872102318145,0,0,0,0.0204836131095124,0,0,0,0,0,0,0.000999200639488409,0,0,0.00519584332533973,0,0.00359712230215827,0,0,0.00189848121502798,0,0,0,0,0,0,0,0,0,0,0,0,9.99200639488409e-05,0,0,0,0,9.99200639488409e-05,0,0,0,0,0.000199840127897682,0,0,0,0,0,0,0.00159872102318145,0.00109912070343725,0,0,0,0,0.0686450839328537,0,0,0.0525579536370903,0,0,0,0,0,0.00189848121502798,0.00109912070343725,0,0,0.0597521982414069,0,0,0,0,0,0,0.00279776179056755,0.00739408473221423,0,0,0,0.0204836131095124,0,0,0,0,0.00329736211031175,0
9.99800039992002e-05,0,0.0001999600079984,0,0,0,9.99800039992002e-05,0.0016996600679864,0,0,0,0,0,0.00509898020395921,0.00459908018396321,0,0,0,0,0.000799840031993601,0,0,0,9.99800039992002e-05,0,0.261047790441912,0,0,0.000699860027994401,0.000899820035992801,0.00699860027994401,0,0,0.000999800039992002,0,0,0.000599880023995201,0.0002999400119976,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000399920015996801,0,0,9.99800039992002e-05,0.0011997600479904,0.0355928814237153,0,0,0.000799840031993601,0,0,0,0,0,0,0.0177964407118576,0.0011997600479904,0,0,0,0,0.0165966806638672,0,0,0,0.0608878224355129,0,0,0,0,0.0030993801239752,0.0002999400119976,0,0,0,0.000799840031993601,0,0.000799840031993601,0.0001999600079984,0,0,0.000899820035992801,0,0,0.000499900019996001,0,0.00509898020395921,0.0266946610677864,0,0,0,0,0,0.00799840031993601,0,0,0.000699860027994401,0,0.0022995400919816,0,0,0.001999600079984,0.0858828234353129,0.00369926014797041,0.00549890021995601,0,0,0.0010997800439912,0,0,0.000399920015996801,0,0,0,0,0,9.99800039992002e-05,0.000599880023995201,0,0,0,0,9.99800039992002e-05,0.00809838032393521,0,0.00379924015196961,0.000399920015996801,0,0.0001999600079984,0,0.0781843631273745,0,0,0,0,0,9.99800039992002e-05,0.000799840031993601,0,0.0112977404519096,0,0.0026994601079784,0,0,0,9.99800039992002e-05,0,0,0,0,0.0030993801239752,0,0.0026994601079784,0.0013997200559888,0,0,0.0013997200559888,0,0,0.000399920015996801,0,0,0,0,0.0108978204359128,0,0,0,0,9.99800039992002e-05,0,0,0,0,0,0,0,0.0016996600679864,9.99800039992002e-05,0,0,0.00669866026794641,0,0.0186962607478504,0,0,0.0002999400119976,0,0,0,0,0,0,9.99800039992002e-05,0.0001999600079984,0.001999600079984,0,0,0,0.000499900019996001,0,0.0011997600479904,0.0100979804039192,0,0,0.0017996400719856,0,0,0,0.00469906018796241,0.0028994201159768,0,0,0.0313937212557489,0.0001999600079984,0,0,0,0,0.0302939412117576,0.0127974405118976,0,0,0,0,0,0,0,0,0.0116976604679064,0,0,0,0,0,0,0,0,0,0,0,0.018996200759848,0.0155968806238752,0,0.0001999600079984,0.0001999600079984,0.0025994801039792,0,0,0.000799840031993601,0,0.000399920015996801,0,0,0,0.001499700059988,0,0,0.00639872025594881,0.0002999400119976,0,0.0001999600079984,0,0,0.000799840031993601,0.104779044191162,0,0,0,0,0,9.99800039992002e-05,0,0,0.00549890021995601,0,0,0,0,0,0.000999800039992002,0.000599880023995201,0.000799840031993601,0,0,0.00849830033993201,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002000200020002,0,0.0003000300030003,0,0,0,0,0,0,0.0004000400040004,0,0.0192019201920192,0.0007000700070007,0,0.0006000600060006,0.0007000700070007,0.0495049504950495,0,0,0,0,0,0,0.0237023702370237,0,0,0,0,0,0,0,0.0043004300430043,0,0,0,0,0,0,0,0,0,0,0,0.0001000100010001,0,0,0,0,0,0,0,0,0.0429042904290429,0,0,0,0,0,0,0,0,0.0562056205620562,0,0,0,0.0582058205820582,0,0,0.0126012601260126,0,0,0.0091009100910091,0,0,0,0,0,0.0016001600160016,0,0,0,0,0.0002000200020002,0,0,0,0,0.0012001200120012,0,0,0,0,0,0.062006200620062,0,0,0,0,0,0.0052005200520052,0,0,0,0,0.0133013301330133,0,0,0,0,0,0.0162016201620162,0,0,0,0,0,0,0.0112011201120112,0,0,0,0,0.0017001700170017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013001300130013,0,0,0,0,0,0.0021002100210021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001000100010001,0,0.0033003300330033,0,0,0,0.0071007100710071,0.0008000800080008,0,0,0,0,0.0028002800280028,0,0,0,0,0.0004000400040004,0,0.0144014401440144,0.0001000100010001,0,0,0,0,0,0,0,0,0,0,0.0034003400340034,0.0001000100010001,0.0102010201020102,0,0,0,0.0001000100010001,0,0,0,0,0,0,0.0076007600760076,0,0.0085008500850085,0,0.0028002800280028,0,0,0,0,0,0,0,0,0,0.0156015601560156,0,0,0.0188018801880188,0,0,0,0,0,0.0062006200620062,0,0,0,0,0.0003000300030003,0,0,0,0,0,0,0,0,0,0,0.0004000400040004,0,0.0003000300030003,0,0.0041004100410041,0,0,0,0,0.0071007100710071,0,0,0,0.008000800080008,0.0059005900590059,0,0,0.0022002200220022,0,0,0,0,0,0,0.362836283628363,0,0,0.0774077407740774,0,0,0,0,0,0,0.0123012301230123,0,0,0,0,0.0023002300230023,0,0,0,0,0.0198019801980198,0
0,0,0,0,0,0,0.0002999700029997,0,0,0,0,0,0,0,0.0023997600239976,0,0,0,0,0,0,0,0,0,0,0.117688231176882,0,0,0.0003999600039996,0,0,0,0,0.0061993800619938,0,0,0.0043995600439956,0,0,9.99900009999e-05,0,0,0,0,0,0,0,0.0004999500049995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013998600139986,0,0,0,0,0,0,0,0,0.0118988101189881,0,0,0,0,0,0.565343465653435,0,0,0,0,0,0.006999300069993,0,0,0,0,0,0.0003999600039996,0,0,0,9.99900009999e-05,0,0,0,0,0,0,0,0,0,9.99900009999e-05,0,0,0.0011998800119988,0,0,0,0,0,9.99900009999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003999600039996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101989801019898,9.99900009999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0030996900309969,0,0,9.99900009999e-05,0,0,0,0,0,0,0,0,0,0.004999500049995,0,0,0.0026997300269973,0,0,0,0,0,0,0,0,0,0,0,0.0164983501649835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008999100089991,0,0,0.0514948505149485,0,9.99900009999e-05,0,0,0,0,0.173882611738826,0,0,0.0111988801119888,0,0,0,0,0.0002999700029997,0,0,0,0,0,0,0,0,0.0030996900309969,0,0,0.0013998600139986,0
0,0,0,0,0,0,9.99600159936026e-05,0,0,0,9.99600159936026e-05,0,9.99600159936026e-05,0,9.99600159936026e-05,9.99600159936026e-05,0,0,0,0,0,0.00619752099160336,0,0.000499800079968013,9.99600159936026e-05,0.123850459816074,9.99600159936026e-05,0,0.000699720111955218,0.00169932027189124,0,0.000199920031987205,0,0,0,0,0,0,0,9.99600159936026e-05,0,0,0.000299880047980808,0,0,0.00979608156737305,0,9.99600159936026e-05,0,0,0,0,9.99600159936026e-05,0,0.0225909636145542,0,0,0,0,0,0,0,0,0,0,0,0.0265893642542983,0,0,0,0,0,0,0,0,0.00039984006397441,0,0,0,0.0257896841263495,0,0,0.0401839264294282,0,0.00579768092762895,0.000599760095961615,0,0.0190923630547781,0,0,0,0.00039984006397441,9.99600159936026e-05,0.0102958816473411,0,0.000199920031987205,0.00819672131147541,0,0,0,0.0180927628948421,0.000899640143942423,0,0,0,0,0,0,0,0,0,0.00479808076769292,0.0161935225909636,0,0.00839664134346262,0,0.0231907237105158,0,0.000199920031987205,0,0,0,0,0,0.000199920031987205,0,0,0,0,0.00119952019192323,0.00289884046381447,0,0.00339864054378249,0,0,0,0.00039984006397441,0.0294882047181128,0.0880647740903639,0,9.99600159936026e-05,0.00839664134346262,0,0,0.055577768892443,0,0,0,0,0,0,0,0,0.0136945221911235,0,0,0,0,0,0,0,0.000299880047980808,0,0,0,0.00079968012794882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000999600159936026,0.0106957217113155,9.99600159936026e-05,0,0,0,0,0.00079968012794882,0.000199920031987205,0,0,0.00039984006397441,0,0,0.00659736105557777,0,0,0,0,0,0,0,0.0692722910835666,0,0,0.000299880047980808,0,0.000599760095961615,0.00079968012794882,0.0038984406237505,0,0,0,0,0,0,0.000599760095961615,0.000499800079968013,0,0,0,0,0,0,0,0.00149940023990404,0.000299880047980808,0,0,0,0,0,0,0.00989604158336665,0,0,0,0,0.00039984006397441,0,0,0,0.00209916033586565,0,0,0.00859656137544982,0,0.000699720111955218,0,0,0.00079968012794882,0,0,0.0158936425429828,0.000199920031987205,9.99600159936026e-05,0,0,0.00739704118352659,0,0,0,0,0.000299880047980808,0,0,0,0.000199920031987205,0,0.00039984006397441,0,0,0,9.99600159936026e-05,0,0,0,0,0.226609356257497,0,0,0.00649740103958417,0,0.00279888044782087,0.00319872051179528,0,0,0.0202918832467013,0.00609756097560976,0,0,9.99600159936026e-05,0,0,0.000699720111955218,0.00039984006397441,0,0,0.0078968412634946,0
0,0,0,0,0,0,0.0150969806038792,0,0,0,0,0,0.00469906018796241,0.000999800039992002,0,0,0,0,0,0,0,0,0,0,0,0.1624675064987,0,0,0,0,0,0,0,0.00969806038792242,0,0,0.0301939612077584,0,0,0.000999800039992002,0,0,0,0,0,0.011497700459908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439912017596481,0,0,0,0,0,0.0013997200559888,0.0881823635272945,0,0,0.0511897620475905,0.00249950009998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015996800639872,0,0.00639872025594881,0.0011997600479904,0,0,0,0,0,0.0186962607478504,0,0,0.0127974405118976,0,0,0,0,0,0.211757648470306,0.00519896020795841,0.00519896020795841,0,0,0,0,0,0,0,0,0.0171965606878624,0,0,0,0,0.0705858828234353,0.0120975804839032,0,0,0,0,0,0,0,0,0,0,0,0.0002999400119976,0,0,0,0.0025994801039792,0.000599880023995201,0,0,0,0,0,0,0,0,0,0.0188962207558488,0,0.0172965406918616,0,0,0,0,0,0.0276944611077784,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872,0.010497900419916,0,0,0,0,0,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383923215356929,0,0,0,0,0,0,0,0,0.00869826034793041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140971805638872,0.00529894021195761,0,0,0,0,0,0,0,0,0,0,0,0,0.00929814037192562,0,0,0,0,0.0002999400119976,0,0,0,0,0.0017996400719856,0,0,0,0,0,0,0,0,0.0122975404919016,0,0,0,0,0,0.00969806038792242,0,0.0002999400119976,0,0,0.0148970205958808,0
0,0,0,0,0,9.99700089973008e-05,0.000999700089973008,0,0,0,0,0,0,9.99700089973008e-05,0.00499850044986504,0,0.00439868039588124,0,0,0,9.99700089973008e-05,0.00469859042287314,0,0,0,0.297110866739978,0,0,0.000999700089973008,0.00419874037788663,0.00209937018894332,0,0,0.00239928021593522,0,0,9.99700089973008e-05,0.000299910026991902,0,0,0,0,0,0.000299910026991902,0,0.00619814055783265,0,0,0,0,0,0,9.99700089973008e-05,0.000199940017994602,0,0,0,0.000499850044986504,0,0.0439868039588124,0.000499850044986504,0.000199940017994602,9.99700089973008e-05,0,0.00209937018894332,0,0.00509847045886234,0,0,0,0.00149955013495951,0,0,0.000799760071978406,0,0,0,0,0,0.0256922923123063,0,0,0,0,0.000999700089973008,0.000599820053983805,0,0,0,0.000499850044986504,0,0.000699790062981106,0,0,0,0,0,0,0,0,0.0105968209537139,0.00799760071978406,0,0,0,0,0,0.00979706088173548,0,0,0,0.034889533140058,0.00389883035089473,0.000799760071978406,0,0,0.0161951414575627,0,0.0249925022493252,0,0,0,0,0,0.000999700089973008,0,0.00309907027891633,0,0,0,0,0.000399880035989203,0,0,0,0,0.00369889033290013,0,0,0,0.0176946915925222,0,0,0,0.105068479456163,0,0.000799760071978406,0,0.00229931020693792,0.00719784064780566,9.99700089973008e-05,0,0,0.00899730080975707,0,0.00339898030590823,0.000699790062981106,0,0,9.99700089973008e-05,0,0,0,0,9.99700089973008e-05,0,0,0,0.000899730080975707,9.99700089973008e-05,0.00109967009897031,0,0,0,0,0,0,0.00149955013495951,0.0183944816555034,9.99700089973008e-05,0,0,0.00339898030590823,0,0,0,0,0,0.00209937018894332,0,0,0,0.000299910026991902,0,0.00139958012596221,0.00869739078276517,0,0.0289913026092172,0,0,0,0,0,0.0909727081875437,0,0,0,0,0,0.000599820053983805,0.0206937918624413,0,0,0,0,0,0,0.000299910026991902,0,0.000799760071978406,0.00499850044986504,0.000599820053983805,0,0.00609817054883535,0.012296311106668,0,0,0,0.000399880035989203,0,9.99700089973008e-05,0,0,0.000199940017994602,0,0.000199940017994602,0.00259922023392982,0,0,0,0,0,0,0,0,0,0,0,0.000299910026991902,9.99700089973008e-05,0,0,0.000499850044986504,0,0.000499850044986504,0.00149955013495951,0.000999700089973008,9.99700089973008e-05,0.000399880035989203,0,0.00249925022493252,0,0,0.00209937018894332,0,0,0,0,0.000199940017994602,0.0715785264420674,0,0,0.0156952914125762,0,0,0,0,0,0.000299910026991902,0.000399880035989203,0,0,0.00769769069279216,0,0,0,0,0,0.00469859042287314,0.000699790062981106,0,0,0,0,0.000599820053983805,0,0.000399880035989203,0,0,0.00439868039588124,0
0,0.0014998500149985,0,0,0,0,0,0,0,0,0,0,0,0,0.005999400059994,0,0,0,0,0,0,0.0222977702229777,0,0,0,0.334566543345665,0,0,0.0003999600039996,0.0016998300169983,0.0105989401059894,0,0,0,0,0,0.0004999500049995,0,0,0,0,0,0,0,0,0.0008999100089991,0,0,0,0,0,0,0,0,0.0074992500749925,0,0,0.0002999700029997,0,0.0372962703729627,0.0002999700029997,0,0,0,0,0,0.0534946505349465,0,0,0.0077992200779922,0,0,0,0,0,0,0,0,0,0.0065993400659934,0,0,0.0015998400159984,0,0,0.0010998900109989,0.0005999400059994,0,0,0,0,0,0,0,0,0,0.0536946305369463,0,0,0,0,0,0,0,0,0,0,0.095990400959904,0,0,0,0,0,0,0,0,0,0,0.0143985601439856,0,0,0,0,0,0.0345965403459654,0.0114988501149885,0.0082991700829917,0,0,0,0.0038996100389961,9.99900009999e-05,0,0,0,0,0.0080991900809919,0,0,0,0.0052994700529947,0,0,0,0,0,0.0011998800119988,0,0,0,0,0,0,0,0,0,0,0,0,0.001999800019998,0,0,0,0.0250974902509749,0,0,0,0,0,0,0.0025997400259974,0,9.99900009999e-05,0,0,0,0,0,0,9.99900009999e-05,0,0,0,0,0.000999900009999,0,0,0,0,0,0,0.0055994400559944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014998500149985,0,0,0,0,0.014998500149985,0,0,0,0.0010998900109989,0,0.0073992600739926,0,0.0096990300969903,0,0,0,0,0,0,0,0.0127987201279872,0,0.002999700029997,0,0.0013998600139986,0,0,0.0416958304169583,0,0,0,0,0,0.0041995800419958,0,0,0,0,0.0006999300069993,0,0,0,0,0,0,0,0,0,0,0.0011998800119988,0.0017998200179982,0,0.0143985601439856,0.0035996400359964,0,0,0,0.0002999700029997,0,0,0,0,0,0.0286971302869713,0,0.0037996200379962,0.0070992900709929,0,0,0,0,0,0,0.0291970802919708,0,0,0.0421957804219578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005999400059994,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000299850074962519,0,0,0,0.000299850074962519,9.99500249875062e-05,0,0,0,0,0.0119940029985007,0.00119940029985007,0,0,0,0.0462768615692154,0,0,0.000199900049975012,0.00689655172413793,0.048375812093953,0.0230884557721139,0,0.00349825087456272,0,0,0.0214892553723138,0.000899550224887556,0,9.99500249875062e-05,0,0,0,0.00839580209895052,0,0,0,0,0,0,0,0,0,0,0.00449775112443778,0,0,0.000199900049975012,0,0.00259870064967516,0,0,0,0.000199900049975012,0.000299850074962519,0,0.000999500249875062,0,0,0.00239880059970015,0.00929535232383808,0,0,0.0342828585707146,0,0,0,0,0,0.000899550224887556,0,9.99500249875062e-05,0,0,0.0707646176911544,9.99500249875062e-05,0.0118940529735132,9.99500249875062e-05,0,0.0741629185407296,0,0.000499750124937531,0,0,0,0,0,0,0.00499750124937531,0,0.00449775112443778,0,0.00169915042478761,0,0,0,0.00769615192403798,0.00289855072463768,0,0,0,0.0185907046476762,0.0108945527236382,0.0567716141929035,0.00679660169915042,0,0,0,0.00409795102448776,0,0,0,0,0,0.00559720139930035,0,0,0,0.000199900049975012,0,0,0,0,0,0,0,0,0.0213893053473263,0,0,0,0,0,0,0.00869565217391304,0,9.99500249875062e-05,0,0,0,0.00119940029985007,0,0,0.00909545227386307,0,0,0,0,0.00509745127436282,0,0,0,0,0.00829585207396302,0,0.000299850074962519,0,0,0,0,0,0.00179910044977511,0,0,0,0,0,0,0.000599700149925037,9.99500249875062e-05,0,0,0.0103948025987006,0,0.00229885057471264,0,0,0,0,0,0,0.00679660169915042,9.99500249875062e-05,0,0,0.00589705147426287,0,0,0,0,0.00229885057471264,0,0,0.0296851574212894,0,0,0,0,0.000499750124937531,0.00139930034982509,0,0,0,0.00309845077461269,0,0.00459770114942529,0.00219890054972514,0.0015992003998001,9.99500249875062e-05,0.000599700149925037,0,0.000899550224887556,0,0,0.00879560219890055,0,0,0,0.0143928035982009,0,0.0200899550224888,0,0.000699650174912544,0.0267866066966517,0,0,0,0,0,0.00149925037481259,0,9.99500249875062e-05,0,0.00689655172413793,0,0,0,0,0.000499750124937531,0,0,0,0,0,0.00899550224887556,9.99500249875062e-05,9.99500249875062e-05,0,0.000299850074962519,0,9.99500249875062e-05,0,0,0.000199900049975012,0,0,0,0,0,9.99500249875062e-05,0,0,0.00859570214892554,0,0,0,0,9.99500249875062e-05,0.000199900049975012,0.206896551724138,0,0,0.0177911044477761,0,0,0,0,0.000299850074962519,9.99500249875062e-05,0.000599700149925037,0,0,0,0,0.0272863568215892,0.00389805097451274,0.000199900049975012,0,0,0.00409795102448776,0
