"Unc00re8","Unc018j2","Unc58370","GV2Pseu5","Unc003tx","Unc56563","F1NS1036","Unc05ssb","Unc04zvf","Unc59236","UncCl489","Unc010jp","Unc36521","UncO7791","Unc00a9i","Unc01w4h","Unc00mrp","UncO6496","Unc40572","Unc02lzj","UncO6120","Unc02f9r","G9KS1076","GF3Sang7","Unc03dvp","Unc05bd1","Unc03f5u","Unc04ri8","UncB2490","Unc055ix","Unc69508","Unc39912","Unc01p12","Unc015db","UncO7042","UncO6861","GWMAdo11","Unc052sp","Unc0137f","Unc01n5f","Unc00ldp","Unc03u8h","GG7Cop16","Unc94574","Unc04y3m","Unc00z5u","Unc021us","Unc03exo","Unc02o1s","GHQBrach","UncTer61","HQ1Spe60","Unc013ok","Unc71265","Unc01iri","H9MBac20","Unc019hw","Unc05quh","H0LCorp2","Unc053aw","Unc057li","Unc05768","Unc05quo","Unc01bfz","Gt8Me241","Unc21180","Unc002el","Unc00cq3","GV2Spe54","Unc054am","Unc02ruj","Gt8Me197","Unc57731","Unc01nqn","Unc99918","Unc89581","Unc0317w","UncAna95","Mx8Bact3","Unc94755","Unc02j5b","Unc57758","Unc056wq","Unc21606","Unc01t8m","FNWNL294","Unc056qn","F1NAe698","FU3Spe44","Unc91094","Unc00kv7","S53Therm","Unc01ie9","Unc04hvv","Unc44355","H0BCorr7","UncO2214","Unc03rga","Unc052lg","RbuSp395","Unc024ne","FNWNL411","Unc05eti","Unc02m8q","Unc04shn","HJZIndis","Unc022vh","Unc054vi","Gt8Me128","Unc052dz","VeeSpec9","HFOSpec6","Unc02mlm","Unc02q6j","Unc006la","Unc0100q","GFQLact9","Unc94497","Unc01c0q","Unc19563","IreBac57","Unc99751","Unc002vf","UncSta97","UncC1868","Unc05m2s","UncO2247","Unc03iyy","Unc05m8w","Unc01220","UncO6479","Unc053gf","Unc55486","Unid1952","Unc75688","G9ZRupe2","Unc050mf","UncO4779","LcbSak39","Unc02j2d","UncO6361","Unc056wt","Unc025rd","Unc038bu","CsrSp463","Unc91193","UncO6106","Unc38154","Unc031wu","Unc029p5","Unc02hhf","Unc02p9p","Unid2117","Unc00v7p","Unc0402j","Unc02v3h","Unc03xpn","Unc054uj","Unc91427","Unc01c0o","ISXSp105","GHQLimo9","Unc81011","Unc01pk4","Unc00mga","GFUMa342","Unc55881","Unc00bms","UncE6774","Rm0Bac17","Unc05oic","FNWNL448","GX7Fr128","GHQSulci","GHQSpe52","Unc036lf","Unc05i7p","Unc65343","Unc04zq9","Unc027v0","Unc01i5a","Unc39082","Unc62424","Unc00ak4","Unc71175","Unc01w9w","Unc04zlo","Unc01hjq","Unc03u2r","SlmBulb2","Unc05m27","Unc48286","Unc02jcp","Unc92642","Unc02j5n","F8IConc2","I88Mits3","Unc05irm","Unc64978","UncO1674","Unc03b0p","Unc04hf4","Gt8Met60","Unc05mrd","Unc04f12","Unc054m4","Unc03j0p","Unc025cz","I97Lenta","UncGranu","Unc02zd0","Unc02irl","Unc02lj0","Unc010xg","Unc03y4v","H9MBac19","Unide146","Unc05o9h","Unc91512","UncO9844","Unc84292","Unc91440","Unc01ll8","UncM5880","I1FDiver","Unc00t43","Unc81236","Unc00f0g","Unc36622","Unc05d9k","Unc01w0v","Rm0Bac15","I52Minu3","Unc91005","CsrNeon2","Unc93973","Unc03uw6","A6BStoq4","Unc0120x","Unc01277","Unc05mei","Unc04443","Unc00m3k","Unc05olb","Unc0163x","Unc02mpn","Unc86145","Unc02ysz","Unc81447","Unc05mdx","UncO8782","G7WHuG28","Unc38399","HfnAlv51","Unc01e6u","Unc019wl","Unc85953","Unc57013","Unc04x9p","Unc02ee9","Unc97262","Unc03evh","Unc01f0v","H4SFili3","UncCl291","GJFBac89","Unc60150","Unc0571u","Unc058de","UncG3786","Gt8Met45","Unc01qt1","UncO8895","Unc01nzf","Unc0195f","Unc00xi0","GW6Spe33","HQVSpec3","Unc01w4o","Unc64172","Unc022fm","Unc04zd2","Unc00y95","UncO5332","Unc0033e","H6ZCacca","HQDYunn7","GH8Micro","Od8Spla3","Unc057b2","Unc055sp","UncOr772","Unc0183e","Unc0546e","Unc05nru","Unc00rvu","Unc03433","Unc009tj","Unc02eb1","Unc01505","UncRumi6"
0,0,0,0,0,0,8.14973785009915e-05,0,0,0,0,0,0,0,0.0434652685338622,0,0,0,0,0,0,0.00187443970552281,0,0,0,0.188095949580288,0,0,0.000434652685338622,0.00124962647034854,0.00782374833609519,0,0,0.00239058976936242,0,0.000244492135502975,0.000814973785009916,0.000217326342669311,0,0,0,0,0,0,0.000271657928336638,0.000203743446252479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217326342669311,0,0,0,0,0,0,0.00342288989704165,5.43315856673277e-05,0,0,0,0,0,0,0.000271657928336638,0,0,0,0,0,0,0,0.00537882698106544,0,0.00521583222406346,0,0.00986118279861998,0,0,0.00168427915568716,0,0.0214338105457608,0,0,0,0.000203743446252479,0,0,0.000162994757001983,0,0.000162994757001983,0,0,0,0,0,0,0.0102143381054576,0,0,0,0.00570481649506941,0,0.0229279291516123,0,0,0,0,0.00418353209638423,0,0,0,0.000217326342669311,0.000108663171334655,0.0255901768493113,0,0,0,0,0,0.00138545543451686,0,0,0,0,0,0.029094564124854,0,0,0,0,0.000244492135502975,0,0,0,0,0,0,0,0,0,0.00244492135502975,0,0,0.000108663171334655,0,0,0.000325989514003966,0,0.000108663171334655,4.07486892504958e-05,0,0,0,0,0,0,0,0,0.000977968542011899,0,0,0.00119529488468121,0,0,0,0,0,0.0440629159762028,0,0,0,0,0,0,0,0.000325989514003966,0,0,0,0,0.00692727717258428,0.000108663171334655,0,0,0,0.000733476406508924,0,0,0,0,0,0,0,0.00309690038303768,0,0,0,0,0.000271657928336638,0,0,0,0.000325989514003966,0.000108663171334655,0,8.14973785009915e-05,0,0,0,0.00101871723126239,0,0,0,0,0,0,0,0.00380321099671294,0,0.0176034337562142,0,0,0.0179294232702181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000271657928336638,0,0,0,0,0,0,0,0,0,0,0.000597647442340605,0,0,0,0,0.000325989514003966,0,0,0,0.00565048490940208,0,0.358479802233028,0.000203743446252479,0,0.0289044035750183,0,0,0,0,0,0,0.10165439678357,0,0,0.00162994757001983,0,0,0,0,0,0,0,0.004849094020809,0,0,5.43315856673277e-05,0,0,0,0,0,0.000869305370677243,0
0,0,0,0,0.00307489567318252,9.41294593831383e-05,0.000376517837532553,0,0,0,0,0,0,0,0.00194534216058486,0,0.00432995513162436,0.000690282702143014,0,0,0,0.0287094851118572,0,0,0,0.251090332904521,0,0,0.0024473659439616,6.27529729220922e-05,0,0,0,0.00476922594207901,0,0,0.0012236829719808,0,0,0,0,0,0,0,0,0,0,0.000690282702143014,0.000125505945844184,0,0,0,0,0.000627529729220922,0,0,0,0,0,0.0216497756581218,0,0,0,6.27529729220922e-05,0,0,0.029933168083838,0,0,0,0,0,0.000251011891688369,0,0,4.70647296915691e-05,0,0,0,0.00853440431740454,0,0.0064008032380534,0.00188258918766277,0,0,0,0,0,0,0,0,0.0135546421511719,0.000313764864610461,0,0,0.000988359323522952,0,0,0,0,0,0,0.00056477675629883,0,0,0,0,0.0224028113331869,0,0.00332590756487089,0,0,0,0,0,0.000141194189074707,0,0.000125505945844184,0.00514574377961156,0,0,0,0,0.000251011891688369,0,0,0,0,0,0,0,0,0,0,0,0,0.00677732107558596,0,0,0,0.00541244391453045,0,0,0,0,0.00644786796774497,0.00282388378149415,0,0,0.0015688243230523,0.000800100404756675,0,6.27529729220922e-05,0,0,0,0,0,0,0,0,0,0,0.0328198048382542,0,0,0,0,0,0,0.000235323648457846,0,0,0,0,0.000188258918766277,0.000941294593831383,0,0.0586740296821562,0.000125505945844184,0,0,0,0,0.00332590756487089,0,0,0,0,0,0,0.0219321640362712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032004016190267,0.00188258918766277,0,0,0.000439270810454645,0.000282388378149415,0,0,0,0,0,0.0211791283612061,0,0.000941294593831383,0,0.00418876094254965,0.00188258918766277,0,0,0,0,0,0,0,0,0,0,0,0.11157478585548,0,0,0.00150607135013021,0,0,0,0,0,0,0,0.000439270810454645,0.000329453107840984,0,0,0,0,0,0,0.00276113080857206,0,0,0.00141194189074707,0.000470647296915691,0,0,0,0.000658906215681968,0,0,6.27529729220922e-05,0,0,0,0,0.000627529729220922,0.0064008032380534,0,0,0.0183238680932509,0,0.00338866053779298,0,0,0,0,0.194345957139719,0,0,0.0267327664648113,0,0,0,0.000376517837532553,0,0,0.00972671080292429,0,0,0,0,0,0,0.0177904678234131,0,0,0.0111072762072103,0
0,0,0,0,0,0,0,0.00171703296703297,0,0,0,0,0,0.0653617216117216,0.00766941391941392,0,0,0,0,0,0,0.00858516483516484,0,0,0,0.145604395604396,0,0,0.00469322344322344,0,0.000257554945054945,0,0,0.00835622710622711,0,0,0.00103021978021978,0.0016025641025641,0.000114468864468864,0,0,0,0,0.0136217948717949,0,0.00180288461538462,0,0,0,0,8.58516483516484e-05,0,0,0,0,0,0,0,0,0.00206043956043956,0,0.00995879120879121,0,0,0,0,0.000171703296703297,0,0,0.00366300366300366,0.00111607142857143,0,0,0,0,0,0,0,0,0.00469322344322344,0,0,0,0,0.0016025641025641,0,0,0,0,0.0167124542124542,0.00120192307692308,0,0.000228937728937729,0,0,0,0,0,0.00434981684981685,0,0,0,0,0,0.000343406593406593,0,0.0391483516483516,0.066735347985348,0,0,0,0,0,0.00183150183150183,0,0,0,0,0.00228937728937729,0,0,0,0,0.000114468864468864,0.0086996336996337,0,0,0,0,0,0.000600961538461538,0.0223214285714286,0,0.000114468864468864,0,0,0.0479052197802198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000772664835164835,0.00154532967032967,0,0,0,0,0,0,0,0.000801282051282051,0,0,0,0.0234661172161172,0,0,0,0,0,0,8.58516483516484e-05,0,0.000572344322344322,0,0,0,0,0,0.00446428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.00120192307692308,0.000114468864468864,0,0,0,0,0,0,0.000228937728937729,0,0,0,0.000114468864468864,0,0,0,0,0.000114468864468864,0.00114468864468864,0,0,0.00206043956043956,0,0.000343406593406593,0,0.00978708791208791,0,0.000114468864468864,0.0016025641025641,0,0,0,0,0,0,0,0,0.00217490842490842,0,0.00858516483516484,0,0,0.028731684981685,0,0,0.000171703296703297,0,0,0.00297619047619048,0,0,0.0258699633699634,0,0,0,0,0,0,0,0.0153674450549451,0.000171703296703297,0.000572344322344322,0,0.00103021978021978,0,0,0.000114468864468864,0,0,0,0,0.000801282051282051,0.000686813186813187,0.000114468864468864,0,0,0,0,0.0139652014652015,0,0,0.0647893772893773,0,0,0,0,0,0.000228937728937729,0.264194139194139,0,0,0.00503663003663004,0,0,0,0,0,0.000343406593406593,0,0,0,0,0,0,0,0.015625,0,0,0.0035485347985348,0
0,0,0,0,0,0,0.00014066016504126,0.00253188297074269,0.193642160540135,0,0,0,0,0.00309452363090773,0,0,0,0,0,0,0,0.00225056264066016,0,0.000937734433608402,0,0.234691485371343,0,0,0.000281320330082521,0,0,0,0,0.0125656414103526,0,0,0.00126594148537134,0,0,0,0,0,0.0382595648912228,0.0014066016504126,0,0.0174418604651163,0,0,0,0,0,0,0,0,0,7.03300825206302e-05,0,0,0,0.00506376594148537,0,0.0021099024756189,0,0.000281320330082521,0.00271942985746437,0.00119561140285071,0.0348837209302326,0,0,0.00487621905476369,0.000703300825206302,0,0,0.00346961740435109,0,0,0,0,0,0.00600150037509377,0,0,0,0,0.0014066016504126,7.03300825206302e-05,0,0,0,0.00103150787696924,0.000351650412603151,0.000421980495123781,0,0,0,0,0,0,0.00515753938484621,0,0.00105495123780945,0,0,0,0.000562640660165041,0,0.0295386346586647,0.076894223555889,0,0.00421980495123781,0,0,0,0.00393848462115529,0,0,0,0,0,0,0,0,0,9.37734433608402e-05,0.0100337584396099,0.00787696924231058,0,0,0.000656414103525881,0,0,0.0142066766691673,0,0,0,0,0.00154726181545386,9.37734433608402e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00112528132033008,0,0,0.000468867216804201,9.37734433608402e-05,0,0,0,0.0177231807951988,0.00168792198049512,0,0,0,0.0229744936234058,0,0,0,0,0,0,0.000351650412603151,0,9.37734433608402e-05,0,0,0,0,0.0014066016504126,0.0171605401350338,0,0,0,0,0.000281320330082521,0,0,0,0,0,0,0,0.0120967741935484,0.00018754688672168,0,0,0,0,0,0,0,0,0,0,0.00281320330082521,0,0.000492310577644411,0,0,0.00018754688672168,0.000375093773443361,0,0,0,0,0.000468867216804201,0,0.0174418604651163,0.00243810952738185,0,0.000937734433608402,0,0.0081582895723931,0,0.00234433608402101,0,0.00147693173293323,0,0,0.00675168792198049,0,0,0,0,0.0370405101275319,0,0,0,0,0,0,0,0.0128000750187547,0,0,0,0.0021099024756189,0,0,0,0,0,0,0,0,0,0.0037274943735934,0.00379782445611403,0,0.00112528132033008,0.00112528132033008,0,0,0,0.000750187546886722,0,0,0,0,0.000281320330082521,0.00206301575393848,0,0,0.0086271567891973,0,0,0,0,0,0,0.0456676669167292,0,0,0.0090960240060015,0,0,0,0,0,0,0.000562640660165041,0,0,0,0,0.00318829707426857,0,0.00168792198049512,0,0,0.00918979744936234,0.00858027006751688
0,0,0,0,0,0,0,0,0,0,0,0,0.000205317729185915,0,0,0,0,0,0.000205317729185915,0,0,0,0,0,0,0.180012319063751,0,0,0.00472230777127605,0.00246381275023098,0,0,0,0.00184785956267324,0,0,0.0104712041884817,0,0,0,0,0,0,0,0,0.000769941484447182,0,0,0,0,0.000307976593778873,0,0,0,0.000205317729185915,0,0,0,0,0,0,0,0,0,0,0,0.0197105020018479,0,0,0.0141669233138281,0.000461964890668309,0,0,0,0,0,0,0,0,0.00205317729185915,0,0,0.000205317729185915,0,0,0.00107791807822605,0.0425007699414844,0,0,0,0,0.000307976593778873,0,0,0,0,0,0,0,0,0,0.00585155528179858,0,0,0,0,0,0.0324402012113746,0,0,0,0,0,0.000205317729185915,0,0,0,0,0.0026691304794169,0,0,0,0,0.000205317729185915,0.00102658864592958,0,0,0,0,0,0.00138589467200493,0.0434246997228211,0,0,0,0,0.453957499230059,0,0,0,0.027871881736988,0,0,0,0,0,0.00215583615645211,0,0,0,0.000153988296889436,0,0,0.00184785956267324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205317729185915,0,0,0,0,0.00184785956267324,0,0,0,0,0,0,0.000205317729185915,0,0,0,0,0,0,0.000307976593778873,0.000205317729185915,0,0,0,0,0,0,0,0.000153988296889436,0,0,0,0,0.00123190637511549,0.00153988296889436,0,0,0.000615953187557746,0,0,0,0,0.000205317729185915,0,0,0,0.000205317729185915,0,0.000461964890668309,0,0,0,0,0,0,0,0.000205317729185915,0,0.00415768401601478,0,0,0.0490709372754337,0,0,0,0,0,0.00041063545837183,0,0,0,0,0.000205317729185915,0,0,0,0,0,0,0,0,0,0,0.00246381275023098,0.0132429935324915,0,0,0,0,0,0.000205317729185915,0.000821270916743661,0,0.000153988296889436,0,0,0,0.0283338466276563,0,0,0.0295657530027718,0,0,0,0,0,0.000205317729185915,0.00164254183348732,0,0,0.00349040139616056,0,0,0.000153988296889436,0,0,0.000205317729185915,0,0,0,0,0,0,0,0.00153988296889436,0,0,0.00184785956267324,0
0,0,0,0.000481927710843373,0,0,0,0,0,0,0,0,0,0,0.0149397590361446,0,0,0,0,0,0.000271084337349398,0,0.000120481927710843,0,0,0.0547590361445783,0,0,0,0,0,0,0.000120481927710843,0,0,0,0,0,0,0,0,0,0,0.00698795180722892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534939759036145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953012048192771,0,0,0,0,0,0,0,0,0,0,0.000120481927710843,0,0,0,0,0.0027710843373494,0,0,0,0,0,0,0,0,0,0,0,9.03614457831325e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000481927710843373,0,0,0.00325301204819277,0,0,0,0,0.000120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00349397590361446,0,0,0,0.000481927710843373,0,0,0,0,0,0,0,0,0,0,0,9.03614457831325e-05,0,0,0,0,0,0,0,0,0,0,0.000180722891566265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000993975903614458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00036144578313253,0,0,0,0,0.00469879518072289,0,0,0.440602409638554,0,0,0,0,0,0,0.313373493975904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120481927710843,0
0,0,0,0,0.0040527544992444,0,0.000103036131336722,0.00844896276961121,0,0,0,0.00123643357604066,0,0,0,0,0,0,0,0,0.00850048083527957,0.00175161423272428,0,0.000137381508448963,0,0.0753194120071438,0,0,0.00721252919357055,0.0161423272427531,0.00443055364747905,0,0,0,0,0,0,0.0256216513257316,0,0,0,0,0,0.0107157576590191,0,0.0297774419563127,0,0.000549526033795851,0,0,0.000360626459678527,0,0,0.000206072262673444,0.00206072262673444,5.1518065668361e-05,0,0,0,0.000755598296469295,0,0,6.86907542244814e-05,0,0.00604478637175436,0,0.00051518065668361,0,0,0.001854650364061,0.000721252919357054,0,0,0,0,0,0,0,0.00123643357604066,0,0,0,0.000343453771122407,6.86907542244814e-05,0.00048083527957137,0,0,0,0,0.00721252919357055,0,0.00144250583871411,0,0,0,0,0,0,0,0,0.000463662591015249,0,0,0.000206072262673444,0,0.000103036131336722,0.0200920456106608,0.12384942986674,0,0.000274763016897926,0,0,0,0.00302239318587718,0,0,0.000103036131336722,0.000206072262673444,0.00961670559142739,0,0,0.00844896276961121,0,6.86907542244814e-05,0,0,0,0,0.000137381508448963,0,0.00618216788020332,0.0207102623986811,0,0,6.86907542244814e-05,0,0.0929385904657233,0,0,0,0,0,0,0,0,0,0.000412144525346888,0.000274763016897926,0,0,0.000875807116362138,0.00566698722351971,0,0.000137381508448963,6.86907542244814e-05,0,0,0,0,0.00322846544855063,0,0,0,0.0303613133672208,0,0,0,0,0,0.00137381508448963,5.1518065668361e-05,0,0,0,0,0.00149402390438247,0,0.00364060997389751,0.00721252919357055,0,0,0,0,0.000618216788020332,0.000206072262673444,0,0,0,0.00048083527957137,0.000686907542244814,0,0.00329715620277511,0,0,0,0,0,0.000412144525346888,6.86907542244814e-05,0,0,0,0,0.00171726885561203,0.0329028712735266,0.000103036131336722,0.000206072262673444,0,0,0.000549526033795851,0,0.00731556532490727,0.00116774282181618,0.00103036131336722,0.00103036131336722,0,0.00680038466822366,0.00171726885561203,0,0.00048083527957137,0.00437903558181069,0.000721252919357054,0,0,0,0,0.0965448550625086,0,0,0,0.00484269817282594,0.000721252919357054,0,0.000137381508448963,0,0,0.000206072262673444,0,0,0.000206072262673444,0.000412144525346888,0,0,0.00302239318587718,0,0.000103036131336722,0,0,0,0,0,0.00113339744470394,0.000343453771122407,6.86907542244814e-05,0.000343453771122407,5.1518065668361e-05,0,0,0.000343453771122407,0.00123643357604066,0,0,0,0.000343453771122407,0,0,0.00370930072812199,0,0.000343453771122407,0.00267893941475477,0.00850048083527957,0.00175161423272428,0.00453358977881577,0,0.000961670559142739,0,0,0,0,0.139442231075697,0.000103036131336722,0.0725374364610523,0.0106470669047946,0,0,0,0,0,0,0.00439620827036681,0,0,0,0,0,0,0,0.010990520675917,0,0.00473966204148922,0
0,0,0,0,0,0,0.00233668596972468,0.00121914050594331,0,0,0.000965152900538454,0.000101595042161942,0,0.000135460056215923,0.0031833113210742,0,0,0,0,0,0.000355582647566799,0.000609570252971655,0,0.000677300281079617,0,0.0514578888550239,0,0,0.00257374106810254,0,0.010616681905923,0,0,0.00907582376646686,0,0.00187950827999594,0.00487656202377324,0.000677300281079617,0.000948220393511463,0,0,0,0,0.00115141047783535,0,0.000558772731890684,0.000203190084323885,0.00040638016864777,6.77300281079617e-05,0,0,0,0,0,0,0,0,0,0,6.77300281079617e-05,0,0.000101595042161942,0.00115141047783535,0,0.000135460056215923,0,0.00121914050594331,0,0,0,0.000507975210809712,0,0,0.000338650140539808,0,0,0,0,0,0.00162552067459108,0,0,0,0,0.000745030309187578,0,0.0156456364929391,0,6.77300281079617e-05,0.00982085407565444,0,0.0014223305902672,0,0,0.00298012123675031,0,0,0,0.00961766399133056,0,0,0,0,0,0.000203190084323885,0,0.0213349588540079,0.0172034271394223,0,0.000880490365403502,0,0.021233363811846,0,0.00616343255782451,0,0,0,0.00040638016864777,0.00121914050594331,0,0,0.000914355379457483,0,6.77300281079617e-05,0.065291747096075,0,0,0,0.00101595042161942,0,0.000711165295133598,0.0365742151782993,0,0,0,0,0.0595346947068983,0,0,0,0.00243828101188662,0,0,0,0,0,0,0.00162552067459108,0,0,0.000203190084323885,0.000914355379457483,0,0.00298012123675031,6.77300281079617e-05,0,0,0,0.00474110196755732,0.0135460056215923,0.000558772731890684,0,0,0.0375224355718108,0,0,0,0,0,0,0,0,0.000135460056215923,0,0.000880490365403502,0,0,6.77300281079617e-05,0.000135460056215923,0.00081276033729554,0,0,0,0,0,0,0.000101595042161942,0.0187612177859054,0.00243828101188662,0,0,0.00467337193944936,0.000541840224863693,0,0.000270920112431847,0,0,0.00040638016864777,0,0,0.0214873514172508,0,0,0,0.148328761556436,0.000507975210809712,0,0,0,0.00203190084323885,0,0,0.000203190084323885,0.00135460056215923,0.000270920112431847,0,0.00538453723458295,0.00040638016864777,0,0.000135460056215923,0,0.00193030580107691,0,0,0,0.000152392563242914,0,0,0.00189644078702293,0.000270920112431847,0.0187442852788784,0,0,0.0470046395069254,0,0.000304785126485827,0,0,0,0,0,0,0.0184902976734735,0,0,0,0,0,0,0,0.000152392563242914,0.000609570252971655,0.00128687053405127,0.00298012123675031,0,0.000152392563242914,0,0.0014223305902672,0.00128687053405127,6.77300281079617e-05,0.000457177689728741,0.000914355379457483,0,0.00121914050594331,0,0.000355582647566799,0,0,0,0.00331877137729012,0,0.00660367774052626,0.0514070913339429,0,0,0,0,0,0.0014223305902672,0.174337092349893,0,0,0.00399607165836974,0,0,0,0,0.000541840224863693,0.000270920112431847,0.00209963087134681,0,0,0,0,0.00629889261404044,0.000253987605404856,0,0.00040638016864777,0,0.000135460056215923,0.0029970537437773
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000421674045962471,0,0,0,0,0,0,0,0,0,0,0.0328905755850727,0,0,0,0.00674678473539954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019291587602783,0,0,0,0,0,0,0,0,0,0,0.000632511068943707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371073160446974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253004427577483,0,0,0,0,0,0.14505587181109,0,0,0,0,0,0,0,0,0,0,0,0.000421674045962471,0,0,0,0,0.00801180687328695,0,0,0,0,0,0,0.0442757748260595,0,0,0,0,0.00189753320683112,0,0,0,0.000316255534471853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00379506641366224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354206198608476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043854100780097,0,0,0,0,0,0,0,0,0,0,0,0.0221378874130297,0,0,0.0265654648956357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0974067046173308,0,0,0,0,0,0,0,0,0,0.46932321315623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189753320683112,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4.3415968393175e-05,0,0.00147614292536795,0,0.00169322276733383,4.3415968393175e-05,0,4.3415968393175e-05,0,0.00423305691833456,0,0,0,0.145584596014414,0,0,0.00043415968393175,0.00369035731341988,0,0,0,0.0126340468024139,0,0,0.00462380063387314,0,0,0,0,0,0,0,0,0.0248773498892893,0,0,0,0,0.000162809881474406,0,0,0,0.000130247905179525,0,0,0,0,0.00542699604914688,0,0,0,0,0,0,0.0067728910693353,0,0,0.00681630703772848,0.00123735509920549,0,0,0.00408110102895845,0,3.25619762948813e-05,0,0,0,0.00594798766986498,0,0,0,0,0,0.0005209916207181,0.013155038423132,0,0,0,0,0.00169322276733383,0.00581773976468545,0,0,0.00133504102809013,0,0,0,0,0,0.00201884253028264,0,0,0,0,0,0.124560413320019,0,0,0,0,0.0003473277471454,0.0528806495028872,0,0.00026049581035905,0,0,0.0162375721790475,4.3415968393175e-05,0,0,0.00195371857769288,4.3415968393175e-05,0,0,0,0,0,0,0.000325619762948813,0.0005209916207181,0,0,0,0,0.00377718925020623,0,0,0,0.00026049581035905,0,8.683193678635e-05,0,0,0,0.000846611383666913,0,0,0.000130247905179525,0,0,4.3415968393175e-05,0,4.3415968393175e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.3415968393175e-05,0,0,0.000162809881474406,0.000325619762948813,4.3415968393175e-05,0,0,0,0,0.0071202188164807,0.0076412104371988,0,0,0,0,0,0,0,0,0,0,0,0,0.005209916207181,4.3415968393175e-05,0.0010419832414362,0,0,0,0,0,0,0,0,0,0.0113315677506187,0,0.00211652845916728,6.51239525897625e-05,0,0,0,3.25619762948813e-05,0,0,0,0,0,0.0169322276733383,0,0.00894368948899405,0,0.00862892371814353,0,0,0,0,0,0,0.011418399687405,0.0053835800807537,0,0.00924760126774628,0,0,0.18295489080884,0,0,0,0,0,0.00247471019841098,0,0,0,0,0.00182347067251335,0.00237702426952633,0,0,0,0,0,0,0,0,0,0.00227933834064169,6.51239525897625e-05,0,0.00043415968393175,0.0076412104371988,0,0,0,0.00060782355750445,0,3.25619762948813e-05,0,0,0,0.0003473277471454,0,0.000976859288846438,0.0036469413450267,4.3415968393175e-05,0.000303911778752225,0,0,0,0,0.134676333955629,0,0.000195371857769288,0.0286545391394955,0.000130247905179525,0.026049581035905,0,0,0,0,0.00234446229323145,0,0,0,0,0.0123735509920549,0,0.0098988407936439,0,0,0.027048148308948,0
