"Unc00re8","Unc018j2","Unc58370","GV2Pseu5","Unc003tx","Unc56563","F1NS1036","Unc05ssb","Unc04zvf","Unc59236","UncCl489","Unc010jp","Unc36521","UncO7791","Unc00a9i","Unc01w4h","Unc00mrp","UncO6496","Unc40572","Unc02lzj","UncO6120","Unc02f9r","G9KS1076","GF3Sang7","Unc03dvp","Unc05bd1","Unc03f5u","Unc04ri8","UncB2490","Unc055ix","Unc69508","Unc39912","Unc01p12","Unc015db","UncO7042","UncO6861","GWMAdo11","Unc052sp","Unc0137f","Unc01n5f","Unc00ldp","Unc03u8h","GG7Cop16","Unc94574","Unc04y3m","Unc00z5u","Unc021us","Unc03exo","Unc02o1s","GHQBrach","UncTer61","HQ1Spe60","Unc013ok","Unc71265","Unc01iri","H9MBac20","Unc019hw","Unc05quh","H0LCorp2","Unc053aw","Unc057li","Unc05768","Unc05quo","Unc01bfz","Gt8Me241","Unc21180","Unc002el","Unc00cq3","GV2Spe54","Unc054am","Unc02ruj","Gt8Me197","Unc57731","Unc01nqn","Unc99918","Unc89581","Unc0317w","UncAna95","Mx8Bact3","Unc94755","Unc02j5b","Unc57758","Unc056wq","Unc21606","Unc01t8m","FNWNL294","Unc056qn","F1NAe698","FU3Spe44","Unc91094","Unc00kv7","S53Therm","Unc01ie9","Unc04hvv","Unc44355","H0BCorr7","UncO2214","Unc03rga","Unc052lg","RbuSp395","Unc024ne","FNWNL411","Unc05eti","Unc02m8q","Unc04shn","HJZIndis","Unc022vh","Unc054vi","Gt8Me128","Unc052dz","VeeSpec9","HFOSpec6","Unc02mlm","Unc02q6j","Unc006la","Unc0100q","GFQLact9","Unc94497","Unc01c0q","Unc19563","IreBac57","Unc99751","Unc002vf","UncSta97","UncC1868","Unc05m2s","UncO2247","Unc03iyy","Unc05m8w","Unc01220","UncO6479","Unc053gf","Unc55486","Unid1952","Unc75688","G9ZRupe2","Unc050mf","UncO4779","LcbSak39","Unc02j2d","UncO6361","Unc056wt","Unc025rd","Unc038bu","CsrSp463","Unc91193","UncO6106","Unc38154","Unc031wu","Unc029p5","Unc02hhf","Unc02p9p","Unid2117","Unc00v7p","Unc0402j","Unc02v3h","Unc03xpn","Unc054uj","Unc91427","Unc01c0o","ISXSp105","GHQLimo9","Unc81011","Unc01pk4","Unc00mga","GFUMa342","Unc55881","Unc00bms","UncE6774","Rm0Bac17","Unc05oic","FNWNL448","GX7Fr128","GHQSulci","GHQSpe52","Unc036lf","Unc05i7p","Unc65343","Unc04zq9","Unc027v0","Unc01i5a","Unc39082","Unc62424","Unc00ak4","Unc71175","Unc01w9w","Unc04zlo","Unc01hjq","Unc03u2r","SlmBulb2","Unc05m27","Unc48286","Unc02jcp","Unc92642","Unc02j5n","F8IConc2","I88Mits3","Unc05irm","Unc64978","UncO1674","Unc03b0p","Unc04hf4","Gt8Met60","Unc05mrd","Unc04f12","Unc054m4","Unc03j0p","Unc025cz","I97Lenta","UncGranu","Unc02zd0","Unc02irl","Unc02lj0","Unc010xg","Unc03y4v","H9MBac19","Unide146","Unc05o9h","Unc91512","UncO9844","Unc84292","Unc91440","Unc01ll8","UncM5880","I1FDiver","Unc00t43","Unc81236","Unc00f0g","Unc36622","Unc05d9k","Unc01w0v","Rm0Bac15","I52Minu3","Unc91005","CsrNeon2","Unc93973","Unc03uw6","A6BStoq4","Unc0120x","Unc01277","Unc05mei","Unc04443","Unc00m3k","Unc05olb","Unc0163x","Unc02mpn","Unc86145","Unc02ysz","Unc81447","Unc05mdx","UncO8782","G7WHuG28","Unc38399","HfnAlv51","Unc01e6u","Unc019wl","Unc85953","Unc57013","Unc04x9p","Unc02ee9","Unc97262","Unc03evh","Unc01f0v","H4SFili3","UncCl291","GJFBac89","Unc60150","Unc0571u","Unc058de","UncG3786","Gt8Met45","Unc01qt1","UncO8895","Unc01nzf","Unc0195f","Unc00xi0","GW6Spe33","HQVSpec3","Unc01w4o","Unc64172","Unc022fm","Unc04zd2","Unc00y95","UncO5332","Unc0033e","H6ZCacca","HQDYunn7","GH8Micro","Od8Spla3","Unc057b2","Unc055sp","UncOr772","Unc0183e","Unc0546e","Unc05nru","Unc00rvu","Unc03433","Unc009tj","Unc02eb1","Unc01505","UncRumi6"
0,0,0,0,0,0,0.00285051017653728,0.00142525508826864,0,0,0,0,0,0.0257841602332236,0.000388705933164174,0,0,0,0,0,0.0132267991146143,0.00596015764185067,0,0.000561464125681585,0,0.000302326836905469,0,0,0.00138206554013929,0.0056578308049452,0.0852561680073422,0,0,0,0,0,0.00241861469524375,0.0156346164228257,0,0,0,0.00103654915510446,0,0.00272094153214922,0,0.0107326027101441,0,0,0,0,7.55817092263672e-05,0,0,0.000345516385034822,0.0112292825136317,0,0,0,0,0.0215947740646763,0,0,0,0,0,0,0.0318738865194623,0,0.00107973870323382,0,0.0129244722777088,8.63790962587054e-05,0.000129568644388058,0,0,0.0153430869729525,0,0,4.31895481293527e-05,0,0,0,0.0206877935539599,0,0.0708308589321384,0,0,0,0,0.00444852345732333,0,0.00906980510716407,0.00436214436106462,0,0,7.55817092263672e-05,0,0,0,0,0,8.63790962587054e-05,0,0,0.00224585650272634,0,0,0.0672461264374021,0,0,0,0,0,0,0,0,0,0,0.0133887599200993,0.000388705933164174,0,0,0,4.31895481293527e-05,0.0111860929655023,0,0,0,0,0,0,0,0,0,4.31895481293527e-05,0.00408141229822383,0.0016412028289154,0,0,0,0.00294768665982832,0,0,0,0,0,0,0.000129568644388058,0,0,0,0,0,0,0.00440533390919398,0,0,0,0,0.000734222318198996,0,0.000604653673810938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103654915510446,0.00362792204286563,0.0598175241591535,0,0,0,0,0,0,0,0.000172758192517411,0.000129568644388058,0,8.63790962587054e-05,0,0.0462128164984074,0,0,0,0.000226745127679102,0.000604653673810938,0,0,0,0,0,4.31895481293527e-05,0,0,0,0.000259137288776116,0,0,0,0.000151163418452734,0,0,0,0,0,0.0181396102143281,0.0056578308049452,0.0163256491928953,0,0.0671165577930141,0,0,0,0,0,0.00233223559898505,0,0.0088538573665173,0,0,0,0,0.00505317713113427,0,0,0,0,4.31895481293527e-05,0,0.000906980510716407,0,0,0,0,0,0,0,0,0,0,0,0.0024618042433731,0,0.00380068023538304,0.000226745127679102,0,0,0,0,0,0,0,0,0,0,0,0,0.000950170058845759,0.000561464125681585,0.000377908546131836,0.0183123684068455,0,0,0.0039302488797711,0.000453490255358203,0,0,0,0.18217351400961,0,0.00112292825136317,0.0311828537493926,0,0,0.00181396102143281,8.63790962587054e-05,0,0,0.00462128164984074,0,0,0,0,0,0,0.00742860227824866,0,4.31895481293527e-05,0.014943583652756,0
0.000183686054292349,0.00272904994948633,0,5.24817297978141e-05,0,0,0.000104963459595628,0,0,0,0,0,0,0,0.00619284411614207,0,0,0,0,0,0,0.00209926919191257,0,0.000157445189393442,0,0.0014694884343388,0,0,0.000209926919191257,0.000262408648989071,0,0,0,0.00141700670454098,0,0,0,0,0,0,0,0,0,0,0,9.18430271461747e-05,0,0,0,0,0,0,0,0,0,0,0.000104963459595628,0,0,0,0,0,0,0,0,0,0.0255061206817377,0,0.000157445189393442,0.00614036238634425,0,0,0,0,0,0,0,0,0,0.00341131243685792,0,0.000314890378786885,0.00498576433079234,0,0,0,0.00703255179290709,0,5.24817297978141e-05,0,0,0.000209926919191257,0.00257160476009289,0,0,0.00128580238004645,0,0,5.24817297978141e-05,0,0,0.000104963459595628,0.000524817297978141,0,0,0,0,0.300300457903093,0,0,0,0,0,0.00162693362373224,0,0,0,0,0,5.24817297978141e-05,0,0,0,5.24817297978141e-05,0,0,0.0181586785100437,0,0,0,0,0.174869123686317,0,5.24817297978141e-05,0,0,0.000314890378786885,0,0,0,0.00183686054292349,0,0,0,0,0,0,0,0,0,0.000642901190023223,0,0,0.000209926919191257,5.24817297978141e-05,0.00284713384153142,0,0,0,5.24817297978141e-05,0,0,0,0,0,0,0,0.00183686054292349,0,0.000157445189393442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18430271461747e-05,0.00671766141412021,5.24817297978141e-05,5.24817297978141e-05,0,0,0,5.24817297978141e-05,0,0,0,0,0,5.24817297978141e-05,0.0762559533962239,0.0140519831533647,0,0,5.24817297978141e-05,5.24817297978141e-05,0,0,0,0,0,9.18430271461747e-05,0,0,0,0,0,0.00104963459595628,0,0,0,0,0,0,0,0.000104963459595628,0,0,0,0.0106013094191585,0,0,0,0,0,0.000157445189393442,0,0,0,0,0.00488080087119671,0.00229607567865437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209926919191257,0,0,0,0,0,0.170093286274716,0,0,0.00131204324494535,0,0,0,0,0,0,0.133461038875841,0,0,0.00267656821968852,0,0,0,0,0.000262408648989071,0,0,0,0,0,0,0.00188934227272131,0,0.00293897686867759,0,0,5.24817297978141e-05,0
0,0,0,0,0,0,0.000166475913016335,0.000499427739049006,0,8.32379565081677e-05,0.000145666423889294,0,0,0,0.00174799708667152,0,0,0.000166475913016335,8.32379565081677e-05,0,0.000728332119446468,0.00566018104255541,0,0.000249713869524503,0,0.484340859431901,0,0,0.0023306627822287,8.32379565081677e-05,0.00335032774945375,0,0,0.0112371241286026,0,0,0.000832379565081677,0.0173967329102071,0,0,0,0,0,0.000832379565081677,8.32379565081677e-05,0.0355426074289876,0,0.000166475913016335,0,0,0.000291332847778587,0,0,0,0,0,0,0,0,0.00549370512953907,0,0,0,8.32379565081677e-05,0,0,0.00699198834668609,0,0.00074914160857351,0,0.00131099781500364,0,8.32379565081677e-05,8.32379565081677e-05,0,0,0,0,8.32379565081677e-05,0.00682551243366975,0,0,0.000416189782540839,0,0,0,0,8.32379565081677e-05,0,0.00166475913016335,0,0.00199771095619603,0,0,0,0,0,0,0.0028300905212777,0,0,0,0,0,0,0,0.00249713869524503,0.0591821870773073,0,0.00183123504317969,0,0,0,0.0724170221621059,8.32379565081677e-05,0,0,0,0.0114868379981271,0,0,0,0,8.32379565081677e-05,0.0446987826448861,0,0,0,8.32379565081677e-05,0,0.000145666423889294,0.00382894599937572,0,0,0,0,0.00266361460826137,0,0,0,0.00276766205389658,0,0,0,0.0074914160857351,0,0.000166475913016335,8.32379565081677e-05,0,0,0.000582665695557174,0.0051607533035064,0,8.32379565081677e-05,0,0,0,0,0,0.000416189782540839,0,0,0.000249713869524503,0.0245551971699095,0,0,0,0,0,0,0.000145666423889294,0.000166475913016335,0,0,0.000249713869524503,0,0.000166475913016335,0.000499427739049006,0.00449484965144106,8.32379565081677e-05,0,0,0,0,8.32379565081677e-05,0,0,0.0105712204765373,0,0,0,0.0156487358235355,0.000332951826032671,0,0.00191447299968786,0,0,0,0,0,0,0,0,0.000998855478098013,0,0,0,0,0.000249713869524503,0.000332951826032671,0,0,0,0,0.000832379565081677,0.000145666423889294,0.0178129226927479,8.32379565081677e-05,0.0291332847778587,0,0,0.000166475913016335,0,0,0,0,0.000166475913016335,0,0.00699198834668609,0.000166475913016335,0.0119446467589221,0.000166475913016335,0,0.00765789199875143,0,0,0,0,0,0,0,0,0,0,0,0.000145666423889294,0,0,8.32379565081677e-05,0,0.000436999271667881,0,8.32379565081677e-05,0,8.32379565081677e-05,0,0,0,0,0.00241390073873686,0.00174799708667152,0,0,0.000249713869524503,8.32379565081677e-05,0,0,0,0.000166475913016335,0.000332951826032671,0,0.00299656643429404,0.0111538861720945,0,0.000249713869524503,0,0,0,0,0.0143169285194048,0,0,0.0156487358235355,0,0,0,0,0,0,0,0,0,8.32379565081677e-05,0,0.000416189782540839,0,0,0,0,0.0028300905212777,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236909033898896,0.000121938473330314,0,0,0,0,0,0.000975507786642511,0,0,0,0.0618228059784691,0,0,0.0006271121485559,0.000766470403790545,0.00060969236665157,0,0,0.00898860746263457,0,0,0.000557433020938578,0.0031355607427795,0,0,0,0,0,0,0,0.00451172351322161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018813364456677,0,0,0,0,0,0,0,0,0,0.00167229906281573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000365815419990942,0,0,0,0.00334459812563147,0.0035362157265791,0.000557433020938578,0.00383235201895272,0,0,0,0,0,0.0512838379263492,0,0,0,0,0,0,0,0,0.174058460788071,0,0,0,0,0,0.0111486604187716,0,0,0,0,0.00773438316552277,0,0,0,0,0.000139358255234644,0.0475908441626311,0,0,0,0,0,0,0,0,0,0,0,0.077204473399993,0,0,0,0.274239626519876,0,0,6.96791276173222e-05,0,0,0.000696791276173222,0,6.96791276173222e-05,6.96791276173222e-05,0,0,0,0.00452914329512594,0,0,0.00543497195415113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000418074765703933,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000975507786642511,0.000487753893321256,0,0,0,0.000139358255234644,0,0,0,0,0,0,0,6.96791276173222e-05,0.000731630839981883,0,0,6.96791276173222e-05,0,0,0,0,0,0.000209037382851967,0,0.0104518691425983,0,0.0203463052642581,0,0.00292652335992753,0,0,0,0,0,0,0,0.00397171027418737,0,0.0157300630596105,0,0,6.96791276173222e-05,0,0,0,0,0,0,0,0,0,0,0,0.000487753893321256,0.000278716510469289,0,0,0,0,0,0,0,0,0.000121938473330314,0,0,0,0,0.000853569313312197,0,0.000418074765703933,0.000139358255234644,0,0,0,0,0,0.00857053269693064,0,0,0,0,0.00139358255234644,0,0,0,0,0.137825314427063,0,0,0.0006271121485559,0,0,0,0,0.000278716510469289,0,0,0,0,0,0,0.00369299376371808,0,0.0338640560220186,0,0,0.000905828659025189,0
0,0,0,0,0,0,0,0.00136980437481272,0,0,0,0,0,0,0.0017122554685159,0,0,0,0,0,0,0.00513676640554771,0,0,0,0.421300458028338,0,0,0.00239715765592226,0,0.0146825906425239,0.00445186421814135,0,0.00565044304610248,0,0,0,0.0114721116390565,0,0,0,0,0.00119857882796113,0,0,0.0311630495269894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00821882624887633,0,0,0,0.00017122554685159,0,0,0.00479431531184453,0,0,0,0.00269680236291255,0,0,0,0,0,0,0,0,0.0034245109370318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00393818757758658,0,0,0,0,0,0,0.000299644706990283,0,0.00308205984332862,0,0.000513676640554771,0,0,0,0.0131843671075724,0,0,0,0,0.00770514960832156,0,0,0,0,0,0.088181156628569,0.000898934120970849,0,0,0.000342451093703181,0,0,0.024656478746629,0,0,0,0,0.00102735328110954,0,0,0.00017122554685159,0,0,0,0,0,0,0,0,0,0,0.00419502589786396,0,0,0.00017122554685159,0,0,0,0,0,0.00256838320277385,0,0,0,0.0335602071829117,0,0,0,0,0,0,0.000299644706990283,0,0,0,0,0,0,0,0.000513676640554771,0,0,0,0,0,0,0,0,0,0,0,0,0.0369847181199435,0,0,0,0,0,0,0,0,0,0,0,0,0.00017122554685159,0.000599289413980566,0,0,0,0,0.000299644706990283,0,0.000342451093703181,0,0.00154102992166431,0,0.00273960874962544,0,0,0,0,0.000342451093703181,0,0,0,0,0.00719147296776679,0,0,0,0.0278669577500963,0,0,0.00633534523350884,0,0,0.000342451093703181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000342451093703181,0,0,0,0,0,0,0.00017122554685159,0.00428063867128976,0.000299644706990283,0,0,0,0,0,0,0,0,0.000684902187406361,0,0,0.0035957364838834,0,0,0,0,0,0,0.133042249903686,0,0,0.0327040794486537,0,0,0,0,0,0.00239715765592226,0,0.0224733530242712,0,0,0,0.00205470656221908,0,0,0,0,0.00804760070202474,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103758657362974,0,0,0,0,0,0.000544732951155612,0.00166013851780758,0,0.000207517314725947,0,0.164146195948224,0,0,0.000311275972088921,0.00114134523099271,0.0782599673160229,0,0,0.0129698321703717,0,0,0.00747062333013411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000518793286814869,0.00134886254571866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000622551944177842,0,0.0139036600866385,0,0,0.00415034629451895,0,0.000207517314725947,0.000518793286814869,0,0.000311275972088921,0,0,0,0,0,0,0.00103758657362974,0,0,0,0,0,0.323000700370937,0,0,0,0,0,0.00290524240616326,0,0,0,0,0.00518793286814869,0.000103758657362974,0,0,0,0.000103758657362974,0.00778189930222303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217893180462245,0,0,0,0,0,0,0,0,0.00249020777671137,0,0,0,0,0,0,0,0.000103758657362974,0,0,0,0.000207517314725947,0,0,0,0,0,0,0.00363155300770408,0,0,0,0,0,0.000103758657362974,0,0,0,0,0,0,0.00664055407123032,0,0.000103758657362974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000311275972088921,0,0,0,0,0.000207517314725947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00199735415423724,0,0,0.00114134523099271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103758657362974,0,0,0,0,0,0.00083006925890379,0,0,0,0,0,0,0,0,0,0.00446162226660787,0,0.00332027703561516,0.0581048481232653,0.107909003657493,0,0,0,0,0,0.143498223132993,0,0,0.0310238385515291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000207517314725947,0,0,0.00290524240616326,0
0,0,0,0,0,0,0.00861625514403292,0,0,0,0,0,0,0.0304140946502058,0.000192901234567901,0,0,0,0,0,0,0,0.000192901234567901,0.000257201646090535,0,0.0049511316872428,0,0,0.000578703703703704,0,0,0,0,0.00360082304526749,0,0,0.000643004115226337,0,0,0,0,0,0,0.00861625514403292,0,0.141444830246914,0,0,0.000128600823045268,0,0,0,0,0,0,0,0,0,0,0,0,0.000257201646090535,0,0,0,0,0.0176183127572016,0,0.000321502057613169,0.00289351851851852,0.00855195473251029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125385802469136,0,0,0,0,0,0.000337577160493827,0,0.000321502057613169,0,0,0.000225051440329218,0,0,0,0,0,0,0,0,0,0,0.00385802469135802,0.0171039094650206,0,0,0,0,0,0.000771604938271605,6.43004115226338e-05,0,0,0,0.00392232510288066,0.000321502057613169,0,0,0,0.00977366255144033,0,0,0,0,0,0,0,0.00180041152263374,0,0,0,0,0.00141460905349794,0,0,0,0.00258809156378601,0,0,0,0,0,0,0,0,0,0.000562628600823045,0,0,0.000578703703703704,0,0,0,0,0,0.00790895061728395,0,0,0,0.0342078189300411,0,0,0,0,0,0,0,0,0.0141460905349794,0,0,0.0012377829218107,0,0,0.00180041152263374,0,0,0,0,0,0,0,0,0,0,0.000321502057613169,0,0.038451646090535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348829732510288,0,0,0,0.000771604938271605,0,0,0.0223122427983539,0,0,0,0.0141460905349794,0,0,0.000450102880658436,0,0.00205761316872428,0,0,0,0,0,0,0.00115740740740741,0,0.0185667438271605,0,0,0.000192901234567901,0,0,0,0,0,0,0,0.00578703703703704,0,0,0,0,0,0,0,0,0.00348829732510288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192901234567901,0,0,0.000385802469135802,0,0.150334362139918,0,0,0.00237911522633745,0,0.00135030864197531,0,0,0,0,0.36914866255144,0,0,0.0171039094650206,0,0,0,0.000257201646090535,6.43004115226338e-05,0,0,0,0,0,0,0,0,0,0,0,0.00282921810699588,0
0,0.000516615650871143,0.000103323130174229,0,0,0,0.000309969390522686,0,0,0,0.0005424464334147,0.000103323130174229,0,0,0.00392627894662069,0,0.0079558810234156,0,0,0.000206646260348457,0,0.0477352861404936,0,0.00242809355909437,0.000309969390522686,0.00551487207304945,0,0,0.0301703540108748,0,0.0288400687098816,0,0,0,0,0,0.000826585041393829,0.0117271752747749,0,0,0,0,0.000206646260348457,0.0010848928668294,0,0.0381520658168339,0,0,0,0,0,0,0,0,0.00175649321296189,9.04077389024501e-05,0,0,0,0,0,0,0,0,0.000309969390522686,0,0.0423624833714337,0,0,0,0.00515324111743965,0,0,0.000413292520696915,0,0,0,0,0,0,0,0,0,0,0.00454621772766606,0,0,0,0,0.0007232619112196,0.123768194557454,0.00588941841993103,0,0,0,0,0,0,0.000309969390522686,0,0,0.00733594224237023,0,0,0,0,0.0057860952897568,0.00909243545533212,0,0.0101773283221615,0.00063285417231715,0,0,0.00258307825435572,0,0,0,0,0.0190114559520581,5.16615650871143e-05,0,0,0,0.000154984695261343,0.00439123303240472,0.00081366965012205,0,0,0.000103323130174229,0.00883412762989655,0.00207937799475635,0.00175649321296189,0,5.16615650871143e-05,0,0,0,0,0,0,0.00171774703914655,0,0,0,0,0,0.00278972451470417,0,0,0,0,0,0,0,0,0.0032546786004882,0,0,0,0.00444289459749183,0,0,0,0.0258307825435572,0,0,0,0,0,0.000413292520696915,0,0,0,0,0,0,0,0,0.0201996719490617,0,0,0,0,0,0,0,0,0,0,0.000413292520696915,0,0.0174616089994446,0.000206646260348457,0,0,0,0,0,5.16615650871143e-05,0,0,0,0,0.000619938781045372,0,0.034354940782931,0.000413292520696915,0,0,0.000516615650871143,0,0,0,0,0.00170483164787477,0,0.0191147790822323,0,0.000154984695261343,0,0,0,0,0,0,0,0,0,0,0,0.00352590181719555,0,0,0.037506296253245,0,0,0.00185981634313612,0,0,0,0,0,0.00185981634313612,0,0,0,0,0.00103323130174229,0,0,0,0,0,0,0.000413292520696915,0.041587559895127,0.00423624833714337,0,0,0.00118821599700363,0.00153693156134165,0,0,0,0,0,0,0.00304803234013974,0.000826585041393829,0.0618905549743629,0,0.0116755137096878,0.0758391775478838,0.0003616309556098,0.000826585041393829,0,0,0,0.0010848928668294,0.0191147790822323,0,0.0823485347488602,0.0597724308057913,0,0,0,0,0.000154984695261343,0.00454621772766606,0.0021697857336588,0,0,0,0,0.000671600346132486,0,0.000619938781045372,0,0,0.00780089632815426,0
0,0,0,0,0,0,0.000774968516904001,0,0,0,0,0,0,0,0.01356194904582,0,0,0,0,0,0,0,0,0,0.000387484258452,0.0922212535115761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011237043495108,0,0.00813716942749201,0,0,0,0,0,0,0,0,0.000387484258452,0,0,0,0,0,0,0,0,0,0,0,0.035648551777584,0,0,0.00929962220284801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484355323065001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342536084471568,0,0,0,0,0,0.002324905550712,0,0,0,0,0.024798992540928,0,0,0,0,0.001549937033808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004746682166037,0.017824275888792,0,0,0,0,0,0,0.004649811101424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012786980528916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025767703187058,0,0,0,0,0,0,0,0,0,0,0,0,0.160030998740676,0.00193742129226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000387484258452,0,0,0,0,0,0,0,0,0,0.124769931221544,0,0,0.03487358326068,0,0,0,0,0,0,0.000387484258452,0,0,0,0,0,0,0,0,0,0,0,0.001549937033808,0,0,0,0,0,0,0,0.018986728664148,0
0,0,0,7.07927012724988e-05,0,0,0,0.000991097817814983,0,0.000389359856998743,0.000123887227226873,0,3.53963506362494e-05,0.00428295842698618,0.0866148700069023,6.19436136134365e-05,0.000424756207634993,0,0,0.000707927012724988,0.000433605295294055,0.000778719713997487,0,0.00113268322035998,0.000141585402544998,0.129462152452082,0,0,0.0090968621135161,0.0028671044015362,0.0567403500699078,0.0357503141426119,0,0.00396439127125993,0,0,0.00254853724580996,0.00396439127125993,7.07927012724988e-05,0,0,0,0,0.000637134311452489,0,0.00861016229226767,0,3.53963506362494e-05,0,0,0.000185830840840309,0,0,0.000106189051908748,7.07927012724988e-05,0.000123887227226873,0,0.000176981753181247,0,0.000778719713997487,0.000123887227226873,0.000637134311452489,3.53963506362494e-05,3.53963506362494e-05,0,0.000743323363361237,0.000920305116542484,0,0.000247774454453746,0.00523865989416491,0.000371661681680619,0,0,0.000176981753181247,0,0,0.000141585402544998,0,3.53963506362494e-05,3.53963506362494e-05,0,0.000141585402544998,0.0107958869440561,3.53963506362494e-05,3.53963506362494e-05,0.000123887227226873,0,3.53963506362494e-05,0.000176981753181247,0.00056634161017999,0.00439799656655399,0.00205298833690247,0.288055501477798,0,0,0.00117692865865529,0,3.53963506362494e-05,0.000530945259543741,0,0.000619436136134365,0,0.000743323363361237,3.53963506362494e-05,0.000106189051908748,0.000309718068067182,0.000353963506362494,0.156522662513495,0,0.00180521388244872,0,0,0.000247774454453746,0.0030086898040812,0,0.0059465869068899,0,0,0.00828274604888236,3.53963506362494e-05,0,0,0,7.07927012724988e-05,0.0027963117002637,0.00117692865865529,0.000495548908907492,0,0,0.000318567155726245,0.000929154204201547,0.00148664672672247,7.07927012724988e-05,0.000247774454453746,0,0,0.0237863476275596,0.000247774454453746,0,7.07927012724988e-05,0.00538909438436897,0,0,7.07927012724988e-05,0,0,0.000283170805089995,3.53963506362494e-05,0,0,0.000123887227226873,0.000778719713997487,0,0.000389359856998743,3.53963506362494e-05,0.000371661681680619,0,0,0.00056634161017999,0.000991097817814983,0,0.00120347592163248,0,7.07927012724988e-05,0,0,7.07927012724988e-05,0,0,0,0.000371661681680619,0.000991097817814983,0,3.53963506362494e-05,0,0,0.000353963506362494,0.000106189051908748,0.00435375112825868,0,0,0,0,0.000176981753181247,7.07927012724988e-05,0,0,0.000849512415269986,0,0,0.000743323363361237,0.00056634161017999,0,0,0,0,0,0.000176981753181247,0,0,0,0,0,0.000318567155726245,0,0.00210608286285684,0,0,0.000106189051908748,0.00155743942799497,0.0131320460860485,0,0,0.000743323363361237,0.000106189051908748,0.000123887227226873,0.00715006282852238,0.00155743942799497,0.0108666796453286,0,0.00557492522520928,0.00155743942799497,0,0,0,6.19436136134365e-05,0.000283170805089995,0,0.000814116064633736,0.000424756207634993,6.19436136134365e-05,7.07927012724988e-05,0.000318567155726245,0.00382280586871494,0,0,0.000778719713997487,0,3.53963506362494e-05,0.000247774454453746,0,0,0.0113622285542361,0,3.53963506362494e-05,0.00086721059058811,0,0,0,0,0.00284940622621808,7.07927012724988e-05,0.000353963506362494,0,0.000318567155726245,0.00105304143142842,0.000849512415269986,0,0.000106189051908748,0.000389359856998743,0.000123887227226873,0,0,0.000106189051908748,7.07927012724988e-05,0.000123887227226873,0,0,0.000176981753181247,0.00123887227226873,0,0.000495548908907492,0.00810576429570111,0,7.07927012724988e-05,0.000185830840840309,0,0.000460152558271242,0,0.000176981753181247,0.000123887227226873,0,0.00952161832115109,0,0,0.0020441392492434,0,0.000353963506362494,0.000247774454453746,0.000495548908907492,0.000557492522520928,7.07927012724988e-05,0,0,0.000389359856998743,0.00346884236235244,0.000353963506362494,0,0,0.00378740951807869,0
