,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Glcikman_MDR6,-5943.163755179895,-2542.904964387175,-2549.2745958736023,-3620.919578607566,11537.19643995973,1798.1316400649976,4652.485037892509,-449.7813150191837,-1442.0665628233037,-6379.819250155439,2502.3218025126594,-256.189660485842,333.3956130346991,-533.2599776939202,57.27651038103431,-2891.357328485635,946.1684626524708,4507.483308334109,-269.48564860251054,-2885.4637003584216,1001.3307673639588,107.24801385581195,-85.69370473758875,144.00953663220685,-242.2632445528017,81.42243560961161,-184.15451465266588,-111.57916519152718,147.1703730195584,-215.14680291423437
FEB016W1.01,4320.870821751636,-516.8208411697499,-2139.150243878866,9456.16388974283,3049.8899295050505,202.83706916641273,-2999.266302963208,3664.4668144971683,-3508.2661625390306,1092.309462127292,-1714.2456244414607,-7.759643714658765,-990.5598457281918,29.799270070948257,-1690.1111491879026,1195.6745015612555,225.97938653846634,147.30242514887505,-1985.87441318258,-228.3480834851482,-804.8220780827493,959.9323731580129,924.4140474688573,-245.82803822341316,-546.9020041887369,206.79780820539773,650.956056850158,416.66097011207137,792.0265878030841,-146.0305526564832
DEB01624.01,7076.191364942417,-615.9603701918326,-139.75897483738657,-630.1185716447949,-849.6136365997236,-227.00942372414383,1459.8914280826439,-3134.7781719246095,1659.6814244943316,2775.6816572493076,5825.724768562357,-2577.119583325681,7089.295646508474,10652.668593013552,-2260.0998058624914,877.7827688699177,417.9487912148322,1221.9918211029812,-332.84803232202444,692.5143772991279,-573.3304157789629,363.60740672303257,-798.7629308126667,-136.44333387180154,-168.9891992898525,-1293.9590299129138,-458.72129962584495,421.5718077992716,-45.573154353707864,113.95566218623728
Glcikman_MDR11,8267.11065196689,-726.4990709384671,-249.32821057435046,4061.920825225939,1901.8401336525649,-170.55078914833808,-3588.2464810673628,3665.826651846466,-700.823337734221,179.76172229752243,1900.5483040112135,-367.98314881605677,2116.1099988025258,-832.000319928691,803.3873112608097,310.9507403162575,-981.6516576813915,-88.0409179520916,-789.4468780924306,-1398.2283945750798,-913.3364966456262,-417.15697329651516,67.42861957039136,83.20132694041688,-58.74004644491246,-697.0021207228262,421.3839236914936,123.53534550155427,-98.13366307982268,-29.138060556273036
AEB016X3.01,880.856588008956,-58.33991911020567,-3443.2197078838853,-2268.3795802636223,-1708.1321192074438,4215.4960565621095,-1724.6023533428115,-1792.9887509395937,9150.573776666644,-4308.638526092526,-2069.889957422709,2885.5615613732166,-1616.8221305538814,868.6090760733904,3104.5166354086227,-1419.579814964603,-2636.39198262342,-204.99802861299133,-916.8076027845298,-1996.379498660592,-1301.3316557384649,3008.4642118114557,-967.387974260361,-513.6460006885109,-34.3926845544092,558.092614841003,-851.7963663281929,1721.455607748979,-111.79252762780312,313.0083484977581
Glcikman_MDR5,-3024.9464052756252,189.0409217551941,-2576.088929573532,-1066.3727805720205,-672.9688136039028,-5023.294609189976,-3784.669101934232,-2354.672397150913,7007.040467967024,11668.713630209173,-6904.044496424447,1855.2940655670084,-1377.0884857344595,-305.5936066510158,-123.01620014951692,-627.058819578656,-133.98350101970016,4861.214216789222,1634.7403140420745,1196.5177019879745,-867.3270934979288,-942.2679322946208,794.8712694106545,-673.0486494345577,-84.12318523150148,-337.3465510585652,40.47006683205617,36.74964794377508,124.54766307048257,-38.26606308039785
JEB014L3.01,-888.0547632957343,229.726242353113,-2842.8039502672423,-509.95195428389894,-1943.4996142446166,-1001.9929670103749,-1146.3280365729245,-168.80833818363195,-852.9203128293075,-923.235574486006,591.8818909123371,-1689.1801332924963,271.7316249221011,-1037.3166835733482,-997.3248303790766,-197.81863607950393,1983.079192665699,928.9596496959501,2168.4156504256703,2092.101206605575,927.9319209176771,-1833.322701624225,-3463.9742882551172,-798.9810501023951,-921.7461616927233,-1517.2562716635362,-1545.5920082207679,-1311.1306257074502,4593.214491022211,2995.267335489507
Glcikman_MDR7,-5956.941617395087,-1996.8648614557142,-2760.521808932927,-3273.9402110423966,9129.948998299611,-79.78510635655061,4370.689863109681,859.2032909125205,1364.3782564741339,-875.4540086846433,-273.70755320531333,566.0543110215364,-174.1968387657453,-253.81682045074683,537.2995042757307,-1076.1893730812913,-505.3559081385886,4807.6932373545,-17.260492078081413,-2153.172476519537,1248.8283740347401,-206.2499578742506,264.4746424823387,-585.5428149042997,-86.62595773378203,27.414513820663046,-10.174832566829517,121.39611833187291,-41.92034038880028,65.07451275541611
Glcikman_MDR8,-2806.1252370906705,-579.4962096700951,-2731.5844601688823,-407.195491564758,-818.5102656238097,-2409.19120078498,-1034.1469286873953,-1363.907597794318,2055.1594788823204,2567.189188635065,-1812.6410525001183,383.83370231165594,-1060.5245380202757,-162.01679780855824,-104.78779250258455,-2014.0385749859101,718.9637926288627,4161.0029664608155,1239.307317792717,-427.58950082673147,-183.2640071282063,-423.09043388691816,140.55701472601737,-239.25770472433882,72.63808050380159,-220.49163076072085,-141.3772362331916,-957.187136659448,905.3614245034956,-1607.6539431413737
Glcikman_MDR4,-886.6813804298222,11319.03327677735,2388.1511052716214,397.1900731933073,-618.9620592435359,2637.8505401873017,995.8364342155385,-1119.4862211007865,-1665.5593109636823,-73.85406579411264,-947.2903648077017,3010.3991707745004,-130.52669229252882,-5.851011156738682,-683.013739904802,316.7579631290763,285.8152085792786,247.59101775476944,-958.3553022213091,628.281925126535,1555.7131270879609,-706.7644569563878,2159.8561040621166,309.3195803214339,-1483.125537082774,743.452209583581,-1056.7801525094096,-1711.279527528405,-731.5094798870929,878.014270452664
