,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
A16,-1469.934430572341,206.21302013849882,-49.97215019729936,137.41922338885317,38.74286979026279,150.31976612996866,-13.638942154043576,-217.9359339531187,-130.9095821803173,-75.74631366806757,-53.680980631672256,-70.44003331006594,-74.20591933009156,-29.83858403799434,-18.902958668144294,-76.59085681109345,-6.803999998530647,-49.1668811017773,-50.139099128904355,-12.353158582320779,-5.1351657204938,-14.380120794748356,20.565854402422833,-12.304564991036406,-6.186707868905889,3.7250854528782495,4.14037356229101,-13.289866381042554,-0.10444072736839882,-5.843945727841999
A18,-1466.7286547880428,-140.23858199857065,-129.81553476709811,8.828225197905759,44.36517350965241,338.89669487016874,485.9068791222296,53.421385385677226,61.854479157659675,7.836483707467966,-21.64735254717601,-56.972052987080644,-45.42571936361972,-38.68198910476469,-19.73663406197446,-3.1120120619225617,13.613093126895189,-19.331723779485493,-17.221204313837106,-28.308952987224117,-2.049826885744145,-6.415773372156209,-3.2108964273111615,-5.056450262186131,-7.746620889893362,-6.400890909346643,-9.570849461487468,-1.5273550264911393,20.234321221331708,1.9814265559462438
F-057-C2U,-859.3411855020124,-390.3352399761255,-179.41983214412156,37.84947153157482,138.3972928762022,-68.72636650309691,49.0337478601317,-111.01583712900006,37.54722089030038,19.48788914392979,8.404765384103499,1.365378365022952,4.502119283071027,-109.0318829733088,-44.54945395268834,-65.37258643303214,61.642067159354404,-7.319690684552897,37.34250768385776,8.556340233181492,-40.519775847933865,1.5463579941427226,32.52332981964831,97.78430753730609,-6.503089602444507,10.776270932274786,27.415855934423636,42.045856449799395,-34.91804200456717,2.0952312291378963
F-018C1A,2585.1733371072705,-48.52532025267466,-61.07087714033298,-18.475204867849307,298.3214332992504,77.35531485739875,10.21220538784323,-225.64589934893465,61.66674897624122,35.280922968789774,-46.82221835907405,107.78262850841581,3.33457800191391,85.26050524163162,-71.45374952042158,114.02323520801528,30.1240809257312,6.997849323120591,-54.496392078119094,-8.17532423206449,-52.61097063515393,-24.716818837427226,-13.083464355655845,-10.35685549199133,-16.378996199287332,-22.85273340528116,-11.286653088840108,1.9178484511404792,-18.09874663779538,10.347782165117525
N14,-1479.8614345735468,-189.73976833909344,-161.70181270799605,122.77617530939287,587.1554668032013,-473.5724036895301,-373.6874713035224,278.06614332586565,173.10461270504354,-274.11630637493977,-13.06584644934277,85.25088958107027,-27.438112749671138,-1.345208217852544,10.173421060576812,19.34628914384817,-1.0647535565333335,-17.43118873073633,14.959451091732667,-22.54663298040706,1.8759122593837858,-0.8733523721588526,-1.34502914912768,-22.944288696663783,15.993504308482317,-4.485370382928642,9.558066502767106,-10.57480267605694,-14.394326380608154,-9.28188508249062
F-023C2U,-1976.7728870960402,-237.241749963187,-183.12697564849762,13.911676474288015,-228.45794840139573,-138.46012147675373,45.21381724810074,106.59555171360203,-133.34351230314016,41.94752230390629,-32.21639522022248,67.54334075459343,-34.859148741752456,-149.39758125691716,-144.1042196022144,-92.88928409765455,-46.43596541283769,-30.312945304721904,-32.63121160098262,23.37003338231348,-13.742096409874259,19.91908243517869,21.008567344638994,42.21529857624709,46.46199695818246,25.25592104887871,-10.827236797938802,-16.366060755359122,-2.4844938927592617,-60.12636792137921
F-048-C1A,-780.2062708952972,-449.83916286866486,-211.47517439454077,-399.7475762385074,-325.7822198038992,-127.67107013656727,47.51895437782078,175.57337708278124,-48.937922024960336,27.625805036600177,-75.13810370457132,64.76606392809057,-158.62085787531126,8.104742284694026,-23.135199324492433,28.365772883381766,-26.496759740930482,20.42788378490065,-16.958912249368776,53.76474587723051,-15.848418050499022,24.329994550377762,6.604295394796416,-25.931397233786413,100.4460823197251,26.517760909449652,-1.6606107926785443,-57.82213193762695,40.614111411761755,-108.4385922887487
N08,-1506.4535410033996,151.4844492141016,-65.22677581391169,-38.65207389540448,-155.77916986541538,91.74816391303017,-96.634995850118,-213.4274088865521,-110.36932159374585,-112.93395482881445,-7.4735883682870226,108.55050364271231,-17.157661764962345,4.328789667811563,-0.42250459662564444,37.6399392115494,-12.206053778523483,-36.683991089274905,22.631082773013624,-45.45409821539523,-5.878086634339218,2.253358818667027,17.154824391257677,-30.46497601420486,8.063957760124245,-8.182248242882372,5.214736490782185,-18.923328137862075,-23.926183890528367,-16.056764677617046
F-058-C1A,-1069.6213567535356,-403.53122443118014,-166.99384359432744,-165.45294627518103,289.07468148099014,16.720507782222175,39.3995967878135,-191.62338229921536,-54.61067264082588,-13.939127258805163,-74.10347582442066,-23.06035341435166,-28.476868574362662,78.33511893118634,-97.23161369141691,-15.36595429477822,-21.02584419289923,-31.45328500108651,0.8902251957923294,29.334685188653033,-24.064949630683618,-25.541450527253797,24.66732502632396,-7.300590938815584,-21.03407159674253,-6.621187708407736,6.427228890505154,-21.712667349544148,-9.199597321495823,0.260571128402597
F-037-C2U,371.6816124039715,-130.88849812286847,-108.18036612310938,-261.99475714829583,-21.507631055787066,63.272399535067734,44.49556582475095,-57.89698020693886,-33.48854664596887,-71.0523214352137,-59.09701342743773,-78.76809571303741,-7.875068965756813,-34.71059826736133,-13.478841335027072,-67.73352070675804,-34.06360560140262,31.907693434869596,147.1766427687629,-34.35086566374733,63.5685234079839,-44.77261275038522,26.198790487518345,30.31650296268077,28.145473556419713,9.877495750146412,6.000440419756256,31.87340565852005,-19.28428630682672,-2.3195418501061997
F-036-C1A,2299.8647373618164,-130.4130014419142,-101.28396200464026,151.32053275883743,22.972537639058334,-24.730148850087712,21.952003233205897,21.99119920888349,-113.80584269846256,12.736916220762316,-45.405961040805124,-63.51534006464073,-22.77977600911731,-50.94528430100073,23.996938329793835,14.431979257803448,-74.09245878659131,-34.70382720105532,14.24070056580006,15.786560038966309,-0.5437461585457342,18.24657088505841,-100.88167688524987,-63.76674592072867,22.107272085867766,10.312855229187383,-13.518552337283282,22.65517467347105,-7.012268475231162,8.505469163324953
