,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
F-058-C2U,-1511.6353714067302,-277.5043931388008,-163.60783823526918,-213.43552697104846,102.44209003290288,-4.964078406189705,29.70441533797302,-84.6440065905428,-154.7403787648235,-65.58670077734067,-59.76988887034822,-67.2942612911463,-0.32710910033756835,160.6273748856441,-124.96416135470322,-23.50095041934165,34.120203710561604,-70.08174025666138,11.758451279438138,132.5333472644378,-0.9705070061155354,-19.838523172810806,-41.417624808897884,60.312722643587236,-47.47078215348353,6.909096045752544,0.17986789245390863,-30.744055743405987,-8.861927675631836,2.135804045833407
F-007C1A,-840.2247812906717,-336.3583373154544,-173.09849531333583,168.89929889982267,78.87401459408866,-60.445185373261516,53.52644163567698,-165.08162417060024,226.55947552455729,58.651835266112485,-11.313435928908778,38.094861340597866,35.815070432461674,98.11985374903819,-122.58751703483524,55.01300223968223,-75.74923279557817,-18.501670450263937,24.33547358727769,39.35187881597163,-80.97716704914401,30.773469517663518,67.37123317553853,-31.648852118323678,-43.107528562688834,1.1443595157188995,19.77758425201259,29.03829170532602,0.8712365101402658,-24.961522772890497
F-024C2U,1628.4873197305922,-123.68002266046125,-153.17000629360217,526.8576775328281,-497.7536370194114,-180.22927701503437,16.30665224705532,297.0183718825038,56.52133347321244,81.03065432372217,-466.82348923593133,-167.96524325703095,-581.6296336801064,283.3749516322847,611.1057876343531,124.15832573115665,-69.86063717811864,88.68411298653714,98.08867152920868,-93.98797624881176,31.908714874826835,20.66758018576471,-20.98175109526749,70.43369429480876,1.789048568371314,-47.903502868794895,-79.23906671221745,-52.480148533730826,-23.848625275658854,-6.360945844380113
A15,-1428.867088721062,-181.83327372180878,-131.00466724101443,143.98171420091643,326.1625522863976,-207.66112362926265,-268.10859272678584,4.007904632631354,40.52867082538697,-175.82437439362042,-12.841438443500689,-73.04985495588427,-98.65686196743833,-36.51619569724125,-98.08573127797318,33.30060496478416,-34.39474935903193,-7.718391641941718,10.202799541143948,-48.9338195788487,15.092178832501263,2.1667655582596885,-5.082536708238571,-14.888245581973345,-23.393346981823793,-0.2254286130055,-37.827567842815526,31.07700320111271,92.7011659407627,47.0286981051211
A19,-1550.0106142136906,120.73153108620232,-126.96609137118966,-446.3889874944377,-138.6625265473782,-326.74557661672844,-295.5247723293323,200.37307439808365,28.29993287824531,829.5556109174015,44.3850864463313,-33.60608185214873,246.7405429427139,81.62256197130574,146.4229695861507,-7.733596853303202,72.42149550243089,29.17155364996628,-5.568165797861806,63.422949779538804,19.13387403904919,-31.726286911803395,-30.30808266077549,8.291161780522296,19.751262576652483,-8.116250560732023,5.851813126668542,-11.084449864610862,-5.662163219226509,-4.996809811126748
N18,-1473.3263148581268,-116.0966083722037,-94.5477827937143,168.4901177874454,47.282284052543204,118.82406997942273,-85.97472012443492,-267.43515832150877,-115.58380837971256,-103.06161047969982,-43.74717285533398,-90.86427674625268,-97.01621918569181,-29.838536176739375,-101.5864254895129,11.296569192962611,-30.377992572664212,-18.882478585791507,-0.21425899282986716,-55.7726527106231,6.034237339196937,-10.910171958245606,0.03410216054467358,-37.05188381533446,6.408481860226435,-5.454435084880558,8.679801106174379,-19.763935114716187,-36.50126457318384,-18.488913660748793
F-048-C1A,-783.3181840683627,-440.27304926050294,-209.97010489904335,-402.3817587799595,-327.38505610442667,-127.28264791786529,48.32807727716237,175.8046142970192,-49.686760839085686,27.881571817985318,-75.0817967351477,64.90701017063958,-158.40721715237515,8.223359893436438,-23.238174610291953,28.34994057527591,-26.859109720339102,20.47848866790944,-16.976008013138404,53.597646079428145,-15.749472885389217,24.411686428795967,6.493371069946763,-25.95414050628006,100.38402936326239,26.518631794940287,-1.7396387566581273,-57.81416113821054,40.6046436409932,-108.44401798520208
N09,-1534.1088605264479,213.6830691413178,-75.42387766836262,-409.0056271294935,-562.8061888424501,-19.406806697058215,-100.72507716036847,23.61597175790246,19.62369573473359,103.87078919871318,32.19409589586873,110.62148138189431,-25.24612858966344,-43.76888517668872,-55.00575608931482,60.50599839679992,-6.828618196124714,-22.561380435030134,12.696469530579385,-18.259141831906756,-2.239196904851666,0.48462501991994,26.493880314872214,-17.97444128164752,1.9649553502117292,-4.352451042188981,-2.91066688308704,-16.693520405228053,-9.257240717505598,-5.415460017290832
F-050-C2U,-2357.524334086713,-563.7507777890028,-229.60241611401315,305.80444956454164,-106.76476611113527,-85.2880132050368,39.54012676706477,-32.226654568791915,-98.67844810866698,-357.7024624923955,-451.13037017120394,-711.7041972392976,777.1106963065846,-453.623562097003,267.48322969062656,401.65326075722226,-104.81406639771545,-88.98336841820107,-146.932118943669,9.414990139127765,-22.000039426388447,-43.25191515596384,-76.86427820322034,-30.90572425357005,3.2504598859759537,23.897301159448496,2.6690633760022524,2.655637074025013,21.40422449736717,11.294321516231808
F-003C1A,3442.932404202792,-78.5181028592895,-101.56648251528895,65.51626507079843,-179.18315678542618,-83.64928191234812,9.424526484585773,164.84679435082614,-10.256176935543525,1.8611086317751389,-157.45094986784983,-76.9666520367643,-58.531171502409926,-111.12734326875695,175.6997998274997,-316.9024911108828,-41.38428398236529,-121.09456270763177,144.13232933431223,239.92743419197126,19.367705258063882,-0.5077129792263678,-95.82219356549743,-84.52041977711765,-27.188412763729573,26.812004905497137,-39.98276381092179,37.07940945100484,14.660376304528699,34.67413839584667
