"","Roseburia_inulinivorans","Tyzzerella_nexilis","Caldicoprobacter_oshimai","Butyricimonas_paravirosa","Anaerotruncus_colihominis","Falcatimonas_natans","Holdemanella_biformis","Paludicola_psychrotolerans","Spiroplasma_lampyridicola","Eubacterium_oxidoreducens","Veillonella_denticariosi","Ruminococcus_albus","Intestinibacillus_massiliensis","Anaerofustis_stercorihominis","Ruminococcus_champanellensis","Blautia_hansenii","Desulfofarcimen_intricatum","Acholeplasma_brassicae","Bacteroides_thetaiotaomicron","Muribaculum_intestinale","Romboutsia_timonensis","Bacteroides_rodentium","Ruminiclostridium_papyrosolvens","Noviherbaspirillum_denitrificans","Bacteroides_ovatus","Faecalibacterium_prausnitzii","Gemella_haemolysans","Blautia_faecis","Collinsella_stercoris","Fournierella_massiliensis","Pontibacter_toksunensis","Alistipes_indistinctus","Eisenbergiella_massiliensis","Parabacteroides_merdae","Finegoldia_magna","Vallitalea_guaymasensis","Prevotella_buccalis","Anaerostipes_hadrus","Mogibacterium_pumilum","Catenibacterium_mitsuokai","Anaerostipes_butyraticus","Eubacterium_ruminantium","Eubacterium_xylanophilum","Traorella_massiliensis","Clostridium_tertium","Clostridium_pascui","Desulfovibrio_simplex","Sporobacter_termitidis","Intestinimonas_butyriciproducens","Prevotella_shahii","Dorea_formicigenerans","Oligosphaera_ethanolica","Bacteroides_stercoris","Cuneatibacter_caecimuris","Mitsuokella_multacida","Acutalibacter_muris","Breznakia_pachnodae","Succinivibrio_dextrinosolvens","Klebsiella_aerogenes","Howardella_ureilytica","Lactobacillus_delbrueckii","Parasutterella_excrementihominis","Beduini_massiliensis","Hungatella_effluvii","Paraprevotella_clara","Anaerocolumna_jejuensis","Aminipila_butyrica","Enterococcus_faecalis","Corynebacterium_amycolatum","Dialister_succinatiphilus","Coprococcus_eutactus","Anaerofilum_agile","Cloacibacillus_porcorum","Parabacteroides_faecis","Sutterella_wadsworthensis","Parapedobacter_defluvii","Acholeplasma_morum","Pseudobutyrivibrio_ruminis","Ihubacter_massiliensis","Ruminiclostridium_sufflavum","Prevotella_bivia","Blautia_obeum","Clostridium_sporogenes","Phascolarctobacterium_succinatutens","Roseburia_intestinalis","Ethanoligenens_harbinense","Eubacterium_ramulus","Streptococcus_gordonii","Bifidobacterium_longum","Eubacterium_ventriosum","Emergencia_timonensis","Collinsella_aerofaciens","Veillonella_parvula","Oscillibacter_valericigenes","Caproiciproducens_galactitolivorans","Bulleidia_extructa","Faecalicatena_orotica","Bifidobacterium_catenulatum","Turicibacter_sanguinis","Massiliprevotella_massiliensis","Longicatena_caecimuris","Terrisporobacter_mayombei","Prevotella_timonensis","Bifidobacterium_adolescentis","Ruthenibacterium_lactatiformans","Acholeplasma_vituli","Eggerthella_lenta","Clostridium_argentinense","Oribacterium_sinus","Spiroplasma_chrysopicola","Mesoplasma_corruscae","Dorea_longicatena","Acetivibrio_ethanolgignens","Veillonella_dispar","Spiroplasma_mirum","Holdemania_filiformis","Frisingicoccus_caecimuris","Cronobacter_sakazakii","Longibaculum_muris","Bifidobacterium_angulatum","Desulfovibrio_desulfuricans","Enterococcus_avium","Spiroplasma_melliferum","Colidextribacter_massiliensis","Neglecta_timonensis","Pseudoflavonifractor_capillosus","Subdoligranulum_variabile","Dialister_invisus","Clostridium_disporicum","Eisenbergiella_tayi","Vampirovibrio_chlorellavorus","Clostridium_subterminale","Flavonifractor_plautii","Treponema_succinifaciens","Butyricicoccus_pullicaecorum","Phascolarctobacterium_faecium","Eubacterium_coprostanoligenes","Faecalicatena_contorta","Prevotella_oralis","Clostridioides_difficile","Murimonas_intestini","Prevotella_copri","Kineothrix_alysoides","Senegalimassilia_anaerobia","Thermoclostridium_caenicola","Millionella_massiliensis","Brevundimonas_subvibrioides","Christensenella_minuta","Lachnotalea_glycerini","Breznakia_blatticola","Citrobacter_koseri","Lactobacillus_rogosae","Bacteroides_helcogenes","Treponema_bryantii","Bacteroides_kribbi","Ruminococcus_flavefaciens","Victivallis_vadensis","Megasphaera_elsdenii","Streptococcus_salivarius","Clostridium_chartatabidum","Papillibacter_cinnamivorans","Bacteroides_fragilis","Agathobaculum_desmolans","Anaerotignum_aminivorans","Roseburia_hominis","Coprococcus_comes","Bacteroides_cellulosilyticus","Olivibacter_sitiensis","Desulfovibrio_piger","Fusobacterium_mortiferum","Akkermansia_muciniphila","Phocea_massiliensis","Bacteroides_acidifaciens","Oscillibacter_ruminantium","Alistipes_shahii","Barnesiella_intestinihominis","Anaeromassilibacillus_senegalensis","Spiroplasma_chinense","Enterococcus_faecium","Terrisporobacter_petrolearius","Pseudoflavonifractor_phocaeensis","Duodenibacillus_massiliensis","Anaerotignum_lactatifermentans","Merdimonas_faecis","Lactococcus_garvieae","Bacteroides_intestinalis","Prevotella_stercorea","Prevotellamassilia_timonensis","Klebsiella_pneumoniae","Negativibacillus_massiliensis","Allisonella_histaminiformans","Faecalimonas_umbilicata","Marvinbryantia_formatexigens","Desulfosporosinus_lacus","Mitsuokella_jalaludinii","Hespellia_porcina","Weissella_confusa","Streptococcus_anginosus","Paraprevotella_xylaniphila","Lactobacillus_acidophilus","Ruminiclostridium_josui","Hungatella_hathewayi","Blautia_glucerasea","Spiroplasma_clarkii","Blautia_schinkii","Bacteroides_uniformis","Dehalobacter_restrictus","Parabacteroides_gordonii","Alloprevotella_rava","Spiroplasma_apis","Roseburia_faecis","Gracilibacter_thermotolerans","Herbinix_luporum","Solobacterium_moorei","Blautia_marasmi","Clostridium_acetireducens","Lutispora_thermophila","Flintibacter_butyricus","Harryflintia_acetispora","Bacteroides_xylanisolvens","Pseudoclostridium_thermosuccinogenes","Parabacteroides_distasonis","Anaerobacterium_chartisolvens","Blautia_coccoides","Agathobaculum_butyriciproducens","Coprobacillus_cateniformis","Lactonifactor_longoviformis","Fusicatenibacter_saccharivorans","Bacteroides_eggerthii","Anaerotruncus_rubiinfantis","Alistipes_finegoldii","Lachnoclostridium_pacaense","Clostridium_perfringens","Ruminiclostridium_cellobioparum","Haemophilus_paraphrohaemolyticus","Olsenella_uli","Bacteroides_salyersiae","Kroppenstedtia_pulmonis","Lactobacillus_gasseri","Parabacteroides_goldsteinii","Coprococcus_catus","Elusimicrobium_minutum","Megasphaera_hexanoica","Acidaminococcus_fermentans","Veillonella_atypica","Bifidobacterium_bifidum","Blautia_stercoris","Escherichia_coli","Saccharofermentans_acetigenes","Cellulosilyticum_ruminicola","Clostridium_carnis","Streptococcus_mutans","Faecalitalea_cylindroides","Eubacterium_limosum","Blautia_luti","Anaerostipes_caccae","Clostridium_tepidum","Erysipelatoclostridium_ramosum","Intestinibacter_bartlettii","Butyrivibrio_crossotus","Gemmiger_formicilis","Alistipes_putredinis","Prevotella_paludivivens","Bacteroides_caccae","Monoglobus_pectinilyticus","Spiroplasma_lineolae","Ruminococcus_bromii","Butyricimonas_virosa","Spiroplasma_culicicola","Blautia_wexlerae","Drancourtella_massiliensis","Bacteroides_finegoldii","Ruminococcus_callidus","Bacillus_anthracis","Streptococcus_oralis","Anaerovorax_odorimutans","Mogibacterium_neglectum","Odoribacter_splanchnicus","Lachnospira_pectinoschiza"
"Glcikman_MDR6",1,0,0,1,0,0,634,0,0,0,0,44,1,0,56,0,0,0,8,258,295,0,0,31,0,3832,0,15,0,0,88,0,0,4,0,0,1,208,0,681,0,0,3,0,0,0,0,17,33,0,54,0,4,0,14,0,0,190,0,3,1,0,1,24,4,0,6,0,0,86,1,2,0,0,6,0,1,0,0,0,0,47,0,63,0,1,1,0,182,1,0,39,0,11,0,0,0,522,5,16,5,0,0,462,0,0,0,0,8,0,0,194,1,64,0,0,0,0,0,17,0,0,0,63,22,0,0,0,73,0,0,0,318,132,1,0,71,0,0,1,0,32,1,3,0,0,1,0,0,0,0,14,2,0,6,1,8,4,1,7,0,0,0,2,1,35,0,7,12,7,7,0,0,155,3,17,0,0,0,38,0,1,3,0,0,8,9,118,3,0,0,2,1,0,4,0,0,0,0,0,0,34,0,0,0,1,18,0,0,1,5,29,18,0,0,1,49,0,0,72,1,36,0,0,37,0,0,13,0,1,0,0,5,0,0,7,0,0,0,0,25,0,27,3,0,0,0,86,6,0,0,1,0,0,196,0,0,689,62,1,332,0,0,2,14,0,52,7,0,61,0,1,71,0,0,2,6,1,0
"FEB016W1.01",627,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,36,0,0,0,0,0,6495,0,217,0,20,0,0,0,22,0,0,28,724,0,0,0,0,5,0,0,0,3,246,64,0,126,0,0,0,0,0,0,12968,0,0,0,0,0,178,0,0,3,0,0,0,0,47,0,0,23,0,0,0,0,0,0,737,0,1002,0,0,73,0,0,0,0,37,0,46,3,0,0,2815,0,0,0,0,0,0,0,0,7,0,0,0,97,254,0,0,0,0,0,0,0,0,0,0,0,82,36,0,51,0,20,0,4,0,0,0,0,0,268,0,37,0,0,8967,22,0,0,0,0,0,0,3,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,10,0,0,0,1897,0,0,0,0,0,17,0,0,0,0,0,0,0,0,239,0,0,8,0,42,0,0,0,1563,21,87,0,0,0,137,0,12,0,0,9,0,125,214,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,812,0,0,0,0,0,0,0,520,0,0,0,117,12,1812,0,31,54,6,0,169,18,0,262,0,0,10,0,0,7,0,8,0
"DEB01624.01",0,0,0,0,50,0,4013,11,0,0,0,978,0,0,908,0,0,0,0,270,141,0,3,0,0,9555,0,86,0,0,410,0,0,53,13,0,35,138,0,6757,0,0,0,0,0,0,0,1941,311,145,333,7,0,0,531,0,0,2489,0,86,0,0,3,58,0,0,50,0,0,924,0,117,0,0,0,95,0,0,19,0,0,726,0,388,8,1760,9,5,1575,0,0,187,0,220,11,8,45,1471,20,62,0,0,0,2425,0,0,0,0,0,158,0,1010,0,3,0,104,0,0,0,0,0,0,0,389,156,0,61,0,15,0,0,0,20,1664,68,0,1258,0,131,0,0,5085,34,38,0,106,0,0,16,3,0,50,15,15676,0,44,17,2355,41,0,4,0,47,0,0,351,0,0,7,0,0,0,0,3344,0,123,0,0,0,38,0,5,13,0,0,0,611,441,0,0,20,0,18,0,358,0,0,0,52,0,0,170,0,0,45,0,24,0,0,0,15,393,113,0,0,25,231,29,21,0,0,362,0,40,138,0,0,34,0,0,0,0,0,45,0,95,0,0,0,0,157,0,0,0,0,0,0,11,0,0,0,0,0,0,466,0,0,0,755,0,2568,0,136,0,47,0,0,0,0,34,0,0,1287,0,0,4,0,0,0
"Glcikman_MDR11",137,0,0,1,0,0,526,0,0,0,0,36,1,0,689,0,0,0,201,63,249,0,0,30,0,12820,0,294,7,0,73,0,26,43,0,0,0,799,1,565,111,0,3,0,0,0,0,182,103,0,186,0,3,0,11,0,0,150,0,2,1,0,1,141,4,0,22,0,0,71,1,1,0,0,5,0,1,0,0,0,0,245,0,52,20,1,24,0,2807,16,0,32,11,102,3,6,0,5414,34,13,5,0,0,4483,0,0,0,0,6,0,0,593,171,54,0,2,0,0,18,16,0,0,0,51,96,4,19,0,57,0,0,0,0,104,0,0,537,0,0,1,0,1287,345,2,0,0,0,0,0,0,0,110,2,0,205,1,6,3,108,6,0,0,50,1,1,221,0,6,10,5,6,0,0,673,2,14,0,0,0,31,2,1,3,0,2,6,8,99,3,0,0,2,0,0,3,36,0,92,0,0,0,28,0,0,13,1,15,0,0,1,313,24,165,0,0,1,141,2,0,58,1,160,182,8,135,0,0,359,0,0,17,0,4,0,0,5,0,0,0,0,99,0,24,2,0,227,247,12,5,0,0,1,0,0,498,0,0,0,741,1,2251,16,0,63,99,0,2430,6,0,273,0,1,687,0,8,2,5,64,0
"AEB016X3.01",0,0,0,0,0,0,14460,0,0,0,0,0,0,0,73,0,0,0,1327,0,0,0,0,0,0,4603,0,16,0,0,0,0,0,0,0,0,480,2092,0,20,0,0,203,0,0,0,0,10,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,126,13,0,10,0,0,0,38,0,0,0,30,0,0,0,0,0,0,122,0,663,0,0,37,0,0,0,0,53,0,24,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1366,7,0,0,0,0,0,0,0,0,0,0,108,74,0,411,0,1245,0,0,0,47,0,0,0,0,0,0,67,136,0,0,0,0,0,0,0,0,0,0,0,955,0,0,0,0,0,113,0,0,2187,46,0,0,123,0,125,0,0,0,0,0,104,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,246,0,535,0,0,0,0,0,0,0,0,1827,0,0,311,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,485,510,0,0,0,0,0,0,592,0,0,1359,309,63,4548,29,0,0,190,0,7498,79,0,46,0,0,0,0,0,10,0,0,0
"Glcikman_MDR5",1,0,0,1,0,0,719,0,0,0,0,49,1,0,65,0,0,0,10,102,343,0,0,44,185,2017,0,17,0,0,100,0,0,4,0,0,1,233,0,773,0,0,4,0,0,0,0,18,37,0,62,0,5,0,16,0,0,217,0,4,1,0,1,27,5,0,7,0,0,99,1,2,0,0,7,0,1,0,0,0,0,53,0,71,0,391,1,0,207,1,0,44,0,12,0,0,0,593,6,18,5,0,0,524,0,0,0,0,9,0,0,218,1,70,0,0,0,0,0,18,0,0,0,73,25,0,0,0,79,0,0,0,38,150,1,0,80,0,0,1,0,1844,1,4,0,0,1,0,0,0,0,16,2,1038,6,1,10,5,1,8,0,2697,0,2,1,40,0,8,13,8,9,0,0,171,4,20,0,0,0,46,0,44,4,0,0,9,11,136,4,0,0,2,1,0,6,0,0,0,0,0,0,38,0,0,0,1,21,0,0,1,6,34,21,0,0,1,57,0,0,82,1,42,0,0,42,0,0,15,0,1,0,0,6,0,0,9,0,0,0,10,29,0,28,3,0,0,0,16,7,0,0,1,0,0,223,0,0,55,70,2,377,0,0,2,16,0,60,9,0,69,0,1,80,0,0,3,7,2,0
"JEB014L3.01",0,0,5,0,0,0,0,94,0,0,0,0,0,0,473,0,0,0,0,0,72,0,50,0,0,937,0,623,0,90,0,0,84,453,0,0,0,53,0,477,0,0,0,74,0,0,0,2167,114,0,367,0,0,0,93,0,0,5,0,0,0,0,0,31,0,0,19,0,0,0,0,15,55,0,0,0,0,0,151,17,0,479,28,0,0,30,23,0,0,55,56,0,0,66,39,0,0,0,0,0,0,0,0,0,283,0,9,27,0,0,0,23,0,4,0,0,7,0,0,0,4,0,0,404,7,38,0,0,60,294,8,0,17,0,0,528,1257,88,55,0,0,0,87,0,0,0,0,14,7,0,0,0,0,0,97,0,18,0,0,0,27,0,0,12,19,21,0,0,27,0,13,0,0,2429,0,0,307,0,0,11,565,8,30,2747,0,0,0,0,0,43,0,0,0,649,0,53,0,0,0,0,0,2530,1,0,192,0,5543,0,0,0,8,935,112,0,0,6,475,26,0,0,0,504,26,337,0,0,14,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1111,6579,61,0,77,0,0,0,421,0,0,0,709,0,286,0,0,39,0,0,1407,0,0,0,0,0,0
"Glcikman_MDR7",1,0,0,0,0,0,461,0,0,0,0,30,1,0,36,0,0,0,8,0,326,1,0,5,0,820,0,13,0,0,46,0,0,12,0,0,3,193,0,590,0,0,9,0,0,0,0,6,28,0,46,0,4,0,5,0,0,992,0,1,0,0,1,31,6,0,4,0,0,79,1,2,1,0,5,0,0,0,0,0,0,26,0,60,0,1,1,0,277,1,0,37,0,9,0,0,0,882,2,16,0,0,0,71,0,0,1,0,15,0,0,108,2,7,0,0,1,0,0,3,0,0,0,39,5,0,0,0,81,0,0,0,175,873,1,0,45,1,0,1,0,21,1,3,0,0,5,0,0,0,0,20,5,0,22,1,9,20,15,0,0,0,0,5,1,22,0,8,17,2,17,0,0,122,3,26,0,0,0,18,0,2,3,0,0,17,4,79,1,0,0,0,1,0,4,0,0,0,0,0,0,9,0,0,0,1,23,0,0,0,13,13,18,0,0,0,13,0,0,19,1,107,0,0,33,0,0,10,0,0,0,0,0,0,0,12,0,0,0,0,14,0,9,4,0,5,0,19,11,0,0,0,172,6,118,0,0,837,44,6,176,0,0,1,22,0,40,13,0,48,0,0,39,0,0,2,0,2,0
"Glcikman_MDR8",1,0,0,0,0,0,360,0,0,0,0,23,1,0,30,0,0,0,6,0,248,1,0,4,0,640,0,11,0,265,36,5,0,8,0,0,1,155,0,460,0,0,6,0,0,0,114,1030,22,0,36,0,3,0,3,137,0,758,0,0,0,0,0,24,5,0,3,0,0,59,0,1,1,0,3,0,0,0,0,0,0,20,0,47,0,212,1,0,216,1,0,28,0,359,0,20,0,688,2,13,0,0,0,55,23,0,1,0,11,0,0,86,2,5,0,8880,1,0,0,3,0,0,0,29,4,0,0,0,63,0,0,0,9,679,1,16,508,1,0,1,0,16,1,2,0,0,4,0,0,0,0,15,4,0,16,1,7,15,1,0,0,85,0,3,1,17,0,6,13,2,12,0,0,2252,2,20,0,0,0,14,0,2,66,0,0,13,4,60,1,0,3,0,0,0,3,0,0,0,0,0,0,494,0,0,0,1,19,0,0,0,10,10,13,0,0,0,10,0,0,13,1,84,0,0,25,27,0,7,0,0,0,0,0,0,0,8,6,0,0,0,11,0,8,4,0,4,0,15,9,0,0,0,135,5,92,0,0,171,34,4,137,0,0,1,17,0,33,10,0,38,0,0,30,0,0,1,0,2,0
"Glcikman_MDR4",1,0,0,1,0,0,569,5,0,0,0,279,1,0,51,0,0,0,267,0,271,0,0,31,0,1597,0,13,0,59,79,0,0,3,0,0,0,189,0,612,0,0,3,0,0,0,0,422,119,0,48,0,4,0,12,0,0,166,0,3,1,0,1,22,4,0,5,0,0,77,1,2,0,0,5,0,1,0,0,0,0,41,0,524,0,307,1,0,163,1,0,35,0,312,26,0,0,469,4,15,5,0,0,415,4,0,0,0,7,0,0,176,1,55,0,0,0,0,0,18,0,0,0,56,20,0,542,0,63,123,0,0,2,113,0,0,63,0,0,1,0,3775,1,3,0,0,1,0,0,0,0,12,2,0,5,1,7,4,1,6,0,48,54,1,1,31,0,6,211,6,7,0,0,729,3,15,0,0,0,35,11,57,24,0,0,7,376,108,3,0,0,2,1,0,3,0,0,0,0,0,0,31,0,0,0,1,16,0,0,1,4,26,16,0,0,1,44,0,7,63,1,32,0,0,128,0,0,12,0,0,0,0,4,0,0,6,0,0,0,0,22,0,25,2,0,0,0,13,5,0,0,0,0,0,1445,0,0,5,55,1,2672,6,0,1,13,0,47,7,0,55,0,1,64,0,0,2,5,1,0
