,global_batch_p_val_PC0,global_batch_p_val_PC1,global_biovar_p_val_PC0,global_biovar_p_val_PC1,runtime
combat,0.39398440626567166,0.9872367501331817,0.8375715868671771,0.8375715868671771,0.170130252838135
limma,0.457651285895856,0.9617233106816502,0.9771037794575924,0.9771037794575924,0.0235357284545898
MMUPHin,0.18275334458117515,0.9435218723052589,0.1202070261424966,0.1202070261424966,0.677642822265625
ConQuR,0.6691247128199111,0.6039272249633632,0.41221453650112894,0.41221453650112894,1.85352897644043
ConQuR_libsize,0.6691247128199111,0.757690932996197,0.6668309147145661,0.6668309147145661,1.85352897644043
Percentile_norm,0.3914534580348741,0.17976907699845712,0.5883684842504198,0.5883684842504198,
harmony,0.00012224697519916196,0.001927763432248568,0.5494383145074474,0.5494383145074474,2.8112337589263916
harmonicMic,2.6380607840598697e-05,0.0013447026358761388,0.6140493869250392,0.6140493869250392,9.923226833343506
harmony_PCs,4.8980544132844605e-14,0.2900143309497757,0.37804565161809167,0.37804565161809167,
harmonicMic_weighted,2.6380607840598697e-05,0.0013447026358761388,0.6140493869250392,0.6140493869250392,19.765371561050415
