,shannon,Dataset
F-011C1A,1.2128102592468197,asd_son
F-040-C1A,3.583235083865102,asd_son
F-054-C2U,2.4631023502309155,asd_son
F-003C1A,2.4308130728888133,asd_son
F-045-C1A,1.6658315816317089,asd_son
F-008C1A,3.8240253577474412,asd_son
F-055-C1U,2.0352018412382784,asd_son
F-058-C1A,3.0460264020182484,asd_son
N06,3.328225709263597,autism_kb
F-017C1A,0.9295263303869933,asd_son
F-027C1A,1.5591754560415187,asd_son
F-014C1A,2.5803008113394634,asd_son
A04,2.8649322831971546,autism_kb
F-008C2U,3.1694126864499323,asd_son
F-037-C2U,2.7374141324652252,asd_son
F063-C1U,3.21397338082644,asd_son
A11,3.3156659194573552,autism_kb
F-007C1A,3.197504837299144,asd_son
N15,2.672167567065303,autism_kb
N12,1.397857061014676,autism_kb
F-028C1A,1.1393462626616644,asd_son
F-002C2U,3.811880710975537,asd_son
F-044-C1A,2.020343305168922,asd_son
F064-C1A,2.1744473369520594,asd_son
F-016C2U,2.8589535226586023,asd_son
A15,1.4693813468829138,autism_kb
A01,3.4124215455217217,autism_kb
F-061-C2U,2.971568058304079,asd_son
N18,3.4747268037052415,autism_kb
F-047-C1A,3.6739567164398172,asd_son
F-049-C1U,3.664573784178234,asd_son
F-029C1A,2.1591936433114713,asd_son
F-022C1A,2.364341797180406,asd_son
A10,3.5935883873190018,autism_kb
F-021C2U,3.2966263698515834,asd_son
N09,2.9018675546342836,autism_kb
F-023C1A,1.5290047695913511,asd_son
F066-C2U,2.542169311302327,asd_son
F-050-C2U,3.1887292589576326,asd_son
F-062-C1A,3.668871558177718,asd_son
N01,2.817089107179399,autism_kb
A05,2.7237996256537236,autism_kb
F-061-C1A,3.46080981285386,asd_son
F-051-C2U,2.706200385428861,asd_son
N10,2.9718780389970596,autism_kb
N17,2.7756075225563888,autism_kb
F-015C1A,2.8301207505941086,asd_son
F-003C2U,2.600774140929064,asd_son
F-017C2U,0.829465182520412,asd_son
F-016C1A,2.6356612532220702,asd_son
F-030C2U,2.51758515498708,asd_son
F-057-C2U,3.467562981080847,asd_son
N04,3.95756570263998,autism_kb
F-035-C1A,2.7097603027173007,asd_son
F-042-C2U,3.0015639884319087,asd_son
F-026C1A,3.049653204789041,asd_son
F-033C1A,2.8968538036438165,asd_son
A13,1.454735092287292,autism_kb
F-046-C2U,1.95992534145132,asd_son
F-059-C1A,1.7597602974263151,asd_son
N13,1.0650530859205143,autism_kb
A17,3.828303542105462,autism_kb
F-046-C1A,3.580941942129563,asd_son
F-020C2U,2.1053978193077696,asd_son
F-039-C2U,2.9064947974549282,asd_son
F-014C2U,1.3295724666638566,asd_son
A09,3.3775768274384115,autism_kb
A06,2.4293303815690677,autism_kb
F-028C2U,2.247520687071613,asd_son
F-048-C1A,3.2015019063612677,asd_son
F-009C1A,2.115099935826729,asd_son
F-042-C1A,3.9970638902157978,asd_son
F-024C2U,2.8168384615944326,asd_son
F-027C2U,2.2523516276555453,asd_son
A03,2.5545855981446373,autism_kb
A18,2.0840177778817677,autism_kb
F-062-C2U,1.4183918860580946,asd_son
F-018C1A,1.6499499115723755,asd_son
F-009C2U,3.246979917992843,asd_son
F-036-C1A,2.0417312115067254,asd_son
F066-C1A,3.4259569664505642,asd_son
F-039-C1A,2.5621197443130947,asd_son
A16,2.135727947116011,autism_kb
F-022C2U,3.1247662846007676,asd_son
F-013C1U,3.468525752288603,asd_son
F-025C1A,2.978240722689373,asd_son
F-004C1A,1.9527002720190871,asd_son
F-010C1A,1.86009333822611,asd_son
F-025C2U,2.4945572142612726,asd_son
F-012C1A,2.5330180167831022,asd_son
F-044-C2U,3.0071655670006403,asd_son
F-019C1A,3.188184040266531,asd_son
N20,3.454971844269636,autism_kb
F-038-C1A,1.9102582300921627,asd_son
