,shannon,Dataset
F-011C1A,3.5025062390386914,asd_son
F-040-C1A,2.3816345714029974,asd_son
F-054-C2U,4.579519582120292,asd_son
F-003C1A,3.507103449230889,asd_son
F-045-C1A,4.054891292699755,asd_son
F-008C1A,3.62835685514587,asd_son
F-055-C1U,3.080853280353064,asd_son
F-058-C1A,3.6202604857481493,asd_son
N06,3.1149261710701968,autism_kb
F-017C1A,3.908835102071248,asd_son
F-027C1A,4.514547742355404,asd_son
F-014C1A,3.8772317731827135,asd_son
A04,4.309711747754672,autism_kb
F-008C2U,3.9920547952610295,asd_son
F-037-C2U,4.104265473645245,asd_son
F063-C1U,3.2722839238405426,asd_son
A11,3.562869638270739,autism_kb
F-007C1A,4.403958795468022,asd_son
N15,2.808162055366851,autism_kb
N12,3.7548240309443046,autism_kb
F-028C1A,3.5959835763792154,asd_son
F-002C2U,4.210573936483029,asd_son
F-044-C1A,4.3039152979281505,asd_son
F064-C1A,3.935429056441441,asd_son
F-016C2U,3.266521754162712,asd_son
A15,2.9268200483777522,autism_kb
A01,3.726547562097274,autism_kb
F-061-C2U,2.3515489579637445,asd_son
N18,1.7856030735449715,autism_kb
F-047-C1A,4.60572894554734,asd_son
F-049-C1U,3.5574167965169674,asd_son
F-029C1A,3.9887188789812376,asd_son
F-022C1A,3.823487288483245,asd_son
A10,3.7438602631532403,autism_kb
F-021C2U,4.708552813908807,asd_son
N09,3.108918153315555,autism_kb
F-023C1A,3.345062489981675,asd_son
F066-C2U,4.103078594414147,asd_son
F-050-C2U,4.08732283864114,asd_son
F-062-C1A,2.5298386476794095,asd_son
N01,4.304804533065818,autism_kb
A05,3.7565584332118926,autism_kb
F-061-C1A,4.065382551011282,asd_son
F-051-C2U,4.4083645041467525,asd_son
N10,3.5107307452966077,autism_kb
N17,3.8935680172040645,autism_kb
F-015C1A,3.73135114023773,asd_son
F-003C2U,4.264523827737976,asd_son
F-017C2U,3.9159073778030935,asd_son
F-016C1A,3.2898700884361585,asd_son
F-030C2U,4.348032237710814,asd_son
F-057-C2U,4.481604670837005,asd_son
N04,4.361029499491698,autism_kb
F-035-C1A,4.07978634034843,asd_son
F-042-C2U,4.192117064455395,asd_son
F-026C1A,3.8744135479023374,asd_son
F-033C1A,4.067725247957345,asd_son
A13,2.6365242255473245,autism_kb
F-046-C2U,4.702522064239576,asd_son
F-059-C1A,4.263669506787992,asd_son
N13,2.9099722185328916,autism_kb
A17,2.4625558947386246,autism_kb
F-046-C1A,3.2514286940808796,asd_son
F-020C2U,3.7200678636294184,asd_son
F-039-C2U,3.759715403354648,asd_son
F-014C2U,3.9847775875657714,asd_son
A09,3.5448860492006,autism_kb
A06,4.0713220597411315,autism_kb
F-028C2U,4.362848888364547,asd_son
F-048-C1A,3.6500943054607387,asd_son
F-009C1A,3.570000367531125,asd_son
F-042-C1A,3.857381612223662,asd_son
F-024C2U,3.7639457619378756,asd_son
F-027C2U,4.848015516902135,asd_son
A03,3.9292788561984877,autism_kb
A18,3.487678207745506,autism_kb
F-062-C2U,2.5607759437040105,asd_son
F-018C1A,3.630920979154601,asd_son
F-009C2U,4.4036496242969525,asd_son
F-036-C1A,3.2988811903452113,asd_son
F066-C1A,3.787924972078885,asd_son
F-039-C1A,3.4891991959691433,asd_son
A16,3.99556082334869,autism_kb
F-022C2U,4.438975751032298,asd_son
F-013C1U,4.3092298085572205,asd_son
F-025C1A,3.250639371248998,asd_son
F-004C1A,4.321027093901859,asd_son
F-010C1A,4.029857234962891,asd_son
F-025C2U,4.49534591760198,asd_son
F-012C1A,1.997622576151134,asd_son
F-044-C2U,3.187239935974663,asd_son
F-019C1A,4.191684729318232,asd_son
N20,3.755566669131309,autism_kb
F-038-C1A,4.3966880615067625,asd_son
F-006C1A,4.802959849906312,asd_son
F-041-C2U,2.1939981672681546,asd_son
N16,3.5463880036126594,autism_kb
F-060-C1A,3.04038577554419,asd_son
F-019C2U,2.757216464678404,asd_son
F-004C2U,4.276521766161338,asd_son
F-015C2U,4.319924160511512,asd_son
F-018C2U,4.217363261130063,asd_son
N02,3.796559072563535,autism_kb
F-054-C1A,4.472386187729699,asd_son
F-007C2U,2.466618001600297,asd_son
F-024C1A,4.5277243963278115,asd_son
F-053-C1U,4.442735219727135,asd_son
A19,4.390936984457487,autism_kb
F-052-C1U,4.295566093231925,asd_son
F-030C1A,4.6810971468856195,asd_son
F-001C1A,3.651745416443658,asd_son
A12,3.002305210103163,autism_kb
F-005C1A,4.181538849718505,asd_son
F-029C2U,4.701424641469112,asd_son
F-031C1U,4.381720389777359,asd_son
N19,3.406858950195884,autism_kb
N14,3.6714946881673964,autism_kb
F-037-C1A,4.122644287869599,asd_son
F-001C2U,3.67444536644689,asd_son
F-041-C1A,4.489128492210204,asd_son
F-032C1A,4.367227711089362,asd_son
A02,2.515883593571501,autism_kb
N08,2.180009280595098,autism_kb
A07,2.85931085305517,autism_kb
F-002C1A,3.695255926861672,asd_son
A08,3.6249524251414047,autism_kb
F-057-C1A,2.8574871346542143,asd_son
F-023C2U,4.251140554304316,asd_son
N07,2.9468022781234557,autism_kb
F-058-C2U,4.840758561862422,asd_son
N03,3.7918498282120585,autism_kb
N11,3.727315666946662,autism_kb
F-056-C1A,3.4140977731792965,asd_son
F-043-C1A,4.328084349535842,asd_son
F-050-C1A,4.697254930302798,asd_son
F065-C1A,4.696594768703483,asd_son
F-021C1A,4.33868631689305,asd_son
N05,3.8966473405833315,autism_kb
F-020C1A,4.063661057794759,asd_son
F-034C1A,3.10674629817119,asd_son
F-051-C1A,4.417063430236958,asd_son
A14,3.7452308641547924,autism_kb
