,shannon,Dataset
N01,6.418430889274672,autism_kb
N02,6.438381842836315,autism_kb
N03,6.407182849091327,autism_kb
N04,6.431417749673157,autism_kb
N05,6.4289750102239935,autism_kb
N06,6.435300351373793,autism_kb
N07,6.420991311567495,autism_kb
N08,6.436315723571311,autism_kb
N09,6.419083116507817,autism_kb
N10,6.429295545871859,autism_kb
N11,6.43120703888602,autism_kb
N12,6.396469504304179,autism_kb
N13,6.392210824050993,autism_kb
N14,6.414291763020242,autism_kb
N15,6.411190339010191,autism_kb
N16,6.43817353491798,autism_kb
N17,6.411386608303986,autism_kb
N18,6.4161763191784695,autism_kb
N19,6.438171217127262,autism_kb
N20,6.422622448348893,autism_kb
A01,6.428714244779738,autism_kb
A02,6.416792873616179,autism_kb
A03,6.440757685120653,autism_kb
A04,6.424839877745658,autism_kb
A05,6.358028883323517,autism_kb
A06,6.440590209653006,autism_kb
A07,6.439763297171412,autism_kb
A08,6.4425623555779845,autism_kb
A09,6.421526402633467,autism_kb
A10,6.328950880110568,autism_kb
A11,6.4209127350857855,autism_kb
A12,6.38128801676255,autism_kb
A13,6.41017178273032,autism_kb
A14,6.437101189157368,autism_kb
A15,6.425913575634952,autism_kb
A16,6.434501026318355,autism_kb
A17,6.396566928216717,autism_kb
A18,6.441962967457007,autism_kb
A19,6.395935584118055,autism_kb
F-021C1A,6.309520662453473,asd_son
F066-C2U,6.274274905360737,asd_son
F066-C1A,6.43882099151804,asd_son
F065-C1A,6.429343882336669,asd_son
F064-C1A,6.29750554451552,asd_son
F063-C1U,6.438053337146706,asd_son
F-055-C1U,6.233712785014856,asd_son
F-056-C1A,6.412062969936015,asd_son
F-057-C1A,6.341596441087089,asd_son
F-057-C2U,6.450290261099941,asd_son
F-058-C1A,6.455667007728943,asd_son
F-058-C2U,6.433712760262843,asd_son
F-059-C1A,6.279082363345493,asd_son
F-060-C1A,6.445031913497442,asd_son
F-061-C1A,6.442120425595125,asd_son
F-061-C2U,6.4061182213048715,asd_son
F-062-C1A,6.428955965652942,asd_son
F-062-C2U,6.171240320517259,asd_son
F-039-C1A,6.395641610141202,asd_son
F-039-C2U,6.429555424252098,asd_son
F-040-C1A,6.417462920787253,asd_son
F-041-C1A,6.436989191113467,asd_son
F-041-C2U,6.444656080029074,asd_son
F-042-C1A,6.42956887510404,asd_son
F-042-C2U,6.439112836823349,asd_son
F-043-C1A,6.414299525498906,asd_son
F-044-C1A,6.286416440078144,asd_son
F-044-C2U,6.404775814604856,asd_son
F-045-C1A,6.230992603172141,asd_son
F-046-C1A,6.419355322185513,asd_son
F-046-C2U,6.195917967070953,asd_son
F-047-C1A,6.43021897005105,asd_son
F-048-C1A,6.433783741107478,asd_son
F-049-C1U,6.405566336459062,asd_son
F-050-C1A,6.425477530467504,asd_son
F-050-C2U,6.403528255463946,asd_son
F-051-C1A,6.396031108506531,asd_son
F-051-C2U,6.39453469361234,asd_son
F-052-C1U,6.257775378766785,asd_son
F-053-C1U,6.420706873963599,asd_son
F-054-C1A,6.4000386013899035,asd_son
F-054-C2U,6.4040711374373425,asd_son
F-008C1A,6.43719743325629,asd_son
F-009C1A,6.403245018045514,asd_son
F-009C2U,6.451236171852853,asd_son
F-010C1A,6.4232277077194375,asd_son
F-011C1A,6.018876797757035,asd_son
F-012C1A,6.29164417242105,asd_son
F-013C1U,6.41406851187473,asd_son
F-014C1A,6.379141912318339,asd_son
F-014C2U,6.230565062228706,asd_son
F-015C1A,6.404882942506703,asd_son
F-015C2U,6.414256441131501,asd_son
F-016C1A,6.403001631061004,asd_son
F-016C2U,6.384845646698227,asd_son
F-017C1A,6.082744294050518,asd_son
F-017C2U,6.158688694020374,asd_son
F-018C1A,6.28828234660168,asd_son
F-018C2U,6.109842672773199,asd_son
F-019C1A,6.402400649266964,asd_son
F-019C2U,6.413906771423593,asd_son
F-020C1A,6.389262499274326,asd_son
F-020C2U,6.198128760233208,asd_son
F-021C2U,6.429299043164408,asd_son
F-022C1A,6.36717208315397,asd_son
F-022C2U,6.407474499926796,asd_son
F-023C1A,6.203603623441875,asd_son
F-023C2U,6.435248300352913,asd_son
F-024C1A,6.369867384784902,asd_son
F-024C2U,6.320410777823714,asd_son
F-025C1A,6.426202583714182,asd_son
F-025C2U,6.378331800186187,asd_son
F-026C1A,6.418381680627476,asd_son
F-027C1A,6.21727299360425,asd_son
F-027C2U,6.312808096984825,asd_son
F-028C1A,6.236714628440594,asd_son
F-028C2U,6.340289293826631,asd_son
F-029C1A,6.2707659332444665,asd_son
F-029C2U,6.3059442979594955,asd_son
F-030C1A,6.356085108458735,asd_son
F-030C2U,6.328441633545808,asd_son
F-031C1U,6.172004502573078,asd_son
F-032C1A,6.193019691252554,asd_son
F-033C1A,6.40045569710685,asd_son
F-034C1A,6.363407235481941,asd_son
F-035-C1A,6.357379239610556,asd_son
F-036-C1A,6.312168188264148,asd_son
F-037-C1A,6.4262596189717325,asd_son
F-037-C2U,6.423682173021985,asd_son
F-038-C1A,6.315474197040456,asd_son
F-001C1A,6.335306156216139,asd_son
F-001C2U,6.244348581574491,asd_son
F-002C1A,6.149506562406359,asd_son
F-002C2U,6.401898662744292,asd_son
F-003C1A,6.22695540567416,asd_son
F-003C2U,6.372478943927099,asd_son
F-004C1A,6.208980733529684,asd_son
F-004C2U,6.373194671158132,asd_son
F-005C1A,6.326488767752653,asd_son
F-006C1A,6.444374537014408,asd_son
F-007C1A,6.4427300175078095,asd_son
F-007C2U,6.3494087639622,asd_son
F-008C2U,6.430220091371429,asd_son
