,shannon,study_name
CSM5FZ3N_P,9.498791929608963,HMP_2019_ibdmdb
CSM5FZ3R_P,9.433885649635668,HMP_2019_ibdmdb
CSM5FZ3T_P,9.483712324211087,HMP_2019_ibdmdb
CSM5FZ3V_P,9.433158886767238,HMP_2019_ibdmdb
CSM5FZ3X_P,9.456436694967804,HMP_2019_ibdmdb
CSM5FZ3Z_P,9.388224272816236,HMP_2019_ibdmdb
CSM5FZ42_P,9.27550995165464,HMP_2019_ibdmdb
CSM5FZ44_P,9.408501265445434,HMP_2019_ibdmdb
CSM5FZ46_P,9.43942235838612,HMP_2019_ibdmdb
CSM5FZ4A_P,9.440553312024312,HMP_2019_ibdmdb
CSM5FZ4C_P,9.450564754524324,HMP_2019_ibdmdb
CSM5FZ4E_P,9.38724766920018,HMP_2019_ibdmdb
CSM5FZ4G_P,9.36841164919656,HMP_2019_ibdmdb
CSM5FZ4K_P,9.477674277042652,HMP_2019_ibdmdb
CSM5FZ4M,9.460511225872398,HMP_2019_ibdmdb
CSM5LLGB_P,9.41863570871743,HMP_2019_ibdmdb
CSM5MCTZ_P,9.47147257308855,HMP_2019_ibdmdb
CSM5MCU4_P,9.412619215828471,HMP_2019_ibdmdb
CSM5MCU8_P,9.471884446407351,HMP_2019_ibdmdb
CSM5MCUA_P,9.417530526679169,HMP_2019_ibdmdb
CSM5MCUC_P,9.363637622880363,HMP_2019_ibdmdb
CSM5MCUE_P,9.455786254598308,HMP_2019_ibdmdb
CSM5MCUG_P,9.44360641525463,HMP_2019_ibdmdb
CSM5MCUK_P,9.424960850881495,HMP_2019_ibdmdb
CSM5MCUO,9.490523164307561,HMP_2019_ibdmdb
CSM5MCUQ_P,9.449115830068656,HMP_2019_ibdmdb
CSM5MCUS_P,9.484958045141573,HMP_2019_ibdmdb
CSM5MCUW_P,9.453468595688335,HMP_2019_ibdmdb
CSM5MCUY_P,9.39657547814043,HMP_2019_ibdmdb
CSM5MCV1_P,9.45800127411462,HMP_2019_ibdmdb
CSM5MCV5_P,9.53482078921353,HMP_2019_ibdmdb
CSM5MCVB_P,9.440459467940851,HMP_2019_ibdmdb
CSM5MCVD_P,9.426475329582782,HMP_2019_ibdmdb
CSM5MCVF_P,9.436301972710284,HMP_2019_ibdmdb
CSM5MCVJ_P,9.357593055955364,HMP_2019_ibdmdb
CSM5MCVL,9.493771020758626,HMP_2019_ibdmdb
CSM5MCVN,9.485906563597398,HMP_2019_ibdmdb
CSM5MCVV_P,9.457212096060443,HMP_2019_ibdmdb
CSM5MCVZ_P,9.38400569184724,HMP_2019_ibdmdb
CSM5MCW4_P,9.422289262182913,HMP_2019_ibdmdb
CSM5MCW6,9.490445220375975,HMP_2019_ibdmdb
CSM5MCWA_P,9.459037317667105,HMP_2019_ibdmdb
CSM5MCWC,9.46348655799101,HMP_2019_ibdmdb
CSM5MCWE,9.480126505800275,HMP_2019_ibdmdb
CSM5MCWG,9.381015289062534,HMP_2019_ibdmdb
CSM5MCWI_P,9.381255453127341,HMP_2019_ibdmdb
CSM5MCWK_P,9.473262185316809,HMP_2019_ibdmdb
CSM5MCWM_P,9.390535746437658,HMP_2019_ibdmdb
CSM5MCWQ,9.511161637428792,HMP_2019_ibdmdb
CSM5MCX3,9.503369952849798,HMP_2019_ibdmdb
CSM5MCXB_P,9.491108904191499,HMP_2019_ibdmdb
CSM5MCXD,9.492247131411101,HMP_2019_ibdmdb
CSM5MCXF_P,9.536209815054058,HMP_2019_ibdmdb
CSM5MCXH,9.486291792151556,HMP_2019_ibdmdb
CSM5MCXJ,9.499768411822094,HMP_2019_ibdmdb
CSM5MCXL,9.481040625523729,HMP_2019_ibdmdb
CSM5MCXN,9.511748738168873,HMP_2019_ibdmdb
CSM5MCXP,9.494879585238968,HMP_2019_ibdmdb
CSM5MCXR,9.513955553460873,HMP_2019_ibdmdb
CSM5MCXT,9.54269924024011,HMP_2019_ibdmdb
CSM5MCXV,9.511164445178869,HMP_2019_ibdmdb
CSM5MCXX_P,9.493018877537436,HMP_2019_ibdmdb
CSM5MCXZ_P,9.506573729268142,HMP_2019_ibdmdb
CSM5MCY2,9.525773609541616,HMP_2019_ibdmdb
CSM5MCY4,9.51060087952074,HMP_2019_ibdmdb
CSM5MCY8,9.466855638908589,HMP_2019_ibdmdb
CSM5MCYI_P,9.506717891985527,HMP_2019_ibdmdb
CSM5MCYM_P,9.501136988287712,HMP_2019_ibdmdb
CSM5MCYO_P,9.519683410170279,HMP_2019_ibdmdb
CSM5MCYQ_P,9.490811150144374,HMP_2019_ibdmdb
CSM5MCYS,9.493719223760046,HMP_2019_ibdmdb
CSM5MCYU_P,9.52492082343691,HMP_2019_ibdmdb
CSM5MCYW,9.480715824848891,HMP_2019_ibdmdb
CSM5MCZ3,9.495706537893408,HMP_2019_ibdmdb
CSM5MCZ5,9.473876024596768,HMP_2019_ibdmdb
CSM5MCZ7,9.474534699287755,HMP_2019_ibdmdb
