,shannon,study_name
GupDM_HAJ,9.575447970236386,GuptaA_2019
SAMD00114903,9.552975631163015,YachidaS_2019
SAMD00164976,9.564089199657241,YachidaS_2019
CCMD31009081ST-11-0,9.532567975012363,WirbelJ_2018
SAMD00114970,9.552526730283935,YachidaS_2019
SAMD00115009,9.543425972757246,YachidaS_2019
SAMD00164868,9.557071224937014,YachidaS_2019
SAMD00114902,9.516417972851764,YachidaS_2019
SAMD00164855,9.551426381065,YachidaS_2019
SAMD00114987,9.52249369591813,YachidaS_2019
MMRS54316675ST-27-0-0,9.549644287898674,VogtmannE_2016
CCIS27304052ST-3-0,9.51961886963217,ZellerG_2014
SAMD00114724,9.566610554542098,YachidaS_2019
SAMD00114953,9.545095419284488,YachidaS_2019
SAMD00164869,9.552746754068194,YachidaS_2019
SAMD00164990,9.53964915538124,YachidaS_2019
CCMD11006829ST-21-0,9.53147262705367,WirbelJ_2018
CCMD54057834ST-11-0,9.551696943375358,WirbelJ_2018
SAMD00114914,9.568063882906058,YachidaS_2019
SAMD00164933,9.51777140519744,YachidaS_2019
MMRS81135225ST-27-0-0,9.55423818721369,VogtmannE_2016
SAMD00115000,9.56944793167753,YachidaS_2019
SAMD00114718,9.581017320374691,YachidaS_2019
SAMD00164923,9.54899190340025,YachidaS_2019
CCIS48174381ST-4-0,9.566699805817612,ZellerG_2014
SAMD00164774,9.52861253413974,YachidaS_2019
CCIS16326685ST-4-0,9.56307369430918,ZellerG_2014
MMRS65862658ST-27-0-0,9.505963587746091,VogtmannE_2016
GupDM_A13,9.554244830880496,GuptaA_2019
MMRS77487595ST-27-0-0,9.572277289347642,VogtmannE_2016
MMRS38861560ST-27-0-0,9.554052914271153,VogtmannE_2016
MG100149,9.531087026996495,HanniganGD_2017
MMRS41266697ST-27-0-0,9.583082913262613,VogtmannE_2016
SID530890,9.541004407863664,FengQ_2015
CCMD90311071ST-21-0,9.575405662699541,WirbelJ_2018
MG100146,9.577996630402422,HanniganGD_2017
SAMD00114830,9.527776342260601,YachidaS_2019
SAMD00114839,9.529049727752085,YachidaS_2019
GupDM_HAN,9.570727446224986,GuptaA_2019
SAMD00164911,9.550520930196262,YachidaS_2019
MMRS78791111ST-27-0-0,9.578199196974024,VogtmannE_2016
