,shannon,study_name
GupDM_HAJ,9.167175321177563,GuptaA_2019
SAMD00114903,9.258103171181862,YachidaS_2019
SAMD00164976,9.325775654606714,YachidaS_2019
CCMD31009081ST-11-0,9.132623238648081,WirbelJ_2018
SAMD00114970,9.278012379530313,YachidaS_2019
SAMD00115009,9.315588035594352,YachidaS_2019
SAMD00164868,9.277258469356308,YachidaS_2019
SAMD00114902,9.260152580773054,YachidaS_2019
SAMD00164855,9.293661940832848,YachidaS_2019
SAMD00114987,9.256229773101134,YachidaS_2019
MMRS54316675ST-27-0-0,9.255334980615892,VogtmannE_2016
CCIS27304052ST-3-0,9.205804113258322,ZellerG_2014
SAMD00114724,9.205636589029544,YachidaS_2019
SAMD00114953,9.327051256080935,YachidaS_2019
SAMD00164869,9.259993634533124,YachidaS_2019
SAMD00164990,9.322792539534259,YachidaS_2019
CCMD11006829ST-21-0,9.26706602739879,WirbelJ_2018
CCMD54057834ST-11-0,9.301490902454589,WirbelJ_2018
SAMD00114914,9.279634176988381,YachidaS_2019
SAMD00164933,9.195704266478057,YachidaS_2019
MMRS81135225ST-27-0-0,9.234284835679295,VogtmannE_2016
SAMD00115000,9.24778210667799,YachidaS_2019
SAMD00114718,9.261862780475258,YachidaS_2019
SAMD00164923,9.225257645802179,YachidaS_2019
CCIS48174381ST-4-0,9.339894767407486,ZellerG_2014
SAMD00164774,9.308753451561302,YachidaS_2019
CCIS16326685ST-4-0,9.295269395314516,ZellerG_2014
MMRS65862658ST-27-0-0,9.253050523924149,VogtmannE_2016
GupDM_A13,9.25423073307479,GuptaA_2019
MMRS77487595ST-27-0-0,9.306390025353997,VogtmannE_2016
MMRS38861560ST-27-0-0,9.258540332062573,VogtmannE_2016
MG100149,9.149814599667268,HanniganGD_2017
MMRS41266697ST-27-0-0,9.272488510274517,VogtmannE_2016
SID530890,9.28482671639492,FengQ_2015
CCMD90311071ST-21-0,9.257905912632848,WirbelJ_2018
MG100146,9.310938860673383,HanniganGD_2017
SAMD00114830,9.147229712187945,YachidaS_2019
SAMD00114839,9.275021711743333,YachidaS_2019
GupDM_HAN,9.172359191550141,GuptaA_2019
SAMD00164911,9.254513325920206,YachidaS_2019
MMRS78791111ST-27-0-0,9.188006126745398,VogtmannE_2016
SZAXPI015255-46,9.263734199464386,YuJ_2015
SZAXPI015254-45,9.25643567813012,YuJ_2015
SAMD00115014,9.217957622163032,YachidaS_2019
SAMD00114722,9.272141452727906,YachidaS_2019
SAMD00164915,9.33389873627756,YachidaS_2019
SID31021,9.24271303271673,FengQ_2015
SAMD00114973,9.261522109256587,YachidaS_2019
SAMD00115010,9.279468732961917,YachidaS_2019
SAMD00114939,9.178511137915079,YachidaS_2019
MMRS62376181ST-27-0-0,9.206306789535668,VogtmannE_2016
SAMD00114826,9.253835045642473,YachidaS_2019
SAMD00114832,9.24546271050626,YachidaS_2019
SAMD00114948,9.342491494775901,YachidaS_2019
SAMD00114745,9.153642339320761,YachidaS_2019
SAMD00114865,9.242441386365122,YachidaS_2019
SAMD00164884,9.229696628763827,YachidaS_2019
CCIS95409808ST-4-0,9.270579454403862,ZellerG_2014
SID530373,9.18491182977559,FengQ_2015
CCIS50471204ST-4-0,9.218648619444355,ZellerG_2014
SAMD00154995,9.211856268234923,YachidaS_2019
SAMD00164967,9.180103821928654,YachidaS_2019
GupDM_HS,9.298310834388829,GuptaA_2019
SAMD00115033,9.33273141528159,YachidaS_2019
CCIS58234805ST-4-0,9.268073372700718,ZellerG_2014
SZAXPI003419-6,9.265135843620142,YuJ_2015
CCIS46047672ST-4-0,9.265504724292342,ZellerG_2014
SAMD00114757,9.229904978452597,YachidaS_2019
SAMD00114879,9.264625332450361,YachidaS_2019
SAMD00114819,9.28912831394631,YachidaS_2019
CCIS14449628ST-4-0,9.21929171001048,ZellerG_2014
SAMD00115019,9.242115041573085,YachidaS_2019
GupDM_A9,9.230108625720122,GuptaA_2019
CCIS03473770ST-4-0,9.261313675863736,ZellerG_2014
GupDM_A6,9.251580558310902,GuptaA_2019
MG100165,9.293225353370122,HanniganGD_2017
SAMD00114920,9.20557862893672,YachidaS_2019
SAMD00165002,9.275015387231376,YachidaS_2019
GupDM_A5,9.304047097292074,GuptaA_2019
MMRS81194191ST-27-0-0,9.233728949649699,VogtmannE_2016
MMRS95674036ST-27-0-0,9.219538063212246,VogtmannE_2016
SZAXPI015219-129,9.295436309648961,YuJ_2015
SZAXPI003413-4,9.243633584145611,YuJ_2015
SAMD00164890,9.219520278522731,YachidaS_2019
CCMD75147712ST-11-0,9.282456863257428,WirbelJ_2018
CCMD64776337ST-21-0,9.209028492818105,WirbelJ_2018
SZAXPI015251-41,9.163786528293217,YuJ_2015
CCIS35100175ST-4-0,9.274656654960342,ZellerG_2014
CCMD49025643ST-11-0,9.232140590754145,WirbelJ_2018
CCIS63468405ST-4-0,9.241130148548509,ZellerG_2014
CCIS79210440ST-3-0,9.234914655872766,ZellerG_2014
SZAXPI017464-37,9.247368306723253,YuJ_2015
SAMD00164779,9.227430984099618,YachidaS_2019
SZAXPI015226-14,9.191484745708069,YuJ_2015
SAMD00114848,9.290261606886101,YachidaS_2019
CCIS23164343ST-4-0,9.305042434766998,ZellerG_2014
MMRS92727331ST-27-0-0,9.219265355089082,VogtmannE_2016
MMRS44197125ST-27-0-0,9.279905225425416,VogtmannE_2016
SAMD00165017,9.256985683660588,YachidaS_2019
CCIS33816588ST-4-0,9.167486042833776,ZellerG_2014
SZAXPI017586-111,9.207828899074658,YuJ_2015
SAMD00164898,9.321541497483217,YachidaS_2019
CCIS41692898ST-4-0,9.26951740476455,ZellerG_2014
CCMD99929634ST-11-0,9.22345250615357,WirbelJ_2018
SAMD00115029,9.272300089002826,YachidaS_2019
SAMD00114957,9.23250760991968,YachidaS_2019
SAMD00165023,9.180646083643815,YachidaS_2019
SAMD00164981,9.215201257497302,YachidaS_2019
CCMD19497912ST-21-0,9.280810092726336,WirbelJ_2018
MMRS33294861ST-27-0-0,9.239089676420015,VogtmannE_2016
SAMD00164927,9.263972676868217,YachidaS_2019
SID531128,9.221304952076823,FengQ_2015
GupDM_HAG,9.342635054691856,GuptaA_2019
SAMD00164946,9.203293120568805,YachidaS_2019
SAMD00115018,9.261542419933464,YachidaS_2019
SAMD00164851,9.16829514199592,YachidaS_2019
CCIS50148151ST-4-0,9.245464255671283,ZellerG_2014
SZAXPI015250-39,9.117733481961931,YuJ_2015
MG100168,9.286099713587605,HanniganGD_2017
SAMD00115034,9.191431772329894,YachidaS_2019
CCIS51595129ST-4-0,9.290565099232468,ZellerG_2014
MMRS56137463ST-27-0-0,9.22225540508739,VogtmannE_2016
SZAXPI003435-11,9.202728833316462,YuJ_2015
SAMD00164987,9.196561840597864,YachidaS_2019
SAMD00114908,9.16686110698898,YachidaS_2019
SAMD00164912,9.194371504548508,YachidaS_2019
SAMD00114781,9.156947743927562,YachidaS_2019
SAMD00114889,9.250312697954852,YachidaS_2019
GupDM_HCT,9.195476806357467,GuptaA_2019
SAMD00165005,9.278447847299313,YachidaS_2019
CCMD25963797ST-21-0,9.252368802975063,WirbelJ_2018
SAMD00114817,9.170225309902735,YachidaS_2019
SAMD00164968,9.308792008872741,YachidaS_2019
