,shannon,study_name
GupDM_HAJ,9.783903059466805,GuptaA_2019
SAMD00114903,9.798415492600412,YachidaS_2019
SAMD00164976,9.799424524199097,YachidaS_2019
CCMD31009081ST-11-0,9.798387570441117,WirbelJ_2018
SAMD00114970,9.778985981456238,YachidaS_2019
SAMD00115009,9.79010852772446,YachidaS_2019
SAMD00164868,9.756476716120702,YachidaS_2019
SAMD00114902,9.716042985137483,YachidaS_2019
SAMD00164855,9.796092870505094,YachidaS_2019
SAMD00114987,9.778626899140125,YachidaS_2019
MMRS54316675ST-27-0-0,9.79314918500715,VogtmannE_2016
CCIS27304052ST-3-0,9.797632360917834,ZellerG_2014
SAMD00114724,9.781623538817309,YachidaS_2019
SAMD00114953,9.78795930089806,YachidaS_2019
SAMD00164869,9.793707941200196,YachidaS_2019
SAMD00164990,9.796369717643715,YachidaS_2019
CCMD11006829ST-21-0,9.795900160068342,WirbelJ_2018
CCMD54057834ST-11-0,9.7963245978017,WirbelJ_2018
SAMD00114914,9.781681091736425,YachidaS_2019
SAMD00164933,9.772324267732577,YachidaS_2019
MMRS81135225ST-27-0-0,9.79501613509089,VogtmannE_2016
SAMD00115000,9.788496824832432,YachidaS_2019
SAMD00114718,9.765039108220954,YachidaS_2019
SAMD00164923,9.793808873931109,YachidaS_2019
CCIS48174381ST-4-0,9.79141669858071,ZellerG_2014
SAMD00164774,9.773436196327742,YachidaS_2019
CCIS16326685ST-4-0,9.78437880990716,ZellerG_2014
MMRS65862658ST-27-0-0,9.805046154986305,VogtmannE_2016
GupDM_A13,9.79560828791052,GuptaA_2019
MMRS77487595ST-27-0-0,9.786251102871203,VogtmannE_2016
MMRS38861560ST-27-0-0,9.79684723094846,VogtmannE_2016
MG100149,9.776775743514381,HanniganGD_2017
MMRS41266697ST-27-0-0,9.795518650636335,VogtmannE_2016
SID530890,9.805199900532477,FengQ_2015
CCMD90311071ST-21-0,9.797460554723868,WirbelJ_2018
MG100146,9.7937736859642,HanniganGD_2017
SAMD00114830,9.79638703244358,YachidaS_2019
SAMD00114839,9.746029782251844,YachidaS_2019
GupDM_HAN,9.780073198557822,GuptaA_2019
SAMD00164911,9.782972254165934,YachidaS_2019
MMRS78791111ST-27-0-0,9.785875995473711,VogtmannE_2016
SZAXPI015255-46,9.800702463523113,YuJ_2015
SZAXPI015254-45,9.804560120618923,YuJ_2015
SAMD00115014,9.776059985730823,YachidaS_2019
SAMD00114722,9.797577151635434,YachidaS_2019
SAMD00164915,9.796311377778038,YachidaS_2019
SID31021,9.7974969262753,FengQ_2015
SAMD00114973,9.802685676231027,YachidaS_2019
SAMD00115010,9.767097482675583,YachidaS_2019
SAMD00114939,9.795547235459539,YachidaS_2019
MMRS62376181ST-27-0-0,9.79551174494994,VogtmannE_2016
SAMD00114826,9.79518545901434,YachidaS_2019
SAMD00114832,9.795923417603454,YachidaS_2019
SAMD00114948,9.798841393779487,YachidaS_2019
SAMD00114745,9.792183279535378,YachidaS_2019
SAMD00114865,9.778306356863665,YachidaS_2019
SAMD00164884,9.793566826196223,YachidaS_2019
CCIS95409808ST-4-0,9.799584642003673,ZellerG_2014
SID530373,9.79585378518385,FengQ_2015
CCIS50471204ST-4-0,9.80505772435604,ZellerG_2014
SAMD00154995,9.790812265144869,YachidaS_2019
SAMD00164967,9.778546828003195,YachidaS_2019
GupDM_HS,9.778036388789376,GuptaA_2019
SAMD00115033,9.787961043487314,YachidaS_2019
CCIS58234805ST-4-0,9.78349090319685,ZellerG_2014
SZAXPI003419-6,9.786423763705356,YuJ_2015
CCIS46047672ST-4-0,9.788083202199495,ZellerG_2014
SAMD00114757,9.7971605486772,YachidaS_2019
SAMD00114879,9.806818723563383,YachidaS_2019
SAMD00114819,9.799549137881122,YachidaS_2019
CCIS14449628ST-4-0,9.790204567070441,ZellerG_2014
SAMD00115019,9.800103775902826,YachidaS_2019
GupDM_A9,9.770174286332434,GuptaA_2019
CCIS03473770ST-4-0,9.807506212334768,ZellerG_2014
GupDM_A6,9.801601231888187,GuptaA_2019
MG100165,9.780097943726474,HanniganGD_2017
SAMD00114920,9.79994936326174,YachidaS_2019
SAMD00165002,9.780397232016751,YachidaS_2019
GupDM_A5,9.792527126069205,GuptaA_2019
MMRS81194191ST-27-0-0,9.796244028627932,VogtmannE_2016
MMRS95674036ST-27-0-0,9.786988066708089,VogtmannE_2016
SZAXPI015219-129,9.780278712750718,YuJ_2015
SZAXPI003413-4,9.798233695370559,YuJ_2015
SAMD00164890,9.775329983897757,YachidaS_2019
CCMD75147712ST-11-0,9.75093511720696,WirbelJ_2018
CCMD64776337ST-21-0,9.795772932487235,WirbelJ_2018
SZAXPI015251-41,9.795044818288412,YuJ_2015
CCIS35100175ST-4-0,9.805071355431213,ZellerG_2014
CCMD49025643ST-11-0,9.790643300528407,WirbelJ_2018
CCIS63468405ST-4-0,9.781297287384902,ZellerG_2014
CCIS79210440ST-3-0,9.798896429386225,ZellerG_2014
SZAXPI017464-37,9.780932080113647,YuJ_2015
SAMD00164779,9.800070729183702,YachidaS_2019
SZAXPI015226-14,9.792051444967672,YuJ_2015
SAMD00114848,9.791537729179494,YachidaS_2019
CCIS23164343ST-4-0,9.792033357607444,ZellerG_2014
MMRS92727331ST-27-0-0,9.786189908705376,VogtmannE_2016
MMRS44197125ST-27-0-0,9.803816768721687,VogtmannE_2016
SAMD00165017,9.786201315373997,YachidaS_2019
CCIS33816588ST-4-0,9.811113040132959,ZellerG_2014
SZAXPI017586-111,9.804134378520509,YuJ_2015
SAMD00164898,9.782108554402734,YachidaS_2019
CCIS41692898ST-4-0,9.801259198615726,ZellerG_2014
CCMD99929634ST-11-0,9.798001845551246,WirbelJ_2018
SAMD00115029,9.797604922144046,YachidaS_2019
SAMD00114957,9.802564105050632,YachidaS_2019
SAMD00165023,9.80069364133881,YachidaS_2019
SAMD00164981,9.703618657188136,YachidaS_2019
CCMD19497912ST-21-0,9.79577640378702,WirbelJ_2018
MMRS33294861ST-27-0-0,9.796023512083057,VogtmannE_2016
SAMD00164927,9.750838065512362,YachidaS_2019
SID531128,9.80826782329696,FengQ_2015
GupDM_HAG,9.758463313865635,GuptaA_2019
SAMD00164946,9.784794817319268,YachidaS_2019
SAMD00115018,9.797184506268064,YachidaS_2019
SAMD00164851,9.767425447731233,YachidaS_2019
CCIS50148151ST-4-0,9.791130760830848,ZellerG_2014
SZAXPI015250-39,9.800242848342412,YuJ_2015
MG100168,9.751923216411644,HanniganGD_2017
SAMD00115034,9.773606505209894,YachidaS_2019
CCIS51595129ST-4-0,9.795029516380907,ZellerG_2014
MMRS56137463ST-27-0-0,9.778625227116876,VogtmannE_2016
SZAXPI003435-11,9.800179882858888,YuJ_2015
SAMD00164987,9.800036596749745,YachidaS_2019
SAMD00114908,9.788827370379476,YachidaS_2019
SAMD00164912,9.762258062241308,YachidaS_2019
SAMD00114781,9.779012543836393,YachidaS_2019
SAMD00114889,9.786949760104514,YachidaS_2019
GupDM_HCT,9.789864953003121,GuptaA_2019
SAMD00165005,9.773842198348682,YachidaS_2019
CCMD25963797ST-21-0,9.80089035185973,WirbelJ_2018
SAMD00114817,9.788371002354467,YachidaS_2019
SAMD00164968,9.787977734241295,YachidaS_2019
MMRS68910755ST-27-0-0,9.793060449899807,VogtmannE_2016
CCMD21703880ST-11-0,9.804686789870777,WirbelJ_2018
MMRS62666492ST-27-0-0,9.789156248704476,VogtmannE_2016
SAMD00114733,9.804400584729471,YachidaS_2019
SAMD00114857,9.790756501518949,YachidaS_2019
MG100128,9.774912010388222,HanniganGD_2017
SAMD00164984,9.75593911063854,YachidaS_2019
SID530177,9.79397759245867,FengQ_2015
MMRS97307143ST-27-0-0,9.790921202797369,VogtmannE_2016
SAMD00165033,9.781500030883949,YachidaS_2019
CCIS38765456ST-20-0,9.809234588351286,ZellerG_2014
SAMD00114833,9.799275809042284,YachidaS_2019
SAMD00114929,9.766149357104197,YachidaS_2019
CCMD67373733ST-11-0,9.784764769969502,WirbelJ_2018
SZAXPI003430-5,9.769059688518192,YuJ_2015
CCMD18872694ST-21-0,9.799342690884577,WirbelJ_2018
SAMD00164995,9.79699374172848,YachidaS_2019
MMRS39415781ST-27-0-0,9.78885103218484,VogtmannE_2016
SAMD00115003,9.797438299221414,YachidaS_2019
CCIS78318719ST-4-0,9.80224629698528,ZellerG_2014
CCMD12232071ST-21-0,9.79300251887864,WirbelJ_2018
MMPU29365221ST,9.789568678042533,WirbelJ_2018
CCIS88007743ST-4-0,9.791229609280764,ZellerG_2014
GupDM_HCR,9.788450500332576,GuptaA_2019
MG100173,9.800175050240476,HanniganGD_2017
CCIS15704761ST-4-0,9.78077818974115,ZellerG_2014
MG100126,9.793051227103433,HanniganGD_2017
MMRS77018926ST-27-0-0,9.795214212503883,VogtmannE_2016
MG100148,9.787112117337793,HanniganGD_2017
SZAXPI017465-43,9.79963007828953,YuJ_2015
SAMD00114912,9.757497901596246,YachidaS_2019
MG100180,9.801320527327094,HanniganGD_2017
SAMD00114990,9.766725428492512,YachidaS_2019
GupDM_JA,9.802517095563717,GuptaA_2019
SAMD00164820,9.778856726774267,YachidaS_2019
SAMD00114876,9.783490955595223,YachidaS_2019
SAMD00114838,9.767185615620372,YachidaS_2019
SAMD00165003,9.786676674101258,YachidaS_2019
CCIS55230578ST-4-0,9.805141628727156,ZellerG_2014
SAMD00114979,9.791210064343659,YachidaS_2019
SAMD00164891,9.789953626889282,YachidaS_2019
GupDM_JM,9.795582917112874,GuptaA_2019
CCIS09568613ST-4-0,9.79159852084379,ZellerG_2014
MMRS97327636ST-27-0-0,9.777570423864134,VogtmannE_2016
SAMD00114823,9.796735192977406,YachidaS_2019
SAMD00164998,9.796071315137588,YachidaS_2019
SAMD00114846,9.79189520857342,YachidaS_2019
SID31868,9.788244916527422,FengQ_2015
MG100150,9.769929279403046,HanniganGD_2017
SAMD00164767,9.802972279055554,YachidaS_2019
CCIS46467422ST-4-0,9.773354240365165,ZellerG_2014
CCMD26925580ST-21-0,9.800799059147467,WirbelJ_2018
SAMD00164721,9.787963665391857,YachidaS_2019
GupDM_HAP,9.746288678035903,GuptaA_2019
CCIS98512455ST-4-0,9.800878783415264,ZellerG_2014
MMRS43939546ST-27-0-0,9.801455630954202,VogtmannE_2016
GupDM_HCO,9.750091864305212,GuptaA_2019
SAMD00164865,9.797726082056382,YachidaS_2019
SAMD00164803,9.793620827784242,YachidaS_2019
SZAXPI015272-108,9.78725138696129,YuJ_2015
SZAXPI015227-13,9.801497651903128,YuJ_2015
SAMD00114759,9.797902665805822,YachidaS_2019
SAMD00164870,9.784576178745773,YachidaS_2019
CCIS07539127ST-4-0,9.801074891682026,ZellerG_2014
MG100171,9.78594071936208,HanniganGD_2017
SZAXPI003427-1,9.793461087870398,YuJ_2015
SAMD00164986,9.792477097409197,YachidaS_2019
SZAXPI017462-33,9.79601527576959,YuJ_2015
CCMD35801800ST-11-0,9.800760816351838,WirbelJ_2018
MMRS51728985ST-27-0-0,9.75372356052714,VogtmannE_2016
CCMD63399960ST-21-0,9.805406554037337,WirbelJ_2018
MMRS85382779ST-27-0-0,9.803877513012909,VogtmannE_2016
SAMD00114941,9.786924483373957,YachidaS_2019
SAMD00114896,9.795493993608352,YachidaS_2019
SID530074,9.788915723399626,FengQ_2015
CCMD46222674ST-21-0,9.79945003417031,WirbelJ_2018
SAMD00164841,9.753005789538978,YachidaS_2019
SAMD00114964,9.750845314420738,YachidaS_2019
MG100154,9.780856808120292,HanniganGD_2017
SAMD00164861,9.789669638855017,YachidaS_2019
SAMD00164931,9.799816538848606,YachidaS_2019
SAMD00114815,9.718984854167745,YachidaS_2019
CCIS61287323ST-4-0,9.783341942240051,ZellerG_2014
SZAXPI015253-44,9.791239559721198,YuJ_2015
CCMD35633353ST-11-0,9.79110253034845,WirbelJ_2018
SAMD00114719,9.794430217720969,YachidaS_2019
SAMD00114862,9.794888371195658,YachidaS_2019
SZAXPI003432-12,9.74411734257255,YuJ_2015
CCIS06260551ST-3-0,9.788060438496087,ZellerG_2014
CCIS11362406ST-4-0,9.801386730104769,ZellerG_2014
SAMD00114835,9.798563561229575,YachidaS_2019
SAMD00114951,9.782419110383996,YachidaS_2019
CCMD64503764ST-21-0,9.79672839697377,WirbelJ_2018
SAMD00114732,9.781968924904378,YachidaS_2019
SZAXPI003411-6,9.778635456451962,YuJ_2015
CCIS90164298ST-4-0,9.796382388808688,ZellerG_2014
SAMD00165020,9.783572558660198,YachidaS_2019
CCMD72666896ST-11-0,9.782653113479487,WirbelJ_2018
SAMD00164778,9.796238333528203,YachidaS_2019
SAMD00164832,9.777827771756659,YachidaS_2019
SAMD00164878,9.785559100604072,YachidaS_2019
SAMD00165009,9.755676932818885,YachidaS_2019
SAMD00114763,9.800587281472938,YachidaS_2019
SAMD00114747,9.792781717135757,YachidaS_2019
CCMD93344354ST-21-0,9.788844346611356,WirbelJ_2018
MG100134,9.794913112891079,HanniganGD_2017
SAMD00164745,9.789077146371701,YachidaS_2019
SAMD00114868,9.776141894476423,YachidaS_2019
MG100132,9.799694121988964,HanniganGD_2017
MMRS92546335ST-27-0-0,9.787789652110414,VogtmannE_2016
SAMD00164773,9.792448717484996,YachidaS_2019
SAMD00164949,9.801130423773325,YachidaS_2019
SAMD00114841,9.805588256282919,YachidaS_2019
MG100167,9.800139078395828,HanniganGD_2017
SZAXPI015273-95,9.806070169533465,YuJ_2015
SAMD00164834,9.80074425921723,YachidaS_2019
SAMD00154991,9.781881431311195,YachidaS_2019
SAMD00164837,9.80059547537321,YachidaS_2019
SAMD00164860,9.791503620856032,YachidaS_2019
SAMD00115032,9.798402102549412,YachidaS_2019
SAMD00164839,9.792207431253342,YachidaS_2019
SZAXPI015224-13,9.790014328711889,YuJ_2015
CCMD42956136ST-11-0,9.770088783939704,WirbelJ_2018
MMRS91297590ST-27-0-0,9.792806650596015,VogtmannE_2016
MMRS99045180ST-27-0-0,9.784999490088037,VogtmannE_2016
SAMD00115015,9.792121403968622,YachidaS_2019
GupDM_HAH,9.755740121728985,GuptaA_2019
CCMD60079086ST-21-0,9.798461324937385,WirbelJ_2018
SAMD00114982,9.78671598409964,YachidaS_2019
SAMD00114734,9.795468700575583,YachidaS_2019
SAMD00164936,9.783868709185375,YachidaS_2019
MMRS42570301ST-27-0-0,9.796730630330579,VogtmannE_2016
SAMD00114909,9.771611813707668,YachidaS_2019
MMRS86178473ST-27-0-0,9.799564825949648,VogtmannE_2016
CCMD86114146ST-21-0,9.796052267924573,WirbelJ_2018
SAMD00114808,9.770979348554095,YachidaS_2019
MMRS90191266ST-27-0-0,9.802388532033174,VogtmannE_2016
SAMD00164852,9.772159911047472,YachidaS_2019
MMRS93621581ST-27-0-0,9.805468337894803,VogtmannE_2016
CCMD66848156ST-11-0,9.802238155401753,WirbelJ_2018
SAMD00114886,9.78752807261359,YachidaS_2019
CCIS53043478ST-4-0,9.798920023383978,ZellerG_2014
GupDM_A3,9.792091582470384,GuptaA_2019
SAMD00114900,9.754938301385188,YachidaS_2019
SZAXPI015246-34,9.791810164159767,YuJ_2015
CCMD13071240ST-21-0,9.80649800678705,WirbelJ_2018
SAMD00114922,9.791143632560138,YachidaS_2019
CCIS91228662ST-4-0,9.798135658699314,ZellerG_2014
SAMD00164748,9.77799230733782,YachidaS_2019
SAMD00114899,9.789116609603093,YachidaS_2019
CCMD37575804ST-11-0,9.801466254160532,WirbelJ_2018
SAMD00114728,9.804255152791349,YachidaS_2019
MMRS39582183ST-27-0-0,9.793120405511978,VogtmannE_2016
CCMD23541216ST-11-0,9.796021714562931,WirbelJ_2018
CCMD23101338ST-21-0,9.79333906361725,WirbelJ_2018
SAMD00114944,9.779664582311963,YachidaS_2019
CCIS78100604ST-4-0,9.803022639739828,ZellerG_2014
CCMD74592084ST-11-0,9.79391853948068,WirbelJ_2018
MMRS51307502ST-27-0-0,9.803385851740849,VogtmannE_2016
SAMD00115020,9.791128866520086,YachidaS_2019
SZAXPI017590-136,9.793946325113517,YuJ_2015
GupDM_JL,9.805909365835678,GuptaA_2019
GupDM_HAO,9.796799678796416,GuptaA_2019
CCMD22852639ST-11-0,9.803542245687483,WirbelJ_2018
MG100145,9.760022746828977,HanniganGD_2017
CCMD79349503ST-11-0,9.795513757157094,WirbelJ_2018
CCMD51154251ST-11-0,9.799406270135973,WirbelJ_2018
MMRS12272136ST-27-0-0,9.79602133894257,VogtmannE_2016
SAMD00114881,9.786124591320815,YachidaS_2019
SAMD00164889,9.797398475709102,YachidaS_2019
