,shannon,study_name
GupDM_HAJ,9.765500669271146,GuptaA_2019
SAMD00114903,9.77651470209862,YachidaS_2019
SAMD00164976,9.78321458018622,YachidaS_2019
CCMD31009081ST-11-0,9.759900474616762,WirbelJ_2018
SAMD00114970,9.776711291052107,YachidaS_2019
SAMD00115009,9.78581827973003,YachidaS_2019
SAMD00164868,9.785260790624294,YachidaS_2019
SAMD00114902,9.7712927415739,YachidaS_2019
SAMD00164855,9.78644470436546,YachidaS_2019
SAMD00114987,9.784802419564032,YachidaS_2019
MMRS54316675ST-27-0-0,9.776009916701673,VogtmannE_2016
CCIS27304052ST-3-0,9.769278643528732,ZellerG_2014
SAMD00114724,9.769681795194295,YachidaS_2019
SAMD00114953,9.790511775402743,YachidaS_2019
SAMD00164869,9.781512464407152,YachidaS_2019
SAMD00164990,9.788315118191132,YachidaS_2019
CCMD11006829ST-21-0,9.772437126603686,WirbelJ_2018
CCMD54057834ST-11-0,9.782126201262095,WirbelJ_2018
SAMD00114914,9.778978560930021,YachidaS_2019
SAMD00164933,9.76728173052827,YachidaS_2019
MMRS81135225ST-27-0-0,9.773157880047625,VogtmannE_2016
SAMD00115000,9.777439705669718,YachidaS_2019
SAMD00114718,9.772065700548845,YachidaS_2019
SAMD00164923,9.779065206970714,YachidaS_2019
CCIS48174381ST-4-0,9.795666619875742,ZellerG_2014
SAMD00164774,9.781167808193139,YachidaS_2019
CCIS16326685ST-4-0,9.783798761969352,ZellerG_2014
MMRS65862658ST-27-0-0,9.774422704178694,VogtmannE_2016
GupDM_A13,9.773588385700625,GuptaA_2019
MMRS77487595ST-27-0-0,9.789097897874566,VogtmannE_2016
MMRS38861560ST-27-0-0,9.777294567666315,VogtmannE_2016
MG100149,9.765610460936383,HanniganGD_2017
MMRS41266697ST-27-0-0,9.778755405246585,VogtmannE_2016
SID530890,9.78530461963135,FengQ_2015
CCMD90311071ST-21-0,9.779686424759738,WirbelJ_2018
MG100146,9.782922113552159,HanniganGD_2017
SAMD00114830,9.758609067629445,YachidaS_2019
SAMD00114839,9.776212176941558,YachidaS_2019
GupDM_HAN,9.770538054617925,GuptaA_2019
SAMD00164911,9.781929538646391,YachidaS_2019
MMRS78791111ST-27-0-0,9.76305733873581,VogtmannE_2016
SZAXPI015255-46,9.77961716364535,YuJ_2015
SZAXPI015254-45,9.774836667106703,YuJ_2015
SAMD00115014,9.772143235018454,YachidaS_2019
SAMD00114722,9.774206790480601,YachidaS_2019
SAMD00164915,9.786957986199015,YachidaS_2019
SID31021,9.77740188096336,FengQ_2015
SAMD00114973,9.770283362023342,YachidaS_2019
SAMD00115010,9.771674485339254,YachidaS_2019
SAMD00114939,9.772633693090707,YachidaS_2019
MMRS62376181ST-27-0-0,9.770756889576457,VogtmannE_2016
SAMD00114826,9.775672722708281,YachidaS_2019
SAMD00114832,9.774989234423185,YachidaS_2019
SAMD00114948,9.792111171295629,YachidaS_2019
SAMD00114745,9.765503294579798,YachidaS_2019
SAMD00114865,9.774552377527938,YachidaS_2019
SAMD00164884,9.765713425599595,YachidaS_2019
CCIS95409808ST-4-0,9.78034828207106,ZellerG_2014
SID530373,9.776677167173933,FengQ_2015
CCIS50471204ST-4-0,9.779251187378811,ZellerG_2014
SAMD00154995,9.771710562800896,YachidaS_2019
SAMD00164967,9.768501366241154,YachidaS_2019
GupDM_HS,9.786748202838135,GuptaA_2019
SAMD00115033,9.778834715358252,YachidaS_2019
CCIS58234805ST-4-0,9.77439206158551,ZellerG_2014
SZAXPI003419-6,9.791240212865574,YuJ_2015
CCIS46047672ST-4-0,9.774818028875561,ZellerG_2014
SAMD00114757,9.774760152680232,YachidaS_2019
SAMD00114879,9.776259203316293,YachidaS_2019
SAMD00114819,9.775766997490297,YachidaS_2019
CCIS14449628ST-4-0,9.774874661287026,ZellerG_2014
SAMD00115019,9.778072426877962,YachidaS_2019
GupDM_A9,9.774240950267178,GuptaA_2019
CCIS03473770ST-4-0,9.776784055258727,ZellerG_2014
GupDM_A6,9.779466343728568,GuptaA_2019
MG100165,9.785178461440982,HanniganGD_2017
SAMD00114920,9.771813128065324,YachidaS_2019
SAMD00165002,9.784990205563007,YachidaS_2019
GupDM_A5,9.783061435890843,GuptaA_2019
MMRS81194191ST-27-0-0,9.773059199449483,VogtmannE_2016
MMRS95674036ST-27-0-0,9.767754157206257,VogtmannE_2016
SZAXPI015219-129,9.776405673154539,YuJ_2015
SZAXPI003413-4,9.774919774274403,YuJ_2015
SAMD00164890,9.776307698419627,YachidaS_2019
CCMD75147712ST-11-0,9.776538548128999,WirbelJ_2018
