,shannon,Dataset
Glcikman_MDR6,2.110515876123226,New
FEB016W1.01,5.219405026328137,Old
DEB01624.01,5.471074192789503,Old
Glcikman_MDR11,3.43447961494136,New
AEB016X3.01,4.701391854603289,Old
Glcikman_MDR5,1.9661702986111598,New
JEB014L3.01,4.804108650618208,Old
Glcikman_MDR7,2.565516497060495,New
Glcikman_MDR8,3.5007842022002733,New
Glcikman_MDR4,4.240937680527906,New
Glcikman_MDR15,1.549437453351687,New
FEB017BF.01,4.489399562943537,Old
Glcikman_MDR48,3.9087504760678446,New
CEB017CZ.01,5.21634244894246,Old
Glcikman_MDR47,2.197336008759809,New
AEB01513.01,4.710902323972217,Old
Glcikman_MDR30,3.407209082702666,New
X0096CK00,0.6835216777807261,Old
EEB016WS.01,5.023913790024357,Old
Glcikman_MDR46,1.5985348208098007,New
GEB0179R.01,5.072868662787525,Old
Glcikman_MDR22,2.5277794605717174,New
Glcikman_MDR73,2.132830667039884,New
FEB016P3.01,5.498200653359221,Old
Glcikman_MDR29,2.025068796283452,New
X0094QH00,4.507622829601211,Old
Glcikman_MDR38,4.803453145582913,New
Glcikman_MDR70,4.965168295063965,New
Glcikman_MDR72,3.7784131121412288,New
Glcikman_MDR85,0.381292880901311,New
Glcikman_MDR33,3.555997699523647,New
CEB015DP.01,3.7428081688306998,Old
CEB01751.01,5.568208527779377,Old
EEB010Y7.01,5.7716098749224765,Old
JEB0150S.01,4.359244883540215,Old
X009DDC00,4.776404652290576,Old
CEB0106R.01,3.7406405426728924,Old
Glcikman_MDR45,3.4467226472116668,New
Glcikman_MDR35,2.5165472468885115,New
Glcikman_MDR19,2.4474606384155204,New
Glcikman_MDR110,4.541775160763002,New
Glcikman_MDR79,2.629268031824662,New
Glcikman_MDR111,5.006440841217952,New
DEB015RL.01,4.882283065634452,Old
Glcikman_MDR107,2.879547136885642,New
Glcikman_MDR74,2.89771493716273,New
X009CZF00,3.7553773483376864,Old
CEB017KB.01,5.658494256921014,Old
Glcikman_MDR36,2.3769358355148733,New
X0096YA00,3.0427746192978615,Old
Glcikman_MDR13,3.8119383391565185,New
Glcikman_MDR105,5.12630101660194,New
Glcikman_MDR67,4.160472656064265,New
KEB016MJ.01,5.921001327822783,Old
Glcikman_MDR101,3.0199187459710366,New
Glcikman_MDR76,4.822495589844576,New
Glcikman_MDR68,4.627913962755514,New
BEB0155H.01,5.4731689036338755,Old
BEB017YQ.01,5.1998175698929785,Old
GEB011FN.01,5.508662521354575,Old
Glcikman_MDR86,1.3610138406631282,New
FEB016J7.01,5.157588328314601,Old
Glcikman_MDR106,2.3343297588321352,New
Glcikman_MDR63,3.3707776320315306,New
Glcikman_MDR9,2.1528323014369297,New
HEB014KS.01,5.031151761149898,Old
X0096QK00,5.193874167671781,Old
X0098FC00,4.491612165886646,Old
X009DCG00,4.360974273683944,Old
Glcikman_MDR3,2.1419512260411877,New
X0094NK00,3.787881928250354,Old
HEB0102P.01,3.794177633751257,Old
Glcikman_MDR10,3.728898748175836,New
GEB0183R.01,5.866206124500922,Old
Glcikman_MDR31,1.9839966845164962,New
Glcikman_MDR59,3.1285291757959013,New
EEB017FR.01,5.571427768389388,Old
Glcikman_MDR24,4.395041100496025,New
Glcikman_MDR78,3.1401284955750626,New
KEB016WG.01,5.321734582630119,Old
GEB015VW.01,5.77063021687761,Old
Glcikman_MDR18,2.413115213057478,New
Glcikman_MDR28,2.640766372097387,New
Glcikman_MDR77,0.7105318222013455,New
AEB010TH.01,5.55922344072447,Old
X0098SG00,3.9872565615156743,Old
BEB010DX.01,3.988715005237314,Old
Glcikman_MDR89,2.5404609270801455,New
X00924J00,4.079409656338235,Old
Glcikman_MDR71,3.325696266257383,New
DEB014GJ.01,3.2752889380737003,Old
Glcikman_MDR83,2.4504531154032922,New
DEB0169N.01,5.4819766561552585,Old
DEB0114X.01,5.493137133133649,Old
FEB015S1.01,5.259786087000521,Old
HEB014G6.01,3.157644071125394,Old
AEB016HN.01,5.3472778586404175,Old
DEB0184Z.01,4.909509898063892,Old
Glcikman_MDR66,4.516092526217424,New
Glcikman_MDR99,2.5597788746910983,New
Glcikman_MDR23,2.1854694852168715,New
Glcikman_MDR37,2.8267917440282453,New
Glcikman_MDR88,1.5411380532101582,New
Glcikman_MDR41,3.5049416939199016,New
X008YSA00,5.83764881074768,Old
Glcikman_MDR80,5.404646006087536,New
Glcikman_MDR61,1.3043337308428913,New
Glcikman_MDR52,5.425603613396985,New
Glcikman_MDR25,3.5705793762843956,New
Glcikman_MDR44,2.5489943625209723,New
X009C8G00,3.5076792494209097,Old
Glcikman_MDR53,1.8416477712227053,New
Glcikman_MDR55,5.233065573910736,New
X009J7E00,4.985731654547014,Old
Glcikman_MDR2,3.103226551706633,New
X00990K00,3.5184909600452583,Old
HEB017PG.01,5.153766113993768,Old
Glcikman_MDR98,3.119488080978073,New
Glcikman_MDR100,5.2190561679941165,New
Glcikman_MDR1,1.081349147913232,New
X0091SD00,4.390306745428915,Old
BEB014WD.01,3.4550260968421465,Old
Glcikman_MDR57,1.9517124460389108,New
Glcikman_MDR90,2.886332763580755,New
Glcikman_MDR42,3.2144066455056013,New
Glcikman_MDR108,3.7608582188544015,New
X009C6E00,1.7951438151791972,Old
Glcikman_MDR104,2.354149426562255,New
DEB01116.01,4.8622977181084375,Old
Glcikman_MDR12,1.8926302681676552,New
Glcikman_MDR43,3.458724168144599,New
Glcikman_MDR82,2.0993445994237208,New
Glcikman_MDR65,4.97126104090375,New
Glcikman_MDR97,2.322109462989468,New
Glcikman_MDR91,4.978179098762283,New
Glcikman_MDR26,4.4374566807964175,New
X0090MF00,3.1581752098548272,Old
Glcikman_MDR62,3.9381148680316995,New
Glcikman_MDR95,1.9673778264403474,New
Glcikman_MDR64,4.043861333220867,New
KEB015NK.01,4.45881392264693,Old
X00904E00,4.910848486656326,Old
X008ZQF00,5.378761421696055,Old
X0097HA00,3.5017512264277273,Old
Glcikman_MDR17,2.5944347890244672,New
X009CXC00,5.256230048449111,Old
Glcikman_MDR21,4.955380287243804,New
Glcikman_MDR54,2.293895512996871,New
Glcikman_MDR20,2.2221822420698554,New
Glcikman_MDR60,4.671341996954938,New
Glcikman_MDR75,3.55056959419717,New
X0093KA00,2.0013658841629756,Old
Glcikman_MDR34,4.666930480045185,New
Glcikman_MDR27,2.0167372423664,New
Glcikman_MDR87,4.8255153176492325,New
X009CGD00,4.252622622801698,Old
AEB00ZYB.01,5.10001306106084,Old
Glcikman_MDR84,1.9149096045374938,New
X009FDG00,4.408367108962868,Old
BEB011PS.01,4.456656251089009,Old
Glcikman_MDR81,1.0898443800527606,New
HEB016FD.01,5.59124342599347,Old
Glcikman_MDR49,2.8706368054036444,New
Glcikman_MDR69,4.334566743578117,New
Glcikman_MDR93,1.3064114938400135,New
X0090SC00,4.507860173816313,Old
Glcikman_MDR16,4.36286470274433,New
Glcikman_MDR56,3.1689275094397784,New
Glcikman_MDR102,1.479483587865311,New
BEB01680.01,5.571433849332204,Old
Glcikman_MDR40,2.5700589346962692,New
Glcikman_MDR109,2.825391870520737,New
Glcikman_MDR14,1.2552114519053055,New
Glcikman_MDR39,2.427056895765513,New
X00965J00,3.7800795083238485,Old
