,shannon,Dataset
Glcikman_MDR6,8.085697760964004,New
FEB016W1.01,7.9770236230270335,Old
DEB01624.01,7.884371024618567,Old
Glcikman_MDR11,7.949735599888545,New
AEB016X3.01,7.946013427764087,Old
Glcikman_MDR5,8.073923610305686,New
JEB014L3.01,7.905170484632771,Old
Glcikman_MDR7,8.08116009328307,New
Glcikman_MDR8,8.027332963869561,New
Glcikman_MDR4,8.0261803641703,New
Glcikman_MDR15,8.064693315319765,New
FEB017BF.01,7.950034767125214,Old
Glcikman_MDR48,8.014777653936928,New
CEB017CZ.01,7.895671947633837,Old
Glcikman_MDR47,8.090517679603648,New
AEB01513.01,7.929769752285031,Old
Glcikman_MDR30,8.043991967871902,New
X0096CK00,8.086939060156391,Old
EEB016WS.01,7.957852585865109,Old
Glcikman_MDR46,8.086220354514808,New
GEB0179R.01,7.916704648148042,Old
Glcikman_MDR22,8.089757608253857,New
Glcikman_MDR73,8.09926779815814,New
FEB016P3.01,7.872478296902331,Old
Glcikman_MDR29,8.085735317732302,New
X0094QH00,8.031294977259789,Old
Glcikman_MDR38,7.951387912451052,New
Glcikman_MDR70,7.898095423755642,New
Glcikman_MDR72,7.936024545962518,New
Glcikman_MDR85,8.104772029018715,New
Glcikman_MDR33,8.033282311945044,New
CEB015DP.01,7.9814072603015855,Old
CEB01751.01,7.880304129943252,Old
EEB010Y7.01,7.8742793268863815,Old
JEB0150S.01,7.940525816034392,Old
X009DDC00,8.017331244313377,Old
CEB0106R.01,7.9860792497100235,Old
Glcikman_MDR45,8.038254001061706,New
Glcikman_MDR35,8.06767886141591,New
Glcikman_MDR19,8.073161490880684,New
Glcikman_MDR110,7.941002972778989,New
Glcikman_MDR79,8.05708538563889,New
Glcikman_MDR111,7.8863156924295925,New
DEB015RL.01,7.9067715697168275,Old
Glcikman_MDR107,8.084494174288539,New
Glcikman_MDR74,8.081804640863739,New
X009CZF00,8.050448600203994,Old
CEB017KB.01,7.841617441381282,Old
