,shannon,Dataset
Glcikman_MDR6,8.08360595793951,New
FEB016W1.01,8.09337300105253,Old
DEB01624.01,8.089812303310097,Old
Glcikman_MDR11,8.105977599178159,New
AEB016X3.01,8.089789789614386,Old
Glcikman_MDR5,8.084214196999014,New
JEB014L3.01,8.108903853462051,Old
Glcikman_MDR7,8.102927472895187,New
Glcikman_MDR8,8.11657485112687,New
Glcikman_MDR4,8.101523512906791,New
Glcikman_MDR15,8.119131056670566,New
FEB017BF.01,8.104743402953543,Old
Glcikman_MDR48,8.11111129586607,New
CEB017CZ.01,8.084925373709948,Old
Glcikman_MDR47,8.113152356355645,New
AEB01513.01,8.095964208673564,Old
Glcikman_MDR30,8.096775583255607,New
X0096CK00,8.122375760606094,Old
EEB016WS.01,8.079695789901855,Old
Glcikman_MDR46,8.120600346527176,New
GEB0179R.01,8.119808420087299,Old
Glcikman_MDR22,8.111836802206552,New
Glcikman_MDR73,8.111267084647933,New
FEB016P3.01,8.076494304562738,Old
Glcikman_MDR29,8.1032425464323,New
X0094QH00,8.1212922477772,Old
Glcikman_MDR38,8.10789319434312,New
Glcikman_MDR70,8.1184111944434,New
Glcikman_MDR72,8.119133272067268,New
Glcikman_MDR85,8.096280669080823,New
Glcikman_MDR33,8.117287847940217,New
CEB015DP.01,8.103189204250235,Old
CEB01751.01,8.067213812007202,Old
EEB010Y7.01,8.096223831920046,Old
JEB0150S.01,8.084468473702893,Old
X009DDC00,8.122297553296894,Old
CEB0106R.01,8.101973905350057,Old
Glcikman_MDR45,8.103677277667966,New
Glcikman_MDR35,8.096022551049336,New
Glcikman_MDR19,8.102939995649018,New
Glcikman_MDR110,8.112168538000462,New
Glcikman_MDR79,8.103504616385353,New
Glcikman_MDR111,8.118156529190227,New
DEB015RL.01,8.103540316076403,Old
Glcikman_MDR107,8.11627063290185,New
Glcikman_MDR74,8.120544577978457,New
X009CZF00,8.122389052355489,Old
CEB017KB.01,8.06365716913389,Old
Glcikman_MDR36,8.117929688754588,New
X0096YA00,8.121619257847458,Old
Glcikman_MDR13,8.116648515265991,New
Glcikman_MDR105,8.114299790196192,New
Glcikman_MDR67,8.116518539908736,New
KEB016MJ.01,8.071420947006349,Old
Glcikman_MDR101,8.114508279131211,New
Glcikman_MDR76,8.11656293278676,New
Glcikman_MDR68,8.114506225962336,New
BEB0155H.01,8.037844710787612,Old
BEB017YQ.01,8.115095107676384,Old
GEB011FN.01,8.098560653972436,Old
Glcikman_MDR86,8.10767584166748,New
FEB016J7.01,8.088387061625486,Old
Glcikman_MDR106,8.093458939370437,New
Glcikman_MDR63,8.119025556914579,New
Glcikman_MDR9,8.103408341092438,New
