,shannon,Dataset
Glcikman_MDR6,8.094249361774416,New
FEB016W1.01,8.008233398514136,Old
DEB01624.01,7.936998325405427,Old
Glcikman_MDR11,7.9811282772805106,New
AEB016X3.01,7.984257702136438,Old
Glcikman_MDR5,8.08526699826614,New
JEB014L3.01,7.954607191336089,Old
Glcikman_MDR7,8.090978570042303,New
Glcikman_MDR8,8.048577522315318,New
Glcikman_MDR4,8.045053896104436,New
Glcikman_MDR15,8.077298208110207,New
FEB017BF.01,7.987375224140458,Old
Glcikman_MDR48,8.03494494504,New
CEB017CZ.01,7.944887167546468,Old
Glcikman_MDR47,8.096339578154838,New
AEB01513.01,7.974764478351475,Old
Glcikman_MDR30,8.059754810546009,New
X0096CK00,8.096475180652694,Old
EEB016WS.01,7.993656514672367,Old
Glcikman_MDR46,8.093137924950518,New
GEB0179R.01,7.964213869580528,Old
Glcikman_MDR22,8.097143999276316,New
Glcikman_MDR73,8.103111728588338,New
FEB016P3.01,7.928433451501038,Old
Glcikman_MDR29,8.091303475642443,New
X0094QH00,8.051667732144411,Old
Glcikman_MDR38,7.983287393648782,New
Glcikman_MDR70,7.938678253243397,New
Glcikman_MDR72,7.96818706856679,New
Glcikman_MDR85,8.106858771366992,New
Glcikman_MDR33,8.051028569169858,New
CEB015DP.01,8.013655476751206,Old
CEB01751.01,7.934787878412654,Old
EEB010Y7.01,7.931513101037554,Old
JEB0150S.01,7.9802268637139155,Old
X009DDC00,8.03934860295059,Old
CEB0106R.01,8.016881407112349,Old
Glcikman_MDR45,8.054644951355488,New
Glcikman_MDR35,8.07920165801323,New
Glcikman_MDR19,8.084576104254996,New
Glcikman_MDR110,7.972109920161603,New
Glcikman_MDR79,8.069126985183793,New
Glcikman_MDR111,7.933414855294831,New
DEB015RL.01,7.954472036043748,Old
Glcikman_MDR107,8.093181633478869,New
Glcikman_MDR74,8.090892158072775,New
X009CZF00,8.06656599801174,Old
CEB017KB.01,7.905852374386069,Old
Glcikman_MDR36,8.085184391385665,New
X0096YA00,8.096309865097416,Old
Glcikman_MDR13,8.055162157091717,New
Glcikman_MDR105,7.98870119244991,New
Glcikman_MDR67,8.009590792351394,New
KEB016MJ.01,7.895674492267137,Old
Glcikman_MDR101,8.01084074133986,New
Glcikman_MDR76,7.935636250370615,New
Glcikman_MDR68,7.97216435872423,New
BEB0155H.01,7.9363793156345,Old
BEB017YQ.01,7.992585601600051,Old
GEB011FN.01,7.907184532557337,Old
Glcikman_MDR86,8.0774470344771,New
FEB016J7.01,7.983318458779534,Old
Glcikman_MDR106,8.086162130134376,New
Glcikman_MDR63,8.083396907232078,New
Glcikman_MDR9,8.09921784856543,New
HEB014KS.01,7.9341133872869465,Old
X0096QK00,8.05087165788389,Old
X0098FC00,8.059883942809101,Old
X009DCG00,8.0666767842552,Old
Glcikman_MDR3,8.08285641244213,New
X0094NK00,8.084639502135913,Old
HEB0102P.01,7.987549988743362,Old
Glcikman_MDR10,8.022890205146116,New
GEB0183R.01,7.878201031507268,Old
Glcikman_MDR31,8.081072436877255,New
Glcikman_MDR59,8.064939665150774,New
EEB017FR.01,7.881679582318865,Old
Glcikman_MDR24,7.969817348012832,New
Glcikman_MDR78,8.041203891684127,New
KEB016WG.01,7.9542661524829965,Old
GEB015VW.01,7.912143402571158,Old
Glcikman_MDR18,8.079778905346881,New
Glcikman_MDR28,8.089570640689946,New
Glcikman_MDR77,8.106684103822534,New
AEB010TH.01,7.934026412916083,Old
X0098SG00,8.064551370947438,Old
BEB010DX.01,7.996991535781262,Old
Glcikman_MDR89,8.083037369492168,New
X00924J00,8.044826880790595,Old
Glcikman_MDR71,8.05259867788394,New
DEB014GJ.01,8.096739206509413,Old
Glcikman_MDR83,8.06799185952226,New
DEB0169N.01,7.925999510237136,Old
DEB0114X.01,7.9540116869073865,Old
FEB015S1.01,7.922366333277346,Old
HEB014G6.01,8.032769937000959,Old
AEB016HN.01,7.952906619188821,Old
DEB0184Z.01,7.9293728897624405,Old
Glcikman_MDR66,8.019506549484095,New
Glcikman_MDR99,8.054084582661098,New
Glcikman_MDR23,8.065198096555566,New
Glcikman_MDR37,8.079957289158813,New
Glcikman_MDR88,8.105109635186437,New
Glcikman_MDR41,8.068183684292848,New
X008YSA00,7.887384911087425,Old
Glcikman_MDR80,7.969579092953665,New
Glcikman_MDR61,8.100240666652732,New
Glcikman_MDR52,7.931510082381694,New
Glcikman_MDR25,8.070570794456339,New
Glcikman_MDR44,8.056342410236114,New
X009C8G00,8.08076116034792,Old
Glcikman_MDR53,8.09886013863584,New
Glcikman_MDR55,7.969313576471688,New
X009J7E00,8.029771539220151,Old
Glcikman_MDR2,8.069181998704275,New
X00990K00,8.030594186834481,Old
HEB017PG.01,7.951109920092624,Old
Glcikman_MDR98,8.089977604192626,New
Glcikman_MDR100,7.963894490560408,New
Glcikman_MDR1,8.09274059324051,New
X0091SD00,8.087000298176697,Old
BEB014WD.01,8.03659559217216,Old
Glcikman_MDR57,8.10370515181041,New
Glcikman_MDR90,8.074757948161675,New
Glcikman_MDR42,8.08176841799827,New
Glcikman_MDR108,7.973564082035765,New
X009C6E00,8.074089718299359,Old
Glcikman_MDR104,8.086939015224994,New
DEB01116.01,8.002387806903073,Old
Glcikman_MDR12,8.100667609105487,New
Glcikman_MDR43,8.06633148871787,New
Glcikman_MDR82,8.087437323962211,New
Glcikman_MDR65,7.935356791904416,New
Glcikman_MDR97,8.092749217640861,New
Glcikman_MDR91,7.915447608624937,New
Glcikman_MDR26,8.000201432940749,New
X0090MF00,8.085422559254457,Old
Glcikman_MDR62,8.030086036968786,New
Glcikman_MDR95,8.094637947103484,New
Glcikman_MDR64,8.00937970790334,New
KEB015NK.01,7.967232081329979,Old
X00904E00,8.071377996215512,Old
X008ZQF00,7.967690007707625,Old
X0097HA00,8.037194018616896,Old
Glcikman_MDR17,8.071841304138143,New
X009CXC00,8.054126709489893,Old
Glcikman_MDR21,7.922862155814193,New
Glcikman_MDR54,8.090771712672343,New
Glcikman_MDR20,8.097031808128188,New
Glcikman_MDR60,7.9558559073698865,New
