,shannon,study_name
CCIS31434951ST-20-0,4.138864352099528,ZellerG_2014
SAMD00164921,4.41737753538786,YachidaS_2019
MG100190,4.07713260629663,HanniganGD_2017
SAMD00114970,3.509619501045678,YachidaS_2019
SAMD00115009,4.990194111769044,YachidaS_2019
SAMD00114987,4.09543608086973,YachidaS_2019
CCIS27304052ST-3-0,4.373994518708443,ZellerG_2014
SAMD00114953,4.483444824068004,YachidaS_2019
MG100191,4.406198332810096,HanniganGD_2017
SAMD00164933,3.7532707912469547,YachidaS_2019
SAMD00114718,4.45650895774846,YachidaS_2019
SAMD00164923,3.0426968276419504,YachidaS_2019
CCIS48174381ST-4-0,4.566164288550977,ZellerG_2014
SAMD00164774,4.093971213750743,YachidaS_2019
CCIS16326685ST-4-0,3.907867501422074,ZellerG_2014
SAMD00114830,3.855124883201419,YachidaS_2019
SAMD00164911,4.387428418743433,YachidaS_2019
SAMD00114827,4.241251271563515,YachidaS_2019
SAMD00164915,3.8207670512705403,YachidaS_2019
SID31021,2.234196760461186,FengQ_2015
SAMD00114973,4.4551503000953225,YachidaS_2019
SAMD00164887,4.48672503901669,YachidaS_2019
SAMD00114832,3.7568665431825226,YachidaS_2019
CCIS95409808ST-4-0,3.9412099394943128,ZellerG_2014
SAMD00114745,4.289206035827534,YachidaS_2019
SAMD00114865,2.569103624400616,YachidaS_2019
CCIS50471204ST-4-0,4.015613765908554,ZellerG_2014
SAMD00164967,3.5443322511531714,YachidaS_2019
SAMD00115033,2.354609761265567,YachidaS_2019
MG100202,4.058060457562706,HanniganGD_2017
SAMD00114757,3.803526731295887,YachidaS_2019
SAMD00114819,4.106561523589529,YachidaS_2019
SAMD00114923,4.291268783714566,YachidaS_2019
SAMD00115019,3.791407709008645,YachidaS_2019
CCIS03473770ST-4-0,3.9827454763371426,ZellerG_2014
MG100165,4.209065903773022,HanniganGD_2017
SAMD00164890,3.9274256820134505,YachidaS_2019
CCIS24898163ST-4-0,4.220310751980051,ZellerG_2014
CCIS63468405ST-4-0,3.7309307259906466,ZellerG_2014
CCIS79210440ST-3-0,4.181066380016825,ZellerG_2014
MG100199,3.684835386734319,HanniganGD_2017
CCIS23164343ST-4-0,3.632127519339701,ZellerG_2014
LILT_VF140_T016,3.7091455980433086,ThomasAM_2018a
CCIS44743950ST-4-0,4.343927302967414,ZellerG_2014
MG100194,3.9780784677007164,HanniganGD_2017
SAMD00164898,4.359955211065313,YachidaS_2019
CCIS41692898ST-4-0,2.968399286535847,ZellerG_2014
SAMD00165023,3.8726569892898595,YachidaS_2019
SID530450,4.351868567238893,FengQ_2015
SAMD00164927,3.783519195820635,YachidaS_2019
CCIS90443472ST-4-0,3.650649344276909,ZellerG_2014
SAMD00115018,4.480652235560024,YachidaS_2019
MG100181,3.954396700633078,HanniganGD_2017
MG100168,3.506095348654094,HanniganGD_2017
CCIS51595129ST-4-0,4.224148465776253,ZellerG_2014
SAMD00114908,4.277144680665497,YachidaS_2019
SAMD00114781,3.158611414898464,YachidaS_2019
SAMD00114889,4.195561128679185,YachidaS_2019
LILT_GF17_16,4.588323688813226,ThomasAM_2018a
CCIS44676181ST-4-0,3.8667245350307153,ZellerG_2014
SAMD00165033,3.851932579217033,YachidaS_2019
SID530177,4.310300055761634,FengQ_2015
SAMD00114833,4.236682242512596,YachidaS_2019
SAMD00114929,3.9635287053400607,YachidaS_2019
SAMD00115003,4.512567541073841,YachidaS_2019
CCIS88007743ST-4-0,4.074184506620549,ZellerG_2014
MG100173,4.008367613372311,HanniganGD_2017
SAMD00164900,3.9495352009771776,YachidaS_2019
SAMD00114866,4.090210878456332,YachidaS_2019
SAMD00164924,4.13809656680183,YachidaS_2019
MG100180,4.4069123401049035,HanniganGD_2017
