,shannon,study_name
CCIS31434951ST-20-0,9.210492506673797,ZellerG_2014
SAMD00164921,8.328338756282681,YachidaS_2019
MG100190,8.318423649244927,HanniganGD_2017
SAMD00114970,8.839268803276248,YachidaS_2019
SAMD00115009,7.278522034041273,YachidaS_2019
SAMD00114987,9.10303343372811,YachidaS_2019
CCIS27304052ST-3-0,9.075315092538304,ZellerG_2014
SAMD00114953,8.642443484499303,YachidaS_2019
MG100191,8.562315992225292,HanniganGD_2017
SAMD00164933,9.221810091379677,YachidaS_2019
SAMD00114718,6.708262582795946,YachidaS_2019
SAMD00164923,9.060530361362973,YachidaS_2019
CCIS48174381ST-4-0,8.837793287205987,ZellerG_2014
SAMD00164774,8.501426019725379,YachidaS_2019
CCIS16326685ST-4-0,9.136744899451118,ZellerG_2014
SAMD00114830,8.854646540123497,YachidaS_2019
SAMD00164911,8.68709812932118,YachidaS_2019
SAMD00114827,9.011105559004976,YachidaS_2019
SAMD00164915,8.720842702471398,YachidaS_2019
SID31021,9.035128483711391,FengQ_2015
SAMD00114973,8.988698401087447,YachidaS_2019
SAMD00164887,9.21078129000612,YachidaS_2019
SAMD00114832,9.070993327288557,YachidaS_2019
CCIS95409808ST-4-0,7.033945696624891,ZellerG_2014
SAMD00114745,8.437976470329652,YachidaS_2019
SAMD00114865,8.718650304995146,YachidaS_2019
CCIS50471204ST-4-0,8.926520036362112,ZellerG_2014
SAMD00164967,7.997349333367012,YachidaS_2019
SAMD00115033,6.732870697582551,YachidaS_2019
MG100202,8.830380539346224,HanniganGD_2017
SAMD00114757,3.99080604850957,YachidaS_2019
SAMD00114819,9.031532435321584,YachidaS_2019
SAMD00114923,8.882989204917543,YachidaS_2019
SAMD00115019,7.782401392598342,YachidaS_2019
CCIS03473770ST-4-0,9.103341266521847,ZellerG_2014
MG100165,9.23267924329829,HanniganGD_2017
SAMD00164890,9.239930324267936,YachidaS_2019
CCIS24898163ST-4-0,9.126127956969318,ZellerG_2014
CCIS63468405ST-4-0,8.085001509124035,ZellerG_2014
CCIS79210440ST-3-0,8.655062339557306,ZellerG_2014
MG100199,8.70815880568302,HanniganGD_2017
CCIS23164343ST-4-0,8.992105072841238,ZellerG_2014
LILT_VF140_T016,6.59377432387369,ThomasAM_2018a
CCIS44743950ST-4-0,7.826336332473257,ZellerG_2014
MG100194,6.992917546880077,HanniganGD_2017
SAMD00164898,7.346754632785179,YachidaS_2019
CCIS41692898ST-4-0,8.776720408227513,ZellerG_2014
SAMD00165023,8.085715049133105,YachidaS_2019
SID530450,7.287740247175143,FengQ_2015
SAMD00164927,8.635255169136704,YachidaS_2019
CCIS90443472ST-4-0,8.295284139323792,ZellerG_2014
SAMD00115018,8.467373123353081,YachidaS_2019
MG100181,8.866758712521035,HanniganGD_2017
MG100168,3.2636198886160743,HanniganGD_2017
CCIS51595129ST-4-0,6.7812982855440875,ZellerG_2014
SAMD00114908,8.724745468053547,YachidaS_2019
SAMD00114781,8.900230707142562,YachidaS_2019
SAMD00114889,8.069492650428334,YachidaS_2019
LILT_GF17_16,7.146593570753258,ThomasAM_2018a
CCIS44676181ST-4-0,8.281248556504954,ZellerG_2014
SAMD00165033,8.60613351704059,YachidaS_2019
SID530177,7.917851517090179,FengQ_2015
SAMD00114833,7.704723420100858,YachidaS_2019
SAMD00114929,6.239293910271931,YachidaS_2019
SAMD00115003,8.79925502595187,YachidaS_2019
CCIS88007743ST-4-0,9.20794246845379,ZellerG_2014
MG100173,8.984419805788322,HanniganGD_2017
SAMD00164900,8.706943467980892,YachidaS_2019
SAMD00114866,8.58711029776175,YachidaS_2019
SAMD00164924,8.56982583141027,YachidaS_2019
MG100180,8.587635999294879,HanniganGD_2017
SAMD00114990,8.642318254764426,YachidaS_2019
SAMD00114876,9.000478677846361,YachidaS_2019
SAMD00114838,9.003848331021082,YachidaS_2019
SAMD00114979,9.005849402275022,YachidaS_2019
LILT_VF197_T017,8.019220919043155,ThomasAM_2018a
SAMD00164891,8.548725883842057,YachidaS_2019
CCIS09568613ST-4-0,8.287763489910999,ZellerG_2014
CCIS51667829ST-4-0,8.547737057174386,ZellerG_2014
SAMD00164865,7.185969461409957,YachidaS_2019
SAMD00164803,2.9528026296246184,YachidaS_2019
SAMD00164870,8.589034214850594,YachidaS_2019
CCIS07539127ST-4-0,7.812578361538966,ZellerG_2014
