,shannon,study_name
CCIS31434951ST-20-0,9.518850750975146,ZellerG_2014
SAMD00164921,9.502472191635992,YachidaS_2019
MG100190,9.461204486615406,HanniganGD_2017
SAMD00114970,9.478911488095239,YachidaS_2019
SAMD00115009,9.508804553068202,YachidaS_2019
SAMD00114987,9.495140997609894,YachidaS_2019
CCIS27304052ST-3-0,9.493151722557114,ZellerG_2014
SAMD00114953,9.51273178136055,YachidaS_2019
MG100191,9.48826961788495,HanniganGD_2017
SAMD00164933,9.496186464887577,YachidaS_2019
SAMD00114718,9.477320721578156,YachidaS_2019
SAMD00164923,9.526020954793365,YachidaS_2019
CCIS48174381ST-4-0,9.505636534633345,ZellerG_2014
SAMD00164774,9.469207037300263,YachidaS_2019
CCIS16326685ST-4-0,9.48993840318293,ZellerG_2014
SAMD00114830,9.511866519446203,YachidaS_2019
SAMD00164911,9.492962549267617,YachidaS_2019
SAMD00114827,9.518574420723526,YachidaS_2019
SAMD00164915,9.476412323228496,YachidaS_2019
SID31021,9.47374639536518,FengQ_2015
SAMD00114973,9.485173830677358,YachidaS_2019
SAMD00164887,9.441286951988051,YachidaS_2019
SAMD00114832,9.474770778432605,YachidaS_2019
CCIS95409808ST-4-0,9.503044681991355,ZellerG_2014
SAMD00114745,9.497073109081361,YachidaS_2019
SAMD00114865,9.482426370150746,YachidaS_2019
CCIS50471204ST-4-0,9.506379634927509,ZellerG_2014
SAMD00164967,9.513708374620833,YachidaS_2019
SAMD00115033,9.500369024356749,YachidaS_2019
MG100202,9.486973325583715,HanniganGD_2017
SAMD00114757,9.500938257155301,YachidaS_2019
SAMD00114819,9.495308477741663,YachidaS_2019
SAMD00114923,9.484866855776907,YachidaS_2019
SAMD00115019,9.482174698901094,YachidaS_2019
CCIS03473770ST-4-0,9.512546925132405,ZellerG_2014
MG100165,9.503779571944522,HanniganGD_2017
SAMD00164890,9.495798520727012,YachidaS_2019
CCIS24898163ST-4-0,9.489845029527817,ZellerG_2014
CCIS63468405ST-4-0,9.514244128272813,ZellerG_2014
CCIS79210440ST-3-0,9.498601927600909,ZellerG_2014
MG100199,9.513112761374757,HanniganGD_2017
CCIS23164343ST-4-0,9.502557187608346,ZellerG_2014
LILT_VF140_T016,9.508389371388533,ThomasAM_2018a
CCIS44743950ST-4-0,9.471501233327807,ZellerG_2014
MG100194,9.51097693323303,HanniganGD_2017
SAMD00164898,9.499908512196978,YachidaS_2019
CCIS41692898ST-4-0,9.495024745406516,ZellerG_2014
SAMD00165023,9.505303470286238,YachidaS_2019
SID530450,9.465487872157796,FengQ_2015
SAMD00164927,9.500998832503342,YachidaS_2019
