,shannon,study_name
CCIS31434951ST-20-0,9.721883069222265,ZellerG_2014
SAMD00164921,9.714375115847833,YachidaS_2019
MG100190,9.727802488038977,HanniganGD_2017
SAMD00114970,9.729408975369497,YachidaS_2019
SAMD00115009,9.721153797461108,YachidaS_2019
SAMD00114987,9.737636966757025,YachidaS_2019
CCIS27304052ST-3-0,9.718457134774178,ZellerG_2014
SAMD00114953,9.733865509657068,YachidaS_2019
MG100191,9.731705258567418,HanniganGD_2017
SAMD00164933,9.739568164378385,YachidaS_2019
SAMD00114718,9.722408084880998,YachidaS_2019
SAMD00164923,9.73487762548914,YachidaS_2019
CCIS48174381ST-4-0,9.725729471977521,ZellerG_2014
SAMD00164774,9.728279898961745,YachidaS_2019
CCIS16326685ST-4-0,9.722939214359373,ZellerG_2014
SAMD00114830,9.733809952617282,YachidaS_2019
SAMD00164911,9.725702444809162,YachidaS_2019
SAMD00114827,9.73304331445682,YachidaS_2019
SAMD00164915,9.720226447659943,YachidaS_2019
SID31021,9.751058678080136,FengQ_2015
SAMD00114973,9.722381742419499,YachidaS_2019
SAMD00164887,9.72770096062603,YachidaS_2019
SAMD00114832,9.730830624993771,YachidaS_2019
CCIS95409808ST-4-0,9.721325143128032,ZellerG_2014
SAMD00114745,9.720153373659757,YachidaS_2019
SAMD00114865,9.724441208397002,YachidaS_2019
CCIS50471204ST-4-0,9.721523611725228,ZellerG_2014
SAMD00164967,9.718498442923964,YachidaS_2019
SAMD00115033,9.730835361062255,YachidaS_2019
MG100202,9.725209465636022,HanniganGD_2017
SAMD00114757,9.72637911641457,YachidaS_2019
SAMD00114819,9.722884227244453,YachidaS_2019
SAMD00114923,9.732059844303258,YachidaS_2019
SAMD00115019,9.738406147273027,YachidaS_2019
CCIS03473770ST-4-0,9.72837505097057,ZellerG_2014
MG100165,9.730769231490656,HanniganGD_2017
SAMD00164890,9.737839351640112,YachidaS_2019
CCIS24898163ST-4-0,9.731479960372079,ZellerG_2014
CCIS63468405ST-4-0,9.71274814754142,ZellerG_2014
CCIS79210440ST-3-0,9.714588020121871,ZellerG_2014
MG100199,9.736388648432904,HanniganGD_2017
CCIS23164343ST-4-0,9.728878726921822,ZellerG_2014
LILT_VF140_T016,9.730800778608078,ThomasAM_2018a
CCIS44743950ST-4-0,9.734788191398172,ZellerG_2014
MG100194,9.724686555273964,HanniganGD_2017
SAMD00164898,9.724485102342973,YachidaS_2019
CCIS41692898ST-4-0,9.735718684059387,ZellerG_2014
SAMD00165023,9.716010154668526,YachidaS_2019
SID530450,9.724607280525902,FengQ_2015
SAMD00164927,9.724057741663994,YachidaS_2019
CCIS90443472ST-4-0,9.72758712117037,ZellerG_2014
SAMD00115018,9.714875729432967,YachidaS_2019
MG100181,9.707216470612053,HanniganGD_2017
MG100168,9.722135761954494,HanniganGD_2017
CCIS51595129ST-4-0,9.722959113761574,ZellerG_2014
SAMD00114908,9.712933580735186,YachidaS_2019
SAMD00114781,9.728219313403779,YachidaS_2019
SAMD00114889,9.739140866284966,YachidaS_2019
LILT_GF17_16,9.716876826357174,ThomasAM_2018a
CCIS44676181ST-4-0,9.724738409074785,ZellerG_2014
SAMD00165033,9.729056070296588,YachidaS_2019
SID530177,9.71280556297638,FengQ_2015
SAMD00114833,9.717696524681081,YachidaS_2019
SAMD00114929,9.71433510303965,YachidaS_2019
SAMD00115003,9.73346408334549,YachidaS_2019
CCIS88007743ST-4-0,9.723520072930691,ZellerG_2014
MG100173,9.733102788745805,HanniganGD_2017
SAMD00164900,9.72732929453544,YachidaS_2019
SAMD00114866,9.72513869598336,YachidaS_2019
SAMD00164924,9.719965942862721,YachidaS_2019
MG100180,9.718878181097661,HanniganGD_2017
SAMD00114990,9.737469721124594,YachidaS_2019
SAMD00114876,9.720771251118077,YachidaS_2019
SAMD00114838,9.721522740800662,YachidaS_2019
SAMD00114979,9.72606281381942,YachidaS_2019
LILT_VF197_T017,9.72050260450805,ThomasAM_2018a
SAMD00164891,9.739581821495937,YachidaS_2019
CCIS09568613ST-4-0,9.727579956632686,ZellerG_2014
CCIS51667829ST-4-0,9.717220246963286,ZellerG_2014
SAMD00164865,9.728813360056623,YachidaS_2019
SAMD00164803,9.723535863168392,YachidaS_2019
SAMD00164870,9.712726598643465,YachidaS_2019
CCIS07539127ST-4-0,9.729292554385188,ZellerG_2014
MG100171,9.72924823373972,HanniganGD_2017
SAMD00164986,9.720443156107937,YachidaS_2019
SID530074,9.739079532587992,FengQ_2015
MG100154,9.73882062497004,HanniganGD_2017
SAMD00164931,9.722854905144125,YachidaS_2019
SAMD00114815,9.727542493678305,YachidaS_2019
SAMD00114862,9.733749559119316,YachidaS_2019
SAMD00114719,9.726145212543269,YachidaS_2019
CCIS11362406ST-4-0,9.724906593017979,ZellerG_2014
SID31705,9.711175393287041,FengQ_2015
CCIS81710917ST-20-0,9.721745216210621,ZellerG_2014
CCIS90164298ST-4-0,9.726600753098474,ZellerG_2014
SAMD00165020,9.717639434598661,YachidaS_2019
CCIS28384594ST-4-0,9.72844802175255,ZellerG_2014
SAMD00164878,9.726346204105491,YachidaS_2019
SAMD00114747,9.721747822574187,YachidaS_2019
SAMD00164773,9.728552053739438,YachidaS_2019
SAMD00164949,9.732968438501675,YachidaS_2019
MG100167,9.716288503061266,HanniganGD_2017
SAMD00154991,9.72030019163179,YachidaS_2019
SAMD00164837,9.728161667375348,YachidaS_2019
SAMD00115032,9.733544131946681,YachidaS_2019
SAMD00115015,9.719657211215731,YachidaS_2019
LILT_GF12_16,9.730744979269161,ThomasAM_2018a
SAMD00114962,9.73439592897668,YachidaS_2019
SAMD00164943,9.727260489101706,YachidaS_2019
CCIS25399172ST-4-0,9.724098283956211,ZellerG_2014
SAMD00114982,9.72617367813931,YachidaS_2019
SAMD00114734,9.728063106135174,YachidaS_2019
SAMD00164936,9.718984128379587,YachidaS_2019
SAMD00114993,9.708393476177243,YachidaS_2019
LILT_VF38_16,9.7183009821691,ThomasAM_2018a
SAMD00114900,9.722825023921969,YachidaS_2019
SAMD00164748,9.72462405913232,YachidaS_2019
LILT_VF70_16,9.728225344495954,ThomasAM_2018a
SAMD00114899,9.733723663290128,YachidaS_2019
MG100192,9.730777900787729,HanniganGD_2017
CCIS78100604ST-4-0,9.732112285907643,ZellerG_2014
SAMD00164772,9.726024461086332,YachidaS_2019
SAMD00114881,9.724720759253467,YachidaS_2019
SAMD00164925,9.727856195816964,YachidaS_2019
CCIS16561622ST-4-0,9.724243983955938,ZellerG_2014
CCIS29210128ST-4-0,9.73274856580493,ZellerG_2014
LILT_VF30_16,9.707865890392288,ThomasAM_2018a
SAMD00114845,9.722497838185467,YachidaS_2019
SAMD00164809,9.714813207101459,YachidaS_2019
LILT_VF171_T016,9.71883326077147,ThomasAM_2018a
SAMD00114800,9.73725695988258,YachidaS_2019
SID530258,9.715719974881052,FengQ_2015
MG100208,9.7198121643632,HanniganGD_2017
SAMD00165001,9.71892368164225,YachidaS_2019
SAMD00115012,9.70812929506525,YachidaS_2019
SAMD00164897,9.720211272642771,YachidaS_2019
SAMD00164972,9.730325540993576,YachidaS_2019
SAMD00165027,9.71001222022007,YachidaS_2019
SAMD00165026,9.721173434823156,YachidaS_2019
SAMD00114945,9.73034967531801,YachidaS_2019
SAMD00114791,9.728099793338991,YachidaS_2019
SAMD00164765,9.723962698339546,YachidaS_2019
SAMD00164964,9.731603405886725,YachidaS_2019
SAMD00115027,9.718778808003444,YachidaS_2019
MG100187,9.733236433882489,HanniganGD_2017
SAMD00164813,9.729744639600087,YachidaS_2019
CCIS07648107ST-4-0,9.72926375741936,ZellerG_2014
SAMD00164806,9.718718907133196,YachidaS_2019
CCIS21126322ST-4-0,9.734404357898748,ZellerG_2014
SAMD00164895,9.72913101645109,YachidaS_2019
SAMD00164882,9.724707810291246,YachidaS_2019
SAMD00114947,9.709645285352318,YachidaS_2019
MG100175,9.726773845257807,HanniganGD_2017
SID31452,9.718309833460474,FengQ_2015
SAMD00114812,9.714221272401417,YachidaS_2019
SAMD00165021,9.727315309655628,YachidaS_2019
CCIS74239020ST-4-0,9.73690914534819,ZellerG_2014
SAMD00114801,9.731142166978534,YachidaS_2019
SAMD00114771,9.728771020253717,YachidaS_2019
