,shannon,Dataset
A16,3.5025062390386914,autism_kb
A18,2.3816345714029974,autism_kb
F-057-C2U,4.579519582120291,asd_son
F-018C1A,3.507103449230889,asd_son
N14,4.054891292699755,autism_kb
F-023C2U,3.6283568551458707,asd_son
F-048-C1A,3.0808532803530633,asd_son
N08,3.6202604857481493,autism_kb
F-058-C1A,3.1149261710701968,asd_son
F-037-C2U,3.908835102071248,asd_son
F-036-C1A,4.514547742355404,asd_son
F-050-C1A,3.8772317731827135,asd_son
N01,4.309711747754671,autism_kb
F-051-C2U,3.99205479526103,asd_son
F-033C1A,4.104265473645245,asd_son
A14,3.2722839238405417,autism_kb
F-025C1A,3.5628696382707385,asd_son
F064-C1A,4.403958795468023,asd_son
F-037-C1A,2.808162055366851,asd_son
F-053-C1U,3.7548240309443046,asd_son
N05,3.595983576379214,autism_kb
F-027C2U,4.210573936483029,asd_son
N17,4.30391529792815,autism_kb
F-042-C1A,3.93542905644144,asd_son
F-031C1U,3.266521754162712,asd_son
N04,2.9268200483777522,autism_kb
F-039-C2U,3.7265475620972737,asd_son
F-030C2U,2.351548957963744,asd_son
F-026C1A,1.7856030735449715,asd_son
F-038-C1A,4.605728945547341,asd_son
F-030C1A,3.5574167965169656,asd_son
A15,3.9887188789812384,autism_kb
F-062-C2U,3.823487288483245,asd_son
N13,3.7438602631532403,autism_kb
F-060-C1A,4.708552813908805,asd_son
A06,3.108918153315555,autism_kb
F-005C1A,3.3450624899816743,asd_son
F063-C1U,4.103078594414147,asd_son
A04,4.08732283864114,autism_kb
F-019C2U,2.5298386476794104,asd_son
N18,4.304804533065817,autism_kb
N02,3.756558433211892,autism_kb
F-021C1A,4.065382551011283,asd_son
F-028C1A,4.4083645041467525,asd_son
F-003C2U,3.5107307452966117,asd_son
F-009C1A,3.8935680172040654,asd_son
F-027C1A,3.73135114023773,asd_son
N10,4.2645238277379764,autism_kb
F-035-C1A,3.9159073778030935,asd_son
F066-C2U,3.28987008843616,asd_son
F-054-C1A,4.348032237710817,asd_son
F-002C1A,4.4816046708370045,asd_son
F-042-C2U,4.361029499491697,asd_son
F-021C2U,4.07978634034843,asd_son
F-019C1A,4.1921170644553944,asd_son
F-043-C1A,3.8744135479023374,asd_son
F-029C1A,4.0677252479573465,asd_son
F-008C2U,2.6365242255473245,asd_son
