,F-011C1A,F-040-C1A,F-054-C2U,F-003C1A,F-045-C1A,F-008C1A,F-055-C1U,F-058-C1A,N06,F-017C1A,F-027C1A,F-014C1A,A04,F-008C2U,F-037-C2U,F063-C1U,A11,F-007C1A,N15,N12,F-028C1A,F-002C2U,F-044-C1A,F064-C1A,F-016C2U,A15,A01,F-061-C2U,N18,F-047-C1A,F-049-C1U,F-029C1A,F-022C1A,A10,F-021C2U,N09,F-023C1A,F066-C2U,F-050-C2U,F-062-C1A,N01,A05,F-061-C1A,F-051-C2U,N10,N17,F-015C1A,F-003C2U,F-017C2U,F-016C1A,F-030C2U,F-057-C2U,N04,F-035-C1A,F-042-C2U,F-026C1A,F-033C1A,A13,F-046-C2U,F-059-C1A,N13,A17,F-046-C1A,F-020C2U,F-039-C2U,F-014C2U,A09,A06,F-028C2U,F-048-C1A,F-009C1A,F-042-C1A,F-024C2U,F-027C2U,A03,A18,F-062-C2U,F-018C1A,F-009C2U,F-036-C1A,F066-C1A,F-039-C1A,A16,F-022C2U,F-013C1U,F-025C1A,F-004C1A,F-010C1A,F-025C2U,F-012C1A,F-044-C2U,F-019C1A,N20,F-038-C1A,F-006C1A,F-041-C2U,N16,F-060-C1A,F-019C2U,F-004C2U,F-015C2U,F-018C2U,N02,F-054-C1A,F-007C2U,F-024C1A,F-053-C1U,A19,F-052-C1U,F-030C1A,F-001C1A,A12,F-005C1A,F-029C2U,F-031C1U,N19,N14,F-037-C1A,F-001C2U,F-041-C1A,F-032C1A,A02,N08,A07,F-002C1A,A08,F-057-C1A,F-023C2U,N07,F-058-C2U,N03,N11,F-056-C1A,F-043-C1A,F-050-C1A,F065-C1A,F-021C1A,N05,F-020C1A,F-034C1A,F-051-C1A,A14
F-011C1A,0.0,0.1718736500797717,0.14615641327989373,0.22104207769579437,0.12489622446611494,0.17350846348386742,0.18278786741203032,0.1550069121918071,0.191434768366435,0.13101992062806925,0.13716847402030768,0.13818572104165017,0.15276875250303293,0.17100780837029825,0.1665706759524818,0.1841592581480733,0.15184380498852007,0.15737139128886815,0.1571900225055808,0.15002552454697562,0.1382977025387148,0.19434283161585766,0.15753000917913962,0.18252536828053353,0.15855971810924496,0.18508849715596826,0.20731581759143378,0.1636070210393334,0.16641070240268463,0.17147278233258353,0.22129651385994353,0.1308428283111224,0.15584295844247753,0.18615178945811314,0.18423831873355528,0.17638028269585726,0.14205541307872155,0.16183070265663943,0.24009835281735054,0.19435741708383308,0.15748220600606927,0.1565326338676245,0.19009833035027615,0.17912311144119297,0.1685580324735067,0.16877528765124547,0.1284180627006794,0.1560235062647572,0.13434109271766057,0.13623116865197624,0.1753858361404602,0.18297147887488294,0.17980817166032317,0.17582889381622374,0.17041678266939111,0.1995898412281329,0.20284938483964993,0.14637920909489166,0.18373634632940383,0.11945375102904766,0.16167396534420736,0.17273158165702776,0.2306910570988386,0.13565841363496278,0.14702342144696812,0.11760610076198677,0.19328325382418396,0.1744453152691325,0.17191015889000943,0.18462130878595154,0.13752817818401553,0.2004758297675994,0.1586974089405798,0.1521344809213432,0.13542669622978926,0.18160474833159998,0.16318972451373306,0.12765219335310846,0.12070091227968993,0.16836942032477628,0.16637373855099058,0.13795939296711973,0.14722966940564586,0.2140438366921446,0.19494309792851333,0.17695225849091473,0.11820853372609216,0.13176131673757954,0.13491813750526796,0.1937479782625801,0.18504074371477144,0.18088489920973203,0.16550216564178757,0.15588031053710308,0.1689136457756832,0.17325154147286684,0.1441462122737223,0.16144913031469546,0.18677701385145207,0.10928466710133279,0.16654124961230096,0.13896918459347463,0.1574532183872717,0.13294755921116425,0.20121208139278188,0.16103233079940732,0.14963266908564077,0.19750740410243964,0.14908120256640978,0.1773928826963126,0.1932697618410514,0.1868005341529022,0.14205265982772494,0.14305000217992148,0.15638980229717392,0.18329199729871584,0.13856552886419074,0.18317818617764267,0.18015843746436733,0.16752319141484068,0.1482598983982303,0.1599894042222279,0.1553108847715162,0.15490552579096384,0.21243614206284303,0.1495893509118892,0.14103273021624327,0.16716649120188404,0.1668576198981046,0.17571696471360648,0.13235915938355208,0.1774590251282291,0.19825568036239266,0.1391303861888528,0.13437002906678208,0.18613277845269516,0.17581994902811254,0.18935637584205245,0.14701971675762823,0.21256112436012486,0.17414033618601107,0.17251720941783735
F-040-C1A,0.1718736500797717,0.0,0.16883394989633038,0.21209367240058066,0.16621900129862208,0.1940026563639348,0.1614595255571247,0.14094544129072203,0.17986273697482924,0.1868322437435297,0.1813982753706267,0.19672358656677477,0.18774471959581893,0.1479066909359028,0.19926121476341266,0.17644345647561624,0.18243288417246564,0.14820862925466863,0.16572910990816958,0.17630119633338923,0.17399598787038872,0.16916334120347087,0.17682513126126143,0.18674230681573567,0.1748345757841473,0.22381400089505227,0.22767651835209696,0.16724134016844908,0.2159340442793233,0.16739832246256203,0.1367623235330249,0.169550090621471,0.16745921049629398,0.17458054859876382,0.1727072092318503,0.17273083656708343,0.13755748450876612,0.18528854257515384,0.23052593290303705,0.14522984364672958,0.16486687837228095,0.17389574337056304,0.17582113957375473,0.1511667273450394,0.1686446501328888,0.17389022285440486,0.19036974089823,0.17423755887058584,0.2097478720337768,0.18764430735847587,0.16723948972749086,0.1735035208402274,0.18723813406279552,0.18314276180534447,0.1769874775204183,0.20342176569761916,0.18257358743560517,0.20828297611425492,0.17733767923161928,0.16721882911420602,0.19143698081315805,0.2059236041005017,0.19734396538267318,0.19453521326868736,0.14698649045469245,0.18950930808104152,0.20719998113871102,0.16119078577759519,0.14959993129587604,0.1808658526534621,0.18491548288193715,0.15874833216741915,0.15377158733454732,0.16291189977785062,0.15443670220412153,0.19561447818985278,0.17032551628457976,0.1445523592913258,0.14876836530689913,0.2033970848212571,0.18930020795649183,0.13846130918190147,0.16258323774292388,0.20645696487882892,0.17833611662215684,0.19664280045883845,0.16765992222491619,0.18390753861666226,0.1797100334331249,0.18087135880611213,0.19834424283222243,0.1319806833792965,0.20059342062428281,0.18100865578480527,0.15197132027813692,0.19080673997575226,0.16117640611030026,0.169981865140996,0.1820520997083465,0.1504272160891562,0.17473702696182802,0.16895348466182658,0.1588363741162625,0.1902514450060106,0.21192027197753988,0.17867158912727737,0.1604997586464399,0.19196493575566412,0.17754856821542458,0.17950512040205588,0.212744941361569,0.1905845697482709,0.18822385984800705,0.14473742289241784,0.1910447708662011,0.19632501583445267,0.1614734697361919,0.16941232327127073,0.2025945469626421,0.16583939301298753,0.17486098762367647,0.17324009905597593,0.17235396910587958,0.1809340524204444,0.19012025808024377,0.18234612837887337,0.18687335183042442,0.148683785876259,0.15774275968328946,0.16717431150673998,0.1680984585139561,0.1935209007742642,0.17978681151477907,0.17398228729185763,0.1646739420502654,0.13730174371798234,0.18078011930586485,0.1958091446507479,0.18933748865252653,0.20876909357780837,0.16191260041330874,0.17589425355292349
F-054-C2U,0.14615641327989373,0.16883394989633038,0.0,0.14883022938319998,0.13108693422073353,0.13025186640320063,0.19086877522739465,0.14115286185994597,0.15255635123433614,0.1644517809502874,0.12492371407771174,0.13092107108821785,0.1112482169135454,0.12135882477118949,0.09476708924237377,0.12784416014031982,0.14012028424748244,0.12768783415189736,0.14912795132436496,0.13565173283535206,0.1546510733246399,0.15922632988096638,0.10798449480386126,0.1686733187345648,0.14390131348959959,0.1891535080940706,0.1543101647557765,0.11434667491243485,0.17447672632212322,0.14131660379302616,0.17885145832850308,0.11058361574383828,0.12691279668687194,0.16314013089719573,0.1075862624575193,0.1380759850765805,0.11436658104878576,0.13191895343097096,0.20303878718849275,0.16110502810063065,0.15195018050111658,0.15274322041527347,0.17366315484539369,0.1262924532529016,0.12760859224763527,0.14781835711947333,0.13166379218308652,0.12090870193495946,0.15981504301838115,0.1670856026230675,0.14880497601175188,0.13185398430096726,0.15745947843828123,0.15621167485880164,0.0788250421645868,0.16385748160706204,0.16738081365927954,0.13661841824824794,0.137072304554817,0.12842242970849965,0.13877017544289882,0.14639022253005926,0.19558170157010246,0.14739614666478335,0.1259768022451015,0.13752372908252236,0.15941469646829035,0.14539531621474033,0.1450240030402918,0.1135203757498891,0.11228731277719375,0.15795239052313953,0.12155655291247165,0.09968388406749655,0.09299607643118747,0.15293522233639087,0.15353852258123293,0.12441748793554486,0.11467311406670418,0.09949189198151351,0.14369290397260445,0.13076172797399507,0.13276251700754632,0.18450975045402945,0.1458042510634182,0.12625810147038838,0.15408233191861703,0.13181329973007,0.14524541043596897,0.1088278040545337,0.10670095521243694,0.1694307356182383,0.16038461780921834,0.10615340838547192,0.14554336672599116,0.13285883232157764,0.1347490221052441,0.12189834822616387,0.12583992527981905,0.13745471384069202,0.11945852559974354,0.12131960273431885,0.14242103250425725,0.08037052839493922,0.19918823331178848,0.1578777100629717,0.130566798444011,0.14529234343101222,0.14747835913302348,0.1767934264420136,0.17077119070061006,0.1578971362903423,0.14873035902593806,0.1115827530308515,0.12096107695271713,0.15264354330736982,0.14342959301181732,0.12227645610456415,0.14506631537648812,0.09928517011341863,0.12476655924674847,0.15107118588805396,0.14206936982460586,0.12455255523412306,0.17871620588698386,0.1466881322329301,0.12285452800083918,0.10104506284963834,0.1566492140927909,0.12929683632637626,0.12469747198759215,0.1567295481370667,0.18096297272475312,0.09523780332829887,0.0934010680823489,0.1491178357031014,0.10345065086994398,0.15708180237174368,0.11932353897584405,0.17539087512967766,0.13733728648452626,0.11129358333070453
F-003C1A,0.22104207769579437,0.21209367240058066,0.14883022938319998,0.0,0.17306147428564508,0.19745153177704172,0.22402899015432917,0.19466116637945288,0.1838578017218763,0.19475004767085835,0.1718959078251971,0.20407926889477898,0.17761161920122373,0.19428833557951594,0.15978888135898822,0.15834821924320547,0.1827773039089721,0.1861487507592506,0.20214227893795206,0.1749706423419605,0.18327607019775227,0.22353255194674887,0.12894720623315428,0.212306996486642,0.20800404795977884,0.20221877515569672,0.14860413166191772,0.17141975309239935,0.21044920192643565,0.17539246890891072,0.2036047109335895,0.183719064394769,0.19085861176288402,0.20219992567609188,0.11165774904532567,0.17537130619522157,0.19427055427726841,0.16222048713258472,0.1754723864027453,0.21859815093600035,0.2130873635634767,0.19091524898522416,0.18055287469013329,0.13695082801902056,0.1894726324474712,0.18935565984867875,0.20596552009409694,0.15829800254667445,0.20831857433177695,0.22645738831863527,0.160945133807305,0.17677942338248484,0.19878658304489977,0.1601041547582956,0.1492004490179995,0.20643806619003807,0.18263438076454352,0.20077206985511564,0.17808429756662644,0.1765725872175845,0.18158112468813212,0.21334631695918785,0.225615201039058,0.20428817664595858,0.17123069993785503,0.19425092888145756,0.17002364550221183,0.1905985286163577,0.1889511160757408,0.1609040061130316,0.1706052073960975,0.1932601257862406,0.11708333542527485,0.14383130773880384,0.15848810998856294,0.16442354630560313,0.17962548387903937,0.2116628056854631,0.1753991082671478,0.12628174425673622,0.2115883759975535,0.1984194609223344,0.16921345638813282,0.1870170633950366,0.18307032621345454,0.12534318866882246,0.20909043705701869,0.17789688925672817,0.20335859172750234,0.18653408381923411,0.143831947693148,0.2185791466749447,0.20753548403694164,0.13958849806378373,0.21448161423138273,0.20289966425357153,0.16668057800976624,0.14427829604149378,0.135189950183689,0.19591114949139382,0.14599580948606067,0.1417598596219171,0.17947301582213285,0.18026921701326135,0.25657101843474467,0.13713308525923576,0.1626352787925426,0.1841640622081612,0.15549714244352641,0.1766836377379552,0.18313380708825938,0.17087961192643475,0.1930089626379595,0.164787101291941,0.14769283910873574,0.18553346703235882,0.2093412600128848,0.12393005650324973,0.18901406710451843,0.12763787753475284,0.16192601419595573,0.17612281086317572,0.20827142532473217,0.1719468877182233,0.2255784520010737,0.19912978298608033,0.16722407177853016,0.16965176081345942,0.21870390033423465,0.17359537029828048,0.17439754044445524,0.18813927844402298,0.20214206329983267,0.13962661107329685,0.18214105805116684,0.1839383158719315,0.13352940234513633,0.17325274861691747,0.14089231811827274,0.19430232610477216,0.20802168250940628,0.16051830668576458
F-045-C1A,0.12489622446611494,0.16621900129862208,0.13108693422073353,0.17306147428564508,0.0,0.1458808174053673,0.12469017246598067,0.12782511884968903,0.1596484996043341,0.14223531138455903,0.10631149344003797,0.112184495058504,0.14990057235432894,0.15039433870097096,0.15334273648481014,0.14741606955435604,0.14603921890576896,0.175744640871679,0.14344748157097795,0.12091656322334259,0.12597537886127788,0.17576483277642996,0.12906670554859878,0.1643013862816037,0.14856726335026266,0.19331817479531316,0.18553828979713496,0.13674983639430516,0.1568261059375499,0.1813170518625619,0.19378811247977346,0.11717192472211709,0.14429165130595067,0.15667772906179206,0.13199856582185268,0.14156564936338778,0.11704323587632542,0.1788558877641861,0.203477616137359,0.18231354286560902,0.15935095460617407,0.16745124115635052,0.19501519035098255,0.10855597444453008,0.1458896093350438,0.15855995718650306,0.14829584968105344,0.1516809105522089,0.1379982395641631,0.14554225040627164,0.12856011543847282,0.1835002319703718,0.1737666660625105,0.13821576448696324,0.11677718155184953,0.20252395181713964,0.16847810464723045,0.15204049333320227,0.1365215744023086,0.13932716030702236,0.13540380513211228,0.1686101534976681,0.20371358275177684,0.1562918990720074,0.11741969681744575,0.12363518165994022,0.1635251133510121,0.1575460864472967,0.16850980238923283,0.1248667708767678,0.11929757869235222,0.19462445207917198,0.1048238243406987,0.11780988033591172,0.11421849331669973,0.14622596263851523,0.11088338930971318,0.1308477102684171,0.11656685561571603,0.1309373727401034,0.19138089610274295,0.11470949933056905,0.1260806890690069,0.17524778477961422,0.19648759248260314,0.14591150121086843,0.1288029798009386,0.11334314382505203,0.13289989549724807,0.15859993703952052,0.12466059709227564,0.19607092389136707,0.16734850276938765,0.12357573983377837,0.17117727667944624,0.13816287780548497,0.13282834037637867,0.10850801378674102,0.12004324091243711,0.11261701845998835,0.1355576063412854,0.07472441018151588,0.123340213957822,0.1384447653450624,0.21845341064048568,0.1330303787193796,0.12649490051106127,0.15889320696615503,0.11734037458180371,0.14277275121598662,0.19591856414613687,0.1918515699401646,0.08966527524583799,0.1345231101388943,0.09158229741782829,0.144328246390424,0.1458583338172354,0.17627887400514997,0.1811731509013568,0.13225502508047687,0.13669913589569083,0.15088454675159454,0.13556782283242522,0.11454486595317154,0.2074020451886779,0.11615834364973511,0.09415850962045397,0.12580317043885833,0.13824729264032484,0.1286891314735456,0.12081373306410798,0.18356253817684587,0.20193077984141558,0.13664214728310894,0.1353813455032408,0.11805592560291737,0.14699389354902692,0.1676738870472474,0.10531511147637355,0.19550545793169213,0.14508477499991837,0.1521135063841677
F-008C1A,0.17350846348386742,0.1940026563639348,0.13025186640320063,0.19745153177704172,0.1458808174053673,0.0,0.22157190408906663,0.1544681714892031,0.18437864089374847,0.15395196215702672,0.15452902296819354,0.15788769479652803,0.1375528190532302,0.1461352962849747,0.13975741640396258,0.1723651202309488,0.1548460866346195,0.16409422911159782,0.15839783057752235,0.15873224283275258,0.17060667446367664,0.21016443473282959,0.15670922410698418,0.17466605741061156,0.15536586285946058,0.20188356185404924,0.1938604021791623,0.1518829814822396,0.17794420602367397,0.17555795381407815,0.19230767349076075,0.1429116425730087,0.12186474801485085,0.19198801604656807,0.13486314503020747,0.1622156832434187,0.14484453059584623,0.1758889341733898,0.20454082355186937,0.19474976657331974,0.15299963408910644,0.17130882589864502,0.18456061825194797,0.1767446777911767,0.15683253795097507,0.17446103489151046,0.15451371313796486,0.16686546761537585,0.18924385887591247,0.16625525270696162,0.19683149142292256,0.15434631675266108,0.18511216537597266,0.17744933644911834,0.11858896534863735,0.16811766623007793,0.16861830728143506,0.16311658230526346,0.18146686330324796,0.15609697230717196,0.16728015774906208,0.18158712722920356,0.19338249718856265,0.1573772738017026,0.14614903341042346,0.1785555273080072,0.19539269599010875,0.17843980103585788,0.19150494658513487,0.14002516305112186,0.1478745169099454,0.1883241685984873,0.18354832911929858,0.15551185325074715,0.1302786940556364,0.18430010539472697,0.1652668694927265,0.14473533276810566,0.14635625997742585,0.15491404200115416,0.15839954863821573,0.17161207499951908,0.1656002267805112,0.18788963765322783,0.16681204373444922,0.1864597250173347,0.1925182588082287,0.15065933590227723,0.17516008545684936,0.15548265331340827,0.1713366956341394,0.15683814708704893,0.17807870004232612,0.13697575465271633,0.1567922693911614,0.10499499182163889,0.15338086822695446,0.16809404216311039,0.14369830937914105,0.1553894978862966,0.1673894073942245,0.14443867388741077,0.150540391943566,0.12549738809165115,0.1896596449922368,0.1747955138158598,0.17839301888803494,0.16437981624792483,0.17414368361473986,0.18790729117048388,0.21201419922189424,0.1889601977676103,0.15269459540295968,0.13551276365835152,0.17718793610218017,0.18380186964073497,0.14023990057818067,0.18524040754240537,0.18809389872495066,0.13078297615347353,0.15869764836155434,0.15360306560084988,0.14665703511129394,0.15000129047131436,0.2014737053986799,0.15953807322290384,0.15799195848874734,0.11668596592437937,0.1614176436094231,0.14653744185297518,0.1550320579522686,0.18876785860259843,0.18524342848765993,0.14313078464055737,0.13707235755395858,0.174658405756125,0.17140975463142047,0.1781469894247056,0.16033928836689992,0.19069413609025415,0.18084964373242765,0.15066918906091803
F-055-C1U,0.18278786741203032,0.1614595255571247,0.19086877522739465,0.22402899015432917,0.12469017246598067,0.22157190408906663,0.0,0.18644333585894018,0.20760860260598318,0.18374248676148455,0.16928236748953163,0.15898561128766564,0.19716693603154617,0.1848072635394269,0.20844086212545734,0.2144044525492479,0.1889005459862251,0.22559156163041744,0.1714776354638859,0.1752446734617157,0.1680963698938779,0.21515992731365605,0.18525558223347988,0.21586682747169575,0.18784205091889813,0.2012127906100837,0.2298242345942748,0.1989881357013998,0.17967622853273016,0.22677042010486093,0.184575206157153,0.18913325848330925,0.19697501064540496,0.1955422052424463,0.20643633921001575,0.1821765230287447,0.17620008550380142,0.22890842778457804,0.22882255294160747,0.20728261619461577,0.20882962464979554,0.21255431251091902,0.23491226785456853,0.17798494190285638,0.1979600118569742,0.22399398462155523,0.21131972122281192,0.19028489018223843,0.17023411681780554,0.20455973850332113,0.18339526952645657,0.23257644841052502,0.22379868995912136,0.21143060579909953,0.18505193169870585,0.2393328632124311,0.23359069367956292,0.186118939110507,0.20704744913756787,0.19021425124555175,0.1763882321624823,0.21928772363048646,0.2280536109221758,0.207114159267861,0.14748787974513636,0.16558708250858367,0.22798072564489366,0.20983667543444076,0.20423002765049944,0.1976868031577993,0.1667216070978038,0.2104184736446213,0.1753048969235428,0.17893305607721136,0.18385724135231424,0.17896868866857962,0.12069712394172977,0.17847098326330033,0.1716552945066072,0.1849358826317756,0.2327424952274352,0.12311758281722095,0.1801673420960148,0.22203425535538807,0.2417071483368719,0.2061789744046274,0.18715662191607427,0.17522556319762264,0.18361402269843602,0.21098790223540256,0.15364877564660046,0.2280251061797712,0.237945657617527,0.17927000343970018,0.22148102101470976,0.1984981708099095,0.1829035979426156,0.17397024727626406,0.1683665096932089,0.17177026603031975,0.19817368586863005,0.14777998599802714,0.18348092421998266,0.1976583330168253,0.24756916343192317,0.19943290252872362,0.18898714295497798,0.21649204284322382,0.20113358279127405,0.2067928034858898,0.240528009162066,0.24743598185425308,0.15863555905880067,0.19233285226292623,0.1549011179194225,0.2038920571579372,0.19235703739777835,0.2234149076506084,0.2348239793938284,0.2102544054368259,0.1900610366604146,0.1821604496296848,0.17808497012640748,0.16672309506131994,0.24248168345007468,0.17013284246140606,0.14946692187538385,0.18576218118054227,0.1790123620367049,0.20467652990418334,0.17762310487637678,0.2386934451035666,0.2386784440263093,0.18776049698996938,0.20605329961008179,0.1561663334290918,0.2107340056697427,0.20485369195387854,0.15692889716849331,0.24027252928050866,0.1910529985517673,0.20983801166680927
F-058-C1A,0.1550069121918071,0.14094544129072203,0.14115286185994597,0.19466116637945288,0.12782511884968903,0.1544681714892031,0.18644333585894018,0.0,0.13151238058986398,0.1671767004435446,0.1470222852776351,0.1728768009455023,0.13740294958994378,0.11977082758404008,0.15377641804364348,0.136987378023333,0.14369366092020938,0.12997851744790279,0.12057125411119628,0.1410015394980324,0.1601743812684881,0.1470034332541611,0.14480341757852383,0.12601556388285154,0.12115667315459648,0.21018230943331132,0.19744043275539633,0.12320096525066657,0.1718582346521658,0.15314238302409966,0.14842650386679382,0.12674420522381835,0.12927595522144547,0.15046918952137914,0.13365531335284667,0.13870423998366543,0.11446932869423058,0.17718627157524902,0.20713838666531903,0.13693284367945574,0.11399293016087231,0.1430890199918968,0.16574784843913842,0.1421148244292628,0.13808491226917646,0.1278704472466442,0.13136224230536195,0.14368046340543708,0.18612370767619166,0.120989818900436,0.1381330248299639,0.14521333406338346,0.1591740265616482,0.13984578115449145,0.12754542126531077,0.1905474097133158,0.15649894567300796,0.1653880644756127,0.1318722379678867,0.1271488626625217,0.16065486859319034,0.1611153586364119,0.15712167936208984,0.16683149985380813,0.13047292817559647,0.14611031677175912,0.17409753106643802,0.1289613434315729,0.12774253538753225,0.14594980469800847,0.15846792788934996,0.13723630254143934,0.14519865375359764,0.14196939479551096,0.11012651447064535,0.15396879934836277,0.14804981604403553,0.11438983597695815,0.11589807043166815,0.17544049434921632,0.15329282629403476,0.12972461683113076,0.12524889626489527,0.1812316541654238,0.1536034418699662,0.1664977739761471,0.1397592823460306,0.15270244709064945,0.1523183692040236,0.13419180982832735,0.14727926717143713,0.1456614239284443,0.1539131558381955,0.15010461894299973,0.12226363964297739,0.1533294022044848,0.1421041344892529,0.14810565704135137,0.15835009805413336,0.12177055170192734,0.12113210304016266,0.13620028495047498,0.1220530805658012,0.15774343588023626,0.18877683104044404,0.16293550011926425,0.13521003861923414,0.15884860259004702,0.14366948594492926,0.13472556695858828,0.20855259273069085,0.162996637904786,0.15635545288703895,0.09393765713773213,0.1471670153215642,0.1505348772253189,0.13154452725168184,0.15441148085209133,0.16757409000275808,0.13168976777388672,0.14645074983548173,0.1486107487739605,0.11118168379334455,0.13373361765754843,0.18343640749848883,0.13997243548545224,0.14353672798790718,0.1323176472627267,0.13442826129276939,0.10201524607987227,0.13868115417092414,0.17051301235556185,0.15042794728722222,0.15368572228483446,0.12661414661084072,0.13782529954781286,0.14308037755538502,0.13589511756975564,0.16767634957183672,0.18168841007085249,0.12455041362592215,0.1423559248100293
N06,0.191434768366435,0.17986273697482924,0.15255635123433614,0.1838578017218763,0.1596484996043341,0.18437864089374847,0.20760860260598318,0.13151238058986398,0.0,0.17659559100655955,0.13493429083363853,0.15790116657040226,0.14932726038619398,0.14328234400094267,0.1580805198615126,0.13820180214980335,0.16796579594929034,0.15704655667833745,0.15275750823564316,0.1419677372632276,0.15081892868894803,0.15123127896382157,0.1569381690441475,0.1352791422336633,0.14802516440354313,0.20208136107207803,0.17654115730936254,0.140267599413704,0.18094550764431427,0.15401504482773218,0.16719698662266727,0.16164910671158933,0.13212123652523697,0.13247296882432563,0.13935984035418295,0.15884524299573882,0.14139910738147596,0.18912908523381103,0.2042248790422338,0.16227814977340052,0.1566867512727221,0.15977585054981633,0.14671549932248104,0.15390586288129188,0.1532600543682152,0.11757014477238412,0.14818721700224505,0.15736167931438313,0.1853097680297226,0.16736802722901295,0.15031557134684484,0.16942546181708384,0.12297766534243917,0.15366899014530397,0.1578890459626454,0.16535160359065718,0.18426299604546764,0.17313232510001603,0.14900137998232868,0.15219722338090433,0.15048017244342365,0.16024053510741745,0.1854707514540788,0.16726517487503642,0.16806095320958053,0.156341636738687,0.15411042976879716,0.11279211765910165,0.144962457224946,0.16644912710731743,0.1558092120261544,0.17837069734475602,0.17299920229105692,0.11792770005797851,0.12051015966456327,0.12360195028117592,0.16739519983320977,0.14107511521174196,0.13360061540201792,0.1688264444433483,0.16848950275339641,0.1663721282315372,0.12287270755826285,0.1454548756026229,0.1519242351880336,0.14896218660613889,0.16952074443987714,0.15914224770755073,0.17336394923469794,0.14195149911839694,0.16206348114591496,0.17157897594649651,0.15941064641304503,0.1425631697576902,0.1363242948288798,0.16121583340041917,0.12660315581264978,0.1519541577500509,0.17322598304835,0.1405037020173211,0.1266815104831428,0.14870980910073872,0.13274902349282003,0.16098501720127634,0.1972616389445654,0.15992896447574667,0.11943309655581255,0.1352631572784201,0.1488968950418984,0.139439997586242,0.18723985810480948,0.15990253270644908,0.16296500291295618,0.1288017150888006,0.16206479017516928,0.1427514606077994,0.15392087544976,0.1556455617296424,0.18310894018845966,0.13223521070445807,0.14541789091657206,0.16443311573063152,0.15621829908973914,0.11991202760991157,0.17641999660491656,0.15998793358053337,0.14765927857857167,0.14442560076953712,0.14122234039397744,0.11972757973244091,0.1309611844965208,0.1538253352004217,0.15930238588120876,0.14848319821842604,0.1484586344956039,0.14102567475819394,0.13973737762488744,0.117487648626293,0.16318551310381854,0.1657138535403262,0.15505160416894254,0.12357563230175142
F-017C1A,0.13101992062806925,0.1868322437435297,0.1644517809502874,0.19475004767085835,0.14223531138455903,0.15395196215702672,0.18374248676148455,0.1671767004435446,0.17659559100655955,0.0,0.122756111750817,0.16590619911104992,0.15779576391116287,0.18137579331763515,0.1745609865882303,0.18715274049115524,0.15166951617271868,0.1750252963818944,0.16206754432405854,0.15841221184650026,0.13257947596339414,0.22328320432253304,0.15253943333604997,0.211062606785226,0.16743158313633857,0.16403796886139896,0.20472543262908016,0.17345293620978086,0.1502191410253461,0.20994316435844937,0.22182563805144465,0.15127857165658312,0.1557853415201895,0.1831880386177652,0.16323013913570836,0.1829383828278737,0.15263175340499321,0.18384609970976612,0.20731268830506283,0.19917284262821766,0.17969081647652194,0.15019668397150146,0.1898727655800672,0.1979740425123656,0.19107710126390864,0.17500161940356532,0.15925964378109517,0.13535807712330986,0.12673730889937565,0.15527053706458863,0.1619034558363451,0.17048195091463064,0.17775137018351436,0.17968124682018963,0.15182860249675884,0.1863694455882321,0.2031691800077181,0.12175206827732658,0.20011334700285974,0.114223553776173,0.16645432340394045,0.1631851391877942,0.2220309343942647,0.14421742439398913,0.14423167686942728,0.11908664303845938,0.18383741227004297,0.1705889331960866,0.16550514029453614,0.1907955158705469,0.12947059820537662,0.2233217601936564,0.17622685950136704,0.15479707539367618,0.14468512929417052,0.1487310193289195,0.15370525611319835,0.1355478327293285,0.13507071819795327,0.17480697872325862,0.19529582932877326,0.16554447724580504,0.15383967527394957,0.2240611550551257,0.19738092427849438,0.1760491230541421,0.14665474811342863,0.09924213991988523,0.16322138886840873,0.20112087725954655,0.18818334677452683,0.19253708531251218,0.1859067995204154,0.15036242175301462,0.1905731865290746,0.15887639214931384,0.14411529775905532,0.1574268411817683,0.1613482674421762,0.13060221517474985,0.17751255477283143,0.1388043360253997,0.16864382889908452,0.16065403172649856,0.18077096942809975,0.1678889741216361,0.17033736660288454,0.16953937832174182,0.14650215345300885,0.19223204961755078,0.21561213716572927,0.18096160057615213,0.1476369314067322,0.15539651146817257,0.14106086546454538,0.19253795541315688,0.15677962609845023,0.18249255066014577,0.19124600812610829,0.16744938435195297,0.14447417250875066,0.14328339248986466,0.1668217352833057,0.14032879976003337,0.23258727319234968,0.1477546580112917,0.13908437673011861,0.17413461775772693,0.18631244703578131,0.16319849079715112,0.14299402666520145,0.18621873043896398,0.2053550378451016,0.14467087499434536,0.16816443915998594,0.1836921740360246,0.16987343375939348,0.17585103391538232,0.14661780650416364,0.21876193889067144,0.2139298062912175,0.17280498872472455
