,A16,A18,F-057-C2U,F-018C1A,N14,F-023C2U,F-048-C1A,N08,F-058-C1A,F-037-C2U,F-036-C1A,F-050-C1A,N01,F-051-C2U,F-033C1A,A14,F-025C1A,F064-C1A,F-037-C1A,F-053-C1U,N05,F-027C2U,N17,F-042-C1A,F-031C1U,N04,F-039-C2U,F-030C2U,F-026C1A,F-038-C1A,F-030C1A,A15,F-062-C2U,N13,F-060-C1A,A06,F-005C1A,F063-C1U,A04,F-019C2U,N18,N02,F-021C1A,F-028C1A,F-003C2U,F-009C1A,F-027C1A,N10,F-035-C1A,F066-C2U,F-054-C1A,F-002C1A,F-042-C2U,F-021C2U,F-019C1A,F-043-C1A,F-029C1A,F-008C2U,F-024C1A,F-050-C2U,F-013C1U,A02,F-024C2U,F-022C1A,A07,F066-C1A,N09,N06,F-008C1A,N03,F-015C2U,N12,F-010C1A,F-044-C2U,F-017C2U,F-057-C1A,F-061-C2U,F-016C2U,F-058-C2U,F-047-C1A,F-012C1A,N20,F-006C1A,A10,F-029C2U,F-017C1A,F-022C2U,A08,F-034C1A,F-003C1A,F065-C1A,A13,A17,F-061-C1A,F-032C1A,F-039-C1A,F-045-C1A,F-011C1A,F-051-C1A,A01,A09,F-041-C2U,F-020C1A,F-002C2U,F-062-C1A,N16,A12,F-055-C1U,F-052-C1U,F-009C2U,F-004C1A,F-007C1A,F-056-C1A,F-004C2U,F-015C1A,F-007C2U,F-040-C1A,A03,F-016C1A,F-023C1A,A05,F-059-C1A,F-014C1A,N19,F-054-C2U,F-046-C1A,F-044-C1A,N11,F-028C2U,N07,F-020C2U,F-041-C1A,N15,A11,F-049-C1U,F-014C2U,F-025C2U,F-046-C2U,F-018C2U,A19,F-001C1A,F-001C2U
A16,0.0,0.23864576054558317,0.2074697946854021,0.3142436578409007,0.17380630074605605,0.23818992150210083,0.25364813578589185,0.2210592594365687,0.2694456187091216,0.1794007827703265,0.1888214428917238,0.19078978805893862,0.219344876088096,0.24132084363740575,0.2385263746157686,0.2600691321478328,0.20169191836555894,0.22271606458181747,0.21977437113303502,0.20696906238941631,0.1930471388309552,0.27934092509283975,0.2199226986428403,0.25934782015792124,0.22269535213288863,0.24963399509154982,0.30635797534441883,0.23011978447814543,0.2309236283573948,0.2463585371937184,0.31524867746984303,0.18405081050987807,0.22058111319574192,0.24908664590606885,0.2614149904885411,0.24322848329909522,0.19768581201475044,0.23006502073114263,0.32853090729462603,0.27554003302200963,0.2185849120513196,0.215920094092968,0.27022708308479304,0.25220266944755526,0.2348152774040665,0.2350676658235642,0.18171258356736744,0.22252118429619752,0.18990172750606224,0.18941360084819603,0.24756048097869493,0.2587133038155063,0.25739441959582376,0.24873525756077838,0.23980129610763998,0.28291795070922815,0.28482742203270095,0.19660138797724663,0.2605009337292596,0.16620477633651928,0.21150765460737256,0.21989855421022375,0.3308629668931395,0.18974944569194188,0.20371398569652321,0.16605032860527227,0.2559283039990321,0.23708236671894015,0.2458535724588634,0.26200647454868625,0.1933510737534993,0.28453172151564904,0.2235930635593676,0.21465674522866893,0.18910241108519094,0.24842725921393743,0.22951169344905942,0.1799840248148261,0.1681698756078122,0.2349764423717381,0.23810126193673808,0.19262083428794977,0.19402002473379248,0.30641255026361175,0.2799254609019745,0.25444095311161763,0.16682553582067947,0.1817048756012315,0.19056618269822398,0.27314121100350763,0.25970891623511105,0.25400471447472506,0.25948049251140964,0.2175991538855269,0.24059891302735606,0.24407388866097757,0.2020729945466232,0.2257212971229105,0.2609778580435476,0.15028489390238364,0.23818181608026398,0.19273439823574803,0.21614476756543888,0.18992499300544957,0.27966958384888235,0.22844192829183949,0.2111421408472857,0.2770324672191469,0.21033824547683808,0.25443837608742736,0.27643148923848776,0.26748153333256086,0.19669814010605416,0.2025205511129955,0.22064870198750017,0.23570770530287175,0.18157555541042836,0.2627038102471002,0.2592210190328986,0.236379489466702,0.2097188075939847,0.2106081225120828,0.20475415237228606,0.20733019415100004,0.30173736868696643,0.19941574807917364,0.19795344288970737,0.2336817326384946,0.22700588530133184,0.25127134268963186,0.19010958714995319,0.25083594770800366,0.2834711245078598,0.19399091642805835,0.19071010712703648,0.26336348202794463,0.24977918772686925,0.27345735753420647,0.2048992043464456,0.30055647342571684,0.247490083659684,0.23012810096058248
A18,0.23864576054558317,0.0,0.23227194707449986,0.29883197390783756,0.23204784765006217,0.26689671813812,0.2295321761938303,0.19630030789666467,0.24166484566702534,0.2629985759649086,0.25273833922901406,0.2727454212745212,0.2607992797572588,0.20422955775944268,0.2760790829222217,0.24628045575729002,0.24013402356540972,0.20464571121475775,0.21584250703741745,0.24216101699016832,0.24387289815213903,0.24140746451460265,0.2431489416821336,0.2612344259899301,0.24217643829565427,0.29828774231715716,0.32832218971868715,0.23191162586285474,0.29630639753268395,0.23355312081806445,0.19823261225226185,0.23199839334172617,0.23291451804375574,0.2234119368013352,0.2392106616150603,0.2249196001993285,0.18944322911680128,0.2577946207744617,0.31410975397144925,0.2039119024274098,0.2278208425184838,0.23209581260244125,0.2502694876510291,0.20815819792657902,0.24060259650201074,0.23402864178323665,0.2654615213740665,0.24214508428294734,0.2964289873579533,0.26161040203640645,0.23075185396777934,0.23972279625541676,0.27006523737682236,0.25714642291644507,0.2436110382780965,0.28852925806258267,0.25441932295776165,0.28175824413096845,0.24585597162419087,0.23050522030912543,0.251943373911266,0.26988256979857733,0.2805711431085718,0.2675543284115405,0.20217389928218785,0.26750539204447277,0.26705711449613384,0.20976133831263385,0.2104889795541186,0.2498284321792966,0.25962554065869287,0.2244710643251053,0.21226887927015664,0.2252856872355514,0.21205817857777012,0.25944293853223954,0.2424528627714144,0.20203398540409187,0.2070295320899671,0.2810492660204388,0.261956567091863,0.1944968087259739,0.21916416886458337,0.29380077007408467,0.2534191498560878,0.2767675169730949,0.23755736247758166,0.25839494842400923,0.2511493559806021,0.24938694925476518,0.27415955305246303,0.1830462388675861,0.3055959854641165,0.2516598284461675,0.2097741450428892,0.26710561232381325,0.2166202384725519,0.235224010279404,0.25515493074561,0.21107780483815056,0.2433018642384961,0.23530664001643833,0.20820291922616138,0.2628313717327631,0.2957649021534697,0.2518901699535839,0.2216068229891963,0.25542349561889705,0.24450577661419623,0.25387922234574467,0.29608222938467144,0.2661474285369686,0.2630008753389275,0.19831201345465738,0.26553128666457226,0.25427009887500435,0.2128272028470482,0.24054063962297476,0.28829244315304453,0.22680888888340509,0.24278999777585772,0.22371059280218192,0.22592368845962632,0.2401620181978366,0.2675935909089793,0.24229263144344562,0.2587786635292202,0.20548918400299046,0.20473258261796481,0.23411798662320799,0.24406076927374323,0.2683211783942759,0.252597071805112,0.23928311418791348,0.22733141947424268,0.1923276234149678,0.2519327682675859,0.26924565333221123,0.2633915366114567,0.29346077550847144,0.22565467371579767,0.23475565951249355
F-057-C2U,0.2074697946854021,0.23227194707449986,0.0,0.21024314005210115,0.18148933690229072,0.1837499778930947,0.2621004488214186,0.1962383955703216,0.21365884959126025,0.23509403574161844,0.1780878807027453,0.1830125390082839,0.15819229959533482,0.16981320045837095,0.13268481059566484,0.18105072409701914,0.18523300759415073,0.18219424401433137,0.210270139822326,0.19246259585605055,0.2163031734171265,0.22978467187307347,0.15062775502600437,0.23887576007578734,0.20311998904421935,0.25461966525864993,0.22996412978522046,0.16010529683926106,0.24259685487633048,0.20297236497149962,0.25355920893760975,0.15328714559512532,0.18045630113250946,0.22502962739517746,0.15177403960973046,0.1879618125831503,0.16033373157822653,0.18955916637991285,0.2778460841439298,0.22724696930714675,0.2192913719496848,0.20749030048943934,0.25182760730001214,0.1746327349653694,0.17993608488621193,0.20444304468068034,0.18976119602511748,0.16983776127662595,0.2298162635867519,0.2376724642911801,0.206732596966941,0.18959467544796835,0.22583859528902658,0.22273401116010183,0.11021220104692328,0.24208550277873403,0.2368485222690225,0.18533822564169142,0.19483396362245237,0.1819522167246554,0.18115369642018603,0.1859115664793742,0.27876635404991135,0.20799240875802213,0.17474569950785096,0.1968479217541079,0.21056505813727597,0.20120388502419057,0.20370754118561324,0.15886458143923393,0.1580920277071524,0.2233070100649113,0.16835125736711318,0.140773837733014,0.13255540024701745,0.20244815572128674,0.21233727921170634,0.1768572249366811,0.16376863139252157,0.14040888871733706,0.20552496669422762,0.17979442769892376,0.1753707220127595,0.26508804703640004,0.21247459598885288,0.17998282731880297,0.2197719335151272,0.18958285895351829,0.20460854500131667,0.15382526507809355,0.14560016407863946,0.23903500197163657,0.24997526916886423,0.14662113377370914,0.20655093375392317,0.1903645479442159,0.18419364838684582,0.1686051673592024,0.17599701635626988,0.19584323362584857,0.1683913234985336,0.16958998162547564,0.19807423688595613,0.11405855051077948,0.28307698622770067,0.22537983318259938,0.18269433943996355,0.19599437460683578,0.20887228371642685,0.25258038158825724,0.240815793594371,0.22862308065632858,0.20703713160829842,0.15663243445970623,0.1674511480310048,0.1933736538746232,0.1952690571296122,0.17685392510446546,0.2126715898432863,0.13990679851940427,0.17827012443623777,0.20011670032773404,0.18770419475080785,0.16421294999275035,0.2554309620104454,0.19411980753694388,0.17322537142209182,0.14255388490304124,0.21508847563192793,0.1817050848277817,0.18076415128915885,0.2143117437022277,0.25655114696481357,0.13422175454743188,0.13441451138725521,0.206770684846532,0.1484951811423052,0.2233830678747323,0.16584712749965347,0.24836378384695754,0.19554261479537316,0.14360817504842407
F-018C1A,0.3142436578409007,0.29883197390783756,0.21024314005210115,0.0,0.2445621907208567,0.2833911161819287,0.3167895156177064,0.2755625818298826,0.24530678219461743,0.2834855731063824,0.2465641813163577,0.288843594844653,0.26731181843297974,0.27542863085031194,0.22480704840543667,0.2263748254720634,0.25586713014095747,0.2658639362053564,0.29343899336353996,0.2553738876120672,0.26231655458805536,0.3171992769231754,0.18659307671898126,0.30121791591551006,0.2972754430955645,0.28664728091609026,0.2057026101810821,0.24460840269734657,0.29897312635637774,0.24907967503785894,0.2888989916915656,0.25886780605985704,0.2747851436509717,0.27771732200182087,0.16075661754486423,0.25069995774002213,0.2751760534628271,0.23092667258168323,0.24690925625745155,0.30881035218270664,0.31245107812598,0.26433332472654253,0.26261712959674355,0.19438134154295147,0.28144646266989176,0.2551971092270323,0.29508826723569764,0.2259851730563713,0.3015654576920919,0.32362280144146877,0.22631569823924583,0.2487122340067363,0.28854803038720567,0.22793783609537907,0.2142553129390161,0.30114220044943274,0.2581563166680742,0.2845966086756924,0.2509832443649096,0.25248126162738693,0.2501842469935627,0.2889057329602613,0.3217484777504183,0.29218390466565264,0.24418492911131762,0.27878458962096864,0.217315874087952,0.27027967261552266,0.2677088977002861,0.22931073607070313,0.24475525464440498,0.2710353869258214,0.16667585245504873,0.20655440988048168,0.22822177997316354,0.23087641677532145,0.25629325669867414,0.3039935670800883,0.2535879068619397,0.18241667987572976,0.2982013241691451,0.28058524228193954,0.24089647798717215,0.2703500342547517,0.2655609708526228,0.178262798692462,0.30224947601550245,0.2588324039646509,0.29221583304463566,0.2644538189862464,0.2065785021827489,0.31221060096255154,0.3171082291606027,0.20045935131006734,0.30307888653666276,0.2927593853653463,0.22585321470778072,0.20601177644815333,0.19745915423355412,0.28190074090353084,0.20837879231377932,0.2055738344257116,0.24849004864237265,0.2562595018206736,0.36880685993366286,0.1998486924017864,0.2319388586252678,0.25837008773962816,0.22142828843928133,0.2527718732918381,0.25563552752796326,0.23213825731673882,0.273474788084449,0.23407255135951682,0.21012495360594527,0.2417718651619724,0.29585645998795657,0.17603978081931637,0.275399329538359,0.18079246306820487,0.23438931386092368,0.24566189511380215,0.29480313865395913,0.23902870463026524,0.32166730429737705,0.28061999378041325,0.2380734428047074,0.24317759420942914,0.3164065080382209,0.2462244759647334,0.26253497035858286,0.26076995285664356,0.28888642424405764,0.2011704448385233,0.2599726831313755,0.25794114562915915,0.19293111355006717,0.23704674668733208,0.20131502829818468,0.2748984318021932,0.29176822010406794,0.22240886970030008
N14,0.17380630074605605,0.23204784765006217,0.18148933690229072,0.2445621907208567,0.0,0.20513063709687346,0.1712612101081349,0.18064184224544957,0.22413959437048092,0.20270257494451657,0.1474361132412283,0.15367903068359062,0.21897040340236512,0.21239610447258786,0.21314684757881422,0.2080237894775468,0.19010596606802438,0.24768722121828335,0.20141278136866575,0.16382793050547442,0.17346834506768052,0.2505795852490559,0.182078314312473,0.2342394291977156,0.20826200765465175,0.25697858257030926,0.2792057210202661,0.1909737182723477,0.21289715827257782,0.2588705799293712,0.27682303391155805,0.16342074588791938,0.20427044523776824,0.2180400512115339,0.18751528904977272,0.19786548269376059,0.16299180140314287,0.25420454896412115,0.27975452927101285,0.2570196305821098,0.23074322112981377,0.23383507105123202,0.28046358529002413,0.15204140691616844,0.20833505282635723,0.219522662300571,0.2043935598071795,0.21426316854897554,0.19741715206143048,0.20220945855445427,0.18054698222330176,0.2593880312255556,0.26300631505778427,0.19710007676010446,0.1633961985320555,0.2916183922921862,0.23895788904173051,0.2073442693040334,0.19499088717310856,0.19588011287585694,0.1692507043890716,0.21602235625809013,0.2913222058636952,0.21858392747105035,0.16293495577019082,0.1737457211959012,0.21520791864035113,0.22241768271079532,0.23688169128828304,0.17814960481490896,0.16581701287359726,0.27319419835429265,0.14805243375756116,0.16786818309972082,0.158766546055745,0.1967116030663095,0.15283889518671734,0.1844855198988437,0.1619205530002732,0.18095358578598952,0.2683102648838321,0.15850606636502373,0.17013861171181452,0.25194776423727994,0.28051437958105047,0.20643820963347656,0.18663648514363354,0.16289859994302808,0.1887901245684553,0.22139568613873384,0.17257861364610932,0.27757896505776386,0.2659716979705851,0.1702017955367002,0.24255326970238822,0.196110460897291,0.18116191467327775,0.1517728632439431,0.16774680096264366,0.16004819530545628,0.18950376758789042,0.10368941345909183,0.16129171141825432,0.19208608326669746,0.30564246489225105,0.19373036205525315,0.1773651908465408,0.20836686635693583,0.1684124440602514,0.20535457750540603,0.27638785889834755,0.28090796844208155,0.12510760080804822,0.1881450344503885,0.12899379577775388,0.1791161882657851,0.19452892509363273,0.2510718959183406,0.2624231069798667,0.18627817440334654,0.1953244443411348,0.19651278058671784,0.18055416185203482,0.14960651550023826,0.29396481383599155,0.15447870139620448,0.13178755372528705,0.1766588879012614,0.18966741599283157,0.18403457429994455,0.17858050999736474,0.25792970217761974,0.28538964922564986,0.19088576702960147,0.189752723349483,0.16696008181899144,0.2074343707948227,0.24501502721244514,0.14510997323927466,0.2741513047334037,0.20621608145807893,0.2062543747406826
F-023C2U,0.23818992150210083,0.26689671813812,0.1837499778930947,0.2833911161819287,0.20513063709687346,0.0,0.30780061464434677,0.2191942532156623,0.25479287997169336,0.216149618060181,0.21694398108622046,0.22164745359764448,0.19501419332029243,0.207577281364837,0.20106255528766342,0.24761501310786635,0.20889240299361134,0.23249745863173274,0.22938666285301346,0.22407526641372336,0.2396712354045717,0.30047135969694216,0.22190531527358448,0.2519520764426122,0.21569585085574491,0.26960386229995476,0.29397849881290006,0.21476503820424334,0.24488181643293455,0.2475468386628492,0.27558581253968106,0.19919511691465477,0.172318510838047,0.26623819584356545,0.19325011820474106,0.23038391818172171,0.20231409426901623,0.2473371042528238,0.2838471864503392,0.27378307054601236,0.21459675872445455,0.242123521263324,0.26184022735872714,0.25041182337565054,0.2288979542246853,0.23518408609051802,0.21686524986315914,0.2391817669597984,0.27015501246682255,0.23221049747276937,0.27753192491793527,0.22216293626399858,0.28518659806413316,0.255712586570939,0.16680284775684356,0.24388801437435345,0.23845303143679086,0.2234442556423042,0.2594589180026796,0.21759960768458936,0.227518270064507,0.23810464116819088,0.2767261560912224,0.21977295346016454,0.20270687499098589,0.25245456875752875,0.26299087769521157,0.25138538499015606,0.26961440360757416,0.19941911577728597,0.207276959544936,0.2676414315098357,0.2571062725200506,0.21705552769133118,0.1813301460526367,0.25306792021244456,0.23087191128444398,0.20084165637964577,0.20428061769585204,0.22134361231656136,0.2250561613570368,0.23628494625701443,0.2330234493168961,0.27484838061343914,0.24387848277313945,0.26693605969797074,0.2700862127623821,0.21344501136909141,0.2406132034159864,0.22065490558763617,0.2394184160920092,0.21946749558181694,0.2708768961772597,0.19069033050907172,0.22085098453580465,0.14926377038723426,0.21627115523726337,0.2361461484532293,0.20318259273580702,0.21515370497845782,0.23878538587615675,0.20367048264546586,0.20753287883189164,0.17710094626571699,0.26606864605585473,0.24791931900701386,0.25244155346800684,0.21380419605593823,0.2467052575719257,0.2702762876174252,0.2995011497888655,0.27419368782043146,0.2175150602039068,0.19272057761345007,0.2499488518203406,0.2410049253195411,0.183167080154693,0.2661982873576313,0.26848297040085267,0.18579345183158083,0.22427102942136495,0.20616557059507373,0.20065374904642294,0.20705827398462945,0.28416590080490955,0.21472558666167868,0.22200926624371803,0.1645321389597589,0.22336678348237574,0.21028454942479735,0.21776287113120202,0.27648665965810676,0.2633107251472685,0.19804111865704394,0.19406555077381027,0.25035050286295846,0.24462855808537537,0.25893899507161516,0.22421199242666165,0.2724504450956288,0.25588558112544113,0.20246868058396975
F-048-C1A,0.25364813578589185,0.2295321761938303,0.2621004488214186,0.3167895156177064,0.1712612101081349,0.30780061464434677,0.0,0.260160157434717,0.2878976980007888,0.2593533261218816,0.23428045667780648,0.21701462435509247,0.27928344679333356,0.260355807729735,0.2885780796862267,0.2990971939773666,0.24968092279076212,0.3165266076543509,0.21144564628298695,0.23385881901637787,0.23293640408068525,0.3063256127016598,0.25701490205847644,0.3040097609164966,0.2618842133008375,0.2617342853110134,0.33301737575215934,0.27805145290416466,0.24153374014455156,0.3220978460307907,0.26398458089243276,0.2618248445799888,0.2769134876439431,0.26733430699034333,0.29020723870791937,0.23847816905405034,0.24441124075604306,0.3214527637646389,0.3156040364586974,0.29516706746060833,0.3015220730637971,0.29724545163338906,0.33700835720100386,0.24698953835900708,0.26949619353278975,0.3164832881819245,0.29303325260462376,0.2655920493673062,0.23877241776898042,0.28438224353574726,0.25584799052390395,0.3263822298942051,0.3318719946866808,0.2988374927216925,0.25594331367481254,0.3430999106950053,0.32891546789526815,0.24400423393128454,0.29051512036806426,0.266926875963191,0.2217623525342121,0.28370073837274634,0.3264310046063141,0.2862231177760611,0.20619483129391386,0.2299437081733261,0.30524386416244753,0.2951877854659407,0.2863160079791002,0.2777587986230223,0.22996713232411262,0.29926794392300093,0.2448605531289528,0.2510428099507921,0.25464561215009357,0.23503628728374712,0.16744355474268938,0.24782591182070296,0.23855518546485113,0.254622559517865,0.324379123493948,0.17244703790255522,0.2452678994909055,0.31600345488988574,0.34300892405353256,0.2907926890702047,0.26358705488234424,0.2459096405440078,0.25617896210287905,0.29337523900342544,0.21046622125612677,0.3204412863481485,0.3659900582617292,0.2463289671383038,0.3112069866166447,0.2786681237736752,0.25010164882529207,0.240955444792155,0.23229309963112368,0.23973731346864313,0.27573382522093803,0.2027487157473664,0.24544948643838968,0.2721873391350149,0.3449169464084297,0.2848660965885309,0.26319176516796505,0.2891657024150864,0.28309431572443167,0.29372229132746774,0.3367239500031659,0.35831388640490786,0.21704319009270226,0.2686086498711711,0.21379194061485143,0.26398910242997026,0.26155527880649027,0.3191188993019372,0.3340663803716699,0.2942702717072957,0.2686014353322544,0.23472880608957136,0.2367587214934451,0.2174905110004987,0.34222096044653355,0.22047194589931804,0.20720305365108022,0.2597963318861187,0.22598109966737148,0.28859121586362463,0.2479303955923286,0.33775223942921456,0.3348099516925515,0.26077631782806765,0.28632739056975365,0.22016112168131563,0.2957008667387354,0.2961609193732294,0.216610202888503,0.3377054345200022,0.2693737698631453,0.286277027492399
N08,0.2210592594365687,0.19630030789666467,0.1962383955703216,0.2755625818298826,0.18064184224544957,0.2191942532156623,0.260160157434717,0.0,0.18852237375798694,0.24165734549914997,0.2101837825725926,0.24348210560574135,0.19909843186165202,0.16721330225918873,0.21621819681498053,0.19385070084421857,0.1898454999376087,0.18236172466002815,0.17153613340119248,0.20101298212277946,0.22606712959511208,0.21043495858742992,0.20301961880239228,0.18021429130867375,0.17264288554374146,0.2858748600729851,0.2955722071607548,0.1704708453769028,0.24135256641344563,0.21866356380917207,0.21121497532878794,0.17846930031012018,0.18295945963754615,0.21379517251063368,0.18842256074772945,0.19505778615782893,0.1608759153465322,0.25239891609248377,0.28354832262458934,0.19442687731088315,0.16319713195298896,0.19710308966021176,0.23827800487202902,0.19754424118871164,0.20225484775281227,0.16867372181348747,0.18400723239797856,0.20491282523297616,0.2688097704592692,0.1725935125745389,0.19392108129022217,0.20712446318956845,0.2412784897054664,0.2006114472695872,0.1798894901815933,0.2749034753613768,0.22256134981167572,0.224764404918075,0.18657399056510124,0.1800334707557367,0.21317040992097186,0.20695442437357273,0.2246110550615638,0.23625086510139168,0.18345131878614745,0.21292806894644364,0.22778092475332873,0.1827059661379347,0.1793834674371718,0.2043181683600227,0.22505401190816918,0.19185031064029814,0.20441040060575066,0.2027050912764068,0.1559129875988795,0.20899236093931803,0.2093131856354288,0.16421643999994776,0.1630056749258456,0.24346202245231913,0.21272459850894979,0.18220623556645651,0.16998959971890867,0.2584951464250063,0.2198439074027519,0.23531259920565886,0.2055304932748649,0.22079514854376886,0.21898971439616943,0.18488290436847846,0.20295493690432553,0.20655474802889076,0.2501881789869256,0.21111185795488333,0.1746873712563319,0.22059295068774581,0.1960211265019362,0.20644326131464855,0.22467212052036192,0.17765902748570372,0.17312193007765544,0.1931258381185764,0.1667639711143464,0.22210496837667815,0.26806230632114486,0.23596110326665326,0.18998440985543055,0.21336633179664063,0.2039237594852219,0.19490919102098878,0.2933410309971286,0.2403432986003324,0.22391103455474556,0.13045770209866056,0.2072070213707184,0.19187521679677916,0.18300328472825977,0.21948324723295226,0.24536664311532347,0.18483490598345856,0.2100178832033928,0.19885406063245464,0.14834138747354358,0.17741472660694432,0.261230800686954,0.1860160013210611,0.2023869546551468,0.1834301254815848,0.19148480746229457,0.1453254738995799,0.210461235995786,0.24746794429432872,0.21500335539883964,0.21804534029548367,0.17742282719397243,0.19378233528303207,0.19752540227284265,0.19940014078905063,0.23506079747458405,0.255369506702141,0.1751237730758096,0.1978794852208961
F-058-C1A,0.2694456187091216,0.24166484566702534,0.21365884959126025,0.24530678219461743,0.22413959437048092,0.25479287997169336,0.2878976980007888,0.18852237375798694,0.0,0.26610569634949904,0.20301991896050925,0.21884465253281032,0.2209366633880793,0.19538953653792313,0.21872587961203127,0.1886537327978361,0.2429290053885657,0.22343404409160025,0.2369030358434215,0.2148223893721573,0.2173879488719788,0.21331123934783885,0.22153627146363125,0.18524042621637246,0.2058688820375696,0.2916626704301557,0.26510895831513354,0.20347342828961915,0.2643794760220063,0.21881524437953814,0.23463392541375283,0.23316145666255123,0.1854880160637012,0.2087619972917549,0.1968118440998536,0.23721714604484723,0.19393499472529122,0.27131475548482115,0.26919130040706396,0.2359672125259627,0.24492562168603682,0.2287135831872256,0.21503960953674142,0.20645022642796648,0.23833238330266343,0.1782988276184658,0.21695289317119318,0.22417678195514779,0.2739290923713434,0.24305217343156527,0.2113589444420528,0.23999192393116023,0.19284688944918868,0.22528410587743608,0.21753958892244762,0.23526691075956832,0.26357935347379197,0.2605793330937007,0.21047775304886865,0.21054622921241373,0.21896193861357385,0.23327557506821742,0.26138238239959305,0.24488722399064203,0.23802937976704341,0.2331325536935502,0.227021851173485,0.1749455966378572,0.20590740354964795,0.22772077513533923,0.23378225904391492,0.24121262199945157,0.23926015563450545,0.17512579918238563,0.18695219603458407,0.1882475688682445,0.24225699246024496,0.2105200850758099,0.20060792633587593,0.2292061427606055,0.23105238947213616,0.23316947927905932,0.18424227742313876,0.20011627074664606,0.2148832802551653,0.20483484583050962,0.23868651937268195,0.23586980089072865,0.2519014460589804,0.19922294071625982,0.22067094113875732,0.23759759492248095,0.25406166351506915,0.2041146963747818,0.19026619170334472,0.2349758485626234,0.1919166090894346,0.21517572301375115,0.24189921542376666,0.20192547271325206,0.17837140669006374,0.20876566783574158,0.19594098340606284,0.22080753688515317,0.28385867710881685,0.22197574478890295,0.1707889559639014,0.19813566518815662,0.21391424664134237,0.1977094393803449,0.25924648622041047,0.2392150720857175,0.22527923562476118,0.18436809272443927,0.2300407820786476,0.2110523596758237,0.22843451130417652,0.21677110650414477,0.2641726274073528,0.17864807151065765,0.2132263043615546,0.23773556223851608,0.23378036225785126,0.18546268083220327,0.2552008822416632,0.23806650267078414,0.2106141794951175,0.19716974280820904,0.21798852055286178,0.17073190776928945,0.2027861461719169,0.23094128753908208,0.2248878111592795,0.20941835855229957,0.21260535264490604,0.18833118477381333,0.19793992236867156,0.18327958991251717,0.22584294065359,0.2227126330419199,0.22028301428414218,0.18353246663799908
F-037-C2U,0.1794007827703265,0.2629985759649086,0.23509403574161844,0.2834855731063824,0.20270257494451657,0.216149618060181,0.2593533261218816,0.24165734549914997,0.26610569634949904,0.0,0.17248159649784844,0.2324312356078676,0.23770950366249902,0.2591905652942225,0.2520184714720404,0.26468763087554914,0.21384280928819474,0.25057211197286494,0.23916929201877865,0.2327950829890154,0.18896109410098128,0.32129555966952844,0.21742370309068482,0.3020801173547088,0.23676372664913511,0.23277867367685842,0.3144519872079144,0.24796872508225415,0.22255824139234884,0.3019785967431677,0.320023716115841,0.21509800759357117,0.22375588735332347,0.2623509133154926,0.23754176230267976,0.2660503475814864,0.21594192315140648,0.2610314080785084,0.28790344811369833,0.28513973603544873,0.273943902653986,0.22157161864745786,0.2724351600624499,0.2808096591359176,0.28229984838292255,0.25947995527560647,0.22481164403281398,0.19892968945144796,0.17841284357853812,0.21670973837287377,0.23487579147509866,0.24672958669443018,0.28220052261220446,0.2578537731718526,0.21856491644531684,0.26602425453498324,0.28761626199749807,0.17148686223722634,0.28605689851353244,0.1639480073253775,0.22826084685560555,0.21684216192056935,0.3221627265439592,0.20386491549399796,0.20426480015110082,0.16781123864675626,0.25612524669296627,0.25629821271830083,0.2407915895573198,0.27389883036744045,0.1844932569292257,0.31986997183027815,0.25144404859289343,0.2216764374881352,0.210229884970047,0.21047666745392074,0.22054731389441856,0.19401980303917848,0.19150872834598096,0.24751550255975255,0.2785974615791533,0.23348647869403694,0.21990011479021182,0.3237823049617637,0.28529421683935297,0.25549367833028197,0.20568151734670254,0.13719755199141315,0.23059106631870632,0.28638286045522277,0.2681970446153347,0.2730166766943286,0.29824285095152936,0.21411694957841867,0.2740817035464189,0.22575031064878218,0.21553555548120448,0.2252603846542492,0.2316723295834664,0.1826557135569727,0.25448925439135467,0.19780654508801118,0.24447516798850402,0.22792803692491362,0.24999910220050534,0.2416672384882969,0.24387592988479073,0.24660914473806303,0.21091072019047363,0.27837924085411775,0.310533722943004,0.27616623547474817,0.20815852266394738,0.22324162447807674,0.20399404191038337,0.26175092989874793,0.22330086022891427,0.2656316986645238,0.27602154456421835,0.23961483567825223,0.20824817656303252,0.19583273800578044,0.2380773310489687,0.19708970276056637,0.33199323332968195,0.21376471569753028,0.19934649924458586,0.24756882323383453,0.2675878658972203,0.23651142935701028,0.21883009823973038,0.28352752757505834,0.2953609648469814,0.2050729640658106,0.23877104979347588,0.26533688350400225,0.2430898573964572,0.2660443385494494,0.20995295511447493,0.3123779163949092,0.3051722439122142,0.25136113021983475
