,shannon,Dataset
A16,6.424320653205685,autism_kb
A18,6.4370886462292995,autism_kb
F-057-C2U,6.443197089933831,asd_son
F-018C1A,6.218443815453143,asd_son
N14,6.386395436113203,autism_kb
F-023C2U,6.417680110729764,asd_son
F-048-C1A,6.419346802704756,asd_son
N08,6.426473900712193,autism_kb
F-058-C1A,6.453207173676908,asd_son
F-037-C2U,6.405730241639872,asd_son
F-036-C1A,6.250794544534468,asd_son
F-050-C1A,6.411104579236878,asd_son
N01,6.400828403806195,autism_kb
F-051-C2U,6.362499686912443,asd_son
F-033C1A,6.371574512277715,asd_son
A14,6.427172743045576,autism_kb
F-025C1A,6.408485936151327,asd_son
F064-C1A,6.231111266878412,asd_son
F-037-C1A,6.431305143935027,asd_son
F-053-C1U,6.3975342160971485,asd_son
N05,6.416656619035261,autism_kb
F-027C2U,6.251678782446117,asd_son
N17,6.390991149729652,autism_kb
F-042-C1A,6.416984643329178,asd_son
F-031C1U,6.066747443711143,asd_son
N04,6.419573298057616,autism_kb
F-039-C2U,6.41770876794042,asd_son
F-030C2U,6.271213552153928,asd_son
F-026C1A,6.39507321544124,asd_son
F-038-C1A,6.254741418111737,asd_son
F-030C1A,6.308736196889358,asd_son
A15,6.405389709817168,autism_kb
F-062-C2U,6.073676364673491,asd_son
N13,6.364750654995723,autism_kb
F-060-C1A,6.436309178263896,asd_son
A06,6.432618153195694,autism_kb
F-005C1A,6.270636886464014,asd_son
F063-C1U,6.424378941260827,asd_son
A04,6.410057986331824,autism_kb
F-019C2U,6.405614738707303,asd_son
N18,6.406805558271442,autism_kb
N02,6.406024113515048,autism_kb
F-021C1A,6.2471667499036725,asd_son
F-028C1A,6.149045315033745,asd_son
F-003C2U,6.332973233273098,asd_son
F-009C1A,6.374146408063445,asd_son
F-027C1A,6.124701265936285,asd_son
N10,6.416387208280274,autism_kb
F-035-C1A,6.311894199598138,asd_son
F066-C2U,6.197294224998233,asd_son
F-054-C1A,6.371441386830226,asd_son
F-002C1A,6.0359119602821725,asd_son
F-042-C2U,6.427345762631966,asd_son
F-021C2U,6.408743347213982,asd_son
F-019C1A,6.399183423494854,asd_son
F-043-C1A,6.3911394550154625,asd_son
F-029C1A,6.194058719081655,asd_son
F-008C2U,6.417714392990162,asd_son
F-024C1A,6.330707677497803,asd_son
F-050-C2U,6.367057511267339,asd_son
F-013C1U,6.416177751200176,asd_son
A02,6.390242811804921,autism_kb
F-024C2U,6.25952870616032,asd_son
F-022C1A,6.323986925235749,asd_son
A07,6.431327249958644,autism_kb
F066-C1A,6.428069942187819,asd_son
N09,6.401214567405406,autism_kb
N06,6.424921963623134,autism_kb
F-008C1A,6.449959864093877,asd_son
N03,6.3859442964456115,autism_kb
F-015C2U,6.39057608764112,asd_son
N12,6.371577271386615,autism_kb
F-010C1A,6.404712165523478,asd_son
F-044-C2U,6.377858626561538,asd_son
F-017C2U,6.046205958329932,asd_son
F-057-C1A,6.291201940861182,asd_son
F-061-C2U,6.377665116537421,asd_son
F-016C2U,6.373148364452276,asd_son
F-058-C2U,6.423156178626532,asd_son
F-047-C1A,6.41759270862032,asd_son
F-012C1A,6.2249128030215735,asd_son
N20,6.4058399528269945,autism_kb
F-006C1A,6.438075256981922,asd_son
A10,6.283651744660688,autism_kb
F-029C2U,6.242526951096342,asd_son
F-017C1A,5.9485573287018685,asd_son
F-022C2U,6.379764188132951,asd_son
A08,6.435534320633297,autism_kb
F-034C1A,6.314543538265437,asd_son
F-003C1A,6.13895332089283,asd_son
F065-C1A,6.411400465394437,asd_son
A13,6.390927108421275,autism_kb
A17,6.371022991853027,autism_kb
F-061-C1A,6.430530435213555,asd_son
F-032C1A,6.093084302856254,asd_son
F-039-C1A,6.3692518554479784,asd_son
F-045-C1A,6.143393631867497,asd_son
F-011C1A,5.869287884850071,asd_son
F-051-C1A,6.377217404149571,asd_son
A01,6.415915907517105,autism_kb
A09,6.404516131015258,autism_kb
F-041-C2U,6.435799267750962,asd_son
F-020C1A,6.35628085321493,asd_son
F-002C2U,6.3757928130311035,asd_son
F-062-C1A,6.410606251921506,asd_son
N16,6.42871160968606,autism_kb
A12,6.343349761350919,autism_kb
F-055-C1U,6.144989880877839,asd_son
F-052-C1U,6.177875707557455,asd_son
F-009C2U,6.447943135134653,asd_son
F-004C1A,6.113603936116742,asd_son
F-007C1A,6.4319974314092,asd_son
F-056-C1A,6.384970801932052,asd_son
F-004C2U,6.334438424233465,asd_son
F-015C1A,6.373882875479949,asd_son
F-007C2U,6.311020744733647,asd_son
F-040-C1A,6.39749390899479,asd_son
A03,6.432842436729491,autism_kb
F-016C1A,6.369965612528427,asd_son
F-023C1A,6.1065456758913434,asd_son
A05,6.30643451659517,autism_kb
F-059-C1A,6.206853104338744,asd_son
F-014C1A,6.339957384785894,asd_son
N19,6.428598350234326,autism_kb
F-054-C2U,6.377437750293982,asd_son
F-046-C1A,6.396721210270811,asd_son
F-044-C1A,6.2152191791421325,asd_son
N11,6.422633385118657,autism_kb
F-028C2U,6.287414362450893,asd_son
N07,6.404155245892504,autism_kb
F-020C2U,6.093280252042554,asd_son
F-041-C1A,6.422080683120215,asd_son
N15,6.390374974341767,autism_kb
A11,6.397145595550656,autism_kb
F-049-C1U,6.382770114191826,asd_son
F-014C2U,6.141519870762577,asd_son
F-025C2U,6.33993525372204,asd_son
F-046-C2U,6.096217244595954,asd_son
F-018C2U,5.984670211377247,asd_son
A19,6.364153936419523,autism_kb
F-001C1A,6.277336667428523,asd_son
F-001C2U,6.1605124037534775,asd_son
