,F-058-C2U,F-007C1A,F-024C2U,A15,A19,N18,F-048-C1A,N09,F-050-C2U,F-003C1A,F-053-C1U,A18,F-062-C2U,N02,A06,F-042-C1A,F-021C2U,F-041-C2U,F-009C1A,F-023C1A,F-052-C1U,F-010C1A,F-023C2U,F-029C1A,F-017C2U,F-061-C2U,F-058-C1A,F-012C1A,F-022C1A,F-047-C1A,F-014C1A,F-018C1A,F-007C2U,N13,N05,F-016C2U,F-033C1A,F-028C2U,F-004C2U,A09,N15,F-006C1A,N10,A10,F-060-C1A,F-027C1A,F-051-C1A,F-044-C2U,F-001C1A,F-020C1A,F064-C1A,N17,A04,A11,F063-C1U,F-050-C1A,F-014C2U,F-019C2U,F-044-C1A,F-046-C1A,F-017C1A,F-030C2U,A13,F-037-C1A,F-002C1A,F-022C2U,F-059-C1A,N06,N12,F066-C1A,F-018C2U,F-045-C1A,F-055-C1U,F-020C2U,F-051-C2U,F-030C1A,F-009C2U,F-015C1A,F-025C2U,A14,A16,A03,F-029C2U,F-041-C1A,A05,F-024C1A,F-026C1A,A01,F-035-C1A,F-008C2U,N08,F-037-C2U,N01,N19,F-042-C2U,F-011C1A,F-016C1A,F-034C1A,F-036-C1A,A07,F-049-C1U,F-054-C2U,N03,F-028C1A,F-005C1A,F-054-C1A,F-015C2U,F-004C1A,N14,A08,F-021C1A,N07,N11,A17,F-039-C2U,F-057-C1A,F-001C2U,F066-C2U,F-046-C2U,F-056-C1A,N04,F-043-C1A,F-038-C1A,F-057-C2U,F-061-C1A,F-003C2U,F-039-C1A,F-025C1A,F-019C1A,N20,F-008C1A,F-013C1U,A02,F-040-C1A,F-027C2U,F065-C1A,F-032C1A,F-062-C1A,A12,F-031C1U,F-002C2U,N16
F-058-C2U,0.0,0.021021033452772113,0.061782928085110336,0.021133892948530533,0.030405436777281327,0.01625880750967128,0.02644905558105408,0.023730214421245302,0.052182830838810465,0.058308179537906735,0.029014649431796737,0.019315716448537724,0.06256505348772125,0.01698108251527403,0.017616152320428603,0.024767483497426596,0.021243413041472203,0.021472512491906008,0.0331777097167195,0.05340190695073274,0.05661556148314371,0.025202360521723192,0.02060263347222538,0.05922818564210231,0.05508396909684587,0.029336551221762625,0.013022809469094329,0.057784941903546334,0.03657982978382187,0.0208914832204164,0.045936931684273416,0.04568089642813585,0.05794254090565391,0.019672143590248183,0.01882835142202472,0.037943523329492614,0.03755492380349584,0.04119372487280126,0.03622314471868658,0.02501299264160325,0.027709327125878896,0.019266306957026406,0.019189940076147546,0.04763167245991064,0.021912706215010163,0.0511828646694733,0.03465121473243436,0.03192074949672436,0.05799083788078564,0.036820169693897724,0.04359938353202676,0.027118095335389666,0.02320994564156218,0.023679841581779073,0.02774587791092609,0.017968402825012105,0.04984665563918889,0.033716046454521455,0.04783860439657016,0.02504616496257533,0.06321329041092187,0.05089881435104719,0.018139842677452167,0.019900870334616644,0.07727521168222777,0.03293828088390081,0.04336154421867582,0.017218096025110968,0.019152746472907607,0.019103267082729587,0.05957137107764053,0.04700783745518417,0.06169059979519231,0.0660950606366137,0.035658362617881904,0.0411714346474646,0.016748454660748088,0.029091529865332713,0.04358930812880439,0.018062393157611618,0.017310444684381743,0.016093897318491784,0.042419782177546786,0.027868138759578307,0.04695334729240944,0.04275766133189712,0.03406289116362181,0.028395353373331936,0.04327394001596843,0.02509416600733979,0.018984047153906634,0.026865255180472346,0.02185457952015068,0.022220917616108702,0.023523293437986512,0.07085632252067514,0.03597944762826944,0.05666352692291884,0.04157502809394585,0.01574037163981211,0.03463201034865116,0.030409881372106075,0.017548740186286976,0.04931884485177088,0.037651303468985674,0.031400319255867774,0.027872374676868705,0.06401661047144913,0.02840407081972481,0.017129373402991997,0.047299485437998404,0.02758777415624345,0.02529378713026231,0.028476186086220948,0.026004782123875383,0.035739922375107994,0.06485176535302545,0.06289849802843663,0.061361412844152724,0.035808653586818145,0.017106473920126725,0.030788161367812,0.04305541878842309,0.019070905919859493,0.024024555292726044,0.046398138423066025,0.034473034282281656,0.028394742767955068,0.031644121215797495,0.01712018995255588,0.016042126925077713,0.027586636801482368,0.024953301859999832,0.029147165219066122,0.0459849762364707,0.030643779421609122,0.06509799514057327,0.020575264985390165,0.03859751706172967,0.056663118577838,0.03963430230853014,0.017243065055619986
F-007C1A,0.021021033452772113,0.0,0.054641553188548714,0.02307920179442767,0.03907413761691894,0.02127338474920299,0.022515944650850005,0.029604064231770595,0.04612290543586888,0.0556578322621103,0.026295800664785388,0.02438737186340781,0.06275014759931893,0.018626384764052626,0.022200146236293086,0.02748112834458234,0.0233961599576896,0.02146706185589842,0.027751054797958336,0.04969085603615247,0.048457346544085594,0.0239192853258548,0.026017489478377825,0.04952883887446458,0.05220625043585134,0.028137417413556045,0.014906141056454845,0.04928807293888847,0.03500380145255232,0.02490483150673142,0.04357239556201302,0.03903496637960916,0.05629327246445361,0.019684914586916177,0.025851352659406492,0.03192786564758268,0.031066593162877545,0.032916762858285965,0.03188155980741429,0.030289081078959945,0.03240598240328121,0.026289565095366712,0.028327703212308594,0.05419394526978017,0.0225979926561664,0.049579764077922216,0.024277419649397076,0.029918422796411704,0.06504266830762392,0.034621261045984446,0.03723248991022149,0.03370492502953133,0.031157141138461034,0.027157671443360076,0.024582461161123226,0.023985941980148397,0.04851745600864732,0.02677146013489224,0.041061821286106644,0.024102580962560703,0.06154172698199242,0.04375583992224857,0.022380996909412677,0.01466220132761236,0.07502212984103226,0.031247897180660723,0.042368808745805404,0.024403974273616857,0.02161144573463504,0.024845540833001643,0.05664812932700316,0.048539362266595,0.055656665954553625,0.07718586834265079,0.0297602189301156,0.041311255060531876,0.02457139134414598,0.04058780948369355,0.039664446652574924,0.023175786988808632,0.024329476167368237,0.022877808732726296,0.038500511574453805,0.02421652925753737,0.04830077942720669,0.041513018979679454,0.029239488016054523,0.03309820968141642,0.041141387180468635,0.025020607240791654,0.02471389740670405,0.028605743680544082,0.02797833964097983,0.027340325986553126,0.0221454483367309,0.06926884166444426,0.04622465686959706,0.04646256723686247,0.03667827912526319,0.022723004564742612,0.03416166723074287,0.02951445476131488,0.02101981257358645,0.04454165857977569,0.040061435296753524,0.03271835289718339,0.025594782510299494,0.054553077098471646,0.029009542845106824,0.022201532113709666,0.045420294119172484,0.033913317944193035,0.03002878518206109,0.03757611022911183,0.02364370430188998,0.03635380324035369,0.05925276861487458,0.05081767863526985,0.05138269478516851,0.02777605227925953,0.022639756363397722,0.03087387698515016,0.03627447316379902,0.011532225465417599,0.017267480505223722,0.04110539049290563,0.02963517487703395,0.029034583000355225,0.020181184364348667,0.02269876568597748,0.026145993855684512,0.02420450348036326,0.026487554125881777,0.025785332976270465,0.04261666895936648,0.0271090976909613,0.06096815993801662,0.02485611383906745,0.04300532398139138,0.0558210465561016,0.039327327170463985,0.022722034677403535
F-024C2U,0.061782928085110336,0.054641553188548714,0.0,0.05853540575963659,0.0655656040640181,0.058940217051951516,0.05232751145707352,0.05958190370874102,0.058660381595578744,0.04485348761838703,0.04614645933533335,0.06010813805437854,0.0963598615584315,0.05881972719984453,0.06038972862638425,0.06873852625005876,0.05449559029334288,0.05967848960625634,0.03819733527944343,0.053921367247376915,0.039454820393080264,0.044606515592467304,0.061113865754287705,0.05497106726692039,0.05364265813650428,0.05253865362722932,0.06004859971697255,0.08631192776771074,0.041987405109610604,0.05381820938287732,0.049891105297064545,0.043762700842144564,0.06327714913074069,0.05662852013860981,0.06382623162980727,0.06281006682047192,0.037428731675888706,0.039249693052797144,0.03947811658396879,0.05862476437386151,0.06140978057343112,0.06542476343720134,0.062409636254416964,0.09044286020617939,0.05284204129106594,0.05010768934599877,0.054256614612910564,0.06510995781617993,0.08087920996948654,0.03999209931610675,0.04002965205149701,0.06695981624251804,0.06455342693198818,0.0604474130896437,0.045857906377750036,0.06079371609367939,0.05107951798874279,0.0366184746130581,0.04214024593474379,0.058191868577053496,0.06282240730268682,0.03341601151932756,0.05942322834684033,0.05175823648615443,0.10520877987973173,0.044820319156161054,0.045117614190371816,0.06030475032685817,0.05892286247718061,0.06408595189795392,0.05646118984868628,0.04791168700429329,0.0604071762038092,0.0995509784110475,0.03566678379660532,0.04410713306260462,0.06308249762601373,0.07679658496223808,0.04028544221966352,0.0593916484646967,0.06217706617065768,0.058842251354839704,0.04357782086091001,0.042807673128427357,0.0850859503365222,0.06947731537454273,0.04725723338992816,0.0640725573901321,0.04004657223284157,0.0621276345963447,0.06169027299298791,0.04464485224925101,0.06207506622623859,0.06285083780204723,0.051452286390747795,0.06878391640941892,0.08106935241362659,0.06582952626606872,0.03660888510408827,0.05845801757056294,0.07656720868745553,0.04072133875442992,0.05733444061741134,0.04699973265176361,0.039348226374195425,0.0432452146969064,0.03795865887632282,0.05714931566768425,0.06306734385926631,0.058448557446281774,0.041932974155247396,0.07055463341650314,0.06374656160605813,0.06958829949383745,0.06071506390771119,0.037097198970689936,0.04667343000634182,0.03785646799092495,0.04517302385020963,0.04343809665013905,0.06150870265888943,0.044146636601780816,0.03840296703186507,0.05629423278120472,0.05531540982951657,0.04987260113287025,0.05867643375935942,0.0464548877807068,0.06215785575635611,0.05751217003363928,0.06839958685048511,0.050594821792772325,0.060274661522919055,0.06743099426164101,0.0370023437755005,0.05133231926856124,0.058122837901162384,0.06827678712194185,0.07385872543426478,0.05472374188058159,0.0752079528993498,0.05969966457415176
A15,0.021133892948530533,0.02307920179442767,0.05853540575963659,0.0,0.03172360546979878,0.014420382450470564,0.030653462855512167,0.025474042565891145,0.05264058695829528,0.05768162878255677,0.028285821609201855,0.018888075662293877,0.06542974303283403,0.018745196559856757,0.019651972879639375,0.028486407712918365,0.027750628748785942,0.02688189080830311,0.030873465782755422,0.05528857986103682,0.05352825398784797,0.028616058812661254,0.02508191045300174,0.05986274934785765,0.057342192030685586,0.0346562693009747,0.020864034339213675,0.04987085800820343,0.042712173749686916,0.021957898920615358,0.044043772307337234,0.04629822501914198,0.05700953318115128,0.017761704073036847,0.021194709084731183,0.03732033758345443,0.037240152325201524,0.04214911894765965,0.03779114179191872,0.02719952906505192,0.026425591012967205,0.023269179634260163,0.024958520915456864,0.05224337506214277,0.02858029473024,0.05593310348000063,0.03818686188281091,0.02696168473574984,0.06060714228535279,0.03890946700714675,0.0460585475493136,0.03161072943823162,0.02663489435263363,0.013486241314260138,0.02883173359187766,0.02159122571029518,0.05451510838134528,0.03271738128257195,0.04700994194397848,0.024921720806778742,0.06586426673692691,0.04819153733882575,0.015100856979719897,0.01923793679481196,0.07480672965244055,0.03675248940635041,0.04593846576007723,0.019747925558235676,0.019576132841594266,0.019375541394798895,0.06145686802651805,0.053756138786915104,0.06334351018994563,0.07143473236897792,0.035131533435860056,0.04518830358014213,0.018885207536248793,0.0367649135146822,0.042540531954698625,0.02232124720839301,0.019499790659521773,0.01801135829342889,0.04680178219349552,0.028599306397265118,0.03870036616920935,0.04332233509797201,0.03152404328837513,0.031757842789147755,0.04550851094773403,0.030118305009540193,0.021216552458766486,0.03209369064792727,0.024523181156618123,0.023328172653481954,0.029764196972153618,0.07251499888443722,0.039859869800745906,0.051626907754352636,0.041313827900155795,0.018095665825536705,0.035763253552192356,0.03257068846108432,0.015558405364571447,0.049519135503395525,0.04528727736933403,0.037017605806789845,0.030180694661366116,0.06231018702679622,0.015504563143673959,0.016120769352669213,0.051563332066192735,0.03186889708482573,0.02388797513294193,0.03734959137885533,0.02955279722880539,0.0398320629361715,0.06518205896428038,0.05699592810180434,0.058746866217517305,0.03579516209150114,0.01909817244466312,0.033891160089938685,0.04335066619923464,0.02230157793596679,0.020426423037250622,0.044909631473599526,0.03630009429843852,0.03201271804768303,0.029850339529094657,0.01722222211744469,0.023688788406981538,0.025190421574720307,0.0124475813374631,0.028130482110106197,0.04637444784452789,0.03340059366833132,0.06253391641530495,0.032397712010329004,0.03482318654080808,0.060748197349162404,0.04121007716386415,0.01717678058245182
A19,0.030405436777281327,0.03907413761691894,0.0655656040640181,0.03172360546979878,0.0,0.03427019829656564,0.03371513952707726,0.023936858318451517,0.06386751355747833,0.06581607373021582,0.034820297685275926,0.03264494002821143,0.07062171931524608,0.02873349614190749,0.030815214733887167,0.04156165282923206,0.030502840489070066,0.035317566160220665,0.04615067223703566,0.06609897811119629,0.05908984784174959,0.04437878725122333,0.03374104106313016,0.06616140327297274,0.06992687122101444,0.036554101861823146,0.035239766286751496,0.06411665512452683,0.050464954356706164,0.029441688211527876,0.05304046397270792,0.059551082955129835,0.05959297156835198,0.035147911553696704,0.03213375040667791,0.04993035930386503,0.04944623506949959,0.05414664478788721,0.048028607822005694,0.023867167343337877,0.025551878445144675,0.037181533117904675,0.027899004159410008,0.05833014714715162,0.03902276081985067,0.0588802028828919,0.05084800633823818,0.04248267204742704,0.05547825023217443,0.05252690830445505,0.056993923827672516,0.034087476861125066,0.03214571450443625,0.03078840119149527,0.04461221584611359,0.03538043697744325,0.0594834162955498,0.0421949010739569,0.05847208542350764,0.03524490026947985,0.07375724418166169,0.0562215323761479,0.03336976889019949,0.035050569386776934,0.08346665521788403,0.04669751966753743,0.059042541317865634,0.0259697188477564,0.034514137803104555,0.03181644947530059,0.07324470220744288,0.06029161993291956,0.07713325225896321,0.06780740869693043,0.044443866456199216,0.054385342371045566,0.03720129387390668,0.04133396419956854,0.04340197947675799,0.028051616287335004,0.03277971815017951,0.028603396335703298,0.052528904942818665,0.04014555099385609,0.05028134258972422,0.0440886778832209,0.04308696498413231,0.0266996874810301,0.050797010046505844,0.03968815576437011,0.02847643655475585,0.04161287556981071,0.02546538433843153,0.02761973036880593,0.04092481571658139,0.08134811590283186,0.0498532676541685,0.05326216190059939,0.056099471441630154,0.028438125456743863,0.04830477787303764,0.04482029446169865,0.034581006156175945,0.06504060002242185,0.054171722254672365,0.03687183323160265,0.0409737890312021,0.07290934070853793,0.03148245503059982,0.031476201532320454,0.051959066490270954,0.04130424649196285,0.03571172770125731,0.024312022639354825,0.04605766597432891,0.052431925777415615,0.0618305499456091,0.06058576380688741,0.06401574884831526,0.042402040263736285,0.0283132891064163,0.04450461434928049,0.05534438901358408,0.03697246271258873,0.03890089706415059,0.04372942814532237,0.05160701391326601,0.04258930565273213,0.046778081512376446,0.019569511872558877,0.03853266020013838,0.03775071205117076,0.031525332063838854,0.047697480439913266,0.04785309724183965,0.04323637099853429,0.07243016200005359,0.034590539395970475,0.03015897274064763,0.06843842424424941,0.04581888535029635,0.027308932097879553
N18,0.01625880750967128,0.02127338474920299,0.058940217051951516,0.014420382450470564,0.03427019829656564,0.0,0.03005611515221235,0.02254927658490722,0.050994385479076886,0.0576334775077729,0.026224459035646554,0.01546218742556495,0.06442352100437741,0.011859415009343262,0.008814424061940785,0.02469518541471521,0.0272319420755508,0.025014750129593224,0.026552107670755994,0.05262487531025069,0.05190619129944912,0.022870607583346678,0.022538107619938023,0.0544550471486413,0.05482838437041801,0.035986102308049224,0.01753593907065098,0.054445346625451946,0.03829662701604226,0.018492207296587217,0.039796104125846776,0.043335713666920066,0.05860072571043501,0.011540133782150698,0.009522598574003106,0.03772080442286748,0.034039218107855554,0.03959976089510861,0.035514038960248025,0.02404558808489961,0.027166456846749405,0.01999468860023153,0.01666215387270645,0.05327393651110793,0.025529822971932424,0.05301142395056093,0.03405647009635379,0.027252829502632112,0.060408967154133075,0.03369411487151746,0.04377802768256633,0.02232646425576587,0.017551850426842937,0.01989996185479022,0.026434642577241003,0.018627691474106024,0.049937135025864,0.03253549153212635,0.043712956931459206,0.02159843934413249,0.06554871299975229,0.04609150555119974,0.004845757157924312,0.019452522855216516,0.07309359294672439,0.03268797995189078,0.042593081826243745,0.012823923100146656,0.008238070207829516,0.016024408373343672,0.06028768744058811,0.049101110702227134,0.062336138965332764,0.06917340795541967,0.03426308350724527,0.04232348200984193,0.013842612175700458,0.0329136169235031,0.042233664400818535,0.015574521962295898,0.008193076148814355,0.007780033994453696,0.04311764094627315,0.024704779274369763,0.04794580941872434,0.0465203324014107,0.02984932386240094,0.0279353611789868,0.04423706349149524,0.027122505309998702,0.010474741473525905,0.027002732938678473,0.022344659757217635,0.020928803279090094,0.02756947678497373,0.072522928109179,0.03512058364457816,0.0526422403876264,0.03741105861125429,0.00946079033872695,0.031216348387867524,0.026427723929278335,0.005138051095799646,0.04728780872050515,0.03937966196628375,0.034560857795733105,0.02827210785940108,0.05996411246070219,0.023860253819623596,0.006954015686861116,0.051372092518973414,0.02087872970734671,0.02287664615808048,0.027107088647599094,0.025320892086900228,0.03592350025854559,0.06649270829076032,0.058321035935005,0.05691202279088352,0.03495340319147389,0.013985948430257912,0.03001520750981837,0.03889987210682655,0.02175104029647985,0.022725222396961724,0.04647392494677208,0.03298940587215167,0.024775908260235603,0.027833681770617357,0.016810364749384556,0.020369440641027307,0.025943394927370435,0.02056709834588124,0.024712558135620934,0.04610830606536676,0.027927624188858156,0.06237201030728105,0.02712817661501211,0.041717849700348655,0.05698510875068258,0.03488795620773946,0.012437633240524378
F-048-C1A,0.02644905558105408,0.022515944650850005,0.05232751145707352,0.030653462855512167,0.03371513952707726,0.03005611515221235,0.0,0.024327782926537502,0.048484743434073684,0.054208906209382464,0.02513667466754389,0.028872426749017327,0.062147917161968845,0.0267110085017184,0.02917982308595176,0.03688159708377362,0.014399162731884263,0.015794329188586444,0.032803530395058025,0.05364915585603442,0.049049156978253905,0.028962655477138718,0.02301672335051739,0.059163612348039074,0.0560029420951714,0.022575925675152556,0.020192314781370395,0.056503239424571854,0.04405541742095685,0.02989075003634,0.04762503286268965,0.048648497143858105,0.05400237929162349,0.024949086285095394,0.033263560404676325,0.039891874622371495,0.03370707606362245,0.04576364978212085,0.03461805962117614,0.027965853705318833,0.026731184630967374,0.03851331199298119,0.02784648829941208,0.057369535014324215,0.0198710825111452,0.045512973953616385,0.03656880544965457,0.03391944559078307,0.060154443587831626,0.04071841830821591,0.047256449194766556,0.04210845101011996,0.03698296191383464,0.03138768871961608,0.028444854174111946,0.029073147558111943,0.048090591413637564,0.023715615490606433,0.048652816945189276,0.029213102156933398,0.062486777973086875,0.049117049879764146,0.028833875154367427,0.02269068858639377,0.08867391398482866,0.03810964310172349,0.049357326416936305,0.02836292683736643,0.029496333348470575,0.032464377075404435,0.05986327737791978,0.047470837816758274,0.05834834775329943,0.06914986954273061,0.02886912604239805,0.0497865456353711,0.0312229386560876,0.045151995093547295,0.033349811255416,0.024688410612912184,0.03162407697261083,0.0271417648053011,0.043514534873288185,0.02835511898142589,0.05388456510010532,0.032207271492219414,0.033369338230507035,0.03265033618504545,0.04039071520879455,0.027100829059804207,0.0281345386980834,0.028102628346912246,0.026438719990671773,0.03349510253732752,0.023380262602034418,0.07171958728567128,0.05177129705079239,0.04679899658129165,0.042089651640100825,0.025958766204136653,0.04604659490736634,0.03183974033276175,0.028125943353325186,0.05202464735006483,0.0401287258062932,0.030314350205721274,0.028496057726678185,0.06487982712280406,0.034813608693165896,0.026958180826865734,0.04068160680418,0.040858007605695267,0.034910000700864106,0.04604962670541183,0.029592904928741694,0.04097824723099958,0.05510306865312692,0.05065757608147157,0.05353386338245051,0.033333189778444454,0.030661042248238738,0.03288915174944542,0.041995631350953584,0.021147111834960777,0.025145862959283904,0.03438079604762284,0.03527328753991961,0.032810505349634984,0.03562431431928124,0.027051291660017355,0.028273560122584872,0.02573234853517463,0.03268910994618775,0.03711194528199251,0.03671307143944411,0.03509649183999826,0.06443424089123846,0.031930756660815254,0.04955404788575124,0.05716267393987821,0.05120113045695951,0.02533341247089528
N09,0.023730214421245302,0.029604064231770595,0.05958190370874102,0.025474042565891145,0.023936858318451517,0.02254927658490722,0.024327782926537502,0.0,0.06106166767839963,0.061535339417790366,0.029410221366943077,0.023106188671490765,0.06539389048408432,0.018888185575607792,0.020976891809533074,0.035851918495904384,0.023348478337599645,0.024745422252246164,0.035685193360982956,0.05385809397190552,0.053853450012754,0.03255199629747914,0.023444656066890186,0.054144483296598,0.05883746428798652,0.02770486476537769,0.026189331703828624,0.05950462182804099,0.04438549021138671,0.02466768324828212,0.04743342592414178,0.04904144898175753,0.055363287720936336,0.022754885889447903,0.019750175639406627,0.045531268002573067,0.04338753177298614,0.04261541936122746,0.03708459339754994,0.009976132694506137,0.006316907633472517,0.03139375631297987,0.012611784229429225,0.055443583238486506,0.03407510959596511,0.048249800551273585,0.04363275444332833,0.03756892063281859,0.04822568897624318,0.045717620794652816,0.049906242961846786,0.027146082965406465,0.0211660733067977,0.02850171567342037,0.0365447312467107,0.028456128730335102,0.0501238145215123,0.03279121972146446,0.04679627313973189,0.028047601857255623,0.06286099532559303,0.052215218288876264,0.020843400853531212,0.024917792916848452,0.07535693080580644,0.039320377700869484,0.05179460413459163,0.01452962153251075,0.021881837351793377,0.020072117155558147,0.06141675837602848,0.05230035575271908,0.06733702498768547,0.06091854971839606,0.033886838897803945,0.050223118486734636,0.025564510649250097,0.032406551804637584,0.03360165133871336,0.014681687323280436,0.020279341380747867,0.016619359185367853,0.041648413485377,0.031076941553281105,0.051437311287354466,0.034271545417627995,0.0336932468478017,0.025392213050003526,0.042649397305341605,0.030407637418445918,0.01419425665863441,0.032685675382279344,0.008611198969048734,0.027490382986273553,0.03632900659726962,0.07410548334084759,0.039134058452118495,0.047234916079751374,0.046626348183320725,0.017637272256442075,0.0368372461767564,0.03508405893149499,0.022712032283515787,0.0541986124845801,0.04574428907166792,0.02917556345637998,0.033684838434695503,0.06513253183472215,0.029927944567127166,0.019917926688329646,0.042263687218368054,0.032401562893324284,0.028778322787474348,0.03475443392148264,0.036007041841798176,0.044369114709177905,0.053106001563870305,0.052780930831968574,0.05679440135020788,0.034990378864256384,0.018830200678018036,0.03673505757091161,0.04386068257771032,0.02778232728116032,0.03158909491253835,0.03207923178383751,0.0421665764542457,0.03421359641757678,0.036842135055882054,0.015835237506578802,0.028757212060656623,0.033458513343335446,0.028846081948438098,0.03519303581397649,0.0362568580543564,0.03482386817432701,0.06655700515797827,0.02600580155874131,0.04275210237397809,0.061663143156293204,0.03901419947356819,0.015559509866809103
F-050-C2U,0.052182830838810465,0.04612290543586888,0.058660381595578744,0.05264058695829528,0.06386751355747833,0.050994385479076886,0.048484743434073684,0.06106166767839963,0.0,0.06298564252121686,0.044448192587941755,0.054777212200964875,0.08751507303966945,0.05270096333103084,0.05270644803793689,0.060004166313748414,0.04924214139668216,0.05039671007795271,0.04342493961376453,0.06904980125944128,0.06090797889789959,0.042013385187052485,0.05399738872970969,0.07163041764031801,0.06879711997246794,0.05227950261762812,0.04816853428204687,0.08274062528636325,0.05072218590631565,0.05066935775293714,0.04721305601240531,0.061731467419097484,0.07265637960611711,0.04916628932883541,0.054435757024166656,0.048397149117030414,0.04320114384622985,0.056511573675976756,0.05305187088102446,0.059618209363100826,0.0645550596671648,0.05852313314169565,0.05515402474978988,0.08406493951154709,0.04328534961589186,0.06665573436536659,0.04793151516847606,0.05627483046457546,0.08157194839557831,0.043987887329547566,0.05672490848377738,0.0566877268077051,0.05467181954578499,0.0556561697417492,0.037924605796376264,0.052311440019373615,0.06285316549795669,0.04201432963752571,0.05782318739765818,0.04971646149565393,0.08061407956874568,0.04049784233254923,0.05080910150255005,0.0432068879171455,0.10238729277641062,0.04395498567873354,0.05789889483912254,0.05496443105278242,0.051424462759970924,0.055384502187866454,0.07581743217719257,0.06510859873179517,0.0699228042489122,0.09723191022772879,0.04640321669564005,0.05355070756199503,0.05375468556487486,0.06714472078247882,0.052841620250089726,0.0536295710368404,0.05208119271387097,0.05174134184024058,0.059716187403229544,0.03671636227807177,0.0783739540114175,0.06551289297477887,0.04589008713946695,0.06320415953545902,0.05079353690401561,0.05315649472249202,0.053801061561878034,0.04347480391066817,0.05950081873267977,0.05530871749730497,0.04249249316273274,0.08471956822540776,0.06938745675581826,0.07044134759128082,0.05031563612431672,0.051464117183521556,0.06712368344529243,0.04477129788519894,0.049917091751168215,0.06371972727458612,0.053696067164835305,0.050307000779215925,0.042488470621161484,0.07320774147040822,0.059575609296094234,0.05041321499127281,0.06261533429891983,0.05908930827248392,0.05960153239139066,0.058748940989505144,0.049478296418420685,0.05246420124757811,0.06901519959320454,0.06831860816968328,0.06793154648864044,0.04448431930252838,0.0517794040530762,0.044391064913377715,0.05480822435837337,0.04498111420585156,0.04538079421448544,0.05812595311972019,0.048223190096412044,0.04159233185410835,0.05689073093669801,0.05388914382174076,0.055841662648306825,0.04669941529300497,0.05787076793009667,0.06214128484454608,0.060233122322855596,0.04426682539612771,0.07667329645865031,0.06290754980002093,0.07360158967849971,0.0687700399726989,0.0712060256516017,0.05279259624416429
F-003C1A,0.058308179537906735,0.0556578322621103,0.04485348761838703,0.05768162878255677,0.06581607373021582,0.0576334775077729,0.054208906209382464,0.061535339417790366,0.06298564252121686,0.0,0.046429973571646715,0.05691942345639775,0.09352706975069862,0.05440910573921154,0.05636849265353223,0.06471165264428094,0.048105186459175615,0.05914356999625819,0.03719638554633162,0.025717792450117998,0.019773493622370544,0.03998336359492293,0.05735218312834967,0.04106107397667167,0.0291107090351724,0.056904566176845695,0.05708364926714872,0.08971525413070276,0.04078887457510153,0.05858148052501984,0.05166232701637738,0.030673842139850926,0.08796595805912925,0.05290577864342955,0.060092847536984274,0.06837507537415649,0.03731748125255354,0.03759840917083864,0.038184589874184834,0.06292039906817173,0.06382901870800801,0.06603431009261898,0.05850338498851372,0.09059158857438084,0.05232203026559336,0.019264257399377153,0.053325379040269995,0.06465730020544243,0.08835013695570808,0.0336661116377874,0.030452491882751693,0.06602367919965908,0.06078938814202334,0.05842999970026007,0.03987474987052174,0.05685586446797528,0.021334215794846484,0.044860387500930035,0.02629253965722028,0.05738573354936539,0.03782647186818718,0.03321646795809343,0.05519154339828952,0.05223850916115208,0.10836628509287315,0.04197817661473096,0.027611281924238548,0.056448958574481144,0.0564012025387127,0.06063128457852987,0.03155511177869337,0.02235715976284472,0.04762415969403661,0.1003705938038153,0.03202238203308508,0.04506098124652798,0.05758141592809431,0.07375375753563936,0.04256515632642608,0.05495171727738701,0.05677070743327769,0.05442046954052345,0.029653640576393834,0.039535375377568044,0.08661859382458413,0.07414829626557555,0.04514902203413258,0.06343254945908168,0.028132725080121188,0.05932072753609866,0.05823125886198677,0.040290242640375395,0.06291134773400313,0.06004792452159258,0.053707721222023316,0.04340375195049504,0.07254291425424436,0.07616020873537482,0.022203134823451626,0.05388405814549097,0.07086772844680866,0.03647043863597354,0.054869239928138906,0.023895455216873772,0.02827412277800524,0.043001338248767805,0.034891971702402526,0.030741938699222197,0.06517638417761264,0.05500148946700977,0.023810035991069938,0.06401603580203384,0.06001263369285521,0.06906406628782423,0.056325819264107256,0.03049074539192354,0.03480174670841433,0.036134359881828525,0.02475550592817935,0.04662746333568483,0.05773113140685899,0.041210574562217175,0.02663134141201023,0.052024819052702224,0.0533382312553349,0.049758055054793755,0.05538900723926184,0.040341212842368045,0.06496017811859665,0.05638537501740846,0.06686801349351715,0.0576857879389943,0.06251145154276862,0.06729731671887743,0.027283620253837938,0.049997281744139754,0.027799075817365907,0.06462041424819648,0.07487013011309428,0.020200943562861493,0.0725809991553407,0.054967745896852105
