,shannon,Dataset
F-058-C2U,4.892506528722866,asd_son
F-007C1A,4.901926227437903,asd_son
F-024C2U,4.889794907251607,asd_son
A15,4.893718963632153,autism_kb
A19,4.886970091872855,autism_kb
N18,4.893704901072361,autism_kb
F-048-C1A,4.901451876664957,asd_son
N09,4.890403664639931,autism_kb
F-050-C2U,4.896082930936876,asd_son
F-003C1A,4.870752258912666,asd_son
F-053-C1U,4.905283123360109,asd_son
A18,4.892575301351703,autism_kb
F-062-C2U,4.81472469348286,asd_son
N02,4.893543950298522,autism_kb
A06,4.893744924784531,autism_kb
F-042-C1A,4.8790471570550915,asd_son
F-021C2U,4.901270198433373,asd_son
F-041-C2U,4.899544958264293,asd_son
F-009C1A,4.903741665932039,asd_son
F-023C1A,4.8680429116522115,asd_son
F-052-C1U,4.879286484089616,asd_son
F-010C1A,4.905523180144738,asd_son
F-023C2U,4.878823515061225,asd_son
F-029C1A,4.882917180819094,asd_son
F-017C2U,4.858017295563978,asd_son
F-061-C2U,4.900264384768729,asd_son
F-058-C1A,4.89951925052632,asd_son
F-012C1A,4.860928793060798,asd_son
F-022C1A,4.899822074093293,asd_son
F-047-C1A,4.889598248723347,asd_son
F-014C1A,4.899378187801996,asd_son
F-018C1A,4.885555958850585,asd_son
F-007C2U,4.841697968061091,asd_son
N13,4.899902396348869,autism_kb
N05,4.892093543325797,autism_kb
F-016C2U,4.894871270442932,asd_son
F-033C1A,4.902988278374016,asd_son
F-028C2U,4.896031893927122,asd_son
F-004C2U,4.899879135701593,asd_son
A09,4.89067236616708,autism_kb
N15,4.889015165867296,autism_kb
F-006C1A,4.8796640200400585,asd_son
N10,4.8920844396775935,autism_kb
A10,4.86756198804544,autism_kb
F-060-C1A,4.902312711474971,asd_son
F-027C1A,4.870532212379638,asd_son
F-051-C1A,4.901399718618224,asd_son
F-044-C2U,4.892510861745945,asd_son
F-001C1A,4.857280613426833,asd_son
F-020C1A,4.901556561327575,asd_son
F064-C1A,4.887385645716326,asd_son
N17,4.889832688838663,autism_kb
A04,4.891680270097672,autism_kb
A11,4.891616631445863,autism_kb
F063-C1U,4.905907280296359,asd_son
F-050-C1A,4.897355218001065,asd_son
F-014C2U,4.873503853406914,asd_son
F-019C2U,4.903753905552394,asd_son
F-044-C1A,4.885495777209418,asd_son
F-046-C1A,4.896195587949313,asd_son
F-017C1A,4.839764013094395,asd_son
F-030C2U,4.892910880292958,asd_son
A13,4.8954661228148355,autism_kb
F-037-C1A,4.898482709872693,asd_son
F-002C1A,4.816356571635669,asd_son
F-022C2U,4.904491175325117,asd_son
F-059-C1A,4.883221896599882,asd_son
N06,4.892946866295976,autism_kb
N12,4.898406105059302,autism_kb
F066-C1A,4.8911637619743855,asd_son
F-018C2U,4.84572656348041,asd_son
F-045-C1A,4.873004748042065,asd_son
F-055-C1U,4.877279897060991,asd_son
F-020C2U,4.830549454929034,asd_son
F-051-C2U,4.902884936322044,asd_son
F-030C1A,4.898654199242155,asd_son
F-009C2U,4.884635927165312,asd_son
F-015C1A,4.86531536650198,asd_son
F-025C2U,4.900534739993447,asd_son
A14,4.89329289823702,autism_kb
A16,4.893641314823396,autism_kb
A03,4.893905439647035,autism_kb
F-029C2U,4.889206960832454,asd_son
F-041-C1A,4.906147347178987,asd_son
A05,4.87198230277223,autism_kb
F-024C1A,4.88027677157562,asd_son
F-026C1A,4.905557053148164,asd_son
A01,4.890089306182104,autism_kb
F-035-C1A,4.897455828727631,asd_son
F-008C2U,4.89751429473353,asd_son
N08,4.893164694160515,autism_kb
F-037-C2U,4.905573546448832,asd_son
N01,4.891217790694206,autism_kb
N19,4.891364670012159,autism_kb
F-042-C2U,4.903478584863831,asd_son
F-011C1A,4.821398600121304,asd_son
F-016C1A,4.851436560943485,asd_son
F-034C1A,4.883400222830158,asd_son
F-036-C1A,4.889277228591153,asd_son
A07,4.894932973672959,autism_kb
F-049-C1U,4.881908110086273,asd_son
F-054-C2U,4.903787559526829,asd_son
N03,4.896752786210159,autism_kb
F-028C1A,4.875413643956813,asd_son
F-005C1A,4.8922206027169866,asd_son
F-054-C1A,4.9035791885438105,asd_son
F-015C2U,4.904874886048962,asd_son
F-004C1A,4.868320058701536,asd_son
N14,4.889404312582832,autism_kb
A08,4.894438444393415,autism_kb
F-021C1A,4.889428248885864,asd_son
N07,4.889644598552776,autism_kb
N11,4.890193127216119,autism_kb
A17,4.88662605898441,autism_kb
F-039-C2U,4.898885466524237,asd_son
F-057-C1A,4.894505236686738,asd_son
F-001C2U,4.877514695071779,asd_son
F066-C2U,4.88349170517474,asd_son
F-046-C2U,4.866615245927475,asd_son
F-056-C1A,4.904162321361323,asd_son
N04,4.89249462194533,autism_kb
F-043-C1A,4.904561049930337,asd_son
F-038-C1A,4.890487987795338,asd_son
F-057-C2U,4.902059173755017,asd_son
F-061-C1A,4.902394927593953,asd_son
F-003C2U,4.89698069714635,asd_son
F-039-C1A,4.898541345851903,asd_son
F-025C1A,4.905845216936608,asd_son
F-019C1A,4.896355562658271,asd_son
N20,4.893043994506318,autism_kb
F-008C1A,4.876930296848799,asd_son
F-013C1U,4.897214426120935,asd_son
A02,4.890468562563969,autism_kb
F-040-C1A,4.889723446040706,asd_son
F-027C2U,4.890350188612282,asd_son
F065-C1A,4.905374778197877,asd_son
F-032C1A,4.866969975899039,asd_son
F-062-C1A,4.8749659440547966,asd_son
A12,4.880898609985934,autism_kb
F-031C1U,4.858849394953979,asd_son
F-002C2U,4.877220612962934,asd_son
N16,4.894985609244989,autism_kb
