,A16,A18,F-057-C2U,F-018C1A,N14,F-023C2U,F-048-C1A,N08,F-058-C1A,F-037-C2U,F-036-C1A,F-050-C1A,N01,F-051-C2U,F-033C1A,A14,F-025C1A,F064-C1A,F-037-C1A,F-053-C1U,N05,F-027C2U,N17,F-042-C1A,F-031C1U,N04,F-039-C2U,F-030C2U,F-026C1A,F-038-C1A,F-030C1A,A15,F-062-C2U,N13,F-060-C1A,A06,F-005C1A,F063-C1U,A04,F-019C2U,N18,N02,F-021C1A,F-028C1A,F-003C2U,F-009C1A,F-027C1A,N10,F-035-C1A,F066-C2U,F-054-C1A,F-002C1A,F-042-C2U,F-021C2U,F-019C1A,F-043-C1A,F-029C1A,F-008C2U,F-024C1A,F-050-C2U,F-013C1U,A02,F-024C2U,F-022C1A,A07,F066-C1A,N09,N06,F-008C1A,N03,F-015C2U,N12,F-010C1A,F-044-C2U,F-017C2U,F-057-C1A,F-061-C2U,F-016C2U,F-058-C2U,F-047-C1A,F-012C1A,N20,F-006C1A,A10,F-029C2U,F-017C1A,F-022C2U,A08,F-034C1A,F-003C1A,F065-C1A,A13,A17,F-061-C1A,F-032C1A,F-039-C1A,F-045-C1A,F-011C1A,F-051-C1A,A01,A09,F-041-C2U,F-020C1A,F-002C2U,F-062-C1A,N16,A12,F-055-C1U,F-052-C1U,F-009C2U,F-004C1A,F-007C1A,F-056-C1A,F-004C2U,F-015C1A,F-007C2U,F-040-C1A,A03,F-016C1A,F-023C1A,A05,F-059-C1A,F-014C1A,N19,F-054-C2U,F-046-C1A,F-044-C1A,N11,F-028C2U,N07,F-020C2U,F-041-C1A,N15,A11,F-049-C1U,F-014C2U,F-025C2U,F-046-C2U,F-018C2U,A19,F-001C1A,F-001C2U
A16,0.0,0.03422874475007817,0.029453146493628162,0.0651733751137388,0.0444061254514215,0.0460928919233127,0.04121833209807335,0.015108651793641287,0.02998785308963532,0.04320111045544097,0.06492273613294164,0.044348565054767676,0.022814537194128886,0.052395826629075035,0.055592524652579745,0.018383965402775565,0.03349078410238766,0.06479238588118327,0.04489503856251171,0.03624521613211012,0.010924403642660292,0.06545943265495485,0.02318471371175312,0.043419055794418335,0.09068047424109785,0.014937990600863682,0.041808222470010134,0.06739007368317852,0.04030820586562587,0.06497395715794801,0.04467921970222851,0.04268678962111086,0.09922424321373362,0.04439238225675589,0.035890592161058256,0.013666963216508916,0.06392708529241087,0.035749597645226866,0.01704430848615031,0.057730848161516905,0.04253794737149424,0.03884850541151016,0.06476669744574491,0.0755996828829174,0.057405228198199036,0.04582604029589433,0.08005922989978136,0.016430561644682255,0.060298534956118977,0.07818113816591914,0.04724042555363065,0.09411933417825025,0.0353497934961966,0.04106651824711379,0.0548765310038151,0.04339577878853978,0.07128969743940632,0.038784690233420016,0.06700287094805242,0.06647496117095486,0.05532022278556254,0.04607130738906797,0.08068764219176232,0.05444850298405145,0.011147907308722945,0.036259686714283555,0.022938243969459017,0.015338600218936915,0.048659485416802366,0.03708744966279988,0.04304028309256631,0.036244961463445254,0.038749836584233914,0.05563785415874784,0.08972878235301036,0.0569537906591956,0.04549744312572538,0.06520683178385579,0.04464270150992525,0.036998395055313486,0.07352846814116261,0.04154426517264767,0.03709442501451586,0.06608156953495412,0.05360770297853778,0.1045501980063373,0.04385873184201932,0.012200368781784945,0.06652770028205118,0.09523808387393143,0.030593967961196674,0.03881858367068036,0.04748227447858876,0.03349801288263584,0.08968162013750919,0.050505207796714136,0.07912149256305291,0.11125056351364539,0.04880536555643446,0.04734899122006412,0.030854773342205384,0.04388088630510447,0.05238327453198713,0.058106464733961555,0.04345366610565785,0.016105553751497356,0.05892491433294686,0.09690081172992311,0.07892966979787304,0.03309662741012727,0.08866874793481082,0.03297006829972325,0.0444640630915226,0.05482420128616723,0.04302423676973036,0.0853298148018603,0.055080193306407156,0.010373340147218052,0.04314797605898741,0.072567422162832,0.058255541902812395,0.0686095359363904,0.0565266264653535,0.03967288120392925,0.039059398299935925,0.047414246317062446,0.06408492664049278,0.03799848072746727,0.047260362259333985,0.024160520416271272,0.08243496810389407,0.03540149195305835,0.027879382018101955,0.040694822170774594,0.05541976194766002,0.07933635296691025,0.05963167781640174,0.08421158520485282,0.09237841071259759,0.03886728920803786,0.07420066706847275,0.08478599403188199
A18,0.03422874475007817,0.0,0.029244969044983846,0.06716507336689408,0.042662085845164816,0.04360706624715683,0.0362428743468839,0.037112733899846914,0.03466961547035012,0.03755809690953239,0.05606869667376257,0.04183684196607907,0.0475679948389424,0.04222157486590697,0.04826531776567204,0.03638548616675171,0.035982488814427845,0.060455482388500334,0.030781409677226455,0.035629375608579254,0.03688155118087304,0.06123311954893211,0.04960389273321597,0.04648524036831761,0.0897297744437305,0.03861448580386908,0.0384286243356346,0.061962493443203696,0.041107700687488986,0.05753961785267002,0.06240224299080721,0.03921985066890835,0.09876196593356149,0.03336344289785266,0.03674734700374087,0.034684469974801374,0.06277034065073431,0.031277031575807954,0.04257619231699345,0.03902407471959792,0.039382416296598576,0.02120001950764912,0.06665184702629207,0.07425688252371096,0.05740416691750495,0.03604388582084816,0.07900756633547121,0.04190171801506495,0.05624727607907371,0.07376997547675863,0.04922192881724566,0.11375729458755038,0.03295578594339079,0.03847793749528272,0.04699948610001928,0.04471007603804413,0.07694113964160494,0.040293720683768665,0.0656915088985807,0.05790099059043524,0.03622667724301721,0.038086741394860464,0.07100560506520386,0.051661888568857034,0.031046797041475095,0.0331752603320846,0.04235178498108309,0.03829525431137249,0.04589045008736646,0.032286510336937524,0.034461551968466696,0.03821344248981876,0.03621315115341032,0.042831883430767215,0.08574273993858064,0.05408171086449647,0.04768070239537797,0.04970785296255307,0.04200572184723842,0.03223722582041114,0.06824441234370786,0.04166875963809801,0.038923842177977605,0.041078779537014616,0.06150391065079985,0.10120944568466245,0.0424355306487548,0.028867060124055873,0.05372297182131413,0.083881236387769,0.03727443783806442,0.03323278588964175,0.03524375128649551,0.03593880659948629,0.08108233870455997,0.05176555575763681,0.07728127081374725,0.11320960825126221,0.04994238120878089,0.021991805828945398,0.04918233960557046,0.040361331843093234,0.05343250011631149,0.06136463685899859,0.05271651733926531,0.03611062153782977,0.06217601848871785,0.0946477284648305,0.07292730032997591,0.031249827290453853,0.09183168860497108,0.02844265847450726,0.04364393961673274,0.05255009030871464,0.06178102185206631,0.07172846412656322,0.0522185985636737,0.032605718911228286,0.06267334534898183,0.07996813793117567,0.057963874013158376,0.06890742163687687,0.05308280486075879,0.017512667929711706,0.039057252411205626,0.03857828377083754,0.061601031436918835,0.018376617901827045,0.05884316264262577,0.04334727603056374,0.10311559810934971,0.027718626096572555,0.048622724861285695,0.0381833688000002,0.05270715450392464,0.07835797807632142,0.05475708162673917,0.07722375182604192,0.08960413465107751,0.05976855161143992,0.09686329619599798,0.08498595721300285
F-057-C2U,0.029453146493628162,0.029244969044983846,0.0,0.05953712419491796,0.04492644421387331,0.04273929450514176,0.03437753906227734,0.032854818715221834,0.02377509798053613,0.03626301189104713,0.056914353294121325,0.036408739592838205,0.040588546625888476,0.04275562222709186,0.047506840618325684,0.0330257697819658,0.03644108175246722,0.05953072594685992,0.03442185768951425,0.04220803593448689,0.03265135419129225,0.059707829383922426,0.04367019487676735,0.035726786437726636,0.08668413093673276,0.03502192782970152,0.034307693639121076,0.06362387460246054,0.041562257024338835,0.057387778217379865,0.060690772839592934,0.04130668497876253,0.09334810433095729,0.0429051470320492,0.03269842031953761,0.029107656157957167,0.057277466731802944,0.027616574325608916,0.03579832484368433,0.04306364295566232,0.040541247147591664,0.033804086716783324,0.06336846158903774,0.07100445702329314,0.05260161751141917,0.038533134842628165,0.07381066556037197,0.0366285244576321,0.05283975190901507,0.07678862118484864,0.04569268010713318,0.10378369857109788,0.02971456257093377,0.03279644832527398,0.04648478542445393,0.03857827615485961,0.0709410095068969,0.03924230939247029,0.06080621944209096,0.0598775407760953,0.047508692091655924,0.044787655400192194,0.07167891878220521,0.04775331247709591,0.02811011407618873,0.032620017059204684,0.037373943595417916,0.03362066613260295,0.03767324335384766,0.03416914377691588,0.03410359526811018,0.04086528105874328,0.03277151512591102,0.05138416258557627,0.0841728150262534,0.049196598827257756,0.04644471884352573,0.05636737627404489,0.037422165169866926,0.04133744488074656,0.07603104880747776,0.041520593952380606,0.0316684975323089,0.06483918281160063,0.05805701236200888,0.09440916568123556,0.04227117334456155,0.028612309423014372,0.06224553530277306,0.08531930369901078,0.03266601468850264,0.034167144625203566,0.04758367860351333,0.03415673094573169,0.08616857236533408,0.04946417392717244,0.07323283529691882,0.10855388146418771,0.04598641950167475,0.040828587236529865,0.0441643039945449,0.036095973875953265,0.046662014810656335,0.05047305552677665,0.04240032256389928,0.02982172360612833,0.06003219087718148,0.09114245174941837,0.07269845800944635,0.02597151174800343,0.0847960626240201,0.02301213904750725,0.04350545323863199,0.045420469784719315,0.05745465414198771,0.07814029747213029,0.04332272999033082,0.026234087033120558,0.056691531108751525,0.07702223353714453,0.057580540176129215,0.059967356651365135,0.05235221876247753,0.03434332719682665,0.03818640986963584,0.04831883145511917,0.06611424830197177,0.038404023764122754,0.055134691084102405,0.04145836095337175,0.09669317719235612,0.02709521151778429,0.04239527120189303,0.04306577683519541,0.04626507976645936,0.07545755876892948,0.054120388241409315,0.08051914576073077,0.08890702772806741,0.054523800805396504,0.09287804879769711,0.08645377995200353
F-018C1A,0.0651733751137388,0.06716507336689408,0.05953712419491796,0.0,0.07224184001994807,0.08485867481672325,0.07249937624671736,0.06869897682160887,0.05381957855260528,0.05466514252522691,0.030961767760255422,0.06098938435067083,0.07682342150214606,0.053215182043829065,0.05196400133902255,0.0728420294216402,0.05564533092532504,0.01841053404075352,0.06428809717887829,0.07079932733912685,0.07119455416834136,0.03250803052120321,0.08039671325941918,0.07537509692240377,0.04826492589759986,0.0725562486633859,0.06639667197161432,0.0438077003260383,0.06294421320302092,0.028510582949225805,0.04889741039199791,0.06844849616461642,0.12474953548378823,0.04527783221807737,0.06735143671582525,0.06572642753309743,0.034040494053809385,0.060101283279399516,0.07532912883637422,0.07120919423254209,0.06913887484888982,0.07259419419015442,0.038875706937985754,0.02633023190556533,0.06664098358150451,0.04513232630918302,0.0356875555048172,0.07401963132383943,0.050439516912364084,0.04269983307607043,0.05197463021923511,0.1368958094523116,0.05845203752815624,0.06875928461758785,0.06587198136923539,0.055765707085573095,0.02742499839525596,0.06891802928696086,0.09673818835470654,0.09612585707154282,0.07318639672813505,0.07428195886764302,0.0647425644535762,0.042605170643491896,0.06441921686326416,0.06415731959788959,0.07679055493559583,0.07098655553217927,0.07077359964540264,0.04345948895704918,0.04948424975171935,0.04343462010503856,0.0448773932595911,0.0760451543541632,0.039192532661987474,0.030227162345636504,0.0711728062538136,0.07508107087909321,0.06428158836613616,0.07903771154346319,0.09192492721916658,0.07272445208861512,0.06504006800253466,0.09871520816441723,0.022297113849571663,0.04910113001976976,0.05653651378922243,0.06326413828554514,0.09632625124654318,0.056222816688587536,0.061899894184732455,0.04625220642409817,0.08358009028532815,0.06701496725538458,0.043298475943126226,0.05785950132407502,0.03145133855329442,0.06368838196829574,0.0504888775028624,0.08102218932956269,0.08241388279128405,0.06652845709332902,0.05190330342383421,0.09081372350047728,0.07271103720243949,0.06702232115945495,0.09200668121929446,0.04918943083460242,0.039169181123969755,0.06286910243243307,0.0399064841788901,0.05915281563978264,0.06229936708032727,0.035900575415535284,0.0858194077781339,0.11011258678970769,0.07266731178195963,0.06440553213277218,0.08860157900088209,0.029454187500480226,0.08411468509425449,0.019569369789922807,0.06199933968975071,0.07323548561271459,0.04277746594360527,0.07225138278490997,0.02734791744569222,0.07695773119118608,0.0320435378621352,0.07650042254783138,0.12655533620148485,0.060515643257921685,0.08001229830772569,0.07407559310999798,0.07855440264971446,0.032900472934237396,0.059399936710250276,0.04371025681737398,0.047165656259699394,0.09050823352819051,0.12257268443555576,0.05242247485664859
N14,0.0444061254514215,0.042662085845164816,0.04492644421387331,0.07224184001994807,0.0,0.06518359770369697,0.053998411258849896,0.0444164504336476,0.04390539628788006,0.049876434707374406,0.07234176385293359,0.051882611649960046,0.052023670317446515,0.05889865669006679,0.058899524705555095,0.04871305530161475,0.04857699965371054,0.07249228669727824,0.05300644469356688,0.05535904424543513,0.047580663222585015,0.07202795305049507,0.056873969898830444,0.06004272628398188,0.099739142853402,0.04563849340766627,0.026501575620674536,0.07853875637987344,0.05289247260314129,0.07060469816795319,0.07125999495715557,0.018614125711366142,0.07640263102276627,0.05055873606789272,0.051815056568041,0.04648018706068298,0.07245057825385101,0.04691335225063795,0.050468172832245514,0.06366442083249531,0.022625381897920183,0.042315469506714734,0.07889938379720902,0.08140944222452651,0.06687149870764178,0.050777302499704816,0.08802167958315237,0.04818113401977708,0.07062977696305199,0.08964629470718681,0.05780770836159253,0.12236276548232845,0.044534849683781366,0.05160272320383674,0.06388202954196257,0.053787633556767946,0.08426536693584837,0.02601957253089438,0.07809966388900652,0.08106605040818433,0.06171116770291573,0.01123426759064389,0.08999717927093481,0.060371168170446715,0.04362407688119903,0.043723417047234224,0.054310704048272346,0.05116894708170146,0.05721088043410264,0.043899430459165445,0.05055322282389955,0.04757001779418705,0.04319365878173663,0.06222631437699238,0.09339128367341804,0.06331604551707104,0.055317308157445136,0.0677948530486702,0.050627591866903104,0.05924780086000404,0.0824588803709622,0.024670988363616943,0.04888192244290279,0.07435123113659546,0.06827060120406439,0.10735514979731267,0.05701880821742554,0.040931930906498507,0.07685917476770869,0.1047380096482623,0.035980620525951724,0.04548151109513109,0.06218519295629485,0.04903975913421812,0.09584882392619531,0.029237557785747065,0.0858742337041065,0.11945909919923016,0.035602210736486783,0.05791275531515508,0.062247941414829526,0.05480884017162934,0.06285022708156564,0.06816675015388685,0.06157998479541661,0.044307384162331605,0.029632667988616298,0.08072970042629667,0.09002618050723192,0.046737530949548536,0.09455421721399278,0.04766530077373673,0.05858478154330006,0.06016300971647366,0.06998089410828003,0.0982247382925281,0.059088952698384975,0.04385866906609098,0.07099631172259199,0.08489280933855702,0.021511859294650885,0.07665575205279415,0.06634561948218107,0.04977546485581763,0.04899991690655065,0.05503364443202719,0.07791260382678415,0.04680914879663595,0.0674981060747889,0.051631229647222304,0.11253842951993893,0.04359997318510165,0.05788740976320392,0.014805082523626232,0.06318770856746367,0.08762803483972297,0.062478255856072765,0.09267642709545572,0.09717703305023966,0.059396824920599285,0.1072157339182593,0.1025556790972697
F-023C2U,0.0460928919233127,0.04360706624715683,0.04273929450514176,0.08485867481672325,0.06518359770369697,0.0,0.03285350568852217,0.04660367328673407,0.04036363933908219,0.04611574162862197,0.07470879074256619,0.052456522267675845,0.048476954636688205,0.05263127228788131,0.06284432341550503,0.03886221164974411,0.049334966564358464,0.08328696749106322,0.0347815012514544,0.05068966361975193,0.05124939684381609,0.0631181850835155,0.05873007310955074,0.05730675679531759,0.10156467840289994,0.0506031839290757,0.04971418883605462,0.08000286713486497,0.0494888452998354,0.06851930059407302,0.0756750234599939,0.06183540386068357,0.09575127081328967,0.05077856805823088,0.048237067166676244,0.04867955259223242,0.06812245228190772,0.04888493638136205,0.05116291591342492,0.04941728574176837,0.062351430900595216,0.05219515553631889,0.06637990404910273,0.08919946469562758,0.06110782098904816,0.05565320791465521,0.08055353372957136,0.04329255969072902,0.0630204002351777,0.09044238460597358,0.050739702793232214,0.12039795958032001,0.04872582370132746,0.039657302593542006,0.05411538447233279,0.05479395247206898,0.08564976774683694,0.047312109251470974,0.05549599978571059,0.04968767636471237,0.04762017014883393,0.05815591518607855,0.0862747273062334,0.06451852823355636,0.03948082428381918,0.042927421334812844,0.039594123176740326,0.04139723733900678,0.04484506279873487,0.05229730634523703,0.051668395750895886,0.051613159205838394,0.04471571945774412,0.05057591012793443,0.09736383780474725,0.07039409572303418,0.0507610671634864,0.05560643917817922,0.04632406126131165,0.036526214942732095,0.07662456562648778,0.05062559265248803,0.050957854471293196,0.07384514479404204,0.06872848391929194,0.10853941723607048,0.060251591063320266,0.04282739361582463,0.05929098852526867,0.09899232209624446,0.05015953293609669,0.052531617589566475,0.06233575157194232,0.047648112622198334,0.09586898523743595,0.06637395609679636,0.08562099818062141,0.12614090294931582,0.0671734424405054,0.03928694448497731,0.044912966754299,0.031748141150692466,0.06332203132318313,0.05873232034360689,0.03899065823031927,0.04263877402249296,0.06994351897538408,0.10800267707845711,0.08754041278832515,0.03576806174979756,0.10578561756808307,0.04965192189581625,0.06137418953189505,0.06304677026492948,0.04814536670706147,0.06741363854856132,0.06301484888346288,0.04069035364571492,0.0504822916194834,0.08578553277655741,0.08085182906423403,0.08507587132885995,0.0667337623750166,0.047475549820117445,0.05135249571568679,0.04361534130679553,0.07751086574048215,0.046144921899953305,0.07152599874153609,0.05681907282993087,0.09002660189519555,0.042268927899245405,0.043355318452644086,0.05532657604803592,0.06548402250849225,0.08520865708469455,0.06060472893695245,0.0961995774230475,0.10355576324898023,0.05372520407689955,0.08103236750931314,0.0879525175878718
F-048-C1A,0.04121833209807335,0.0362428743468839,0.03437753906227734,0.07249937624671736,0.053998411258849896,0.03285350568852217,0.0,0.04034530376885307,0.035633189388435973,0.03781966644517255,0.05965789428751512,0.043922676434337136,0.03839686630071117,0.04045111404709905,0.045468772442698265,0.03840328579211685,0.0423101413386453,0.07030805872466529,0.04405069586358876,0.0434440039870112,0.04624430599431538,0.05317998217229821,0.055335675466180255,0.049300733446065614,0.09006664474655532,0.048623954884841405,0.04343554255916273,0.0716603049843791,0.047978672816325355,0.05988300150025345,0.06924093946035055,0.0508752425366869,0.0941693288834422,0.04393984884320972,0.028766795779727794,0.04267847968300125,0.05897485363506941,0.03517879845816521,0.04700831792947581,0.042557294993411564,0.04949169440023347,0.040950465044308,0.058989380256905824,0.07801342037794419,0.04643077662332449,0.044900006032743786,0.07249890995377603,0.037524902681280316,0.05434962460544919,0.08044670531800889,0.04076722894577086,0.12263412020273504,0.03210679217724915,0.024729132687354327,0.06120545033566031,0.04492695764125336,0.08029016876810291,0.04187508522135984,0.04623714837466638,0.06410430875182879,0.05089255416985912,0.05315920512278391,0.0708174695300944,0.05826924648321201,0.034865830484434465,0.04112408851509707,0.03285445318340621,0.04101801895378356,0.04096487469327413,0.040019749681513436,0.03595356157625726,0.045134278509278064,0.03612242006633644,0.05437822086687953,0.0862148365474567,0.057804709396852234,0.037592776070089255,0.06463383708570271,0.03571691920592664,0.046996257024383314,0.07656627900612178,0.0461628668859227,0.04337142596883748,0.0692160310299925,0.06337375053638529,0.0987981010381681,0.05393434204669662,0.03633436242677758,0.07060507252715396,0.08594287330633811,0.045207697267328165,0.039530785564690175,0.05710947650490688,0.041717506427253755,0.09466626679018639,0.058669529686617775,0.07316010975209769,0.11520088813185271,0.05656788592348651,0.04016131432987859,0.04129429019744016,0.027844245668347898,0.05472276995451084,0.06015853891715111,0.04044062739306502,0.03801119528760623,0.07088987170677578,0.09631301479785251,0.08009276727816105,0.02857646527336029,0.09586727510677073,0.03653418162013398,0.05836852275292191,0.05130496756564198,0.05523012752240642,0.07971443027848855,0.05694865596342465,0.036402301929577184,0.06003133556414634,0.08044090698498246,0.06946419544821571,0.07362013315999948,0.059228846645392436,0.0425926743378774,0.04134259131084781,0.05525770477382148,0.07165015574816512,0.047202549818588777,0.06731284683313841,0.04792823734599351,0.08690977800540614,0.034424379971130264,0.03807594973152579,0.05036085576574538,0.055411448916630045,0.07483573510012809,0.04459159529012269,0.08482890956212005,0.0910286048690364,0.050165069667496925,0.08170969828553278,0.08034942600790375
N08,0.015108651793641287,0.037112733899846914,0.032854818715221834,0.06869897682160887,0.0444164504336476,0.04660367328673407,0.04034530376885307,0.0,0.03172685482678571,0.04196500273195927,0.07025226686504027,0.04598677615478052,0.014467783612255687,0.051322574728867934,0.059685291751783824,0.013617892191640215,0.03992261902173828,0.06815170262293616,0.04720023292347207,0.03405147062634444,0.01362059098690848,0.0632735129145478,0.018955250214440045,0.04809752255907927,0.09633485429438329,0.018748140648447657,0.047545109794216944,0.07302117916919117,0.044738503886217265,0.06652070308363148,0.052724434812007795,0.04485620614147451,0.0976278274765883,0.04462450626291188,0.03880967053244158,0.014191106053307095,0.06797219822185414,0.045176877678653395,0.01235577510601632,0.057574796268457476,0.04301491496934173,0.036572557974089294,0.06591269914155977,0.08022219024377171,0.058449926129026414,0.04938647937610257,0.08136299259727059,0.010581903030789425,0.06248189507779117,0.08417247085549068,0.044504913176691134,0.09846324779071933,0.04130685716428259,0.039733525804041735,0.05912325633590537,0.046533232651714405,0.0685553778589024,0.03648550842999416,0.06474223412948306,0.07225667587426784,0.05851054082264391,0.04986290285627912,0.08515617567086255,0.055472037803155294,0.012309788945835556,0.03473246154004766,0.01784333158586527,0.012013600494576403,0.046596388789467334,0.039138819773820985,0.04430543861542694,0.036730604351844554,0.04150120343525737,0.06077600372943268,0.0916678127183849,0.06108353090197809,0.04249416903529865,0.06579910973521536,0.04158430458923839,0.039516855490947814,0.07913168894666874,0.035702811564953744,0.03814112466321638,0.06362501519797568,0.0554438733560957,0.10371595660464768,0.04725735006408525,0.012887226026137075,0.0721903695719764,0.0992913312075379,0.035937321174881846,0.03759826873512173,0.0485564059261953,0.03543573346049045,0.0960311566537298,0.056384430588955745,0.08024932759179507,0.11829987979020883,0.054079338082200015,0.04503177105780012,0.026255525422008597,0.040788067825924854,0.06134058658471043,0.05671920373903777,0.04019825334368252,0.011800490425182216,0.0599917732117561,0.10069834062024215,0.08425755874265167,0.03827965129589989,0.09654324027798421,0.03458301860052805,0.04953097804421222,0.051636993230564976,0.037797292803496134,0.08933096184435639,0.05855576042633031,0.010363626940976546,0.04450476344839778,0.07886041179044749,0.0573158126331589,0.07439415976701919,0.06079274151595779,0.04344491832390785,0.042617546361682676,0.0455293200289317,0.06913236134602209,0.04346969176047193,0.05175891207295913,0.023133520846124987,0.08586918079468124,0.040146095332261704,0.023078642347296802,0.047416428173738874,0.05339885998704568,0.07974518304945827,0.055991227065659524,0.08986039197865185,0.09686546581269234,0.03478046852581743,0.07744118926920275,0.0839226444716178
F-058-C1A,0.02998785308963532,0.03466961547035012,0.02377509798053613,0.05381957855260528,0.04390539628788006,0.04036363933908219,0.035633189388435973,0.03172685482678571,0.0,0.034912031427730035,0.06354838297282762,0.04158956593677638,0.0410094158852524,0.04810451370266909,0.04764986547604303,0.036732358332028564,0.03767664393397126,0.05950617585340447,0.04297388520176225,0.04706819446949464,0.03278763801248705,0.06411914850055513,0.04360601584469106,0.038219093399280306,0.08949377073914591,0.03568140976595801,0.03907636078437688,0.06506628279096648,0.045947293855295446,0.060438876889533706,0.058687251567140775,0.04076721925910855,0.08647409076256964,0.044243539085603675,0.03248098017453128,0.028636593923734837,0.057424514192268315,0.03381962872268547,0.0395573281535125,0.05191760600642935,0.03948502291897869,0.039733470250228275,0.06807288270835192,0.0704667365165699,0.05313101871293315,0.040773596419390795,0.07551278843612293,0.03711635517415638,0.06038621695122122,0.08115956294152246,0.04322822508230223,0.10669539748605944,0.029218637764223586,0.03706334678724514,0.049075598918470915,0.04222720748262115,0.0707082037195865,0.03913253935516175,0.05441498943905635,0.05370235123374253,0.05293402434939687,0.04537120489822643,0.08043961186344653,0.0487664105859213,0.0292959408788519,0.03710625417737225,0.04007595258458105,0.03250894377415751,0.031038002967332598,0.035718590236031654,0.037671726967806386,0.04022392090631131,0.029059334631198787,0.05030242930094332,0.08117013187292836,0.05300903081851727,0.04097552344999201,0.05888094101822334,0.03339914011063467,0.043128068504641515,0.06664849318431995,0.04326422982808895,0.025450121412624382,0.06710219749570877,0.05465641512973289,0.09172316287427389,0.05011062062770255,0.02725337295460681,0.0685733598240046,0.0944123194991912,0.037270287788469185,0.03765844892709607,0.05101342274424872,0.03626113759070115,0.08529037934691734,0.04893502869833318,0.07202740241756422,0.10709867383858153,0.046609926655688756,0.04919155104750006,0.04617054476408977,0.025168511685283626,0.0505932524375252,0.05503187624199521,0.029865765005169204,0.033933425321819796,0.06359111814312073,0.08963931946672159,0.07932935735652251,0.025671261318089486,0.08235895269712555,0.024375404608161493,0.04347781302403076,0.0436939075384776,0.04338643979895459,0.06960135356749295,0.04842353608837438,0.02717298156590502,0.0456741065380885,0.07089804858986477,0.05797152383560279,0.06242261614622847,0.054092200400866014,0.04005296560723521,0.03768099152337366,0.04857465992619284,0.06993031694338216,0.045650093638936885,0.05269026238356922,0.04175389353390332,0.09443136014629255,0.0336270407111,0.04253705029126252,0.04422747081035378,0.049356905415435214,0.07221415763067017,0.05397983750912504,0.0839159052092285,0.08695167836548189,0.05591334557597825,0.08356617566167895,0.09511257761348373
F-037-C2U,0.04320111045544097,0.03755809690953239,0.03626301189104713,0.05466514252522691,0.049876434707374406,0.04611574162862197,0.03781966644517255,0.04196500273195927,0.034912031427730035,0.0,0.04841321262014569,0.028969462727907028,0.05073537265914517,0.02688041105923606,0.040514068705186874,0.039702227093184474,0.020332778820649343,0.05691922121030895,0.033606474875066565,0.035240694150451564,0.04907114677082606,0.04370913616871209,0.05515190420654247,0.052916091081443566,0.0706501174458971,0.04999445262213449,0.03711072706888607,0.05255656204579511,0.035588326289071985,0.04554380950523147,0.04933038559459669,0.044509788591699614,0.09513154621619659,0.026403003279396625,0.0360652529858874,0.044482528852073926,0.035981500799990546,0.03657204723823088,0.04612002204329671,0.03418326465103719,0.04495247062240968,0.04555889675551259,0.05416255210584184,0.05987476691462367,0.03182308494748727,0.03168426305479488,0.05631141488611624,0.04545261640713189,0.04223005727038776,0.07560878041908711,0.02415679330472787,0.11829696177471866,0.03182406344921963,0.03122863465402292,0.04733601992583432,0.023870471417308463,0.05682455963624245,0.03690143023362205,0.05953973598466597,0.06836223072792996,0.04718677862674195,0.04584861223543134,0.058857539659219645,0.04474311618557258,0.03447045955302342,0.041535525001140064,0.048209142944443416,0.04123473631181261,0.04485440409295245,0.023884781276506048,0.026253552190150842,0.030523997259222755,0.019774684484733646,0.04078515668238612,0.06859301796309444,0.03829891631349178,0.04231314250633655,0.05141342034613989,0.034281083558246085,0.04875183683819418,0.06559811952129967,0.0414652266973952,0.04430258302361915,0.07081524186076431,0.048302907318027735,0.08094236107290638,0.037731040439658504,0.03665915129511768,0.06565687943210921,0.07136373366050186,0.04106380511805224,0.024167172333144325,0.060989944458439166,0.04838282400929146,0.06510346865336245,0.04081505315041328,0.0557840458827637,0.09698514770840425,0.044133862016427314,0.04445859520506736,0.05066412193138635,0.03178539273003193,0.029642655621403773,0.05779947073124406,0.04809894356330213,0.03856246770295384,0.06522900579650576,0.08081487280580234,0.059469064212468364,0.0384673835085511,0.07373942121176952,0.04349552761393284,0.047343553095984044,0.03166944394214878,0.059238168156606825,0.08902608004830842,0.05467386218785495,0.03720808343140895,0.06309172412958475,0.06663491941897977,0.06471120485617886,0.05240892717772823,0.039543735130795524,0.04474095955862297,0.02465685919897139,0.049402603607212665,0.05863451039663516,0.050345582440620665,0.05290321737465003,0.05472488813033328,0.0979958083193701,0.02740952458624303,0.049909797240982705,0.04450505574158826,0.0590193024307551,0.056233949384202855,0.03377312049373913,0.07530640617458435,0.07604583328813386,0.06120439399182781,0.08656114450325693,0.07182189561913055
