,shannon,Dataset
F-058-C2U,6.44733183632306,asd_son
F-007C1A,6.449900569620011,asd_son
F-024C2U,6.37087780334253,asd_son
A15,6.4451383273727645,autism_kb
A19,6.41649744444961,autism_kb
N18,6.441295939007075,autism_kb
F-048-C1A,6.430001686527218,asd_son
N09,6.429239492413029,autism_kb
F-050-C2U,6.419242825740878,asd_son
F-003C1A,6.304371892905233,asd_son
F-053-C1U,6.43623102023713,asd_son
A18,6.440185170046321,autism_kb
F-062-C2U,6.241689352892779,asd_son
N02,6.4470042673618835,autism_kb
A06,6.447070765364386,autism_kb
F-042-C1A,6.447529809699511,asd_son
F-021C2U,6.431908507414368,asd_son
F-041-C2U,6.438930839760088,asd_son
F-009C1A,6.426530254021261,asd_son
F-023C1A,6.289000044741837,asd_son
F-052-C1U,6.326867536850307,asd_son
F-010C1A,6.43899501575706,asd_son
F-023C2U,6.4488625655598835,asd_son
F-029C1A,6.336362613788013,asd_son
F-017C2U,6.25763617894151,asd_son
F-061-C2U,6.412441200579825,asd_son
F-058-C1A,6.456696801339489,asd_son
F-012C1A,6.350601733294563,asd_son
F-022C1A,6.402676775296038,asd_son
F-047-C1A,6.44136589197573,asd_son
F-014C1A,6.410195031979325,asd_son
F-018C1A,6.348961516705752,asd_son
F-007C2U,6.390184945408402,asd_son
N13,6.4128989342647245,autism_kb
N05,6.444273196347136,autism_kb
F-016C2U,6.4178512996113986,asd_son
F-033C1A,6.424410693662467,asd_son
F-028C2U,6.384702947271412,asd_son
F-004C2U,6.406290611856931,asd_son
A09,6.430432289695051,autism_kb
N15,6.422498897501631,autism_kb
F-006C1A,6.4506725082805545,asd_son
N10,6.439135197755045,autism_kb
A10,6.354657552175452,autism_kb
F-060-C1A,6.450948868440049,asd_son
F-027C1A,6.29832813967618,asd_son
F-051-C1A,6.423863711826019,asd_son
F-044-C2U,6.4334050500203395,asd_son
F-001C1A,6.369955616292299,asd_son
F-020C1A,6.417354171716749,asd_son
F064-C1A,6.354934886570692,asd_son
N17,6.433544861988036,autism_kb
A04,6.441512477800299,autism_kb
A11,6.442579960656294,autism_kb
F063-C1U,6.448064106110957,asd_son
F-050-C1A,6.44024477511822,asd_son
F-014C2U,6.308238136252652,asd_son
F-019C2U,6.4391273991159075,asd_son
F-044-C1A,6.347622795953325,asd_son
F-046-C1A,6.431885872107853,asd_son
F-017C1A,6.20206592825156,asd_son
F-030C2U,6.37663170885855,asd_son
A13,6.423818705630717,autism_kb
F-037-C1A,6.443222560175247,asd_son
F-002C1A,6.233438147582584,asd_son
F-022C2U,6.42931125552023,asd_son
F-059-C1A,6.342353155504797,asd_son
N06,6.443661850059562,autism_kb
N12,6.414559708915108,autism_kb
F066-C1A,6.44507636945041,asd_son
F-018C2U,6.221384053798474,asd_son
F-045-C1A,6.307990129447906,asd_son
F-055-C1U,6.311635777206112,asd_son
F-020C2U,6.272995559732142,asd_son
F-051-C2U,6.420303662757454,asd_son
F-030C1A,6.395135070765741,asd_son
F-009C2U,6.454570227728578,asd_son
F-015C1A,6.417888897539317,asd_son
F-025C2U,6.408551587023089,asd_son
A14,6.443191956575701,autism_kb
A16,6.447466262357786,autism_kb
A03,6.446599088668083,autism_kb
F-029C2U,6.360504799793751,asd_son
F-041-C1A,6.4472280248916665,asd_son
A05,6.399210265569194,autism_kb
F-024C1A,6.402027879186462,asd_son
F-026C1A,6.435290619957856,asd_son
A01,6.42910642788954,autism_kb
F-035-C1A,6.395559764927201,asd_son
F-008C2U,6.429764601938345,asd_son
N08,6.4435058018457205,autism_kb
F-037-C2U,6.438428454652017,asd_son
N01,6.430362883433698,autism_kb
N19,6.439451043229059,autism_kb
F-042-C2U,6.44824480727714,asd_son
F-011C1A,6.154147360216124,asd_son
F-016C1A,6.4156029233621545,asd_son
F-034C1A,6.37698576351794,asd_son
F-036-C1A,6.365185875855492,asd_son
A07,6.445053404381763,autism_kb
F-049-C1U,6.428145513012724,asd_son
F-054-C2U,6.426625164419163,asd_son
N03,6.421953880530747,autism_kb
F-028C1A,6.313262266062999,asd_son
F-005C1A,6.374719507394874,asd_son
F-054-C1A,6.423294267207809,asd_son
F-015C2U,6.433120385287672,asd_son
F-004C1A,6.2928938436646735,asd_son
N14,6.437586584876861,autism_kb
A08,6.4465439294864995,autism_kb
F-021C1A,6.3625791650957195,asd_son
N07,6.439122247494164,autism_kb
N11,6.434385145105782,autism_kb
A17,6.423652445663715,autism_kb
F-039-C2U,6.431756784044199,asd_son
F-057-C1A,6.385238577613833,asd_son
F-001C2U,6.316093852039531,asd_son
F066-C2U,6.339048724228149,asd_son
F-046-C2U,6.28322846997266,asd_son
F-056-C1A,6.432259153641017,asd_son
N04,6.445920061117577,autism_kb
F-043-C1A,6.433132956880365,asd_son
F-038-C1A,6.3674229875647805,asd_son
F-057-C2U,6.454453257469361,asd_son
F-061-C1A,6.449808597781446,asd_son
F-003C2U,6.38441055389538,asd_son
F-039-C1A,6.406312154550173,asd_son
F-025C1A,6.440686495818532,asd_son
F-019C1A,6.425297402687077,asd_son
N20,6.442808021186421,autism_kb
F-008C1A,6.454523701534017,asd_son
F-013C1U,6.437009863380181,asd_son
A02,6.439798143964472,autism_kb
F-040-C1A,6.433527261471349,asd_son
F-027C2U,6.364969828172743,asd_son
F065-C1A,6.442550737484904,asd_son
F-032C1A,6.280355979981926,asd_son
F-062-C1A,6.4429872781482445,asd_son
A12,6.414787837749278,autism_kb
F-031C1U,6.265614037601174,asd_son
F-002C2U,6.42268699779075,asd_son
N16,6.4428774728016664,autism_kb
