,F-016C2U,F-043-C1A,F-037-C1A,N01,F-040-C1A,A05,F-030C1A,F-027C1A,N02,F-003C2U,F-061-C2U,F-024C2U,F-023C2U,F-024C1A,F-003C1A,F066-C1A,F-051-C2U,F-053-C1U,F-038-C1A,N15,F-028C1A,N16,F-050-C2U,F-015C1A,F-007C1A,F-019C2U,F-011C1A,F-002C2U,F-005C1A,F-021C2U,F-004C1A,F-014C1A,F-029C2U,A06,F-031C1U,A12,N20,A01,F066-C2U,F064-C1A,F-050-C1A,F-058-C1A,N08,A14,A19,F-028C2U,F-018C1A,F-015C2U,A02,F-047-C1A,N04,A16,F-060-C1A,F-014C2U,F065-C1A,F-039-C2U,F-044-C2U,F-027C2U,F-061-C1A,F-021C1A,F-008C1A,N12,N18,F-041-C2U,F-017C1A,F-020C2U,N09,F-044-C1A,N10,A04,F-054-C2U,F-017C2U,F-004C2U,F-042-C1A,F-057-C2U,F-037-C2U,F-032C1A,F-006C1A,N07,F-019C1A,F-036-C1A,F-059-C1A,F-025C2U,F-016C1A,F-034C1A,A11,F-013C1U,F-041-C1A,F-058-C2U,N14,F-045-C1A,F-056-C1A,F-042-C2U,F-008C2U,A03,F-048-C1A,F-046-C2U,A17,N05,N19,F-001C1A,F-009C1A,F-025C1A,F-049-C1U,F-046-C1A,F-035-C1A,F-057-C1A,F-009C2U,A09,A15,F-020C1A,F-029C1A,A13,F-007C2U,F-012C1A,F-055-C1U,F-010C1A,F-052-C1U,F-026C1A,A18,F-023C1A,F-054-C1A,A10,F-022C2U,N03,F-062-C1A,F-018C2U,N17,A08,F-062-C2U,F-039-C1A,F-022C1A,F-030C2U,F-001C2U,N13,N06,F-051-C1A,F063-C1U,A07,F-033C1A,F-002C1A,N11
F-016C2U,0.0,0.04318017045183726,0.03140548871017177,0.04556745865729114,0.04732739055859501,0.06215815221538757,0.05457655467717122,0.06684610740127647,0.038058865518813274,0.05859668390325575,0.04558886142169338,0.06339619547967346,0.040751156856683644,0.05858060391369922,0.06913102795787057,0.03552771005970072,0.047387713196906926,0.04171799255751448,0.05378334231384207,0.05097065816202495,0.06115297185913661,0.03941109823475722,0.048774631347132086,0.04496428137798909,0.031968129949250405,0.040453752256398946,0.08206407597579841,0.05397178463603198,0.05448151982069853,0.038176649228046054,0.07330089934201695,0.05316748194895803,0.057212794405779074,0.039737038461832984,0.06881261296568955,0.05782582671205443,0.037734975048872924,0.04917672617114383,0.06586744392234133,0.055376039046541474,0.03708956674533669,0.0351613126528324,0.040078629316106416,0.03913872961452085,0.05100877002920155,0.054386565931355414,0.05996845222272569,0.0434208880412633,0.0414364047467419,0.03380047586485056,0.035329414981498906,0.039129888007981846,0.03439620762806334,0.0636353713176276,0.041732191658534125,0.03991077751319229,0.04430379646079103,0.05732286235179324,0.026120758811488627,0.06318026212230278,0.04153759540841128,0.04009229386772628,0.03861017867806802,0.0373128125928211,0.07689988577831558,0.08668097333687853,0.046788548155134384,0.055599076252079174,0.04078662184476615,0.036346564772031145,0.04498360184669232,0.06894370147404756,0.05187245164674466,0.047337798523307786,0.029400491195089012,0.04371489588349644,0.071999145722033,0.04357460838730751,0.0459916389163443,0.03681528486079304,0.052793268113903884,0.0575854029138948,0.05264807335560668,0.04751801993082456,0.05221377642590545,0.04039545058827431,0.03290150015156704,0.037117737077364744,0.03843293819817511,0.042090844916438754,0.06119529524798125,0.04143255222988968,0.036995006197076664,0.0412395769484449,0.0407287329603975,0.0401525339813964,0.06343309156633009,0.04656262726012258,0.04104285244306705,0.040360977303260596,0.07564914581642945,0.04073413500581222,0.041915711039358775,0.05249912167344732,0.02761486084689591,0.05390718754410621,0.049526370575148464,0.03801890571726521,0.04788056157226436,0.03730327343765364,0.046606828202248124,0.07040902925416737,0.03934953810652372,0.07088201887013945,0.06689273214012614,0.07191465973620642,0.04038430648937792,0.058114774971719664,0.04281813522386227,0.040543230006712984,0.06863901916379411,0.05109265647042296,0.06810831286789389,0.042218168157836196,0.0381762716070918,0.05069480972355756,0.07244214929972913,0.034147462436908665,0.03891839436490652,0.07898942667153142,0.04736935076996039,0.048936501394926224,0.05150297533889057,0.07172177194912457,0.0366697995442726,0.0440972120567879,0.04689349347717582,0.04149771985015807,0.040053052803816366,0.04974385243535198,0.08702053120751403,0.043501874649457664
F-043-C1A,0.04318017045183726,0.0,0.03078161760969348,0.03776829730820733,0.04559430279481591,0.0635182535244725,0.03413740215044562,0.03721333494310476,0.031116482044731438,0.029403197443800065,0.0277764640285161,0.04464367193050829,0.03733430566139081,0.05708624555293528,0.041669872657882426,0.03646412819689315,0.018959527977514542,0.021088947571831745,0.030689449354420226,0.041229332111927156,0.03724200204976147,0.02803650727364616,0.04490894023777201,0.048145900079708454,0.031121648487025724,0.029022719871368466,0.05841411283762542,0.047509267776602984,0.02515824690862349,0.030288659633937957,0.04766958635201913,0.02043188570443756,0.027567613356200622,0.033017900749508756,0.04059147092794969,0.05303793309577272,0.03061501727133591,0.04100829159632675,0.04574519872855946,0.033829693302406046,0.02829895725291666,0.028632369506900537,0.031991008867702016,0.03006143676048608,0.04536855465421338,0.030548803294463345,0.03410676598545792,0.013385861083704903,0.03909061597553255,0.03428133910209138,0.033575483170377333,0.03159592128410249,0.026714393666757635,0.03522325984392429,0.02687900165110759,0.031112207968862955,0.043791118057848105,0.030381148089923257,0.026927809921993288,0.03233977794501115,0.0378110440152341,0.03152537307478101,0.03048777623357703,0.03421935122869295,0.05296101267831702,0.08330550242767006,0.03782704820705153,0.0355600016401223,0.03219129736123798,0.035535328242909996,0.012633528368406288,0.044523506390848816,0.021062032550958957,0.038252858424612374,0.02614767803219785,0.014429203395693127,0.046133021074848846,0.03749488772810806,0.04346560699823647,0.04289417625506721,0.028395980696079747,0.029894887133952094,0.02065799398787014,0.052377172899260215,0.05652742767361147,0.035768160051501977,0.031081596953710385,0.021051262621472697,0.03106072887534138,0.041833189213609664,0.03623036601507619,0.02452199006251838,0.027311067939987922,0.029557750064875977,0.029028528194818336,0.03309168838686451,0.04596061576825294,0.043893424979655093,0.03470167479901449,0.03560912341418042,0.07153585011451971,0.015213405976884909,0.011505403623674674,0.05032528187240306,0.03729518109209304,0.02185492960962944,0.022550003854269394,0.03354613865549995,0.03856006917787269,0.03398719919886171,0.01733151843560917,0.04467531169077577,0.029590945034588867,0.07270348427168613,0.06756355211216097,0.050835547693396585,0.012836795139869999,0.03995192713604372,0.019443630476059837,0.032992445718416474,0.04256863001661194,0.01891181523578649,0.06617489148853525,0.02144403357098459,0.02886140995894588,0.04237237526515913,0.04818838287498811,0.04222867955489778,0.029459532199288842,0.07443394282899596,0.028557191873761198,0.028989013304111178,0.03275815117604815,0.05019636065477216,0.027530716453517082,0.03216765376907252,0.028502825039901244,0.01815430342144358,0.027680604131966213,0.022798645365917775,0.08735903740556746,0.03882032189929918
F-037-C1A,0.03140548871017177,0.03078161760969348,0.0,0.02757858979704316,0.02811152335335706,0.04922500557750061,0.04755117721029206,0.04953023260267234,0.02023767507089849,0.04250596667996884,0.030855216639188734,0.052118498634027344,0.018659625677263748,0.039003784189793826,0.0527807355341873,0.021072730115588773,0.029199757880377986,0.03051302026705756,0.03729199175758732,0.02775338634789874,0.0490332568189811,0.020030519035690187,0.0438309020954059,0.04028122823167569,0.014820484699344126,0.02114596764173635,0.07460795358014996,0.03751391981774417,0.04111599855202894,0.020703511317458602,0.05999360520324507,0.04573403970850355,0.043091806641730304,0.021611520019313733,0.05940231573384775,0.042015467011033245,0.01860312768392184,0.030404687977570802,0.04891344676420799,0.04332211178990226,0.021132942408656815,0.01764899150796688,0.023896212784083614,0.02127980350962328,0.0356077031043307,0.03999351238246201,0.04541960734539447,0.025259211809385052,0.02346845620418375,0.01940367102104259,0.022997296974598402,0.02197928616733799,0.02520979832636474,0.05167046999075985,0.026868438844250997,0.02359397734325968,0.026066050440700657,0.04231428329628776,0.020886708156464436,0.04603011606163307,0.026230885290122165,0.02105159768696,0.019714114903899547,0.021160282139276718,0.0655565093410844,0.06860216917220377,0.02567761650094334,0.04090203374315384,0.025911360911499447,0.028489124413674145,0.030814645658437143,0.054760466888590334,0.03500247240168903,0.029534105399311856,0.013827289185605952,0.028061028523393348,0.06426446845913354,0.030242550793446947,0.03143481058111503,0.022460573245257593,0.03633238988125367,0.047919210610444685,0.04115077550408711,0.04198265031293046,0.04271058481821075,0.023631795489174844,0.017949885040971815,0.020693336265058523,0.02003898556001433,0.026753987279996894,0.050739447968611774,0.02687703366205023,0.027205402279925166,0.0261579003002169,0.01932046012008976,0.022894037870388705,0.05009486644407031,0.038508248105910685,0.02371813143759561,0.024747714895781394,0.062297532274989,0.02701885952327718,0.031020513970891797,0.0358600737310168,0.01832907889005024,0.04251418897136348,0.03800496941779767,0.021454558921986146,0.02883075488252133,0.01864023408132429,0.03543660336045773,0.055826084871289934,0.020616840313894737,0.0513375870350888,0.04996952499751975,0.06043709766114503,0.02574148657824876,0.04668738076901363,0.03158307563435493,0.019665050097221373,0.05315030045942789,0.03484233996910481,0.056393059099166865,0.03007064377405073,0.01853936906974844,0.030620836189994886,0.058413045665081445,0.03460711310829587,0.019889892058354917,0.06105522956421077,0.03232165887090674,0.04068801185241187,0.04286796009706644,0.05959565016799702,0.017106626170789924,0.02225060051508034,0.03112827453554319,0.022806778604683144,0.018820383831049503,0.033593838556613444,0.07423393309468533,0.02645442374789479
N01,0.04556745865729114,0.03776829730820733,0.02757858979704316,0.0,0.03681784908703346,0.0485898811245887,0.04669585716890513,0.051326304103140256,0.020308662765534495,0.03534531230988365,0.028507177445167977,0.06341348152169667,0.026155815013119837,0.03842416292620733,0.06399401368408321,0.02203208808501839,0.03594902995032717,0.03146157281863188,0.047410653906100726,0.010988273375348235,0.05662678712990849,0.015820906885085726,0.06068096887017068,0.027344322577505364,0.028696261349964065,0.037091214420667255,0.07564002443811758,0.04169549547207368,0.04630193476486318,0.02642445085215299,0.0676033241804294,0.04748646345836449,0.04237661346603407,0.020836789784903526,0.06389454390679435,0.043053137651417495,0.016351433924448523,0.028365080443092185,0.05655140045859657,0.05019217892481717,0.02922054529809381,0.02620419075758542,0.013126282273238804,0.01605433333833777,0.025687029548620607,0.04188491012841097,0.04911843544814657,0.03426498011672163,0.02781893024639305,0.026169199724803572,0.017136116041880364,0.020292388504231578,0.034375647020686954,0.05258048266197725,0.03621191128628764,0.03674649600520013,0.0403338828142785,0.03998084376929578,0.032675788477124525,0.043253502277100696,0.02948089602636546,0.021835245608057524,0.023164585332636854,0.02883981841583917,0.06551550908221034,0.06288715823762409,0.00868966692184423,0.05087440785792886,0.011116142050326225,0.018658501373002265,0.03664344724621295,0.06187096274388146,0.038247648854732405,0.035144911770789586,0.028837080075839492,0.03339323462450451,0.06936747793298118,0.030013673246316406,0.032108720609965724,0.03840367137012681,0.04962957376786858,0.0515845704133118,0.03529452736839939,0.036492275114385936,0.05431434717815926,0.02647416598508784,0.0355608936616007,0.033515881538178804,0.02263109174164676,0.028323798205880716,0.053683604465465926,0.0368117273458993,0.035877656296533805,0.030350783375609865,0.018167516172863295,0.027166972972739678,0.06045685976539778,0.03585808829759271,0.017575943144099302,0.030661868299250532,0.04713615385883387,0.03917496922934534,0.03457486380745488,0.03769644400700244,0.028383407536963532,0.043484095484466696,0.04632611456234966,0.027328355226427185,0.01403281263093846,0.02504675107237459,0.046017734606842026,0.05449023405088559,0.02156675394445303,0.06032855023350547,0.06152065077361336,0.07015174691804378,0.034363554504668194,0.056716940199868324,0.035561505452015876,0.02558360852155513,0.05535608632854169,0.02925899874156113,0.053361230660036514,0.03972588112013686,0.023301520521040092,0.024761236003857552,0.0645964799696626,0.022934860258483483,0.0206682425097986,0.06668271509035577,0.04435382304198822,0.04303551524854928,0.05220607475141059,0.05384797050613361,0.023865824421103146,0.016227180911547567,0.0427127280185432,0.03817904740760247,0.01886506190032498,0.04405207344458163,0.07552304556246654,0.029912100989202516
F-040-C1A,0.04732739055859501,0.04559430279481591,0.02811152335335706,0.03681784908703346,0.0,0.054699556439437615,0.053360584809779704,0.06544077309236865,0.026301916215297125,0.05773730501624258,0.048222573073497234,0.0680513163828022,0.03420515832569691,0.05069235653024958,0.06789836487228898,0.029882454135582836,0.045367213597726594,0.04503676722155332,0.05207637920046513,0.0391208736822018,0.05768658785617846,0.02800541301507202,0.06284728882310872,0.045319038540590634,0.026070310370210924,0.03987057431260815,0.08059827948412338,0.03813146331633405,0.05450016578991632,0.0368403838976345,0.06499074518979907,0.056086560721335305,0.054798651930813694,0.026135746528247364,0.06978618679994912,0.05051553476727694,0.03183124446188088,0.040676339441046615,0.0662626661590097,0.05453278846309942,0.02559354445946553,0.025952224396888164,0.030357510653866156,0.03026241672386224,0.048437619401145764,0.05008395937120313,0.05145582445749272,0.04216393436189449,0.030327396544599396,0.035655152892870384,0.029896719854696503,0.02863340653440555,0.03408050763683819,0.06453244245726232,0.03697749462387451,0.03651560435163586,0.03893901349645867,0.055551456386289,0.03459777747935076,0.06256402679828325,0.028351096706010357,0.028873372585529345,0.025080196875316003,0.03333560319904606,0.07431253522028425,0.07784930126897592,0.03610548751550425,0.05689939802518849,0.03371128238185543,0.03591821740371254,0.043602567188196405,0.06578029655322104,0.04277545037094958,0.030943575489718694,0.025479049690002163,0.04209581332262966,0.07269658327161138,0.032312811580015165,0.037600069374743535,0.030797311639272722,0.05279235973611923,0.05638527304941464,0.05484706556782482,0.04555218943212403,0.06321552814010334,0.031357356915049026,0.03772562717286144,0.038346406752598254,0.02944835120892935,0.03530319259053959,0.060642143365008803,0.048019761906776266,0.0339775970676684,0.03905464414830978,0.02689180250400457,0.03746487475165607,0.06877466897673547,0.044560475357176985,0.030324847596600375,0.035488476054892505,0.068665111091735,0.042094828256584275,0.04280297916926066,0.034161891308647316,0.035206176993942524,0.057447485337650296,0.04791561057936195,0.02802986006571823,0.036494496756242535,0.027653552381911486,0.047318723893387586,0.06002267009320379,0.025911142044030167,0.06584620482827844,0.06281203627399132,0.0646470941196411,0.038800745756120705,0.06128502712897792,0.04358224494212065,0.030161285370684035,0.06365233219619153,0.04930712837946665,0.06176997315167834,0.04601266030069279,0.026069793156398756,0.032948063795377215,0.07002326740589083,0.03980894556664924,0.02567494379519224,0.0711041315130853,0.04088848164151605,0.05343051311632668,0.05971337497935199,0.06957669996054441,0.029080511508982367,0.030521447152998628,0.03980033119818945,0.03921123320266407,0.027501317389019977,0.045703849368574335,0.07840057908042894,0.03297110172045597
A05,0.06215815221538757,0.0635182535244725,0.04922500557750061,0.0485898811245887,0.054699556439437615,0.0,0.07432339497145125,0.08282391747983378,0.04599910980248908,0.0676641780616082,0.05994420580500963,0.08589621379195517,0.050308704243280954,0.059698610269516915,0.08741350212205552,0.04844352965866064,0.06367598816821261,0.06413088080450609,0.07252185461632586,0.05394934245729613,0.07813749942260781,0.04669939889261202,0.07842476508966326,0.06144675853589658,0.0476943251388119,0.05883032951527946,0.0984241139983233,0.06160444948887643,0.07380784053321082,0.05382578075651067,0.08183896554288053,0.07233476464927983,0.07342577971001546,0.04929000590637364,0.08787254309225549,0.02383353280398374,0.042194765833257535,0.053837324435240565,0.07994596953964063,0.07440859425161335,0.05078636944922937,0.04739791543382347,0.046840794980889326,0.049636370412610535,0.051073327809403934,0.07154685993001375,0.07143354667018556,0.05975080397456307,0.028947004221553913,0.05064178194258554,0.0456621796864435,0.05126539447744486,0.055436534617416065,0.08247113723287121,0.06346116814202313,0.059900189700026356,0.04520808222255599,0.07279082837291363,0.05056759563460411,0.07692756182074431,0.050302795629134804,0.053012400728928356,0.04834796268963461,0.053974572742552455,0.09120274661568338,0.0945089726091442,0.05223827912038853,0.07805151502615604,0.05043364511477401,0.0528212125964218,0.06291218410944954,0.08632246599383996,0.06600950261999737,0.05089663455970149,0.04740270920463686,0.06205149732329169,0.09054617910053708,0.05098686593613277,0.05864283272673718,0.05236233576303083,0.07187988229834806,0.07282555508160868,0.07021342372105913,0.06431804714957991,0.07173418509749004,0.0339432411827833,0.05460442310436307,0.06007426920368337,0.04696952506434305,0.02452241570591296,0.08024774412386537,0.06552322521488603,0.05492031834497506,0.05670230163096006,0.04885632139198084,0.05350609473505767,0.08516446443204426,0.06253874528159202,0.05108102848457735,0.05224766390574353,0.08301020022100732,0.06405148370917094,0.06144469943246448,0.05445809172706152,0.05184305396206755,0.07392260326124682,0.06796206245839911,0.05090733363554918,0.056369711581866294,0.039114160242731365,0.06861108182784544,0.07949541536112133,0.04949322083982639,0.07352817761005033,0.05339206332415127,0.08746440412316567,0.05946875065160658,0.08259584025492683,0.06144904894032426,0.04790060423965936,0.0819145706549944,0.06443201363648028,0.052239607167288725,0.06666494757686443,0.05074293609532864,0.05467359972142415,0.08796311986330418,0.056637795890505556,0.04847067936142044,0.08647159257233387,0.06509956571380522,0.06930239423574525,0.07835360544207748,0.08384176509211144,0.051549513425433735,0.05103985040629196,0.06295588544758064,0.061722464933998855,0.049344673494041376,0.06720694795830708,0.0944355555647682,0.04585922179871246
F-030C1A,0.05457655467717122,0.03413740215044562,0.04755117721029206,0.04669585716890513,0.053360584809779704,0.07432339497145125,0.0,0.043012193559983265,0.043037044753098865,0.04533513179260089,0.05054555906457629,0.044594611486612784,0.054556372175110675,0.07238016128211826,0.045554068704902216,0.04287980877463686,0.029829164526741236,0.03214869871847983,0.029586097059644604,0.05449451312701617,0.03515519515658378,0.04370041481430342,0.05417878599775027,0.04523214328862051,0.04154834295378423,0.041963420933302624,0.05714809950566449,0.06644522369568934,0.02868390806510081,0.04676918210775242,0.048811111562695735,0.038581801382279644,0.02872987793004569,0.04191521855487768,0.04526395068761916,0.06443995217195833,0.04565860735110267,0.057111415141806544,0.04606012704847477,0.026902312423625414,0.04414247060587835,0.04072245543219208,0.0435371151669444,0.045728953258988764,0.05501469406933222,0.017892383701512325,0.030920630049236442,0.027044259149736887,0.05175277299286008,0.046700927521166176,0.03691279231114793,0.04034481158801502,0.04383829907522476,0.04120457048304307,0.03135668793807672,0.04389904140610539,0.05513865729344315,0.033233914577680164,0.040642356010990005,0.0378435485149629,0.04960596170729394,0.03620877975996798,0.04300886792614805,0.04782487915659866,0.051426508968939744,0.08352154716182177,0.05077297011531569,0.031012669016032095,0.044033508902546155,0.04572293068552729,0.026402164764788776,0.04383895493016619,0.026954668024090748,0.05688958487435499,0.041626947105906,0.030169959719681463,0.04838876990311912,0.04030530360643102,0.05217730318485174,0.05156961214128575,0.030610055328328632,0.02943574018468808,0.03846888660938083,0.052384779402695064,0.0707351334047746,0.05129067181940199,0.05183362841953079,0.03247075461013898,0.041443168628932804,0.05460217527095874,0.037133734173018566,0.035270702441659287,0.03981713480927275,0.04612149565764751,0.04240354437605972,0.0502874724430904,0.04524580743081222,0.05052395042698617,0.0390018455568287,0.04853978257989049,0.06631364005550001,0.027024374852165148,0.028864197841732817,0.05875286564130208,0.045808718249746215,0.034645621839904564,0.025194691819574493,0.046408786689144894,0.05103205992539365,0.04555755139415346,0.026127250876455493,0.040117887469548086,0.042609472705597624,0.08209605506375403,0.07861209229164971,0.0470271575386372,0.028640506882136943,0.037707256572660455,0.027482886820502584,0.04771678021835654,0.036933399619633205,0.02768075532445318,0.07662350809329777,0.025523063511876335,0.040887119547024696,0.05360250136419792,0.04700104897902779,0.042317804363157206,0.04196611912667189,0.08846435368372552,0.04294041221323359,0.014417060817074027,0.02777693471814589,0.03912697349375936,0.03956064709871833,0.04180414624545124,0.03937234459967911,0.037267270483216326,0.041837644877954605,0.030339980280263416,0.08824628036599338,0.05142571454830819
F-027C1A,0.06684610740127647,0.03721333494310476,0.04953023260267234,0.051326304103140256,0.06544077309236865,0.08282391747983378,0.043012193559983265,0.0,0.048787776505864765,0.042083521775211845,0.04923025953426146,0.050659264855973704,0.053547092183420825,0.06994439712641051,0.019474222382103643,0.0535023058439338,0.032785141506800015,0.04424239408726976,0.02097766406800159,0.052093312479294746,0.01779235108431503,0.047564022240613076,0.06736583669911317,0.06579637493364657,0.05013086128836824,0.04826107685023499,0.03250314684332696,0.07043013399755699,0.021668770392976145,0.04494752634178694,0.0243092011969536,0.048499634348889716,0.01832400644266988,0.05008262420721664,0.01765987046260792,0.07311366881087562,0.048940566179707906,0.05857449300303198,0.03441346136581315,0.023059915716793056,0.053159217192251564,0.04906433656647295,0.05100824715656162,0.047822778987567545,0.05977146773591085,0.031141205962526158,0.022327932913554095,0.03241796012615219,0.060029239660858096,0.0557732098348948,0.05186921841130002,0.05188049739358879,0.05241953177775389,0.008599272537413471,0.0456400895256554,0.05300104165596332,0.06309603439896835,0.02003092212467408,0.05161058809610559,0.022804892091071626,0.05987596537938355,0.05198840099147344,0.053722226523945225,0.04803101150174366,0.02324368435676359,0.09248147900952847,0.049079556872703066,0.021901186479508335,0.05113833747618616,0.05619094849019149,0.029341266552358834,0.018046245824008336,0.0274727166586832,0.06207911338734327,0.04721100056063907,0.03451234560176104,0.025166671739892312,0.06292505034144813,0.06003047234543009,0.061537323226282005,0.020944330345812202,0.021036623411097626,0.037021812356681706,0.07178723428456799,0.07592075040450501,0.05641900277636873,0.05595641434991347,0.039957040835033125,0.05159428428721988,0.061723228627682536,0.011425133197838038,0.04167900705839272,0.05023361978002693,0.051402327096618176,0.0486951243224939,0.04594675872324479,0.018384141204561256,0.06696263599670596,0.05402765178021237,0.05753038078409336,0.08753835785654993,0.033656202030124566,0.03646383703289902,0.06777716112973384,0.05300054760865904,0.029871755824036377,0.026070255190600255,0.054565227224129945,0.05274831989531122,0.05661923803698966,0.036839554714337856,0.031461796550292645,0.05120727223382949,0.0919490520928068,0.08447345946146027,0.04030991934710813,0.03286742477550747,0.022590292003058936,0.040958010457950444,0.05224202575139933,0.01486289071517277,0.03328495963575756,0.08361596815723847,0.03868448886560613,0.05033906980840649,0.057366274452488375,0.021839030045200106,0.06217052319231439,0.049977354675172635,0.09074871536250358,0.05127446598880476,0.034728838935795404,0.033119553765739475,0.030226140677505325,0.047899783415344455,0.05122258049651379,0.048307479749872574,0.040024926831022024,0.04777017806695226,0.038313944723956155,0.10580282904249234,0.056668237208153054
N02,0.038058865518813274,0.031116482044731438,0.02023767507089849,0.020308662765534495,0.026301916215297125,0.04599910980248908,0.043037044753098865,0.048787776505864765,0.0,0.043053832202411116,0.0345312266717502,0.05972555252136418,0.021120163368858816,0.04321300077863008,0.05522010167521415,0.01618634594675861,0.03161365606530752,0.031685537344714396,0.037308722783804434,0.024101322513390738,0.045957269641329825,0.011057594749898167,0.05359047958202982,0.03089632034170694,0.018994733919130216,0.0324454324304665,0.06780242916906758,0.032770215230809155,0.03831203950451698,0.025103220968424628,0.05882763929681865,0.040982430809532906,0.03919708078359751,0.010672766255155697,0.05445276591566016,0.037871882267728,0.013022046770174827,0.02493315542571136,0.055989978164754886,0.04241220797636166,0.019051037295682808,0.018008458709942003,0.011918291417920127,0.010060792697675954,0.029256533746901087,0.03881636210262568,0.04210436014617995,0.027654965492888366,0.02307382818296663,0.01953226097702714,0.01262847431780144,0.012656402103234878,0.02573384875341209,0.046547403300667055,0.027553239992896633,0.027133258006154015,0.02944009764792066,0.04243098424161534,0.02396307871695725,0.04644535600926878,0.021230861795751812,0.014812390455407665,0.012070389405855425,0.025286551363944716,0.06402849182992476,0.06890387506851055,0.01958358129323159,0.043634578397059275,0.014842352133478549,0.01864568609858593,0.025844096595225578,0.05488719314143129,0.0342462270069381,0.024444244152728997,0.01878431838484099,0.02611418773493121,0.059694259245029975,0.02195530270855585,0.02348452473079869,0.028396281401829933,0.03781836206516178,0.042636396439150584,0.039706075165543864,0.03443290619926695,0.051707710422165404,0.021340579802301692,0.0273720298921919,0.024458532542553188,0.017194869278289306,0.024855066968132146,0.04657748437658704,0.033769524104757136,0.027200217524071955,0.025448347021914203,0.009791936444385306,0.027147883340578244,0.05525528272609517,0.026514834313082436,0.014403110010137133,0.01851363543035427,0.05750559772250769,0.02982941532704665,0.025499610503696653,0.027908273967823652,0.021765939060818904,0.04089940654429541,0.03501011282273611,0.016814527425462897,0.016699760740264157,0.019054720307777162,0.03434236099964083,0.05265766128607151,0.012313805208104281,0.058189949851562076,0.054049051445108486,0.05799836938532782,0.02469770646587781,0.050210108481039004,0.029280379685856128,0.015588078319834171,0.049444477776851334,0.03249390085080479,0.05267066480070762,0.030955201626144985,0.012798260430872068,0.024766253472431544,0.05804640719410616,0.022686651391354853,0.011037056627308799,0.060939910982134464,0.032330382557990936,0.038033479655748985,0.045773918188046284,0.06292578295924472,0.01356233436571348,0.012126442092853903,0.03313532225409868,0.026371640252348016,0.010642577356862299,0.033273463323601794,0.06570297565541834,0.021233587149510597
F-003C2U,0.05859668390325575,0.029403197443800065,0.04250596667996884,0.03534531230988365,0.05773730501624258,0.0676641780616082,0.04533513179260089,0.042083521775211845,0.043053832202411116,0.0,0.028672720886401232,0.05043761671670723,0.04575693209958922,0.03556558325045814,0.05031605072552052,0.04680281819229664,0.02634089129083166,0.03288887175786344,0.03972866242503882,0.03055795857239161,0.04985048823606061,0.03774267924787919,0.05874237696238881,0.058940563315184276,0.041400291945172044,0.031822949760649206,0.0687831151728726,0.061402458052982584,0.0372932873666259,0.03186435657968084,0.05976828684087107,0.04088010150708023,0.038725863425576164,0.044268853088776726,0.053629344439310625,0.06014783180869442,0.038908642382018556,0.04585014515649075,0.04557832674642276,0.04469125593794301,0.045933749600081474,0.04399643580826752,0.04133397442043029,0.03919759763052712,0.04446046371566405,0.04089660847760066,0.04511245792708808,0.026767917186869862,0.045653909690909954,0.047348031494035235,0.045143812696533774,0.04682120814623489,0.04646196274433861,0.043055243261359524,0.04007723822653813,0.047767051380792104,0.053757155683386806,0.030218300386175272,0.043241139260763256,0.035378417390862484,0.05342787076609069,0.045328293827411964,0.047126761237089365,0.041376105224425155,0.06037623514749617,0.07946810562819868,0.032909748804492184,0.044721450750904675,0.041271212170252106,0.04838373915042653,0.029087654173696784,0.05564494507418288,0.029846560815335446,0.05671725912959083,0.03967201329911836,0.02695746121617736,0.05844620549445128,0.053804787014957944,0.05481897246102806,0.05399330114950831,0.04023375195799997,0.04400782786922751,0.022088039211028605,0.0650203414444277,0.055500527267134364,0.04401678425244889,0.0496890837798859,0.03208155384297791,0.04674064549232626,0.04697448669791064,0.04741642873346387,0.033778434997218575,0.04418544985362444,0.04394999687609205,0.04206460360727852,0.03444592593807772,0.05187517377510523,0.060488663351544646,0.04721297086418094,0.052452713529445194,0.05883182893567295,0.031194437407028524,0.029390769607548124,0.061065964329897936,0.04712848800949193,0.031564730980326354,0.037965969912541656,0.051484351939410304,0.0370451495526216,0.0454893540124485,0.036081921882626065,0.050869502134104475,0.04368490598646328,0.0711201212958572,0.07459728311008496,0.06228823805465327,0.028348590082806477,0.04434710251346742,0.032788969616885766,0.04609306646398824,0.05351638748388586,0.022166135585467588,0.07392176346611244,0.03374520215217592,0.04464775044135479,0.04714625648288266,0.05909374294620873,0.05485645172605397,0.043597951843090975,0.08226284540145166,0.045910574661247185,0.038367741301034444,0.04100226282732562,0.04158387399321495,0.0415299688845853,0.04311798217277643,0.04165028082857252,0.03657654955174772,0.04135931562425119,0.03647828008761856,0.09996825709856312,0.04692485358982208
