,F-058-C2U,F-007C1A,F-024C2U,A15,A19,N18,F-048-C1A,N09,F-050-C2U,F-003C1A,F-053-C1U,A18,F-062-C2U,N02,A06,F-042-C1A,F-021C2U,F-041-C2U,F-009C1A,F-023C1A,F-052-C1U,F-010C1A,F-023C2U,F-029C1A,F-017C2U,F-061-C2U,F-058-C1A,F-012C1A,F-022C1A,F-047-C1A,F-014C1A,F-018C1A,F-007C2U,N13,N05,F-016C2U,F-033C1A,F-028C2U,F-004C2U,A09,N15,F-006C1A,N10,A10,F-060-C1A,F-027C1A,F-051-C1A,F-044-C2U,F-001C1A,F-020C1A,F064-C1A,N17,A04,A11,F063-C1U,F-050-C1A,F-014C2U,F-019C2U,F-044-C1A,F-046-C1A,F-017C1A,F-030C2U,A13,F-037-C1A,F-002C1A,F-022C2U,F-059-C1A,N06,N12,F066-C1A,F-018C2U,F-045-C1A,F-055-C1U,F-020C2U,F-051-C2U,F-030C1A,F-009C2U,F-015C1A,F-025C2U,A14,A16,A03,F-029C2U,F-041-C1A,A05,F-024C1A,F-026C1A,A01,F-035-C1A,F-008C2U,N08,F-037-C2U,N01,N19,F-042-C2U,F-011C1A,F-016C1A,F-034C1A,F-036-C1A,A07,F-049-C1U,F-054-C2U,N03,F-028C1A,F-005C1A,F-054-C1A,F-015C2U,F-004C1A,N14,A08,F-021C1A,N07,N11,A17,F-039-C2U,F-057-C1A,F-001C2U,F066-C2U,F-046-C2U,F-056-C1A,N04,F-043-C1A,F-038-C1A,F-057-C2U,F-061-C1A,F-003C2U,F-039-C1A,F-025C1A,F-019C1A,N20,F-008C1A,F-013C1U,A02,F-040-C1A,F-027C2U,F065-C1A,F-032C1A,F-062-C1A,A12,F-031C1U,F-002C2U,N16
F-058-C2U,0.0,0.18723853380558098,0.15922226889408828,0.2408024413159937,0.13606149596540398,0.18901949362511405,0.19912844275892616,0.16886397045186285,0.21038290729876183,0.1427326284531531,0.14943084031782053,0.15053902554985515,0.17075563088736226,0.18629528897361106,0.18146149293898023,0.20062243087503387,0.16628644799957468,0.17143982544267847,0.17384005423484142,0.1672599607749743,0.1506610177884211,0.21171637904058666,0.17161262319961182,0.19884247715288972,0.17273438439005603,0.2035729588442199,0.22482362119899726,0.17823289797758818,0.18308243773023528,0.18680182992922398,0.2410796231545145,0.14253970472250543,0.16977475621859645,0.21136426187490234,0.20070855919139063,0.19506955561027806,0.15475465408258318,0.17629778314530786,0.2529535259342948,0.21173226839673476,0.1750416431826345,0.17290311565889843,0.20709243468765892,0.19513607083678233,0.1847657326115785,0.18512665301535375,0.13989817382169079,0.16997144436427641,0.14635070133566017,0.14840974323392778,0.19106469661849915,0.19932846842358437,0.1955855552128611,0.1915473620507089,0.18565142770908416,0.21743245236660397,0.22098338740762133,0.16458649109474835,0.2001617122668004,0.13013248505442757,0.18038680267406446,0.19204575208719504,0.2513140046376997,0.14778578598646358,0.16016678446075666,0.128119661524879,0.21066520236483022,0.19093542533243477,0.1872783063716303,0.20112578717159277,0.1498227007349654,0.21839764508242304,0.172884384284546,0.16573475419742623,0.14970823558246732,0.19816990269316195,0.177778296649349,0.13906383851980333,0.1314911380177002,0.183421038563357,0.1812469500448856,0.15029246456267373,0.16356486453252708,0.23317858283545692,0.21237030699418719,0.192771151471138,0.12877594982074567,0.14354030269786403,0.1469793318437196,0.21106834794538765,0.20158271806857841,0.19705535607046848,0.17994036283693973,0.16981544745561253,0.18401391580451734,0.18873960371400905,0.16210077914331897,0.17588209961375298,0.20347420448625553,0.11905432174150841,0.18142943599023825,0.15139252791432808,0.17264504893871507,0.14483259096537218,0.21919971494448265,0.17542803972675358,0.1630092894170081,0.21800607645054135,0.1624085237821608,0.1932511658895184,0.2105473807024902,0.20705805463040705,0.15475165470088856,0.15583815585822597,0.17037048593939108,0.19906140037743106,0.15362192384686255,0.1995536546128441,0.19626395126813387,0.18249915984438672,0.16151379798686327,0.17584347178118237,0.17128029177172202,0.1697445429106764,0.22876276465334852,0.1660805942088864,0.1536405470648427,0.18211057192034436,0.18323170608822492,0.19142542689046496,0.1545405498637039,0.197063838896687,0.21597902233677663,0.1515681403502761,0.14638222448991128,0.20277237676901724,0.19153761763083815,0.20941056729061158,0.1601627485855667,0.23156332137464536,0.18970785346530047,0.19241563503239248
F-007C1A,0.18723853380558098,0.0,0.18392709540131177,0.23105408089776633,0.1810783798408717,0.2113457933494269,0.17589342415332127,0.15354545482455756,0.1948473946869219,0.2035343717312642,0.1976146262064788,0.2143099648878251,0.20537797317867793,0.1611290150527444,0.2170744478825231,0.19221686439282437,0.19686144482704745,0.16145794556698687,0.18004576852127385,0.19085820278480273,0.1895506009314661,0.18428593310196362,0.19263265952617728,0.20343639476686387,0.19046415557679056,0.24284334580733374,0.2468640548442369,0.18219211211425995,0.2317769111230343,0.18236312805864405,0.1489883814434789,0.18470725652148076,0.1824294592627406,0.19774134538479277,0.18814661013608897,0.18725223324505177,0.1498546269393308,0.2018526692523413,0.24259652677907073,0.15821286728132264,0.1808622546851324,0.18965234149640828,0.1915389146069621,0.16468048694570908,0.1812924540571785,0.19022189377188642,0.2073881083586068,0.18981376750683046,0.22849857444824911,0.20441903090123445,0.1821900962505615,0.18901410912697944,0.20266913459941108,0.19951506342957048,0.19280951895471266,0.22160693704757356,0.19889500692631817,0.22625037653311492,0.19319102743440691,0.1821675886530491,0.2083198634095357,0.22279103866471608,0.21498580332983733,0.211925958918539,0.16012655197112,0.20645075595436213,0.22376219313184587,0.1747789866248569,0.16297362498704604,0.19703460682084037,0.20144625936957314,0.17293985986399424,0.16751821201280295,0.17747563538523176,0.16806773987186904,0.21125336378857146,0.18555200243901016,0.15747481827076695,0.16206772000122424,0.22158004978998092,0.20622296303368406,0.15083925027476752,0.17638638928273245,0.22491347207626378,0.19427872152255912,0.21422195679353714,0.1826481138951836,0.20034820852640903,0.19577546153556946,0.19704060520365574,0.21607550197163294,0.14377927992527395,0.21634151696660778,0.19719017603650038,0.1655570075818484,0.20786417357576883,0.17731733861502608,0.18517763012402536,0.1983269000792,0.16387486605373403,0.1903578862419793,0.18405731614323423,0.17194411798243972,0.20725923724075868,0.23086517910301,0.1946441840583329,0.17484785754629123,0.21084970589599075,0.19342076913189887,0.1955522300194107,0.23176357095230307,0.20792198296771341,0.2050503932907157,0.15767642588957967,0.2081234835683557,0.21232721248434355,0.1764558135612062,0.184557173267615,0.22070576794456248,0.1806648359451687,0.19049292853940733,0.18818973449386975,0.18708543329223268,0.19545888266660727,0.2055951283896595,0.19802023640544272,0.20357915473269642,0.16197557947487948,0.1705846730711816,0.18211909133221718,0.1904597139612954,0.21215823374437834,0.19585910330049772,0.18953567557068365,0.17939519787452146,0.14957602384526503,0.19694120922152875,0.21356418379874254,0.20626357648933363,0.22743229673243257,0.17638700226571188,0.19349102166933954
F-024C2U,0.15922226889408828,0.18392709540131177,0.0,0.16213511450257145,0.14280563281903272,0.14189591295382648,0.20793175455491467,0.15377141804372815,0.165147285921966,0.1791531763743718,0.1360914430490195,0.14262494212135887,0.11925355201160777,0.13220786551038796,0.10323892484117948,0.1392729664446491,0.14782733626114838,0.13910266547731417,0.15873858066893842,0.14684010259106145,0.16847632087481304,0.17346058884720647,0.11763791873522882,0.1837521043936819,0.15676557132512417,0.2046736709356195,0.1647194671400463,0.12456885477332119,0.18948320388321438,0.1539497979143958,0.1948401329166871,0.12046939170248595,0.13825834246137553,0.18290317327570396,0.11720408585503815,0.149181323265219,0.12459054044638593,0.14371203154245932,0.2128564665337634,0.17550723590421483,0.1641407266476678,0.16170462939529437,0.18918801383581052,0.1375825425643083,0.13405683441285585,0.1591671857064149,0.1434340598003349,0.13171750331787638,0.17410193081341516,0.18202245219464902,0.16210760357089915,0.14364125440682005,0.16837756399749132,0.1701764345512003,0.08587171631724944,0.17850574881572348,0.18234405403156795,0.14743934302154094,0.14932607364935813,0.1399029312242421,0.14857318812477305,0.15680395594160246,0.21306599949550184,0.1605728299672304,0.1372386734961448,0.14981785389986296,0.1693107225732436,0.1570927649160686,0.15798862526790672,0.12366868744919673,0.12232539309901376,0.17207276391065576,0.1324232698335558,0.10859526337039296,0.09547097660861906,0.16251051509054895,0.16726431211207873,0.13553996211759467,0.12492447640929473,0.10838610788515673,0.15653853074982269,0.1424513543080715,0.1459354170574998,0.20100425592760535,0.1588386246470267,0.13754511985647355,0.16785673604067014,0.1435969327821857,0.15822982568531221,0.11855661678793979,0.1162396353388609,0.18457723161191925,0.16985917343490314,0.11564313980261547,0.15855441819181965,0.14473593221222616,0.14770845486263026,0.1327956204141573,0.13708956022439336,0.14974266894460916,0.13013768645450388,0.13216513716504186,0.15136127625573836,0.08755536343624379,0.2169949421526408,0.1719914072870006,0.1422389987819471,0.1574064152577261,0.16066239193328297,0.19259812041056673,0.18603751853861825,0.17077139589399737,0.16202631609597629,0.12155784825533172,0.13177456047310862,0.16041205716524615,0.15554975302939977,0.13320752977163683,0.15803472017417988,0.10816090582847347,0.1359202391436138,0.16122184657425515,0.15181750036132965,0.13170307586152932,0.18789984550487315,0.15869143351416595,0.13383727920817068,0.11007812662079332,0.16650863961242687,0.14085550663650082,0.1421917803830712,0.17102485678535895,0.19714040907582936,0.10375171906675919,0.10175078632179743,0.1624484317889999,0.11269876552415799,0.17257075136127548,0.12999063251382958,0.191070186075158,0.14961474400680216,0.12217190880204865
A15,0.2408024413159937,0.23105408089776633,0.16213511450257145,0.0,0.18853254520653337,0.2151029857714678,0.24405637296335264,0.212063171782623,0.198761582519777,0.2121599987405526,0.1872627813130806,0.22232321865648527,0.1926677215791604,0.21165701125536707,0.17407343039613551,0.17250397828906008,0.19526465586033684,0.20278977694210687,0.21755801584428047,0.1895373843881234,0.19966028911091757,0.24351555497252492,0.14047462087536866,0.23128647538686337,0.22659885879853353,0.2192228334028945,0.16018091664065745,0.18674406006644226,0.2271705684848779,0.1910719223324999,0.22180623692707163,0.20014288538961006,0.2079206825133746,0.22704156648179152,0.12163954864270865,0.1883252784935194,0.21163764036890229,0.17672241294599153,0.18303065527535314,0.23814003632826192,0.2303819343004709,0.20482267320516745,0.19669364975767242,0.14919373754988197,0.2024611479801554,0.20336649961823902,0.22437809390225688,0.17244927240117883,0.22694150269251478,0.2467018611552298,0.17533304763840318,0.19258286552807738,0.21514199125093655,0.17441688809897007,0.1625384304359546,0.2248928839129333,0.19896123495935436,0.21883367042274135,0.19400439075271778,0.19235753895686675,0.19579098426886243,0.23041049823748486,0.24578438537377892,0.2225508020063087,0.18653810624250375,0.2116162605335682,0.18054478250473363,0.20340075782858694,0.20584266359927442,0.1752882432767632,0.18585669692600496,0.2105368832191727,0.12755016285463533,0.1566893073129802,0.16785030338459406,0.17342670915595013,0.1956833535566351,0.23058469625406566,0.1910791552253904,0.13757087622255285,0.23050361282080314,0.21615744428740793,0.18149220281750486,0.20373571359227957,0.19943615235731196,0.1365484171539615,0.22778236715839642,0.1938002288165978,0.22153811555263309,0.20320955738631474,0.1566900044769318,0.23811933315488729,0.22321469818025555,0.1520672057727022,0.23365549610600156,0.22103816161960124,0.17964961999377313,0.15717625475597125,0.14727544359414632,0.21342489887140528,0.15904730770098535,0.15443267921390744,0.19203318127219243,0.1963846341087024,0.2795075410711851,0.14939228792928858,0.17717428548264436,0.19693262497465516,0.16939802551799138,0.19247851699278407,0.19950530819311124,0.18329425176815814,0.21026326699232056,0.17951847314381406,0.16089604564439228,0.19768314020128294,0.22638805180405636,0.13500895607524113,0.20591124222272503,0.1390482429189775,0.17640161519209377,0.1889255880726728,0.22382807660444112,0.18413786932208118,0.2386611314233034,0.2152712968146352,0.1821732999926338,0.1848180156615282,0.23554561116079675,0.18911416959493788,0.19500788463430346,0.20202610146553188,0.22021283387609955,0.15210872594764951,0.1984238109766627,0.20038173715717017,0.1454664487746362,0.18978390655124555,0.1534875826323053,0.2116722524830651,0.22661806981322383,0.1725826236144845
A19,0.13606149596540398,0.1810783798408717,0.14280563281903272,0.18853254520653337,0.0,0.15892203574348465,0.13583702366045802,0.13925222293138903,0.17585228411455814,0.15495063464739603,0.11581535709025538,0.12221338384752152,0.16468452478289017,0.16383904954575654,0.16705102344556888,0.16059453389119477,0.15849962522206312,0.1914555771971377,0.15632090890390413,0.13508737199731144,0.1372371228669468,0.1914775741852657,0.14060480299813283,0.17898933696534394,0.16184864025579188,0.21271967216817747,0.20025681601446998,0.14897477799964592,0.171219528037061,0.1975261416100699,0.21111207001668397,0.12764667171474228,0.1571908039328484,0.18071816210966535,0.1437987609936261,0.1551261824300111,0.12750647855079922,0.1948449583279267,0.2133312629899762,0.1986117153107179,0.17506636132036757,0.18306218068011323,0.21244884421891805,0.11826048659230858,0.1586986524524689,0.17336632620251213,0.16155296318455997,0.1652406362750169,0.15033478390522784,0.1585532020771476,0.14005292556132737,0.19990449013661923,0.18937369229437626,0.15057175477069995,0.1272166399303685,0.2206288618479531,0.18353943887180757,0.1673882239367732,0.1487261102097597,0.15178250536410948,0.15077399982116843,0.18549765617356864,0.22192484149269714,0.17026383051939775,0.1279165937407524,0.13468772048565678,0.1779669665121595,0.17303825959525415,0.18357397027749242,0.1360294093315186,0.12996235147472945,0.2120231753564627,0.1141946957450237,0.1283416582569172,0.1240980655928426,0.15839281762978588,0.12079596394274535,0.14254502310915512,0.12698751161497712,0.14264270108206215,0.2084896571873831,0.12496411438437155,0.1382754290540028,0.1909143039644613,0.21405287378464224,0.15895546257040633,0.14031750112087713,0.12347561163021777,0.144780666287533,0.1727781987474779,0.13580480435513306,0.21359895652583236,0.18023198054530376,0.13462296477486502,0.18647990713769075,0.15051414021085777,0.14929129505047867,0.1182082384248864,0.1307746732048964,0.12268457327936848,0.14767596688472065,0.08140450264121402,0.135526567897016,0.15082122747865045,0.2379823567729481,0.1449228142385821,0.13780308787636256,0.176337767786486,0.12783018038365596,0.15553611965919703,0.21343297636951003,0.2087581365496913,0.09768102709468487,0.1465489904571341,0.09976942412697953,0.15543941500530956,0.16109546156009616,0.19203756884376336,0.1973693764225222,0.14407814678396294,0.14891954505952174,0.1657400372433417,0.1485397846167268,0.12657497885312785,0.2189724084174228,0.12735452543136705,0.10257594039848365,0.13704951963336323,0.15163081798352404,0.14019347516409233,0.142317818020599,0.20221285969328925,0.21998266243939,0.1488574618707463,0.14748394896418732,0.12860969908238754,0.16013461687535727,0.18647059140683997,0.1147299021767171,0.2129829399511139,0.15805483002129211,0.16804415265925446
N18,0.18901949362511405,0.2113457933494269,0.14189591295382648,0.2151029857714678,0.15892203574348465,0.0,0.24137963227575826,0.16827706827569963,0.2012794691164914,0.1677147116931252,0.16834335965719277,0.17200228461968445,0.15212724766715954,0.15919926411607138,0.1522512248025725,0.18777393961370176,0.16683538135752005,0.17876366069233052,0.17356313914161398,0.17317172307036235,0.18585829514412835,0.22895237634849663,0.17071846290564857,0.1902805722691367,0.16925501001312657,0.2197577338075211,0.21141808628459927,0.1654607716165664,0.19198070563400302,0.19125220099066606,0.20949928512753593,0.15568742740203592,0.13275901646527455,0.2144490836067451,0.14691942323995266,0.1756404190983983,0.15779310863495638,0.19161276979901568,0.21643262135632932,0.2121596925139089,0.16904042893938737,0.18673601068541118,0.20105967112298706,0.19254501380636393,0.1708778739808735,0.19165074494195414,0.1683266811834215,0.1817826379121206,0.20616157654876302,0.18111787199422225,0.21442751604849586,0.16814432016569683,0.19938070638119712,0.1933126664039848,0.12919039065670607,0.18314677856161163,0.18369217511527453,0.17917419590128764,0.1976893456526228,0.17005147800561615,0.18181243923450316,0.19835098556391328,0.21067019418301086,0.17144623383091986,0.15921422929093426,0.19451774673148925,0.21227149391682504,0.19401048550495353,0.20862479733498657,0.15254290703322387,0.16109396478503868,0.20515966928129964,0.19995688699699363,0.16941405141826046,0.143102772758734,0.19970270814936875,0.18004113088943072,0.15767414891570075,0.1594399811647849,0.16876279800149596,0.17255989634664745,0.18695357485763395,0.18031131250538204,0.20468629283851297,0.18172443812913874,0.20312855117601608,0.20972869601201632,0.16412773654002305,0.19081876463890057,0.16938224111195718,0.18665357757131296,0.1708589111346235,0.19383238098777353,0.14922089253462636,0.17080893213837603,0.11438116498071835,0.16754042994181054,0.1831210425883573,0.1565444193801858,0.16928075792602185,0.18235341601538707,0.1573509698022301,0.16341059589514764,0.13671640144841668,0.2066145324425903,0.19042160160958096,0.19434071064554748,0.17945848234117978,0.18971150014207092,0.20470552451646948,0.2309675031038624,0.20528800310083217,0.1663449408912707,0.14762711542784765,0.19302789780987978,0.1976556956850517,0.15428261132669877,0.20180023112146808,0.20490881411251416,0.14247450199807374,0.1728846451088913,0.16712343676699024,0.1604493938570163,0.16238592387172868,0.21255081798897718,0.17328029648615145,0.17211586910951912,0.12711726995515865,0.17535703374582043,0.15963736004580759,0.17491612940868378,0.20389162217606754,0.20180352212832053,0.15592615997915818,0.14932613138643178,0.19027223658436726,0.18673316777915377,0.19510872982731556,0.17467304180317708,0.2077415033094908,0.19701694888079152,0.1645724029804399
F-048-C1A,0.19912844275892616,0.17589342415332127,0.20793175455491467,0.24405637296335264,0.13583702366045802,0.24137963227575826,0.0,0.20311069688603792,0.2277873717714842,0.20016840163133764,0.1844155999082251,0.17319835088083704,0.21620268118029137,0.20132836560859416,0.22707472257340058,0.23357143644809478,0.2051808355893368,0.2457586326873616,0.18726100568861762,0.19198374369810112,0.18312357840985083,0.23439444792861655,0.20181676237513288,0.2351645424083514,0.20463445202195757,0.22206629683105966,0.25068952934810523,0.21677695653838389,0.19699146055065758,0.24704287685286716,0.2010755631342445,0.20604108888041028,0.21458386537125754,0.2237984256355926,0.2248910025471327,0.20108712812281843,0.19195173693487888,0.24937201469935769,0.24075353357782459,0.2258129336384681,0.22906461708714018,0.23105977789115195,0.25591257639329107,0.19389615305135446,0.21597731258774713,0.2439409587118328,0.23021094127924258,0.2072956722949797,0.1854524321899259,0.22284664051317943,0.19979014442921011,0.2533679431249901,0.2449926601184945,0.2303317385362749,0.20159490621787948,0.26072835701451935,0.25447285825890253,0.20520492122632772,0.22555674349564794,0.20721871849241205,0.1945272069145585,0.23998861958568155,0.24844078029597966,0.22562941727071648,0.16067276365374242,0.18038996979269922,0.24810948989780088,0.22886373604979796,0.22248745470061637,0.215359289564161,0.1816259167837206,0.2292291254217337,0.19097652172784013,0.1949290252095016,0.20087553744382583,0.19421411759124513,0.1314870110160051,0.1944256447544522,0.18700065803260088,0.20146848278338875,0.2535488339277799,0.13412385017531406,0.19834934185446731,0.24188331607585797,0.2633148946561553,0.22461063025742045,0.20388774814118812,0.1908900958532759,0.2000284533449033,0.22984945887247138,0.1673844214033951,0.24840972733252747,0.2578212173480074,0.19529609444956708,0.2412806245827093,0.21624319055473123,0.20591731331050053,0.1895225592211693,0.1834178677318367,0.18712590759540107,0.2158896978313324,0.16099098315092153,0.2009076430715848,0.2153282742953821,0.2697009527344829,0.2172614839141327,0.20588191115143176,0.23791065852259874,0.2191141988514382,0.22527933344216938,0.26203034469668857,0.27119449312700583,0.17281700524665972,0.20952671479101903,0.16874871855352302,0.22104625607247924,0.2113364043906246,0.24338739370109247,0.2558163952629475,0.22905039010856934,0.20705180707658183,0.2006290317895694,0.19439041750980607,0.18326569608149249,0.26156492416402166,0.18836293927510053,0.16282872500462434,0.20236864943886454,0.195560687715585,0.22297387264357565,0.2046040237098258,0.2633118872793633,0.26001543511609676,0.2045456074662529,0.22447372059002157,0.17012703976139057,0.2295728648705964,0.22513342030319947,0.17095777394567407,0.26175202583619184,0.20813244677930334,0.2332066539251931
N09,0.16886397045186285,0.15354545482455756,0.15377141804372815,0.212063171782623,0.13925222293138903,0.16827706827569963,0.20311069688603792,0.0,0.14443348579765897,0.18212169383134627,0.16016554672198782,0.18833136273658937,0.15151578966070928,0.13047790710855484,0.16752347456984973,0.14923355499260713,0.1557932884581717,0.14159812758891727,0.13130081473221467,0.15582390597227602,0.1744933926056041,0.16014500939568488,0.15774832026233357,0.13728090028435125,0.13198764226918885,0.2288200884603638,0.21143583674438662,0.1342146866972373,0.18683796013932308,0.1668327591088953,0.16169529738274685,0.1380746795302652,0.14083275883618548,0.1708456218176463,0.14560361577180386,0.1509671561376418,0.1247024733603382,0.1930260844802511,0.2172920793357842,0.14917414547529656,0.1271422006583872,0.1570126375504105,0.18056510761696135,0.1548193765933437,0.15009343476338677,0.14074367900864593,0.14310555245236065,0.15652497804087018,0.20276249509784666,0.131805871847174,0.15048161848711644,0.15819488180083746,0.17145521896183313,0.15234748904273632,0.13894752139288294,0.20758166012424498,0.17048938633893584,0.18130903661692188,0.14366113988565252,0.13851551188287517,0.17597115654951667,0.17535497059511823,0.1711677901712915,0.18174563355531723,0.1421367368504776,0.1591720515245691,0.18825152228176964,0.14059611955542162,0.13916225680590286,0.15899719025099288,0.172634388455933,0.14950473246383014,0.15817888912436354,0.1546609460754431,0.12009387864813789,0.16797404206501446,0.16128493502875646,0.12461587428116945,0.1262589394502857,0.19112424107376122,0.16699665146395082,0.14132152917377555,0.13797430384608045,0.19743310966715652,0.1673350349508182,0.18138207378919133,0.15225325755312397,0.1663534944914896,0.16593508142860547,0.14618807309504217,0.16044550186920056,0.15868302928189812,0.16434948677090713,0.16352342988752597,0.13319356756466094,0.1670364971287291,0.1575144875414956,0.1613457680096048,0.1725060250589013,0.13265639934209428,0.13196087567524079,0.14837609864102547,0.13277931337669524,0.17184512947715794,0.2056527981111205,0.17750134551195326,0.14729732786329514,0.17263417524203087,0.1565130192350297,0.14676954618548935,0.22719644149131166,0.1773884794958555,0.17033306581601676,0.10233534450124772,0.16032321510926142,0.16103489090125087,0.1442324062789817,0.16821530970032517,0.18255460858228265,0.14346235751516148,0.15954291807497273,0.16028177526154022,0.1221570095027982,0.14623019335446458,0.19301277805639663,0.15214989785070404,0.1563683931960046,0.1441463671631935,0.1463371847016487,0.11113504072872958,0.15904830940997305,0.18644892197857021,0.16387566261826683,0.16742467093768218,0.13793299414689536,0.1501463836758575,0.15587124668257824,0.15223630729667226,0.18266600978760392,0.1979306979013032,0.13568477088473138,0.15732378276263667
F-050-C2U,0.21038290729876183,0.1948473946869219,0.165147285921966,0.198761582519777,0.17585228411455814,0.2012794691164914,0.2277873717714842,0.14443348579765897,0.0,0.1936860118055105,0.14828597053846929,0.1727236190933527,0.16133662811429572,0.15555053820186296,0.16955640322610627,0.14854791688881855,0.18147413330230608,0.16981191077195132,0.1650427472796456,0.15338522900526624,0.16634153245837874,0.16453530129555655,0.16954994332194406,0.14697719977345117,0.15837884446086845,0.21833337942313788,0.19073915218176285,0.15451298969767094,0.1954977142168358,0.16511235810046976,0.1839010140743334,0.17688922055832634,0.14517896582702847,0.1506586220126806,0.15183921146964655,0.171620076807475,0.15587832021776563,0.20312296204362928,0.2154088735398031,0.17867132133149397,0.1692879923943313,0.17262552674665085,0.15732314047453108,0.1657324200244992,0.16558570975207923,0.12702550542633392,0.16309148923736916,0.1721785747793492,0.20275070155970523,0.1837923604094228,0.16307939844915317,0.18175852588364058,0.13286791580053542,0.1665604282405062,0.17124794554922257,0.178064117967337,0.19912964357630858,0.18705617096961855,0.15861201684805218,0.16676449459958861,0.16258226098363707,0.1731275826972271,0.1990224799073991,0.18540392962967314,0.18243272276175795,0.17296077293538387,0.1665044750157452,0.12186321435166994,0.15534292901221045,0.17819644822743894,0.16822917630685563,0.19565055568176323,0.1874462137430899,0.1277359331037941,0.13020196555881927,0.13354240769664216,0.18904478536590014,0.15773377168252,0.14580903825983255,0.18124928530124812,0.18303061747344018,0.18330587713544774,0.1327545169813943,0.15415651822916224,0.16313339160079182,0.1604710126140382,0.18612256585705947,0.17353474649756212,0.19097631965465045,0.1549876758740933,0.1745257374511451,0.1842417390454444,0.17223095174508943,0.15422920376259136,0.1499981962055497,0.17546959499182183,0.13678497961200245,0.1675032161034965,0.18825530253183712,0.1558268120628894,0.1374883144941422,0.16430486459859286,0.14342511729209462,0.1741128086306086,0.2166969230710731,0.17377212301589753,0.1288519213850816,0.14614144562054512,0.1604728010552077,0.14839861284757014,0.20468817915503545,0.17276239708057742,0.17746016472462564,0.1370216954673313,0.17818116168138393,0.15423198184504025,0.16629967614245936,0.16630034618196013,0.19719330464036286,0.14130995324536033,0.15906723171900752,0.17765734383459317,0.16878186581409543,0.12955572984395364,0.18582871558810835,0.17285466616143447,0.16060154696585538,0.1596667777766684,0.15257988497644823,0.1319823016489179,0.14863226540132574,0.1661964522459145,0.17266911369237714,0.16296828110134734,0.16048595285786826,0.15120262824119526,0.15002708485169472,0.12693637468082658,0.17691519669775144,0.1794246249378293,0.16745376487989225,0.13351397314257518
F-003C1A,0.1427326284531531,0.2035343717312642,0.1791531763743718,0.2121599987405526,0.15495063464739603,0.1677147116931252,0.20016840163133764,0.18212169383134627,0.1936860118055105,0.0,0.13373006490075215,0.18073761426717846,0.17424889459666004,0.19759013433912628,0.1901661084946183,0.20388351973089658,0.1671393937087066,0.1906719259073334,0.17867664026564717,0.17661368402043665,0.14443160240430483,0.24324391657103397,0.16617590789582956,0.22993084173931042,0.18239936211656052,0.18242563184548086,0.2242527319114231,0.18895900241321903,0.16423741627190777,0.22871132520159723,0.24165604913820513,0.16480232973486378,0.16971198855149555,0.2103729335256541,0.17782232419260235,0.20166526120890807,0.16627648104559234,0.20028127720307642,0.2205392834884544,0.2169781755975303,0.1990130283190833,0.16684723964540943,0.20684670524144966,0.21567220707987875,0.21029221675505252,0.19226188918111614,0.17349688088971893,0.14745860047510645,0.13806716669931815,0.16915116243638983,0.1763770401965863,0.18572242176014253,0.19364831289183412,0.19574410150337848,0.16540153134613217,0.2030302010919274,0.22133177110901706,0.13942196783748015,0.21800275766734742,0.12443472705203618,0.18570829200389208,0.1824621252422048,0.24187969823280125,0.1571099414029715,0.1571254679982518,0.12973255893501281,0.20280314142728853,0.18754092138583248,0.18030070224058803,0.20785194607608526,0.14104480220007443,0.24328591919782042,0.19198090443115315,0.16863537500164555,0.1603753067730179,0.16374361811450214,0.1674459510197704,0.1476653195471446,0.14714555269940174,0.19043409143830417,0.21275457130800848,0.18034355577326489,0.1687336080905087,0.2440914132901411,0.21502606621749595,0.1917872789873067,0.15976515306238306,0.1081140288910092,0.1778127916830009,0.21910035749105075,0.2050062584947486,0.20974920553780532,0.2026871514831275,0.16380427933789704,0.2076097412942593,0.17307936794587886,0.15910586381373282,0.17150023235578865,0.17577221996462045,0.14227758164053328,0.1933815362175732,0.151212942479493,0.18562387362954821,0.1750159220826669,0.1969312413777292,0.1828976422044232,0.1855649121329828,0.18606296875370482,0.15959891699030151,0.2094169007531193,0.23488708370865255,0.1986396993945661,0.16083513999569787,0.16928839849679347,0.1536711975027539,0.21064744945683667,0.17404600635421827,0.19880672575573544,0.2083427107126832,0.1824187546965752,0.1573896418721418,0.15881737706420426,0.1826770097580503,0.15435979139980913,0.24625310163265574,0.1633855566344878,0.15151801781205917,0.1897016238301757,0.20363320614540117,0.17778784660685204,0.16692919870109177,0.20351781452274892,0.22371303674449503,0.15760392884970675,0.18319773282256832,0.20011359112988808,0.18505950536842528,0.19373784930972576,0.1597249090066364,0.23831846633468462,0.23305435852842127,0.19092581853708993
