,shannon,Dataset
DA10028,6.771109572479757,cdi_schubert
DA01380,6.718986631157978,cdi_schubert
DA10095,6.7312465556399115,cdi_schubert
DA10023,6.780982549321128,cdi_schubert
DA00735,6.7881394896407174,cdi_schubert
DA10091,6.55105216833251,cdi_schubert
FMT05,6.58433095589176,cdi_youngster
DA01203,6.68715811045681,cdi_schubert
DA10073,6.655660910613795,cdi_schubert
DA10134,6.736581278015767,cdi_schubert
FMT108,6.7657405719495,cdi_youngster
DA01556,6.660529602371265,cdi_schubert
GSVY1IH02.MID4.pool2-4,6.650305698400833,cdi_vincent_v3v5
DA10157,6.761217655498075,cdi_schubert
DA00897,6.783608061755788,cdi_schubert
FMT72,6.69803808874801,cdi_youngster
DA10047,6.650338602496862,cdi_schubert
DA01495,6.767424148989587,cdi_schubert
DA10124,6.7583488677494135,cdi_schubert
DA00600,6.691822897827252,cdi_schubert
DA00740,6.8346697418229745,cdi_schubert
FMT69,6.790359603671007,cdi_youngster
DA00778,6.711527491566893,cdi_schubert
DA10161,6.737052413305667,cdi_schubert
FMT17,6.634130510299547,cdi_youngster
DA00754,6.723120412153464,cdi_schubert
DA10121,6.758329095968933,cdi_schubert
FMT12A,6.713964956659679,cdi_youngster
DA10168,6.560757678254467,cdi_schubert
FMT85,6.677484032403352,cdi_youngster
GSVY1IH01.MID4.pool1-1,6.627157187578444,cdi_vincent_v3v5
GSVY1IH03.MID12.pool3-12,6.73002793360031,cdi_vincent_v3v5
DA10188,6.79292757471616,cdi_schubert
DA10096,6.578033575963793,cdi_schubert
GSVY1IH04.MID7.pool4-7,6.732179761912706,cdi_vincent_v3v5
DA01186,6.574504674293414,cdi_schubert
DA10117,6.57822996668465,cdi_schubert
DA10133,6.712347179732103,cdi_schubert
DA10164,6.628752526303457,cdi_schubert
GSVY1IH04.MID12.pool4-12,6.7617689375486645,cdi_vincent_v3v5
DA00815,6.637465097045752,cdi_schubert
DA10175,6.7708618123112325,cdi_schubert
DA10138,6.695339132324576,cdi_schubert
DA10026,6.709329247932432,cdi_schubert
DA10035,6.713465122026001,cdi_schubert
DA01030,6.719486589383531,cdi_schubert
DA00810,6.574056885062307,cdi_schubert
DA01161,6.662332329461386,cdi_schubert
DA01441,6.695265739863754,cdi_schubert
DA10009,6.729392120275234,cdi_schubert
DA01068,6.711935815421291,cdi_schubert
DA00283,6.769841697757139,cdi_schubert
