,shannon,Dataset
DA01388,6.919715405518755,cdi_schubert
FMT55,6.786506636295189,cdi_youngster
DA10095,6.854811258179314,cdi_schubert
DA10143,6.859592811085188,cdi_schubert
DA01119,6.868436623554241,cdi_schubert
GG349S005.MID13.1325,6.740457761281938,cdi_vincent_v3v5
DA10156,6.830012040800541,cdi_schubert
DA00228,6.9482265358768025,cdi_schubert
DA01190,6.908544407847238,cdi_schubert
DA10061,6.881693485628449,cdi_schubert
DA10137,6.862486247717621,cdi_schubert
FMT71,6.810516431813955,cdi_youngster
DA00949,6.862814346797631,cdi_schubert
DA00904,6.894726819740807,cdi_schubert
DA10054,6.796632533399115,cdi_schubert
DA10166,6.811611695313448,cdi_schubert
DA00563,6.911725560454654,cdi_schubert
DA01030,6.907155404326324,cdi_schubert
DA10151,6.86681088965491,cdi_schubert
FMT31,6.755770879900012,cdi_youngster
FMT72,6.86562929679698,cdi_youngster
FMT85,6.845130724147373,cdi_youngster
GSVY1IH02.MID2.pool2-2,6.899114508647155,cdi_vincent_v3v5
GSVY1IH03.MID3.pool3-3,6.908513183792506,cdi_vincent_v3v5
DA10109,6.850537290028155,cdi_schubert
DA00988,6.945169480218132,cdi_schubert
DA10121,6.834754858512467,cdi_schubert
DA10076,6.844328688901742,cdi_schubert
DA10075,6.902909101403799,cdi_schubert
FMT19A,6.797118412575607,cdi_youngster
FMT84,6.735618247368709,cdi_youngster
DA10173,6.855236306389202,cdi_schubert
FMT100,6.802563943127239,cdi_youngster
DA00861,6.8986294555864385,cdi_schubert
DA01588,6.891842999871025,cdi_schubert
DA10019,6.841279011292959,cdi_schubert
DA10083,6.876096611772875,cdi_schubert
DA10150,6.8511929947304155,cdi_schubert
DA01040,6.910187192032652,cdi_schubert
DA00638,6.9192829633418125,cdi_schubert
GSVY1IH03.MID11.pool3-11,6.890870929971464,cdi_vincent_v3v5
DA00896,6.900522885862351,cdi_schubert
FMT29,6.736069786005859,cdi_youngster
DA10082,6.821218366515206,cdi_schubert
DA00044,6.938150166447238,cdi_schubert
FMT21A,6.906653901917129,cdi_youngster
DA00997,6.873829595902725,cdi_schubert
DA00268,6.952077027250704,cdi_schubert
DA00165,6.861849198939639,cdi_schubert
DA01193,6.8562424978797765,cdi_schubert
FMT102,6.829952224889922,cdi_youngster
FMT34,6.812505803774985,cdi_youngster
DA00720,6.91337248953719,cdi_schubert
DA01563,6.892464140824168,cdi_schubert
DA10066,6.8541470842119985,cdi_schubert
DA10085,6.822546314019764,cdi_schubert
DA01024,6.871269123409834,cdi_schubert
DA00382,6.904231531776281,cdi_schubert
DA10094,6.85392696514826,cdi_schubert
DA10047,6.827191052205694,cdi_schubert
DA10175,6.864239306505899,cdi_schubert
DA10017,6.865862332469285,cdi_schubert
DA10157,6.859138557341827,cdi_schubert
DA00210,6.892789156213771,cdi_schubert
GSVY1IH03.MID12.pool3-12,6.8647228800644,cdi_vincent_v3v5
FMT101,6.864673235246485,cdi_youngster
DA01109,6.947912411392611,cdi_schubert
DA01482,6.837265544991539,cdi_schubert
DA00678,6.88902988728554,cdi_schubert
FMT82,6.852931998745965,cdi_youngster
DA00755,6.878053201781599,cdi_schubert
DA01501,6.8603556372460694,cdi_schubert
DA10073,6.860750318879101,cdi_schubert
DA10023,6.7926754571341394,cdi_schubert
FMT49,6.741134472217133,cdi_youngster
DA10055,6.847387270017324,cdi_schubert
FMT4A,6.834686835485208,cdi_youngster
DA10176,6.84530480303192,cdi_schubert
GSVY1IH04.MID2.pool4-2,6.836249353239158,cdi_vincent_v3v5
DA10053,6.8054384851447685,cdi_schubert
DA10159,6.844093266158963,cdi_schubert
DA01071,6.857610272126815,cdi_schubert
GSVY1IH01.MID5.pool1-5,6.840246664050485,cdi_vincent_v3v5
DA10155,6.857599382592088,cdi_schubert
DA01320,6.888383941628281,cdi_schubert
FMT106,6.814477849629203,cdi_youngster
DA00318,6.8261366942291355,cdi_schubert
DA10008,6.812494579886522,cdi_schubert
FMT58,6.924169528209235,cdi_youngster
GSVY1IH03.MID8.pool3-8,6.832219668992321,cdi_vincent_v3v5
DA10101,6.869934584963591,cdi_schubert
DA00283,6.917513531234235,cdi_schubert
DA01571,6.852713701599035,cdi_schubert
DA10067,6.818259810297374,cdi_schubert
FMT81,6.743484843374008,cdi_youngster
FMT14A,6.793784367017469,cdi_youngster
DA00381,6.896259584548138,cdi_schubert
DA10035,6.8636641917778665,cdi_schubert
GSVY1IH02.MID10.pool2-1,6.861257576240274,cdi_vincent_v3v5
DA10162,6.851145485999477,cdi_schubert
FMT04,6.869751300896899,cdi_youngster
DA10034,6.829066125858445,cdi_schubert
FMT78,6.9177396642833395,cdi_youngster
FMT22,6.7217307381224805,cdi_youngster
DA00953,6.817765126412796,cdi_schubert
DA00397,6.880280104323852,cdi_schubert
FMT77,6.808996458130969,cdi_youngster
DA00600,6.923539307037956,cdi_schubert
FMT28,6.775101229241521,cdi_youngster
DA01270,6.862748008291835,cdi_schubert
DA10016,6.852226222674671,cdi_schubert
FMT44,6.78951815039449,cdi_youngster
DA10003,6.824102936521964,cdi_schubert
DA10077,6.806756560922742,cdi_schubert
DA10027,6.884370695463741,cdi_schubert
FMT03,6.826650363064722,cdi_youngster
FMT10A,6.872108914278661,cdi_youngster
DA10049,6.816686799163866,cdi_schubert
DA10062,6.861969557900018,cdi_schubert
DA10146,6.847607202702495,cdi_schubert
DA00947,6.90166206483539,cdi_schubert
FMT109,6.83370175829726,cdi_youngster
FMT11,6.697542679432345,cdi_youngster
DA01467,6.838899495941487,cdi_schubert
FMT69,6.814402230876879,cdi_youngster
FMT6A,6.773573591205173,cdi_youngster
DA00470,6.9206056394793904,cdi_schubert
GSVY1IH04.MID7.pool4-1,6.916436657742454,cdi_vincent_v3v5
FMT13A,6.869303166540306,cdi_youngster
DA10036,6.817873306167072,cdi_schubert
DA10161,6.844207536438182,cdi_schubert
FMT95,6.8439395083828245,cdi_youngster
DA00556,6.8944874057281265,cdi_schubert
DA10181,6.797282645176347,cdi_schubert
DA10048,6.838608922557849,cdi_schubert
DA10070,6.852588264433259,cdi_schubert
DA00236,6.896781092335301,cdi_schubert
DA10117,6.849288515513865,cdi_schubert
DA10006,6.835535163462017,cdi_schubert
DA10149,6.86896187439559,cdi_schubert
DA00006,6.934863445610975,cdi_schubert
DA01255,6.862381377582858,cdi_schubert
GG349S003.MID13.1322,6.740982235027504,cdi_vincent_v3v5
FMT12,6.697857081667485,cdi_youngster
FMT18,6.879472250747489,cdi_youngster
DA10009,6.877037129804603,cdi_schubert
DA10026,6.8357654206407945,cdi_schubert
FMT2A,6.8319881655883155,cdi_youngster
DA10160,6.874771660990115,cdi_schubert
FMT35,6.864121208451635,cdi_youngster
DA00691,6.9034275470049025,cdi_schubert
DA01203,6.865648371317051,cdi_schubert
DA10123,6.831249565419615,cdi_schubert
DA00491,6.875481353181729,cdi_schubert
DA10007,6.897697238690284,cdi_schubert
FMT74,6.798621177957624,cdi_youngster
GSVY1IH01.MID2.pool1-2,6.862171338023896,cdi_vincent_v3v5
DA01134,6.844854445748227,cdi_schubert
DA01146,6.887982199985249,cdi_schubert
DA00375,6.957351932717307,cdi_schubert
DA10169,6.884305174753682,cdi_schubert
DA10114,6.829789791615507,cdi_schubert
DA10106,6.832248974832539,cdi_schubert
FMT13,6.735499526300635,cdi_youngster
DA01044,6.873282384643359,cdi_schubert
