,shannon,Dataset
DA10028,6.946056547586728,cdi_schubert
DA01380,6.936608115746723,cdi_schubert
DA10095,6.943171529744857,cdi_schubert
DA10023,6.947075971647768,cdi_schubert
DA00735,6.964718671433291,cdi_schubert
DA10091,6.948827678710552,cdi_schubert
FMT05,6.915565196026788,cdi_youngster
DA01203,6.955947534608849,cdi_schubert
DA10073,6.932441267191173,cdi_schubert
DA10134,6.9200724314516044,cdi_schubert
FMT108,6.668629866313935,cdi_youngster
DA01556,6.952310717791092,cdi_schubert
GSVY1IH02.MID4.pool2-4,6.960494988931688,cdi_vincent_v3v5
DA10157,6.932172146553677,cdi_schubert
DA00897,6.912736023946766,cdi_schubert
FMT72,6.949218369802867,cdi_youngster
DA10047,6.94622104674858,cdi_schubert
DA01495,6.947531711396805,cdi_schubert
DA10124,6.928639763036693,cdi_schubert
DA00600,6.928288511342933,cdi_schubert
DA00740,6.964633184580051,cdi_schubert
FMT69,6.905692766770129,cdi_youngster
DA00778,6.952746667038952,cdi_schubert
DA10161,6.935418958427995,cdi_schubert
FMT17,6.858232978133278,cdi_youngster
DA00754,6.974100239117818,cdi_schubert
DA10121,6.943856218289878,cdi_schubert
FMT12A,6.945285884294423,cdi_youngster
DA10168,6.946060562431548,cdi_schubert
FMT85,6.939342445321046,cdi_youngster
GSVY1IH01.MID4.pool1-1,6.958773041988929,cdi_vincent_v3v5
GSVY1IH03.MID12.pool3-12,6.957321414081894,cdi_vincent_v3v5
DA10188,6.951041038533064,cdi_schubert
DA10096,6.935489585966295,cdi_schubert
GSVY1IH04.MID7.pool4-7,6.95286290666616,cdi_vincent_v3v5
DA01186,6.975338303393389,cdi_schubert
DA10117,6.9531469308671925,cdi_schubert
DA10133,6.913740594497146,cdi_schubert
DA10164,6.8737295530687765,cdi_schubert
GSVY1IH04.MID12.pool4-12,6.956629519037987,cdi_vincent_v3v5
DA00815,6.956974218256717,cdi_schubert
DA10175,6.960686791599611,cdi_schubert
DA10138,6.959698573984076,cdi_schubert
DA10026,6.896046635942906,cdi_schubert
DA10035,6.950214062131063,cdi_schubert
DA01030,6.9379049406749695,cdi_schubert
DA00810,6.972706632299353,cdi_schubert
DA01161,6.928818576267544,cdi_schubert
DA01441,6.940900766385405,cdi_schubert
DA10009,6.96017713063646,cdi_schubert
DA01068,6.95363914313619,cdi_schubert
DA00283,6.9644244293222,cdi_schubert
FMT82,6.931048217641257,cdi_youngster
DA10057,6.929740995529357,cdi_schubert
DA00949,6.950974020607811,cdi_schubert
DA00638,6.950787112164155,cdi_schubert
DA10187,6.925976881146086,cdi_schubert
FMT75,6.897075312097462,cdi_youngster
DA00381,6.9592104150897605,cdi_schubert
DA10048,6.930371481816753,cdi_schubert
FMT71,6.941309539106677,cdi_youngster
DA01381,6.928700705550102,cdi_schubert
DA01267,6.94687107869974,cdi_schubert
DA00236,6.959886963885139,cdi_schubert
DA00953,6.951048409595224,cdi_schubert
DA10107,6.925739242340111,cdi_schubert
DA00904,6.946809762657266,cdi_schubert
DA00430,6.94843990355271,cdi_schubert
FMT41,6.837670639378782,cdi_youngster
FMT88,6.894678878758499,cdi_youngster
DA10058,6.953035352362137,cdi_schubert
GSVY1IH03.MID4.pool3-4,6.962743294790341,cdi_vincent_v3v5
DA01119,6.922062877410187,cdi_schubert
DA01213,6.936136067408493,cdi_schubert
DA10165,6.894009799279835,cdi_schubert
DA00619,6.946631311068231,cdi_schubert
DA00065,6.94592408361485,cdi_schubert
FMT51,6.830766893295127,cdi_youngster
DA10155,6.915712457752682,cdi_schubert
DA00885,6.937186114857192,cdi_schubert
DA10061,6.926870874562048,cdi_schubert
DA10116,6.9193685442076545,cdi_schubert
FMT37,6.855396451231802,cdi_youngster
FMT04,6.9716536979750146,cdi_youngster
GSVY1IH01.MID4.pool1-4,6.946609484600634,cdi_vincent_v3v5
DA01044,6.931144525293778,cdi_schubert
DA00592,6.96685315730883,cdi_schubert
DA01041,6.955172734529904,cdi_schubert
DA10012,6.928353776524567,cdi_schubert
DA00210,6.9674865932151135,cdi_schubert
DA10092,6.934352282742539,cdi_schubert
DA10186,6.888328163665507,cdi_schubert
FMT33,6.891820127512771,cdi_youngster
DA00498,6.969843804481562,cdi_schubert
DA01588,6.944350965549886,cdi_schubert
DA10011,6.952177403553251,cdi_schubert
DA01555,6.914674830145739,cdi_schubert
FMT101,6.856252194837472,cdi_youngster
DA01210,6.961377053226316,cdi_schubert
FMT14,6.786274120474068,cdi_youngster
DA00861,6.963996080387066,cdi_schubert
DA00632,6.954935008487565,cdi_schubert
DA10024,6.911092340649838,cdi_schubert
DA10053,6.927715809317165,cdi_schubert
DA10169,6.892668484483831,cdi_schubert
GG349S008.MID13.1328,6.925229003131437,cdi_vincent_v3v5
DA00375,6.971148405876763,cdi_schubert
FMT16,6.900294367771612,cdi_youngster
DA10090,6.949433860827422,cdi_schubert
FMT109,6.949813938894969,cdi_youngster
DA00280,6.957854191535475,cdi_schubert
DA10033,6.926137637285074,cdi_schubert
DA01167,6.951406593107461,cdi_schubert
DA10167,6.914772355875905,cdi_schubert
GSVY1IH01.MID12.pool1-12,6.964318923272918,cdi_vincent_v3v5
DA00659,6.9565946779859225,cdi_schubert
DA00382,6.9584226540774425,cdi_schubert
FMT5A,6.930447485126018,cdi_youngster
GG349S004.MID13.1323,6.809570900906903,cdi_vincent_v3v5
FMT4A,6.962688867669728,cdi_youngster
DA10069,6.951893726771062,cdi_schubert
DA10177,6.942319709218148,cdi_schubert
DA10094,6.950013222252201,cdi_schubert
DA00318,6.900803359434363,cdi_schubert
DA10172,6.948663523479949,cdi_schubert
DA00755,6.952033901242931,cdi_schubert
GG349S001.MID13.1320,6.648573450616255,cdi_vincent_v3v5
FMT59,6.932004743481734,cdi_youngster
DA10183,6.9448771450721365,cdi_schubert
DA00578,6.957681572769715,cdi_schubert
DA00603,6.946589867636265,cdi_schubert
GSVY1IH03.MID2.pool3-2,6.969649003256835,cdi_vincent_v3v5
GSVY1IH03.MID7.pool3-7,6.955980593563728,cdi_vincent_v3v5
