,shannon,Dataset
DA10028,6.928937020355976,cdi_schubert
DA01380,6.914174124267944,cdi_schubert
DA10095,6.92345432433775,cdi_schubert
DA10023,6.9354628083352035,cdi_schubert
DA00735,6.955498744268771,cdi_schubert
DA10091,6.931790620117076,cdi_schubert
FMT05,6.890965699851081,cdi_youngster
DA01203,6.941919230246101,cdi_schubert
DA10073,6.90813264447781,cdi_schubert
DA10134,6.8905332725990345,cdi_schubert
FMT108,6.5588463680397115,cdi_youngster
DA01556,6.935843310305592,cdi_schubert
GSVY1IH02.MID4.pool2-4,6.950665196007424,cdi_vincent_v3v5
DA10157,6.907712964827209,cdi_schubert
DA00897,6.9011572027341535,cdi_schubert
FMT72,6.899238609427877,cdi_youngster
DA10047,6.927532235100417,cdi_schubert
DA01495,6.930900154104274,cdi_schubert
DA10124,6.902831632756229,cdi_schubert
DA00600,6.9020335197645055,cdi_schubert
DA00740,6.957498618369703,cdi_schubert
FMT69,6.881589157733774,cdi_youngster
DA00778,6.937546731944574,cdi_schubert
DA10161,6.912485270130975,cdi_schubert
FMT17,6.797193373888097,cdi_youngster
DA00754,6.9716881435524805,cdi_schubert
DA10121,6.9243173179010835,cdi_schubert
FMT12A,6.95415264473988,cdi_youngster
DA10168,6.927799086399649,cdi_schubert
FMT85,6.917913702728991,cdi_youngster
GSVY1IH01.MID4.pool1-1,6.948510722472774,cdi_vincent_v3v5
GSVY1IH03.MID12.pool3-12,6.9484815871541805,cdi_vincent_v3v5
DA10188,6.940448634081762,cdi_schubert
DA10096,6.912079968553149,cdi_schubert
GSVY1IH04.MID7.pool4-7,6.939670982812627,cdi_vincent_v3v5
DA01186,6.974044996973867,cdi_schubert
DA10117,6.933595032895801,cdi_schubert
DA10133,6.881687254530911,cdi_schubert
DA10164,6.825939092081277,cdi_schubert
GSVY1IH04.MID12.pool4-12,6.950695098944794,cdi_vincent_v3v5
DA00815,6.943899636197035,cdi_schubert
DA10175,6.949092301254402,cdi_schubert
DA10138,6.947476265458276,cdi_schubert
DA10026,6.856902122050242,cdi_schubert
DA10035,6.933567952944201,cdi_schubert
DA01030,6.915986096424522,cdi_schubert
DA00810,6.9702599048409235,cdi_schubert
DA01161,6.906143539548248,cdi_schubert
DA01441,6.924992142731989,cdi_schubert
DA10009,6.948578370641521,cdi_schubert
DA01068,6.898133039953641,cdi_schubert
DA00283,6.9550600510863765,cdi_schubert
FMT82,6.90735073184704,cdi_youngster
DA10057,6.9040090382232195,cdi_schubert
DA00949,6.903943378370174,cdi_schubert
DA00638,6.934957953113681,cdi_schubert
DA10187,6.899054541526733,cdi_schubert
FMT75,6.870039679417339,cdi_youngster
DA00381,6.916611512118031,cdi_schubert
DA10048,6.905207371897137,cdi_schubert
FMT71,6.910088090051,cdi_youngster
DA01381,6.906307269942915,cdi_schubert
DA01267,6.930116291442954,cdi_schubert
DA00236,6.948086287784869,cdi_schubert
DA00953,6.934737170647648,cdi_schubert
DA10107,6.898641030746456,cdi_schubert
DA00904,6.932503169589692,cdi_schubert
DA00430,6.931205316020318,cdi_schubert
FMT41,6.780900014271706,cdi_youngster
FMT88,6.856777653952621,cdi_youngster
DA10058,6.937976560142309,cdi_schubert
GSVY1IH03.MID4.pool3-4,6.942179151905047,cdi_vincent_v3v5
DA01119,6.893108981813465,cdi_schubert
DA01213,6.916022225312629,cdi_schubert
DA10165,6.853734697697121,cdi_schubert
DA00619,6.928241329147074,cdi_schubert
DA00065,6.92744064493135,cdi_schubert
FMT51,6.769212671343513,cdi_youngster
DA10155,6.8847462795899705,cdi_schubert
DA00885,6.918870001016662,cdi_schubert
DA10061,6.900399148085071,cdi_schubert
DA10116,6.889412878811129,cdi_schubert
FMT37,6.775784744288794,cdi_youngster
FMT04,6.968404724153893,cdi_youngster
GSVY1IH01.MID4.pool1-4,6.928023487136054,cdi_vincent_v3v5
DA01044,6.909437284714404,cdi_schubert
DA00592,6.960310746314511,cdi_schubert
DA01041,6.9433092111883665,cdi_schubert
DA10012,6.902664162003398,cdi_schubert
DA00210,6.961448948641417,cdi_schubert
DA10092,6.910501849543368,cdi_schubert
DA10186,6.846364304873672,cdi_schubert
FMT33,6.8500151043269355,cdi_youngster
DA00498,6.965066966357561,cdi_schubert
DA01588,6.926490575645821,cdi_schubert
DA10011,6.936368793683285,cdi_schubert
DA01555,6.886506650960024,cdi_schubert
FMT101,6.801177553590452,cdi_youngster
DA01210,6.952702178231689,cdi_schubert
FMT14,6.679656542245689,cdi_youngster
DA00861,6.968224392237934,cdi_schubert
DA00632,6.940616003879795,cdi_schubert
DA10024,6.877568897815503,cdi_schubert
DA10053,6.90137238853141,cdi_schubert
DA10169,6.8517733586812986,cdi_schubert
GG349S008.MID13.1328,6.890641592173663,cdi_vincent_v3v5
DA00375,6.967757508237491,cdi_schubert
FMT16,6.8521189251983,cdi_youngster
DA10090,6.937311258870323,cdi_schubert
FMT109,6.948017578815497,cdi_youngster
DA00280,6.945102489334623,cdi_schubert
DA10033,6.8993906767426845,cdi_schubert
DA01167,6.938232506693116,cdi_schubert
DA10167,6.883204805982633,cdi_schubert
GSVY1IH01.MID12.pool1-12,6.944229721674425,cdi_vincent_v3v5
DA00659,6.943319082930447,cdi_schubert
DA00382,6.945786591337389,cdi_schubert
FMT5A,6.913881273301852,cdi_youngster
GG349S004.MID13.1323,6.741883726334965,cdi_vincent_v3v5
FMT4A,6.952909811451037,cdi_youngster
DA10069,6.936089382755959,cdi_schubert
DA10177,6.922136261873511,cdi_schubert
DA10094,6.933302829544185,cdi_schubert
DA00318,6.864394462980866,cdi_schubert
DA10172,6.931510984216142,cdi_schubert
DA00755,6.936555370234409,cdi_schubert
GG349S001.MID13.1320,6.530174650551221,cdi_vincent_v3v5
FMT59,6.912601754439692,cdi_youngster
DA10183,6.925543444539198,cdi_schubert
DA00578,6.946398422968184,cdi_schubert
DA00603,6.9333985276863865,cdi_schubert
GSVY1IH03.MID2.pool3-2,6.964422658134653,cdi_vincent_v3v5
GSVY1IH03.MID7.pool3-7,6.944064874005623,cdi_vincent_v3v5
FMT53,6.879138531542764,cdi_youngster
DA10152,6.8896472648466895,cdi_schubert
DA10162,6.908050181210542,cdi_schubert
DA00431,6.960183138906921,cdi_schubert
FMT6A,6.944416541453455,cdi_youngster
DA10029,6.925567897933988,cdi_schubert
FMT18,6.945767693480169,cdi_youngster
DA00397,6.927755787716215,cdi_schubert
DA00461,6.966073618127333,cdi_schubert
DA01501,6.9475476398059035,cdi_schubert
DA10109,6.921180482894099,cdi_schubert
GSVY1IH02.MID7.pool2-7,6.940315387926515,cdi_vincent_v3v5
DA10068,6.670817121790483,cdi_schubert
DA00675,6.93156133513479,cdi_schubert
DA00874,6.90548482099891,cdi_schubert
DA00927,6.911254819586718,cdi_schubert
GSVY1IH03.MID11.pool3-11,6.952577662154428,cdi_vincent_v3v5
DA01291,6.926973042125269,cdi_schubert
DA00850,6.9256705937869025,cdi_schubert
FMT21,6.800586323411088,cdi_youngster
DA10055,6.9240675923763595,cdi_schubert
DA00383,6.935387343605639,cdi_schubert
DA01073,6.905807549261031,cdi_schubert
DA10045,6.95188442992132,cdi_schubert
DA10085,6.933289231725972,cdi_schubert
DA01324,6.918800884558729,cdi_schubert
DA10101,6.911752922438524,cdi_schubert
DA00955,6.902299426147661,cdi_schubert
DA10114,6.899361538522326,cdi_schubert
DA10083,6.889466047790748,cdi_schubert
FMT50,6.855302726055178,cdi_youngster
DA10040,6.918249013787927,cdi_schubert
DA01076,6.936769604621417,cdi_schubert
FMT27,6.843202011923598,cdi_youngster
DA10149,6.919195316529499,cdi_schubert
DA10143,6.869447047120007,cdi_schubert
DA10017,6.906430599377565,cdi_schubert
DA10049,6.919354395253536,cdi_schubert
DA10130,6.880529244854108,cdi_schubert
DA10054,6.923263404977344,cdi_schubert
GSVY1IH01.MID2.pool1-2,6.954326899875596,cdi_vincent_v3v5
DA10002,6.899902750913559,cdi_schubert
DA01468,6.8932265814851705,cdi_schubert
DA10176,6.931486521769978,cdi_schubert
DA01482,6.90280020986418,cdi_schubert
DA10050,6.877351896114608,cdi_schubert
GSVY1IH04.MID11.pool4-11,6.957637639562822,cdi_vincent_v3v5
DA00912,6.909230586787793,cdi_schubert
DA00502,6.952737325259889,cdi_schubert
FMT2A,6.939541498343926,cdi_youngster
DA01005,6.906425233745448,cdi_schubert
DA00988,6.907756970414728,cdi_schubert
DA10039,6.9355713852596885,cdi_schubert
DA00621,6.95667179740374,cdi_schubert
DA10125,6.926975403940923,cdi_schubert
FMT100,6.928544958529163,cdi_youngster
FMT99,6.8314620994126045,cdi_youngster
DA01157,6.919430626175277,cdi_schubert
FMT106,6.877916958272664,cdi_youngster
DA01227,6.919116299513395,cdi_schubert
GG349S007.MID13.1327,6.778980165583107,cdi_vincent_v3v5
GSVY1IH02.MID9.pool2-9,6.95606033648942,cdi_vincent_v3v5
DA10146,6.932377491302226,cdi_schubert
DA10173,6.9539254855090675,cdi_schubert
DA00918,6.88341750756521,cdi_schubert
DA01571,6.909352979985511,cdi_schubert
DA01211,6.9092343367860884,cdi_schubert
DA01024,6.920971576983109,cdi_schubert
DA10077,6.932210780895447,cdi_schubert
DA00006,6.929498822899087,cdi_schubert
DA10016,6.883179322998676,cdi_schubert
FMT39,6.727674032204013,cdi_youngster
FMT84,6.847375131369586,cdi_youngster
GSVY1IH02.MID8.pool2-8,6.940104044777762,cdi_vincent_v3v5
GG349S003.MID13.1322,6.842363480853854,cdi_vincent_v3v5
DA01384,6.941787020306735,cdi_schubert
DA10066,6.8518350681248705,cdi_schubert
FMT66,6.88075537174537,cdi_youngster
FMT20,6.934137738961124,cdi_youngster
DA00962,6.922178703752946,cdi_schubert
FMT96,6.89924909858352,cdi_youngster
DA10131,6.8759440014312805,cdi_schubert
DA00898,6.9611956092299,cdi_schubert
DA01089,6.866920966558562,cdi_schubert
FMT23,6.66943217338504,cdi_youngster
DA10151,6.87402030261733,cdi_schubert
FMT19A,6.847648657909477,cdi_youngster
DA01311,6.939034514265623,cdi_schubert
DA00721,6.9195824969947095,cdi_schubert
DA10098,6.9347696267421215,cdi_schubert
DA01106,6.915019332431811,cdi_schubert
DA01071,6.921340946242257,cdi_schubert
FMT31,6.841648410573302,cdi_youngster
GSVY1IH04.MID9.pool4-9,6.942972252331311,cdi_vincent_v3v5
FMT93,6.859489830910154,cdi_youngster
DA10081,6.919375272971898,cdi_schubert
DA10112,6.923793886823281,cdi_schubert
FMT62,6.8966052880244915,cdi_youngster
FMT13A,6.919293911605954,cdi_youngster
DA10145,6.941014716977108,cdi_schubert
DA00565,6.933010833306658,cdi_schubert
FMT34,6.920500584932091,cdi_youngster
DA00896,6.933511982306764,cdi_schubert
GSVY1IH04.MID7.pool4-1,6.94292281484882,cdi_vincent_v3v5
DA01259,6.863112418383173,cdi_schubert
DA10097,6.920586169516488,cdi_schubert
DA00556,6.947299240011193,cdi_schubert
DA00268,6.9366492070214045,cdi_schubert
DA01333,6.885666504213227,cdi_schubert
DA10147,6.920678778010112,cdi_schubert
GSVY1IH04.MID4.pool4-4,6.936251058571073,cdi_vincent_v3v5
DA00228,6.951724509245191,cdi_schubert
DA10182,6.872431966681942,cdi_schubert
FMT95,6.903865862466911,cdi_youngster
DA00470,6.953547502102621,cdi_schubert
DA00779,6.969032182659898,cdi_schubert
FMT23A,6.862559233437693,cdi_youngster
GSVY1IH04.MID8.pool4-8,6.959610906056699,cdi_vincent_v3v5
DA00908,6.950550812313494,cdi_schubert
