,shannon,Dataset
DA01089,4.883396622187944,cdi_schubert
DA00687,4.8938906237332915,cdi_schubert
DA10065,4.901196960686348,cdi_schubert
DA10143,4.877294119460436,cdi_schubert
DA00592,4.901660042768515,cdi_schubert
DA00962,4.902409971571061,cdi_schubert
DA00170,4.906004066021853,cdi_schubert
DA00228,4.8936986115879,cdi_schubert
DA10030,4.876569668912487,cdi_schubert
DA10101,4.890075798739954,cdi_schubert
DA10041,4.893061621357381,cdi_schubert
DA10033,4.886589067411901,cdi_schubert
DA10184,4.878569554317776,cdi_schubert
FMT20,4.899326493686024,cdi_youngster
FMT41,4.857929635658551,cdi_youngster
DA00578,4.892981995871719,cdi_schubert
DA00381,4.899273083676027,cdi_schubert
DA00721,4.901669265295273,cdi_schubert
DA10094,4.905854699857343,cdi_schubert
DA10121,4.904135099123447,cdi_schubert
GSVY1IH01.MID5.pool1-5,4.90186404973728,cdi_vincent_v3v5
FMT22,4.831455234677119,cdi_youngster
DA00491,4.903591056302852,cdi_schubert
DA01026,4.895456160884182,cdi_schubert
DA00382,4.905036374010186,cdi_schubert
FMT1A,4.861611706034893,cdi_youngster
DA10112,4.903586369609573,cdi_schubert
DA10123,4.889974064310388,cdi_schubert
DA10114,4.886848051455929,cdi_schubert
FMT30,4.872106169006223,cdi_youngster
DA10070,4.879829171671529,cdi_schubert
DA10067,4.8812041957338,cdi_schubert
DA10012,4.8882331854937275,cdi_schubert
GSVY1IH04.MID9.pool4-9,4.8971304164323906,cdi_vincent_v3v5
FMT43,4.8573464484741224,cdi_youngster
DA10016,4.88178767919848,cdi_schubert
DA00658,4.905790695877015,cdi_schubert
FMT56,4.900436862377763,cdi_youngster
DA00812,4.9044294781579305,cdi_schubert
GSVY1IH03.MID3.pool3-3,4.891049619921399,cdi_vincent_v3v5
DA01291,4.895829177832837,cdi_schubert
DA01129,4.881865761879334,cdi_schubert
DA01324,4.893300108537733,cdi_schubert
DA01333,4.861379454769513,cdi_schubert
DA01134,4.895959056402546,cdi_schubert
FMT62,4.894701046189541,cdi_youngster
DA10038,4.875837821928003,cdi_schubert
DA00818,4.889250405767979,cdi_schubert
FMT49,4.860885456422951,cdi_youngster
FMT32,4.728829285474035,cdi_youngster
GG349S001.MID13.1320,4.804711931209087,cdi_vincent_v3v5
DA10169,4.8710172163625,cdi_schubert
DA01380,4.890998316722469,cdi_schubert
DA00703,4.900750131319688,cdi_schubert
FMT103,4.881375861161873,cdi_youngster
DA01468,4.867970086585654,cdi_schubert
DA01110,4.853480766161619,cdi_schubert
FMT17A,4.897312223856352,cdi_youngster
DA01213,4.8812510934755355,cdi_schubert
DA10085,4.8933732953412825,cdi_schubert
DA00997,4.899076682092874,cdi_schubert
DA10125,4.904214807111356,cdi_schubert
DA10182,4.877959603272636,cdi_schubert
