,shannon,study_name
CSM67UAY,7.882506083570742,HMP_2019_ibdmdb
O2.UC48-1,5.549140704785842,LiJ_2014
HSMA33KO,7.914922548601805,HMP_2019_ibdmdb
O2.UC6-1,8.779710775792918,LiJ_2014
MSM9VZJJ_P,7.219406720091309,HMP_2019_ibdmdb
MSM9VZHB,8.029846819018156,HMP_2019_ibdmdb
CSM5MCYM_P,8.679409084854509,HMP_2019_ibdmdb
HSM67VHB,3.6463287608110946,HMP_2019_ibdmdb
CSM7KOSP,8.884417085578566,HMP_2019_ibdmdb
MSM9VZPT,4.75986188759448,HMP_2019_ibdmdb
MSM9VZO2,6.349989408829188,HMP_2019_ibdmdb
HSM7CYZ5,8.788889013947193,HMP_2019_ibdmdb
CSM7KOKH_P,7.835828124339893,HMP_2019_ibdmdb
O2.UC13-1,7.928572656941569,LiJ_2014
CSM7KOJQ,8.931054649301853,HMP_2019_ibdmdb
MSM79H5U,7.977458614462304,HMP_2019_ibdmdb
O2.UC24-1,8.979337881603092,LiJ_2014
HSM7J4I7,8.952625391806205,HMP_2019_ibdmdb
MSM6J2K4,7.9346759459755605,HMP_2019_ibdmdb
HSM6XRV2,8.67378550113379,HMP_2019_ibdmdb
MSM6J2HT,8.737451937823833,HMP_2019_ibdmdb
HSM6XRVA,8.981826650644926,HMP_2019_ibdmdb
CSM67UEI,8.276184179394443,HMP_2019_ibdmdb
HSM67VI9,8.565012997754563,HMP_2019_ibdmdb
MSM9VZNH,8.601294154838843,HMP_2019_ibdmdb
MSM79HDQ_TR,6.9403883709802265,HMP_2019_ibdmdb
CSM79HJA,8.718353298828966,HMP_2019_ibdmdb
CSM67U9J,8.124839580120664,HMP_2019_ibdmdb
MSM6J2LV,4.342577492932167,HMP_2019_ibdmdb
CSM79HIJ,6.74829809554148,HMP_2019_ibdmdb
HSM7CYX8,7.245250905791949,HMP_2019_ibdmdb
MSM9VZHF,8.556967637789922,HMP_2019_ibdmdb
PSMA266I,8.495857257591759,HMP_2019_ibdmdb
HSM5MD7J,8.926382983904853,HMP_2019_ibdmdb
S117_a_WGS,8.829494345533941,IjazUZ_2017
PSM6XBW3,7.890623244211888,HMP_2019_ibdmdb
MSMAPC5B,7.720064940046669,HMP_2019_ibdmdb
MSM5FZ9X_P,8.788181619301998,HMP_2019_ibdmdb
CSM67UAO,8.379466775905705,HMP_2019_ibdmdb
CSM79HLM,7.1221613127791565,HMP_2019_ibdmdb
CSM7KOSH,8.778762644434622,HMP_2019_ibdmdb
HSM6XRSI,8.72998679759865,HMP_2019_ibdmdb
HSM67VI7,8.704646805257102,HMP_2019_ibdmdb
MSM9VZJ3,2.497554200758148,HMP_2019_ibdmdb
HSM7J4NC,8.760063774726879,HMP_2019_ibdmdb
S152_a_WGS,8.488433939213524,IjazUZ_2017
CSM9X23B,8.484322245228382,HMP_2019_ibdmdb
HSMA33MI,8.707533607683922,HMP_2019_ibdmdb
PSM7J1C8,8.692021754205655,HMP_2019_ibdmdb
PSM7J12D,8.399546213731316,HMP_2019_ibdmdb
S160_a_WGS,8.664619098092453,IjazUZ_2017
MSM6J2J5,8.07562155069865,HMP_2019_ibdmdb
MSMA26EJ,8.817652795303168,HMP_2019_ibdmdb
MSM9VZOU,6.198834191711552,HMP_2019_ibdmdb
CSM7KORI,7.8421969770148285,HMP_2019_ibdmdb
PSM7J1AU,7.414512482610535,HMP_2019_ibdmdb
PSM7J1DF,4.25631968684902,HMP_2019_ibdmdb
CSM7KOSL,8.941918054536306,HMP_2019_ibdmdb
HSM6XRS2,6.793819708466779,HMP_2019_ibdmdb
MSM7J16L,8.204938722709278,HMP_2019_ibdmdb
V1.CD4-0-PT,7.510395428489615,LiJ_2014
MSM5LLHE_P,8.147815908817154,HMP_2019_ibdmdb
MSM9VZOQ,7.48689085209721,HMP_2019_ibdmdb
HSM7CZ1E,8.96560050680426,HMP_2019_ibdmdb
HSM7CZ3E,8.926180108812181,HMP_2019_ibdmdb
