,shannon,study_name
CSM5FZ3N_P,9.495987767370188,HMP_2019_ibdmdb
CSM5FZ3R_P,9.429505793711465,HMP_2019_ibdmdb
CSM5FZ3T_P,9.480251673770592,HMP_2019_ibdmdb
CSM5FZ3V_P,9.429414537097486,HMP_2019_ibdmdb
CSM5FZ3X_P,9.452427534463286,HMP_2019_ibdmdb
CSM5FZ3Z_P,9.383123527518302,HMP_2019_ibdmdb
CSM5FZ42_P,9.268546500546977,HMP_2019_ibdmdb
CSM5FZ44_P,9.403571845019215,HMP_2019_ibdmdb
CSM5FZ46_P,9.435123109697354,HMP_2019_ibdmdb
CSM5FZ4A_P,9.433185883874213,HMP_2019_ibdmdb
CSM5FZ4C_P,9.446975263306218,HMP_2019_ibdmdb
CSM5FZ4E_P,9.382553757675593,HMP_2019_ibdmdb
CSM5FZ4G_P,9.363541563676913,HMP_2019_ibdmdb
CSM5FZ4K_P,9.47476476716292,HMP_2019_ibdmdb
CSM5FZ4M,9.457150671002873,HMP_2019_ibdmdb
CSM5LLGB_P,9.413859168969456,HMP_2019_ibdmdb
CSM5MCTZ_P,9.467969229281982,HMP_2019_ibdmdb
CSM5MCU4_P,9.410545154919197,HMP_2019_ibdmdb
CSM5MCU8_P,9.467708566760555,HMP_2019_ibdmdb
CSM5MCUA_P,9.40983212842623,HMP_2019_ibdmdb
CSM5MCUC_P,9.357394302954406,HMP_2019_ibdmdb
CSM5MCUE_P,9.452010153228883,HMP_2019_ibdmdb
CSM5MCUG_P,9.439171455665678,HMP_2019_ibdmdb
CSM5MCUK_P,9.420299673423017,HMP_2019_ibdmdb
CSM5MCUO,9.487229955192147,HMP_2019_ibdmdb
CSM5MCUQ_P,9.445161266148595,HMP_2019_ibdmdb
CSM5MCUS_P,9.482162398513825,HMP_2019_ibdmdb
CSM5MCUW_P,9.449525230675315,HMP_2019_ibdmdb
CSM5MCUY_P,9.392032895162247,HMP_2019_ibdmdb
CSM5MCV1_P,9.4554329249367,HMP_2019_ibdmdb
CSM5MCV5_P,9.533250679971001,HMP_2019_ibdmdb
CSM5MCVB_P,9.43849778577487,HMP_2019_ibdmdb
CSM5MCVD_P,9.42180985464569,HMP_2019_ibdmdb
CSM5MCVF_P,9.432559082229037,HMP_2019_ibdmdb
CSM5MCVJ_P,9.351937301651839,HMP_2019_ibdmdb
CSM5MCVL,9.49055648903367,HMP_2019_ibdmdb
CSM5MCVN,9.482501056178542,HMP_2019_ibdmdb
CSM5MCVV_P,9.454290316246823,HMP_2019_ibdmdb
CSM5MCVZ_P,9.381600746918792,HMP_2019_ibdmdb
CSM5MCW4_P,9.42037475203252,HMP_2019_ibdmdb
CSM5MCW6,9.489217292817555,HMP_2019_ibdmdb
CSM5MCWA_P,9.425742661786167,HMP_2019_ibdmdb
CSM5MCWC,9.461202446102988,HMP_2019_ibdmdb
