,shannon,study_name
CSM5FZ3N_P,4.889778924272846,HMP_2019_ibdmdb
CSM5FZ3R_P,4.880632048707398,HMP_2019_ibdmdb
CSM5YRY7_P,4.8917087633750755,HMP_2019_ibdmdb
CSM5FZ3V_P,4.886126249673307,HMP_2019_ibdmdb
CSM5FZ4C_P,4.881524314082443,HMP_2019_ibdmdb
CSM5MCVD_P,4.872978103964575,HMP_2019_ibdmdb
CSM5MCVF_P,4.881584146118834,HMP_2019_ibdmdb
CSM5MCVV_P,4.896522441358092,HMP_2019_ibdmdb
CSM5MCWI_P,4.884805478198506,HMP_2019_ibdmdb
CSM5MCXD,4.8864754660270835,HMP_2019_ibdmdb
CSM5MCYS,4.8895283763973385,HMP_2019_ibdmdb
CSM67U9J,4.881977256555509,HMP_2019_ibdmdb
CSM67UA2,4.892743500026871,HMP_2019_ibdmdb
CSM67UGC,4.885209458518888,HMP_2019_ibdmdb
CSM79HG5,4.887044853583378,HMP_2019_ibdmdb
CSM79HGP,4.890933855716036,HMP_2019_ibdmdb
CSM5FZ3T_P,4.856086868783699,HMP_2019_ibdmdb
CSM5FZ3X_P,4.853851310939776,HMP_2019_ibdmdb
CSM5FZ3Z_P,4.8773970256001675,HMP_2019_ibdmdb
CSM5FZ42_P,4.850807150429019,HMP_2019_ibdmdb
CSM5FZ44_P,4.866459997584297,HMP_2019_ibdmdb
CSM5FZ46_P,4.867875772173331,HMP_2019_ibdmdb
CSM5MCVJ_P,4.865559138321359,HMP_2019_ibdmdb
CSM5MCVL,4.874203362850358,HMP_2019_ibdmdb
CSM5MCVN,4.872259421015357,HMP_2019_ibdmdb
CSM67UBF,4.87337486038744,HMP_2019_ibdmdb
CSM67UBH,4.8839189717204645,HMP_2019_ibdmdb
CSM67UBN,4.859584011395921,HMP_2019_ibdmdb
CSM67UBR,4.876635729642473,HMP_2019_ibdmdb
CSM79HJW,4.865205686561312,HMP_2019_ibdmdb
CSM79HJY,4.881706854835761,HMP_2019_ibdmdb
CSM5FZ4E_P,4.891073512588324,HMP_2019_ibdmdb
CSM5FZ4G_P,4.8958617273354,HMP_2019_ibdmdb
CSM5FZ4K_P,4.895309513725846,HMP_2019_ibdmdb
CSM5FZ4M,4.888821641017698,HMP_2019_ibdmdb
CSM5MCWM_P,4.884265057473329,HMP_2019_ibdmdb
CSM5MCWQ,4.897280515264504,HMP_2019_ibdmdb
CSM67UBX,4.893463543712629,HMP_2019_ibdmdb
CSM67UBZ,4.894889568791523,HMP_2019_ibdmdb
CSM67UC6,4.892595477952961,HMP_2019_ibdmdb
CSM79HLM,4.893123648876764,HMP_2019_ibdmdb
CSM5FZ4A_P,4.893940532331493,HMP_2019_ibdmdb
CSM5MCU8_P,4.902483760309866,HMP_2019_ibdmdb
CSM5MCUA_P,4.895528019749495,HMP_2019_ibdmdb
CSM5MCUC_P,4.891577539016638,HMP_2019_ibdmdb
