,shannon,study_name
SID531274,1.4819706214649997,FengQ_2015
SAMD00115005,3.717787711178304,YachidaS_2019
CCMD65406197ST-11-0,3.7906511344828293,WirbelJ_2018
SAMD00114774,4.235877034027236,YachidaS_2019
CCIS46467422ST-4-0,3.4738824844349763,ZellerG_2014
SZAXPI017468-88,1.5883598483009103,YuJ_2015
MG100140,3.055767943193371,HanniganGD_2017
GupDM_JH,3.314937372612828,GuptaA_2019
MMRS72980899ST-27-0-0,4.549220060583246,VogtmannE_2016
SAMD00114948,4.771982671252252,YachidaS_2019
SZAXPI003430-5,1.4553027300532204,YuJ_2015
SAMD00114779,3.9717638675095905,YachidaS_2019
SAMD00164936,3.86451432793284,YachidaS_2019
GupDM_HCU,2.8381984890421292,GuptaA_2019
GupDM_HCR,4.057099850595581,GuptaA_2019
SAMD00164849,5.089555690441645,YachidaS_2019
MMRS80093644ST-27-0-0,4.983242396193427,VogtmannE_2016
CCMD96553385ST-21-0,3.0588890900792842,WirbelJ_2018
SAMD00114868,4.676818428117431,YachidaS_2019
SAMD00164803,4.747529716699767,YachidaS_2019
SAMD00114797,4.402744099014395,YachidaS_2019
SAMD00164960,4.706919943205956,YachidaS_2019
CCMD74930188ST-21-0,4.154420028829631,WirbelJ_2018
MG100126,3.917362555514516,HanniganGD_2017
SAMD00114783,4.195943097785084,YachidaS_2019
CCIS14449628ST-4-0,4.3440444211311,ZellerG_2014
SAMD00164907,4.20262122855211,YachidaS_2019
SAMD00164976,4.958108329201885,YachidaS_2019
SAMD00114883,4.0302832843835175,YachidaS_2019
SAMD00164878,4.542033828940236,YachidaS_2019
SAMD00114859,4.121455400200006,YachidaS_2019
MMRS54246132ST-27-0-0,0.8829293128541523,VogtmannE_2016
SAMD00114780,3.7198893540416567,YachidaS_2019
SAMD00115034,4.097470669427268,YachidaS_2019
SAMD00165016,4.351825115496871,YachidaS_2019
CCIS11015875ST-4-0,5.071783689875503,ZellerG_2014
SAMD00164899,3.85229772275739,YachidaS_2019
MG100169,3.5204549776207887,HanniganGD_2017
SID31159,2.8278999396976867,FengQ_2015
SAMD00114997,3.550435580556538,YachidaS_2019
GupDM_HCY,3.9450559957054465,GuptaA_2019
CCMD35801800ST-11-0,4.81651879444087,WirbelJ_2018
SZAXPI015254-45,4.321287298282755,YuJ_2015
CCMD79349503ST-11-0,4.351733762158626,WirbelJ_2018
SAMD00114982,3.735639317779695,YachidaS_2019
SAMD00164989,3.9137017969671906,YachidaS_2019
SAMD00114976,4.541283356162891,YachidaS_2019
SAMD00164982,4.107689139457339,YachidaS_2019
MG100146,4.150104978180607,HanniganGD_2017
MG100153,3.5637897991041663,HanniganGD_2017
SAMD00114896,4.80581759350916,YachidaS_2019
SZAXPI017465-43,3.467040695177094,YuJ_2015
SZAXPI015235-21,4.8100562686274175,YuJ_2015
MMPU29365221ST,4.095075731612464,WirbelJ_2018
MMRS54316675ST-27-0-0,2.2608223247977555,VogtmannE_2016
SAMD00114880,4.1816923755981765,YachidaS_2019
