,shannon,study_name
SID531274,9.706592308487515,FengQ_2015
SAMD00115005,9.726601909104323,YachidaS_2019
CCMD65406197ST-11-0,9.737877473871196,WirbelJ_2018
SAMD00114774,9.733757431339427,YachidaS_2019
CCIS46467422ST-4-0,9.72941257992153,ZellerG_2014
SZAXPI017468-88,9.724108640034029,YuJ_2015
MG100140,9.725977429239112,HanniganGD_2017
GupDM_JH,9.726183585671892,GuptaA_2019
MMRS72980899ST-27-0-0,9.739718309691296,VogtmannE_2016
SAMD00114948,9.737483209057215,YachidaS_2019
SZAXPI003430-5,9.724841394043592,YuJ_2015
SAMD00114779,9.733704217601586,YachidaS_2019
SAMD00164936,9.734111966329586,YachidaS_2019
GupDM_HCU,9.732906882482789,GuptaA_2019
GupDM_HCR,9.73483451720755,GuptaA_2019
SAMD00164849,9.741688957924508,YachidaS_2019
MMRS80093644ST-27-0-0,9.73979287522449,VogtmannE_2016
CCMD96553385ST-21-0,9.724289148311405,WirbelJ_2018
SAMD00114868,9.72355201988081,YachidaS_2019
SAMD00164803,9.737393768036588,YachidaS_2019
SAMD00114797,9.735164794283275,YachidaS_2019
SAMD00164960,9.741264791404511,YachidaS_2019
CCMD74930188ST-21-0,9.733922046563952,WirbelJ_2018
MG100126,9.735176891360434,HanniganGD_2017
SAMD00114783,9.735229593087148,YachidaS_2019
CCIS14449628ST-4-0,9.736627016144885,ZellerG_2014
SAMD00164907,9.736556912583314,YachidaS_2019
SAMD00164976,9.741978640892281,YachidaS_2019
SAMD00114883,9.733194281714432,YachidaS_2019
SAMD00164878,9.728748247878816,YachidaS_2019
SAMD00114859,9.725926249308129,YachidaS_2019
MMRS54246132ST-27-0-0,9.722836025211329,VogtmannE_2016
SAMD00114780,9.73084379884664,YachidaS_2019
SAMD00115034,9.723033514019265,YachidaS_2019
SAMD00165016,9.737315346200988,YachidaS_2019
CCIS11015875ST-4-0,9.741247981512378,ZellerG_2014
SAMD00164899,9.729941384311756,YachidaS_2019
MG100169,9.733200456298079,HanniganGD_2017
SID31159,9.721363467851434,FengQ_2015
SAMD00114997,9.727153343496315,YachidaS_2019
GupDM_HCY,9.734047341747484,GuptaA_2019
CCMD35801800ST-11-0,9.742087128538431,WirbelJ_2018
SZAXPI015254-45,9.737973508345853,YuJ_2015
CCMD79349503ST-11-0,9.740508940259149,WirbelJ_2018
SAMD00114982,9.735395616035685,YachidaS_2019
SAMD00164989,9.722821543752742,YachidaS_2019
SAMD00114976,9.73725466860917,YachidaS_2019
SAMD00164982,9.722627187286042,YachidaS_2019
MG100146,9.736828257197297,HanniganGD_2017
MG100153,9.737528320306232,HanniganGD_2017
SAMD00114896,9.737861465460849,YachidaS_2019
SZAXPI017465-43,9.728954841603027,YuJ_2015
SZAXPI015235-21,9.741867835635041,YuJ_2015
MMPU29365221ST,9.736428081992848,WirbelJ_2018
MMRS54316675ST-27-0-0,9.738177135210304,VogtmannE_2016
SAMD00114880,9.73357703543383,YachidaS_2019
SAMD00114968,9.727653822554688,YachidaS_2019
SAMD00114949,9.730051150868006,YachidaS_2019
MMRS44203591ST-27-0-0,9.723932825830744,VogtmannE_2016
GupDM_HCM,9.721335911513778,GuptaA_2019
SZAXPI015250-39,9.73700612636549,YuJ_2015
CCIS44093303ST-4-0,9.726068268878915,ZellerG_2014
SAMD00114722,9.74244909917083,YachidaS_2019
CCIS20795251ST-4-0,9.737586923479437,ZellerG_2014
CCIS16326685ST-4-0,9.73733397375364,ZellerG_2014
SAMD00114917,9.719083565302988,YachidaS_2019
CCIS52370277ST-4-0,9.737615661879278,ZellerG_2014
CCIS33816588ST-4-0,9.741963112600114,ZellerG_2014
MMRS40913371ST-27-0-0,9.7319063065466,VogtmannE_2016
SAMD00164940,9.728779657972664,YachidaS_2019
SAMD00164928,9.733258098562839,YachidaS_2019
CCMD19168690ST-11-0,9.726320075404603,WirbelJ_2018
SAMD00114973,9.73745702016474,YachidaS_2019
SAMD00114965,9.738870175841784,YachidaS_2019
SAMD00154994,9.740062043732141,YachidaS_2019
SAMD00164827,9.731146931226537,YachidaS_2019
CCMD11006829ST-21-0,9.73957220574419,WirbelJ_2018
SAMD00114921,9.73402400700565,YachidaS_2019
SAMD00164871,9.73925419519575,YachidaS_2019
MMRS81671217ST-27-0-0,9.732628175057185,VogtmannE_2016
SAMD00165017,9.735082133427154,YachidaS_2019
GupDM_HAN,9.725476154473432,GuptaA_2019
CCIS87167916ST-4-0,9.731712170427059,ZellerG_2014
MG100159,9.729139780870549,HanniganGD_2017
CCMD90311071ST-21-0,9.742359916029473,WirbelJ_2018
GupDM_A4,9.721320743208198,GuptaA_2019
SAMD00164978,9.73803274843861,YachidaS_2019
SZAXPI017460-27,9.73813931344022,YuJ_2015
CCIS10706551ST-3-0,9.73228353636465,ZellerG_2014
CCMD37575804ST-11-0,9.742415033316973,WirbelJ_2018
SAMD00164992,9.734960301224222,YachidaS_2019
CCMD21593359ST-11-0,9.736979755123626,WirbelJ_2018
MG100128,9.727241816740847,HanniganGD_2017
SAMD00114977,9.735880086995488,YachidaS_2019
SAMD00114745,9.733816978792802,YachidaS_2019
SAMD00164774,9.714488656321988,YachidaS_2019
GupDM_JJ,9.735955094275191,GuptaA_2019
MMRS56137463ST-27-0-0,9.732571517924718,VogtmannE_2016
CCMD98198513ST-11-0,9.737901510976007,WirbelJ_2018
SID31021,9.743264377795844,FengQ_2015
SAMD00114822,9.726661257095216,YachidaS_2019
SAMD00114931,9.736907779116613,YachidaS_2019
SAMD00164836,9.73470051780632,YachidaS_2019
SAMD00165000,9.735622944088483,YachidaS_2019
SAMD00114770,9.71882057886968,YachidaS_2019
SAMD00164975,9.730959622392525,YachidaS_2019
MG100134,9.730980116292747,HanniganGD_2017
GupDM_A13,9.736894369922917,GuptaA_2019
SAMD00114799,9.73579578879687,YachidaS_2019
CCIS47284573ST-4-0,9.743554116144164,ZellerG_2014
CCIS64785924ST-20-0,9.737586007420802,ZellerG_2014
CCMD89643949ST-11-0,9.732573271406721,WirbelJ_2018
SAMD00114971,9.723090712883074,YachidaS_2019
SAMD00114772,9.737043194162444,YachidaS_2019
SAMD00164778,9.734538139200868,YachidaS_2019
SAMD00164917,9.728988446694489,YachidaS_2019
SAMD00164981,9.706429908563658,YachidaS_2019
SAMD00164806,9.733811545537671,YachidaS_2019
CCIS11362406ST-4-0,9.743252496137439,ZellerG_2014
SAMD00114798,9.733888114487474,YachidaS_2019
CCIS53043478ST-4-0,9.741858651072222,ZellerG_2014
GupDM_A14,9.731628198837397,GuptaA_2019
MG100150,9.714513259117371,HanniganGD_2017
SAMD00164812,9.730401627028852,YachidaS_2019
SAMD00114811,9.731549460586175,YachidaS_2019
GupDM_HAJ,9.726436496436772,GuptaA_2019
SAMD00115012,9.74030414797694,YachidaS_2019
CCIS87252800ST-4-0,9.738042430852547,ZellerG_2014
