,shannon,study_name
SID531274,1.2980578877204585,FengQ_2015
SAMD00115005,2.977246531810808,YachidaS_2019
CCMD65406197ST-11-0,4.659656144077107,WirbelJ_2018
SAMD00114774,4.040445669695172,YachidaS_2019
CCIS46467422ST-4-0,3.516934756061321,ZellerG_2014
SZAXPI017468-88,3.4270441982444924,YuJ_2015
MG100140,3.3792728948427504,HanniganGD_2017
GupDM_JH,3.3789646400986557,GuptaA_2019
MMRS72980899ST-27-0-0,4.622554399759327,VogtmannE_2016
SAMD00114948,4.344194004395929,YachidaS_2019
SZAXPI003430-5,3.1654982783397765,YuJ_2015
SAMD00114779,3.8271322457133543,YachidaS_2019
SAMD00164936,4.0652656563611975,YachidaS_2019
GupDM_HCU,2.7104167292344026,GuptaA_2019
GupDM_HCR,3.03396453814119,GuptaA_2019
SAMD00164849,4.9489134700469055,YachidaS_2019
MMRS80093644ST-27-0-0,4.797928857205339,VogtmannE_2016
CCMD96553385ST-21-0,2.856508759955472,WirbelJ_2018
SAMD00114868,3.3685489369572528,YachidaS_2019
SAMD00164803,4.527804818525735,YachidaS_2019
SAMD00114797,4.224676137257263,YachidaS_2019
SAMD00164960,4.689861599271466,YachidaS_2019
CCMD74930188ST-21-0,4.050392139447767,WirbelJ_2018
MG100126,3.557596783121964,HanniganGD_2017
SAMD00114783,4.321410342136973,YachidaS_2019
CCIS14449628ST-4-0,4.616425628344756,ZellerG_2014
SAMD00164907,3.946888841886196,YachidaS_2019
SAMD00164976,4.820945412205726,YachidaS_2019
SAMD00114883,3.616351985200696,YachidaS_2019
SAMD00164878,3.681722747745519,YachidaS_2019
SAMD00114859,3.5309505140163666,YachidaS_2019
MMRS54246132ST-27-0-0,3.2790342374869947,VogtmannE_2016
SAMD00114780,3.9172520757513816,YachidaS_2019
SAMD00115034,3.066093807437043,YachidaS_2019
SAMD00165016,4.2112758706241635,YachidaS_2019
CCIS11015875ST-4-0,4.943658668807845,ZellerG_2014
SAMD00164899,3.7198535164327433,YachidaS_2019
MG100169,3.896993455550572,HanniganGD_2017
SID31159,2.8356180219819334,FengQ_2015
SAMD00114997,3.6745568704381837,YachidaS_2019
GupDM_HCY,3.048499752696673,GuptaA_2019
CCMD35801800ST-11-0,4.667486088560716,WirbelJ_2018
SZAXPI015254-45,4.387980806557677,YuJ_2015
CCMD79349503ST-11-0,4.28822780160051,WirbelJ_2018
SAMD00114982,3.782426756230633,YachidaS_2019
SAMD00164989,2.8864087388752284,YachidaS_2019
SAMD00114976,4.57442348462527,YachidaS_2019
SAMD00164982,2.963006474221861,YachidaS_2019
MG100146,3.881247499163205,HanniganGD_2017
