,shannon,study_name
SID531274,9.463409943971618,FengQ_2015
SAMD00115005,9.47522297979387,YachidaS_2019
CCMD65406197ST-11-0,9.489105629386353,WirbelJ_2018
SAMD00114774,9.42815009566466,YachidaS_2019
CCIS46467422ST-4-0,9.454273517781585,ZellerG_2014
SZAXPI017468-88,9.489552751843037,YuJ_2015
MG100140,9.482023334238097,HanniganGD_2017
GupDM_JH,9.486339469876468,GuptaA_2019
MMRS72980899ST-27-0-0,9.462570696078323,VogtmannE_2016
SAMD00114948,9.49395016285372,YachidaS_2019
SZAXPI003430-5,9.505285388313125,YuJ_2015
SAMD00114779,9.49105856123989,YachidaS_2019
SAMD00164936,9.473772034833264,YachidaS_2019
GupDM_HCU,9.475627969022273,GuptaA_2019
GupDM_HCR,9.452950237921698,GuptaA_2019
SAMD00164849,9.481477466318907,YachidaS_2019
MMRS80093644ST-27-0-0,9.454697529522837,VogtmannE_2016
CCMD96553385ST-21-0,9.515430324159624,WirbelJ_2018
SAMD00114868,9.467086694918814,YachidaS_2019
SAMD00164803,9.458981431233195,YachidaS_2019
SAMD00114797,9.502573633769599,YachidaS_2019
SAMD00164960,9.458859115350746,YachidaS_2019
CCMD74930188ST-21-0,9.493316375154585,WirbelJ_2018
MG100126,9.494615775901606,HanniganGD_2017
SAMD00114783,9.472733611325701,YachidaS_2019
CCIS14449628ST-4-0,9.443766749865231,ZellerG_2014
SAMD00164907,9.474392793529994,YachidaS_2019
SAMD00164976,9.494197983998449,YachidaS_2019
SAMD00114883,9.47290011475276,YachidaS_2019
SAMD00164878,9.472914541262167,YachidaS_2019
SAMD00114859,9.511972560284434,YachidaS_2019
MMRS54246132ST-27-0-0,9.456398590363385,VogtmannE_2016
SAMD00114780,9.489885566772955,YachidaS_2019
SAMD00115034,9.459239050795217,YachidaS_2019
SAMD00165016,9.477401452888058,YachidaS_2019
CCIS11015875ST-4-0,9.43607854896269,ZellerG_2014
SAMD00164899,9.473198747102389,YachidaS_2019
MG100169,9.485473812411168,HanniganGD_2017
SID31159,9.456493854780726,FengQ_2015
SAMD00114997,9.471624350662081,YachidaS_2019
GupDM_HCY,9.452266764332037,GuptaA_2019
CCMD35801800ST-11-0,9.501874935973236,WirbelJ_2018
SZAXPI015254-45,9.466214603926971,YuJ_2015
CCMD79349503ST-11-0,9.501057091589157,WirbelJ_2018
SAMD00114982,9.470626204379666,YachidaS_2019
SAMD00164989,9.487584680262799,YachidaS_2019
SAMD00114976,9.479764761488312,YachidaS_2019
SAMD00164982,9.473916957988255,YachidaS_2019
MG100146,9.49351090824976,HanniganGD_2017
MG100153,9.46234060367948,HanniganGD_2017
SAMD00114896,9.522981804576995,YachidaS_2019
SZAXPI017465-43,9.44485272074069,YuJ_2015
SZAXPI015235-21,9.472382386152656,YuJ_2015
MMPU29365221ST,9.467078321118496,WirbelJ_2018
MMRS54316675ST-27-0-0,9.46299498850866,VogtmannE_2016
SAMD00114880,9.4957189435851,YachidaS_2019
SAMD00114968,9.507113989635673,YachidaS_2019
SAMD00114949,9.488685450195343,YachidaS_2019
MMRS44203591ST-27-0-0,9.452203743015026,VogtmannE_2016
GupDM_HCM,9.484103901994215,GuptaA_2019
SZAXPI015250-39,9.470023466179647,YuJ_2015
CCIS44093303ST-4-0,9.484711565241948,ZellerG_2014
SAMD00114722,9.500425522432296,YachidaS_2019
CCIS20795251ST-4-0,9.459656255266154,ZellerG_2014
CCIS16326685ST-4-0,9.500157788731519,ZellerG_2014
SAMD00114917,9.501383646325424,YachidaS_2019
CCIS52370277ST-4-0,9.467375942856815,ZellerG_2014
CCIS33816588ST-4-0,9.473385186486691,ZellerG_2014
MMRS40913371ST-27-0-0,9.495316298001587,VogtmannE_2016
SAMD00164940,9.497100364550182,YachidaS_2019
SAMD00164928,9.473348208898342,YachidaS_2019
CCMD19168690ST-11-0,9.477460885571624,WirbelJ_2018
SAMD00114973,9.502970226337531,YachidaS_2019
SAMD00114965,9.461991733893512,YachidaS_2019
SAMD00154994,9.43925766209651,YachidaS_2019
SAMD00164827,9.483562927163533,YachidaS_2019
CCMD11006829ST-21-0,9.51149425997491,WirbelJ_2018
SAMD00114921,9.45645038290175,YachidaS_2019
SAMD00164871,9.489490593847483,YachidaS_2019
MMRS81671217ST-27-0-0,9.458483068652042,VogtmannE_2016
SAMD00165017,9.47061299992291,YachidaS_2019
GupDM_HAN,9.503278533845997,GuptaA_2019
CCIS87167916ST-4-0,9.463178074297414,ZellerG_2014
MG100159,9.494807800535702,HanniganGD_2017
CCMD90311071ST-21-0,9.478785739980108,WirbelJ_2018
GupDM_A4,9.48378444732855,GuptaA_2019
SAMD00164978,9.432150707351974,YachidaS_2019
SZAXPI017460-27,9.48668121546294,YuJ_2015
CCIS10706551ST-3-0,9.442834346366661,ZellerG_2014
CCMD37575804ST-11-0,9.435992668187748,WirbelJ_2018
SAMD00164992,9.470953321103744,YachidaS_2019
CCMD21593359ST-11-0,9.492377866114454,WirbelJ_2018
MG100128,9.486048671529527,HanniganGD_2017
SAMD00114977,9.476862469536936,YachidaS_2019
SAMD00114745,9.517726440435176,YachidaS_2019
SAMD00164774,9.460550823825654,YachidaS_2019
GupDM_JJ,9.47732618171965,GuptaA_2019
MMRS56137463ST-27-0-0,9.472785463212254,VogtmannE_2016
CCMD98198513ST-11-0,9.48675798443478,WirbelJ_2018
SID31021,9.47515579229744,FengQ_2015
SAMD00114822,9.496713676020658,YachidaS_2019
SAMD00114931,9.477207110183734,YachidaS_2019
SAMD00164836,9.4385637034219,YachidaS_2019
SAMD00165000,9.46513492526841,YachidaS_2019
SAMD00114770,9.465768153645055,YachidaS_2019
SAMD00164975,9.451677248916154,YachidaS_2019
MG100134,9.49185360023209,HanniganGD_2017
GupDM_A13,9.416579778993011,GuptaA_2019
SAMD00114799,9.476408195953686,YachidaS_2019
CCIS47284573ST-4-0,9.482469296658564,ZellerG_2014
CCIS64785924ST-20-0,9.473985993838806,ZellerG_2014
CCMD89643949ST-11-0,9.460091974997997,WirbelJ_2018
SAMD00114971,9.495691320557166,YachidaS_2019
SAMD00114772,9.47959144172018,YachidaS_2019
SAMD00164778,9.485919272294991,YachidaS_2019
SAMD00164917,9.488160036708301,YachidaS_2019
SAMD00164981,9.50703188492053,YachidaS_2019
SAMD00164806,9.458035773290796,YachidaS_2019
CCIS11362406ST-4-0,9.462641797799863,ZellerG_2014
SAMD00114798,9.471324145668694,YachidaS_2019
CCIS53043478ST-4-0,9.47441631307534,ZellerG_2014
GupDM_A14,9.47776976245446,GuptaA_2019
MG100150,9.505991337786213,HanniganGD_2017
SAMD00164812,9.4617969265627,YachidaS_2019
SAMD00114811,9.487896250284667,YachidaS_2019
GupDM_HAJ,9.475890202647687,GuptaA_2019
SAMD00115012,9.490644663520692,YachidaS_2019
CCIS87252800ST-4-0,9.481436069282976,ZellerG_2014
CCMD25475945ST-11-0,9.488076468361658,WirbelJ_2018
SZAXPI017583-102,9.486354226121867,YuJ_2015
CCMD52117727ST-11-0,9.50214251807944,WirbelJ_2018
CCMD50529145ST-11-0,9.482888158017484,WirbelJ_2018
MMRS85548821ST-27-0-0,9.486423600518638,VogtmannE_2016
CCIS45571137ST-3-0,9.472630961948338,ZellerG_2014
SAMD00114848,9.47247847857672,YachidaS_2019
MMRS72802364ST-27-0-0,9.476281406543393,VogtmannE_2016
SZAXPI017586-111,9.50822089309149,YuJ_2015
CCIS63448910ST-4-0,9.45860360522574,ZellerG_2014
CCMD76409700ST-11-0,9.467023975483317,WirbelJ_2018
CCIS27927933ST-4-0,9.48179442069821,ZellerG_2014
CCIS11354283ST-4-0,9.462717150621584,ZellerG_2014
SAMD00164758,9.484250745649796,YachidaS_2019
SAMD00114757,9.433693389885509,YachidaS_2019
SAMD00164805,9.499075549722683,YachidaS_2019
SAMD00114925,9.464288387144542,YachidaS_2019
SAMD00164830,9.482062352938438,YachidaS_2019
CCIS15794887ST-4-0,9.454340899317092,ZellerG_2014
SAMD00164873,9.487827172548068,YachidaS_2019
SZAXPI017452-17,9.506458603994995,YuJ_2015
CCIS15704761ST-4-0,9.48472909293879,ZellerG_2014
