,shannon,study_name
SAMD00114836,4.9547520541540235,YachidaS_2019
CCIS35100175ST-4-0,5.3012460781313,ZellerG_2014
SAMD00164941,3.9288999503568185,YachidaS_2019
CCIS07277498ST-4-0,4.618734745664987,ZellerG_2014
GupDM_HAG,4.919702470984353,GuptaA_2019
MMRS11288076ST-27-0-0,3.9580563575413477,VogtmannE_2016
SAMD00164884,5.542396748477945,YachidaS_2019
GupDM_HCY,5.612163533849314,GuptaA_2019
CCMD71242853ST-11-0,4.715969113761732,WirbelJ_2018
MMRS85382779ST-27-0-0,5.1703688082029435,VogtmannE_2016
MG100177,4.606311734321133,HanniganGD_2017
CCMD95433940ST-21-0,5.238969134063014,WirbelJ_2018
SAMD00164727,3.4959078889181727,YachidaS_2019
CCIS71578391ST-4-0,4.597178108756846,ZellerG_2014
MG100163,4.508437072420831,HanniganGD_2017
SAMD00164936,4.677152713860206,YachidaS_2019
SZAXPI015219-129,3.662455532795529,YuJ_2015
CCMD86114146ST-21-0,4.525885682633141,WirbelJ_2018
MG100171,4.989670636778728,HanniganGD_2017
CCMD79349503ST-11-0,4.788946372702403,WirbelJ_2018
SAMD00115014,4.3238289397090695,YachidaS_2019
GupDM_JP,5.323804547849972,GuptaA_2019
MMRS17963147ST-27-0-0,4.567379651419676,VogtmannE_2016
SAMD00114938,5.168024180176243,YachidaS_2019
SAMD00114954,4.850380020291045,YachidaS_2019
SAMD00164885,4.6537711733513065,YachidaS_2019
CCIS46047672ST-4-0,4.554589721226083,ZellerG_2014
GupDM_JH,4.520634399479527,GuptaA_2019
CCMD51228890ST-11-0,4.5549280995444725,WirbelJ_2018
SAMD00114766,4.078245834828793,YachidaS_2019
SAMD00114732,4.7943379296792905,YachidaS_2019
SAMD00114871,5.090731620486317,YachidaS_2019
GupDM_HR,5.606956819090552,GuptaA_2019
SAMD00164886,2.3621968028623113,YachidaS_2019
SAMD00164869,4.509406966982158,YachidaS_2019
CCIS61287323ST-4-0,4.79917105611346,ZellerG_2014
SAMD00165020,4.178186492754971,YachidaS_2019
SAMD00165030,5.347275304449768,YachidaS_2019
MG100156,5.180501858112001,HanniganGD_2017
SAMD00114785,5.132870575535231,YachidaS_2019
SAMD00165031,4.153817987100636,YachidaS_2019
SZAXPI015251-41,5.212389674146218,YuJ_2015
CCIS98832363ST-4-0,4.637794931559499,ZellerG_2014
SAMD00164748,4.403869202162297,YachidaS_2019
SAMD00114759,4.998030825541623,YachidaS_2019
SZAXPI017457-24,4.7221818598477165,YuJ_2015
SAMD00164916,4.235487575218035,YachidaS_2019
CCIS36699628ST-4-0,3.966414240784706,ZellerG_2014
SAMD00114908,5.076190247281496,YachidaS_2019
MG100162,4.700124442846076,HanniganGD_2017
SAMD00164928,4.821374806616995,YachidaS_2019
SAMD00114773,3.477267575622117,YachidaS_2019
SZAXPI015258-57,4.903474177187357,YuJ_2015
SAMD00164881,4.701573413147091,YachidaS_2019
GupDM_A_11,4.040464222851111,GuptaA_2019
SAMD00114834,4.684047055662597,YachidaS_2019
GupDM_HCP,4.963274363486507,GuptaA_2019
GupDM_HAN,4.919518445734406,GuptaA_2019
SZAXPI017456-23,4.554571771697091,YuJ_2015
SAMD00114948,5.691288536127859,YachidaS_2019
MMRS39415781ST-27-0-0,4.5716326382960855,VogtmannE_2016
SZAXPI015247-35,4.53117258989279,YuJ_2015
CCIS00281083ST-3-0,3.1149349273719933,ZellerG_2014
SAMD00114913,3.3172633574722994,YachidaS_2019
SAMD00164824,5.277817996103206,YachidaS_2019
SAMD00164967,4.625764878922111,YachidaS_2019
SAMD00114868,4.585428317811512,YachidaS_2019
MG100137,3.6934645706131017,HanniganGD_2017
CCIS78318719ST-4-0,5.197709250046348,ZellerG_2014
SAMD00114935,3.3260365503611204,YachidaS_2019
SAMD00114814,4.807522470626007,YachidaS_2019
CCMD13071240ST-21-0,5.236822561160133,WirbelJ_2018
CCIS51595129ST-4-0,4.9512895277560744,ZellerG_2014
SAMD00114965,5.159407415236709,YachidaS_2019
MMPU84450604ST,4.362387411967496,WirbelJ_2018
SAMD00164819,4.3870549822310485,YachidaS_2019
SAMD00164839,5.134948527551108,YachidaS_2019
MMRS34569532ST-27-0-0,4.892549896114493,VogtmannE_2016
SAMD00164990,4.619581715786007,YachidaS_2019
SAMD00114776,4.702327994267056,YachidaS_2019
SAMD00114731,5.128915875725823,YachidaS_2019
CCIS55230578ST-4-0,5.173434172607273,ZellerG_2014
MMRS25641480ST-27-0-0,4.49478552287664,VogtmannE_2016
SAMD00114822,4.982625388865235,YachidaS_2019
SAMD00164842,3.844410379205435,YachidaS_2019
SAMD00114812,5.160258062727404,YachidaS_2019
SAMD00164694,5.003687102053073,YachidaS_2019
SAMD00114912,4.4847974076431285,YachidaS_2019
SAMD00164805,4.148417282050369,YachidaS_2019
CCIS72607085ST-4-0,4.160722626969275,ZellerG_2014
CCIS34055159ST-4-0,2.945820033977985,ZellerG_2014
SAMD00114771,5.014011159173309,YachidaS_2019
SAMD00164929,5.149694287458805,YachidaS_2019
GupDM_HCN,4.894297265741165,GuptaA_2019
SAMD00164863,4.657385271789902,YachidaS_2019
SAMD00164982,4.684627805026384,YachidaS_2019
SID530444,4.320097997368075,FengQ_2015
SAMD00154993,4.2557474840696194,YachidaS_2019
CCIS81139242ST-4-0,4.367889357062747,ZellerG_2014
CCIS81887263ST-4-0,4.871955646258946,ZellerG_2014
CCMD79987997ST-21-0,3.670342605549145,WirbelJ_2018
SAMD00114899,5.439086426084621,YachidaS_2019
SAMD00164976,4.9327933910570945,YachidaS_2019
SAMD00115034,4.704497374014569,YachidaS_2019
MG100160,4.87961359449521,HanniganGD_2017
SAMD00114832,4.867802477411988,YachidaS_2019
SAMD00115017,5.1391997094909865,YachidaS_2019
SZAXPI017583-102,4.643675977380968,YuJ_2015
GupDM_HDB,4.965927740337527,GuptaA_2019
SAMD00114929,3.876814499080165,YachidaS_2019
CCMD95431029ST-11-0,5.040371868749133,WirbelJ_2018
CCIS87252800ST-4-0,4.653937835257317,ZellerG_2014
SZAXPI015254-45,4.447618548847575,YuJ_2015
CCMD95676152ST-11-0,4.124692835710313,WirbelJ_2018
SAMD00114903,5.255779561405411,YachidaS_2019
SAMD00164923,5.255095934892091,YachidaS_2019
SAMD00114788,4.361212405241475,YachidaS_2019
SAMD00164971,5.016616612683118,YachidaS_2019
SZAXPI015264-87,5.329896176887085,YuJ_2015
MMRS41711735ST-27-0-0,3.296898736412209,VogtmannE_2016
SAMD00164774,4.447358616291813,YachidaS_2019
CCMD35081859ST-11-0,5.052474436160539,WirbelJ_2018
MMRS73787048ST-27-0-0,4.916193217505112,VogtmannE_2016
SAMD00114915,4.857197421593834,YachidaS_2019
SZAXPI015224-13,4.907999938716766,YuJ_2015
SAMD00115031,4.646182152694334,YachidaS_2019
CCMD45812507ST-11-0,4.125664985656265,WirbelJ_2018
SZAXPI003427-1,5.059867165202161,YuJ_2015
SID532802,4.470723040907498,FengQ_2015
SAMD00164890,4.749448103485478,YachidaS_2019
SZAXPI015238-24,4.674920326614618,YuJ_2015
CCMD12232071ST-21-0,4.596924303877106,WirbelJ_2018
SAMD00164962,5.094168234720282,YachidaS_2019
SAMD00114924,4.715323787317854,YachidaS_2019
SAMD00164913,4.991838577419477,YachidaS_2019
SAMD00164932,5.311446841366913,YachidaS_2019
CCIS63468405ST-4-0,4.379566471995241,ZellerG_2014
SAMD00114808,4.417749244598611,YachidaS_2019
SAMD00164927,3.71970081645109,YachidaS_2019
SAMD00164977,4.9957818456113445,YachidaS_2019
SZAXPI003413-4,5.315316811760082,YuJ_2015
MMRS16644320ST-27-0-0,5.0951585227720955,VogtmannE_2016
CCMD40701343ST-21-0,3.4460395676925515,WirbelJ_2018
MMPU68403337ST,4.338229326002015,WirbelJ_2018
SAMD00165000,4.320556583015583,YachidaS_2019
SAMD00114744,5.8402255777979155,YachidaS_2019
SZAXPI015250-39,4.920021607265618,YuJ_2015
CCIS27927933ST-4-0,3.121091285397065,ZellerG_2014
SAMD00114891,4.893723558308181,YachidaS_2019
SAMD00164931,4.850858418255,YachidaS_2019
SZAXPI015231-17,3.751176348443678,YuJ_2015
SAMD00165033,3.64754522747085,YachidaS_2019
SZAXPI015255-46,5.073827475283962,YuJ_2015
SZAXPI003432-12,2.675663458734429,YuJ_2015
SAMD00114772,5.05514731974024,YachidaS_2019
SID531414,4.275149394076412,FengQ_2015
MMRS12272136ST-27-0-0,5.190961486992193,VogtmannE_2016
MMRS57276462ST-27-0-0,5.084197989776078,VogtmannE_2016
MG100127,5.492185753696477,HanniganGD_2017
SAMD00114844,4.935320402076806,YachidaS_2019
CCMD72666896ST-11-0,3.886255442069092,WirbelJ_2018
SAMD00114829,4.787193888770829,YachidaS_2019
MG100166,5.692758132877845,HanniganGD_2017
GupDM_A8,3.4291479930529856,GuptaA_2019
SAMD00165014,4.970961439685109,YachidaS_2019
CCIS21278152ST-4-0,4.029116180333941,ZellerG_2014
MMRS43939546ST-27-0-0,4.246106300065123,VogtmannE_2016
SAMD00114805,4.896359079667028,YachidaS_2019
SAMD00164835,5.069887858458596,YachidaS_2019
SAMD00114845,4.923525430640938,YachidaS_2019
GupDM_HCV,4.053125042025827,GuptaA_2019
SAMD00164907,5.1501372648704615,YachidaS_2019
SAMD00164935,4.682075445784865,YachidaS_2019
SAMD00164965,4.668706769889329,YachidaS_2019
CCIS12370844ST-4-0,3.4944106055316477,ZellerG_2014
SAMD00114994,3.554123705985584,YachidaS_2019
SAMD00164831,4.821749263421005,YachidaS_2019
CCIS84543192ST-4-0,4.072061554753358,ZellerG_2014
GupDM_HAT,4.894766072530919,GuptaA_2019
SAMD00164951,4.514259470607346,YachidaS_2019
SAMD00114837,4.2681757327793175,YachidaS_2019
CCMD15562448ST-11-0,2.611417227983075,WirbelJ_2018
SAMD00114940,3.775381221904122,YachidaS_2019
SAMD00114986,5.001036536172941,YachidaS_2019
SAMD00164950,3.9373007344665925,YachidaS_2019
CCIS65479369ST-4-0,4.235153060455046,ZellerG_2014
MMRS44197125ST-27-0-0,4.6770237115049635,VogtmannE_2016
CCMD53522274ST-11-0,3.578050044010243,WirbelJ_2018
SAMD00164999,5.070728495100429,YachidaS_2019
CCIS00146684ST-4-0,4.771920225490706,ZellerG_2014
CCIS80834637ST-4-0,4.256416916781745,ZellerG_2014
SAMD00164820,4.396812498346493,YachidaS_2019
CCIS40244499ST-3-0,3.784414606928648,ZellerG_2014
SAMD00165006,5.578987846777813,YachidaS_2019
SZAXPI003435-11,5.15098880537002,YuJ_2015
CCMD59583015ST-11-0,4.494721259086572,WirbelJ_2018
CCIS83870198ST-4-0,4.9742901229719045,ZellerG_2014
MG100164,3.6622558531210516,HanniganGD_2017
SID31883,4.339851218591388,FengQ_2015
SAMD00114807,5.202106179785275,YachidaS_2019
CCMD59540613ST-11-0,5.120818079220672,WirbelJ_2018
SZAXPI017460-27,5.401998149236168,YuJ_2015
CCIS62605362ST-3-0,4.978361764635385,ZellerG_2014
MMRS65742083ST-27-0-0,4.1572576369125125,VogtmannE_2016
CCIS15794887ST-4-0,4.457065213194516,ZellerG_2014
SZAXPI017452-17,4.397523974048619,YuJ_2015
SAMD00164867,4.435747126261207,YachidaS_2019
CCIS94603952ST-4-0,4.565627526279626,ZellerG_2014
SAMD00164955,5.413391081826079,YachidaS_2019
GupDM_A12,4.014265281488596,GuptaA_2019
GupDM_HCU,5.142607081376245,GuptaA_2019
CCMD85481373ST-11-0,3.511253188766072,WirbelJ_2018
SZAXPI015256-47,3.819391847139878,YuJ_2015
CCMD63399960ST-21-0,5.254238231186334,WirbelJ_2018
MMRS80093644ST-27-0-0,4.266247695411063,VogtmannE_2016
GupDM_HCO,4.78350254941994,GuptaA_2019
GupDM_HAR,3.750039481121431,GuptaA_2019
SAMD00164721,4.196922177303339,YachidaS_2019
SAMD00164905,4.5493281137792785,YachidaS_2019
SAMD00164880,4.632353428745089,YachidaS_2019
CCIS05314658ST-4-0,4.768389733305071,ZellerG_2014
MG100126,5.354926924328942,HanniganGD_2017
SAMD00114900,4.040967637686772,YachidaS_2019
SAMD00164992,4.886955611350535,YachidaS_2019
MG100175,5.202814406404558,HanniganGD_2017
SAMD00164832,5.25403631261026,YachidaS_2019
SZAXPI003430-5,4.1712508862004,YuJ_2015
CCIS29210128ST-4-0,4.435703555159702,ZellerG_2014
SAMD00164745,4.871769079574953,YachidaS_2019
SAMD00164803,5.18512370631534,YachidaS_2019
SAMD00165005,5.1797975878311115,YachidaS_2019
CCIS95409808ST-4-0,4.590281544435647,ZellerG_2014
MMRS51728985ST-27-0-0,1.6498240900396206,VogtmannE_2016
SAMD00164837,4.869432313397876,YachidaS_2019
CCIS16561622ST-4-0,5.193203271549621,ZellerG_2014
GupDM_HAH,5.061982905151936,GuptaA_2019
CCMD73128545ST-11-0,4.738002340053797,WirbelJ_2018
SZAXPI003424-12,4.296886043505788,YuJ_2015
SZAXPI015221-142,5.090416560195153,YuJ_2015
MMRS41266697ST-27-0-0,4.690339717799529,VogtmannE_2016
SAMD00114765,3.74193670385025,YachidaS_2019
SAMD00164939,4.656196135757038,YachidaS_2019
SAMD00114778,4.270897736508275,YachidaS_2019
SZAXPI003429-3,4.527892467774324,YuJ_2015
SAMD00114826,5.1087241020227205,YachidaS_2019
CCIS22416007ST-4-0,3.8308512767567913,ZellerG_2014
SAMD00114972,5.44841075852556,YachidaS_2019
SAMD00164825,4.806709166469898,YachidaS_2019
SZAXPI003410-3,5.098929373905118,YuJ_2015
SAMD00165008,4.794470206435759,YachidaS_2019
SAMD00164919,5.007450222984994,YachidaS_2019
SAMD00164873,4.35646165260526,YachidaS_2019
SAMD00114885,4.325706521243766,YachidaS_2019
SAMD00164944,4.888912362627337,YachidaS_2019
SAMD00164974,4.053871227218526,YachidaS_2019
SAMD00114748,4.916849335902582,YachidaS_2019
MG100169,5.332746706263853,HanniganGD_2017
MG100170,5.126231165484075,HanniganGD_2017
SAMD00164933,3.941999639914517,YachidaS_2019
SAMD00114724,4.095560882628939,YachidaS_2019
SID31452,4.742976562342969,FengQ_2015
SAMD00164897,3.730270414941441,YachidaS_2019
SID530331,4.519878335526345,FengQ_2015
MMRS51737257ST-27-0-0,4.737287522783424,VogtmannE_2016
CCMD49461418ST-11-0,4.488035231107671,WirbelJ_2018
SAMD00114779,4.496411228774385,YachidaS_2019
SAMD00114863,5.163926495917387,YachidaS_2019
SAMD00164947,4.403619995064145,YachidaS_2019
CCIS50148151ST-4-0,4.097022789030633,ZellerG_2014
CCIS14449628ST-4-0,5.150694602708843,ZellerG_2014
SAMD00115028,4.39318911103088,YachidaS_2019
CCIS20795251ST-4-0,3.934420337188794,ZellerG_2014
MG100152,4.992182111793379,HanniganGD_2017
SAMD00164860,4.875009254800873,YachidaS_2019
SAMD00164823,3.731763979554356,YachidaS_2019
SZAXPI015253-44,5.347208471180544,YuJ_2015
SAMD00164963,4.455519758999213,YachidaS_2019
GupDM_JD,4.890712756456995,GuptaA_2019
SAMD00114769,3.8685619764798433,YachidaS_2019
SAMD00114967,3.7640689398416027,YachidaS_2019
SAMD00164868,3.7875286775752093,YachidaS_2019
SAMD00114794,4.263116128484087,YachidaS_2019
SAMD00115000,4.834066587546241,YachidaS_2019
SZAXPI015272-108,5.184734403914188,YuJ_2015
CCMD93344354ST-21-0,4.170065018615135,WirbelJ_2018
SAMD00164953,3.7511883019510437,YachidaS_2019
SAMD00165022,5.6256252021829685,YachidaS_2019
MMRS17603756ST-27-0-0,5.056126655828649,VogtmannE_2016
SZAXPI017454-20,5.711113082189644,YuJ_2015
CCIS98482370ST-3-0,4.633906923917959,ZellerG_2014
CCIS03473770ST-4-0,5.2406483587329715,ZellerG_2014
CCIS50003399ST-4-0,4.399497336733253,ZellerG_2014
CCMD26625622ST-11-0,4.468031143317963,WirbelJ_2018
SAMD00164920,5.0817255455323185,YachidaS_2019
CCMD64503764ST-21-0,5.027175873811363,WirbelJ_2018
CCIS78100604ST-4-0,4.654374577961639,ZellerG_2014
CCIS48725289ST-4-0,5.0819934503150925,ZellerG_2014
MG100133,5.239300115507608,HanniganGD_2017
SAMD00114895,4.712346277991472,YachidaS_2019
CCMD31009081ST-11-0,5.03141516047231,WirbelJ_2018
CCMD65222621ST-11-0,4.848882654612545,WirbelJ_2018
SAMD00114901,2.7098079750898045,YachidaS_2019
SAMD00114964,2.617822336492104,YachidaS_2019
SAMD00164960,4.842625951886775,YachidaS_2019
MMRS38861560ST-27-0-0,4.785830216972699,VogtmannE_2016
MG100158,4.373942501630129,HanniganGD_2017
SAMD00115010,3.919860870528173,YachidaS_2019
SAMD00164917,4.650387496538902,YachidaS_2019
SAMD00114971,4.915502010709107,YachidaS_2019
SAMD00114949,4.147837017481935,YachidaS_2019
GupDM_JI,5.723038422894383,GuptaA_2019
MMRS67096717ST-27-0-0,4.279305593203939,VogtmannE_2016
MG100144,5.044988051392936,HanniganGD_2017
SAMD00114815,3.6518253640310956,YachidaS_2019
SAMD00114718,4.875178189443074,YachidaS_2019
MMRS61683006ST-27-0-0,4.830750540805347,VogtmannE_2016
SAMD00114839,3.4305645435639924,YachidaS_2019
CCMD11006829ST-21-0,5.6530482589625946,WirbelJ_2018
GupDM_HBR,4.917150085016071,GuptaA_2019
GupDM_A6,4.609232422388451,GuptaA_2019
CCMD88272491ST-21-0,4.216954950735783,WirbelJ_2018
CCMD50529145ST-11-0,4.675109463093581,WirbelJ_2018
GupDM_A10,4.865786961707259,GuptaA_2019
SAMD00114926,3.9539589173679186,YachidaS_2019
SAMD00114722,5.016382334246342,YachidaS_2019
SAMD00114920,5.522397563740112,YachidaS_2019
CCIS36797902ST-4-0,4.243826315385406,ZellerG_2014
CCMD41202658ST-11-0,4.108767199708713,WirbelJ_2018
GupDM_JN,5.525981954459374,GuptaA_2019
GupDM_HAO,4.770473349972031,GuptaA_2019
CCMD46947453ST-21-0,4.720946458691628,WirbelJ_2018
SAMD00114793,5.0701252770107565,YachidaS_2019
SAMD00114943,4.826169685417906,YachidaS_2019
CCMD25475945ST-11-0,3.821728893232857,WirbelJ_2018
SAMD00164840,4.985269403131567,YachidaS_2019
SZAXPI017586-111,5.190023693560931,YuJ_2015
CCIS15704761ST-4-0,3.04677514991704,ZellerG_2014
CCIS44093303ST-4-0,2.808916850118255,ZellerG_2014
GupDM_A1,5.348643227327477,GuptaA_2019
CCMD93755960ST-11-0,4.997887796803523,WirbelJ_2018
SAMD00164827,4.899974933954596,YachidaS_2019
SAMD00164817,5.3336385084393285,YachidaS_2019
SAMD00164984,3.830808850557192,YachidaS_2019
CCIS44757994ST-4-0,2.9154069914193093,ZellerG_2014
SAMD00114848,4.808182639461101,YachidaS_2019
SAMD00114960,4.969712295912048,YachidaS_2019
SAMD00114761,4.494763072994953,YachidaS_2019
SAMD00114984,4.365657988849056,YachidaS_2019
SAMD00114970,4.648783362942025,YachidaS_2019
SAMD00114729,5.1944408815273615,YachidaS_2019
SAMD00165012,4.888040350556735,YachidaS_2019
CCMD64776337ST-21-0,4.366079567527449,WirbelJ_2018
SAMD00164878,4.891996011985385,YachidaS_2019
CCMD98531134ST-11-0,4.232416267777788,WirbelJ_2018
SAMD00114747,4.582590080289633,YachidaS_2019
SAMD00114810,5.2771139847353625,YachidaS_2019
GupDM_HCM,4.216758354008989,GuptaA_2019
SZAXPI003436-7,4.8817842587293,YuJ_2015
CCIS45793747ST-4-0,4.653573792710125,ZellerG_2014
SZAXPI015271-93,5.325779688763395,YuJ_2015
MMRS97052561ST-27-0-0,4.92303055033414,VogtmannE_2016
SAMD00114774,4.968648880809295,YachidaS_2019
SAMD00164883,5.057156218785991,YachidaS_2019
SZAXPI015248-36,4.505593190089254,YuJ_2015
GupDM_JB,5.432857952308569,GuptaA_2019
SAMD00114760,4.522137690162202,YachidaS_2019
SAMD00164958,4.801379329146593,YachidaS_2019
SAMD00114757,5.292318965885871,YachidaS_2019
SAMD00115015,4.22039413681402,YachidaS_2019
GupDM_JC,5.429843758124692,GuptaA_2019
MMRS33294861ST-27-0-0,5.111624197835184,VogtmannE_2016
SZAXPI015259-62,5.012793980015119,YuJ_2015
CCIS06260551ST-3-0,3.781939396440171,ZellerG_2014
CCMD23101338ST-21-0,4.806692155513111,WirbelJ_2018
SID31267,3.8127391603529923,FengQ_2015
CCMD89967135ST-11-0,4.826097276110866,WirbelJ_2018
SID530258,4.473098882757872,FengQ_2015
MMRS65945127ST-27-0-0,3.612371309728094,VogtmannE_2016
SAMD00164836,4.8811815602565085,YachidaS_2019
SAMD00164898,5.005216243759068,YachidaS_2019
SZAXPI015265-88,4.59760531912138,YuJ_2015
MMRS68910755ST-27-0-0,4.219378729276741,VogtmannE_2016
MMRS34525504ST-27-0-0,4.1642546456005505,VogtmannE_2016
CCIS45571137ST-3-0,5.041088784414706,ZellerG_2014
MG100180,5.212351734976102,HanniganGD_2017
SAMD00136653,3.9315789372450443,YachidaS_2019
MG100155,5.194935154558585,HanniganGD_2017
MMRS62192467ST-27-0-0,4.139750324809437,VogtmannE_2016
SAMD00164844,4.059155816858911,YachidaS_2019
SZAXPI015267-102,3.3013914332384475,YuJ_2015
SZAXPI017451-16,3.349104128576688,YuJ_2015
SAMD00114896,5.372628730528131,YachidaS_2019
SAMD00164904,4.295918546557081,YachidaS_2019
CCIS10706551ST-3-0,4.313379346572491,ZellerG_2014
CCMD38158721ST-11-0,4.692194951583483,WirbelJ_2018
SAMD00164930,5.214035264435592,YachidaS_2019
SAMD00114798,4.770218332567936,YachidaS_2019
CCIS29688262ST-20-0,4.37335784332188,ZellerG_2014
SID531274,1.0816084626604812,FengQ_2015
SAMD00165026,4.4369385277922655,YachidaS_2019
CCMD90311071ST-21-0,5.166551974135596,WirbelJ_2018
CCIS23164343ST-4-0,4.165803116047886,ZellerG_2014
SAMD00114858,4.068292515142822,YachidaS_2019
MMPU72854103ST,4.516615602435627,WirbelJ_2018
SZAXPI015245-33,4.539645537691192,YuJ_2015
SAMD00164729,4.6207708896788136,YachidaS_2019
CCMD65406197ST-11-0,4.1790714474929755,WirbelJ_2018
SAMD00164968,4.468643976117241,YachidaS_2019
GupDM_HAM,4.688323474512056,GuptaA_2019
SAMD00114990,4.3784184973767735,YachidaS_2019
CCIS27304052ST-3-0,4.195128152896474,ZellerG_2014
SZAXPI015261-75,5.689858893501949,YuJ_2015
SAMD00114797,5.039794696348427,YachidaS_2019
SZAXPI015230-16,5.093682062236351,YuJ_2015
MMRS29805707ST-27-0-0,4.498460132285064,VogtmannE_2016
SAMD00114791,4.933480757351051,YachidaS_2019
MMRS64281211ST-27-0-0,4.002545125909925,VogtmannE_2016
CCMD39882286ST-11-0,4.595406073480214,WirbelJ_2018
SAMD00164756,4.867941323590421,YachidaS_2019
SAMD00114767,4.589758363516192,YachidaS_2019
SAMD00114734,5.087418614802369,YachidaS_2019
SAMD00114754,5.2318910728631804,YachidaS_2019
SAMD00164771,5.014113091002046,YachidaS_2019
CCIS58234805ST-4-0,4.720742176656141,ZellerG_2014
SAMD00114749,5.111686601104585,YachidaS_2019
SAMD00114804,4.824643846597127,YachidaS_2019
SAMD00114956,4.684000211693335,YachidaS_2019
SZAXPI017468-88,4.690180415270051,YuJ_2015
SAMD00164778,4.3492944063420715,YachidaS_2019
SAMD00114753,5.12611102944227,YachidaS_2019
SAMD00164859,4.863078322338252,YachidaS_2019
CCIS12656533ST-4-0,4.527789562724322,ZellerG_2014
CCMD72690923ST-11-0,5.082674323019531,WirbelJ_2018
CCIS88007743ST-4-0,4.303097645264356,ZellerG_2014
GupDM_HS,5.635508342691906,GuptaA_2019
MG100131,4.476574980870449,HanniganGD_2017
GupDM_HAJ,4.699802755106408,GuptaA_2019
SID31223,3.729631112946636,FengQ_2015
SAMD00115013,4.710220423399174,YachidaS_2019
SAMD00164845,5.219544283241565,YachidaS_2019
SAMD00114825,4.1617340855399725,YachidaS_2019
SAMD00114883,4.687793424662961,YachidaS_2019
SAMD00164988,5.284144741966301,YachidaS_2019
SAMD00165017,5.16442505196871,YachidaS_2019
CCIS11558985ST-4-0,5.10216019368372,ZellerG_2014
MMRS97327636ST-27-0-0,4.596799675543193,VogtmannE_2016
SAMD00114741,4.778506957194366,YachidaS_2019
SAMD00114823,5.489283054238828,YachidaS_2019
SZAXPI017464-37,4.748426842314274,YuJ_2015
SAMD00114979,5.120970901290419,YachidaS_2019
SAMD00114739,3.6363925261901966,YachidaS_2019
SAMD00114842,5.015017467566018,YachidaS_2019
MMRS43563715ST-27-0-0,4.332038751290157,VogtmannE_2016
MMRS66868025ST-27-0-0,4.606263715568857,VogtmannE_2016
MMRS72802364ST-27-0-0,4.865305913727332,VogtmannE_2016
SAMD00164846,4.627526852545895,YachidaS_2019
SAMD00115009,4.953641330865236,YachidaS_2019
SAMD00164866,4.604338907295906,YachidaS_2019
CCIS87116798ST-4-0,5.025351420607533,ZellerG_2014
CCIS62794166ST-4-0,4.770467452458688,ZellerG_2014
CCMD18829815ST-11-0,4.752447573671798,WirbelJ_2018
SID31333,3.8615019083363014,FengQ_2015
SAMD00114998,4.66520222689284,YachidaS_2019
MG100172,4.843353268817326,HanniganGD_2017
CCIS76845094ST-20-0,4.572858616059896,ZellerG_2014
SAMD00115030,3.938100406338077,YachidaS_2019
MMRS38954404ST-27-0-0,5.028556076357549,VogtmannE_2016
SAMD00114782,5.167358858272244,YachidaS_2019
GupDM_A13,4.992612859341353,GuptaA_2019
CCMD19497912ST-21-0,4.482281119399464,WirbelJ_2018
MMRS92544445ST-27-0-0,4.457589398349022,VogtmannE_2016
GupDM_HAK,4.778788097310492,GuptaA_2019
