,shannon,study_name
SAMD00114836,4.2825707600726455,YachidaS_2019
CCIS35100175ST-4-0,5.373561503708374,ZellerG_2014
SAMD00164941,3.7030950288985873,YachidaS_2019
CCIS07277498ST-4-0,4.698063580307384,ZellerG_2014
GupDM_HAG,3.308071970116039,GuptaA_2019
MMRS11288076ST-27-0-0,3.8435058836505096,VogtmannE_2016
SAMD00164884,4.889806095426386,YachidaS_2019
GupDM_HCY,3.945055995705444,GuptaA_2019
CCMD71242853ST-11-0,4.375767905805498,WirbelJ_2018
MMRS85382779ST-27-0-0,5.017781893733726,VogtmannE_2016
MG100177,3.4430328508791868,HanniganGD_2017
CCMD95433940ST-21-0,4.93046200291949,WirbelJ_2018
SAMD00164727,3.005606667743613,YachidaS_2019
CCIS71578391ST-4-0,4.663493650721745,ZellerG_2014
MG100163,3.0443062135688463,HanniganGD_2017
SAMD00164936,3.86451432793284,YachidaS_2019
SZAXPI015219-129,3.518106514779091,YuJ_2015
CCMD86114146ST-21-0,4.955361659351559,WirbelJ_2018
MG100171,2.3881423316981243,HanniganGD_2017
CCMD79349503ST-11-0,4.3514422958461765,WirbelJ_2018
SAMD00115014,3.290146132794212,YachidaS_2019
GupDM_JP,5.163708998651384,GuptaA_2019
MMRS17963147ST-27-0-0,3.7585778273970396,VogtmannE_2016
SAMD00114938,4.762862335720571,YachidaS_2019
SAMD00114954,4.7058308488775635,YachidaS_2019
SAMD00164885,4.404629918693434,YachidaS_2019
CCIS46047672ST-4-0,4.01675279918364,ZellerG_2014
GupDM_JH,3.314937372612832,GuptaA_2019
CCMD51228890ST-11-0,5.057077062438371,WirbelJ_2018
SAMD00114766,4.195421576058036,YachidaS_2019
SAMD00114732,3.803846155826879,YachidaS_2019
SAMD00114871,3.947189734254407,YachidaS_2019
GupDM_HR,3.304933082906839,GuptaA_2019
SAMD00164886,2.260436567300167,YachidaS_2019
SAMD00164869,4.446988824721418,YachidaS_2019
CCIS61287323ST-4-0,4.67474787578135,ZellerG_2014
SAMD00165020,4.027725999548011,YachidaS_2019
SAMD00165030,4.470530984376784,YachidaS_2019
MG100156,4.1251159891780675,HanniganGD_2017
SAMD00114785,4.787155893750496,YachidaS_2019
SAMD00165031,4.432618893973939,YachidaS_2019
SZAXPI015251-41,4.760972148841816,YuJ_2015
CCIS98832363ST-4-0,4.486724523872748,ZellerG_2014
SAMD00164748,3.4206366579431453,YachidaS_2019
SAMD00114759,4.878472852939874,YachidaS_2019
SZAXPI017457-24,4.017429713766772,YuJ_2015
SAMD00164916,4.276585961168187,YachidaS_2019
CCIS36699628ST-4-0,4.396330829467303,ZellerG_2014
SAMD00114908,4.5767708304433015,YachidaS_2019
MG100162,3.446309029675649,HanniganGD_2017
SAMD00164928,3.878469341659889,YachidaS_2019
SAMD00114773,3.816978136838887,YachidaS_2019
SZAXPI015258-57,4.73651368525551,YuJ_2015
SAMD00164881,3.684022002810635,YachidaS_2019
GupDM_A_11,3.4438164475459696,GuptaA_2019
SAMD00114834,4.224163546422699,YachidaS_2019
GupDM_HCP,3.055966980160099,GuptaA_2019
GupDM_HAN,3.4620278833652454,GuptaA_2019
SZAXPI017456-23,4.829778700948069,YuJ_2015
SAMD00114948,4.771982671252254,YachidaS_2019
MMRS39415781ST-27-0-0,4.1580876086861895,VogtmannE_2016
SZAXPI015247-35,4.356074088639594,YuJ_2015
CCIS00281083ST-3-0,2.1567338931043776,ZellerG_2014
SAMD00114913,2.940077697283423,YachidaS_2019
SAMD00164824,4.1502924487424675,YachidaS_2019
SAMD00164967,4.24836580749306,YachidaS_2019
SAMD00114868,4.676818428117429,YachidaS_2019
MG100137,2.839801126779422,HanniganGD_2017
CCIS78318719ST-4-0,5.219830188885707,ZellerG_2014
SAMD00114935,3.4744569119707167,YachidaS_2019
SAMD00114814,4.323186155690142,YachidaS_2019
CCMD13071240ST-21-0,5.226385070667353,WirbelJ_2018
CCIS51595129ST-4-0,4.364907051748317,ZellerG_2014
SAMD00114965,4.653358177589389,YachidaS_2019
MMPU84450604ST,4.783087707010435,WirbelJ_2018
SAMD00164819,4.163914309465989,YachidaS_2019
SAMD00164839,4.142458348240027,YachidaS_2019
MMRS34569532ST-27-0-0,4.025640780027669,VogtmannE_2016
SAMD00164990,4.365950158355714,YachidaS_2019
SAMD00114776,4.292265608512014,YachidaS_2019
SAMD00114731,5.1566340551079,YachidaS_2019
CCIS55230578ST-4-0,5.511775046336728,ZellerG_2014
MMRS25641480ST-27-0-0,4.9723226320716725,VogtmannE_2016
SAMD00114822,3.362919548804594,YachidaS_2019
SAMD00164842,3.991751970503863,YachidaS_2019
SAMD00114812,5.116500872481367,YachidaS_2019
SAMD00164694,3.88206299858558,YachidaS_2019
SAMD00114912,4.262876467676359,YachidaS_2019
SAMD00164805,4.058624315226954,YachidaS_2019
CCIS72607085ST-4-0,3.89387318766175,ZellerG_2014
CCIS34055159ST-4-0,3.6728157165867032,ZellerG_2014
SAMD00114771,4.699502830331698,YachidaS_2019
SAMD00164929,4.828250980427838,YachidaS_2019
GupDM_HCN,4.478040766936507,GuptaA_2019
SAMD00164863,4.400781849431303,YachidaS_2019
SAMD00164982,4.107689139457339,YachidaS_2019
SID530444,4.8092762686692385,FengQ_2015
SAMD00154993,4.608267166563216,YachidaS_2019
CCIS81139242ST-4-0,4.740572504130719,ZellerG_2014
CCIS81887263ST-4-0,5.239500915622842,ZellerG_2014
CCMD79987997ST-21-0,3.4396299918582165,WirbelJ_2018
SAMD00114899,3.8702491598770745,YachidaS_2019
SAMD00164976,4.958108329201886,YachidaS_2019
SAMD00115034,4.097470669427268,YachidaS_2019
MG100160,4.380410226050446,HanniganGD_2017
SAMD00114832,4.59684736457445,YachidaS_2019
SAMD00115017,5.070889534975823,YachidaS_2019
SZAXPI017583-102,3.7526001000585567,YuJ_2015
GupDM_HDB,3.9119995857745353,GuptaA_2019
SAMD00114929,3.0252875308861173,YachidaS_2019
CCMD95431029ST-11-0,4.998687287033729,WirbelJ_2018
CCIS87252800ST-4-0,4.479462636414105,ZellerG_2014
SZAXPI015254-45,4.320732904313036,YuJ_2015
CCMD95676152ST-11-0,4.805953261417931,WirbelJ_2018
SAMD00114903,4.687722239470961,YachidaS_2019
SAMD00164923,4.7237465845707325,YachidaS_2019
SAMD00114788,3.7788913858484627,YachidaS_2019
SAMD00164971,4.292693585057727,YachidaS_2019
SZAXPI015264-87,3.1556032633231053,YuJ_2015
MMRS41711735ST-27-0-0,3.2037638523908414,VogtmannE_2016
SAMD00164774,2.1222571706202418,YachidaS_2019
CCMD35081859ST-11-0,4.991883480182452,WirbelJ_2018
MMRS73787048ST-27-0-0,4.73598001046528,VogtmannE_2016
SAMD00114915,4.167456474840042,YachidaS_2019
SZAXPI015224-13,4.31460670549712,YuJ_2015
SAMD00115031,4.4415931540187685,YachidaS_2019
CCMD45812507ST-11-0,4.547800407762385,WirbelJ_2018
SZAXPI003427-1,4.073368697863754,YuJ_2015
SID532802,4.466751365698566,FengQ_2015
SAMD00164890,4.097698065448056,YachidaS_2019
SZAXPI015238-24,3.94918364137441,YuJ_2015
CCMD12232071ST-21-0,4.6064246594485,WirbelJ_2018
SAMD00164962,4.572992564270466,YachidaS_2019
SAMD00114924,4.044763348296231,YachidaS_2019
SAMD00164913,4.738801729073929,YachidaS_2019
SAMD00164932,4.671413753408858,YachidaS_2019
CCIS63468405ST-4-0,4.314714139167246,ZellerG_2014
SAMD00114808,3.114223288271357,YachidaS_2019
SAMD00164927,3.076260288277723,YachidaS_2019
SAMD00164977,4.727915465482287,YachidaS_2019
SZAXPI003413-4,5.008822578891589,YuJ_2015
MMRS16644320ST-27-0-0,5.069637853295368,VogtmannE_2016
CCMD40701343ST-21-0,4.0344863485099305,WirbelJ_2018
MMPU68403337ST,4.935778214454039,WirbelJ_2018
SAMD00165000,4.138076397314934,YachidaS_2019
SAMD00114744,4.389574573606708,YachidaS_2019
SZAXPI015250-39,4.78487099904675,YuJ_2015
CCIS27927933ST-4-0,2.878749604487647,ZellerG_2014
SAMD00114891,4.898043798239549,YachidaS_2019
