,nobc,harmony,limma,MMUPHin,ConQuR_rel,percentile_norm
batch_aitch_r2,0.0863999484003923,0.0131465065387898,0.0626052450841331,0.0770381409287403,0.3892180409148369,0.006443932851972
batch_bray_r2,0.0888541547090829,0.061540862738439,0.262641404267089,0.0363222525412808,0.032738362463298,0.0064245024545936
biovar_aitch_r2,0.0049222019828161,0.0037864680208144,0.0037528402766773,0.005232848432932,0.0124930725401791,0.0009331358668627
biovar_bray_r2,0.0049222019828161,0.0037864680208144,0.0037528402766773,0.005232848432932,0.0124930725401791,0.0009331358668627
shannon_pval,0.0490133850207951,0.1371108276885072,0.4299030429066034,0.1054367785800427,7.373358461647122e-05,0.7120521456020901
aitch_pval_batch,0.001,0.001,0.001,0.001,0.001,0.734
aitch_pval_biovar,0.001,0.001,0.001,0.001,0.001,0.453
bray_pval_batch,0.001,0.001,0.001,0.001,0.001,0.7
bray_pval_biovar,0.001,0.001,0.001,0.001,0.001,0.453
runtime,NA,,26.612539768219,3.54276561737061,1281.75172281265,64.1596360206604
