,nobc,harmony,combat_seq,limma,MMUPHin,ConQuR,ConQuR_libsize,percentile_norm
batch_aitch_r2,0.2258445227728327,0.0354231221812393,0.0635032452543736,0.0269544275838553,0.1054618466152822,0.0162398569570117,0.0783071743543534,0.0054326600841289
biovar_aitch_r2,0.0069367632023499,0.0050294318542811,0.0075895304532151,0.0051806737507225,0.0082264455757022,0.0136076947743636,0.0101585581826342,0.0071003825391432
aitch_pval_batch,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.923
aitch_pval_biovar,0.404,0.68,0.33,0.929,0.233,0.002,0.08,0.449
batch_bray_r2,0.2970867556225313,0.0915760779963141,0.1402966584560833,0.0483235067969696,0.1447365724002194,0.0017997673471844,0.2183732428983236,0.0048709750931449
biovar_bray_r2,0.0073395454505393,0.0049489138550525,0.0075287453705592,0.0058469221264548,0.0079995902361113,0.005949503694054,0.008494407735495,0.0082297848911816
batch_shannon_pval,0.0445613574276654,1.8280295390230933e-05,0.0512531583598722,0.3157435471832882,0.1297347831789592,0.2337960750398391,0.1872983701398124,0.3406069179410536
biovar_shannon_pval,0.3758315075509187,0.8184020073507516,0.9379073912026072,0.6140493869250302,0.9901862343833724,0.986915235788915,0.8632798430233231,0.9705646408906036
bray_pval_batch,0.001,0.001,0.001,0.001,0.001,0.994,0.001,0.893
bray_pval_biovar,0.362,0.638,0.349,0.758,0.294,0.541,0.244,0.222
rf_baseline_likelihood,0.5492957746478874,0.5492957746478874,0.5492957746478874,0.5492957746478874,0.5492957746478874,0.5492957746478874,0.5492957746478874,0.5492957746478874
rf_average_acc,0.5211267605633803,0.4647887323943662,0.4859154929577465,0.5070422535211268,0.5211267605633803,0.6830985915492958,0.5985915492957746,0.5070422535211268
rf_macro_precision,0.4862155388471177,0.4213836477987421,0.427536231884058,0.4484848484848485,0.4795197740112994,0.7196274673338894,0.6104669887278583,0.4595490716180371
rf_weighted_precision,0.4918987609869745,0.430064664717867,0.4368238416003266,0.4568501920614596,0.4857165592424604,0.7128984638998853,0.6085777142727541,0.4669368999140733
rf_macro_recall,0.4911858974358974,0.4399038461538461,0.4549278846153846,0.4727564102564102,0.4883814102564102,0.6582532051282051,0.5687099358974359,0.4755608974358974
rf_weighted_recall,0.5211267605633803,0.4647887323943662,0.4859154929577465,0.5070422535211268,0.5211267605633803,0.6830985915492958,0.5985915492957746,0.5070422535211268
rf_macro_f1,0.4533514492753622,0.4134782608695653,0.4097819279166429,0.4162555790462767,0.4401669758812616,0.6477203814984288,0.5391447930308033,0.4306987399770904
rf_weighted_f1,0.4723285364360072,0.4305817513778323,0.4306813379279263,0.4389522476649892,0.4611565496877367,0.6587269357364763,0.5554635104368739,0.451252762854331
rf_auc,0.4911858974358974,0.4399038461538461,0.4549278846153846,0.4727564102564102,0.4883814102564102,0.6582532051282051,0.5687099358974359,0.4755608974358974
runtime,NA,0.12913799285888672,,0.023831844329834,0.675306081771851,36.0752110481262,36.0752110481262,0.5855493545532227
