,shannon,Dataset
F-018C1A,1.0233036481476372,asd_son
F-017C1A,0.8435448252650599,asd_son
F-025C2U,2.276099393137901,asd_son
F-057-C2U,2.903681458045459,asd_son
F-057-C1A,1.7581157338148188,asd_son
F-047-C1A,3.1736214171352035,asd_son
F-024C1A,2.722565416917537,asd_son
N13,0.8144408271904907,autism_kb
F-004C1A,1.2681309557458769,asd_son
F-026C1A,2.6306478880158957,asd_son
A09,2.966418585654681,autism_kb
F065-C1A,2.6218381680846896,asd_son
F-002C1A,3.2384638818838583,asd_son
F-038-C1A,1.524209912813827,asd_son
F-030C1A,1.9363048851727085,asd_son
F-031C1U,1.5739846295210127,asd_son
A02,2.1084840095740747,autism_kb
N02,1.7580230246591464,autism_kb
F-043-C1A,2.327703395608345,asd_son
N06,2.5520732505144967,autism_kb
F-054-C1A,2.111902767259789,asd_son
F-019C1A,2.4721621997203034,asd_son
F-011C1A,0.9620909565223573,asd_son
A19,2.6064595387233447,autism_kb
F-003C2U,2.3191102251209026,asd_son
F-044-C1A,1.5925804295145969,asd_son
F064-C1A,1.5546529234749737,asd_son
F-037-C1A,3.0442029017605754,asd_son
F-041-C2U,2.3720657325164116,asd_son
F-053-C1U,2.6574231869764233,asd_son
F-001C2U,2.316528259133833,asd_son
F-017C2U,0.7215014644059118,asd_son
F-009C2U,2.8936381577459698,asd_son
F-062-C2U,1.3017645518568046,asd_son
F-007C2U,1.6405703822198536,asd_son
F-005C1A,1.6230479407577056,asd_son
F-015C2U,2.2984274210527813,asd_son
F-019C2U,2.7493844240000564,asd_son
A17,3.496984667619052,autism_kb
F-021C2U,2.875704545492381,asd_son
F-059-C1A,1.460193759951229,asd_son
F-027C2U,1.8888831083837203,asd_son
F-022C2U,2.5235015600430604,asd_son
F-039-C2U,2.540869253321838,asd_son
F-028C1A,0.948931683263533,asd_son
F-062-C1A,3.0474327721213657,asd_son
F-016C2U,2.5511572895411647,asd_son
F-022C1A,1.6760204577285451,asd_son
F-037-C2U,2.2597686031389146,asd_son
F-023C1A,0.9999715953775185,asd_son
F-042-C1A,3.6440008038758975,asd_son
F-008C2U,2.6688183847638256,asd_son
A05,2.103298928530031,autism_kb
F-027C1A,1.3069606925014317,asd_son
F-029C2U,1.4639659523028248,asd_son
F-039-C1A,2.1319314389390627,asd_son
F-001C1A,2.7650044751247567,asd_son
N19,2.62791563066641,autism_kb
A10,3.0179628605883466,autism_kb
F-014C2U,1.193758341430241,asd_son
F-003C1A,2.225882947625824,asd_son
F-060-C1A,2.800483338583857,asd_son
N14,1.8215692099960292,autism_kb
F-023C2U,3.161336377827801,asd_son
F066-C2U,2.1409750911631518,asd_son
F-010C1A,1.5201769043380229,asd_son
F-015C1A,2.9105175136840615,asd_son
F-032C1A,1.5597127306043925,asd_son
F-041-C1A,2.504835479777541,asd_son
A18,1.8680543489592636,autism_kb
F-044-C2U,2.784364601082877,asd_son
N04,3.826740887022696,autism_kb
A15,1.2004772780457948,autism_kb
F-061-C2U,2.424609724555103,asd_son
F-058-C1A,2.2963210715119975,asd_son
F-048-C1A,2.929780129192815,asd_son
F063-C1U,2.624583392693711,asd_son
F-029C1A,1.3472647665412947,asd_son
A11,2.88828093209423,autism_kb
A14,2.5402977044799107,autism_kb
F-054-C2U,2.0147196673853554,asd_son
F-004C2U,1.800064912273091,asd_son
N20,2.602196299987855,autism_kb
N16,1.866779563355984,autism_kb
F-045-C1A,1.35169210334884,asd_son
N08,1.3589396046705533,autism_kb
F-036-C1A,1.842022277496888,asd_son
F-050-C1A,2.85074554624055,asd_son
F-007C1A,2.4087944716629215,asd_son
F-024C2U,2.483891834529391,asd_son
F-009C1A,1.8565130008848219,asd_son
F-021C1A,2.028202989222109,asd_son
F066-C1A,3.1635385834409666,asd_son
N11,3.3837445633758696,autism_kb
F-012C1A,2.377967166057711,asd_son
F-025C1A,2.5205061005713123,asd_son
F-020C1A,2.0769646375020754,asd_son
F-042-C2U,2.647759221704963,asd_son
F-034C1A,2.608317768793115,asd_son
A01,2.920073191355347,autism_kb
N15,1.9948809997469918,autism_kb
F-033C1A,2.5256183035321134,asd_son
F-035-C1A,2.3970603796718857,asd_son
F-050-C2U,2.830202932713817,asd_son
N07,3.348425980912908,autism_kb
F-051-C2U,2.2368757423312124,asd_son
F-016C1A,2.853938970833565,asd_son
N17,1.9678844567984521,autism_kb
F-018C2U,0.9704619554893529,asd_son
N09,2.72613189172467,autism_kb
F-046-C1A,3.0334249597707945,asd_son
F-040-C1A,2.8805268323003896,asd_son
F-030C2U,1.9990656190268619,asd_son
F-061-C1A,3.0681466796018335,asd_son
F-058-C2U,2.918826505838703,asd_son
F-006C1A,3.2610972881807716,asd_son
F-020C2U,2.468392899379882,asd_son
F-013C1U,3.0715108984423107,asd_son
F-002C2U,3.6120821332709068,asd_son
A06,1.6812451119307492,autism_kb
F-014C1A,2.206783739124747,asd_son
F-052-C1U,1.8602462225163003,asd_son
N10,2.9221025785095525,autism_kb
F-008C1A,3.3820134878616974,asd_son
F-046-C2U,1.5338486034653496,asd_son
A07,1.191486320052324,autism_kb
F-028C2U,1.4312257444478946,asd_son
F-051-C1A,2.4011164668593667,asd_son
F-055-C1U,1.9620651255452397,asd_son
N01,1.7403420937231724,autism_kb
A04,2.5247014812887514,autism_kb
A12,3.2420681342946396,autism_kb
F-056-C1A,2.1054192152259548,asd_son
F-049-C1U,3.442369955841646,asd_son
