,shannon,Dataset
F-001C1A,3.3229367088455857,asd_son
A19,3.2998004802044605,autism_kb
A02,2.6500558449345597,autism_kb
F-061-C2U,2.9329727174044167,asd_son
F-029C1A,2.1591936433114713,asd_son
A14,3.1943049849506875,autism_kb
F-044-C2U,3.0071655670006407,asd_son
N15,2.275793122800149,autism_kb
F-037-C1A,3.562813055702194,asd_son
F-050-C1A,3.479431183396946,asd_son
F-004C2U,2.2573535662811706,asd_son
F-023C2U,3.551392824368835,asd_son
A09,3.439537812327732,autism_kb
F-021C2U,3.2966263698515834,asd_son
F-001C2U,2.747764443648532,asd_son
N12,1.3703844433887817,autism_kb
N11,3.8597266510333967,autism_kb
F-027C1A,1.5591754560415187,asd_son
F-035-C1A,2.7083833207825445,asd_son
F-045-C1A,1.6642660634720534,asd_son
N14,2.3666248264847707,autism_kb
F-007C2U,2.287722086258436,asd_son
F-025C1A,2.9782407226893732,asd_son
A15,1.478901090399479,autism_kb
F066-C2U,2.542169311302327,asd_son
F-049-C1U,3.6636450185514975,asd_son
F-048-C1A,3.191565390283493,asd_son
F-005C1A,1.90396719734367,asd_son
A18,2.323157885953283,autism_kb
F-058-C1A,3.0460264020182484,asd_son
F-051-C2U,2.6992271420861904,asd_son
F064-C1A,2.171655380433904,asd_son
A12,3.853755760690253,autism_kb
N04,4.097399319600402,autism_kb
F066-C1A,3.4259569664505642,asd_son
F-037-C2U,2.7374141324652252,asd_son
F-015C1A,2.8301207505941086,asd_son
F-041-C2U,2.6935518151236924,asd_son
F-019C1A,3.1879017961288776,asd_son
F-018C2U,1.183704147025852,asd_son
F-051-C1A,3.081007566121548,asd_son
F-031C1U,1.7852105254000885,asd_son
F063-C1U,3.208961321963801,asd_son
F-036-C1A,2.0417312115067254,asd_son
F-014C2U,1.3295724666638564,asd_son
F-058-C2U,3.531796934379389,asd_son
N08,2.138610225237918,autism_kb
N16,2.1955988875507546,autism_kb
F-042-C1A,3.9970638902157978,asd_son
F-050-C2U,3.183319858139209,asd_son
F-046-C1A,3.578340949595828,asd_son
F-061-C1A,3.46080981285386,asd_son
A01,3.279707320339283,autism_kb
F-052-C1U,2.3032105336073774,asd_son
F-012C1A,2.53213055169851,asd_son
F-026C1A,3.049653204789042,asd_son
F-054-C1A,2.7327725384162505,asd_son
F-024C1A,3.038028732254285,asd_son
F-042-C2U,3.001563988431909,asd_son
F-003C2U,2.600774140929064,asd_son
N09,3.1041421674765206,autism_kb
F-006C1A,3.677222066498509,asd_son
A08,1.3769257837035611,autism_kb
N02,2.3351710143013333,autism_kb
F-016C2U,2.851275217822409,asd_son
F-041-C1A,2.9889668268275713,asd_son
F-017C2U,0.829465182520412,asd_son
F-002C1A,2.5742691598742398,asd_son
F-009C2U,3.246979917992843,asd_son
F-028C1A,1.1393462626616644,asd_son
N05,3.3511308786798986,autism_kb
F-008C2U,3.1697886264590784,asd_son
N03,1.3720925874738565,autism_kb
A16,2.188981504620852,autism_kb
F-022C1A,2.358648078857941,asd_son
F-034C1A,3.0048580389253075,asd_son
N07,3.730458870286781,autism_kb
F-004C1A,1.9527002720190871,asd_son
F-056-C1A,2.854337980461028,asd_son
A10,3.5460585278774697,autism_kb
A04,2.9413011957149706,autism_kb
N01,2.592509943292097,autism_kb
F-015C2U,2.8091357874581067,asd_son
F-060-C1A,3.235627584963923,asd_son
N18,2.8435066954521515,autism_kb
A05,2.913633004660686,autism_kb
F065-C1A,3.218193093767395,asd_son
F-062-C1A,3.656643632955249,asd_son
A13,1.2984711595237297,autism_kb
F-046-C2U,1.95992534145132,asd_son
N19,3.063773892064486,autism_kb
